Exhausted ^jj+++xvbn+=Exhausted
life ^nn++++=life
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
How ^wrb+who+++=How
incomprehensible ^jj++++=incomprehensible!
! ^zz++++=EXTRAWORD
As ^ql++++=As
one ^cd1++++=one
who ^whp+rel+subj++=who
awakens ^vbz+++??+=awakens
from ^in++++=from
a ^at++++=a
long ^rb++++=long
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
surveyed ^vbd+++xvbnx+=surveyed
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
all ^abn++++=all
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
so ^rb+emph+++=so
incomprehensible ^jj++++=incomprehensible.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
this ^dt+dem+++=this
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived?
? ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+vrb++=were
my ^pp$+pp1+++=my
wife ^nn++++=wife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
our ^pp$+pp1+++=our
children ^nns++++=children."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Here,
here ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^npt++++=father
died ^vbd+++xvbn+=died."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
without ^in++++=without
awakening ^nn++++=awakening."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
smallest ^jjt+atrb+++=smallest
child ^nn++++=child,
, ^zz++++=EXTRAWORD
frightened ^j+++xvbn+=frightened
at ^rb++++=at
something ^pn++++=something
in ^in++++=in
her ^pp$+pp3+++=her
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
cry ^vbi++++=cry.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
simple ^jj+atrb+++=simple
childish ^jj+atrb+++=childish
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
demanding ^vbg+vsua+tht0+xvbg+=demanding
something ^pn++++=something,
, ^zz++++=EXTRAWORD
sounded ^j+++xvbn+=sounded
so ^ql+emph+++=so
strange ^jj++++=strange
amid ^in++++=amid
these ^dt+dem+++=these
phantom ^nn++++=phantom
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
below ^rb++++=below,
, ^zz++++=EXTRAWORD
people ^nns++++=people
were ^vbd+bed+aux++=were
building ^vbg+++xvbgx+=building
barricades ^nns+++??+=barricades.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
cried ^vbd+++xvbnx+=cried
and ^cc+phrs+++=and
demanded ^vbd+vsua++xvbn+=demanded--caresses,
-- ^--+clp+++=EXTRAWORD
caresses ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
queer ^jj+atrb+++=queer
words ^nns++++=words
and ^cc++++=and
promises ^vb++++=promises
to ^to+vcmp+++=to
soothe ^vbi++++=soothe
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
soon ^rb+tm+++=soon
was ^vbd+bedz+aux++=was
soothed ^vpsv++agls+xvbnx+=soothed.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
go ^vb++++=go!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
wife ^nn++++=wife
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
kiss ^vbi++++=kiss
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
you ^pp2+pp2+++=you
will ^md+prd+++=will
wake ^vb++++=wake
them ^pp3o+pp3+++=them
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
that ^cs+sub+++=that
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
child ^nn++++=child
was ^vbd+bedz+vrb++=was
awake ^jj+pred+++=awake--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
and ^cc+phrs+++=and
understood ^vbd+vprv+tht0+xvbn+=understood
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
but ^cc++++=but
nine ^cd++++=nine
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
understood ^vbd+vprv+tht0+xvbnx+=understood
everything ^pn++++=everything--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
met ^vbd+++xvbnx+=met
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
stern ^jj++++=stern
look ^vb++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
take ^vb++++=take
your ^pp$+pp2+++=your
gun ^nn++++=gun?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
thoughtfully ^rb++++=thoughtfully
and ^cc+phrs+++=and
earnestly ^rb++++=earnestly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
behind ^in+pl+++=behind
the ^ati++++=the
stove ^nn++++=stove."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
kiss ^vb++++=kiss
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
jumped ^vbd+++xvbnx+=jumped
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
short ^jj++++=short
little ^ap++++=little
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
hot ^jj++++=hot
from ^in++++=from
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
firmly ^rb++++=firmly
clasped ^vbd+++xvbn+=clasped
my ^pp$+pp1+++=my
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
arms ^nns++++=arms
were ^vbd+bed+aux++=were
burning ^vbg+++xvbgx+=burning--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
soft ^jj++++=soft
and ^cc+phrs+++=and
delicate ^jj++++=delicate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lifted ^vbd+++xvbnx+=lifted
his ^pp$+pp3+++=his
hair ^nn++++=hair
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
they ^pp3a+pp3+++=they
kill ^vb++++=kill
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered
right ^jj++++=right
into ^in++++=into
my ^pp$+pp1+++=my
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
come ^vb++++=come
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+++=why
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
not ^xnot++not++=not
cry ^vb++++=cry?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
cried ^vprf+++xvbnx+=cried
sometimes ^rb++++=sometimes
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
simply ^rb++splt++=simply
left ^vprf+++xvbnx+=left
the ^ati++++=the
house ^nn++++=house
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while:
: ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
possible ^jj++++=possible
that ^tht+jcmp+++=that
It ^pp3+it+++=IT
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
too ^ql++++=too?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
knows ^vbz+vprv+++=knows?
? ^zz++++=EXTRAWORD
So ^ql++++=So
many ^ap++++=many
strange ^jj+atrb+++=strange
things ^nns++++=things
happened ^vbd+++xvbn+=happened
during ^in++++=during
the ^ati++++=the
great ^jj+atrb+++=great
days ^nns++++=days.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
flame ^nn++++=flame
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
flickering ^jj++++=flickering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
my ^pp$+pp1+++=my
wife ^nn++++=wife
by ^in++++=by
the ^ati++++=the
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Well--'till
well-- ^nn+++??+=EXTRAWORD
'till ^vbd+++xvbn+0=EXTRAWORD
we ^pp1a+pp1+++=we
meet ^vb++++=meet
again ^rb+tm+++=again!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes--'till
yes-- ^nn+++??+=EXTRAWORD
'till ^vbd+++xvbn+0=EXTRAWORD
we ^pp1a+pp1+++=we
meet ^vb++++=meet
again ^rb+tm+++=again!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
on ^in++++=on
the ^ati++++=the
stairway ^nn++++=stairway
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
old ^jj+atrb+++=old
filth ^nn++++=filth.
. ^zz++++=EXTRAWORD
Surrounded ^j+++xvbn+=Surrounded
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides
by ^in++++=by
the ^ati++++=the
stones ^nns++++=stones
and ^cc++++=and
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
groping ^vbg+++xvbg+=groping
down ^in++++=down
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
seized ^vpsv++agls+xvbnx+=seized
with ^in++++=with
a ^at++++=a
tremendous ^jj++++=tremendous,
, ^zz++++=EXTRAWORD
powerful ^jj++++=powerful
and ^cc++++=and
all ^abn++++=all-absorbing
- ^zz++++=EXTRAWORD
absorbing ^jj+++xvbg+=EXTRAWORD
feeling ^jj+++xvbg+=feeling
of ^in++++=of
the ^ati++++=the
new ^jj++++=new,
, ^zz++++=EXTRAWORD
unknown ^jj++++=unknown
and ^cc+phrs+++=and
joyous ^jj++++=joyous
something ^pn++++=something
to ^to++++=to
which ^whp+who+++=which
i ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbg+=going.
. ^zz++++=EXTRAWORD
