Scene. ^np+++??+=Scene.--The
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
stoppin ^nn+++??+=stoppin'
' ^zz++++=EXTRAWORD
on ^in++++=on
' ^zz++++='em,'
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Sawin ^np+++??+=Sawin
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
( ^zz++++=(Ye
ye ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Sawin ^np+++??+=Sawin
used ^md"++pmd"++=used
to ^to++++=to
go ^vb++++=go
out ^rp+pl+++=out
to ^in++++=to
dress-makin ^nn+++??+=dress-makin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+vrb++=was
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
' ^zz++++='jealous,
jealous ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
folks ^nns++++=folks
sot ^nn+++??+=sot
more ^rbr++++=more
by ^in++++=by
Huldy ^np+++??+=Huldy
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
by ^in++++=by
her ^pp$+pp3+++=her).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='Well,'
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='Huldy
huldy ^nn+++??+=EXTRAWORD
Peters ^np++++=Peters
is ^vbz+bez+vrb++=is
well ^rb++++=well
enough ^qlp++++=enough
at ^rb++++=at
her ^pp3o+pp3+++=her
trade ^nn++++=trade.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
denied ^vbn+vpub+tht0+xvbn+=denied
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
never ^rb++++=never
did ^vbd+dod+aux++=did
believe ^vb+vprv+++=believe
in ^in++++=in
her ^pp$+pp3+++=her
way ^nn++++=way
of ^in++++0=o'
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
button ^nn++++=button-holes;
- ^zz++++=EXTRAWORD
holes ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
must ^md+nec+++=must
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
the ^ati++++=the
dearest ^jjt+atrb+++=dearest
friend ^nn++++=friend
I ^pp1a+pp1+++=I
hed ^vbd+++xvbnx+=hed,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
Huldy ^np+++??+=Huldy
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
fit ^vbi++++=fit
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Kit-tridge ^np++++=Kit-tridge's
's ^$++++=EXTRAWORD
plumb ^nn+++??+=plumb-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
silk ^nn++++=silk
was ^vbd+bedz+vrb++=was
a ^at++++=a
clear ^jj+atrb+++=clear
piece ^nn++++=piece
of ^in++++0=o'
presumption ^nn+nom+++=presumption;
; ^zz++++=EXTRAWORD
the ^ati++++=the
silk ^nn++++=silk
was ^vbd+bedz+aux++=was
jist ^nn++++=jist
spiled ^vbd+++xvbn+=spiled,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++0='twarn't
war ^nn++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
fit ^jj++++=fit
to ^to+jcmp+++=to
come ^vbi++++=come
into ^in+ppvb+++=into
the ^ati++++=the
meetin ^nn+++??+=meetin'-house.
'-house. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Huldy ^np++++=Huldy's
's ^$++++=EXTRAWORD
a ^at++++=a
gal ^nn++++=gal
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
always ^rb++++=always
too ^ql++++=too
ventersome ^vb+++??+=ventersome
about ^in++++=about
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
' ^zz++++='spon-sibilities
spon ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
sibilities ^nns+nom+++=EXTRAWORD
she ^pp3a+pp3+++=she
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
about ^in+strn+++=about.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Of
' ^zz++++=EXTRAWORD
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
she ^pp3a+pp3+++=she
do ^vb+do+vrb++=don't,'
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deakin ^np+++??+=Deakin
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
she ^pp3a+pp3+++=she
know ^vb+vprv+++=know
about ^in++++=about
all ^abn++++=all
the ^ati++++=the
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
see ^vb+vprv+++=see-in'
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^in++++=to
that ^dt+dem+++=that
there ^ex+pex+++=there
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
in ^in++++=in
guidin ^nn+++??+=guidin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Huldy ^np++++=Huldy's
's ^$++++=EXTRAWORD
well ^rb++++=well
meanin ^nn+++??+=meanin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good
at ^rb++++=at
her ^pp3o+pp3+++=her
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj++++=good
in ^in++++=in
the ^ati++++=the
singers ^nns+nom+++=singers'
' ^zz++++=EXTRAWORD
seat ^nn++++=seat;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
hai ^nn+++??+=hain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
an ^at++++=an
experienced ^jj+atrb++xvbn+=experienced
woman ^nn++++=woman
to ^to++++=to
keep ^vbi++++=keep
house ^npl++++=house
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
spring ^nn++++=spring
house ^nn++++=house-cleanin'
- ^zz++++=EXTRAWORD
cleanin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
fall ^nn++++=fall
house ^nn++++=house-cleanin'
- ^zz++++=EXTRAWORD
cleanin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
to ^to+vcmp+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
things ^nns++++=things
to ^to++++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
away ^rb+phrv+++=away
from ^in"++++=from
the ^ati++++=the
moths ^nns++++=moths;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
ready ^jj++++=ready
for ^in++++=for
the ^ati++++=the
association ^nn+nom+++=association
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
ministers ^nns+nom+++=ministers'
' ^zz++++=EXTRAWORD
meetin ^nn+++??+=meetin's;
's; ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
soap ^nn++++=soap
and ^cc++++=and
the ^ati++++=the
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
hens ^nns++++=hens
and ^cc++++=and
turkeys ^nns+++??+=turkeys,
, ^zz++++=EXTRAWORD
watchin ^nn+++??+=watchin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
calves ^nns++++=calves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
men ^nns++++=men
and ^cc++++=and
the ^ati++++=the
garden ^nn++++=garden;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+aux++=EXTRAWORD
blessed ^vpsv++agls+xvbnx+=blessed
man ^nn++++=man
jist ^nn++++=jist
sets ^vbz++++=sets
there ^rn+pl+++=there
at ^rb++++=at
home ^nr++++=home
as ^in++++=as
serene ^jj++++=serene,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has
nobody ^pn++++=nobody
' ^zz++++='round
round ^in++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
gal ^nn++++=gal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
things ^nns++++=things
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
runnin ^nn+++??+=runnin'
' ^zz++++=EXTRAWORD
to ^to++++=to
waste ^vbi++++=waste!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
upshot ^nn++++=upshot
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
fussed ^vbd+++xvbnx+=fussed
and ^cc+phrs+++=and
fuzzled ^vbd+++xvbn+=fuzzled
and ^cc+phrs+++=and
wuzzled ^vbd+++xvbn+=wuzzled
till ^cs+sub+++=till
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
drinked ^vprf+++xvbnx+=drinked
up ^rp++++=up
all ^rb++++=all
the ^ati++++=the
tea ^nn++++=tea
in ^in++++=in
the ^ati++++=the
teapot ^nn++++=teapot;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
down ^rp++++=down
and ^cc++++=and
called ^vpsv++agls+xvbn+=called
on ^in+ppvb+++=on
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wuzzled ^jj+++xvbn+=wuzzled
him ^pp3o+pp3+++=him
all ^rb++++=all
up ^rp++++=up
talkin ^nn+++??+=talkin'
' ^zz++++=EXTRAWORD
about ^in++++=about
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
t ^zz++++=t'other
'other ^jjr++++0=EXTRAWORD
that ^cs+sub+++=that
wanted ^vprf+++xvbn+=wanted
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
way ^nn++++=way
to ^to++++=to
leave ^vbi++++=leave
every ^at++++=every
thing ^nn++++=thing
to ^in++++=to
a ^at++++=a
young ^jj+atrb+++=young
chit ^nn++++=chit
like ^in++++=like
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
about ^in++++=about
for ^in++++=for
an ^at++++=an
experienced ^jj+atrb++xvbn+=experienced
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
he ^pp3a+pp3+++=he
thanked ^vbd+++xvbnx+=thanked
them ^pp3o+pp3+++0='em
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
believed ^vbd+vprv+tht0+xvbnx+=believed
their ^pp$+pp3+++=their
motives ^nns++++=motives
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
no ^at++++=no
further ^nn++++=further.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
to ^to++++=to
come ^vbi++++=come
and ^cc+phrs+++=and
stay ^vb++++=stay
there ^rn+pl+++=there
and ^cc++++=and
help ^nn++++=help
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
of ^in++++0=o'
that ^dt+dem+++=that
kind ^nn++++=kind;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
attend ^vb++++=attend
to ^in++++=to
matters ^nns+nom+++=matters
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
such ^abl++++=such
a ^at++++=a
likin ^nn+++??+=likin'
' ^zz++++=EXTRAWORD
for ^in++++=for
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
' ^zz++++='round,
round ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++0=o'
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
as ^in++++=as
swappin ^nn+++??+=swappin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
off ^rp+pl+++=off
for ^in++++=for
the ^ati++++=the
Widder ^np+++??+=Widder
Pipperidge ^np+++??+=Pipperidge.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
' ^zz++++='Huldy
huldy ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
ought ^md+nec+++=oughtn't
n't ^xnot++not++0=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
leavin ^nn+++??+=leavin'
' ^zz++++=EXTRAWORD
every ^at++++=every
thing ^nn++++=thing
to ^in++++=to
her,--it ^jj+atrb++??+=her,--it's
's ^nns+bez+++0=EXTRAWORD
too ^ql++++=too
hard ^jj++++=hard
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
instructin ^nn+++??+=instructin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
guidin ^nn+++??+=guidin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
helpin ^nn+++??+=helpin'
' ^zz++++=EXTRAWORD
of ^in++++=of
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
' ^zz++++='tain't
tai ^nn+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
everybody ^pn++++=everybody
could ^md+pos+++=could
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
and ^cc++++=and
do ^vb+do+vrb++=do
what ^wdt+who+++=what
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
did ^vbd+dod+vrb++=did;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
so ^ql++++=so
at ^rb++++=at
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
Huldy ^np+++??+=Huldy
hev ^nn+++??+=hev
a ^at++++=a
time ^nn++++=time
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
minister ^nn+nom+++=minister
began ^vbd+++xvbn+=began
to ^to++++=to
come ^vbi++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
want ^vb++++=want
to ^to+vcmp+++=to
tew ^vbi+++??+=tew
' ^zz++++='round
round ^in++++=EXTRAWORD
and ^cc++++=and
see ^vb+vprv+++=see
to ^to+vcmp+++=to
things ^vb++++=things?
? ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
of ^in++++=of
the ^ati++++=the
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
afraid ^jj++++=afraid
to ^to+jcmp+++=to
laugh ^vbi++++=laugh;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it
when ^wrb+who+++=when
his ^pp$+pp3+++=his
back ^jjb++++=back
was ^vbd+bedz+aux++=was
turned ^vpsv++agls+xvbnx+=turned,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
wuzzled ^vbd+++xvbnx+=wuzzled
things ^nns++++=things
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
singular ^nn++++=singular
way ^nn++++=way.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
jest ^rb++splt++=jest
say ^vb+vpub+++=say
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
get ^vb++++=get
him ^pp3o+pp3+++=him
off ^rp+pl+++=off
into ^in++++=into
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
on ^rp++++=on
her ^pp3o+pp3+++=her
own ^ap++++=own
way ^nn++++=way.
. ^zz++++=EXTRAWORD
" ^zz++++="'Huldy,'
' ^zz++++=EXTRAWORD
huldy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
minister ^nn+nom+++=minister
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
experienced ^vpsv++agls+xvbn+=experienced
out ^rp+pl+++=out
doors ^nns++++=doors;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
any ^dti++++=any
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
come ^vb++++=come
to ^in++++=to
me ^pp1o+pp1+++=me.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'Now,
' ^zz++++=EXTRAWORD
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
save ^vbi++++=save
the ^ati++++=the
turkey ^nn++++=turkey-eggs,
- ^zz++++=EXTRAWORD
eggs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
can ^md+pos+++=can
have ^vb+hv+vrb++=have
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
turkeys ^nns+++??+=turkeys
for ^in++++=for
Thanksgiving ^np+++??+=Thanksgiving.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
pantry ^nn++++=pantry-door,
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him
a ^at++++=a
nice ^jj+atrb+++=nice
dishful ^nn+nom+++=dishful
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
savin ^nn+++??+=savin'
' ^zz++++=EXTRAWORD
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
next ^ap++++=next
day ^nn++++=day
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
hen ^nn++++=hen-turkey
- ^zz++++=EXTRAWORD
turkey ^np++++=EXTRAWORD
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
killed ^vbd+++xvbn+=killed
up ^rp++++=up
to ^in++++=to
old ^jj+atrb+++=old
Jim ^np++++=Jim
Scroggs ^np++++=Scroggs's
's ^$++++=EXTRAWORD
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
Folks ^nns++++=Folks
said ^vbd+vpub+tht0+xvbn+=said
Scroggs ^np+++??+=Scroggs
killed ^vbd+++xvbn+=killed
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
Scroggs ^np+++??+=Scroggs,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
to ^in++++=to
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't:
n't ^xnot++not++0=EXTRAWORD
: ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Scroggses ^np+++??+=Scroggses,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
a ^at++++=a
meal ^nn++++=meal
o ^zz++++=on't;
n't ^xnot++not++0=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
