Whatever ^nn+nom+++=WHATEVER
no ^at++++=no
longer ^rbr++++=longer
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
regard ^vb++++=regard
the ^ati++++=the
ether ^nn++++=ether
as ^in++++=as
an ^at++++=an
entity ^nn++++=entity,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
as ^ql++++=as
matter ^vb++++=matter.
. ^zz++++=EXTRAWORD
For ^in++++=For
want ^in"++++=want
of ^in"++++=of
a ^at++++=a
better ^jjr+atrb+++=better
word ^nn++++=word
we ^pp1a+pp1+++=we
might ^md+pos+++=might
term ^vb++++=term
it ^pp3+it+++=it
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
a ^at++++=a
step ^nn++++=step
beyond ^in++++=beyond
the ^ati++++=the
luminiferous ^jj+atrb+++=luminiferous
ether ^nn++++=ether
conceive ^vb+vprv+++=conceive
a ^at++++=a
matter ^nn++++=matter
as ^ql++++=as
much ^ap++++=much
more ^rbr++++=more
rare ^jj++++=rare
than ^in++++=than
the ^ati++++=the
ether ^nn++++=ether,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
ether ^nn++++=ether
is ^vbz+bez+vrb++=is
more ^rbr++++=more
rare ^jj+pred+++=rare
than ^in++++=than
the ^ati++++=the
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
arrive ^vb++++=arrive
at ^rb++++=at
once ^rb"+tm+++=once
( ^zz++++=(in
in ^in++++=EXTRAWORD
spite ^in"++++=spite
of ^in"++++=of
all ^abn++++=all
the ^ati++++=the
school ^nn++++=school
dogmas ^nns++++=dogmas)
) ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
unique ^jj+atrb+++=unique
mass ^nn++++=mass
an ^at++++=an
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
For ^in++++=For
although ^cs+con+++=although
we ^pp1a+pp1+++=we
may ^md+pos+++=may
admit ^vb+vpub+++=admit
infinite ^jj+atrb+++=infinite
littleness ^nns+nom+++=littleness
in ^in++++=in
the ^ati++++=the
atoms ^nns++++=atoms
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
infinitude ^nn+++??+=infinitude
of ^in++++=of
littleness ^nns+nom+++=littleness
in ^in++++=in
the ^ati++++=the
spaces ^nns++++=spaces
between ^in++++=between
them ^pp3o+pp3+++=them
is ^vbz+bez+vrb++=is
an ^at++++=an
absurdity ^nn+nom+++=absurdity.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
point ^nn++++=point
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
rarity ^nn++++=rarity,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
atoms ^nns++++=atoms
are ^vb+ber+vrb++=are
sufficiently ^rb++++=sufficiently
numerous ^jj+pred+++=numerous,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interspaces ^nns+++??+=interspaces
must ^md+nec+++=must
vanish ^vb++++=vanish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mass ^nn++++=mass
absolutely ^rb+amp+++=absolutely
coalesce ^vb++++=coalesce.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
consideration ^nn+nom+++=consideration
of ^in++++=of
the ^ati++++=the
atomic ^jj+atrb+++=atomic
constitution ^nn+nom+++=constitution
being ^vwbg+beg++xvbg+=being
now ^rn+tm+++=now
taken ^vpsv++agls+xvbn+=taken
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
mass ^nn++++=mass
inevitably ^rb++++=inevitably
glides ^nns+++??+=glides
into ^in++++=into
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
conceive ^vb+vprv+++=conceive
of ^in++++=of
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
as ^ql++++=as
fully ^rb+amp+++=fully
matter ^nn++++=matter
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
conceive ^vbi+vprv+++=conceive
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
imagine ^vbi+vprv+++=imagine
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
flatter ^vb++++=flatter
ourselves ^ppls+pp1+++=ourselves
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
formed ^vprf+++xvbnx+=formed
its ^pp$+it+++=its
conception ^nn+nom+++=conception,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
merely ^rb+down+splt++=merely
deceived ^vprf+++xvbnx+=deceived
our ^pp$+pp1+++=our
understanding ^nvbg+++xvbg+=understanding
by ^in++++=by
the ^ati++++=the
consideration ^nn+nom+++=consideration
of ^in++++=of
infinitely ^rb++++=infinitely
rarified ^jj+atrb+++=rarified
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
an ^at++++=an
insurmountable ^jj+atrb+++=insurmountable
objection ^nn+nom+++=objection
to ^in++++=to
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
absolute ^jj+atrb+++=absolute
coalescence ^nn+nom+++=coalescence
; ^zz++++=;
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
very ^ql+amp+++=very
slight ^jj+atrb+++=slight
resistance ^nn+nom+++=resistance
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
the ^ati++++=the
heavenly ^jj+atrb+++=heavenly
bodies ^nns++++=bodies
in ^in++++=in
their ^pp$+pp3+++=their
revolutions ^nns+nom+++=revolutions
through ^in++++=through
space ^nn++++=space
a ^at++++=a
resistance ^nn+nom+++=resistance
now ^rn+tm+++=now
ascertained ^vbd+vprv++xvbn+=ascertained,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
to ^to++++=to
exist ^vbi++++=exist
in ^in++++=in
some ^dti++++=some
degree ^nn++++=degree,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
slight ^jj++++=slight
as ^in++++=as
to ^in"++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
quite ^abl++++=quite
overlooked ^vpsv++by+xvbn+=overlooked
by ^in++++=by
the ^ati++++=the
sagacity ^nn+nom+++=sagacity
even ^rb++++=even
of ^in++++=of
Newton ^nn++++=Newton.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
resistance ^nn+nom+++=resistance
of ^in++++=of
bodies ^nns++++=bodies
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
chiefly ^rb+cnj+++=chiefly,
, ^zz++++=EXTRAWORD
in ^in++++=in
proportion ^nn+nom+++=proportion
to ^in++++=to
their ^pp$+pp3+++=their
density ^nn+nom+++=density.
. ^zz++++=EXTRAWORD
Absolute ^jj+atrb+++=Absolute
coalescence ^nn+nom+++=coalescence
is ^vbz+bez+vrb++=is
absolute ^jj+atrb+++=absolute
density ^nn+nom+++=density.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
interspaces ^nns++++=interspaces,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
no ^at++++=no
yielding ^nn++++=yielding.
. ^zz++++=EXTRAWORD
An ^at++++=An
ether ^nn++++=ether,
, ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely
dense ^jj++++=dense,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
put ^vb+++xvbn+=put
an ^at++++=an
infinitely ^rb++++=infinitely
more ^rbr++++=more
effectual ^jj++++=effectual
stop ^vb++++=stop
to ^in++++=to
the ^ati++++=the
progress ^nns+nom+++=progress
of ^in++++=of
a ^at++++=a
star ^nn++++=star
than ^in++++=than
would ^md+prd+++=would
an ^at++++=an
ether ^nn++++=ether
of ^in++++=of
adamant ^jj++++=adamant
or ^cc++++=or
of ^in++++=of
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
objection ^nn+nom+++=objection
is ^vbz+bez+aux++=is
answered ^vpsv++agls+xvbnx+=answered
with ^in++++=with
an ^at++++=an
ease ^nn++++=ease
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
nearly ^rb+down+++=nearly
in ^in++++=in
the ^ati++++=the
ratio ^nn++++=ratio
of ^in++++=of
its ^pp$+it+++=its
apparent ^jj+atrb+++=apparent
unanswerability ^nn+nom+++=unanswerability.
. ^zz++++=EXTRAWORD
As ^in++++=As
regards ^in"++++=regards
the ^ati++++=the
progress ^nns+nom+++=progress
of ^in++++=of
the ^ati++++=the
star ^nn++++=star,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
make ^vb++++=make
no ^at++++=no
difference ^nn+nom+++=difference
whether ^cs+who+++=whether
the ^ati++++=the
star ^nn++++=star
passes ^vbz++++=passes
through ^in++++=through
the ^ati++++=the
ether ^nn++++=ether
or ^cc++++=or
the ^ati++++=the
ether ^nn++++=ether
through ^in++++=through
it ^pp3+it+++=it
. ^zz++++=.
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
astronomical ^jj+atrb+++=astronomical
error ^nn++++=error
more ^rbr++++=more
unaccountable ^jj++++=unaccountable
than ^in++++=than
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
reconciles ^vbz+++??+=reconciles
the ^ati++++=the
known ^jj+atrb++xvbn+=known
retardation ^nn+nom+++=retardation
of ^in++++=of
the ^ati++++=the
comets ^nns++++=comets
with ^in++++=with
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
their ^pp$+pp3+++=their
passage ^nn+nom+++=passage
through ^in++++=through
an ^at++++=an
ether ^nn++++=ether:
: ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
rare ^jj++++=rare
this ^dt+dem+++=this
ether ^nn++++=ether
be ^vb+be+aux++=be
supposed ^vpsv++agls+xvbnx+=supposed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
put ^vb+++xvbn+=put
a ^at++++=a
stop ^nn++++=stop
to ^in++++=to
all ^abn++++=all
sidereal ^jj+atrb+++=sidereal
revolution ^nn+nom+++=revolution
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
far ^rb+pl+++=far
briefer ^jjr+atrb+++=briefer
period ^nn++++=period
than ^in++++=than
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
admitted ^vpsv++by+xvbnx+=admitted
by ^in++++=by
those ^dt+dem+++=those
astronomers ^nns+nom+++=astronomers
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
endeavored ^vprf+++xvbnx+=endeavored
to ^to+vcmp+++=to
slur ^vb++++=slur
over ^in++++=over
a ^at++++=a
point ^nn++++=point
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
impossible ^jj++++=impossible
to ^to+jcmp+++=to
comprehend ^vb+++??+=comprehend.
. ^zz++++=EXTRAWORD
The ^ati++++=The
retardation ^nn+nom+++=retardation
actually ^rb+amp+++=actually
experienced ^jj+++xvbn+=experienced
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
about ^in++++=about
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
might ^md+pos+++=might
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
from ^in++++=from
the ^ati++++=the
friction ^nn+nom+++=friction
of ^in++++=of
the ^ati++++=the
ether ^nn++++=ether
in ^in++++=in
the ^ati++++=the
instantaneous ^jj+atrb+++=instantaneous
passage ^nn+nom+++=passage
through ^in++++=through
the ^ati++++=the
orb ^nn+++??+=orb.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
one ^cd1++++=one
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
retarding ^jj+atrb++xvbg+=retarding
force ^nn++++=force
is ^vbz+bez+vrb++=is
momentary ^jj+pred+++=momentary
and ^cc+phrs+++=and
complete ^jj++++=complete
within ^in++++=within
itself ^ppl++++=itself
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
endlessly ^rb++++=endlessly
accumulative ^jj+pred+++=accumulative.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
all ^abn++++=all
this ^dt+dem+++=this
in ^in++++=in
this ^dt+dem+++=this
identification ^nn+nom+++=identification
of ^in++++=of
mere ^jjb+atrb+++=mere
matter ^nn++++=matter
with ^in++++=with
God ^nn++++=God
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
nothing ^pn++++=nothing
of ^in++++=of
irreverence ^nn+nom+++=irreverence
? ^zz++++=?
[ ^zz++++=[
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
repeat ^vbi++++=repeat
this ^dt+dem+++=this
question ^nn+nom+++=question
before ^cs+sub+++=before
the ^ati++++=the
sleep ^nn++++=sleep-waker
- ^zz++++=EXTRAWORD
waker ^jjr++++=EXTRAWORD
fully ^rb+amp+++=fully
comprehended ^vbd+++xvbn+=comprehended
my ^pp$+pp1+++=my
meaning ^nvbg+++xvbg+=meaning
. ^zz++++=.]
] ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
why ^wrb+who+whcl++=why
matter ^nn++++=matter
should ^md+nec+++=should
be ^vb+be+aux++=be
less ^rbr++splt++=less
reverenced ^vpsv++agls+xvbnx+=reverenced
than ^in++++=than
mind ^nn++++=mind
? ^zz++++=?
But ^cc+cls+++=But
you ^pp2+pp2+++=you
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
speak ^vb++++=speak
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
respects ^nns++++=respects,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
" ^zz++++="mind"
mind ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="spirit"
spirit ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^in++++=as
regards ^in"++++=regards
its ^pp$+it+++=its
high ^jj+atrb+++=high
capacities ^nns+nom+++=capacities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="matter"
matter ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
schools ^nns++++=schools
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time.
. ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
powers ^nns++++=powers
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
but ^cc++++=but
the ^ati++++=the
perfection ^nn+nom+++=perfection
of ^in++++=of
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
assert ^vb+vpub+++=assert,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
in ^in++++=in
motion ^nn++++=motion,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
In ^rb++++=In
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
motion ^nn++++=motion
is ^vbz+bez+vrb++=is
the ^ati++++=the
universal ^nn+nom+++=universal
thought ^vbd+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
universal ^nn+nom+++=universal
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
thought ^nn+++xvbn+=thought
creates ^nns+nom+++=creates.
. ^zz++++=EXTRAWORD
All ^abn++++=All
created ^jj+atrb++xvbn+=created
things ^nns++++=things
are ^vb+ber+vrb++=are
but ^cc++++=but
the ^ati++++=the
thoughts ^nns++++=thoughts
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="in
in ^rb++++=EXTRAWORD
general ^rb"++++=general."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
universal ^nn+nom+++=universal
mind ^nn++++=mind
is ^vbz+bez+vrb++=is
God ^np++++=God.
. ^zz++++=EXTRAWORD
For ^in++++=For
new ^jj+atrb+++=new
individualities ^nns+nom+++=individualities,
, ^zz++++=EXTRAWORD
matter ^nn++++=matter
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
now ^rn+tm+++=now
speak ^vb++++=speak
of ^in++++=of
" ^zz++++="mind"
mind ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="matter"
matter ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
do ^vb+do+vrb++=do
the ^ati++++=the
metaphysicians ^nns++++=metaphysicians.
. ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
to ^to++++=to
avoid ^vbi++++=avoid
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
" ^zz++++="mind,"
mind ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
the ^ati++++=the
unparticled ^jj+atrb++xvbn+=unparticled
or ^cc+phrs+++=or
ultimate ^jj+atrb+++=ultimate
matter ^nn++++=matter
; ^zz++++=;
by ^in++++=by
" ^zz++++="matter,"
matter ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
intend ^vb++++=intend
all ^rb++++=all
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+aux++=were
saying ^vbg+++xvbgx+=saying
that ^tht+vcmp+++=that
" ^zz++++="for
for ^in++++=EXTRAWORD
new ^jj+atrb+++=new
individualities ^nns+nom+++=individualities
matter ^nn++++=matter
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
; ^zz++++=;
for ^in++++=for
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=existing
unincorporate ^nn+nom+++=unincorporate,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
God ^np++++=God.
. ^zz++++=EXTRAWORD
To ^to++++=To
create ^vbi++++=create
individual ^jj++++=individual,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^in+jcmp+++=to
incarnate ^jj+atrb+++=incarnate
portions ^nns+nom+++=portions
of ^in++++=of
the ^ati++++=the
divine ^jj+atrb+++=divine
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
man ^nn++++=man
is ^vbz+bez+aux++=is
individualized ^vpsv++agls+xvbnx+=individualized.
. ^zz++++=EXTRAWORD
Divested ^np+++??+=Divested
of ^in++++=of
corporate ^jj+atrb+++=corporate
investiture ^nn+++??+=investiture,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
God ^np++++=God.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
the ^ati++++=the
particular ^jj+atrb+++=particular
motion ^nn++++=motion
of ^in++++=of
the ^ati++++=the
incarnated ^jj+atrb++xvbn+=incarnated
portions ^nns+nom+++=portions
of ^in++++=of
the ^ati++++=the
unparticled ^jj+atrb++xvbn+=unparticled
matter ^nn++++=matter
is ^vbz+bez+vrb++=is
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
man ^nn++++=man
; ^zz++++=;
as ^ql++++=as
the ^ati++++=the
motion ^nn++++=motion
of ^in++++=of
the ^ati++++=the
whole ^nn++++=whole
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
divested ^vwbn+++xvbn+=divested
of ^in++++=of
the ^ati++++=the
body ^nn++++=body
man ^nn++++=man
will ^md+prd+++=will
be ^vb+be+vrb++=be
God ^np++++=God?
? ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
[ ^zz++++=[After
after ^in++++=EXTRAWORD
much ^ap++++=much
hesitation ^nn+nom+++=hesitation.
. ^zz++++=EXTRAWORD
] ^zz++++=]
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
said ^vprf++tht0+xvbnx+=said
this ^dt+pdem+++=this
; ^zz++++=;
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
absurdity ^nn+nom+++=absurdity.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Referring
referring ^vbg+++xvbg+=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
notes ^nns++++=notes.
. ^zz++++=EXTRAWORD
] ^zz++++=]
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
" ^zz++++="divested
divested ^jj+++xvbn+=EXTRAWORD
of ^in++++=of
corporate ^jj+atrb+++=corporate
investiture ^nn+++??+=investiture
man ^nn++++=man
were ^vbd+bed+vrb++=were
God ^np++++=God."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
thus ^rb+cnj+++=thus
divested ^jj+++xvbn+=divested
would ^md+prd+++=would
be ^vb+be+aux++=be
God ^np++++=God
would ^md+prd+++=would
be ^vb+be+aux++=be
unindividualized ^vpsv++agls+xvbnx+=unindividualized.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
can ^md+pos+++=can
never ^rb++++=never
be ^vb+be+aux++=be
thus ^rb+cnj+splt++=thus
divested ^vpsv++agls+xvbnx+=divested
at ^rb++++=at
least ^rb"++++=least
never ^rb++++=never
will ^md+prd+++=will
be ^vb+be+vrb++=be
else ^rb+cnj+++=else
we ^pp1a+pp1+++=we
must ^md+nec+++=must
imagine ^vb+vprv+++=imagine
an ^at++++=an
action ^nn++++=action
of ^in++++=of
God ^np++++=God
returning ^vwbg+++xvbg+=returning
upon ^in++++=upon
itself ^ppl++++=itself
a ^at++++=a
purposeless ^jj+atrb+++=purposeless
and ^cc+phrs+++=and
futile ^jj+atrb+++=futile
action ^nn++++=action.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
is ^vbz+bez+vrb++=is
a ^at++++=a
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
Creatures ^nns++++=Creatures
are ^vb+ber+vrb++=are
thoughts ^nns++++=thoughts
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
thought ^vb+++xvbn+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
irrevocable ^jj+pred+++=irrevocable.
. ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
