[ ^zz++++=[The
the ^ati++++=the
regular ^jj+atrb+++=regular
slave ^nn++++=slave
rights ^nns++++=rights
under ^in++++=under
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
under ^in++++=under
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
deprived ^vpsv++agls+xvbnx+=deprived
of ^in++++=of
many ^ap++++=many
of ^in++++=of
their ^pp$+pp3+++=their
rights ^nns++++=rights
by ^in++++=by
the ^ati++++=the
two ^cd++++=two
overseers ^nns+nom+++=overseers
of ^in++++=of
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom,
, ^zz++++=EXTRAWORD
Joseph ^np++++=Joseph
Clancy ^np+++??+=Clancy
and ^cc++++=and
Adolph ^np+++??+=Adolph
Munster ^np+nom++??+=Munster.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
long ^jj+atrb+++=long
story ^nn++++=story,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
tell ^vb++++=tell
all ^rb++++=all
of ^in++++=of
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
tell ^vb++++=tell
only ^rb+down+++=only
about ^in++++=about
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
a ^at++++=a
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
starvation ^nn+nom+++=starvation
wage ^nn++++=wage
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
back ^jjb++++=back
each ^dt++++=each
month ^nn++++=month
and ^cc++++=and
put ^vpsv++agls+xvbn+=put
into ^in++++=into
a ^at++++=a
fund ^nn++++=fund.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
fund ^nn++++=fund
was ^vbd+bedz+vrb++=was
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
helping ^xvbg+++xvbg+=helping
such ^abl++++=such
unfortunate ^jj++++=unfortunate
fellowworkmen ^jj+++xvbn+=fellowworkmen
as ^cs+sub+++=as
happened ^vb+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
injured ^vpsv++by+xvbnx+=injured
by ^in++++=by
accidents ^nns++++=accidents
or ^cc++++=or
to ^to++++=to
be ^vbi+vbi+aux++=be
overtaken ^vpsv++by+xvbnx+=overtaken
by ^in++++=by
sickness ^nns+nom+++=sickness.
. ^zz++++=EXTRAWORD
As ^ql++++=As
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
with ^in++++=with
yourselves ^ppls+pp2+++=yourselves,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
funds ^nns++++=funds
are ^vb+ber+aux++=are
controlled ^vpsv++by+xvbnx+=controlled
by ^in++++=by
the ^ati++++=the
overseers ^nns+nom+++=overseers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
fund ^nn++++=fund
at ^in++++=at
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
was ^vbd+bedz+aux++=was
controlled ^vpsv++by+xvbnx+=controlled
by ^in++++=by
the ^ati++++=the
two ^cd++++=two
overseers ^nns+nom+++=overseers
of ^in++++=of
accursed ^jj+atrb+++=accursed
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
took ^vbd+++xvbn+=took
this ^dt+dem+++=this
fund ^nn++++=fund
for ^in++++=for
their ^pp$+pp3+++=their
own ^ap++++=own
use ^nn++++=use.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
accidents ^nns++++=accidents
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
the ^ati++++=the
workmen ^nns++++=workmen,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
fellows ^nns++++=fellows,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
made ^jj+atrb++xvbn+=made
grants ^nns++++=grants
from ^in++++=from
the ^ati++++=the
fund ^nn++++=fund;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
overseers ^nns+nom+++=overseers
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
pay ^vbi++++=pay
over ^in++++=over
the ^ati++++=the
grants ^nns++++=grants.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
could ^md+pos+++=could
the ^ati++++=the
slaves ^nns++++=slaves
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
rights ^nns++++=rights
under ^in++++=under
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
that ^dt+pdem+++=that
complained ^vbd+vpub++xvbn+=complained
to ^in++++=to
the ^ati++++=the
overseers ^nns+nom+++=overseers
were ^vbd+bed+aux++=were
punished ^vpsv++agls+xvbnx+=punished.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
yourselves ^ppls+pp2+++=yourselves
what ^wdt+who+++=what
form ^nn++++=form
such ^abl++++=such
punishment ^nn+nom+++=punishment
takes ^vbz++++=takes--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
fines ^nns++++=fines
for ^in++++=for
faulty ^jj+atrb+++=faulty
work ^nn++++=work
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
faulty ^jj++++=faulty;
; ^zz++++=EXTRAWORD
the ^ati++++=the
overcharging ^jj+++xvbg+=overcharging
of ^in++++=of
accounts ^nns++++=accounts
in ^in++++=in
the ^ati++++=the
Company ^np++++=Company's
's ^$++++=EXTRAWORD
store ^nn++++=store;
; ^zz++++=EXTRAWORD
the ^ati++++=the
vile ^jj+atrb+++=vile
treatment ^nn+nom+++=treatment
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
women ^nns++++=women
and ^cc++++=and
children ^nns++++=children;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
allotment ^nn+nom+++=allotment
to ^in++++=to
bad ^jj+atrb+++=bad
machines ^nns++++=machines
whereon ^wrb+who+++=whereon,
, ^zz++++=EXTRAWORD
work ^nn++++=work
as ^ql++++=as
one ^cd1++++=one
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
starves ^nns+++??+=starves.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
slaves ^nns++++=slaves
of ^in++++=of
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
protested ^jj+++xvbn+=protested
to ^in++++=to
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
spent ^vbd+++xvbnx+=spent
several ^ap++++=several
months ^nns++++=months
in ^in++++=in
Kingsbury ^np+++??+=Kingsbury.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves
could ^md+pos+++=could
write ^vb++++=write;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
chanced ^vbd+++xvbn+=chanced
that ^cs+sub+++=that
his ^pp$+pp3+++=his
mother ^nn++++=mother
could ^md+pos+++=could
write ^vb++++=write,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
secretly ^rb++splt++=secretly
taught ^vprf+++xvbnx+=taught
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
mother ^nn++++=mother
had ^vb+hv+aux++=had
secretly ^rb++splt++=secretly
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
So ^ql++++=So
this ^dt+dem+++=this
slave ^nn++++=slave
wrote ^vbd+vprv++xvbn+=wrote
a ^at++++=a
round ^in++++=round
robin ^np++++=robin,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+whq++=wherein
was ^vbd+bedz+aux++=was
contained ^vpsv++agls+xvbnx+=contained
their ^pp$+pp3+++=their
grievances ^nns+nom+++=grievances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
slaves ^nns++++=slaves
signed ^vwbn+++xvbn+=signed
by ^in++++=by
mark ^nn++++=mark.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
with ^in++++=with
proper ^jj+atrb+++=proper
stamps ^nns++++=stamps
upon ^in++++=upon
the ^ati++++=the
envelope ^nn++++=envelope,
, ^zz++++=EXTRAWORD
the ^ati++++=the
round ^in++++=round
robin ^np++++=robin
was ^vbd+bedz+aux++=was
mailed ^vpsv++agls+xvbnx+=mailed
to ^in++++=to
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
did ^vbd+dod+vrb++=did
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
save ^vb++++=save
to ^to++++=to
turn ^vbi++++=turn
the ^ati++++=the
round ^in++++=round
robin ^np++++=robin
over ^in++++=over
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
overseers ^nns+nom+++=overseers.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
were ^vbd+bed+aux++=were
angered ^vpsv++agls+xvbnx+=angered.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
guards ^nns++++=guards
loose ^jj++++=loose
at ^in++++=at
night ^nn++++=night
on ^in++++=on
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guards ^nns++++=guards
were ^vbd+bed+aux++=were
armed ^vpsv++agls+xvbnx+=armed
with ^in++++=with
pick ^vb++++=pick
handles ^nns++++=handles.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
next ^ap++++=next
day ^nn++++=day
only ^ap+down+++=only
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves
were ^vbd+bed+vrb++=were
able ^jj+pred+++=able
to ^to+jcmp+++=to
work ^vb++++=work
in ^in++++=in
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
well ^rb++++=well
beaten ^vbd+++xvbn+=beaten.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
who ^whp+rel+subj++=who
could ^md+pos+++=could
write ^vb++++=write
was ^vbd+bedz+aux++=was
so ^ql++++=so
badly ^rb++++=badly
beaten ^vprf+++xvbn+=beaten
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
only ^rb+down+++=only
three ^cd++++=three
months ^nns++++=months.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
to ^to++++=to
what ^wdt+who+++=what
purpose ^nn++++=purpose
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
or ^cc++++=or
five ^cd++++=five
weeks ^nns++++=weeks
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
a ^at++++=a
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
his ^pp$+pp3+++=his
arm ^vb++++=arm
torn ^vbd+++xvbn+=torn
off ^rb+phrv+++=off
by ^in++++=by
a ^at++++=a
belt ^nn++++=belt
in ^in++++=in
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fellow ^jjb++++=fellow-workmen,
- ^zz++++=EXTRAWORD
workmen ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
a ^at++++=a
grant ^nn++++=grant
to ^in++++=to
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
fund ^nn++++=fund,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
refused ^vb+++xvbn+=refused
to ^to+vcmp+++=to
pay ^vbi++++=pay
it ^pp3+it+++=it
over ^rb++++=over
from ^in++++=from
the ^ati++++=the
fund ^nn++++=fund.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
who ^whp+rel+subj++=who
could ^md+pos+++=could
write ^vb++++=write,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+obj++=who
even ^rb++++=even
then ^rn+tm+++=then
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying,
, ^zz++++=EXTRAWORD
wrote ^jj+atrb++xvbn+=wrote
anew ^nn+++??+=anew
a ^at++++=a
recital ^nn++++=recital
of ^in++++=of
their ^pp$+pp3+++=their
grievances ^nns+nom+++=grievances.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
document ^nn+nom+++=document
was ^vbd+bedz+aux++=was
thrust ^vpsv++agls+xvbnx+=thrust
into ^in++++=into
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
the ^ati++++=the
arm ^vb++++=arm
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
from ^in++++=from
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
chanced ^vbd+++xvbn+=chanced
that ^cs+sub+++=that
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
ill ^jj++++=ill
in ^in++++=in
his ^pp$+pp3+++=his
palace ^nn++++=palace
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
Kingsbury ^np+++??+=Kingsbury--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
the ^ati++++=the
dire ^jjb+atrb+++=dire
illness ^nns+nom+++=illness
that ^tht+rel+subj++=that
strikes ^vbz++++=strikes
down ^rp++++=down
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers;
; ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
biliousness ^nns+nom+++=biliousness,
, ^zz++++=EXTRAWORD
mayhap ^nn+++??+=mayhap,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
bad ^jj+atrb+++=bad
headache ^nn++++=headache
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
eaten ^vprf+++xvbnx+=eaten
too ^ql++++=too
heartily ^rb++++=heartily
or ^cc++++=or
drunk ^vprf+++xvbn+=drunk
too ^ql++++=too
deeply ^rb++++=deeply.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
tender ^jj++++=tender
and ^cc+phrs+++=and
soft ^jj++++=soft
from ^in++++=from
careful ^jj+atrb+++=careful
rearing ^nn++++=rearing.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
men ^nns++++=men,
, ^zz++++=EXTRAWORD
packed ^j+++xvbn+=packed
in ^in++++=in
cotton ^nn++++=cotton
wool ^nn++++=wool
all ^rb++++=all
their ^pp$+pp3+++=their
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
exceeding ^vbg+++xvbgx+=exceeding
tender ^jj++++=tender
and ^cc+phrs+++=and
soft ^jj++++=soft.
. ^zz++++=EXTRAWORD
Believe ^vb+vprv+++=Believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
felt ^vbd+vprv++xvbn+=felt
as ^ql++++=as
badly ^rb++++=badly
with ^in++++=with
his ^pp$+pp3+++=his
aching ^vbg+++xvbg+=aching
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Thought ^nn+++xvbn+=THOUGHT
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
as ^ql++++=as
badly ^rb+cnj+++=badly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Tom ^np++++=Tom
Dixon ^np++++=Dixon
really ^rb+emph+++=really
felt ^vbd+vprv++xvbn+=felt
with ^in++++=with
his ^pp$+pp3+++=his
arm ^vb++++=arm
torn ^vbd+++xvbn+=torn
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
was ^vbd+bedz+vrb++=was
fond ^jj+pred+++=fond
of ^in++++=of
scientific ^jj+atrb+++=scientific
farming ^nvbg+++xvbg+=farming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
on ^rp++++=on
his ^pp$+pp3+++=his
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
three ^cd++++=three
miles ^nns++++=miles
outside ^in+cmpx+++=outside
of ^in"++++=of
Kingsbury ^np+++??+=Kingsbury,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
managed ^vprf+++xvbnx+=managed
to ^to+vcmp+++=to
grow ^vbi++++=grow
a ^at++++=a
new ^jj++++=new
kind ^rb++++=kind
of ^rb"++++=of
strawberry ^nn++++=strawberry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
proud ^jj++++=proud
of ^in++++=of
that ^dt+dem+++=that
new ^jj+atrb+++=new
strawberry ^nn++++=strawberry
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
out ^rp+pl+++=out
to ^to++++=to
see ^vbi+vprv+++=see
and ^cc+phrs+++=and
pick ^vb++++=pick
the ^ati++++=the
first ^rb++++=first
ripe ^jj+atrb+++=ripe
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
his ^pp$+pp3+++=his
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
of ^in"++++=of
his ^pp$+pp3+++=his
illness ^nns+nom+++=illness
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
ordered ^vprf+++xvbnx+=ordered
the ^ati++++=the
old ^jj+atrb+++=old
farm ^nn++++=farm
slave ^nn++++=slave
to ^to++++=to
bring ^vbi++++=bring
in ^rb+phrv+++=in
personally ^rb++++=personally
the ^ati++++=the
first ^od++++=first
box ^nn++++=box
of ^in++++=of
the ^ati++++=the
berries ^nns++++=berries.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
learned ^vpsv++agls+xvbnx+=learned
from ^in++++=from
the ^ati++++=the
gossip ^nn++++=gossip
of ^in++++=of
a ^at++++=a
palace ^nn++++=palace
scullion ^nn+++??+=scullion,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
slept ^vbd+++xvbn+=slept
each ^dt++++=each
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
overseer ^nn+nom+++=overseer
of ^in++++=of
the ^ati++++=the
plantation ^nn+nom+++=plantation
should ^md+nec+++=should
have ^vb+hv+aux++=have
brought ^vprf+++xvbnx+=brought
in ^rb+phrv+++=in
the ^ati++++=the
berries ^nns++++=berries,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
leg ^nn++++=leg
from ^in++++=from
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
break ^vbi++++=break
a ^at++++=a
colt ^nn++++=colt.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scullion ^nn++++=scullion
brought ^vbd+++xvbn+=brought
the ^ati++++=the
word ^nn++++=word
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
next ^ap++++=next
day ^nn++++=day
the ^ati++++=the
berries ^nns++++=berries
would ^md+prd+++=would
come ^vb++++=come
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen
of ^in++++=of
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
men ^nns++++=men
and ^cc++++=and
not ^xnot++not++=not
cowards ^nns++++=cowards,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
a ^at++++=a
council ^nn++++=council.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
who ^whp+rel+subj++=who
could ^md+pos+++=could
write ^vb++++=write,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
sick ^jj+pred+++=sick
and ^cc+phrs+++=and
dying ^jj+++xvbg+=dying
from ^in++++=from
the ^ati++++=the
pick ^vb++++=pick-handle
- ^zz++++=EXTRAWORD
handle ^vb++++=EXTRAWORD
beating ^nvbg+++xvbg+=beating,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
carry ^vb++++=carry
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^vb++++=arm;
; ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
must ^md+nec+++=must
die ^vb++++=die
anyway ^rb+cnj+++=anyway,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
mattered ^vbd+++xvbn+=mattered
nothing ^pn++++=nothing
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died
a ^rb++++=a
little ^rb"++++=little
sooner ^rbr++++=sooner.
. ^zz++++=EXTRAWORD
So ^ql++++=So
five ^cd++++=five
slaves ^nns++++=slaves
stole ^vbd+++xvbn+=stole
from ^in++++=from
the ^ati++++=the
slave ^nn++++=slave
pen ^nn++++=pen
that ^tht+rel+++=that
night ^nn++++=night
after ^cs+sub+++=after
the ^ati++++=the
guards ^nns++++=guards
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
their ^pp$+pp3+++=their
last ^jj+atrb+++=last
rounds ^nns++++=rounds.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
slaves ^nns++++=slaves
was ^vbd+bedz+vrb++=was
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
could ^md+pos+++=could
write ^vb++++=write.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
in ^in++++=in
the ^ati++++=the
brush ^nn++++=brush
by ^in++++=by
the ^ati++++=the
roadside ^nn++++=roadside
until ^in++++=until
late ^jj++++=late
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
old ^jj+atrb+++=old
farm ^nn++++=farm
slave ^nn++++=slave
came ^vbd+++xvbn+=came
driving ^nvbg+++xvbg+=driving
to ^in++++=to
town ^nn++++=town
with ^in++++=with
the ^ati++++=the
precious ^jj+atrb+++=precious
fruit ^nn++++=fruit
for ^in++++=for
the ^ati++++=the
master ^nn++++=master.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
of ^in++++=of
the ^ati++++=the
farm ^nn++++=farm
