Knowing ^vbg+vprv++xvbg+=Knowing
only ^rb+down+++=only
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
girls ^nns++++=girls
are ^vb+ber+aux++=aren't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
married ^vwbn+++xvbn+=married
at ^rb++++=at
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
_anything_ ^nn+++??+=_anything_
to ^to++++=to
help ^vbi++++=help
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
_want_ ^jj+++??+=_want_
to ^to++++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Hush ^vb++++=Hush,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wo ^&fw++++=won't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
talking ^xvbg+++xvbg+=talking?
? ^zz++++=EXTRAWORD
_help_ ^nn+++??+=_Help_
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
failed ^vprf+++xvbnx+=failed
me ^pp1o+pp1+++=me
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Phil ^np++++=Phil,
, ^zz++++=EXTRAWORD
help ^nn++++=help
me ^pp1o+pp1+++=me
to ^to++++=to
keep ^vbi++++=keep
alive ^jj++++=alive.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Feverishly._)
_feverishly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
you ^pp2+pp2+++=you
wish ^nn++++=wish
me ^pp1o+pp1+++=me
to ^to++++=to
live ^vbi++++=live.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
sorry ^uh++++=sorry
when ^wrb+who+++=when
that ^dt+dem+++=that
horrid ^jj+atrb+++=horrid
Baby ^nn++++=Baby
thing ^nn++++=thing
died ^vbd+++xvbn+=died.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
killed ^vprf+++xvbnx+=killed
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Drawing
_drawing ^jj+++xvbg+=EXTRAWORD
his ^pp$+pp3+++=his
hand ^nn++++=hand
across ^in+pl+++=across
his ^pp$+pp3+++=his
forehead._ ^nn+++??+=forehead._)
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
bear--it ^vb+++??+=bear--it's
's ^$++++=EXTRAWORD
not ^xnot++not++=not
right ^jj++++=right.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aloud._)
_aloud._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
die ^vb++++=die
for ^in++++=for
you ^pp2+pp2+++=you
if ^cs+cnd+++=if
it ^pp3+it+++=it
would ^md+prd+++=would
help ^vb++++=help.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
No ^at++++=No
more ^rbr++++=more
death ^nn++++=death.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
enough ^dt++++=enough
already ^rb++++=already.
. ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
_you_ ^nn+++??+=_you_
die ^vb++++=die
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
dared ^vbd+++xvbnx+=dared.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
' ^zz++++='Till
till ^cs+sub+++=EXTRAWORD
Death ^nn++++=Death
do ^vb+do+vrb++=do
us ^pp1o+pp1+++=us
part ^nn++++=part.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
after ^in++++=after
that ^dt+pdem+++=that--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
use ^nn++++=use.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stops ^vbz++++=stops
at ^rb++++=at
the ^ati++++=the
dying ^nvbg+++xvbg+=dying.
. ^zz++++=EXTRAWORD
_why_ ^nn+++??+=_Why_
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
stop ^vb++++=stop
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
such ^abl++++=such
a ^at++++=a
very ^ql+amp+++=very
short ^jj+atrb+++=short
life ^nn++++=life,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry
we ^pp1a+pp1+++=we
married ^vbd+++xvbn+=married.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
No ^at++++=No!
! ^zz++++=EXTRAWORD
Anything ^rb++++=Anything
but ^rb"++++=but
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Min ^nnu++++=Min!
! ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
forget ^vb+vprv+++=forget
and ^cc++++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
forget ^vb+vprv+++=forget.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip,
, ^zz++++=EXTRAWORD
_do ^vb+++??+=_don't_
n't_ ^vbd+++xvbn+0=EXTRAWORD
forget ^vb+vprv+++=forget!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
loved ^xvbn+++xvbn+=loved
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
cross ^nn++++=cross
sometimes ^rb++++=sometimes.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
ever ^rb++++=ever
did ^vbd+dod+vrb++=did
anything ^pn++++=anything
that ^cs+sub+++=that
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like,
, ^zz++++=EXTRAWORD
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
never ^rb++++=never
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
darling ^np+nom+++=darling.
. ^zz++++=EXTRAWORD
On ^in++++=On
my ^pp$+pp1+++=my
soul ^nn++++=soul
and ^cc++++=and
honour ^nn++++=honour
you ^pp2+pp2+++=you
never ^rb++++=never
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
thing ^nn++++=thing
to ^to++++=to
forgive ^vbi++++=forgive
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sulked ^vbd+++xvbnx+=sulked
for ^in++++=for
a ^at++++=a
whole ^jj+atrb+++=whole
week ^nn++++=week
about ^in++++=about
those ^dt+dem+++=those
petunias ^nns+++??+=petunias.
. ^zz++++=EXTRAWORD
( ^zz++++=(_With
_with ^nn+++??+=EXTRAWORD
a ^at++++=a
laugh._ ^nn+++??+=laugh._)
) ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^rb++++=a
little ^rb"++++=little
wretch ^nn++++=wretch
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
grieved ^vwbn+++xvbn+=grieved
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were!
! ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
me ^pp1o+pp1+++=me
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
to ^to++++=to
forgive ^vbi++++=forgive.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
fault ^nn++++=fault.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
_were_ ^nn+++??+=_were_
too ^ql++++=too
near ^in+pl+++=near
the ^ati++++=the
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
For ^in++++=For
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
_do ^vb+++??+=_don't_
n't_ ^vbd+++xvbn+0=EXTRAWORD
talk ^nn++++=talk
so ^ql++++=so,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
such ^abl++++=such
a ^at++++=a
lot ^nn++++=lot
to ^to++++=to
say ^vbi+vpub+++=say
and ^cc++++=and
so ^ql++++=so
little ^ap++++=little
time ^nn++++=time
to ^to++++=to
say ^vbi+vpub+++=say
it ^pp3+it+++=it
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
always ^rb++++=always
love ^nn++++=love
me ^pp1o+pp1+++=me--until
-- ^--+clp+++=EXTRAWORD
until ^in++++=EXTRAWORD
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Until ^in++++=Until
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Carried
_carried ^jj+atrb++xvbn+=EXTRAWORD
away._ ^nn+++??+=away._)
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
_must_ ^nn+++??+=_must_
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
loved ^vprf+++xvbnx+=loved
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Relapsing
_relapsing ^jj+++xvbg+=EXTRAWORD
into ^in++++=into
semi ^nn+++??+=semi-delirium._)
- ^zz++++=EXTRAWORD
delirium._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
_my_ ^nn+++??+=_My_
Church ^nn++++=Church-service
- ^zz++++=EXTRAWORD
service ^nn++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
an ^at++++=an
ivory ^nn++++=ivory-cross
- ^zz++++=EXTRAWORD
cross ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
_it_ ^nn+++??+=_it_
says ^vbz+vpub+++=says
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
' ^zz++++='Till
till ^cs+sub+++=EXTRAWORD
Death ^nn++++=Death
do ^vb+do+vrb++=do
us ^pp1o+pp1+++=us
part. ^nn+++??+=part.'--But
'--but ^nn+++??+=EXTRAWORD
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
( ^zz++++=(_With
_with ^nn+++??+=EXTRAWORD
a ^at++++=a
parody ^nn++++=parody
of_ ^nn+++??+=of_
G. ^np++++=G.'s
's ^$++++=EXTRAWORD
_manner._ ^nn+++??+=_manner._)
) ^zz++++=EXTRAWORD
A ^at++++=A
damned ^nn++++=damned
lie ^vb++++=lie!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Recklessly._)
_recklessly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
swear ^vb+vpub++xvbn+=swear
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
Trooper ^nn++++=Trooper
Pip ^np+++??+=Pip.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
my ^pp$+pp1+++=my
head ^jjb++++=head
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
off ^rb+phrv+++=off
my ^pp$+pp1+++=my
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
_can_ ^nn+++??+=_can_
one ^cd1++++=one
think ^vb+vprv+++=think
with ^in++++=with
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
head ^jjb++++=head
all ^rb++++=all
fuzzy ^jj++++=fuzzy?
? ^zz++++=EXTRAWORD
( ^zz++++=(_Pleadingly._)
_pleadingly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Hold ^nn++++=Hold
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip!
! ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
me ^pp1o+pp1+++=me
with ^in++++=with
you ^pp2+pp2+++=you
always ^rb++++=always
and ^cc+phrs+++=and
always ^rb++++=always.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Relapsing._)
_relapsing._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
marry ^vb++++=marry
the ^ati++++=the
Thorniss ^np+++??+=Thorniss
girl ^nn++++=girl
when ^wrb+who+++=when
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back
and ^cc++++=and
howl ^nn++++=howl
under ^in++++=under
our ^pp$+pp1+++=our
bedroom ^nn++++=bedroom
window ^nn++++=window
all ^rb++++=all
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
bother ^nn++++=bother!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
jackal ^nn++++=jackal.
. ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
time ^nn++++=time
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I--I--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
funny ^jj++++=funny!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
cry ^vb++++=cry
now ^rn+tm+++=now
to ^to++++=to
save ^vbi++++=save
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
( ^zz++++=(G.
g ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
_shivers._ ^nn+++??+=_shivers._)
) ^zz++++=EXTRAWORD
_i_ ^nn+++??+=_I_
want ^vb++++=want
to ^to+vcmp+++=to
sing ^vbi++++=sing.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Won't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
tire ^vb++++=tire
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Better ^jjr++++=Better
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
_wo ^vb+++??+=_won't_
n't_ ^vbd+++xvbn+0=EXTRAWORD
be ^vb+be+aux++=be
bothered ^vpsv++agls+xvbnx+=bothered
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Begins
_begins ^nns+++??+=EXTRAWORD
in ^in++++=in
a ^at++++=a
hoarse ^jj+atrb+++=hoarse
quaver_):- ^nn+++??+=quaver_):-'Minnie
'minnie ^nn++be+??+0=EXTRAWORD
bakes ^vbz+++??+=bakes
oaten ^vprf+++xvbn+=oaten
cake ^nn++++=cake,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
brews ^nns++++=brews
ale ^nn++++=ale,
, ^zz++++=EXTRAWORD
All ^abn++++=All
because ^cs+cos+++=because
her ^pp3o+pp3+++=her
Johnnie ^np++++=Johnnie's
's ^vbz+bez+aux++0=EXTRAWORD
coming ^vbg+++xvbg+=coming
home ^nr++++=home
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
( ^zz++++=(That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
parade ^nn++++=parade,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
grows ^vbz++++=grows
red ^jj++++=red
as ^cs+sub+++=as
rose ^np+++xvbn+=rose,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql++++=so
pale ^nn++++=pale;
; ^zz++++=EXTRAWORD
And ^cc+cls+++=And
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
sure ^jj++++=sure
the ^ati++++=the
church ^nn++++=church-clock
- ^zz++++=EXTRAWORD
clock ^nn++++=EXTRAWORD
goes ^vbz++++=goes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
( ^zz++++=(_Pettishly._)
_pettishly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
last ^rb++++=last
note ^nn++++=note.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+aux++=do
the ^ati++++=the
bass ^nn++++=bass
chords ^nns++++=chords
run ^vbd+++xvbn+=run?
? ^zz++++=EXTRAWORD
( ^zz++++=(_Puts
_puts ^nns+++??+=EXTRAWORD
out ^rp+pl+++=out
her ^pp$+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
begins ^vbz++++=begins
playing ^vbg+++xvbg+=playing
piano ^nn++++=piano
on ^in++++=on
the ^ati++++=the
sheet._ ^nn+++??+=sheet._)
) ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Catching
_catching ^jj+++xvbg+=EXTRAWORD
up ^rp++++=up
hands._ ^nn+++??+=hands._)
) ^zz++++=EXTRAWORD
Ahh ^np+++??+=Ahh!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Pussy ^np+++??+=Pussy,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
love ^nn++++=love
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
else ^rb+cnj+++=else
should ^md+nec+++=should
it ^pp3+it+++=it
be ^vb+be+vrb++=be?
? ^zz++++=EXTRAWORD
( ^zz++++=(_A
_a ^nn+++??+=EXTRAWORD
pause._ ^nn+++??+=pause._)
) ^zz++++=EXTRAWORD
Voice ^nn++++=VOICE.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Very
_very ^nn++++=EXTRAWORD
clearly._ ^nn+++??+=clearly._)
) ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Something ^np++++=Something's
's ^$++++=EXTRAWORD
choking ^jj+++xvbg+=choking
me ^pp1o+pp1+++=me
cruelly ^rb++++=cruelly.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Indistinctly._)
_indistinctly._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Into ^in++++=Into
the ^ati++++=the
dark ^jj++++=dark--without
-- ^--+clp+++=EXTRAWORD
without ^in++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart. ^nn+++??+=heart.--But
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
lie ^nn++++=lie,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear--we
-- ^--+clp+++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
it. ^nn+++??+=it.--For
-- ^--+clp+++=EXTRAWORD
for ^rb++++=EXTRAWORD
ever ^rb"++++=ever
and ^cc+phrs+++=and
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
or ^cc+phrs+++=or
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
go ^vb++++=go,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
husband ^nn++++=husband--hold
-- ^--+clp+++=EXTRAWORD
hold ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
tight. ^nn+++??+=tight.--They
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
ca ^np++++=can't--whatever
n't ^xnot++not++0=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
whatever ^nn+nom+++=EXTRAWORD
happens ^vbz+vsua+++=happens.
. ^zz++++=EXTRAWORD
( ^zz++++=(_A
_a ^nn+++??+=EXTRAWORD
cough._ ^nn+++??+=cough._)
) ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip--_my_
-- ^--+clp+++=EXTRAWORD
_my_ ^nn+++??+=EXTRAWORD
Pip ^np+++??+=Pip!
! ^zz++++=EXTRAWORD
