But ^cc++++=But
contend ^vb+vpub+++=contend
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
as ^ql++++=as
lif ^vb+++??+=lif
be ^vb+be+vrb++=be
an ^at++++=an
old ^jj+atrb+++=old
maid ^nn++++=maid
as ^ql++++=as
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
marry ^vbi++++=marry,
, ^zz++++=EXTRAWORD
ner ^jjr++++=ner
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
me ^pp1o+pp1+++=me
sceart ^nn+++??+=sceart
onc ^nn+++??+=onc't,
't, ^vbd+++xvbn+0=EXTRAWORD
though ^rb+cnj+++=though!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
city ^nn++++=city
one ^cd1++++=one
time ^nn++++=time,
, ^zz++++=EXTRAWORD
durin ^nn+++??+=durin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
army ^nn++++=army,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
peart ^nn+++??+=peart-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
feller ^nn++++=feller
in ^in++++=in
blue ^jj+atrb+++=blue
clothes ^nns++++=clothes
and ^cc++++=and
gilt ^jj+atrb+++=gilt
straps ^nns++++=straps
on ^in++++=on
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
lieutenant ^nn+nom+++=lieutenant
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
name ^nn++++=name
of ^in++++0=o'
Morris ^np++++=Morris.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
layin ^nn+++??+=layin'
' ^zz++++=EXTRAWORD
in ^in++++=in
camp ^nn++++=camp
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
somers ^np++++=somers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
disremember ^jjr++++=disremember
which ^whp+who+++=which
camp ^nn++++=camp
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
adzackly ^jj+pred+++=adzackly
but ^cc++++=but
anyway ^rb+cnj+++=anyway,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
' ^zz++++='peared
peared ^jj+++xvbn+=EXTRAWORD
like ^in++++=like
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
plenty ^nn++++=plenty
of ^in++++0=o'
time ^nn++++=time
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
come ^vb++++=come,
, ^zz++++=EXTRAWORD
fer ^&fw++++=fer
from ^in++++=from
that ^dt+dem+++=that
time ^nn++++=time
on ^in++++=on
he ^pp3a+pp3+++=he
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a-comin'
- ^zz++++=EXTRAWORD
comin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
time ^nn++++=time
Marthy ^np+++??+=Marthy
' ^zz++++='ud
ud ^nn+++??+=EXTRAWORD
come ^vprf+++xvbn+=come
home ^nr++++=home,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
too ^ql++++=too;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
noticin ^vb+++??+=noticin'
' ^zz++++=EXTRAWORD
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
Marthy ^np+++??+=Marthy
come ^vb++++=come
home ^nr++++=home
a ^at++++=a
good ^jj++++=good
' ^zz++++='eal
eal ^jj++++=EXTRAWORD
more ^rbr++++=more'n
'n ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
used ^vbd+++xvbnx+=used
to ^in++++=to
afore ^in++++=afore
Morris ^np++++=Morris
first ^od++++=first
brought ^vbd+++xvbn+=brought
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
blame ^vb++++=blame
ef ^nn+++??+=ef
the ^ati++++=the
thing ^nn++++=thing
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
git ^np++++=git
to ^in++++=to
worryin ^nn+++??+=worryin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
onc ^vb+++??+=onc't
't ^vbd+++xvbn+0=EXTRAWORD
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
mother ^nn++++=mother
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
ef ^nn+++??+=ef
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
the ^ati++++=the
feller ^nn++++=feller
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
marry ^vbi++++=marry
Marthy ^np+++??+=Marthy
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
jest ^rb++splt++=jest
stop ^vb++++=stop
his ^pp$+pp3+++=his
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
right ^jj++++=right
then ^rn+tm+++=then
and ^cc++++=and
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
mother ^nn++++=mother
she ^pp3a+pp3+++=she
sorto ^nn+++??+=sorto'
' ^zz++++=EXTRAWORD
smiled ^vbd+++xvbn+=smiled
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said
somepin ^nn+++??+=somepin'
' ^zz++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
men ^nns++++=men
a ^at++++=a-never
- ^zz++++=EXTRAWORD
never ^rb++++=EXTRAWORD
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
through ^in++++=through
nothin ^nn+++??+=nothin';
'; ^nn+++??+=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
ast ^nn+++??+=ast
her ^pp$+pp3+++=her
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
meant ^vbd+vprv++xvbnx+=meant,
, ^zz++++=EXTRAWORD
w ^zz++++=w'y,
'y, ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
ups ^nns"++++=ups
and ^cc++++=and
tells ^vbz++++=tells
me ^pp1o+pp1+++=me
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
Morris ^np++++=Morris
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
keer ^nn++++=keer
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
fer ^&fw++++=fer
Marthy ^np+++??+=Marthy,
, ^zz++++=EXTRAWORD
ner ^jjr++++=ner
Marthy ^np+++??+=Marthy
fer ^&fw++++=fer
Morris ^np++++=Morris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
on ^in++++=on
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
Morris ^np++++=Morris
was ^vbd+bedz+vrb++=was
kindo ^nn+++??+=kindo'
' ^zz++++=EXTRAWORD
aidgin ^nn+++??+=aidgin'
' ^zz++++=EXTRAWORD
up ^in+cmpx+++=up
to ^in++++=to'rds
'rds ^nns+++??+0=EXTRAWORD
Annie ^np+++??+=Annie
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
next ^in+cmpx+++=next
to ^in++++=to
Marthy ^np+++??+=Marthy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
in ^in++++=in
pint ^nn++++=pint
of ^in++++=of
years ^nns++++=years
and ^cc++++=and
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ever ^rb++++=ever'body
'body ^nn+++??+=EXTRAWORD
allus ^nns+++??+=allus
said ^vbd+vpub++xvbn+=said
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
Annie ^np+++??+=Annie
was ^vbd+bedz+vrb++=was
the ^ati++++=the
purtiest ^jjt+atrb+++=purtiest
one ^pn++++=one
of ^in++++0=o'
the ^ati++++=the
whole ^nn++++=whole
three ^cd++++=three
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
when ^wrb+who+++=when
mother ^nn++++=mother
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
the ^ati++++=the
signs ^nns++++=signs
pinted ^vbd+++xvbn+=pinted
to ^in++++=to'rds
'rds ^nns+++??+0=EXTRAWORD
Annie ^np+++??+=Annie,
, ^zz++++=EXTRAWORD
w ^zz++++=w'y,
'y, ^nn+++??+=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hed ^vbd+++xvbnx+=hedn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
particular ^jj+atrb+++=particular
objections ^nns+nom+++=objections
to ^in++++=to
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
Morris ^np++++=Morris
was ^vbd+bedz+vrb++=was
of ^in++++=of
good ^jj++++=good
fambly ^jj++++=fambly
enough ^qlp++++=enough
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^in++++=as
stirrin ^nn+++??+=stirrin'
' ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
feller ^nn++++=feller
as ^in++++=as
ever ^rb++++=ever
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
want ^vb++++=want
fer ^&fw++++=fer
a ^at++++=a
son ^nn++++=son-in-law,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
hed ^vbd+++xvbnx+=hed
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
more ^ql++++=more
to ^to++++=to
say ^vbi+vpub+++=say
ner ^jjr++++=ner
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
occasion ^nn++++=occasion
to ^to++++=to
say ^vbi+vpub+++=say
nothin ^nn+++??+=nothin',
', ^nn+++??+=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
right ^jj++++=right
along ^in++++=along
about ^in++++=about
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
begin ^vb++++=begin
to ^to++++=to
notice ^vbi+vprv+++=notice
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
Marthy ^np+++??+=Marthy
quit ^vb++++=quit
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
home ^nr++++=home
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Morris ^np++++=Morris
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
a ^at++++=a-comin'
- ^zz++++=EXTRAWORD
comin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Tel ^np+++??+=Tel
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
here ^rn+pl+++=here
all ^rb++++=all
by ^in++++=by
hisself ^nn+++??+=hisself,
, ^zz++++=EXTRAWORD
' ^zz++++='long
long ^jj++++=EXTRAWORD
[ ^zz++++=[75]about
75]about ^cd++++=EXTRAWORD
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
here ^rn+pl+++=here
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
feedin ^nn+++??+=feedin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
ast ^nn+++??+=ast
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
all ^abn++++=all
at ^rb++++=at
onc ^vb+++??+=onc't,
't, ^vbd+++xvbn+0=EXTRAWORD
and ^cc++++=and
in ^in++++=in
a ^at++++=a
straightfor ^nn++++=straightfor'ard
'ard ^nn+++??+=EXTRAWORD
way ^nn++++=way,
, ^zz++++=EXTRAWORD
ef ^nn+++??+=ef
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
marry ^vb++++=marry
Annie ^np+++??+=Annie;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
some ^dti++++=some-way-another,
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
another ^dt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
blame ^vb++++=blame
ef ^nn+++??+=ef
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
me ^pp1o+pp1+++=me
as ^in++++=as
happy ^jj++++=happy
as ^cs+sub+++=as
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
thing ^nn++++=thing
proved ^vbd+vprv++xvbn+=proved,
, ^zz++++=EXTRAWORD
pine ^nn++++=pine-blank,
- ^zz++++=EXTRAWORD
blank ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a-fishin'
- ^zz++++=EXTRAWORD
fishin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
round ^in++++=round
fer ^&fw++++=fer
Marthy ^np+++??+=Marthy.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well-sir,
- ^zz++++=EXTRAWORD
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
luck ^np++++=luck
would ^md+prd+++=would
hev ^vb+++??+=hev
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
got ^vbd+++xvbn+=got
home ^nr++++=home
about ^in++++=about
a ^at++++=a
half ^abn++++=half-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
word ^nn++++=word
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
never ^rb++++=never
so ^rb+emph+++=so
glad ^jj++++=glad
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
girl ^nn++++=girl
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
foolish ^jj+pred+++=foolish
in ^in++++=in
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
drivin ^nn+++??+=drivin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
the ^ati++++=the
lane ^nn++++=lane
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
purt ^nn+++??+=purt'
' ^zz++++=EXTRAWORD
nigh ^rb++++=nigh
dark ^jj++++=dark
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
through ^in++++=through
the ^ati++++=the
open ^jj++++=open
winder ^jjr++++=winder
from ^in++++=from
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
supper ^nn++++=supper-table,
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
jest ^rb++++=jest
quietly ^rb++++=quietly
excused ^vbd+++xvbn+=excused
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
p ^zz++++=p'lite-like,
'lite-like, ^nn+++??+=EXTRAWORD
as ^ql++++=as
a ^at++++=a
feller ^nn++++=feller
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they's
's ^vbz+bez+vrb++0=EXTRAWORD
comp ^nn+++??+=comp'ny
'ny ^nn+++??+=EXTRAWORD
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
slipped ^vbd+++xvbnx+=slipped
off ^in+pl+++=off
and ^cc++++=and
met ^vbd+++xvbn+=met
her ^pp$+pp3+++=her
jest ^rb++++=jest
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
about ^in++++=about
to ^in++++=to
git ^np++++=git
out ^rp+pl+++=out
to ^to++++=to
open ^vbi++++=open
the ^ati++++=the
barn ^nn++++=barn
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
' ^zz++++='Hold
hold ^nn++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
' ^zz++++='set
set ^vbd+++xvbn+=EXTRAWORD
right ^jj++++=right
where ^wrb+who+++=where
you ^pp2+pp2+++=you
air ^nn++++=air;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
open ^vb++++=open
the ^ati++++=the
gate ^nn++++=gate
fer ^&fw++++=fer
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
anything ^pn++++=anything
else ^rb+cnj+++=else
fer ^&fw++++=fer
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
me ^pp1o+pp1+++=me
to ^in+strn+++=to!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'W'y,
' ^zz++++=EXTRAWORD
w ^zz++++=EXTRAWORD
'y, ^nn+++??+=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+aux++0=EXTRAWORD
pleased ^vpsv++agls+xvbnx+=pleased
you ^pp2+pp2+++=you
so ^ql++++=so?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
laughin ^nn+++??+=laughin',
', ^nn+++??+=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
druv ^nn+++??+=druv
through ^in++++=through
slow ^jj++++=slow-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a-ticklin'
- ^zz++++=EXTRAWORD
ticklin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
nose ^nn++++=nose
with ^in++++=with
the ^ati++++=the
cracker ^nn++++=cracker
of ^in++++=of
the ^ati++++=the
buggy ^nn+++??+=buggy-whip.
- ^zz++++=EXTRAWORD
whip ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='What's
what ^wdt+who+whq++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
pleased ^vpsv++agls+xvbnx+=pleased
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Guess,'
' ^zz++++=EXTRAWORD
guess ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
jerkin ^nn++++=jerkin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
gate ^nn++++=gate
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
to ^to++++=to
lift ^vbi++++=lift
her ^pp$+pp3+++=her
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="'The
' ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
new ^jj+atrb+++=new
peanner ^jjr+atrb+++=peanner's
's ^vbz+bez+aux++0=EXTRAWORD
come ^vb++++=come?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager-like.
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Yer
' ^zz++++=EXTRAWORD
yer ^pp2+pp2+++=EXTRAWORD
new ^np++++=new
peanner ^jjr+atrb+++=peanner's
's ^vbz+bez+aux++0=EXTRAWORD
come ^vb++++=come,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Strawberries
est ^&fw++++=EXTRAWORD
fer ^&fw++++=fer
supper ^nn++++=supper?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="'Strawberries
est ^&fw++++=EXTRAWORD
fer ^&fw++++=fer
supper ^nn++++=supper,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Jest
jest ^rb++++=EXTRAWORD
then ^rn+tm+++=then
Morris ^np++++=Morris's
's ^$++++=EXTRAWORD
hoss ^nns+++??+=hoss
whinnied ^vbd+++xvbn+=whinnied
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
glanced ^vbd+++xvbnx+=glanced
up ^rp++++=up
quick ^jj++++=quick
and ^cc++++=and
smilin ^nn+++??+=smilin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Somebody
somebody ^pn++++=EXTRAWORD
come ^vb++++=come
to ^to++++=to
see ^vbi+vprv+tht0++=see
somebody ^pn++++=somebody?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'You're
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a-gittin'
- ^zz++++=EXTRAWORD
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
warm ^jj++++=warm,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="'Somebody
' ^zz++++=EXTRAWORD
somebody ^pn++++=EXTRAWORD
come ^vb++++=come
to ^to++++=to
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious-like.
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
[ ^zz++++=[76]"'No,'
76]"'no ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='a'nd
a ^at++++=EXTRAWORD
'nd ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
glad ^jj+pred+++=glad
of ^in++++=of
it ^pp3+it+++=it
fer ^&fw++++=fer
this ^dt+dem+++=this
one ^cd1++++=one
' ^zz++++='a't's
a ^at++++=EXTRAWORD
't's ^nn++++=EXTRAWORD
come ^vprf+++xvbn+=come
wants ^vbz++++=wants
to ^to+vcmp+++=to
git ^vbi++++=git
married ^vbd+++xvbn+=married,
, ^zz++++=EXTRAWORD
