Having ^xvbg+++xvbg+=Having
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
only ^rb+down+++=only
sparkling ^jj++++=sparkling
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
market ^nn++++=market
drinkingshop ^nn+++??+=drinkingshop;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
reappears ^vbz+seem+++=reappears
behind ^in+pl+++=behind
the ^ati++++=the
great ^jj+atrb+++=great
church ^npl++++=church,
, ^zz++++=EXTRAWORD
shooting ^vbg+++xvbg+=shooting
itself ^ppl++++=itself
into ^in++++=into
a ^at++++=a
bright ^jj+atrb+++=bright
confusion ^nn++++=confusion
of ^in++++=of
white ^jj++++=white-capped
- ^zz++++=EXTRAWORD
capped ^xvbn+++xvbn+=EXTRAWORD
women ^nns++++=women
and ^cc++++=and
bluebloused ^jj+atrb++xvbn+=bluebloused
men ^nns++++=men,
, ^zz++++=EXTRAWORD
poultry ^nn++++=poultry,
, ^zz++++=EXTRAWORD
vegetables ^nns++++=vegetables,
, ^zz++++=EXTRAWORD
fruits ^nns++++=fruits,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
pans ^nns++++=pans,
, ^zz++++=EXTRAWORD
praying ^jj+++xvbg+=praying-chairs,
- ^zz++++=EXTRAWORD
chairs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
country ^nn++++=country
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
umbrellas ^nns++++=umbrellas
and ^cc++++=and
other ^ap++++=other
sunshades ^nns+++??+=sunshades,
, ^zz++++=EXTRAWORD
girl ^nn++++=girl-porters
- ^zz++++=EXTRAWORD
porters ^nns+nom+++=EXTRAWORD
waiting ^vb+++xvbg+=waiting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
hired ^vpsv++agls+xvbnx+=hired
with ^in++++=with
baskets ^nns++++=baskets
at ^in++++=at
their ^pp$+pp3+++=their
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
weazen ^vb+++xvbn+=weazen
little ^ap++++=little
old ^jj+atrb+++=old
man ^nn++++=man
in ^in++++=in
a ^at++++=a
cocked ^jj+atrb++xvbn+=cocked
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
cuirass ^nns+++??+=cuirass
of ^in++++=of
drinking ^xvbg+++xvbg+=drinking-glasses
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
and ^cc++++=and
carrying ^vbg+++xvbg+=carrying
on ^in++++=on
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
a ^at++++=a
crimson ^nn+++??+=crimson
temple ^np++++=temple
fluttering ^vwbg+++xvbg+=fluttering
with ^in++++=with
flags ^nns++++=flags,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
glorified ^jj+atrb++xvbn+=glorified
pavior ^nn++++=pavior's
's ^vbz+bez+vrb++0=EXTRAWORD
rammer ^jjr++++=rammer
without ^in++++=without
the ^ati++++=the
handle ^nn++++=handle,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
rings ^nns++++=rings
a ^rb++++=a
little ^rb"++++=little
bell ^nn++++=bell
in ^in++++=in
all ^abn++++=all
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cries ^nns++++=cries
his ^pp$+pp3+++=his
cooling ^xvbg+++xvbg+=cooling
drink ^vb++++=drink
Hola ^np++++=Hola,
, ^zz++++=EXTRAWORD
Hola ^np++++=Hola,
, ^zz++++=EXTRAWORD
Ho ^uh++++=Ho-o-o!
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
shrill ^jj+atrb+++=shrill
cracked ^jj+atrb++xvbn+=cracked
voice ^nn++++=voice
that ^tht+rel+subj++=that
somehow ^rb++++=somehow
makes ^vbz++++=makes
itself ^ppl++++=itself
heard ^vbd+vprv++xvbn+=heard,
, ^zz++++=EXTRAWORD
above ^rb++++=above
all ^abn++++=all
the ^ati++++=the
chaffering ^jj+atrb++xvbg+=chaffering
and ^cc+phrs+++=and
vending ^jj+atrb++xvbg+=vending
hum ^nn+++??+=hum.
. ^zz++++=EXTRAWORD
Early ^jj++++=Early
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
stream ^nn++++=stream
is ^vbz+bez+vrb++=is
dry ^jj+pred+++=dry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
praying ^jj+++xvbg+=praying-chairs
- ^zz++++=EXTRAWORD
chairs ^nns++++=EXTRAWORD
are ^vb+ber+aux++=are
put ^vpsv++agls+xvbnx+=put
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
the ^ati++++=the
umbrellas ^nns++++=umbrellas
are ^vb+ber+aux++=are
folded ^vpsv++agls+xvbnx+=folded
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unsold ^nn+++??+=unsold
goods ^nns++++=goods
are ^vb+ber+aux++=are
carried ^vpsv++agls+xvbnx+=carried
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stalls ^nns++++=stalls
and ^cc++++=and
stands ^nns++++=stands
disappear ^vb+seem+++=disappear,
, ^zz++++=EXTRAWORD
the ^ati++++=the
square ^nn++++=square
is ^vbz+bez+aux++=is
swept ^vpsv++agls+xvbnx+=swept,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hackney ^np++++=hackney
coaches ^nns++++=coaches
lounge ^nn++++=lounge
there ^rn+pl+++=there
to ^to++++=to
be ^vbi+vbi+aux++=be
hired ^vpsv++agls+xvbnx+=hired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
all ^abn++++=all
the ^ati++++=the
country ^nn++++=country
roads ^nns++++=roads
( ^zz++++=(if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
walk ^nn++++=walk
about ^rp++++=about,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do)
) ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
see ^vb+vprv+++=see
the ^ati++++=the
peasant ^nn+nom+++=peasant
women ^nns++++=women,
, ^zz++++=EXTRAWORD
always ^rb++++=always
neatly ^rb++++=neatly
and ^cc+phrs+++=and
comfortably ^rb++++=comfortably
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=riding
home ^nr++++=home,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
pleasantest ^jjt+atrb+++=pleasantest
saddle ^nn++++=saddle-furniture
- ^zz++++=EXTRAWORD
furniture ^nn++++=EXTRAWORD
of ^in++++=of
clean ^jj+atrb+++=clean
milk ^nn++++=milk-pails,
- ^zz++++=EXTRAWORD
pails ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
butter ^nn++++=butter-kegs,
- ^zz++++=EXTRAWORD
kegs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
jolliest ^jjt++++=jolliest
little ^ap++++=little
donkeys ^nns++++=donkeys
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
another ^dt++++=another
market ^nn++++=market
in ^in++++=in
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
wooden ^jj+atrb+++=wooden
hutches ^nns+++??+=hutches
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
street ^nn++++=street,
, ^zz++++=EXTRAWORD
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
Port ^npl++++=Port
devoted ^vbd+++xvbn+=devoted
to ^in++++=to
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
fishing ^nvbg+++xvbg+=fishing-boats
- ^zz++++=EXTRAWORD
boats ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
famous ^jj+pred+++=famous
everywhere ^rb++++=everywhere;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
fishing ^nvbg+++xvbg+=fishing
people ^nns++++=people,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
love ^vb++++=love
lively ^jj+atrb+++=lively
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taste ^nn++++=taste
is ^vbz+bez+vrb++=is
neutral ^jj+pred+++=neutral
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Bilkins ^np+++??+=Bilkins),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
picturesque ^jj+atrb+++=picturesque
people ^nns++++=people
we ^pp1a+pp1+++=we
ever ^rb++++=ever
encountered ^vbd+++xvbn+=encountered.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
not ^xnot++not++=not
only ^rb+down+++=only
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
occupy ^vb++++=occupy
whole ^jj+atrb+++=whole
villages ^nns+nom+++=villages
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
on ^in++++=on
the ^ati++++=the
neighbouring ^jj+atrb+++=neighbouring
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
churches ^nns++++=churches
and ^cc++++=and
chapels ^nns++++=chapels
are ^vb+ber+vrb++=are
their ^pp$+pp3+++=their
own ^ap++++=own;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
consort ^nn++++=consort
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
intermarry ^vb++++=intermarry
among ^in++++=among
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
customs ^nns++++=customs
are ^vb+ber+vrb++=are
their ^pp$+pp3+++=their
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
costume ^nn++++=costume
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
own ^ap++++=own
and ^cc++++=and
never ^rb++++=never
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
boys ^nns++++=boys
can ^md+pos+++=can
walk ^vb++++=walk,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbnx+=provided
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
bright ^jj+atrb+++=bright
red ^jj+atrb+++=red
nightcap ^nn+++??+=nightcap;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
men ^nns++++=men
would ^md+prd+++=would
as ^in++++=as
soon ^rb+tm+++=soon
think ^vb+vprv+++=think
of ^in++++=of
going ^xvbg+++xvbg+=going
afloat ^jj++++=afloat
without ^in++++=without
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
without ^in++++=without
that ^dt+dem+++=that
indispensable ^jj+atrb+++=indispensable
appendage ^nn+nom+++=appendage
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
wear ^vb++++=wear
the ^ati++++=the
noblest ^jjt+atrb+++=noblest
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
hugest ^jjt+atrb+++=hugest
tops ^nns++++=tops
flapping ^vwbg+++xvbg+=flapping
and ^cc++++=and
bulging ^vwbg+++xvbg+=bulging
over ^in++++=over
anyhow ^rb++++=anyhow;
; ^zz++++=EXTRAWORD
above ^in+pl+++=above
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
encase ^vb+++??+=encase
themselves ^ppls+pp3+++=themselves
in ^in++++=in
such ^abl++++=such
wonderful ^jj+atrb+++=wonderful
overalls ^nns++++=overalls
and ^cc++++=and
petticoat ^nn++++=petticoat
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
made ^vb+++xvbn+=made
to ^to+vcmp+++=to
all ^abn++++=all
appearance ^nn+nom+++=appearance
of ^in++++=of
tarry ^nn++++=tarry
old ^jj+atrb+++=old
sails ^nns++++=sails,
, ^zz++++=EXTRAWORD
so ^ql++++=so
additionally ^rb++++=additionally
stiffened ^jj+++xvbn+=stiffened
with ^in++++=with
pitch ^nn++++=pitch
and ^cc++++=and
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
wearers ^nns+nom+++=wearers
have ^vb+hv+vrb++=have
a ^at++++=a
walk ^nn++++=walk
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
straddling ^vbg+nom++xvbg+=straddling
and ^cc+phrs+++=and
swinging ^vbg+++xvbg+=swinging
about ^in++++=about
among ^in++++=among
the ^ati++++=the
boats ^nns++++=boats
and ^cc++++=and
barrels ^nns++++=barrels
and ^cc++++=and
nets ^nns++++=nets
and ^cc++++=and
rigging ^nn++++=rigging,
, ^zz++++=EXTRAWORD
a ^at++++=a
sight ^nn++++=sight
to ^to++++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
younger ^jjr+atrb+++=younger
women ^nns++++=women,
, ^zz++++=EXTRAWORD
by ^in++++=by
dint ^in"++++=dint
of ^in"++++=of
going ^vbg+++xvbg+=going
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea
barefoot ^jj++++=barefoot,
, ^zz++++=EXTRAWORD
to ^to++++=to
fling ^vbi++++=fling
their ^pp$+pp3+++=their
baskets ^nns++++=baskets
into ^in++++=into
the ^ati++++=the
boats ^nns++++=boats
as ^ql++++=as
they ^pp3a+pp3+++=they
come ^vb++++=come
in ^in++++=in
with ^in++++=with
the ^ati++++=the
tide ^nn++++=tide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bespeak ^nn+++??+=bespeak
the ^ati++++=the
first ^od++++=first
fruits ^nns++++=fruits
of ^in++++=of
the ^ati++++=the
haul ^nn++++=haul
with ^in++++=with
propitiatory ^nn++++=propitiatory
promises ^vb++++=promises
to ^to+vcmp+++=to
love ^vb++++=love
and ^cc++++=and
marry ^vb++++=marry
that ^cs+sub+++=that
dear ^uh++++=dear
fisherman ^nn+nom+++=fisherman
who ^whp+rel+subj++=who
shall ^md+prd+++=shall
fill ^vb++++=fill
that ^dt+dem+++=that
basket ^nn++++=basket
like ^in++++=like
an ^at++++=an
Angel ^nn++++=Angel,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
finest ^jjt+atrb+++=finest
legs ^nns++++=legs
ever ^rb++++=ever
carved ^vpsv++by+xvbn+=carved
by ^in++++=by
Nature ^nn++++=Nature
in ^in++++=in
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
mahogany ^nn++++=mahogany,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
walk ^nn++++=walk
like ^in++++=like
Juno ^np++++=Juno.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
lustrous ^jj++++=lustrous
that ^cs+sub+++=that
their ^pp$+pp3+++=their
long ^jj+atrb+++=long
gold ^nn++++=gold
ear ^nn++++=ear-rings
- ^zz++++=EXTRAWORD
rings ^nns++++=EXTRAWORD
turn ^nn++++=turn
dull ^jj++++=dull
beside ^in+pl+++=beside
those ^dt+dem+++=those
brilliant ^jj+atrb+++=brilliant
neighbours ^nns++++=neighbours;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
dressed ^vpsv++agls+xvbnx+=dressed,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
with ^in++++=with
these ^dt+dem+++=these
beauties ^nns++++=beauties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
fine ^jj+atrb+++=fine
fresh ^jj+atrb+++=fresh
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
many ^ap++++=many
petticoats ^nns++++=petticoats
striped ^jj+atrb+++=striped
petticoats ^nns++++=petticoats,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
petticoats ^nns++++=petticoats,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
petticoats ^nns++++=petticoats,
, ^zz++++=EXTRAWORD
always ^rb++++=always
clean ^jj++++=clean
and ^cc+phrs+++=and
smart ^jj++++=smart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
too ^ql++++=too
long ^rb++++=long
and ^cc++++=and
their ^pp$+pp3+++=their
home ^nr++++=home-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
mulberry ^nn++++=mulberry-coloured,
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
blue ^jj++++=blue,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
purple ^jj++++=purple,
, ^zz++++=EXTRAWORD
lilac ^jj++++=lilac
which ^whp+who+++=which
the ^ati++++=the
older ^jjr+atrb+++=older
women ^nns++++=women,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
care ^nn++++=care
of ^in++++=of
the ^ati++++=the
Dutch ^jj++++=Dutch-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit
in ^in++++=in
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
places ^nns++++=places
knitting ^vwbg+++xvbg+=knitting,
, ^zz++++=EXTRAWORD
knitting ^nvbg+++xvbg+=knitting,
, ^zz++++=EXTRAWORD
knitting ^nvbg+++xvbg+=knitting
from ^in++++=from
morning ^nn++++=morning
to ^in++++=to
night ^nn++++=night
and ^cc+cls+++=and
what ^wdt+who+++=what
with ^in++++=with
their ^pp$+pp3+++=their
little ^ap++++=little
saucy ^nn+++??+=saucy
bright ^jj+atrb+++=bright
blue ^nn++++=blue
jackets ^nns++++=jackets,
, ^zz++++=EXTRAWORD
knitted ^j+++xvbn+=knitted
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fitting ^jj+++xvbg+=fitting
close ^in+cmpx+++=close
to ^in"++++=to
their ^pp$+pp3+++=their
handsome ^jj+atrb+++=handsome
figures ^nns++++=figures;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
with ^in++++=with
the ^ati++++=the
natural ^jj+atrb+++=natural
grace ^nn++++=grace
with ^in++++=with
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
wear ^vb++++=wear
the ^ati++++=the
commonest ^jjt+atrb+++=commonest
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
fold ^nn++++=fold
the ^ati++++=the
commonest ^jjt+atrb+++=commonest
handkerchief ^nn++++=handkerchief
round ^in++++=round
their ^pp$+pp3+++=their
luxuriant ^jj+atrb+++=luxuriant
hair ^nn++++=hair
we ^pp1a+pp1+++=we
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
word ^nn++++=word
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
taking ^vbg+++xvbg+=taking
all ^abn++++=all
these ^dt+dem+++=these
premises ^nns++++=premises
into ^in++++=into
our ^pp$+pp1+++=our
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
the ^ati++++=the
least ^rbt++++=least
surprise ^nn++++=surprise
to ^in++++=to
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
never ^rb++++=never
once ^cs+tm+++=once
met ^vprf+++xvbn+=met,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
cornfields ^nns+++??+=cornfields,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
dusty ^jj+atrb+++=dusty
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
breezy ^jj+atrb+++=breezy
windmills ^nns++++=windmills,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
plots ^nns++++=plots
of ^in++++=of
short ^jj+atrb+++=short
sweet ^jj+atrb+++=sweet
grass ^nn++++=grass
overhanging ^jj++++=overhanging
the ^ati++++=the
sea ^nn++++=sea
anywhere ^rb++++=anywhere
a ^at++++=a
young ^jj+atrb+++=young
fisherman ^nn+nom+++=fisherman
and ^cc++++=and
fisherwoman ^nn+nom+++=fisherwoman
of ^in++++=of
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
arm ^nn++++=arm
of ^in++++=of
that ^dt+dem+++=that
fisherman ^nn+nom+++=fisherman
has ^vbz+hvz+aux++=has
invariably ^rb++splt++=invariably
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
of ^in+emph+++=of
course ^nn+emph"+++=course
and ^cc++++=and
without ^in++++=without
any ^dti++++=any
absurd ^jj+atrb+++=absurd
attempt ^nn++++=attempt
to ^to+ncmp+++=to
disguise ^vbi++++=disguise
so ^ql++++=so
plain ^nn++++=plain
a ^at++++=a
necessity ^nn+nom+++=necessity,
, ^zz++++=EXTRAWORD
round ^in++++=round
the ^ati++++=the
neck ^nn++++=neck
or ^cc++++=or
waist ^nn++++=waist
of ^in++++=of
that ^dt+dem+++=that
fisherwoman ^jj++++=fisherwoman.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
no ^at++++=no
doubt ^nn++++=doubt
whatever ^nn+nom+++=whatever,
, ^zz++++=EXTRAWORD
standing ^xvbg+++xvbg+=standing
looking ^vbg+++xvbg+=looking
at ^rb++++=at
their ^pp$+pp3+++=their
uphill ^jjb+atrb+++=uphill
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
house ^npl++++=house
rising ^vwbg+++xvbg+=rising
above ^jjb+atrb+++=above
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terrace ^nn++++=terrace
above ^jjb+atrb+++=above
terrace ^nn++++=terrace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bright ^jj+atrb+++=bright
garments ^nns+nom+++=garments
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
lying ^xvbg+++xvbg+=lying
sunning ^vbg+++xvbg+=sunning
on ^in++++=on
rough ^jj+atrb+++=rough
stone ^nn++++=stone
parapets ^nns+++??+=parapets,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
mist ^nn++++=mist
on ^in++++=on
all ^abn++++=all
such ^abl++++=such
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
caused ^xvbn+++xvbn+=caused
by ^in++++=by
their ^pp$+pp3+++=their
being ^xvbg+++xvbg+=being
seen ^vprf+++xvbn+=seen
through ^rb+phrv+++=through
the ^ati++++=the
brown ^jj+atrb+++=brown
nets ^nns++++=nets
hung ^vbd+++xvbn+=hung
across ^in+pl+++=across
on ^in++++=on
poles ^nns++++=poles
to ^in++++=to
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
every ^at++++=every
true ^jj+atrb+++=true
young ^jj+atrb+++=young
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
a ^at++++=a
mist ^nn++++=mist
of ^in++++=of
love ^nn++++=love
and ^cc++++=and
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
off ^in+pl+++=off
the ^ati++++=the
goddess ^nns+nom+++=goddess
of ^in++++=of
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
an ^at++++=an
industrious ^jj+atrb+++=industrious
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
domestic ^jj+atrb+++=domestic
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
honest ^jj+atrb+++=honest
people ^nns++++=people.
. ^zz++++=EXTRAWORD
