Hardly ^rb+down+++=Hardly
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
John ^np++++=John?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Neither,
neither ^dt++neg++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
no ^at++++=no
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
will ^md+prd+++=will
write ^vb++++=write
to ^in++++=to
mother ^nn++++=mother
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
get ^vb++++=get
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
because ^cs+cos+++=because
of ^in"++++=of
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
a ^at++++=a
plain ^nn++++=plain
ring ^nn++++=ring
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
turned ^vbd+++xvbn+=turned
thoughtfully ^rb++++=thoughtfully
on ^in++++=on
his ^pp$+pp3+++=his
finger ^nn++++=finger
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
alone ^jj++++=alone.
. ^zz++++=EXTRAWORD
" ^zz++++="Partly
partly ^rb+down+++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
from ^in++++=from
a ^at++++=a
settled ^jj+atrb++xvbn+=settled
sort ^nn++++=sort
of ^in++++=of
look ^nn++++=look
you ^pp2+pp2+++=you
have, ^nn+++??+=have,--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
look ^nn++++=look
which ^whp+rel+obj++=which
young ^jj+atrb+++=young
men ^nns++++=men
seldom ^rb++++=seldom
get ^vb++++=get
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
marry ^vb++++=marry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
so ^ql++++=so
very ^ql+amp+++=very
young ^jj++++=young,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
thirty ^cd++++=thirty
in ^in++++=in
May ^md+pos+++=May
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
what ^wdt+who+++=what
you ^pp2+pp2+++=you
might ^md+pos+++=might
call ^vb++++=call
settled ^vbd+++xvbn+=settled
this ^dt+dem+++=this
ten ^cd++++=ten
years ^nns++++=years;
; ^zz++++=EXTRAWORD
for ^in++++=for
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
a ^at++++=a
widow ^nn++++=widow;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
child ^nn++++=child
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
marry ^vbi++++=marry
until ^cs+sub+++=until
Lizzie ^np+++??+=Lizzie
has ^vbz+hvz+vrb++=has
a ^at++++=a
home ^nr++++=home
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Laurie ^np++++=Laurie's
's ^$++++=EXTRAWORD
learned ^jj+++xvbn+=learned
his ^pp$+pp3+++=his
trade ^nn++++=trade;
; ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+vrb++=be
father ^nn++++=father
to ^in++++=to
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
husband ^nn++++=husband
to ^in++++=to
the ^ati++++=the
dear ^jj+atrb+++=dear
old ^jj+atrb+++=old
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
doubt ^nn++++=doubt
but ^cc++++=but
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
both ^abx++++=both,
, ^zz++++=EXTRAWORD
John ^np++++=John;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
how ^wrb+who+++=how
came ^vbd+++xvbn+=came
you ^pp2+pp2+++=you
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
war ^nn++++=war,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
felt ^vbd+vprv++xvbn+=felt
so ^ql++++=so?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Wasn't
n't ^xnot++not++0=EXTRAWORD
enlisting ^jj+++xvbg+=enlisting
as ^ql++++=as
bad ^jj++++=bad
as ^ql++++=as
marrying ^nvbg+++xvbg+=marrying?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am,
'am, ^nn+++??+=EXTRAWORD
not ^xnot++not++=not
as ^ql++++=as
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
one ^cd1++++=one
is ^vbz+bez+aux++=is
helping ^vbg+++xvbgx+=helping
my ^pp$+pp1+++=my
neighbor ^nn++++=neighbor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
pleasing ^jj+++xvbg+=pleasing
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
the ^ati++++=the
glory ^nn++++=glory
or ^cc++++=or
the ^ati++++=the
pay ^nn++++=pay;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
right ^jj+atrb+++=right
thing ^nn++++=thing
done ^vwbn+++xvbn+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people
kept ^vbd+++xvbn+=kept
saying ^vbg+++xvbg+=saying
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
in ^in++++=in
earnest ^nn++++=earnest
ought ^md+nec+++=ought
to ^in++++=to
flight ^nn++++=flight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
earnest ^nn++++=earnest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Lord ^npt++++=Lord
knows ^vbz+vprv+++=knows!
! ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
held ^vbd+vprv++xvbnx+=held
off ^in+pl+++=off
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
duty ^nn++++=duty;
; ^zz++++=EXTRAWORD
mother ^nn++++=mother
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
me ^pp1o+pp1+++=me
her ^pp$+pp3+++=her
ring ^nn++++=ring
to ^to++++=to
keep ^vbi++++=keep
me ^pp1o+pp1+++=me
steady ^jj++++=steady,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
' ^zz++++='Go;'
go ^vb++++=EXTRAWORD
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
short ^jj+atrb+++=short
story ^nn++++=story
and ^cc++++=and
a ^at++++=a
simple ^jj+atrb+++=simple
one ^pn++++=one,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
man ^nn++++=man
and ^cc++++=and
the ^ati++++=the
mother ^nn++++=mother
were ^vbd+bed+aux++=were
portrayed ^vpsv++agls+xvbnx+=portrayed
better ^jjr++++=better
than ^in++++=than
pages ^nns++++=pages
of ^in++++=of
fine ^nn++++=fine
writing ^vwbg+++xvbg+=writing
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
regret ^nn++++=regret
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
lie ^vb++++=lie
here ^rn+pl+++=here
suffering ^vbg+++xvbg+=suffering
so ^ql++++=so
much ^ap++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
helped ^vprf+++xvbn+=helped
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
shown ^vprf++tht0+xvbnx+=shown
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
give ^vbi++++=give
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
to ^to+vcmp+++=to;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
blame ^vb++++=blame
anybody ^pn++++=anybody,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
do ^vbi++++=do
over ^rb+phrv+++=over
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
sorry ^uh++++=sorry
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
wounded ^jj+++xvbn+=wounded
in ^in++++=in
front ^jjb++++=front;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
looks ^vbz++++=looks
cowardly ^jj++++=cowardly
to ^to++++=to
be ^vbi+vbi+aux++=be
hit ^vpsv++agls+xvbnx+=hit
in ^in++++=in
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
obeyed ^vbd+++xvbnx+=obeyed
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter
in ^in++++=in
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
John ^np++++=John!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
matter ^nn++++=matter
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that
a ^at++++=a
shot ^nn+++xvbn+=shot
in ^in++++=in
front ^nn++++=front
might ^md+pos+++=might
have ^vb+hv+aux++=have
spared ^vprf+++xvbnx+=spared
the ^ati++++=the
long ^jj+atrb+++=long
agony ^nn++++=agony
in ^in++++=in
store ^nn++++=store
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
troubled ^jj+++xvbn+=troubled
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
so ^rb++++=so
hopefully ^rb++++=hopefully
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
added, ^nn+++??+=added,-"This
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
first ^od++++=first
battle ^nn++++=battle;
; ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
my ^pp$+pp1+++=my
last ^ap++++=last?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
John ^np++++=John."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hardest ^jjt+atrb+++=hardest
question ^nn+nom+++=question
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
called ^vpsv++agls+xvbnx+=called
upon ^in++++=upon
to ^in++++=to
answer ^nn++++=answer;
; ^zz++++=EXTRAWORD
doubly ^rb++++=doubly
hard ^jj++++=hard
with ^in++++=with
those ^dt+dem+++=those
clear ^jj+atrb+++=clear
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
forcing ^vbg+++xvbg+=forcing
a ^at++++=a
truthful ^jj+atrb+++=truthful
answer ^nn++++=answer
by ^in++++=by
their ^pp$+pp3+++=their
own ^ap++++=own
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
a ^rb++++=a
little ^rb"++++=little
startled ^vbd+++xvbn+=startled
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
pondered ^j+++xvbn+=pondered
over ^in++++=over
the ^ati++++=the
fateful ^jj+atrb+++=fateful
fact ^nn++++=fact
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
broad ^jj+atrb+++=broad
chest ^nn++++=chest
and ^cc++++=and
muscular ^jj+atrb+++=muscular
limbs ^nns++++=limbs
stretched ^vwbn+++xvbn+=stretched
out ^rp+pl+++=out
before ^cs+sub+++=before
him:-"i ^nn+++??+=him:-"I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
afraid ^jj++++=afraid,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
difficult ^jj++++=difficult
to ^to+jcmp+++=to
believe ^vbi+vprv+++=believe
all ^abn++++=all
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql+emph+++=so
strong ^jj++++=strong
it ^pp3+it+++=it
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
possible ^jj++++=possible
for ^in++++=for
such ^abl++++=such
a ^rb++++=a
little ^rb"++++=little
wound ^nn+++xvbn+=wound
to ^to++++=to
kill ^vbi++++=kill
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Merry ^jj+atrb+++=Merry
Mercutio ^np++++=Mercutio's
's ^vbz+bez+aux++0=EXTRAWORD
dying ^vbg+++xvbg+=dying
words ^nns++++=words
glanced ^vbd+++xvbn+=glanced
through ^in++++=through
my ^pp$+pp1+++=my
memory ^nn++++=memory
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke:--" ^nn+++??+=spoke:--"'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
not ^xnot++not++=not
so ^ql+emph+++=so
deep ^jj++++=deep
as ^ql++++=as
a ^at++++=a
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
so ^rb+emph+++=so
wide ^jj++++=wide
as ^in++++=as
a ^at++++=a
church ^nn++++=church
door ^nn++++=door,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
John ^np++++=John
would ^md+prd+++=would
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
he ^pp3a+pp3+++=he
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
ominous ^jj+atrb+++=ominous
black ^jj+atrb+++=black
holes ^nns++++=holes
between ^in++++=between
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
had ^vb+hv+vrb++=had;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
the ^ati++++=the
ghastly ^jj+atrb+++=ghastly
sights ^nns++++=sights
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
believe ^vb+vprv+++=believe
his ^pp$+pp3+++=his
own ^ap++++=own
wound ^nn+++xvbn+=wound
more ^rbr++++=more
fatal ^jj++++=fatal
than ^in++++=than
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
suffering ^jj+++xvbg+=suffering
it ^pp3+it+++=it
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
write ^vb++++=write
to ^in++++=to
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
thinking ^vbg+vprv++xvbg+=thinking
that ^tht+vcmp+++=that
these ^dt+dem+++=these
sudden ^jj+atrb+++=sudden
tidings ^nns++++=tidings
might ^md+pos+++=might
change ^vb++++=change
all ^abn++++=all
plans ^nns++++=plans
and ^cc++++=and
purposes ^nns++++=purposes;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
man ^nn++++=man
received ^vbd+++xvbn+=received
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
Divine ^nn++++=Divine
Commander ^npt+nom+++=Commander
to ^in++++=to
march ^nr++++=march,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
unquestioning ^jj+atrb+++=unquestioning
obedience ^nn+nom+++=obedience
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
soldier ^nn++++=soldier
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
one ^pn++++=one,
, ^zz++++=EXTRAWORD
doubtless ^rb++++=doubtless
remembering ^vbg+vprv++xvbg+=remembering
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
led ^vprf+++xvbn+=led
him ^pp3o+pp3+++=him
to ^in++++=to
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^ap++++=last
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am;
'am; ^nn+++??+=EXTRAWORD
to ^in++++=to
Laurie ^np++++=Laurie
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
break ^vb++++=break
it ^pp3+it+++=it
to ^in++++=to
her ^pp$+pp3+++=her
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
add ^vb+vpub+++=add
a ^at++++=a
line ^nn++++=line
to ^in++++=to
her ^pp$+pp3+++=her
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when
you ^pp2+pp2+++=you
get ^vb++++=get
done ^vbd+++xvbn+=done."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
the ^ati++++=the
letter ^nn++++=letter
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
dictated ^vbd+++xvbnx+=dictated,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
it ^pp3+it+++=it
better ^jjr++++=better
than ^in++++=than
any ^dti++++=any
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^rb++++=a
little ^rb"++++=little
ungrammatical ^jj++++=ungrammatical
or ^cc+phrs+++=or
inelegant ^jj++++=inelegant,
, ^zz++++=EXTRAWORD
each ^dt++++=each
sentence ^nn+nom+++=sentence
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
briefly ^rb++++=briefly
worded ^jj++++=worded,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
most ^ql+emph+++=most
expressive ^jj++++=expressive;
; ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
excellent ^jj+atrb+++=excellent
counsel ^vb++++=counsel
to ^to+vcmp+++=to
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
tenderly ^rb++++=tenderly
" ^zz++++="bequeathing
bequeathing ^jj+atrb++xvbg+=EXTRAWORD
mother ^nn++++=mother
and ^cc++++=and
Lizzie ^np+++??+=Lizzie"
" ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
care ^nn++++=care,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bidding ^nvbg+++xvbg+=bidding
him ^pp3o+pp3+++=him
good ^jj++++=good-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
in ^in++++=in
words ^nns++++=words
the ^ati++++=the
sadder ^nn++++=sadder
for ^in++++=for
their ^pp$+pp3+++=their
simplicity ^nn+nom+++=simplicity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
added ^vbd+vpub++xvbnx+=added
a ^ap++++=a
few ^ap"++++=few
lines ^nns++++=lines
with ^in++++=with
steady ^jj+atrb+++=steady
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sealed ^vbd+++xvbnx+=sealed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
patient ^nn++++=patient
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
sigh ^nn++++=sigh,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^vb++++=hope
the ^ati++++=the
answer ^nn++++=answer
will ^md+prd+++=will
come ^vb++++=come
in ^in++++=in
time ^nn++++=time
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
see ^vbi+vprv+++=see
it ^pp3+it+++=it;"
