Both ^abx++++=Both
any ^dti++++=any
rate ^nn++++=rate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Merton ^np+++??+=Merton,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
simple ^jj+pred+++=simple
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
the ^ati++++=the
senior ^jj+atrb+++=senior
investigator ^nn++++=investigator,
, ^zz++++=EXTRAWORD
stroking ^vbg+++xvbg+=stroking
his ^pp$+pp3+++=his
grey ^nn++++=grey,
, ^zz++++=EXTRAWORD
pointed ^jj+atrb++xvbn+=pointed
beard ^nn++++=beard.
. ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
after ^cs+sub+++=after
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
gone ^vprf+++xvbnx+=gone
for ^in+ppvb+++=for
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Royce ^np++++=Royce's
's ^$++++=EXTRAWORD
parson ^nn++++=parson
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
came ^vbd+++xvbn+=came
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
pasty ^nn+++??+=pasty-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
servant ^nn+nom+++=servant
in ^in++++=in
the ^ati++++=the
black ^jj+atrb+++=black
gloves ^nns++++=gloves
who ^whp+rel+subj++=who
stopped ^vbd+++xvbn+=stopped
the ^ati++++=the
train ^nn++++=train?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
know ^vb+vprv+++=know
him ^pp3o+pp3+++=him
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
Somehow ^rb++++=Somehow
he ^pp3a+pp3+++=he
rather ^rb++++=rather
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
creeps ^nns+++??+=creeps."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
drawled ^vbd+++xvbn+=drawled
Gilder ^np+++??+=Gilder,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
the ^ati++++=the
train ^nn++++=train
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
on ^in++++=on
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
man ^nn++++=man
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
too ^ql++++=too.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
a ^at++++=a
cool ^vb++++=cool
criminal ^jj++++=criminal,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
to ^to++++=to
escape ^vbi++++=escape
by ^in++++=by
the ^ati++++=the
very ^ql+amp+++=very
train ^vb++++=train
that ^dt+pdem+++=that
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
for ^in++++=for
the ^ati++++=the
police ^nns++++=police?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
pretty ^rb++++=pretty
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
did ^vbd+dod+aux++=did
kill ^vb++++=kill
his ^pp$+pp3+++=his
master ^nn++++=master?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
son ^nn++++=son,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
pretty ^rb++++=pretty
sure ^jj+pred+++=sure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Gilder ^np+++??+=Gilder
drily ^rb+cnj+++=drily,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
the ^ati++++=the
trifling ^jj+atrb+++=trifling
reason ^nn++++=reason
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
off ^rb+phrv+++=off
with ^in+ppvb+++=with
twenty ^cd++++=twenty
thousand ^cd++++=thousand
pounds ^nns++++=pounds
in ^in++++=in
papers ^nns++++=papers
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
in ^in++++=in
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
thing ^nn++++=thing
worth ^in++++=worth
calling ^xvbg+++xvbg+=calling
a ^at++++=a
difficulty ^nn++++=difficulty
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
killed ^vbd+++xvbnx+=killed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skull ^nn++++=skull
seems ^vbz+seem+++=seems
broken ^vbd+++xvbn+=broken
as ^in++++=as
with ^in"++++=with
some ^dti++++=some
big ^jj+atrb+++=big
weapon ^nn++++=weapon,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
weapon ^nn++++=weapon
at ^rb++++=at
all ^abn++++=all
lying ^jj+++xvbg+=lying
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
murderer ^nn+nom+++=murderer
would ^md+prd+++=would
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
it ^pp3+it+++=it
awkward ^jj++++=awkward
to ^to+jcmp+++=to
carry ^vbi++++=carry
it ^pp3+it+++=it
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
the ^ati++++=the
weapon ^nn++++=weapon
was ^vbd+bedz+vrb++=was
too ^ql++++=too
small ^jj++++=small
to ^to++++=to
be ^vbi+vbi+aux++=be
noticed ^vpsv++agls+xvbnx+=noticed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
the ^ati++++=the
weapon ^nn++++=weapon
was ^vbd+bedz+vrb++=was
too ^ql++++=too
big ^jj++++=big
to ^to++++=to
be ^vbi+vbi+aux++=be
noticed ^vpsv++agls+xvbnx+=noticed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
odd ^jj+atrb+++=odd
little ^jj+atrb+++=little
giggle ^nn++++=giggle.
. ^zz++++=EXTRAWORD
Gilder ^np+++??+=Gilder
looked ^vbd+++xvbn+=looked
round ^rb++++=round
at ^rb++++=at
this ^dt+dem+++=this
wild ^jj+atrb+++=wild
remark ^nn++++=remark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rather ^rb++++=rather
sternly ^rb++++=sternly
asked ^vbn+vsua++xvbn+=asked
Brown ^np++++=Brown
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant.
. ^zz++++=EXTRAWORD
" ^zz++++="Silly
silly ^jj+atrb+++=EXTRAWORD
way ^nn++++=way
of ^in++++=of
putting ^xvbg+++xvbg+=putting
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Father ^nn++++=Father
Brown ^jj++++=Brown
apologetically ^rb++++=apologetically.
. ^zz++++=EXTRAWORD
" ^zz++++="Sounds
sounds ^nns++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
fairy ^nn++++=fairy
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
poor ^jj+atrb+++=poor
Armstrong ^np++++=Armstrong
was ^vbd+bedz+aux++=was
killed ^vpsv++agls+xvbnx+=killed
with ^in++++=with
a ^at++++=a
giant ^jjb+atrb+++=giant's
's ^vbz+bez+vrb++0=EXTRAWORD
club ^nn++++=club,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
green ^nn++++=green
club ^nn++++=club,
, ^zz++++=EXTRAWORD
too ^ql++++=too
big ^jj++++=big
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
call ^vb++++=call
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken
against ^in++++=against
this ^dt+dem+++=this
green ^nn++++=green
bank ^nn++++=bank
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
standing ^vbg+++xvbgx+=standing
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
detective ^nn++++=detective
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
Brown ^jj++++=Brown
turned ^jj+++xvbn+=turned
his ^pp$+pp3+++=his
moon ^np++++=moon
face ^nn++++=face
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
narrow ^jj+atrb+++=narrow
facade ^nn+++??+=facade
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
blinked ^vbd+++xvbn+=blinked
hopelessly ^rb++++=hopelessly
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
right ^jj++++=right
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
this ^dt+dem+++=this
otherwise ^rb+cnj+++=otherwise
blind ^jj+atrb+++=blind
back ^jjb+atrb+++=back
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
an ^at++++=an
attic ^nn++++=attic
window ^nn++++=window
stood ^vbd+++xvbn+=stood
open ^jj++++=open.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
a ^rb++++=a
little ^rb"++++=little
awkwardly ^rb++++=awkwardly
like ^in++++=like
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown
down ^rp++++=down
from ^in++++=from
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gilder ^np+++??+=Gilder
frowningly ^jj++++=frowningly
scrutinised ^jj+++xvbn+=scrutinised
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certainly ^rb++++=certainly
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
why ^wrb+who+whcl++=why
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
sure ^jj++++=sure
about ^in++++=about
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Brown ^jj++++=Brown
opened ^jj+++xvbn+=opened
his ^pp$+pp3+++=his
grey ^jj+atrb+++=grey
eyes ^nns++++=eyes
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,"
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
rope ^nn++++=rope
round ^in++++=round
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
leg ^nn++++=leg.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
other ^ap++++=other
bit ^nn++++=bit
of ^in++++=of
rope ^nn++++=rope
up ^rp++++=up
there ^ex+pex+++=there
caught ^vbd+++xvbn+=caught
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
window ^nn++++=window?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
height ^nn++++=height
the ^ati++++=the
thing ^nn++++=thing
looked ^vbd+++xvbn+=looked
like ^in++++=like
the ^ati++++=the
faintest ^jjt+atrb+++=faintest
particle ^nn++++=particle
of ^in++++=of
dust ^nn++++=dust
or ^cc++++=or
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
shrewd ^jj+atrb+++=shrewd
old ^jj+atrb+++=old
investigator ^nn++++=investigator
was ^vbd+bedz+aux++=was
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
quite ^rb++++=quite
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Father ^vb++++=Father
Brown ^jj++++=Brown;
; ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
certainly ^rb++++=certainly
one ^pn++++=one
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
a ^at++++=a
special ^jj+atrb+++=special
train ^nn++++=train
with ^in++++=with
one ^cd1++++=one
carriage ^nn+nom+++=carriage
took ^vbd+++xvbn+=took
the ^ati++++=the
curve ^nn++++=curve
of ^in++++=of
the ^ati++++=the
line ^nn++++=line
on ^in++++=on
their ^pp$+pp3+++=their
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
stopping ^vbg+++xvbg+=stopping,
, ^zz++++=EXTRAWORD
disgorged ^j+++xvbn+=disgorged
another ^dt++++=another
group ^nn++++=group
of ^in++++=of
policemen ^nns++++=policemen,
, ^zz++++=EXTRAWORD
in ^in++++=in
whose ^whp+rel+pied++=whose
midst ^nn++++=midst
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hangdog ^nn+++??+=hangdog
visage ^nn++++=visage
of ^in++++=of
Magnus ^np+++??+=Magnus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absconded ^jj+atrb++xvbn+=absconded
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
Jove ^nn++++=Jove!
! ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Gilder ^np+++??+=Gilder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stepped ^vbd+++xvbn+=stepped
forward ^rb++++=forward
with ^in++++=with
quite ^rb++++=quite
a ^at++++=a
new ^jj+atrb+++=new
alertness ^nns+nom+++=alertness.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
the ^ati++++=the
money ^nn++++=money!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
to ^in++++=to
the ^ati++++=the
first ^od++++=first
policeman ^nn+nom+++=policeman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
looked ^vbd+++xvbn+=looked
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
face ^nn++++=face
with ^in++++=with
a ^at++++=a
rather ^rb++++=rather
curious ^jj+atrb+++=curious
expression ^nn++++=expression
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added:
: ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
inspector ^nn++++=inspector,
, ^zz++++=EXTRAWORD
please ^uh++++=please?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
the ^ati++++=the
man ^nn++++=man
called ^vbd+++xvbn+=called
Magnus ^np+++??+=Magnus.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
everyone ^pn++++=everyone
instantly ^rb+tm+++=instantly
understood ^vbd+vprv++xvbn+=understood
how ^wrb+who+whcl++=how
this ^dt+dem+++=this
voice ^nn++++=voice
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
a ^at++++=a
train ^nn++++=train.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
dull ^jj++++=dull-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
man ^nn++++=man
with ^in++++=with
flat ^nn++++=flat
black ^jj+atrb+++=black
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
a ^at++++=a
colourless ^jj+atrb+++=colourless
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
faint ^jj+atrb+++=faint
suggestion ^nn+nom+++=suggestion
of ^in++++=of
the ^ati++++=the
East ^np+pl+++=East
in ^in++++=in
the ^ati++++=the
level ^nn++++=level
slits ^nns++++=slits
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
blood ^nn++++=blood
and ^cc++++=and
name ^nn++++=name,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
dubious ^jj++++=dubious,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
since ^cs+sub+++=since
Sir ^npt++++=Sir
Aaron ^np+++??+=Aaron
had ^vb+hv+aux++=had
" ^zz++++="rescued"
rescued ^vbd+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
from ^in++++=from
a ^at++++=a
waitership ^nn+nom+++=waitership
in ^in++++=in
a ^at++++=a
London ^np++++=London
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(as
as ^ql++++=EXTRAWORD
some ^dti++++=some
said ^vbd+vpub++xvbn+=said)
) ^zz++++=EXTRAWORD
from ^in++++=from
more ^rbr++++=more
infamous ^jj+atrb+++=infamous
things ^nns++++=things.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
as ^ql++++=as
vivid ^jj++++=vivid
as ^ql++++=as
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
through ^in++++=through
exactitude ^nn++++=exactitude
in ^in++++=in
a ^at++++=a
foreign ^jj+atrb+++=foreign
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
in ^in++++=in
deference ^nn+nom+++=deference
to ^in++++=to
his ^pp$+pp3+++=his
master ^nn++++=master
( ^zz++++=(who
who ^whp+who+++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
somewhat ^rb+down+++=somewhat
deaf ^jj++++=deaf),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Magnus ^np++++=Magnus's
's ^$++++=EXTRAWORD
tones ^nns++++=tones
had ^vb+hv+vrb++=had
a ^at++++=a
peculiarly ^rb++++=peculiarly
ringing ^jj+atrb++xvbg+=ringing
and ^cc+phrs+++=and
piercing ^jj+atrb++xvbg+=piercing
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
group ^nn++++=group
quite ^abl++++=quite
jumped ^jj+++xvbn+=jumped
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
always ^rb++++=always
knew ^vbd+vprv+tht0+xvbn+=knew
this ^dt+pdem+++=this
would ^md+prd+++=would
happen ^vb+++??+=happen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
aloud ^rb++++=aloud
with ^in++++=with
brazen ^vb++++=brazen
blandness ^nns+nom+++=blandness.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
master ^npt++++=master
made ^vbd+++xvbn+=made
game ^nn++++=game
of ^in++++=of
me ^pp1o+pp1+++=me
for ^in++++=for
wearing ^xvbg+++xvbg+=wearing
black ^jj++++=black;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
always ^rb++++=always
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
for ^in++++=for
his ^pp$+pp3+++=his
funeral ^nn++++=funeral."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
momentary ^jj+atrb+++=momentary
movement ^nn+nom+++=movement
with ^in++++=with
his ^pp$+pp3+++=his
two ^cd++++=two
dark ^jj++++=dark-gloved
- ^zz++++=EXTRAWORD
gloved ^jj+atrb+++=EXTRAWORD
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Sergeant,"
sergeant ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Inspector ^nn++++=Inspector
Gilder ^np+++??+=Gilder,
, ^zz++++=EXTRAWORD
eyeing ^vbg+++xvbg+=eyeing
the ^ati++++=the
black ^jj+atrb+++=black
hands ^nns++++=hands
with ^in++++=with
wrath ^nn++++=wrath,
, ^zz++++=EXTRAWORD
" ^zz++++="aren't
are ^vb+ber+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
putting ^vbg+++xvbg+=putting
the ^ati++++=the
bracelets ^nns+nom+++=bracelets
on ^in++++=on
this ^dt+dem+++=this
fellow ^jjb++++=fellow;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
looks ^nns++++=looks
pretty ^rb++++=pretty
dangerous ^jj++++=dangerous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
sergeant ^nn+nom+++=sergeant,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
odd ^jj+atrb+++=odd
look ^nn++++=look
of ^in++++=of
wonder ^nn++++=wonder,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
