Passing ^vbg+++xvbg+=Passing
dust ^nn++++=dust
of ^in++++=of
the ^ati++++=the
grave ^nn++++=grave;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
very ^ap+amp+++=very
strength ^nn++++=strength
of ^in++++=of
that ^dt+dem+++=that
sympathy ^nn++++=sympathy
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
the ^ati++++=the
dead ^jj+atrb+++=dead
shrinks ^nns+++??+=shrinks
the ^ati++++=the
more ^rbr++++=more
sensitively ^jj++++=sensitively
from ^in++++=from
reminding ^xvbg+++xvbg+=reminding
the ^ati++++=the
world ^nn++++=world
of ^in++++=of
its ^pp$+it+++=its
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
link ^nn++++=link
is ^vbz+bez+vrb++=is
already ^rb++++=already
strong ^jj+pred+++=strong
enough ^qlp++++=enough;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
needs ^nns++++=needs
no ^at++++=no
visible ^jj+atrb+++=visible
symbol ^nn++++=symbol.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
a ^at++++=a
shadow ^nn++++=shadow
walks ^nns++++=walks
ever ^rb++++=ever
by ^in++++=by
her ^pp$+pp3+++=her
side ^nn++++=side
and ^cc++++=and
the ^ati++++=the
touch ^nn++++=touch
of ^in++++=of
a ^at++++=a
chill ^nn++++=chill
hand ^nn++++=hand
is ^vbz+bez+vrb++=is
on ^rp++++=on
her ^pp3o+pp3+++=her
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perchance ^nn+nom+++=perchance
its ^pp$+it+++=its
natural ^jj+atrb+++=natural
yearnings ^nns+++??+=yearnings,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
still ^rb++++=still
be ^vb+be+vrb++=be
warm ^jj+pred+++=warm
within ^in++++=within
her ^pp$+pp3+++=her
and ^cc++++=and
inspire ^vb++++=inspire
her ^pp$+pp3+++=her
with ^in++++=with
new ^jj+atrb+++=new
hopes ^nns++++=hopes
of ^in++++=of
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
would ^md+prd+++=would
she ^pp3a+pp3+++=she
mark ^vb++++=mark
out ^rp+pl+++=out
the ^ati++++=the
grave ^nn++++=grave
the ^ati++++=the
scent ^nn++++=scent
of ^in++++=of
which ^whp+rel+pied++=which
would ^md+prd+++=would
be ^vb+be+vrb++=be
perceptible ^jj+pred+++=perceptible
on ^in++++=on
the ^ati++++=the
pillow ^nn++++=pillow
of ^in++++=of
the ^ati++++=the
second ^od++++=second
bridal ^jj++++=bridal?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
level ^nn++++=level
its ^pp$+it+++=its
green ^nn++++=green
mound ^nn+++??+=mound
with ^in++++=with
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
dug ^vbd+++xvbnx+=dug
up ^rp++++=up
again ^rb+tm+++=again
her ^pp$+pp3+++=her
buried ^vbd+++xvbn+=buried
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spot ^nn++++=spot
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
these ^dt+dem+++=these
sentimentalities ^nns+nom+++=sentimentalities,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
prodigiously ^rb++splt++=prodigiously
amused ^vpsv++by+xvbnx+=amused
by ^in++++=by
an ^at++++=an
incident ^nn++++=incident
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
good ^jj++++=good-fortune
- ^zz++++=EXTRAWORD
fortune ^nn++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
witness ^nns+nom+++=witness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^whp+who+++=which
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
related ^vbd+++xvbn+=related
with ^in++++=with
considerable ^jj+atrb+++=considerable
humor ^nn++++=humor.
. ^zz++++=EXTRAWORD
A ^at++++=A
gentlewoman ^nn+nom+++=gentlewoman
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
receiving ^jj+atrb++xvbg+=receiving
news ^nn++++=news
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
loss ^nn++++=loss
at ^rb++++=at
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
bespoken ^vprf+++xvbnx+=bespoken
a ^at++++=a
handsome ^jj+atrb+++=handsome
slab ^nn++++=slab
of ^in++++=of
marble ^nn++++=marble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
daily ^jj++++=daily
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
progress ^nns+nom+++=progress
of ^in++++=of
my ^pp$+pp1+++=my
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
chisel ^nn++++=chisel.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
good ^jj+atrb+++=good
lady ^nn++++=lady
and ^cc++++=and
the ^ati++++=the
sculptor ^nn++++=sculptor
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
epitaph ^nn++++=epitaph
which ^whp+rel+obj++=which
the ^ati++++=the
departed ^jj+atrb++xvbn+=departed
spirit ^nn++++=spirit
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
greatly ^rb+amp+splt++=greatly
comforted ^vpsv++agls+xvbn+=comforted
to ^to++++=to
read ^vbn+vprv++xvbn+=read
who ^whp+who+++=who
should ^md+nec+++=should
walk ^vb++++=walk
into ^in+ppvb+++=into
the ^ati++++=the
workshop ^nn++++=workshop
but ^cc++++=but
the ^ati++++=the
deceased ^jj++++=deceased
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
in ^in++++=in
substance ^nn+nom+++=substance
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
spirit ^nn++++=spirit!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
picked ^vpsv++agls+xvbnx+=picked
up ^rp++++=up
at ^rb++++=at
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vpsv++agls+xvbn+=stood
in ^in++++=in
no ^at++++=no
present ^vb++++=present
need ^nn++++=need
of ^in++++=of
tombstone ^nn+++??+=tombstone
or ^cc++++=or
epitaph ^nn++++=epitaph.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="did
did ^vbd+dod+vrb++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
bear ^vb+vprv+++=bear
the ^ati++++=the
shock ^nn++++=shock
of ^in++++=of
joyful ^jj+atrb+++=joyful
surprise ^nn++++=surprise?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,"
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
deepening ^nn++++=deepening
the ^ati++++=the
grin ^nn++++=grin
of ^in++++=of
a ^at++++=a
death ^nn++++=death's-head
's-head ^nn+++??+=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
chisel ^nn++++=chisel
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
then ^rn+tm+++=then
employed ^vbd+++xvbn+=employed,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
really ^rb+emph+++=really
felt ^vbd+vprv++xvbn+=felt
for ^in+ppvb+++=for
the ^ati++++=the
poor ^jj+atrb+++=poor
woman ^nn++++=woman;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
pieces ^nns++++=pieces
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
away ^rb+phrv+++=away
on ^in++++=on
a ^at++++=a
living ^jj+atrb++xvbg+=living
man ^nn++++=man!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
comely ^jj+atrb+++=comely
woman ^nn++++=woman
with ^in++++=with
a ^at++++=a
pretty ^jj+atrb+++=pretty
rosebud ^nn++++=rosebud
of ^in++++=of
a ^at++++=a
daughter ^nn+nom+++=daughter
came ^vbd+++xvbn+=came
to ^to++++=to
select ^vbi++++=select
a ^at++++=a
gravestone ^nn+++??+=gravestone
for ^in++++=for
a ^at++++=a
twin ^nn++++=twin-daughter,
- ^zz++++=EXTRAWORD
daughter ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
a ^at++++=a
month ^nn++++=month
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
impressed ^vpsv++agls+xvbnx+=impressed
with ^in++++=with
the ^ati++++=the
different ^jj+atrb+++=different
nature ^nn++++=nature
of ^in++++=of
their ^pp$+pp3+++=their
feelings ^nns+nom+++=feelings
for ^in++++=for
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
calm ^nn++++=calm
and ^cc++++=and
woefully ^jj++++=woefully
resigned ^jj+++xvbn+=resigned,
, ^zz++++=EXTRAWORD
fully ^rb+amp+++=fully
conscious ^jj++++=conscious
of ^in++++=of
her ^pp$+pp3+++=her
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
as ^in++++=as
of ^in"++++=of
a ^at++++=a
treasure ^nn++++=treasure
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
not ^xnot++not++=not
always ^rb++++=always
possessed ^jj+++xvbn+=possessed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
aware ^jj++++=aware
that ^tht+jcmp+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
from ^in++++=from
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
daughter ^nn+nom+++=daughter
evidently ^rb++++=evidently
had ^vb+hv+vrb++=had
no ^at++++=no
real ^jj+atrb+++=real
knowledge ^nn++++=knowledge
of ^in++++=of
what ^wdt+who+++=what
Death ^np++++=Death's
's ^$++++=EXTRAWORD
doings ^nns++++=doings
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
thoughts ^nns++++=thoughts
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
by ^in++++=by
the ^ati++++=the
print ^nn++++=print
and ^cc++++=and
pressure ^nn++++=pressure
which ^whp+rel+obj++=which
the ^ati++++=the
dead ^jj+atrb+++=dead
sister ^nn++++=sister
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
upon ^in++++=upon
the ^ati++++=the
survivor ^nn++++=survivor's
's ^$++++=EXTRAWORD
spirit ^nn++++=spirit
her ^pp$+pp3+++=her
feelings ^nns+nom+++=feelings
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
the ^ati++++=the
same ^ap++++=same
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
still ^rb++++=still
stood ^vbd+++xvbn+=stood
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
and ^cc++++=and
arm ^nn++++=arm
in ^in++++=in
arm ^nn++++=arm
with ^in++++=with
the ^ati++++=the
departed ^jj+++xvbn+=departed,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
slabs ^nns++++=slabs
of ^in++++=of
marble ^nn++++=marble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb++++=twice
she ^pp3a+pp3+++=she
glanced ^vbd+++xvbnx+=glanced
around ^rb++++=around
with ^in++++=with
a ^at++++=a
sunny ^jj+atrb+++=sunny
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
as ^ql++++=as
its ^pp$+it+++=its
sister ^nn++++=sister-smile
- ^zz++++=EXTRAWORD
smile ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
faded ^vprf+++xvbnx+=faded
for ^rb++++=for
ever ^rb"++++=ever,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
grew ^vbd+++xvbn+=grew
confusedly ^rb++++=confusedly
overshadowed ^xvbn+++xvbn+=overshadowed.
. ^zz++++=EXTRAWORD
Perchance ^np+nom++??+=Perchance
her ^pp$+pp3+++=her
consciousness ^nns+nom+++=consciousness
was ^vbd+bedz+vrb++=was
truer ^jjr+pred+++=truer
than ^cs+sub+++=than
her ^pp3o+pp3+++=her
reflection ^nn+nom+++=reflection;
; ^zz++++=EXTRAWORD
perchance ^nn+nom+++=perchance
her ^pp$+pp3+++=her
dead ^jj+atrb+++=dead
sister ^nn++++=sister
was ^vbd+bedz+vrb++=was
a ^at++++=a
closer ^rbr++++=closer
companion ^nn++++=companion
than ^in++++=than
in ^in++++=in
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother
and ^cc++++=and
daughter ^nn+nom+++=daughter
talked ^vbd+++xvbn+=talked
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
with ^in++++=with
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
about ^in++++=about
a ^at++++=a
suitable ^jj+atrb+++=suitable
epitaph ^nn++++=epitaph,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
chose ^vbd+++xvbn+=chose
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
verse ^nn++++=verse
of ^in++++=of
ill ^jj++++=ill-matched
- ^zz++++=EXTRAWORD
matched ^xvbn+++xvbn+=EXTRAWORD
rhymes ^nns++++=rhymes
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
inscribed ^vpsv++agls+xvbnx+=inscribed
upon ^in++++=upon
innumerable ^jj+atrb+++=innumerable
tombstones ^nns+++??+=tombstones.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
ridicule ^vb++++=ridicule
the ^ati++++=the
triteness ^nns+nom+++=triteness
of ^in++++=of
monumental ^jj+atrb+++=monumental
verses ^nns++++=verses,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
Sorrow ^nn++++=Sorrow
reads ^vbz++++=reads
far ^rb+pl+++=far
deeper ^jjr++++=deeper
in ^in++++=in
them ^pp3o+pp3+++=them
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finds ^vbz+vprv+++=finds
a ^at++++=a
profound ^jj+atrb+++=profound
and ^cc+phrs+++=and
individual ^jj+atrb+++=individual
purport ^nn++++=purport
in ^in++++=in
what ^wdt+who+++=what
seems ^vbz+seem+++=seems
so ^rb+emph+++=so
vague ^jj++++=vague
and ^cc++++=and
inexpressive ^nn++++=inexpressive
unless ^cs+cnd+++=unless
interpreted ^vpsv++by+xvbn+=interpreted
by ^in++++=by
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
makes ^vbz++++=makes
the ^ati++++=the
epitaph ^nn++++=epitaph
anew ^nn+++??+=anew,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
selfsame ^jjb+atrb+++=selfsame
words ^nns++++=words
may ^md+pos+++=may
have ^vb+hv+aux++=have
served ^vprf+++xvbnx+=served
for ^in++++=for
a ^at++++=a
thousand ^cd++++=thousand
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
afterward ^rb++++=afterward
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth,
, ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
a ^at++++=a
better ^jjr+atrb+++=better
choice ^nn++++=choice
than ^in++++=than
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
the ^ati++++=the
subject ^nn++++=subject
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
struck ^vpsv++by+xvbnx+=struck
by ^in++++=by
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
dozen ^cd++++=dozen
simple ^jj+atrb+++=simple
and ^cc+phrs+++=and
natural ^jj+atrb+++=natural
expressions ^nns++++=expressions
from ^in++++=from
the ^ati++++=the
lips ^nns++++=lips
of ^in++++=of
both ^abx++++=both
mother ^nn++++=mother
and ^cc++++=and
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
these ^dt+pdem+++=these
would ^md+prd+++=would
have ^vb+hv+aux++=have
formed ^vprf+++xvbnx+=formed
an ^at++++=an
inscription ^nn+nom+++=inscription
equally ^rb++++=equally
original ^jj++++=original
and ^cc+phrs+++=and
appropriate ^jj++++=appropriate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
sculptor ^nn++++=sculptor,
, ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
his ^pp$+pp3+++=his
head ^nn++++=head;
; ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
comfort ^nn++++=comfort
to ^to++++=to
be ^vbi+vbi+aux++=be
gathered ^vpsv++agls+xvbnx+=gathered
from ^in++++=from
these ^dt+dem+++=these
little ^jj+atrb+++=little
old ^jj+atrb+++=old
scraps ^nns++++=scraps
of ^in++++=of
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
always ^rb++++=always
recommend ^vb+vsua+++=recommend
them ^pp3o+pp3+++=them
in ^in++++=in
preference ^nn+nom+++=preference
to ^to+vcmp+++=to
any ^dti++++=any
new ^jj++++=new-fangled
- ^zz++++=EXTRAWORD
fangled ^jj+atrb++xvbn+=EXTRAWORD
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
somehow ^rb++++=somehow
they ^pp3a+pp3+++=they
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
stretch ^vbi++++=stretch
to ^to++++=to
suit ^vbi++++=suit
a ^at++++=a
great ^jj+atrb+++=great
grief ^nn++++=grief
and ^cc++++=and
shrink ^vb++++=shrink
to ^to++++=to
fit ^vbi++++=fit
a ^at++++=a
small ^jj+atrb+++=small
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
seldom ^rb++++=seldom
that ^cs+sub+++=that
ludicrous ^jj+atrb+++=ludicrous
images ^nns++++=images
were ^vbd+bed+aux++=were
excited ^vpsv++by+xvbnx+=excited
by ^in++++=by
what ^wdt+who+++=what
took ^vbd+++xvbn+=took
place ^nn++++=place
between ^in++++=between
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
and ^cc++++=and
his ^pp$+pp3+++=his
customers ^nns+nom+++=customers.
. ^zz++++=EXTRAWORD
A ^at++++=A
shrewd ^jj+atrb+++=shrewd
gentlewoman ^nn+nom+++=gentlewoman
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
a ^at++++=a
tavern ^nn++++=tavern
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
was ^vbd+bedz+vrb++=was
anxious ^jj+pred+++=anxious
to ^to+jcmp+++=to
obtain ^vbi++++=obtain
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
gravestones ^nns++++=gravestones
for ^in++++=for
the ^ati++++=the
deceased ^jj+atrb+++=deceased
members ^nns+nom+++=members
of ^in++++=of
her ^pp$+pp3+++=her
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
pay ^vbi++++=pay
for ^in++++=for
these ^dt+dem+++=these
solemn ^jj+atrb+++=solemn
commodities ^nns+nom+++=commodities
by ^in++++=by
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
sculptor ^nn++++=sculptor
to ^in++++=to
board ^nn++++=board.
. ^zz++++=EXTRAWORD
Hereupon ^np+++??+=Hereupon
a ^at++++=a
fantasy ^nn++++=fantasy
arose ^vbd+++xvbn+=arose
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind
of ^in++++=of
good ^jj+atrb+++=good
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
sitting ^vwbg+++xvbg+=sitting
down ^rp++++=down
to ^in++++=to
dinner ^nn++++=dinner
at ^in++++=at
a ^at++++=a
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
flat ^nn++++=flat
tombstone ^nn+++??+=tombstone
carving ^nn++++=carving
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
plump ^jj+atrb+++=plump
little ^jj+atrb+++=little
marble ^nn++++=marble
cherubs ^nns+++??+=cherubs,
, ^zz++++=EXTRAWORD
gnawing ^jj++++=gnawing
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
crossbones ^nns++++=crossbones
and ^cc++++=and
drinking ^nvbg+++xvbg+=drinking
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
hollow ^jj+atrb+++=hollow
death ^nn++++=death's-head
's-head ^nn+++??+=EXTRAWORD
or ^cc++++=or
perhaps ^rb++++=perhaps
a ^at++++=a
lachrymatory ^nn++++=lachrymatory
vase ^nn++++=vase
or ^cc++++=or
sepulchral ^jj+atrb+++=sepulchral
urn ^nn++++=urn,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
hostess ^nns+nom+++=hostess's
's ^vbz+bez+vrb++0=EXTRAWORD
dead ^jj+atrb+++=dead
children ^nns++++=children
waited ^vbd+++xvbn+=waited
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
ghastly ^jj+atrb+++=ghastly
banquet ^nn++++=banquet.
. ^zz++++=EXTRAWORD
On ^in++++=On
communicating ^jj++++=communicating
this ^dt+dem+++=this
nonsensical ^jj+atrb+++=nonsensical
picture ^nn++++=picture
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
heartily ^rb++++=heartily
and ^cc++++=and
pronounced ^vbd+++xvbn+=pronounced
my ^pp$+pp1+++=my
humor ^nn++++=humor
to ^to++++=to
be ^vbi++vrb++=be
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
at ^rb++++=at
such ^abl++++=such
a ^at++++=a
table ^nn++++=table
all ^rb++++=all
my ^pp$+pp1+++=my
days ^nns++++=days,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
eaten ^vbd+++xvbn+=eaten
no ^at++++=no
small ^jj+atrb+++=small
quantity ^nn+nom+++=quantity
of ^in++++=of
slate ^nn++++=slate
and ^cc++++=and
marble ^nn++++=marble."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hard
hard ^jj++++=EXTRAWORD
fare ^vb++++=fare,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
rejoined ^vbd+++xvbn+=rejoined
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
excellent ^jj++++=excellent
of ^in++++=of
digestion ^nn+nom+++=digestion,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
