[ ^zz++++=[The
the ^ati++++=the
chase ^nn++++=chase
is ^vbz+bez+vrb++=is
takin ^nn+++??+=takin'."
'." ^nn+++??+=EXTRAWORD
' ^zz++++='So
so ^ql++++=EXTRAWORD
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
shouldered ^vbd+++xvbn+=shouldered
his ^pp$+pp3+++=his
biddick ^nn+++??+=biddick
and ^cc++++=and
marched ^vbd+++xvbn+=marched
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
down ^rp++++=down
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
marked ^j+++xvbn+=marked
off ^in+pl+++=off
his ^pp$+pp3+++=his
patch ^nn++++=patch
pretty ^rb++++=pretty
high ^jj++++=high
on ^in++++=on
the ^ati++++=the
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fell ^vpsv++agls+xvbn+=fell
to ^in++++=to
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
could ^md+pos+++=could
keep ^vb++++=keep
the ^ati++++=the
whole ^jj+atrb+++=whole
traffic ^nn++++=traffic
of ^in++++=of
the ^ati++++=the
road ^nn++++=road
under ^in++++=under
his ^pp$+pp3+++=his
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
fields ^nns++++=fields
around ^in++++=around
his ^pp$+pp3+++=his
house ^nn++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
shock ^nn++++=shock
as ^ql++++=as
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
to ^in++++=to
mind ^vb++++=mind
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
only ^ap+down+++=only
field ^nn++++=field
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
left ^vprf+++xvbnx+=left
a ^at++++=a
scarecrow ^nn+++??+=scarecrow
standing ^vwbg+++xvbg+=standing--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
a ^at++++=a
patch ^nn++++=patch
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
cropped ^vprf+++xvbnx+=cropped
with ^in++++=with
pease ^nn+++??+=pease
for ^in++++=for
the ^ati++++=the
agent ^nn++++=agent's
's ^$++++=EXTRAWORD
table ^nn++++=table
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
War ^nn++++=War
Prison ^nn++++=Prison.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twasn't
was ^vbd+bedz+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
likely ^jj++++=likely
to ^to+jcmp+++=to
mislead ^vb+++??+=mislead
a ^at++++=a
search ^nn++++=search-party,
- ^zz++++=EXTRAWORD
party ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
a ^at++++=a
scarecrow ^nn+++??+=scarecrow's
's ^$++++=EXTRAWORD
a ^at++++=a
scarecrow ^nn+++??+=scarecrow;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
any ^dti++++=any
of ^in++++=of
these ^dt+dem+++=these
gentry ^nn++++=gentry
being ^vwbg+beg++xvbg+=being
near ^in+pl+++=near
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
at ^rb++++=at
all ^abn++++=all
they ^pp3a+pp3+++=they
might ^md+pos+++=might
be ^vb+be+aux++=be
minded ^vpsv++agls+xvbnx+=minded
to ^to++++=to
search ^vbi++++=search
further ^jjb++++=further.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
determined ^vbd+++xvbnx+=determined
that ^tht+vcmp+++=that
when ^wrb+who+++=when
dinner ^nn++++=dinner-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
came ^vbd+++xvbn+=came
he ^pp3a+pp3+++=he
would ^md+prd+++=would
go ^vb++++=go
back ^jjb+atrb+++=back
home ^nr++++=home
and ^cc++++=and
take ^vb++++=take
the ^ati++++=the
scarecrow ^nn+++??+=scarecrow
down ^rp++++=down.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
road ^nn++++=road
( ^zz++++=(as
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
always ^rb++++=always
pretty ^rb++++=pretty
full ^jj++++=full
of ^in++++=of
traffic ^nn++++=traffic,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
and ^cc+phrs+++=and
going ^vbg+++xvbg+=going
between ^in++++=between
Plymouth ^np++++=Plymouth
and ^cc++++=and
the ^ati++++=the
War ^nn++++=War
Prison ^nn++++=Prison.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
bakers ^nns++++=bakers'
' ^zz++++=EXTRAWORD
wagons ^nns++++=wagons,
, ^zz++++=EXTRAWORD
grocery ^nn+nom+++=grocery
vans ^nns++++=vans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vans ^nns++++=vans
of ^in++++=of
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
market ^nn++++=market
carts ^nns+++??+=carts
from ^in++++=from
Bickleigh ^np+++??+=Bickleigh
and ^cc++++=and
Buckland ^np+++??+=Buckland.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
grandfather ^nn+nom+++=grandfather
watched ^vbd+++xvbn+=watched
one ^cd1++++=one
and ^cc++++=and
another ^dt++++=another
go ^vb++++=go
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
made ^vbd+++xvbn+=made
out ^rp+pl+++=out
nothing ^pn++++=nothing
unusual ^jj++++=unusual
until ^in++++=until--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
digging ^vbg+++xvbgx+=digging
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe--sure
-- ^--+clp+++=EXTRAWORD
sure ^jj++++=EXTRAWORD
enough ^dt++++=enough
he ^pp3a+pp3+++=he
spied ^vprf+++xvbn+=spied
a ^at++++=a
mounted ^jj+atrb++xvbn+=mounted
soldier ^nn++++=soldier
coming ^vwbg+++xvbg+=coming
up ^rp++++=up
the ^ati++++=the
road ^npl++++=road
at ^rb++++=at
a ^at++++=a
trot ^nn++++=trot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
must ^md+nec+++=must
be ^vb+be+vrb++=be
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
searchers ^nns+nom+++=searchers
returning ^vwbg+++xvbg+=returning.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
minute ^nn++++=minute
more ^ql++++=more
he ^pp3a+pp3+++=he
recognised ^vbd+vprv++xvbnx+=recognised
the ^ati++++=the
man ^nn++++=man
for ^in++++=for
an ^at++++=an
acquaintance ^nn+nom+++=acquaintance
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
a ^at++++=a
sergeant ^nn+nom+++=sergeant
of ^in++++=of
the ^ati++++=the
garrison ^nn++++=garrison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
name ^nn++++=name
Grimwold ^np+++??+=Grimwold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hailed ^vbd+++xvbn+=hailed
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
close ^nn++++=close.
. ^zz++++=EXTRAWORD
' ^zz++++='"Hallo!
" ^zz++++=EXTRAWORD
hallo ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
sergeant ^nn+nom+++=sergeant,
, ^zz++++=EXTRAWORD
reining ^vbg+++xvbg+=reining
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
long ^rb++++=long
might ^md+pos+++=might
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
workin ^nn+++??+=workin'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"Best
" ^zz++++=EXTRAWORD
best ^jjt+atrb+++=EXTRAWORD
part ^nn++++=part
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
up ^rp++++=up?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"There's
" ^zz++++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
prisoner ^nn+nom+++=prisoner
escaped ^vbd+++xvbn+=escaped,
, ^zz++++=EXTRAWORD
another ^dt++++=another
of ^in++++0=o'
those ^dt+dem+++=those
damned ^jj+atrb++xvbn+=damned
Yankees ^nns+nom+++=Yankees,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
sergeant ^nn+nom+++=sergeant.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
laying ^vbg+++xvbgx+=laying
the ^ati++++=the
alarm ^vb++++=alarm
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
Plymouth ^np++++=Plymouth.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ha' ^vb+hv+aux++=ha'n't
n't ^xnot++not++0=EXTRAWORD
seen ^vprf+++xvbn+=seen
any ^dti++++=any
suspicious ^jj++++=suspicious-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
party ^nn++++=party
pass ^vb++++=pass
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
grandfather ^nn+nom+++=grandfather
said ^vbd+vpub++xvbn+=said
very ^ql+amp+++=very
truthfully ^rb++++=truthfully
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=hadn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
promised ^jj+++xvbn+=promised
very ^ql+amp+++=very
truthfully ^rb++++=truthfully
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
keep ^vb++++=keep
an ^at++++=an
eye ^nn++++=eye
lifting ^vwbg+++xvbg+=lifting.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
sergeant ^nn+nom+++=sergeant
wished ^vbd+vprv++xvbn+=wished
him ^pp3o+pp3+++=him
good ^jj++++=good-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
and ^cc++++=and
rode ^vpsv++agls+xvbn+=rode
on ^in++++=on
towards ^in++++=towards
Two ^cd++++=Two
Bridges ^nns++++=Bridges.
. ^zz++++=EXTRAWORD
' ^zz++++='For
for ^in++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
twenty ^cd++++=twenty
minutes ^nns++++=minutes
nothing ^pn++++=nothing
passed ^vbd+++xvbn+=passed
but ^cc++++=but
a ^at++++=a
tax ^nn++++=tax-cart
- ^zz++++=EXTRAWORD
cart ^np++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
market ^nn++++=market
woman ^nn++++=woman
with ^in++++=with
a ^at++++=a
donkey ^nn++++=donkey;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
while ^cs+sub+++=while
after ^cs+sub+++=after
them ^pp3o+pp3+++=them
a ^at++++=a
very ^ql+amp+++=very
queer ^jj++++=queer-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
figure ^nn++++=figure
hove ^np++++=hove
in ^in++++=in
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
' ^zz++++=''Twas
it ^pp3+it+++0=EXTRAWORD
was ^vbd+bedz+vrb++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
walking ^vwbg+++xvbg+=walking,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
sack ^nn++++=sack
on ^in++++=on
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
hats ^nns++++=hats
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
atop ^rb++++=atop
of ^in++++=of
another ^dt++++=another.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
cut ^nn+++xvbn+=cut
of ^in++++=of
his ^pp$+pp3+++=his
jib ^nn++++=jib,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once
for ^in++++=for
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Plymouth ^np++++=Plymouth
Jews ^nn++++=Jews,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
visited ^xvbn+++xvbn+=visited
Princetown ^np+++??+=Princetown
by ^in++++=by
the ^ati++++=the
dozen ^cd++++=dozen
with ^in++++=with
cast ^nn+++xvbn+=cast-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
clothes ^nns++++=clothes
for ^in++++=for
sale ^nn++++=sale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
silver ^nn++++=silver
change ^nn++++=change
for ^in++++=for
the ^ati++++=the
gold ^nn++++=gold
pieces ^nns++++=pieces
that ^tht+rel+subj++=that
found ^vprf+++xvbn+=found
their ^pp$+pp3+++=their
way ^nn++++=way
sometimes ^rb++++=sometimes
into ^in++++=into
the ^ati++++=the
prison ^nn++++=prison
as ^in++++=as
prize ^nn++++=prize-money.
- ^zz++++=EXTRAWORD
money ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
carried ^vbd+++xvbnx+=carried
away ^rp+pl+++=away
the ^ati++++=the
Bank ^nn++++=Bank
of ^in++++=of
England ^np++++=England
notes ^vb++++=notes
that ^tht+vcmp+obj++=that
the ^ati++++=the
Frenchmen ^np+++??+=Frenchmen
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
clever ^jj++++=clever
at ^in++++=at
forging ^nn++++=forging.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
had ^vb+hv+aux++=had
Jew ^nn++++=Jew
written ^vbd+++xvbn+=written
all ^abn++++=all
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
call ^vb++++=call
to ^in++++=to
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
ever ^rb++splt++=ever
seen ^vprf+++xvbnx+=seen
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
Jew ^nn++++=Jew
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
plain ^nn++++=plain
enough ^qlp++++=enough
in ^in++++=in
a ^at++++=a
minute ^nn++++=minute
that ^tht+rel+obj++=that
the ^ati++++=the
Jew ^nn++++=Jew
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
recognise ^vb+vprv+++=recognise
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
catching ^vbg+++xvbg+=catching
sight ^nn++++=sight
of ^in++++=of
him ^pp3o+pp3+++=him
aloft ^rb++++=aloft
there ^rn+pl+++=there
on ^rp++++=on
the ^ati++++=the
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
first ^rb++++=first
of ^in++++=of
all ^abn++++=all
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
start ^nn++++=start,
, ^zz++++=EXTRAWORD
next ^ap++++=next
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
forward ^rb++++=forward
a ^ap++++=a
few ^ap"++++=few
steps ^nns++++=steps
undecided ^jj++++=undecided-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
last ^rb++++=last
he ^pp3a+pp3+++=he
pulled ^vbd+++xvbnx+=pulled
up ^rp++++=up,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
down ^rp++++=down
his ^pp$+pp3+++=his
bundle ^nn++++=bundle
like ^in++++=like
a ^at++++=a
man ^nn++++=man
tired ^vbd+++xvbn+=tired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
down ^in++++=down
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
to ^in++++=to
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him
very ^ql+amp+++=very
curiously ^rb++++=curiously
for ^in++++=for
half ^nn++++=half
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
" ^zz++++="Good-morning,"
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
morning ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='By
by ^in++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
had ^vbd+hvd+aux++=had
guessed ^vprf+++xvbnx+=guessed
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
passing ^vbg+++xvbgx+=passing
in ^in++++=in
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
own ^ap++++=own
to ^in++++=to
have ^vbi++vrb++=have
a ^rb++++=a
little ^rb"++++=little
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
' ^zz++++='"Good-morning,
" ^zz++++=EXTRAWORD
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
morning ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
stranger ^nn+nom+++=stranger,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
through ^in++++=through
his ^pp$+pp3+++=his
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
mimicking ^jj+++xvbg+=mimicking
so ^ql++++=so
well ^rb++++=well
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
the ^ati++++=the
American ^jj+atrb+++=American
manner ^nn++++=manner
of ^in++++=of
speaking ^xvbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
' ^zz++++='"How
" ^zz++++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
long ^rb++++=long
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
been ^vprf+ben+vrb+xvbn+=been
at ^rb++++=at
work ^nn++++=work
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
the ^ati++++=the
Jew ^nn++++=Jew,
, ^zz++++=EXTRAWORD
still ^rb++++=still
glancing ^vbg+++xvbg+=glancing
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
' ^zz++++='"A
" ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
long ^jj+atrb+++=long
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answers ^nns+nom+++=answers
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
on ^rb+phrv+++=on
a ^at++++=a
scared ^nn++++=scared
look ^vb++++=look,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
halting ^jj+++xvbg+=halting
in ^in++++=in
his ^pp$+pp3+++=his
words ^nns++++=words.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
piece ^nn++++=piece
of ^in++++=of
ground ^nn++++=ground
belongs ^vbz++++=belongs
to ^in++++=to
me" ^nn+++??+=me"--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
true ^jj+pred+++=true
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
sound ^jj++++=sound
likely ^jj++++=likely;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
careless ^jj+atrb+++=careless
man ^nn++++=man
in ^in++++=in
his ^pp$+pp3+++=his
dress ^nn++++=dress
( ^zz++++=(the
the ^ati++++=EXTRAWORD
only ^rb+down+++=only
matter ^nn++++=matter
over ^in++++=over
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
and ^cc++++=and
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
had ^vb+hv+vrb++=had
words ^nns++++=words
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
whip ^nn++++=whip-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
advantage ^nn+nom+++=advantage
to ^to++++=to
wear ^vbi++++=wear
an ^at++++=an
old ^jj+atrb+++=old
piece ^nn++++=piece
of ^in++++=of
sacking ^nn++++=sacking
in ^in++++=in
place ^in"++++=place
of ^in"++++=of
a ^at++++=a
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
' ^zz++++='"Oh,
" ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Jew ^nn++++=Jew,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
dubious ^jj++++=dubious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
guineas ^nns++++=guineas
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
regular ^jj+atrb+++=regular
reward ^nn++++=reward
for ^in++++=for
taking ^xvbg+++xvbg+=taking
an ^at++++=an
escaped ^jj+atrb++xvbn+=escaped
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
' ^zz++++='"It's
" ^zz++++=EXTRAWORD
