Seven ^cd++++=SEVEN
of ^in++++=of
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
second ^od++++=second
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
enlisted ^xvbn+++xvbn+=enlisted
at ^rb++++=at
fifteen ^cd++++=fifteen
and ^cc++++=and
was ^vbd+bedz+aux++=was
killed ^vpsv++agls+xvbnx+=killed
the ^ati++++=the
next ^ap++++=next
year ^nn++++=year.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
ten ^cd++++=ten
years ^nns++++=years
old ^jj++++=old
when ^wrb+who+++=when
the ^ati++++=the
news ^nn++++=news
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death
reached ^vbd+++xvbn+=reached
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
died ^vbd+++xvbn+=died
the ^ati++++=the
following ^jj+atrb++xvbg+=following
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
away ^rb+phrv+++=away
to ^in++++=to
a ^at++++=a
Jesuit ^nn++++=Jesuit
school ^nn++++=school,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
already ^rb++++=already
ill ^jj++++=ill
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
stayed ^j+++xvbn+=stayed
on ^in++++=on
at ^rb++++=at
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
chipping ^nn++++=chipping
away ^rp+pl+++=away
at ^in++++=at
his ^pp$+pp3+++=his
Indian ^jj+atrb+++=Indian
maidens ^nns++++=maidens
and ^cc++++=and
marble ^nn++++=marble
goddesses ^nns+nom+++=goddesses,
, ^zz++++=EXTRAWORD
still ^rb++++=still
gloomily ^rb++++=gloomily
seeking ^vbg+++xvbg+=seeking
the ^ati++++=the
thing ^nn++++=thing
for ^in++++=for
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
himself ^ppl+pp3+++=himself
the ^ati++++=the
most ^ql+emph+++=most
unhappy ^jj++++=unhappy
of ^in++++=of
exiles ^nns+++??+=exiles.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
died ^vbd+++xvbnx+=died
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
fourteen ^cd++++=fourteen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
before ^cs+sub+++=before
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
put ^vpsv++agls+xvbnx+=put
to ^in++++=to
work ^nn++++=work
under ^in++++=under
an ^at++++=an
Italian ^jj+atrb+++=Italian
sculptor ^nn++++=sculptor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
an ^at++++=an
almost ^rb+hdg+++=almost
morbid ^jj+atrb+++=morbid
desire ^nn++++=desire
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
carry ^vb++++=carry
on ^in++++=on
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
under ^in+strn+++=under,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
often ^rb++++=often
pointed ^vbd+++xvbn+=pointed
out ^rp+pl+++=out
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
conditions ^nns+nom+++=conditions
so ^ql++++=so
much ^ap++++=much
more ^rbr++++=more
auspicious ^jj++++=auspicious.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
his ^pp$+pp3+++=his
one ^cd1++++=one
intimate ^jj+atrb+++=intimate
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
an ^at++++=an
American ^jj+atrb+++=American
gentleman ^nn+nom+++=gentleman
in ^in++++=in
the ^ati++++=the
consulate ^nn+nom+++=consulate
at ^in++++=at
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
instructions ^nns+nom+++=instructions
were ^vbd+bed+vrb++=were
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
educated ^vpsv++agls+xvbnx+=educated
there ^rn+pl+++=there
and ^cc++++=and
to ^to++++=to
live ^vbi++++=live
there ^rn+pl+++=there
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-one.
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
Paris ^np++++=Paris
and ^cc++++=and
studied ^vpsv++agls+xvbn+=studied
under ^in++++=under
one ^cd1++++=one
master ^nn++++=master
after ^cs+sub+++=after
another ^dt++++=another
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
thirty ^cd++++=thirty.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
confronted ^vpsv++by+xvbnx+=confronted
by ^in++++=by
a ^at++++=a
duty ^nn++++=duty
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
my ^pp$+pp1+++=my
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
death ^nn++++=death,
, ^zz++++=EXTRAWORD
at ^rb++++=at
an ^at++++=an
advanced ^jj+atrb++xvbn+=advanced
age ^nn++++=age,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
an ^at++++=an
invalid ^nn++++=invalid
maiden ^jjb+atrb+++=maiden
sister ^nn++++=sister
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
quite ^rb++++=quite
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
for ^in++++=for
years ^nns++++=years
from ^in++++=from
a ^at++++=a
cerebral ^jj+atrb+++=cerebral
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
a ^at++++=a
slow ^jj+atrb+++=slow
decay ^nn++++=decay
of ^in++++=of
the ^ati++++=the
faculties ^nns++++=faculties
which ^whp+rel+obj++=which
rendered ^jj+++xvbn+=rendered
her ^pp3o+pp3+++=her
almost ^rb+hdg+++=almost
helpless ^jj++++=helpless.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
America ^np++++=America
and ^cc++++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
bring ^vb++++=bring
her ^pp$+pp3+++=her
back ^rp++++=back
to ^in++++=to
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way
toward ^in++++=toward
what ^wdt+who+++=what
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
father ^nn++++=father
had ^vbd+hvd+aux++=had
wished ^vprf+++xvbnx+=wished
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
arrival ^nn++++=arrival
at ^in++++=at
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
birthplace ^nn++++=birthplace,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
thought ^vpsv++agls+xvbnx+=thought
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
To ^in++++=To
tear ^nn++++=tear
this ^dt+dem+++=this
timid ^jj++++=timid,
, ^zz++++=EXTRAWORD
feeble ^jj++++=feeble,
, ^zz++++=EXTRAWORD
shrinking ^vbg+++xvbg+=shrinking
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
doubly ^rb++++=doubly
aged ^jj++++=aged
by ^in++++=by
years ^nns++++=years
and ^cc++++=and
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
rooted ^vpsv++agls+xvbnx+=rooted
for ^in++++=for
a ^at++++=a
lifetime ^nn++++=lifetime,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
little ^ap++++=little
short ^jj++++=short
of ^in++++=of
brutality ^nn+nom+++=brutality.
. ^zz++++=EXTRAWORD
To ^to++++=To
leave ^vbi++++=leave
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
strangers ^nns+nom+++=strangers
seemed ^vbd+seem++xvbn+=seemed
equally ^rb++++=equally
heartless ^jj++++=heartless.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
clearly ^rb++++=clearly
nothing ^pn++++=nothing
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
to ^to++++=to
remain ^vbi++++=remain
and ^cc++++=and
wait ^nn++++=wait
for ^in++++=for
that ^dt+dem+++=that
slow ^jj+atrb+++=slow
and ^cc+phrs+++=and
painless ^jj+atrb+++=painless
malady ^nn++++=malady
to ^to++++=to
run ^vbi++++=run
its ^pp$+it+++=its
course ^nn++++=course.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
something ^pn++++=something
over ^in++++=over
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
home ^nr++++=home,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
homestead ^nn++++=homestead
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
on ^in++++=on
the ^ati++++=the
high ^jj+atrb+++=high
banks ^nns++++=banks
of ^in++++=of
a ^at++++=a
river ^nn++++=river
in ^in++++=in
Western ^jj+atrb+++=Western
Pennsylvania ^np+++??+=Pennsylvania.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
town ^nn++++=town
twelve ^cd++++=twelve
miles ^nns++++=miles
down ^in++++=down
the ^ati++++=the
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
whither ^jjr++++=whither
my ^pp$+pp1+++=my
great ^jj++++=great-grandfather
- ^zz++++=EXTRAWORD
grandfather ^nn+nom+++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
drive ^vb++++=drive
his ^pp$+pp3+++=his
ox ^nn++++=ox-wagon
- ^zz++++=EXTRAWORD
wagon ^nn++++=EXTRAWORD
on ^in++++=on
market ^nn++++=market
days ^nns++++=days,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become,
, ^zz++++=EXTRAWORD
in ^in++++=in
two ^cd++++=two
generations ^nns+nom+++=generations,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
largest ^jjt+atrb+++=largest
manufacturing ^jj+atrb++xvbg+=manufacturing
cities ^nns++++=cities
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
For ^in++++=For
hundreds ^cds++++=hundreds
of ^in++++=of
miles ^nns++++=miles
about ^rb++++=about
us ^pp1o+pp1+++=us
the ^ati++++=the
gentle ^jj+atrb+++=gentle
hill ^nn++++=hill
slopes ^nns++++=slopes
were ^vbd+bed+vrb++=were
honey ^nn++++=honey-combed
- ^zz++++=EXTRAWORD
combed ^vbd+++xvbn+=EXTRAWORD
with ^in++++=with
gas ^nn++++=gas
wells ^np++++=wells
and ^cc++++=and
coal ^nn++++=coal
shafts ^nns++++=shafts;
; ^zz++++=EXTRAWORD
oil ^nn++++=oil
derricks ^vbz+++??+=derricks
creaked ^vprf+++xvbn+=creaked
in ^in++++=in
every ^at++++=every
valley ^nn++++=valley
and ^cc++++=and
meadow ^nn++++=meadow;
; ^zz++++=EXTRAWORD
the ^ati++++=the
brooks ^nps++++=brooks
were ^vbd+bed+vrb++=were
sluggish ^jj+pred+++=sluggish
and ^cc+phrs+++=and
discolored ^jj+++xvbn+=discolored
with ^in++++=with
crude ^jj+atrb+++=crude
petroleum ^nn++++=petroleum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+aux++=was
impregnated ^vpsv++by+xvbnx+=impregnated
by ^in++++=by
its ^pp$+it+++=its
searching ^jj+atrb++xvbg+=searching
odor ^nn++++=odor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
glass ^nn++++=glass
and ^cc++++=and
iron ^nn++++=iron
manufactories ^nns++++=manufactories
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
up ^rp++++=up
and ^cc+phrs+++=and
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river
almost ^rb+hdg+++=almost
to ^in++++=to
our ^pp$+pp1+++=our
very ^ap+amp+++=very
door ^nn++++=door;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
smoky ^jj+atrb+++=smoky
exhalations ^nns+nom+++=exhalations
brooded ^vbd+++xvbn+=brooded
over ^rp++++=over
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
crashing ^vbg+++xvbg+=crashing
was ^vbd+bedz+vrb++=was
always ^rb++++=always
in ^in++++=in
our ^pp$+pp1+++=our
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
plunged ^vpsv++agls+xvbnx+=plunged
into ^in++++=into
the ^ati++++=the
very ^ap+amp+++=very
incandescence ^nn+nom+++=incandescence
of ^in++++=of
human ^jj+atrb+++=human
energy ^nn++++=energy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
my ^pp$+pp1+++=my
nerves ^nns++++=nerves
tingled ^vbd+++xvbn+=tingled
with ^in++++=with
the ^ati++++=the
feverish ^jj+atrb+++=feverish,
, ^zz++++=EXTRAWORD
passionate ^jj+atrb+++=passionate
endeavor ^nn++++=endeavor
which ^whp+rel+subj++=which
snapped ^vbd+++xvbn+=snapped
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
air ^nn++++=air
about ^rb++++=about
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
these ^dt+dem+++=these
great ^jj+atrb+++=great
arteries ^nns+nom+++=arteries
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
feed ^vbi++++=feed
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
tumultuous ^jj+atrb+++=tumultuous
life ^nn++++=life
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
warm ^jj++++=warm
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
On ^in++++=On
every ^at++++=every
side ^nn++++=side
were ^vbd+bed+vrb++=were
the ^ati++++=the
great ^jj+atrb+++=great
muddy ^jj+atrb+++=muddy
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ragged ^jj+atrb+++=ragged
mountains ^nns++++=mountains
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
timber ^nn++++=timber
was ^vbd+bedz+aux++=was
being ^vbg+beg++xvbg+=being
ruthlessly ^rb++++=ruthlessly
torn ^vpsv++agls+xvbn+=torn
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vast ^jj+atrb+++=vast
tracts ^nns++++=tracts
of ^in++++=of
wild ^jj+atrb+++=wild
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gulches ^nns+++??+=gulches
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
like ^in++++=like
wounds ^nns++++=wounds
in ^in++++=in
the ^ati++++=the
earth ^nn++++=earth;
; ^zz++++=EXTRAWORD
everywhere ^rb++++=everywhere
the ^ati++++=the
glare ^nn++++=glare
of ^in++++=of
that ^dt+dem+++=that
relentless ^jj+atrb+++=relentless
energy ^nn++++=energy
which ^whp+rel+subj++=which
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me
like ^in++++=like
a ^at++++=a
searchlight ^nn++++=searchlight
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
scorch ^vbi++++=scorch
and ^cc+phrs+++=and
consume ^vb++++=consume
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
only ^rb+down+splt++=only
hide ^vb++++=hide
myself ^ppl+pp1+++=myself
in ^in++++=in
the ^ati++++=the
tangled ^vwbn+++xvbn+=tangled
garden ^npl++++=garden,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
dropping ^nn++++=dropping
of ^in++++=of
a ^at++++=a
leaf ^nn++++=leaf
or ^cc++++=or
the ^ati++++=the
whistle ^nn++++=whistle
of ^in++++=of
a ^at++++=a
bird ^nn++++=bird
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
incident ^nn++++=incident.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Hartwell ^np+++??+=Hartwell
homestead ^nn++++=homestead
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sold ^vpsv++agls+xvbnx+=sold
away ^rp+pl+++=away
little ^rb++++=little
by ^in++++=by
little ^jj++++=little,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
all ^abn++++=all
that ^cs+sub+++=that
remained ^vprf+++xvbn+=remained
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
garden ^nn++++=garden
and ^cc++++=and
orchard ^nn++++=orchard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house,
, ^zz++++=EXTRAWORD
a ^at++++=a
square ^jj+atrb+++=square
brick ^nn++++=brick
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
garden ^nn++++=garden
which ^whp+rel+subj++=which
sloped ^vbd+++xvbn+=sloped
toward ^in++++=toward
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
ending ^vbg+++xvbg+=ending
in ^in++++=in
a ^at++++=a
grassy ^jj+atrb+++=grassy
bank ^nn++++=bank
which ^whp+rel+subj++=which
fell ^vbd+++xvbn+=fell
some ^dti++++=some
forty ^cd++++=forty
feet ^nns++++=feet
to ^in++++=to
the ^ati++++=the
water ^nn++++=water's
's ^$++++=EXTRAWORD
edge ^nn++++=edge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
garden ^nn++++=garden
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
little ^ap++++=little
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
tangle ^nn++++=tangle
of ^in++++=of
neglected ^jj+atrb++xvbn+=neglected
shrubbery ^nn+nom+++=shrubbery;
; ^zz++++=EXTRAWORD
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
rank ^nn++++=rank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
that ^dt+dem+++=that
intense ^jj++++=intense
blue ^jj++++=blue-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
peculiar ^jj++++=peculiar
to ^in++++=to
vegetation ^nn+nom+++=vegetation
in ^in++++=in
smoky ^jj+atrb+++=smoky
places ^nns++++=places
where ^wrb+who+++=where
the ^ati++++=the
sun ^nn++++=sun
shines ^vbz++++=shines
but ^cc++++=but
rarely ^rb+cnj+++=rarely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mists ^nns++++=mists
form ^nn++++=form
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
and ^cc++++=and
hang ^nn++++=hang
late ^jj++++=late
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
never ^rb++splt++=never
forget ^vb+vprv+tht0++=forget
it ^pp3+it+++=it
as ^ql++++=as
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
chill ^nn++++=chill
of ^in++++=of
a ^at++++=a
backward ^jj+atrb+++=backward
June ^nr++++=June.
. ^zz++++=EXTRAWORD
The ^ati++++=The
long ^jj++++=long,
, ^zz++++=EXTRAWORD
rank ^nn++++=rank
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick
and ^cc+phrs+++=and
soft ^jj++++=soft
and ^cc+phrs+++=and
falling ^jj+++xvbg+=falling
in ^in++++=in
billows ^nns+++??+=billows,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
always ^rb++++=always
wet ^jj+pred+++=wet
until ^in++++=until
midday ^nn++++=midday.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gravel ^nn++++=gravel
walks ^nns++++=walks
were ^vbd+bed+aux++=were
bordered ^vwbn+++xvbn+=bordered
with ^in++++=with
great ^jj++++=great
lilac ^jj++++=lilac-bushes,
- ^zz++++=EXTRAWORD
bushes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mock ^vb++++=mock-orange,
- ^zz++++=EXTRAWORD
orange ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bridal ^jj++++=bridal-wreath.
- ^zz++++=EXTRAWORD
wreath ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Back ^jjb++++=Back
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
a ^at++++=a
neglected ^jj+++xvbn+=neglected
rose ^np+++xvbn+=rose
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
a ^at++++=a
low ^jj+atrb+++=low
stone ^nn++++=stone
wall ^nn++++=wall
over ^in++++=over
which ^whp+rel+pied++=which
the ^ati++++=the
long ^jj+atrb+++=long
suckers ^nns+nom+++=suckers
trailed ^vbd+++xvbn+=trailed
and ^cc+phrs+++=and
matted ^vbd+++xvbn+=matted.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
wound ^vprf+++xvbnx+=wound
their ^pp$+pp3+++=their
pink ^nn++++=pink,
, ^zz++++=EXTRAWORD
thorny ^jj+atrb+++=thorny
tentacles ^nns++++=tentacles,
, ^zz++++=EXTRAWORD
layer ^nn++++=layer
upon ^in++++=upon
layer ^nn++++=layer,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
lock ^nn++++=lock
and ^cc++++=and
the ^ati++++=the
hinges ^nns++++=hinges
of ^in++++=of
the ^ati++++=the
rusty ^jj+atrb+++=rusty
iron ^nn++++=iron
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
porches ^nns++++=porches
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
very ^ql+amp+++=very
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
damp ^nn++++=damp
and ^cc++++=and
heavy ^jj++++=heavy
with ^in++++=with
growth ^nn++++=growth:
: ^zz++++=EXTRAWORD
wistaria ^nn++++=wistaria,
, ^zz++++=EXTRAWORD
clematis ^nns+++??+=clematis,
, ^zz++++=EXTRAWORD
honeysuckle ^nn++++=honeysuckle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trumpet ^nn++++=trumpet
vine ^nn++++=vine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
garden ^nn++++=garden
was ^vbd+bedz+aux++=was
grown ^vpsv++agls+xvbnx+=grown
up ^rb+phrv+++=up
with ^in+ppvb+++=with
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
that ^cs+sub+++=that
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it
which ^whp+who+++=which
lay ^vbd+++xvbn+=lay
above ^jjb++++=above
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bark ^nn++++=bark
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
locusts ^nns+++??+=locusts
was ^vbd+bedz+vrb++=was
blackened ^jj+pred+++=blackened
by ^in++++=by
the ^ati++++=the
smoke ^nn++++=smoke
that ^tht+rel+subj++=that
crept ^vbd+++xvbn+=crept
continually ^rb++++=continually
up ^rp++++=up
the ^ati++++=the
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
feathery ^jj+atrb+++=feathery
foliage ^nn+nom+++=foliage,
, ^zz++++=EXTRAWORD
so ^ql++++=so
merry ^np++++=merry
in ^in++++=in
its ^pp$+it+++=its
movement ^nn+nom+++=movement
and ^cc++++=and
