Johannes ^np+++??+=Johannes
stepped ^vbd+++xvbn+=stepped
back ^jjb++++=back
when ^wrb+who+++=when
Wagenseil ^np+++??+=Wagenseil
came ^vbd+++xvbn+=came
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mozart ^np++++=Mozart
said ^vbd+vpub++xvbn+=said
very ^ql+amp+++=very
seriously ^rb++++=seriously
to ^in++++=to
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
play ^vb++++=play
a ^at++++=a
concerto ^nn++++=concerto
by ^in++++=by
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
turn ^vb++++=turn
over ^in++++=over
the ^ati++++=the
pages ^nns++++=pages
for ^in++++=for
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
turn ^vb++++=turn
the ^ati++++=the
pages ^nns++++=pages
the ^ati++++=the
great ^jj+atrb+++=great
man ^nn++++=man
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Emperor ^npt++++=Emperor
ordered ^vbd+vsua++xvbn+=ordered
one ^cd1++++=one
hundred ^cd++++=hundred
ducats ^nns+++??+=ducats
to ^to++++=to
be ^vbi+vbi+aux++=be
paid ^vpsv++agls+xvbnx+=paid
to ^in++++=to
Wolfgang ^np++++=Wolfgang's
's ^$++++=EXTRAWORD
father ^nn++++=father
for ^in++++=for
the ^ati++++=the
performance ^nn+nom+++=performance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Empress ^nns+nom+++=Empress,
, ^zz++++=EXTRAWORD
both ^abx++++=both
then ^rn+tm+++=then
and ^cc+phrs+++=and
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
kindness ^nns+nom+++=kindness
itself ^ppl++++=itself
to ^in++++=to
both ^abx++++=both
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vwbn+++xvbn+=sent
them ^pp3o+pp3+++=them
expensive ^jj+atrb+++=expensive
and ^cc+phrs+++=and
beautiful ^jj+atrb+++=beautiful
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
In ^in++++=In
writing ^xvbg+++xvbg+=writing
to ^in++++=to
a ^at++++=a
friend ^nn++++=friend
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
Wolferl ^np++++=Wolferl's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
is ^vbz+bez+vrb++=is
like ^in+strn+++=like?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
finest ^jjt+atrb+++=finest
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
lilac ^jj++++=lilac-coloured,
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
moir ^np++++=moir
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
colour ^nn++++=colour.
. ^zz++++=EXTRAWORD
Coat ^nn++++=Coat
and ^cc++++=and
top ^nn++++=top-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
double ^jj+atrb+++=double
broad ^jj+atrb+++=broad
border ^nn++++=border
of ^in++++=of
gold ^nn++++=gold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
portrait ^nn++++=portrait
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
Mozart ^np++++=Mozart
collection ^nn+nom+++=collection
in ^in++++=in
Salzburg ^np+++??+=Salzburg,
, ^zz++++=EXTRAWORD
Mozart ^np++++=Mozart
is ^vbz+bez+aux++=is
painted ^vpsv++agls+xvbnx+=painted
in ^in++++=in
this ^dt+dem+++=this
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
it ^pp3+it+++=it
with ^in++++=with
as ^ql++++=as
much ^ap++++=much
ease ^nn++++=ease
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
to ^in++++=to
such ^abl++++=such
finery ^nn++++=finery.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
he ^pp3a+pp3+++=he
never ^rb++++=never
showed ^vbd+vprv++xvbn+=showed
any ^dti++++=any
embarrassment ^nn+nom+++=embarrassment
or ^cc++++=or
self ^nn++++=self-consciousness
- ^zz++++=EXTRAWORD
consciousness ^nns+nom+++=EXTRAWORD
when ^wrb+who+++=when
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
royalty ^nn++++=royalty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
jumped ^vbd+++xvbn+=jumped
on ^in++++=on
the ^ati++++=the
lap ^nn++++=lap
of ^in++++=of
the ^ati++++=the
Empress ^nns+nom+++=Empress,
, ^zz++++=EXTRAWORD
Maria ^np++++=Maria
Theresa ^np+++??+=Theresa,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
his ^pp$+pp3+++=his
arms ^nns++++=arms
around ^rp++++=around
her ^pp3o+pp3+++=her
neck ^nn++++=neck
and ^cc++++=and
kissed ^vprf+++xvbn+=kissed
her ^pp$+pp3+++=her
as ^ql++++=as
effusively ^jj++++=effusively
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
treated ^vbd+++xvbnx+=treated
the ^ati++++=the
princesses ^nns+nom++??+=princesses
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
sisters ^nns+nom+++=sisters.
. ^zz++++=EXTRAWORD
Marie ^np++++=Marie
Antoinette ^np+nom+++=Antoinette
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
favourites ^nns++++=favourites
after ^cs+sub+++=after
she ^pp3a+pp3+++=she
helped ^vbd+++xvbnx+=helped
him ^pp3o+pp3+++=him
up ^rp++++=up
from ^in++++=from
a ^at++++=a
severe ^jj+atrb+++=severe
fall ^nn++++=fall
on ^in++++=on
a ^at++++=a
highly ^rb+amp+++=highly
polished ^jj+atrb+++=polished
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
To ^in++++=To
her ^pp$+pp3+++=her
great ^jj+atrb+++=great
amusement ^nn+nom+++=amusement
he ^pp3a+pp3+++=he
thanked ^vbd+++xvbnx+=thanked
her ^pp$+pp3+++=her
by ^in++++=by
saying ^xvbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
marry ^vb++++=marry
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
Crown ^nn++++=Crown
Prince ^nn++++=Prince
Joseph ^np++++=Joseph,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
afterwards ^rb+tm+++=afterwards
became ^vbd+++xvbn+=became
Emperor ^nn++++=Emperor,
, ^zz++++=EXTRAWORD
played ^j+++xvbn+=played
the ^ati++++=the
violin ^nn++++=violin
before ^in++++=before
the ^ati++++=the
little ^ap++++=little
prodigy ^nn+++??+=prodigy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed:
: ^zz++++=EXTRAWORD
" ^zz++++="Fie!"
fie ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
at ^rb++++=at
something ^pn++++=something
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
like ^vb++++=like,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
false ^jj+pred+++=false!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
at ^rb++++=at
another ^dt++++=another
bar ^nn++++=bar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
applauded ^vbd+++xvbn+=applauded,
, ^zz++++=EXTRAWORD
with ^in++++=with
cries ^nns++++=cries
of ^in++++=of
" ^zz++++="Bravo!"
bravo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Little ^ap++++=Little
Nannerl ^np+++??+=Nannerl
who ^whp+rel+subj++=who
played ^vbd+++xvbn+=played
only ^rb+down+++=only
less ^rbr++++=less
well ^rb++++=well
than ^cs+sub+++=than
her ^pp3o+pp3+++=her
remarkable ^jj+atrb+++=remarkable
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
charmingly ^rb++++=charmingly
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
piquant ^nn+nom+++=piquant
little ^ap++++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
society ^nn++++=society
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
concert ^nn++++=concert
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
winning ^vbg+++xvbgx+=winning
and ^cc++++=and
demure ^jj++++=demure,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Wolfgang ^np++++=Wolfgang's
's ^$++++=EXTRAWORD
grace ^nn++++=grace
and ^cc++++=and
elegance ^nn+nom+++=elegance
of ^in++++=of
manner ^nn++++=manner
were ^vbd+bed+aux++=were
striking ^vbg+++xvbgx+=striking.
. ^zz++++=EXTRAWORD
Wherever ^nn+nom+++=Wherever
the ^ati++++=the
children ^nns++++=children
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
people ^nns++++=people
went ^vbd+++xvbn+=went
mad ^jj++++=mad
over ^rp++++=over
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
the ^ati++++=the
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
furore ^nn++++=furore,
, ^zz++++=EXTRAWORD
no ^at++++=no
musical ^jj+atrb+++=musical
entertainment ^nn+nom+++=entertainment
was ^vbd+bedz+vrb++=was
a ^at++++=a
success ^nns+nom+++=success
without ^in++++=without
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
petted ^jj+++xvbn+=petted
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
might ^md+pos+++=might
easily ^rb++++=easily
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
spoiled ^vpsv++agls+xvbnx+=spoiled,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
their ^pp$+pp3+++=their
father ^nn++++=father's
's ^vbz+bez+vrb++0=EXTRAWORD
wise ^jj+atrb+++=wise
and ^cc+phrs+++=and
watchful ^jj+atrb+++=watchful
care ^nn++++=care.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
with ^in++++=with
true ^jj+atrb+++=true
German ^jj+atrb+++=German
caution ^nn+nom+++=caution,
, ^zz++++=EXTRAWORD
the ^ati++++=the
father ^nn++++=father
guarded ^vbd+++xvbn+=guarded
them ^pp3o+pp3+++=them
from ^in++++=from
bad ^jj+atrb+++=bad
effects ^nns++++=effects
of ^in++++=of
over ^in++++=over-excitement
- ^zz++++=EXTRAWORD
excitement ^nn+nom+++=EXTRAWORD
or ^cc++++=or
indulgence ^nn+nom+++=indulgence.
. ^zz++++=EXTRAWORD
All ^abn++++=All
sorts ^nns++++=sorts
of ^in++++=of
presents ^nns++++=presents
were ^vbd+bed+aux++=were
constantly ^rb++splt++=constantly
given ^vpsv++agls+xvbnx+=given
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
among ^in++++=among
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
many ^ap++++=many
jewels ^nns++++=jewels
and ^cc++++=and
beautiful ^jj+atrb+++=beautiful
articles ^nns++++=articles
of ^in++++=of
clothing ^nn++++=clothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
clothes ^nns++++=clothes
were ^vbd+bed+aux++=were
only ^rb+down+splt++=only
used ^vpsv++agls+xvbnx+=used
on ^in++++=on
concert ^nn++++=concert
nights ^nns++++=nights
or ^cc++++=or
special ^jj+atrb+++=special
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
jewellery ^nn+nom+++=jewellery
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
locked ^vbd+++xvbn+=locked
up ^rp++++=up
in ^in++++=in
a ^at++++=a
box ^nn++++=box,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
children ^nns++++=children
were ^vbd+bed+aux++=were
only ^rb+down+splt++=only
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
see ^vb+vprv+++=see
or ^cc+phrs+++=or
handle ^vb++++=handle
it ^pp3+it+++=it
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
especially ^rb++++=especially
good ^jj++++=good.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Paris ^np++++=Paris
was ^vbd+bedz+vrb++=was
the ^ati++++=the
headquarters ^nns+nom+++=headquarters
of ^in++++=of
the ^ati++++=the
travellers ^nns+nom+++=travellers,
, ^zz++++=EXTRAWORD
all ^abn++++=all
possible ^jj+atrb+++=possible
honour ^nn++++=honour
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
concerts ^nns++++=concerts
in ^in++++=in
the ^ati++++=the
French ^jj+atrb+++=French
capital ^nn++++=capital
brought ^vbd+++xvbn+=brought
the ^ati++++=the
Mozarts ^np+++??+=Mozarts
a ^at++++=a
substantial ^jj+atrb+++=substantial
sum ^nn++++=sum
and ^cc++++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
received ^vpsv++agls+xvbnx+=received
very ^ql+amp+++=very
kindly ^rb++++=kindly
in ^in++++=in
a ^at++++=a
visit ^nn++++=visit
to ^in++++=to
the ^ati++++=the
Court ^nn++++=Court
of ^in++++=of
Versailles ^np++++=Versailles;
; ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
visit ^vb++++=visit
little ^ap++++=little
Nannerl ^np+++??+=Nannerl
said ^vbd+vpub++xvbn+=said
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
only ^rb+down+++=only
recollection ^nn+nom+++=recollection
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
Marquise ^np+++??+=Marquise
de ^&fw++++=de
Pompadour ^np++++=Pompadour
standing ^vwbg+++xvbg+=standing
Wolfgang ^np++++=Wolfgang
on ^in++++=on
a ^at++++=a
table ^nn++++=table,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
kiss ^vbi++++=kiss
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
drew ^vbd+++xvbnx+=drew
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
indignantly ^rb++++=indignantly:
: ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
she ^pp3a+pp3+++=she
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
will ^md+prd+++=will
not ^xnot++not++=not
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
kiss ^vb++++=kiss
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
The ^ati++++=The
Empress ^nns+nom+++=Empress
kissed ^vbd+++xvbn+=kissed
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
King ^np++++=King's
's ^$++++=EXTRAWORD
daughters ^nns+nom+++=daughters
were ^vbd+bed+vrb++=were
very ^ap+amp+++=very
kind ^nn++++=kind
to ^in++++=to
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
New ^jj+atrb+++=New
Year ^np++++=Year's
's ^$++++=EXTRAWORD
Day ^nn++++=Day,
, ^zz++++=EXTRAWORD
1764 ^cd+date+++=1764,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mozart ^np++++=Mozart
family ^nn++++=family
dined ^vbd+++xvbn+=dined
with ^in++++=with
the ^ati++++=the
royal ^jj+atrb+++=royal
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Wolfgang ^np++++=Wolfgang
sat ^vbd+++xvbn+=sat
next ^in+cmpx+++=next
to ^in"++++=to
the ^ati++++=the
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
talked ^vbd+++xvbn+=talked
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
German ^nn++++=German,
, ^zz++++=EXTRAWORD
translating ^vbg+++xvbg+=translating
the ^ati++++=the
conversation ^nn+nom+++=conversation
to ^in++++=to
Louis ^np++++=Louis
Fifteenth ^rb+cnj+++=Fifteenth,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
near ^in+pl+++=near
Wolfgang ^np++++=Wolfgang
sat ^vbd+++xvbn+=sat
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nannerl ^np+++??+=Nannerl
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
table ^nn++++=table
by ^in++++=by
the ^ati++++=the
Dauphin ^np+++??+=Dauphin.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
playing ^xvbg+++xvbg+=playing
at ^rb++++=at
Versailles ^np++++=Versailles
the ^ati++++=the
little ^jj+atrb+++=little
musicians ^nns++++=musicians
became ^vbd+++xvbn+=became
the ^ati++++=the
fashion ^nn++++=fashion
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
circle ^nn++++=circle
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Wolfgang ^np++++=Wolfgang's
's ^$++++=EXTRAWORD
reputation ^nn+nom+++=reputation
as ^in++++=as
a ^at++++=a
musical ^jj+atrb+++=musical
genius ^nn++++=genius
was ^vbd+bedz+aux++=was
steadily ^rb++splt++=steadily
growing ^vbg+++xvbgx+=growing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
already ^rb++splt++=already
composed ^vprf+++xvbnx+=composed
two ^cd++++=two
sonatas ^nns++++=sonatas
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
really ^rb+emph+++=really
good ^jj+atrb+++=good
pieces ^nns++++=pieces
of ^in++++=of
work ^nn++++=work
from ^in++++=from
an ^at++++=an
artistic ^jj+atrb+++=artistic
point ^nn++++=point
of ^in++++=of
view ^nn++++=view.
. ^zz++++=EXTRAWORD
Leaving ^vbg+++xvbg+=Leaving
Paris ^np++++=Paris
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mozarts ^np+++??+=Mozarts
arrived ^vbd+++xvbn+=arrived
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
taking ^xvbg+++xvbg+=taking
lodgings ^nns++++=lodgings,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
hastened ^vbd+++xvbnx+=hastened
to ^to++++=to
adopt ^vbi++++=adopt
English ^jj+atrb+++=English
customs ^nns++++=customs.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
wrote ^vbd+vprv++xvbn+=wrote
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
wife ^nn++++=wife
and ^cc++++=and
girl ^nn++++=girl
look ^nn++++=look
in ^in++++=in
English ^jj+atrb+++=English
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
great ^jj+atrb+++=great
Wolfgang ^np++++=Wolfgang
in ^in++++=in
English ^jj+atrb+++=English
clothes ^nns++++=clothes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
immediately ^rb+tm+++=immediately
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
requested ^vpsv++agls+xvbnx+=requested
to ^to+vcmp+++=to
play ^vbi++++=play
at ^in+ppvb+++=at
Buckingham ^np++++=Buckingham
House ^nn++++=House,
, ^zz++++=EXTRAWORD
before ^in++++=before
the ^ati++++=the
King ^nn++++=King
and ^cc++++=and
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
with ^in+ppvb+++=with
exceptional ^jj+atrb+++=exceptional
kindness ^nns+nom+++=kindness
and ^cc++++=and
appreciation ^nn+nom+++=appreciation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
London ^np++++=London
visit ^nn++++=visit
was ^vbd+bedz+vrb++=was
an ^at++++=an
unqualified ^jj+atrb+++=unqualified
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
brilliant ^jj+atrb+++=brilliant
performance ^nn+nom+++=performance
following ^vwbg+++xvbg+=following
another ^dt++++=another
in ^in++++=in
quick ^jj+atrb+++=quick
succession ^nn++++=succession,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
quaint ^jj++++=quaint,
, ^zz++++=EXTRAWORD
charming ^jj+++xvbg+=charming
little ^ap++++=little
music ^nn++++=music-king
- ^zz++++=EXTRAWORD
king ^npt++++=EXTRAWORD
who ^whp+rel+subj++=who
made ^vprf+++xvbn+=made
such ^abl++++=such
an ^at++++=an
imposing ^jj+atrb++xvbg+=imposing
appearance ^nn+nom+++=appearance
on ^in++++=on
the ^ati++++=the
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
really ^rb+emph+++=really
as ^in++++=as
old ^jj++++=old
and ^cc++++=and
grown ^vprf+++xvbn+=grown-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
when ^wrb+who+++=when
playing ^nvbg+++xvbg+=playing
in ^rb++++=in
public ^rb"++++=public.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
in ^in++++=in
lodgings ^nns++++=lodgings
in ^in++++=in
Chelsea ^np++++=Chelsea,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
open ^jj+atrb+++=open
country ^nn++++=country,
, ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
ill ^jj++++=ill
for ^in++++=for
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
children ^nns++++=children
could ^md+pos+++=could
not ^xnot++not++=not
practise ^vb++++=practise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
awhile ^rb++++=awhile
were ^vbd+bed+aux++=were
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
run ^vbi++++=run
wild ^jj++++=wild,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
hard ^jj++++=hard
to ^to+jcmp+++=to
imagine ^vbi+vprv+++=imagine
that ^tht+vcmp+++=that
the ^ati++++=the
bright ^jj++++=bright
little ^ap++++=little
German ^jj+atrb+++=German
girl ^nn++++=girl
and ^cc++++=and
the ^ati++++=the
pretty ^jj+atrb+++=pretty
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
busy ^jj+atrb+++=busy
making ^jj+atrb++xvbg+=making
houses ^nns++++=houses
and ^cc++++=and
grottos ^npls++++=grottos
and ^cc++++=and
arbours ^nns+++??+=arbours
out ^rp+pl+++=out
of ^in++++=of
stones ^nns++++=stones
and ^cc++++=and
earth ^nn++++=earth
and ^cc++++=and
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
rear ^nn++++=rear
of ^in++++=of
their ^pp$+pp3+++=their
lodgings ^nns++++=lodgings,
