Richard ^np++++=Richard
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
all ^rb++++=all
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
of ^in++++=of
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
a ^at++++=a
cat ^nn++++=cat
has ^vbz+hvz+vrb++=has
nine ^cd++++=nine
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
barking ^jj+atrb++xvbg+=barking
dog ^nn++++=dog
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
bite ^nn++++=bite.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
nature ^nn++++=nature
faker ^jjr++++=faker."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
diverted ^vpsv++agls+xvbnx+=diverted.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
hurt ^vbd+++xvbn+=hurt
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
big ^jj++++=big,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj++++=good-natured,
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
helpless ^jj++++=helpless.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
bet ^vbd+vpub++xvbn+=bet
that ^tht+vcmp+++=that
woman ^nn++++=woman
beats ^nns++++=beats
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
them ^pp3o+pp3+++=them
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
tramping ^vbg+++xvbg+=tramping
over ^in++++=over
the ^ati++++=the
clean ^jj+atrb+++=clean
pine ^nn++++=pine
needles ^nps++++=needles,
, ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=eating
nuts ^nns++++=nuts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Buns!"
buns ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vbd+vpub++xvbn+=suggested
Jackson ^np++++=Jackson.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^in++++=to
haunt ^nn++++=haunt
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
to ^to++++=to-morrow,
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
back ^jjb+pred+++=back
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++=of
those ^dt+dem+++=those
poor ^jj+atrb+++=poor
beasts ^nns++++=beasts
capering ^vwbg+++xvbg+=capering
in ^in++++=in
a ^at++++=a
hot ^jj+atrb+++=hot
theatre ^nn++++=theatre,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
open ^jj++++=open
as ^ql++++=as
God ^np++++=God
meant ^vbd+vprv+tht0+xvbn+=meant
they ^pp3a+pp3+++=they----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
" ^zz++++="take
take ^vb++++=EXTRAWORD
them ^pp3o+pp3+++0='em
to ^in++++=to
the ^ati++++=the
open ^nn++++=open.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
turn ^nn++++=turn
them ^pp3o+pp3+++0='em
loose ^jj++++=loose!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
hope ^nn++++=hope
they ^pp3a+pp3+++=they
bite ^vb++++=bite
You ^pp2+pp2+++=YOU!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
Herrick ^np+++??+=Herrick
frowned ^vbd+++xvbn+=frowned
so ^rb++++=so
deeply ^rb++++=deeply
that ^cs+sub+++=that
Kelly ^np+++??+=Kelly
feared ^vbd+vprv+tht0+xvbn+=feared
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
too ^ql++++=too
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
Inwardly ^rb+cnj+++=Inwardly,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reproved ^vbd+++xvbnx+=reproved
himself ^ppl+pp3+++=himself
for ^in++++=for
not ^xnot++not++=not
remembering ^vb+++xvbg+=remembering
that ^tht+vcmp+obj++=that
his ^pp$+pp3+++=his
friend ^nn++++=friend
lacked ^vbd+++xvbn+=lacked
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
humor ^nn++++=humor.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Herrick ^np+++??+=Herrick
undeceived ^vbd+++xvbn+=undeceived
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
right ^jj+pred+++=right!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="To-morrow
tomorrow ^nr+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
buy ^vb++++=buy
those ^dt+dem+++=those
bears ^nns++++=bears,
, ^zz++++=EXTRAWORD
take ^vb++++=take
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turn ^nn++++=turn
them ^pp3o+pp3+++=them
loose ^jj++++=loose!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
objections ^nns+nom+++=objections
his ^pp$+pp3+++=his
friend ^nn++++=friend
could ^md+pos+++=could
offer ^vb++++=offer
could ^md+pos+++=could
divert ^vb++++=divert
him ^pp3o+pp3+++=him
from ^in++++=from
his ^pp$+pp3+++=his
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
urged ^vbd+vsua++xvbnx+=urged
that ^tht+vcmp+++=that
to ^to++++=to
spend ^vbi++++=spend
so ^ql++++=so
much ^ap++++=much
money ^nn++++=money
in ^in++++=in
such ^abl++++=such
a ^at++++=a
manner ^nn++++=manner
was ^vbd+bedz+vrb++=was
criminally ^rb++++=criminally
wasteful ^jj+pred+++=wasteful,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sufficiently ^rb++++=sufficiently
rich ^jj+pred+++=rich
to ^to++++=to
indulge ^vbi++++=indulge
any ^dti++++=any
extravagant ^jj+atrb+++=extravagant
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
in ^in++++=in
polo ^nn++++=polo
ponies ^nns++++=ponies
or ^cc++++=or
bears ^nns++++=bears;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
warned ^vbd+vpub++xvbnx+=warned
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
out ^rp+pl+++=out
the ^ati++++=the
bears ^nns++++=bears
would ^md+prd+++=would
catch ^vb++++=catch
him ^pp3o+pp3+++=him
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eat ^vb++++=eat
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
retorted ^vbd+++xvbnx+=retorted
that ^dt+dem+++=that
the ^ati++++=the
bears ^nns++++=bears
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
educated ^vpsv++agls+xvbnx+=educated
to ^in++++=to
a ^at++++=a
different ^jj+atrb+++=different
diet ^nn++++=diet;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
should ^md+nec+++=should
consider ^nn+nom+++=consider
the ^ati++++=the
peace ^nn++++=peace
of ^in++++=of
mind ^nn++++=mind
of ^in++++=of
his ^pp$+pp3+++=his
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
assured ^vbd+++xvbnx+=assured
them ^pp3o+pp3+++=them
the ^ati++++=the
fence ^nn++++=fence
around ^in++++=around
his ^pp$+pp3+++=his
game ^nn++++=game
preserve ^nn++++=preserve
would ^md+prd+++=would
restrain ^vb++++=restrain
an ^at++++=an
elephant ^nn+nom+++=elephant.
. ^zz++++=EXTRAWORD
" ^zz++++="Besides,"
besides ^rb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
propose ^vb++++=propose
to ^to++++=to
do ^vbi++++=do
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
only ^rb+down+++=only
impracticable ^jj++++=impracticable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
cruelty ^nn++++=cruelty
to ^in++++=to
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
A ^at++++=A
domesticated ^jj+atrb+++=domesticated
animal ^nn++++=animal
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
return ^vb++++=return
to ^in++++=to
a ^at++++=a
state ^nn++++=state
of ^in++++=of
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
live ^vb++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
jeered ^jj+++xvbn+=jeered
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
read ^vb+vprv++xvbn+=read
' ^zz++++='The
the ^ati++++=EXTRAWORD
Call ^nn++++=Call
of ^in++++=of
the ^ati++++=the
Wild ^jj+atrb+++=Wild'?"
'?" ^nn+++??+=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
read ^vb+vprv++xvbn+=read,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
retorted ^vbd+++xvbn+=retorted
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
happened ^vbd+++xvbn+=happened
at ^rb++++=at
the ^ati++++=the
siege ^nn++++=siege
of ^in++++=of
Ladysmith ^np+++??+=Ladysmith
when ^wrb+who+++=when
the ^ati++++=the
oats ^nns++++=oats
ran ^vbd+++xvbn+=ran
low ^jj++++=low
and ^cc++++=and
they ^pp3a+pp3+++=they
drove ^vbd+++xvbnx+=drove
the ^ati++++=the
artillery ^nn+nom+++=artillery
horses ^nns++++=horses
out ^rp+pl+++=out
to ^in++++=to
grass ^nn++++=grass?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
starved ^vprf+++xvbn+=starved,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
feed ^vb++++=feed
your ^pp$+pp2+++=your
bears ^nns++++=bears
on ^in++++=on
milk ^nn++++=milk
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
bottle ^nn++++=bottle
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
starve ^vb++++=starve
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
what ^wdt+who+++=what
will ^md+prd+++=will
happen ^vb+++??+=happen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Jackson ^np++++=Jackson;
; ^zz++++=EXTRAWORD
those ^dt+dem+++=those
bears ^nns++++=bears
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
what ^wdt+who+whcl++=what
a ^at++++=a
pine ^nn++++=pine
forest ^nn++++=forest
smells ^nns++++=smells
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
pity ^nn++++=pity,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
bet ^vbd+vpub++xvbn+=bet
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
could ^md+pos+++=could
ask ^vb++++=ask
them ^pp3o+pp3+++=them
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
rather ^rb++++=rather
sleep ^nn++++=sleep
in ^in++++=in
a ^at++++=a
cave ^nn++++=cave
on ^in++++=on
your ^pp$+pp2+++=your
farm ^nn++++=farm
or ^cc++++=or
be ^vb+be+vrb++=be
headliners ^nns+nom+++=headliners
in ^in++++=in
vaudeville ^np++++=vaudeville,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
' ^zz++++='devoted
devoted ^jj+++xvbn+=EXTRAWORD
to ^in++++=to
their ^pp$+pp3+++=their
art. ^nn+++??+=art.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Why!"
why ^wrb+who+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
" ^zz++++="they're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
from ^rb"++++=from
nature ^nn++++=nature
that ^tht+rel+++=that
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
that ^cs+sub+++=that
colored ^vprf+++xvbn+=colored
boy ^nn++++=boy
to ^in++++=to
comb ^nn++++=comb
and ^cc++++=and
brush ^nn++++=brush
them ^pp3o+pp3+++=them
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
ashamed ^jj+pred+++=ashamed
to ^to+jcmp+++=to
look ^vbi++++=look
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
another ^dt++++=another
thing ^nn++++=thing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Jackson ^np++++=Jackson,
, ^zz++++=EXTRAWORD
" ^zz++++="trained
trained ^xvbn+++xvbn+=EXTRAWORD
animals ^nns+nom+++=animals
love ^vb++++=love
to ^to+vcmp+++=to
' ^zz++++='show
show ^vb+vprv+++=EXTRAWORD
off ^in+strn+++=off.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
bears ^nns++++=bears
Enjoy ^vb++++=ENJOY
doing ^vbg+++xvbg+=doing
those ^dt+dem+++=those
tricks ^nns++++=tricks.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
Enjoy ^vb++++=ENJOY
the ^ati++++=the
applause ^nn++++=applause.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
enjoy ^vb++++=enjoy
dancing ^nvbg+++xvbg+=dancing
to ^in++++=to
the ^ati++++=the
' ^zz++++='Merry
merry ^jj+atrb+++=EXTRAWORD
Widow ^nn++++=Widow
Waltz ^nn++++=Waltz.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
lock ^nn++++=lock
them ^pp3o+pp3+++=them
up ^rp++++=up
in ^in++++=in
your ^pp$+pp2+++=your
jungle ^nn++++=jungle,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
so ^rb+emph+++=so
homesick ^jj++++=homesick
that ^cs+sub+++=that
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
a ^at++++=a
performance ^nn+nom+++=performance
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day
to ^in++++=to
the ^ati++++=the
squirrels ^nns++++=squirrels
and ^cc++++=and
woodpeckers ^nns+nom+++=woodpeckers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
hard ^jj++++=hard
to ^to+jcmp+++=to
unlearn ^vbi++++=unlearn
a ^at++++=a
thing ^nn++++=thing
as ^in++++=as
to ^in"++++=to
learn ^vb+vprv+tht0++=learn
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kelly ^np+++??+=Kelly
sententiously ^jj++++=sententiously.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
wear ^vbi++++=wear
shoes ^nns++++=shoes
enjoy ^vb++++=enjoy
going ^vbg+++xvbg+=going
around ^in++++=around
in ^in++++=in
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Rot!"
rot ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Didn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
New ^jj+atrb+++=New
York ^np++++=York?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
it ^pp3+it+++=it
so ^ql++++=so
I ^pp1a+pp1+++=I
never ^rb++++=never
went ^vbd+++xvbn+=went
to ^in++++=to
bed ^nn++++=bed
for ^in++++=for
fear ^nn++++=fear
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
miss ^npt++++=miss
something ^pn++++=something.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
' ^zz++++='Back
back ^jjb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Land ^nn++++=Land,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
take ^vb++++=take
me ^pp1o+pp1+++=me
long ^vb++++=long
to ^to+vcmp+++=to
fall ^vbi++++=fall
in ^in++++=in
love ^nn++++=love
with ^in++++=with
the ^ati++++=the
forests ^nns++++=forests
and ^cc++++=and
the ^ati++++=the
green ^jj+atrb+++=green
fields ^nns++++=fields?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
go ^vb++++=go
to ^in++++=to
bed ^nn++++=bed
now ^rn+tm+++=now
the ^ati++++=the
same ^ap++++=same
day ^nn++++=day
I ^pp1a+pp1+++=I
get ^vb++++=get
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
passed ^vprf+++xvbnx+=passed
on ^rb+phrv+++=on
my ^pp$+pp1+++=my
high ^jj+atrb+++=high
hat ^nn++++=hat
and ^cc++++=and
frock ^nn++++=frock
coat ^nn++++=coat
to ^in++++=to
a ^at++++=a
scarecrow ^nn+++??+=scarecrow.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
bet ^vb+vpub+tht0+xvbn+=bet
you ^pp2+pp2+++=you
when ^wrb+who+++=when
those ^dt+dem+++=those
bears ^nns++++=bears
once ^rb+tm+++=once
scent ^nn++++=scent
the ^ati++++=the
wild ^jj+atrb+++=wild
woods ^nns++++=woods
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
stampede ^vb+++??+=stampede
for ^in++++=for
them ^pp3o+pp3+++=them
like ^in++++=like
Croker ^np+++??+=Croker
going ^vwbg+++xvbg+=going
to ^in++++=to
a ^at++++=a
third ^od++++=third
alarm ^vb++++=alarm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeat ^nn++++=repeat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
nature ^nn++++=nature
faker ^jjr++++=faker.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
leave ^vb++++=leave
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
bears ^nns++++=bears
to ^to++++=to
prove ^vbi+vprv+tht0++=prove
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
our ^pp$+pp1+++=our
best ^jjt++++=best,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sighed ^vbd+++xvbn+=sighed
Jackson ^np++++=Jackson.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
save ^vbi++++=save
him ^pp3o+pp3+++=him
money ^nn++++=money
and ^cc++++=and
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
all ^rb++++=all
he ^pp3a+pp3+++=he
can ^md+pos+++=can
do ^vb+do+vrb++=do
for ^in++++=for
us ^pp1o+pp1+++=us
in ^in++++=in
return ^nn++++=return
is ^vbz+bez+aux++=is
to ^to++++=to
give ^vbi++++=give
us ^pp1o+pp1+++=us
seats ^nns++++=seats
for ^in++++=for
the ^ati++++=the
opening ^jj+atrb++xvbg+=opening
performance ^nn+nom+++=performance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
bears ^nns++++=bears
cost ^nn++++=cost
Herrick ^np+++??+=Herrick
he ^pp3a+pp3+++=he
never ^rb++++=never
told ^vbd+vpub++xvbn+=told.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
