Tim ^np++++=TIM
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
and ^cc++++=and
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
went ^vbd+++xvbn+=went
together ^nn+nom+++=together
to ^to++++=to
hear ^vbi+vprv+++=hear
" ^zz++++="Faust"
faust ^np++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sung ^vprf+++xvbn+=sung,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returning ^jj+++xvbg+=returning
to ^in++++=to
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
write ^vbi++++=write
his ^pp$+pp3+++=his
criticism ^nn+nom+++=criticism.
. ^zz++++=EXTRAWORD
Except ^in++++=Except
for ^in"++++=for
the ^ati++++=the
distant ^jj+atrb+++=distant
clatter ^nn++++=clatter
of ^in++++=of
telegraph ^nn++++=telegraph
instruments ^nns+nom+++=instruments,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
peremptory ^jj+atrb+++=peremptory
cries ^nns++++=cries
of ^in++++=of
" ^zz++++="copy"
copy ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
from ^in++++=from
an ^at++++=an
upper ^jjb+atrb+++=upper
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
office ^nn++++=office
was ^vbd+bedz+vrb++=was
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson
wrote ^vbd+vprv++xvbn+=wrote
and ^cc+phrs+++=and
smoked ^vbd+++xvbn+=smoked
his ^pp$+pp3+++=his
interminable ^jj+atrb+++=interminable
cigarettes ^nns+nom+++=cigarettes;
; ^zz++++=EXTRAWORD
Of ^in++++0=O'
Connor ^np++++=Connor
rested ^vbd+++xvbn+=rested
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
the ^ati++++=the
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vpsv++agls+xvbn+=sat
in ^in++++=in
perfect ^nn++++=perfect
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
Dodson ^np+++??+=Dodson
finished ^vbd+++xvbn+=finished,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
arising ^vbg+++xvbg+=arising,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
absent ^jj++++=absent-mindedly
- ^zz++++=EXTRAWORD
mindedly ^jj++++=EXTRAWORD
extinguishing ^jj+++xvbg+=extinguishing
the ^ati++++=the
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
with ^in++++=with
his ^pp$+pp3+++=his
copy ^nn++++=copy
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson
gathered ^vbd+++xvbn+=gathered
up ^rp++++=up
the ^ati++++=the
hats ^nns++++=hats
and ^cc++++=and
coats ^nns++++=coats
as ^ql++++=as
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
them ^pp3o+pp3+++=them
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
lay ^vbd+++xvbnx+=lay
on ^rb+phrv+++=on
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vbd+++xvbn+=called:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
Tim ^np++++=Tim.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
let ^vb++++0=let's
us ^pp1o+pp1+++=EXTRAWORD
get ^vb++++=get
out ^rb+phrv+++=out
of ^in++++=of
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
Tim ^np++++=Tim
was ^vbd+bedz+aux++=was
following ^vbg+++xvbgx+=following,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
handed ^vprf+++xvbnx+=handed
his ^pp$+pp3+++=his
criticism ^nn+nom+++=criticism
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
alone ^jj+pred+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
the ^ati++++=the
room ^nn++++=room
for ^in++++=for
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
advanced ^vbd+++xvbnx+=advanced
no ^at++++=no
further ^nn++++=further
than ^in++++=than
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
dusky ^nn+++??+=dusky
corridor ^nn++++=corridor
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
within ^in++++=within
the ^ati++++=the
darkened ^jj+atrb++xvbn+=darkened
room ^nn++++=room,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
before ^in++++=before
his ^pp$+pp3+++=his
friend ^nn++++=friend
a ^at++++=a
Shape ^nn++++=Shape,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
of ^in++++=of
perfect ^jj+atrb+++=perfect
loveliness ^nns+nom+++=loveliness,
, ^zz++++=EXTRAWORD
divinely ^rb++++=divinely
delicate ^jj++++=delicate
and ^cc+phrs+++=and
pure ^jj++++=pure
and ^cc+phrs+++=and
ethereal ^jj++++=ethereal,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
as ^ql++++=as
the ^ati++++=the
embodiment ^nn+nom+++=embodiment
of ^in++++=of
all ^abn++++=all
goodness ^nns+nom+++=goodness.
. ^zz++++=EXTRAWORD
From ^in++++=From
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
a ^at++++=a
soft ^jj+atrb+++=soft
radiance ^nn+nom+++=radiance
and ^cc++++=and
a ^at++++=a
perfume ^nn++++=perfume
softer ^jjr++++=softer
than ^in++++=than
the ^ati++++=the
wind ^nn++++=wind
when ^wrb+who+++=when
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
breathes ^vbz+++??+=breathes
upon ^in++++=upon
a ^at++++=a
bank ^nn++++=bank
of ^in++++=of
violets ^nns+nom+++=violets
stealing ^vwbg+++xvbg+=stealing
and ^cc++++=and
giving ^vwbg+++xvbg+=giving
odor ^nn++++=odor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Staring ^vbg+++xvbg+=Staring
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
with ^in++++=with
eyes ^nns++++=eyes
immovable ^jj++++=immovable,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
strange ^jj+pred+++=strange
that ^tht+jcmp+++=that
at ^rb++++=at
sight ^nn++++=sight
of ^in++++=of
a ^at++++=a
thing ^nn++++=thing
so ^ql+emph+++=so
unspeakably ^jj++++=unspeakably
fair ^jj++++=fair,
, ^zz++++=EXTRAWORD
a ^at++++=a
coldness ^nns+nom+++=coldness
like ^in++++=like
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
jewel ^nn++++=jewel-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
lips ^nns++++=lips
of ^in++++=of
a ^at++++=a
Muir ^np+++??+=Muir
crevasse ^nn+++??+=crevasse
should ^md+nec+++=should
have ^vb+hv+aux++=have
fallen ^vprf+++xvbn+=fallen
upon ^in++++=upon
Dodson ^np+++??+=Dodson,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
by ^in++++=by
summoning ^xvbg+++xvbg+=summoning
all ^abn++++=all
the ^ati++++=the
manhood ^nn+nom+++=manhood
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
restore ^vb++++=restore
light ^jj++++=light
to ^in++++=to
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
rush ^nn++++=rush
to ^in++++=to
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
poor ^jj+atrb+++=poor
Tim ^np++++=Tim
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
stone ^nn++++=stone-still
- ^zz++++=EXTRAWORD
still ^rb++++=EXTRAWORD
with ^in++++=with
paralysis ^nn++++=paralysis.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
home ^nr++++=home
to ^in++++=to
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
nursed ^vbd+++xvbn+=nursed
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++=of
that ^cs+sub+++=that
attack ^nn++++=attack
- ^zz++++=-and
and ^cc++++=EXTRAWORD
later ^rbr+tm+++=later
on ^in++++=on
worried ^jj+++xvbn+=worried
him ^pp3o+pp3+++=him
into ^in++++=into
another ^dt++++=another.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
sit ^vb++++=sit
up ^rp++++=up
and ^cc++++=and
jeer ^nn++++=jeer
at ^in++++=at
things ^nns++++=things
a ^rb++++=a
little ^rb"++++=little
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
help ^nn++++=help
himself ^ppl+pp3+++=himself
to ^in++++=to
the ^ati++++=the
quail ^nns++++=quail
the ^ati++++=the
woman ^nn++++=woman
broiled ^vbd+++xvbn+=broiled
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
call ^vb++++=call
that ^dt+dem+++=that
little ^ap++++=little
exhibition ^nn+nom+++=exhibition
of ^in++++=of
yours ^pp$$++++=yours
legerdemain ^nn+++??+=legerdemain,
, ^zz++++=EXTRAWORD
Tim ^np++++=Tim,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
sweep ^vb++++=sweep?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
really ^rb+emph+++=really
the ^ati++++=the
Devil ^np++++=Devil's
's ^$++++=EXTRAWORD
bairn ^jj+++xvbn+=bairn?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Shape ^nn++++=Shape
of ^in++++=of
Fear ^nn++++=Fear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tim ^np++++=Tim,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
seriously ^rb++++=seriously.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
mild ^jj++++=mild
as ^ql++++=as
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
milk ^nn++++=milk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
compounded ^vpsv++agls+xvbnx+=compounded
of ^in++++=of
the ^ati++++=the
good ^jj++++=good
I ^pp1a+pp1+++=I
might ^md+pos+++=might
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
fear ^vb++++=fear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
explain ^vb+vpub+++=explain
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
- ^zz++++=-many
many ^ap++++=EXTRAWORD
months ^nns++++=months
later ^rbr+tm+++=later
- ^zz++++=-he
he ^pp3a+pp3+++=EXTRAWORD
died ^vbd+++xvbnx+=died
patiently ^rb++++=patiently
and ^cc+phrs+++=and
sweetly ^rb++++=sweetly
in ^in++++=in
the ^ati++++=the
madhouse ^nn+++??+=madhouse,
, ^zz++++=EXTRAWORD
praying ^jj+++xvbg+=praying
for ^in++++=for
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
beast ^nn++++=beast
with ^in++++=with
the ^ati++++=the
yellow ^jj+atrb+++=yellow
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
high ^jj+atrb+++=high
mass ^nn++++=mass
celebrated ^vbd+++xvbn+=celebrated
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
all ^abn++++=all
things ^nns++++=things
considered ^vwbn+vprv++xvbn+=considered,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
as ^in++++=as
pathetic ^jj++++=pathetic
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
amusing ^jj+pred+++=amusing.
. ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson
was ^vbd+bedz+vrb++=was
in ^in++++=in
Vienna ^np++++=Vienna
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Sa,
sa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
sa ^nn+++??+=sa!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
so ^ql+emph+++=so
dark ^jj++++=dark
in ^in++++=in
the ^ati++++=the
tomb ^nn++++=tomb!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+tht0++=suppose
Tim ^np++++=Tim
is ^vbz+bez+aux++=is
looking ^vbg+++xvbgx+=looking
at ^rb++++=at?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
Jim ^np++++=Jim
O ^zz++++=O'Malley,
'malley, ^nn++be+??+0=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
with ^in++++=with
difficulty ^nn++++=difficulty
kept ^vbd+++xvbn+=kept
from ^in++++=from
illuminating ^jj++++=illuminating
the ^ati++++=the
grave ^nn++++=grave
with ^in++++=with
electricity ^nn+nom+++=electricity.
. ^zz++++=EXTRAWORD
