[ ^zz++++=[The
could ^md+pos+++=could
have ^vb+hv+aux++=have
slept ^vprf+++xvbnx+=slept
on ^in++++=on
till ^cs+sub+++=till
midday ^nn++++=midday,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
comrade ^nn++++=comrade
had ^vb+hv+aux++=had
not ^xnot++not++=not
roused ^vbd+++xvbn+=roused
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
jumped ^vbd+++xvbnx+=jumped
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
dressed ^vpsv++agls+xvbnx+=dressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
busy ^jj++++=busy
doing ^jj+++xvbg+=doing
something ^pn++++=something
to ^in++++=to
his ^pp$+pp3+++=his
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
' ^zz++++='Where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Damian ^np+++??+=Damian?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='In
in ^in++++=EXTRAWORD
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
been ^vprf+ben+vrb+xvbnx+=been
over ^in++++=over
the ^ati++++=the
tracks ^nns++++=tracks
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
been ^vprf+ben+vrb+xvbn+=been
back ^jjb++++=back
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
the ^ati++++=the
beaters ^nns+nom+++=beaters.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
washed ^vbd+++xvbnx+=washed
and ^cc+phrs+++=and
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
loaded ^vbd+++xvbn+=loaded
my ^pp$+pp1+++=my
guns ^nns++++=guns;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
a ^at++++=a
sledge ^nn+++??+=sledge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sharp ^jj+atrb+++=sharp
frost ^np++++=frost
still ^rb+atrb+++=still
continued ^jj+++xvbn+=continued.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sun ^nn++++=sun
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
thick ^jj+atrb+++=thick
mist ^nn++++=mist
above ^rb++++=above
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hoar ^nn+++??+=hoar-frost
- ^zz++++=EXTRAWORD
frost ^np++++=EXTRAWORD
still ^rb++++=still
covered ^vwbn+++xvbn+=covered
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
After ^in++++=After
driving ^xvbg+++xvbg+=driving
about ^in++++=about
two ^cd++++=two
miles ^nns++++=miles
along ^in++++=along
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
near ^in+pl+++=near
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
smoke ^nn++++=smoke
rising ^vwbg+++xvbg+=rising
from ^in++++=from
a ^at++++=a
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
reached ^vbd+++xvbn+=reached
a ^at++++=a
group ^nn++++=group
of ^in++++=of
peasants ^nns+nom+++=peasants,
, ^zz++++=EXTRAWORD
both ^abx++++=both
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
armed ^j+++xvbn+=armed
with ^in++++=with
cudgels ^nns+++??+=cudgels.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
out ^rb+phrv+++=out
and ^cc++++=and
went ^vbd+++xvbn+=went
up ^in+cmpx+++=up
to ^in"++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
sat ^vbd+++xvbn+=sat
roasting ^nn++++=roasting
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laughing ^nvbg+++xvbg+=laughing
and ^cc++++=and
talking ^nvbg+++xvbg+=talking
with ^in++++=with
the ^ati++++=the
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
too ^ql++++=too;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
arrived ^vbd+++xvbn+=arrived
the ^ati++++=the
people ^nns++++=people
got ^vbd+++xvbn+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Damian ^np+++??+=Damian
led ^vbd+++xvbn+=led
them ^pp3o+pp3+++=them
away ^rp+pl+++=away
to ^to++++=to
place ^vbi++++=place
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
circle ^nn++++=circle
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
along ^in++++=along
in ^in++++=in
single ^jj+atrb+++=single
file ^nn++++=file,
, ^zz++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty
in ^in++++=in
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
deep ^jj++++=deep
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
only ^rb+down+splt++=only
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
from ^in++++=from
their ^pp$+pp3+++=their
waists ^nn++++=waists
upwards ^rb++++=upwards.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
turned ^vbd+++xvbnx+=turned
into ^in++++=into
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
friend ^nn++++=friend
and ^cc++++=and
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
in ^in++++=in
their ^pp$+pp3+++=their
track ^nn++++=track.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
trodden ^vprf+++xvbn+=trodden
a ^at++++=a
path ^nn++++=path,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
fall ^vbi++++=fall:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
walking ^nn++++=walking
between ^in++++=between
two ^cd++++=two
walls ^nns++++=walls
of ^in++++=of
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
on ^in++++=on
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way
for ^in++++=for
nearly ^rb+down+++=nearly
half ^rb++++=half
a ^at++++=a
mile ^nn++++=mile,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
Damian ^np+++??+=Damian
coming ^vwbg+++xvbg+=coming
from ^in++++=from
another ^dt++++=another
direction ^nn+nom+++=direction
- ^zz++++=-running
running ^jj+++xvbg+=EXTRAWORD
towards ^in++++=towards
us ^pp1o+pp1+++=us
on ^in++++=on
his ^pp$+pp3+++=his
snowshoes ^nns+++??+=snowshoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beckoning ^jj+++xvbg+=beckoning
us ^pp1o+pp1+++=us
to ^to++++=to
join ^vbi++++=join
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
towards ^in++++=towards
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
us ^pp1o+pp1+++=us
where ^wrb+who+++=where
to ^to++++=to
stand ^vbi++++=stand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
round ^rb++++=round
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
To ^in++++=To
my ^pp$+pp1+++=my
left ^nn+++xvbn+=left
were ^vbd+bed+vrb++=were
tall ^jj+atrb+++=tall
fir ^nn++++=fir
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
trunks ^nns++++=trunks
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
a ^at++++=a
good ^jj+atrb+++=good
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
black ^jj+atrb+++=black
patch ^nn++++=patch
just ^rb+emph+++=just
visible ^jj++++=visible
behind ^in+pl+++=behind
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
a ^at++++=a
beater ^nn++++=beater.
. ^zz++++=EXTRAWORD
In ^in++++=In
front ^in"++++=front
of ^in"++++=of
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
a ^at++++=a
thicket ^nn++++=thicket
of ^in++++=of
young ^jj+atrb+++=young
firs ^nns+++??+=firs,
, ^zz++++=EXTRAWORD
about ^in++++=about
as ^ql++++=as
high ^jj++++=high
as ^ql++++=as
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
branches ^nns++++=branches
weighed ^vbd+++xvbn+=weighed
down ^rp++++=down
and ^cc++++=and
stuck ^vbd+++xvbn+=stuck
together ^nn+nom+++=together
with ^in++++=with
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
this ^dt+dem+++=this
copse ^nn+++??+=copse
ran ^vbd+++xvbn+=ran
a ^at++++=a
path ^nn++++=path
thickly ^rb++++=thickly
covered ^vwbn+++xvbn+=covered
with ^in++++=with
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leading ^jj+++xvbg+=leading
straight ^jj++++=straight
up ^rp++++=up
to ^to++++=to
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thicket ^nn++++=thicket
stretched ^vwbn+++xvbn+=stretched
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ended ^vpsv++agls+xvbn+=ended
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
glade ^nn++++=glade,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
Damian ^np+++??+=Damian
placing ^vwbg+++xvbg+=placing
my ^pp$+pp1+++=my
comrade ^nn++++=comrade.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
examined ^vbd+++xvbnx+=examined
both ^abx++++=both
my ^pp$+pp1+++=my
guns ^nns++++=guns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
considered ^vbd+vprv++xvbn+=considered
where ^wrb+who+whcl++=where
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
better ^jjr+atrb+++=better
stand ^nn++++=stand.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
steps ^nns++++=steps
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall
fir ^nn++++=fir.
. ^zz++++=EXTRAWORD
' ^zz++++='That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
stand ^vb++++=stand,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
can ^md+pos+++=can
lean ^vb++++=lean
my ^pp$+pp1+++=my
second ^od++++=second
gun ^nn++++=gun
against ^in++++=against
the ^ati++++=the
tree ^nn++++=tree';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
moved ^vbd+++xvbnx+=moved
towards ^in++++=towards
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
sinking ^vbg+++xvbg+=sinking
up ^in+cmpx+++=up
to ^in"++++=to
my ^pp$+pp1+++=my
knees ^nns++++=knees
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow
at ^rb++++=at
each ^dt++++=each
step ^vb++++=step.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trod ^vbd+++xvbnx+=trod
the ^ati++++=the
snow ^nn++++=snow
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
clearance ^nn+nom+++=clearance
about ^in++++=about
a ^at++++=a
yard ^nn++++=yard
square ^nn++++=square,
, ^zz++++=EXTRAWORD
to ^to++++=to
stand ^vbi++++=stand
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
gun ^nn++++=gun
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
in ^rb+phrv+++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
cocked ^jj+++xvbn+=cocked,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
placed ^vbd+++xvbnx+=placed
leaning ^vbg+++xvbg+=leaning
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
unsheathed ^vbd+++xvbnx+=unsheathed
and ^cc+phrs+++=and
replaced ^vbd+++xvbn+=replaced
my ^pp$+pp1+++=my
dagger ^nn++++=dagger,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
draw ^vb++++=draw
it ^pp3+it+++=it
easily ^rb++++=easily
in ^in++++=in
case ^in"++++=case
of ^in"++++=of
need ^nn++++=need.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^ql++++=as
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
these ^dt+dem+++=these
preparations ^nns+nom+++=preparations,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
Damian ^np+++??+=Damian
shouting ^vwbg+++xvbg+=shouting
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest:
: ^zz++++=EXTRAWORD
' ^zz++++='He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
up ^rp++++=up!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
up ^rp++++=up!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
Damian ^np+++??+=Damian
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
peasants ^nns+nom+++=peasants
round ^in++++=round
the ^ati++++=the
circle ^nn++++=circle
all ^rb++++=all
replied ^vbd+vpub++xvbn+=replied
in ^in++++=in
their ^pp$+pp3+++=their
different ^jj+atrb+++=different
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
' ^zz++++='Up,
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
up ^rp++++=up!
! ^zz++++=EXTRAWORD
Ou ^&fw++++=Ou!
! ^zz++++=EXTRAWORD
Ou ^&fw++++=Ou!
! ^zz++++=EXTRAWORD
Ou ^&fw++++=Ou!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
' ^zz++++='Ay!
ay ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Ay ^uh++++=Ay!
! ^zz++++=EXTRAWORD
Ay ^uh++++=Ay!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
screamed ^vbd+++xvbn+=screamed
the ^ati++++=the
women ^nns++++=women
in ^in++++=in
high ^nn++++=high.
. ^zz++++=EXTRAWORD
pitched ^jj+atrb++xvbn+=pitched
tones ^nns++++=tones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
was ^vbd+bedz+vrb++=was
inside ^jjb+pred+++=inside
the ^ati++++=the
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
Damian ^np+++??+=Damian
drove ^vbd+++xvbn+=drove
him ^pp3o+pp3+++=him
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nns++++=people
all ^abn++++=all
round ^in++++=round
kept ^nn++++=kept
shouting ^vwbg+vpub++xvbg+=shouting.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
my ^pp$+pp1+++=my
friend ^nn++++=friend
and ^cc++++=and
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
silent ^jj++++=silent
and ^cc+phrs+++=and
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
bear ^vb++++=bear
to ^to+vcmp+++=to
come ^vbi++++=come
towards ^in++++=towards
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
gazing ^vbg+++xvbg+=gazing
and ^cc+phrs+++=and
listening ^vbg+++xvbg+=listening,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trembled ^vbd+++xvbnx+=trembled,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv+tht0+xvbg+=holding
my ^pp$+pp1+++=my
gun ^nn++++=gun
fast ^rb++++=fast.
. ^zz++++=EXTRAWORD
' ^zz++++='Now
now ^rn+tm+++=EXTRAWORD
now ^rn+tm+++=now,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
come ^vb++++=come
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
aim ^vb++++=aim,
, ^zz++++=EXTRAWORD
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
drop ^vb++++=drop
' ^zz++++='
Suddenly ^rb+cnj+++=Suddenly,
, ^zz++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
something ^pn++++=something
falling ^nvbg+++xvbg+=falling
on ^in++++=on
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
between ^in++++=between
the ^ati++++=the
tall ^jj+atrb+++=tall
fir ^nn++++=fir
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
some ^dti++++=some
fifty ^cd++++=fifty
paces ^nns++++=paces
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
the ^ati++++=the
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
something ^pn++++=something
big ^jj++++=big
and ^cc++++=and
black ^nn++++=black.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
aim ^nn++++=aim
and ^cc++++=and
waited ^vbd+++xvbn+=waited,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking:
: ^zz++++=EXTRAWORD
' ^zz++++='Won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
come ^vb++++=come
any ^dti++++=any
nearer ^rbr++++=nearer?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
him ^pp3o+pp3+++=him
move ^vb++++=move
his ^pp$+pp3+++=his
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
him ^pp3o+pp3+++=him
in ^in++++=in
profile ^nn++++=profile.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
immense ^jj++++=immense
brute ^jjb++++=brute.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fired ^vbd+++xvbnx+=fired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbd+vprv+tht0+xvbn+=heard
my ^pp$+pp1+++=my
bullet ^nn++++=bullet
go ^vb++++=go
' ^zz++++='flop'
flop ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
against ^in++++=against
a ^at++++=a
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Peering ^vbg+++xvbg+=Peering
through ^in++++=through
the ^ati++++=the
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
my ^pp$+pp1+++=my
bear ^vb+vprv+++=bear
scampering ^jj+++xvbg+=scampering
back ^jjb++++=back
into ^in++++=into
the ^ati++++=the
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappearing ^jj+++xvbg+=disappearing
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,'
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
chance ^nn++++=chance
is ^vbz+bez+aux++=is
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Either ^dtx++++=Either
my ^pp$+pp1+++=my
comrade ^nn++++=comrade
will ^md+prd+++=will
shoot ^vb++++=shoot
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
will ^md+prd+++=will
escape ^vb++++=escape
through ^in++++=through
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
beaters ^nns+nom+++=beaters.
. ^zz++++=EXTRAWORD
In ^in++++=In
any ^dti++++=any
case ^nn++++=case
he ^pp3a+pp3+++=he
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
another ^dt++++=another
chance ^nn++++=chance.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reloaded ^vbd+++xvbnx+=reloaded
my ^pp$+pp1+++=my
gun ^nn++++=gun,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
