No ^at++++=No
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
twelve ^cd++++=twelve
years ^nns++++=years
older ^jjr++++=older
and ^cc++++=and
have ^vb+hv+vrb++=have
that ^dt+dem+++=that
much ^ap++++=much
less ^rbr++++=less
time ^nn++++=time
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
complete ^vbi++++=complete
the ^ati++++=the
joy ^nn++++=joy
of ^in++++=of
making ^xvbg+++xvbg+=making
good ^jj++++=good
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
American ^jj+atrb+++=American
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
infirmities ^nns+nom+++=infirmities
of ^in++++=of
age ^nn++++=age
will ^md+prd+++=will
begin ^vb++++=begin
to ^to++++=to
gnaw ^vbi++++=gnaw
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moths ^nns++++=moths
will ^md+prd+++=will
ruin ^vb++++=ruin
my ^pp$+pp1+++=my
flossy ^jj+atrb+++=flossy
collection ^nn+nom+++=collection
of ^in++++=of
goat ^nn++++=goat-feathers,
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
now ^rn+tm+++=now
pat ^np++++=pat
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
back ^jjb++++=back
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
can ^md+pos+++=can
make ^vb++++=make
use ^nn++++=use
of ^in++++=of
me ^pp1o+pp1+++=me
free ^jj++++=free
of ^in++++=of
charge ^nn++++=charge
will ^md+prd+++=will
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
alive ^jj+pred+++=alive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
executors ^nns++++=executors
will ^md+prd+++=will
shake ^vb++++=shake
their ^pp$+pp3+++=their
heads ^nns++++=heads
and ^cc++++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
too ^rb++++=too
bad ^jj++++=bad
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
so ^pn++++=so
little ^ap++++=little!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Distraction ^nn+nom+++=Distraction
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
good ^jj++++=good
for ^in++++=for
a ^at++++=a
man ^nn++++=man
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
to ^to+vcmp+++=to
reach ^vbi++++=reach
a ^at++++=a
goal ^nn++++=goal.
. ^zz++++=EXTRAWORD
No ^at++++=No
salesman ^nn+nom+++=salesman
ever ^rb++++=ever
got ^vbd+++xvbn+=got
very ^ql+amp+++=very
far ^rb+pl+++=far
by ^in++++=by
carrying ^xvbg+++xvbg+=carrying
too ^ql++++=too
many ^ap++++=many
side ^nn++++=side
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poorest ^jjt+atrb+++=poorest
sort ^nn++++=sort
of ^in++++=of
monopoly ^nn++++=monopoly
for ^in++++=for
any ^dti++++=any
man ^nn++++=man
to ^to++++=to
undertake ^vbi++++=undertake
is ^vbz+bez+vrb++=is
a ^at++++=a
monopoly ^nn++++=monopoly
of ^in++++=of
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
had ^vb+hv+vrb++=had
a ^at++++=a
better ^jjr+atrb+++=better
chance ^nn++++=chance
to ^to+ncmp+++=to
make ^vbi++++=make
himself ^ppl+pp3+++=himself
the ^ati++++=the
Great ^jj+atrb+++=Great
American ^jj+atrb+++=American
Humorist ^nn+nom+++=Humorist
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
" ^zz++++="Pigs
pigs ^nns++++=EXTRAWORD
is ^vbz+bez+vrb++=is
Pigs ^nns++++=Pigs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good,
, ^zz++++=EXTRAWORD
solid ^jj+atrb+++=solid
foundation ^nn+nom+++=foundation
of ^in++++=of
fairly ^rb++++=fairly
good ^jj+atrb+++=good
humorous ^jj+atrb+++=humorous
work ^nn++++=work
under ^in++++=under
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
little ^jj+atrb+++=little
story ^nn++++=story
had ^vb+hv+vrb++=had
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thing ^nn++++=thing
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
have ^vbi+vbi+aux++=have
done ^vprf+++xvbnx+=done
then ^rn+tm+++=then
was ^vbd+bedz+aux++=was
to ^to++++=to
stick ^vbi++++=stick
to ^in++++=to
humor ^nn++++=humor,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
written ^vprf+++xvbnx+=written
dainty ^jj+atrb+++=dainty
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
sympathetic ^jj+atrb+++=sympathetic
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
serious ^jj+atrb+++=serious
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
all ^abn++++=all
kinds ^nns++++=kinds
of ^in++++=of
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
many ^ap++++=many
humorous ^jj+atrb+++=humorous
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
surprising ^vbg+++xvbgx+=surprising
how ^wrb+who+++=how
often ^rb++++=often
editors ^nns++++=editors
have ^vb+hv+aux++=have
had ^md"++pmd"++=had
to ^md+nec+++=to
announce ^vb+vpub+++=announce
" ^zz++++="A
a ^at++++=EXTRAWORD
story ^nn++++=story
that ^tht+rel+subj++=that
shows ^vbz+vprv+++=shows
this ^dt+dem+++=this
famous ^jj+atrb+++=famous
humorist ^nn+nom+++=humorist
in ^in++++=in
an ^at++++=an
entirely ^rb+amp+++=entirely
new ^jj+atrb+++=new
vein ^nn++++=vein."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Taking ^vbg+++xvbg+=Taking
literature ^nn++++=literature
as ^in++++=as
a ^at++++=a
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
a ^at++++=a
humorist ^nn+nom+++=humorist
should ^md+nec+++=should
have ^vb+hv+vrb++=have
no ^at++++=no
" ^zz++++="new
new ^jj+atrb+++=EXTRAWORD
vein ^nn++++=vein."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
does ^vbz+doz+vrb++=does
a ^at++++=a
plumber ^nn++++=plumber
succeed ^vb++++=succeed
as ^in++++=as
a ^at++++=a
plumber ^nn++++=plumber
by ^in++++=by
spending ^xvbg+++xvbg+=spending
a ^at++++=a
large ^jj+atrb+++=large
share ^nn++++=share
of ^in++++=of
his ^pp$+pp3+++=his
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours
making ^vwbg+++xvbg+=making
violins ^nns++++=violins.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
ever ^rb++++=ever
succeeds ^vbz++++=succeeds
by ^in++++=by
allowing ^xvbg+++xvbg+=allowing
himself ^ppl+pp3+++=himself
to ^to++++=to
be ^vbi+vbi+aux++=be
deflected ^vpsv++agls+xvbnx+=deflected
from ^in++++=from
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
business ^nns+nom+++=business
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
making ^vbg+++xvbgx+=making
the ^ati++++=the
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
best ^jjt++++=best
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
a ^at++++=a
cow ^nn++++=cow
does ^vbz+doz+vrb++=does
better ^jjr++++=better
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
sticks ^nns++++=sticks
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
eating ^xvbg+++xvbg+=eating
grass ^nn++++=grass
and ^cc++++=and
chewing ^vbg+++xvbg+=chewing
the ^ati++++=the
cud ^nn++++=cud.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
starts ^vbz++++=starts
in ^in++++=in
to ^to++++=to
learn ^vbi+vprv+++=learn
to ^to+vcmp+++=to
whistle ^vb++++=whistle
like ^in++++=like
a ^at++++=a
catbird ^nn+++??+=catbird
and ^cc++++=and
to ^in++++=to
flit ^nn+++??+=flit
from ^in++++=from
field ^nn++++=field
to ^in++++=to
field ^nn++++=field
like ^in++++=like
a ^at++++=a
butterfly ^nn++++=butterfly
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
safe ^jj+pred+++=safe
to ^to+jcmp+++=to
say ^vbi+vpub+tht0++=say
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
success ^nns+nom+++=success
in ^in++++=in
life ^nn++++=life.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
cow ^nn++++=cow
strays ^nns++++=strays
from ^in++++=from
plain ^jj+atrb+++=plain
milk ^nn++++=milk-producing
- ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=EXTRAWORD
methods ^nns++++=methods
and ^cc++++=and
begins ^vbz++++=begins
climbing ^jj+atrb++xvbg+=climbing
trees ^nns++++=trees
and ^cc++++=and
turning ^nvbg+++xvbg+=turning
somersaults ^nns+++??+=somersaults,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
may ^md+pos+++=may
be ^vb+be+vrb++=be
more ^rbr++++=more
picturesque ^jj+pred+++=picturesque,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
gathering ^vbg+++xvbgx+=gathering
nothing ^pn++++=nothing
but ^cc++++=but
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Seven ^cd++++=Seven
farmers ^nns+nom+++=farmers,
, ^zz++++=EXTRAWORD
a ^at++++=a
school ^nn++++=school-teacher
- ^zz++++=EXTRAWORD
teacher ^nn++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
tin ^nn++++=tin
peddler ^jjr+atrb+++=peddler
may ^md+pos+++=may
line ^vb++++=line
up ^rp++++=up
along ^in++++=along
the ^ati++++=the
fence ^nn++++=fence
and ^cc++++=and
applaud ^vb++++=applaud
her ^pp$+pp3+++=her
all ^abn++++=all
afternoon ^nn++++=afternoon
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
swelled ^vpsv++agls+xvbnx+=swelled
with ^in++++=with
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
gets ^vbz++++=gets
back ^rb+phrv+++=back
to ^in++++=to
the ^ati++++=the
barn ^nn++++=barn
at ^rb++++=at
sundown ^nn++++=sundown
she ^pp3a+pp3+++=she
will ^md+prd+++=will
not ^xnot++not++=not
give ^vb++++=give
much ^ap++++=much
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
a ^at++++=a
milch ^nn+++??+=milch
cow ^nn++++=cow
long ^rb++++=long;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
low ^jj+atrb+++=low
grade ^nn++++=grade
of ^in++++=of
corned ^jj+atrb++xvbn+=corned
beef ^nn++++=beef,
, ^zz++++=EXTRAWORD
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
flank ^nn++++=flank
steaks ^nns++++=steaks
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
pairs ^nns++++=pairs
of ^in++++=of
three ^cd++++=three-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
sit ^vb++++=sit
down ^rb+phrv+++=down
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
story ^nn++++=story
about ^in++++=about
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
fell ^vbd+++xvbn+=fell
off ^in+pl+++=off
a ^at++++=a
bridge ^nn++++=bridge
and ^cc++++=and
landed ^vpsv++agls+xvbn+=landed
in ^in++++=in
a ^at++++=a
kettle ^nn++++=kettle
of ^in++++=of
tar ^nn++++=tar
on ^in++++=on
a ^at++++=a
canal ^nn++++=canal
boat ^nn++++=boat
and ^cc++++=and,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
completed ^vprf+++xvbnx+=completed
a ^at++++=a
full ^jj+atrb+++=full
paragraph ^nn++++=paragraph,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
to ^to++++=to
clean ^vbi++++=clean
the ^ati++++=the
small ^jj+atrb+++=small
o ^zz++++=o,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
e ^zz++++=e,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
small ^jj++++=small
a ^at++++=a
of ^in++++=of
my ^pp$+pp1+++=my
typewriter ^nn+nom+++=typewriter
with ^in++++=with
a ^at++++=a
toothpick ^nn+++??+=toothpick,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
to ^to++++=to
think ^vbi+vprv+++=think
about ^in++++=about
the ^ati++++=the
pearl ^nn++++=pearl
buttons ^nns++++=buttons
on ^in++++=on
a ^at++++=a
vest ^nn++++=vest
I ^pp1a+pp1+++=I
owned ^vbd+++xvbnx+=owned
in ^in++++=in
1894 ^cd+date+++=1894,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spanish ^jj++++=Spanish-American
- ^zz++++=EXTRAWORD
american ^jj+atrb+++=EXTRAWORD
War ^nn++++=War,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
the ^ati++++=the
French ^jj+atrb+++=French
word ^nn++++=word
for ^in++++=for
" ^zz++++="illumination"
illumination ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
paid ^vbd+++xvbnx+=paid
my ^pp$+pp1+++=my
last ^jj+atrb+++=last
Liberty ^nn++++=Liberty
Loan ^nn++++=Loan
installment ^nn+nom+++=installment.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
finished ^vprf+++xvbnx+=finished
that ^dt+dem+++=that
first ^od++++=first
paragraph ^nn++++=paragraph
I ^pp1a+pp1+++=I
may ^md+pos+++=may
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
to ^to++++=to
fill ^vbi++++=fill
my ^pp$+pp1+++=my
fountain ^nn++++=fountain
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
gone ^j+++xvbn+=gone
downtown ^rn++++=downtown
to ^to++++=to
attend ^vbi++++=attend
a ^at++++=a
meeting ^jj+++xvbg+=meeting
of ^in++++=of
the ^ati++++=the
Red ^jj+atrb+++=Red
Cross ^nn++++=Cross
Committee ^nn+nom+++=Committee,
, ^zz++++=EXTRAWORD
started ^j+++xvbn+=started
to ^in++++=to
recatalogue ^nn+++??+=recatalogue
my ^pp$+pp1+++=my
published ^xvbn+++xvbn+=published
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taken ^vbd+++xvbn+=taken
a ^at++++=a
trip ^nn++++=trip
to ^in++++=to
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
to ^to+vcmp+++=to
the ^ati++++=the
first ^od++++=first
period ^nn++++=period
in ^in++++=in
the ^ati++++=the
first ^od++++=first
sentence ^nn+nom+++=sentence
I ^pp1a+pp1+++=I
may ^md+pos+++=may
have ^vb+hv+aux++=have
decided ^vprf+++xvbnx+=decided
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
man ^nn++++=man
fall ^nn++++=fall
off ^in+pl+++=off
the ^ati++++=the
bridge ^nn++++=bridge
but ^cc++++=but
have ^vb+hv+vrb++=have
a ^at++++=a
woman ^nn++++=woman
fall ^nn++++=fall
off ^in+pl+++=off
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
fall ^nn++++=fall
off ^in+pl+++=off
a ^at++++=a
bridge ^nn++++=bridge
but ^cc++++=but
off ^in+pl+++=off
the ^ati++++=the
Woolworth ^np+++??+=Woolworth
Building ^vwbg+++xvbg+=Building,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
fall ^nn++++=fall
into ^in++++=into
a ^at++++=a
kettle ^nn++++=kettle
of ^in++++=of
tar ^nn++++=tar
but ^cc++++=but
into ^in++++=into
a ^at++++=a
wagonload ^nn+++??+=wagonload
of ^in++++=of
feather ^nn++++=feather
beds ^nns++++=beds,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
fall ^nn++++=fall
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
write ^vb++++=write
a ^at++++=a
humorous ^jj+atrb+++=humorous
story ^nn++++=story
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
write ^vb++++=write
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
get ^vb++++=get
an ^at++++=an
empty ^jj+atrb+++=empty
cigar ^nn++++=cigar
box ^nn++++=box
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
toy ^nn++++=toy
circus ^nn++++=circus
wagon ^nn++++=wagon
for ^in++++=for
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
son ^nn++++=son.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
once ^cs+tm+++=once
made ^vprf+++xvbn+=made
an ^at++++=an
entire ^jjb+atrb+++=entire
doll ^nn++++=doll's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
two ^cd++++=two
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
four ^cd++++=four
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
kitchen ^nn++++=kitchen
and ^cc++++=and
bath ^nn++++=bath,
, ^zz++++=EXTRAWORD
with ^in++++=with
hand ^nn++++=hand-carved
- ^zz++++=EXTRAWORD
carved ^xvbn+++xvbn+=EXTRAWORD
stairways ^rb++++=stairways
and ^cc++++=and
electric ^jj+atrb+++=electric
lighting ^nn++++=lighting
throughout ^in+strn+++=throughout,
, ^zz++++=EXTRAWORD
the ^ati++++=the
walls ^nns++++=walls
entirely ^rb+amp+++=entirely
weatherboarded ^jj+++xvbn+=weatherboarded,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
in ^in++++=in
the ^ati++++=the
carpets ^nns++++=carpets,
, ^zz++++=EXTRAWORD
papered ^j+++xvbn+=papered
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
hung ^jj+atrb++xvbn+=hung
lace ^nn++++=lace
curtains ^nns++++=curtains
at ^in++++=at
the ^ati++++=the
windows ^nns++++=windows
and ^cc++++=and
painted ^vbd+++xvbn+=painted
the ^ati++++=the
exterior ^nn++++=exterior,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
between ^in++++=between
two ^cd++++=two
paragraphs ^nns++++=paragraphs
of ^in++++=of
a ^at++++=a
story ^nn++++=story.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
spent ^vbd+++xvbnx+=spent
three ^cd++++=three
months ^nns++++=months
on ^in++++=on
that ^dt+dem+++=that
little ^ap++++=little
trip ^nn++++=trip
after ^in++++=after
goat ^nn++++=goat-feathers,
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
meantime ^nn++++=meantime
Arnold ^np++++=Arnold
Bennett ^np++++=Bennett
probably ^rb++++=probably
wrote ^vbd+vprv++xvbn+=wrote
three ^cd++++=three
novels ^nns++++=novels
of ^in++++=of
several ^ap++++=several
hundred ^cd++++=hundred
thousand ^cd++++=thousand
words ^nns++++=words
each ^dt++++=each,
, ^zz++++=EXTRAWORD
gained ^j+++xvbn+=gained
an ^at++++=an
international ^jj+atrb+++=international
reputation ^nn+nom+++=reputation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vbd+++xvbn+=passed
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
fame ^nn++++=fame
like ^in++++=like
an ^at++++=an
airplane ^nn++++=airplane
passing ^vwbg+++xvbg+=passing
a ^at++++=a
snail ^nn++++=snail.
. ^zz++++=EXTRAWORD
George ^np++++=George
Ade ^np+++??+=Ade
kept ^vbd+++xvbn+=kept
pegging ^jj+++xvbg+=pegging
away ^rp+pl+++=away
at ^in++++=at
his ^pp$+pp3+++=his
" ^zz++++="Fables"
fables ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
regularity ^nn+nom+++=regularity
of ^in++++=of
a ^at++++=a
day ^nn++++=day
laborer ^jjr++++=laborer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Peter ^np++++=Peter
Finley ^np+++??+=Finley
Dunne ^np+++??+=Dunne
ground ^nn++++=ground
out ^rp+pl+++=out
his ^pp$+pp3+++=his
" ^zz++++="Mister
mister ^nn++++=EXTRAWORD
Dooley ^np+++??+=Dooley"
" ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
unwearied ^jj+atrb++xvbn+=unwearied
sausage ^nn+nom+++=sausage-grinder.
- ^zz++++=EXTRAWORD
grinder ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
my ^pp$+pp1+++=my
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
alongside ^rb++++=alongside
my ^pp$+pp1+++=my
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
calendar ^nn++++=calendar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sheet ^nn++++=sheet
that ^tht+rel+obj++=that
faces ^nns++++=faces
me ^pp1o+pp1+++=me
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
for ^in++++=for
the ^ati++++=the
first ^od++++=first
week ^nn++++=week
in ^in++++=in
March ^nn++++=March,
, ^zz++++=EXTRAWORD
1916 ^cd+date+++=1916.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
says ^vbz+vpub+++=says
" ^zz++++="Concentration.
concentration ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Concentrate ^nn+nom+++=Concentrate
all ^abn++++=all
your ^pp$+pp2+++=your
thoughts ^nns++++=thoughts
upon ^in++++=upon
the ^ati++++=the
work ^nn++++=work
in ^in++++=in
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun's
's ^$++++=EXTRAWORD
rays ^nns++++=rays
do ^vb+do+aux++=do
not ^xnot++not++=not
burn ^vb++++=burn
until ^cs+sub+++=until
brought ^vwbn+++xvbn+=brought
to ^rb+phrv+++=to
a ^at++++=a
focus ^nn++++=focus.
. ^zz++++=EXTRAWORD
Alexander ^np+nom+++=Alexander
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Bell ^nn++++=Bell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
whole ^jj+atrb+++=whole
matter ^nn++++=matter
in ^in++++=in
a ^at++++=a
nutshell ^nn+++??+=nutshell,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
only ^rb+down+++=only
use ^nn++++=use
the ^ati++++=the
motto ^nn++++=motto
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
me ^pp1o+pp1+++=me
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
permit ^vbi++++=permit
me ^pp1o+pp1+++=me
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
it ^pp3+it+++=it
and ^cc++++=and
think ^vb+vprv+++=think
about ^in++++=about
it ^pp3+it+++=it
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
the ^ati++++=the
story ^nn++++=story
