Nobody ^pn++++=NOBODY
question ^nn+nom+++=question
of ^in++++=of
the ^ati++++=the
honeymoon ^nn++++=honeymoon.
. ^zz++++=EXTRAWORD
Stella ^np++++=Stella
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
Atlantic ^np++++=Atlantic
City ^nn++++=City.
. ^zz++++=EXTRAWORD
Percy ^np++++=Percy
met ^vbd+++xvbn+=met
her ^pp$+pp3+++=her
with ^in++++=with
firmness ^nns+nom+++=firmness.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
n't ^xnot++not++0=n't
leave ^vb++++=leave
his ^pp$+pp3+++=his
books ^nns++++=books
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
my ^pp$+pp1+++=my
traveling ^nn+nom+++=traveling
right ^nn++++=right
here ^rn+pl+++=here
on ^in++++=on
Forty ^cd++++=Forty-second
- ^zz++++=EXTRAWORD
second ^od++++=EXTRAWORD
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
high ^jj++++=high-price
- ^zz++++=EXTRAWORD
price ^nn++++=EXTRAWORD
show ^nn++++=show
every ^at++++=every
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
out ^rp+pl+++=out
an ^at++++=an
itinerary ^nn+nom+++=itinerary,
, ^zz++++=EXTRAWORD
punctuated ^xvbn+++xvbn+=punctuated
by ^in++++=by
theaters ^nns+nom+++=theaters
and ^cc++++=and
restaurants ^nns+nom+++=restaurants,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Stella ^np++++=Stella
consented ^vbd+++xvbn+=consented
to ^to++++=to
accept ^vbi+vprv+++=accept
as ^in++++=as
a ^at++++=a
substitute ^nn++++=substitute
for ^in++++=for
Atlantic ^np++++=Atlantic
City ^nn++++=City.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
give ^vb++++=give
your ^pp$+pp2+++=your
fellows ^nns++++=fellows
a ^at++++=a
week ^nn++++=week
off ^in+pl+++=off
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
're ^vb+ber+aux++0='re
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
'll ^md+prd+++0='ll
want ^vb++++=want
to ^to+vcmp+++=to
drop ^vbi++++=drop
into ^in++++=into
the ^ati++++=the
office ^nn++++=office
every ^at++++=every
morning ^nn++++=morning
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
my ^pp$+pp1+++=my
mail ^nn++++=mail.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
businesslike ^jj++++=businesslike."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
ha\e ^vbi+++??+=ha\e
you ^pp2+pp2+++=you
treated ^vbd+++xvbn+=treated
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Stella ^np++++=Stella
turned ^vbd+++xvbn+=turned
the ^ati++++=the
rings ^nns++++=rings
about ^in++++=about
on ^rp++++=on
her ^pp3o+pp3+++=her
pale ^nn++++=pale
hand ^nn++++=hand
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
polished ^jj+atrb+++=polished
finger ^nn++++=finger-tips.
- ^zz++++=EXTRAWORD
tips ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0='ll
look ^vb++++=look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
to ^to+vcmp+++=to
a ^rb++++=a
little ^rb"++++=little
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
Stell ^np+++??+=Stell'?"
'?" ^nn+++??+=EXTRAWORD
Percy ^np++++=Percy
put ^vbd+++xvbn+=put
the ^ati++++=the
question ^nn+nom+++=question
coaxingly ^rb++++=coaxingly.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Stella ^np++++=Stella
was ^vbd+bedz+aux++=was
pleased ^vpsv++agls+xvbnx+=pleased
with ^in++++=with
him ^pp3o+pp3+++=him
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^to++++=to
walk ^vbi++++=walk
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
Percy ^np++++=Percy
could ^md+pos+++=could
ever ^rb++splt++=ever
see ^vb+vprv+++=see
her ^pp$+pp3+++=her
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
displeased ^jj+pred+++=displeased,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
too ^ql++++=too
tired ^jj+++xvbn+=tired
to ^to++++=to
go ^vbi++++=go
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
To ^to++++=To-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled
at ^in++++=at
him ^pp3o+pp3+++=him
incredulously ^rb+cnj+++=incredulously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
to ^to++++=to
put ^vbi++++=put
on ^rb+phrv+++=on
her ^pp3o+pp3+++=her
hat ^nn++++=hat
and ^cc++++=and
gray ^np++++=gray
fur ^nn++++=fur
piece ^nn++++=piece.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
outside ^jjb+pred+++=outside,
, ^zz++++=EXTRAWORD
Percy ^np++++=Percy
turned ^vbd+++xvbn+=turned
into ^in++++=into
a ^at++++=a
shadowy ^jj+atrb+++=shadowy
side ^nn++++=side
street ^nn++++=street
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
partly ^rb+down+++=partly
built ^vbd+++xvbn+=built
up ^rp++++=up,
, ^zz++++=EXTRAWORD
a ^at++++=a
dreary ^jj+atrb+++=dreary
waste ^nn++++=waste
of ^in++++=of
derricks ^nns+++??+=derricks
and ^cc++++=and
foundation ^nn+nom+++=foundation
holes ^nns++++=holes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
comparatively ^rb++++=comparatively
solitary ^jj++++=solitary.
. ^zz++++=EXTRAWORD
Stella ^np++++=Stella
liked ^vbd+++xvbn+=liked
Percy ^np++++=Percy's
's ^$++++=EXTRAWORD
steady ^jj+atrb+++=steady,
, ^zz++++=EXTRAWORD
sympathetic ^jj+atrb+++=sympathetic
silences ^nns+nom+++=silences;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
chatterbox ^nn+++??+=chatterbox
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
often ^rb++++=often
wondered ^vbd+vprv++xvbn+=wondered
why ^wrb+who+whcl++=why
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
marry ^vb++++=marry
Bixby ^np+++??+=Bixby
instead ^rb+cnj+++=instead
of ^in++++=of
Charley ^np++++=Charley
Greengay ^np+++??+=Greengay.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
Charley ^np++++=Charley
would ^md+prd+++=would
go ^vb++++=go
further ^jjb++++=further
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
often ^rb++splt++=often
coolly ^rb++++=coolly
told ^vbd+vpub+tht0+xvbn+=told
herself ^ppl+pp3+++=herself
that ^cs+sub+++=that
Percy ^np++++=Percy
would ^md+prd+++=would
never ^rb++splt++=never
go ^vb++++=go
very ^ql+amp+++=very
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
admitted ^vbd+vpub++xvbnx+=admitted
with ^in++++=with
a ^at++++=a
shrug ^nn++++=shrug,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
" ^zz++++="weak
weak ^jj++++=EXTRAWORD
to ^in++++=to
Percy ^np++++=Percy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
capable ^jj+atrb+++=capable
New ^jj+atrb+++=New
York ^np++++=York
stenographer ^jjr++++=stenographer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
estimated ^vbn+vprv++xvbn+=estimated
values ^nns++++=values
coldly ^rb++++=coldly
and ^cc++++=and
got ^vbd+++xvbn+=got
the ^ati++++=the
most ^ap+emph+++=most
for ^in++++=for
the ^ati++++=the
least ^rbt++++=least
outlay ^nn++++=outlay,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
something ^pn++++=something
left ^vbd+++xvbn+=left
that ^dt+dem+++=that
belonged ^vprf+++xvbn+=belonged
to ^in++++=to
another ^dt++++=another
kind ^rb++++=kind
of ^rb"++++=of
woman ^nn++++=woman
something ^pn++++=something
that ^cs+sub+++=that
liked ^vprf+++xvbn+=liked
the ^ati++++=the
very ^ql+amp+++=very
things ^nns++++=things
in ^in++++=in
Percy ^np++++=Percy
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
good ^jj+atrb+++=good
business ^nns+nom+++=business
assets ^nns++++=assets.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
much ^ap++++=much
she ^pp3a+pp3+++=she
dwelt ^vbd+++xvbnx+=dwelt
upon ^in++++=upon
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
Greengay ^np++++=Greengay's
's ^$++++=EXTRAWORD
dash ^nn++++=dash
and ^cc++++=and
color ^nn++++=color
and ^cc++++=and
assurance ^nn+nom+++=assurance,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
mind ^nn++++=mind
always ^rb++++=always
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^in++++=to
Percy ^np++++=Percy's
's ^$++++=EXTRAWORD
neat ^jj++++=neat
little ^rb++++=little
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
clean ^jj++++=clean-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
gray ^np++++=gray
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
them ^pp3o+pp3+++=them
better ^jjr++++=better
than ^in++++=than
Charley ^np++++=Charley's
's ^$++++=EXTRAWORD
fullness ^nns+nom+++=fullness
and ^cc++++=and
blurred ^jj+atrb++xvbn+=blurred
floridness ^nns+nom+++=floridness.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
reckoned ^vbd+vprv++xvbn+=reckoned
up ^rp++++=up
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
chances ^nns+nom+++=chances
with ^in++++=with
no ^at++++=no
doubtful ^jj+atrb+++=doubtful
result ^nn++++=result,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
opposed ^vbd+++xvbnx+=opposed
a ^at++++=a
mild ^jj+atrb+++=mild
obstinacy ^nn+nom+++=obstinacy
to ^in++++=to
her ^pp$+pp3+++=her
own ^ap++++=own
good ^jj+atrb+++=good
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
I ^pp1a+pp1+++=I
'll ^md+prd+++0='ll
take ^vb++++=take
Percy ^np++++=Percy,
, ^zz++++=EXTRAWORD
anyway ^rb+cnj+++=anyway,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
simply ^rb+cnj+++=simply,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
all ^abn++++=all
the ^ati++++=the
good ^jj++++=good
her ^pp$+pp3+++=her
clever ^jj+atrb+++=clever
business ^nns+nom+++=business
brain ^nn++++=brain
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Percy ^np++++=Percy
spent ^vbd+++xvbn+=spent
a ^at++++=a
night ^nn++++=night
of ^in++++=of
torment ^nn+nom+++=torment,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
tense ^jj++++=tense
on ^in++++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
figuring ^nvbg+++xvbg+=figuring
out ^rp+pl+++=out
how ^wrb+who+++=how
long ^rb++++=long
it ^pp3+it+++=it
would ^md+prd+++=would
take ^vb++++=take
him ^pp3o+pp3+++=him
to ^to++++=to
pay ^vbi++++=pay
back ^rb+phrv+++=back
the ^ati++++=the
money ^nn++++=money
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
advancing ^vbg+++xvbgx+=advancing
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
fool ^jjb++++=fool
could ^md+pos+++=could
do ^vb+do+vrb++=do
it ^pp3+it+++=it
in ^in++++=in
five ^cd++++=five
years ^nns++++=years,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reasoned ^vbd+vprv++xvbnx+=reasoned,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
it ^pp3+it+++=it
in ^in++++=in
three ^cd++++=three.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trouble ^nn++++=trouble
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
expensive ^jj+atrb+++=expensive
courtship ^nn+nom+++=courtship
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
every ^at++++=every
penny ^nn++++=penny
of ^in++++=of
his ^pp$+pp3+++=his
salary ^nn++++=salary.
. ^zz++++=EXTRAWORD
With ^in++++=With
competitors ^nns++++=competitors
like ^in++++=like
Charley ^np++++=Charley
Greengay ^np+++??+=Greengay,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
spend ^vb++++=spend
money ^nn++++=money
or ^cc++++=or
drop ^vb++++=drop
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reflected ^vbd+vprv++xvbnx+=reflected
ruefully ^rb+cnj+++=ruefully,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
supplied ^vpsv++agls+xvbnx+=supplied
with ^in++++=with
more ^rbr++++=more
attractive ^jj+atrb+++=attractive
plumage ^nn+nom+++=plumage
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
courting ^vbg+++xvbgx+=courting,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nature ^nn++++=nature
had ^vb+hv+aux++=had
n't ^xnot++not++0=n't
been ^vprf+ben+vrb+xvbn+=been
so ^ql+emph+++=so
thoughtful ^jj++++=thoughtful
for ^in++++=for
men ^nns++++=men.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Percy ^np++++=Percy
reached ^vbd+++xvbn+=reached
the ^ati++++=the
office ^nn++++=office
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed
on ^in++++=on
his ^pp$+pp3+++=his
tall ^jj+atrb+++=tall
stool ^nn++++=stool
and ^cc++++=and
leaned ^vbd+++xvbn+=leaned
his ^pp$+pp3+++=his
arms ^nns++++=arms
on ^in++++=on
his ^pp$+pp3+++=his
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
glad ^jj++++=glad
to ^to+jcmp+++=to
feel ^vbi+vprv+++=feel
it ^pp3+it+++=it
there ^rn+pl+++=there
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
faint ^jj+pred+++=faint
and ^cc+phrs+++=and
weak ^jj++++=weak-kneed.
- ^zz++++=EXTRAWORD
kneed ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
Remsen ^np+++??+=Remsen,
, ^zz++++=EXTRAWORD
Junior ^jj++++=Junior,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
new ^np++++=new
blood ^nn++++=blood
into ^in++++=into
the ^ati++++=the
Remsen ^np+++??+=Remsen
Paper ^nn++++=Paper
Company ^nn++++=Company.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
married ^vbd+++xvbnx+=married
shortly ^rb+tm+++=shortly
after ^cs+sub+++=after
Percy ^np++++=Percy
Bixby ^np+++??+=Bixby
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
five ^cd++++=five
succeeding ^jj+atrb++xvbg+=succeeding
years ^nns++++=years
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
considerably ^rb++splt++=considerably
enlarged ^vprf+++xvbnx+=enlarged
the ^ati++++=the
company ^nn++++=company's
's ^$++++=EXTRAWORD
business ^nns+nom+++=business
and ^cc++++=and
profits ^nns++++=profits.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
particularly ^rb++++=particularly
successful ^jj++++=successful
in ^in++++=in
encouraging ^jj+atrb+++=encouraging
efficiency ^nn++++=efficiency
and ^cc++++=and
loyalty ^nn++++=loyalty
in ^in++++=in
the ^ati++++=the
employees ^nns+nom+++=employees.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
office ^nn++++=office
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
for ^in+ppvb+++=for
shorter ^jjr+atrb+++=shorter
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
longer ^rbr++++=longer
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
generous ^jj+atrb+++=generous
consideration ^nn+nom+++=consideration
of ^in++++=of
men ^nns++++=men's
's ^$++++=EXTRAWORD
necessities ^nns+nom+++=necessities.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
college ^npl++++=college
on ^in++++=on
the ^ati++++=the
wave ^nn++++=wave
of ^in++++=of
economic ^jj+atrb+++=economic
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
to ^to++++=to
read ^vbn+vprv++xvbn+=read
and ^cc+phrs+++=and
think ^vb+vprv+++=think
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
about ^in++++=about
how ^wrb+who+++=how
the ^ati++++=the
machinery ^nn+nom+++=machinery
of ^in++++=of
labor ^nn++++=labor
is ^vbz+bez+aux++=is
operated ^vpsv++agls+xvbnx+=operated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
more ^rbr++++=more
about ^in++++=about
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
worked ^vbd+++xvbn+=worked
for ^in++++=for
him ^pp3o+pp3+++=him
than ^in++++=than
their ^pp$+pp3+++=their
mere ^jjb+atrb+++=mere
office ^nn++++=office
records ^nns++++=records.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Remsen ^np+++??+=Remsen
was ^vbd+bedz+aux++=was
troubled ^vpsv++agls+xvbnx+=troubled
about ^in++++=about
Percy ^np++++=Percy
Bixby ^np+++??+=Bixby
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
no ^at++++=no
summer ^nn++++=summer
vacations ^nns+nom+++=vacations
always ^rb++++=always
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
the ^ati++++=the
two ^cd++++=two
weeks ^nns++++=weeks'
' ^zz++++=EXTRAWORD
extra ^jj+atrb+++=extra
pay ^nn++++=pay
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
office ^nn++++=office
had ^vbd+hvd+aux++=had
skipped ^vprf+++xvbn+=skipped
a ^at++++=a
vacation ^nn+nom+++=vacation
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Percy ^np++++=Percy
had ^vbd+hvd+aux++=had
stuck ^vprf+++xvbnx+=stuck
to ^in++++=to
his ^pp$+pp3+++=his
desk ^nn++++=desk
for ^in++++=for
five ^cd++++=five
years ^nns++++=years,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
tottered ^vprf+++xvbnx+=tottered
to ^in++++=to
his ^pp$+pp3+++=his
stool ^nn++++=stool
through ^in++++=through
attacks ^nns++++=attacks
of ^in++++=of
grippe ^nn+++??+=grippe
and ^cc++++=and
tonsilitis ^nns+++??+=tonsilitis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
grown ^vprf+++xvbn+=grown
fast ^rb++++=fast
to ^in++++=to
his ^pp$+pp3+++=his
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
to ^in++++=to
this ^dt+dem+++=this
that ^cs+sub+++=that
Oliver ^np++++=Oliver
objected ^vbd+vpub++xvbn+=objected.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
his ^pp$+pp3+++=his
men ^nns++++=men
to ^to++++=to
stay ^vbi++++=stay
men ^nns++++=men,
, ^zz++++=EXTRAWORD
to ^to++++=to
look ^vbi++++=look
like ^in++++=like
men ^nns++++=men
and ^cc++++=and
live ^vb++++=live
like ^in++++=like
men ^nns++++=men.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
how ^wrb+who+whcl++=how
alert ^nn++++=alert
and ^cc++++=and
wide ^jj++++=wide-awake
- ^zz++++=EXTRAWORD
awake ^jj+atrb+++=EXTRAWORD
Bixby ^np+++??+=Bixby
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
first ^rb++++=first
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
office ^nn++++=office.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
picked ^vprf+++xvbnx+=picked
Bixby ^np+++??+=Bixby
out ^rp+pl+++=out
as ^in++++=as
the ^ati++++=the
most ^ql+emph+++=most
intelligent ^jj++++=intelligent
and ^cc+phrs+++=and
interested ^jj++++=interested
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
employees ^nns+nom+++=employees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
then ^rn+tm+++=then
had ^vb+hv+aux++=had
often ^rb++splt++=often
wondered ^vprf+++xvbnx+=wondered
why ^wrb+who+whcl++=why
he ^pp3a+pp3+++=he
never ^rb++++=never
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
chances ^nns+nom+++=chances
to ^to+ncmp+++=to
forge ^vb++++=forge
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
Promotions ^nns+nom+++=Promotions,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
after ^in++++=after
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Percy ^np++++=Percy's
's ^$++++=EXTRAWORD
baby ^nn++++=baby
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
funeral ^nn++++=funeral,
