1564 ^cd++++=1564.
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
desperate ^jj+atrb+++=desperate
Tatars ^np+++??+=Tatars,
, ^zz++++=EXTRAWORD
climbing ^nvbg+++xvbg+=climbing
down ^rp++++=down
the ^ati++++=the
outside ^nn++++=outside
of ^in++++=of
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
for ^in++++=for
the ^ati++++=the
Kazanka ^np+++??+=Kazanka,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
troops ^nns++++=troops,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
small ^jj+atrb+++=small
body ^nn++++=body
under ^in++++=under
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky
and ^cc++++=and
his ^pp$+pp3+++=his
brother ^nn++++=brother
Romanus ^&fw++++=Romanus,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
at ^rb++++=at
leisure ^nn++++=leisure
to ^to++++=to
pursue ^vbi++++=pursue
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fighting ^nvbg+++xvbg+=fighting
was ^vbd+bedz+vrb++=was
terrible ^jj+pred+++=terrible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
two ^cd++++=two
princes ^npt++++=princes
kept ^vbd+++xvbn+=kept
them ^pp3o+pp3+++=them
in ^in++++=in
view ^nn++++=view
until ^cs+sub+++=until
checked ^nn++++=checked
by ^in++++=by
a ^at++++=a
marsh ^nn++++=marsh
which ^whp+rel+obj++=which
horses ^nns++++=horses
could ^md+pos+++=could
not ^xnot++not++=not
pass ^vb++++=pass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bold ^jj+atrb+++=bold
fugitives ^nns++++=fugitives
took ^vbd+++xvbn+=took
refuge ^nn++++=refuge
in ^in++++=in
a ^at++++=a
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
other ^ap++++=other
Russian ^jj+atrb+++=Russian
troops ^nns++++=troops
coming ^vwbg+++xvbg+=coming
up ^rp++++=up,
, ^zz++++=EXTRAWORD
all ^abn++++=all
were ^vbd+bed+aux++=were
surrounded ^vpsv++agls+xvbnx+=surrounded
and ^cc++++=and
slain ^nn+++??+=slain,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
not ^xnot++not++=not
a ^at++++=a
man ^nn++++=man
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
accept ^vb+vprv+++=accept
quarter ^nn++++=quarter.
. ^zz++++=EXTRAWORD
Yediguer ^np+nom++??+=Yediguer
was ^vbd+bedz+aux++=was
kindly ^jj+pred+++=kindly
treated ^vpsv++by+xvbn+=treated
by ^in++++=by
Ivan ^np++++=Ivan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accompanying ^jj+++xvbg+=accompanying
him ^pp3o+pp3+++=him
to ^in++++=to
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
became ^vbd+++xvbn+=became
a ^at++++=a
Christian ^nn++++=Christian,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
baptized ^vpsv++by+xvbnx+=baptized
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Simeon ^np+++??+=Simeon,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
Tzar ^np+++??+=Tzar
and ^cc++++=and
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
court ^nn++++=court,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Moskwa ^np+++??+=Moskwa.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
married ^vbd+++xvbnx+=married
a ^at++++=a
Russian ^jj+atrb+++=Russian
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
whole ^jj++++=whole
conduct ^vb++++=conduct
proved ^jj+++xvbn+=proved
that ^tht+jcmp+++=that
his ^pp$+pp3+++=his
conversion ^nn++++=conversion
was ^vbd+bedz+vrb++=was
sincere ^jj+pred+++=sincere.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
story ^nn++++=story
has ^vbz+hvz+aux++=has
only ^rb+down+splt++=only
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
at ^rb++++=at
so ^ql++++=so
much ^ap++++=much
length ^rb++++=length
to ^to++++=to
show ^vbi+vprv+++=show
what ^wdt+who+whcl++=what
manner ^nn++++=manner
of ^in++++=of
man ^nn++++=man
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ivan ^np++++=Ivan
Vassilovitch ^np+++??+=Vassilovitch
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
brethren ^nns++++=brethren
in ^in++++=in
arms ^nns++++=arms;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
lingered ^vpsv++agls+xvbnx+=lingered
over ^in++++=over
from ^in++++=from
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
interest ^nn++++=interest
there ^ex+pex+++=there
must ^md+nec+++=must
always ^rb++++=always
be ^vb+be+vrb++=be
in ^in++++=in
watching ^xvbg+++xvbg+=watching
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
a ^at++++=a
powerful ^jj+atrb+++=powerful
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^rb++++=last
struggles ^nns++++=struggles
of ^in++++=of
gallant ^jj+atrb+++=gallant
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
a ^at++++=a
gallant ^jj++++=gallant,
, ^zz++++=EXTRAWORD
religious ^jj++++=religious
and ^cc++++=and
highly ^rb+amp+++=highly
gifted ^jj+atrb+++=gifted
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
generous ^jj++++=generous
and ^cc+phrs+++=and
merciful ^jj++++=merciful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
every ^at++++=every
promise ^nn++++=promise
of ^in++++=of
a ^at++++=a
glorious ^jj+atrb+++=glorious
reign ^nn++++=reign,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
benefits ^nns++++=benefits
to ^in++++=to
his ^pp$+pp3+++=his
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas!
! ^zz++++=EXTRAWORD
this ^dt+dem+++=this
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
career ^nn++++=career
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
glimpse ^nn++++=glimpse
of ^in++++=of
brightness ^nns+nom+++=brightness
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
a ^at++++=a
long ^jj+atrb+++=long
tempestuous ^jj+atrb+++=tempestuous
day ^nn++++=day.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
reign ^nn++++=reign
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
but ^cc++++=but
three ^cd++++=three
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
violent ^jj+atrb+++=violent
and ^cc+phrs+++=and
cruel ^jj+atrb+++=cruel
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
after ^in++++=after
her ^pp3o+pp3+++=her
death ^nn++++=death,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
bred ^vwbn+++xvbn+=bred
up ^rp++++=up
by ^in++++=by
evil ^nn++++=evil-minded
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
courtiers ^nns+nom+++=courtiers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
absolutely ^rb+amp+++=absolutely
taught ^vbd+vsua++xvbn+=taught
him ^pp3o+pp3+++=him
cruel ^jj+atrb+++=cruel
and ^cc+phrs+++=and
dissolute ^jj+atrb+++=dissolute
amusements ^nns+nom+++=amusements
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
prevent ^vb++++=prevent
him ^pp3o+pp3+++=him
from ^in++++=from
attending ^nn++++=attending
to ^in++++=to
state ^nn++++=state
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
exhortations ^nns+nom+++=exhortations
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
and ^cc+phrs+++=and
fearless ^jj+atrb+++=fearless
patriarch ^nn++++=patriarch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
his ^pp$+pp3+++=his
gentle ^jj+atrb+++=gentle
wife ^nn++++=wife
Anastasia ^np+++??+=Anastasia,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
prevailed ^vprf+++xvbnx+=prevailed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
great ^jj+atrb+++=great
vigor ^nn++++=vigor
and ^cc++++=and
strong ^jj+atrb+++=strong
principle ^nn++++=principle
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
shaken ^vprf+++xvbnx+=shaken
off ^rb+phrv+++=off
all ^abn++++=all
the ^ati++++=the
evil ^jj+atrb+++=evil
habits ^nns++++=habits
of ^in++++=of
his ^pp$+pp3+++=his
boyhood ^nn+nom+++=boyhood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begun ^vwbn+++xvbn+=begun,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
an ^at++++=an
admirable ^jj+atrb+++=admirable
reign ^nn++++=reign.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
a ^at++++=a
severe ^jj+atrb+++=severe
illness ^nns+nom+++=illness
shook ^vbd+++xvbn+=shook
the ^ati++++=the
balance ^nn+nom+++=balance
of ^in++++=of
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
quickly ^rb++splt++=quickly
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
excellent ^jj+atrb+++=excellent
Tzarina ^np+++??+=Tzarina
Anastasia ^np+++??+=Anastasia.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
grief ^nn++++=grief
further ^jjb++++=further
unsettled ^jj++++=unsettled
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
her ^pp$+pp3+++=her
gentle ^jj+atrb+++=gentle
influence ^nn+nom+++=influence
left ^vbd+++xvbn+=left
him ^pp3o+pp3+++=him
a ^at++++=a
prey ^nn++++=prey
to ^in++++=to
his ^pp$+pp3+++=his
wicked ^jj+atrb+++=wicked
councillors ^nns++++=councillors,
, ^zz++++=EXTRAWORD
from ^in++++=from
that ^dt+dem+++=that
time ^nn++++=time
forward ^rb++++=forward
his ^pp$+pp3+++=his
conduct ^nn++++=conduct
was ^vbd+bedz+vrb++=was
so ^ql++++=so
wildly ^rb++++=wildly
savage ^jj++++=savage
and ^cc+phrs+++=and
barbarous ^jj++++=barbarous
as ^in++++=as
to ^in++++=to
win ^nn++++=win
for ^in++++=for
him ^pp3o+pp3+++=him
the ^ati++++=the
surname ^nn++++=surname
of ^in++++=of
the ^ati++++=the
Terrible ^nn++++=Terrible.
. ^zz++++=EXTRAWORD
Frantic ^jj+atrb+++=Frantic
actions ^nns+nom+++=actions,
, ^zz++++=EXTRAWORD
extravagant ^jj+atrb+++=extravagant
excesses ^nns+nom+++=excesses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
freaks ^nns+++??+=freaks
of ^in++++=of
horrible ^jj+atrb+++=horrible
cruelty ^nn++++=cruelty
looked ^vbd+++xvbn+=looked
like ^in++++=like
insanity ^nn+nom+++=insanity;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
often ^rb++++=often
showed ^vbd+vprv+tht0+xvbn+=showed
himself ^ppl+pp3+++=himself
a ^at++++=a
clear ^jj++++=clear-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
sagacious ^jj+atrb+++=sagacious
monarch ^nn++++=monarch,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious
for ^in++++=for
the ^ati++++=the
glory ^nn++++=glory
and ^cc++++=and
improvement ^nn+nom+++=improvement
of ^in++++=of
his ^pp$+pp3+++=his
people ^nns++++=people.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
in ^in++++=in
continual ^jj+atrb+++=continual
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dreaded ^vbd+++xvbn+=dreaded
every ^at++++=every
eminent ^jj+atrb+++=eminent
man ^nn++++=man
in ^in++++=in
his ^pp$+pp3+++=his
dominions ^nns++++=dominions.
. ^zz++++=EXTRAWORD
Kourbsky ^np+++??+=Kourbsky
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
loved ^vprf+++xvbnx+=loved
and ^cc++++=and
trusted ^jj+++xvbn+=trusted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
charged ^vprf+++xvbnx+=charged
with ^in++++=with
the ^ati++++=the
command ^nn++++=command
of ^in++++=of
his ^pp$+pp3+++=his
army ^nn++++=army,
, ^zz++++=EXTRAWORD
as ^ql++++=as
his ^pp$+pp3+++=his
most ^ap+emph+++=most
able ^jj+atrb+++=able
boyard ^nn+++??+=boyard,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell
under ^in++++=under
his ^pp$+pp3+++=his
suspicion ^nn++++=suspicion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
horror ^nn++++=horror
and ^cc++++=and
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
learnt ^vb+++xvbn+=learnt
that ^tht+vcmp+++=that
the ^ati++++=the
Tzar ^np+++??+=Tzar
was ^vbd+bedz+aux++=was
plotting ^vbg+++xvbgx+=plotting
against ^in++++=against
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intended ^vpsv++agls+xvbn+=intended
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
him ^pp3o+pp3+++=him
put ^vbd+++xvbn+=put
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Kourbsky ^np+++??+=Kourbsky
upon ^in++++=upon
this ^dt+dem+++=this
explained ^jj+++xvbn+=explained
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
must ^md+nec+++=must
either ^dtx++++=either
see ^vb+vprv+tht0++=see
him ^pp3o+pp3+++=him
put ^vbd+++xvbn+=put
to ^in++++=to
a ^at++++=a
shameful ^jj+atrb+++=shameful
death ^nn++++=death,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
leave ^nn++++=leave
her ^pp3o+pp3+++=her
for ^rb++++=for
ever ^rb"++++=ever.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
his ^pp$+pp3+++=his
blessing ^nn++++=blessing
to ^in++++=to
his ^pp$+pp3+++=his
son ^nn++++=son,
, ^zz++++=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy
of ^in++++=of
nine ^cd++++=nine
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaving ^vbg+++xvbg+=leaving
his ^pp$+pp3+++=his
house ^npl++++=house
at ^rb++++=at
night ^nn++++=night
he ^pp3a+pp3+++=he
scaled ^vprf+++xvbn+=scaled
the ^ati++++=the
wall ^nn++++=wall
of ^in++++=of
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meeting ^nvbg+++xvbg+=meeting
his ^pp$+pp3+++=his
faithful ^jj+atrb+++=faithful
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
Vasili ^np+++??+=Vasili
Shibanoff ^np+++??+=Shibanoff,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
escape ^nn++++=escape.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Vasili ^np+++??+=Vasili
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
stirrup ^nn++++=stirrup-bearer,
- ^zz++++=EXTRAWORD
bearer ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
serfs ^nns++++=serfs
over ^in++++=over
whom ^whp+rel+pied++=whom
the ^ati++++=the
boyard ^nn+++??+=boyard
on ^rp++++=on
whose ^whp+who+++=whose
land ^nn++++=land
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
possessed ^xvbn+++xvbn+=possessed
absolute ^jj+atrb+++=absolute
power ^nn++++=power.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
power ^nn++++=power
was ^vbd+bedz+aux++=was
often ^rb++splt++=often
abused ^vpsv++agls+xvbnx+=abused,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
instinctive ^jj+atrb+++=instinctive
faithfulness ^nns+nom+++=faithfulness
of ^in++++=of
the ^ati++++=the
serf ^nn++++=serf
towards ^in++++=towards
his ^pp$+pp3+++=his
master ^nn++++=master
could ^md+pos+++=could
hardly ^rb+down+++=hardly
be ^vb+be+aux++=be
shaken ^vpsv++agls+xvbnx+=shaken,
, ^zz++++=EXTRAWORD
even ^rb++++=even
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
savage ^jj+atrb+++=savage
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
welltreated ^jj+atrb++xvbn+=welltreated
serf ^nn++++=serf
viewed ^vwbn+++xvbn+=viewed
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
family ^nn++++=family
with ^in++++=with
enthusiastic ^jj+atrb+++=enthusiastic
love ^nn++++=love
and ^cc++++=and
veneration ^nn+nom+++=veneration.
. ^zz++++=EXTRAWORD
Vasili ^np+++??+=Vasili
accompanied ^vbd+++xvbn+=accompanied
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
flight ^nn++++=flight
through ^in++++=through
the ^ati++++=the
birch ^nn++++=birch
forests ^nns++++=forests
towards ^in++++=towards
the ^ati++++=the
Livonian ^np+++??+=Livonian
frontier ^nn+nom+++=frontier,
, ^zz++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
where ^wrb+who+++=where
but ^cc++++=but
lately ^rb+tm+++=lately
Kourbsky ^np+++??+=Kourbsky
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
leading ^vbg+++xvbgx+=leading
the ^ati++++=the
Tzar ^np++++=Tzar's
's ^$++++=EXTRAWORD
armies ^nns++++=armies.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
prince ^nn++++=prince's
's ^$++++=EXTRAWORD
horse ^nn++++=horse
became ^vbd+++xvbn+=became
exhausted ^vpsv++by+xvbn+=exhausted
by ^in++++=by
his ^pp$+pp3+++=his
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vasili ^np+++??+=Vasili
insisted ^vbd+vpub++xvbn+=insisted
on ^in++++=on
giving ^xvbg+++xvbg+=giving
up ^rp++++=up
his ^pp$+pp3+++=his
own ^ap++++=own
in ^in++++=in
its ^pp$+it+++=its
stead ^nn++++=stead,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
capture ^nn++++=capture
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
such ^abl++++=such
desertion ^nn+nom+++=desertion
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
certain ^jj+atrb+++=certain
death ^nn++++=death.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
master ^nn++++=master
and ^cc++++=and
servant ^nn+nom+++=servant
safely ^rb++++=safely
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
Wolmar ^np+++??+=Wolmar
in ^in++++=in
Livonia ^np+++??+=Livonia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
Andrej ^np+++??+=Andrej
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
determination ^nn+nom+++=determination
of ^in++++=of
renouncing ^xvbg+++xvbg+=renouncing
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
the ^ati++++=the
ungrateful ^jj+atrb+++=ungrateful
Ivan ^np++++=Ivan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entering ^vbg+++xvbg+=entering
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
King ^nn++++=King
of ^in++++=of
Poland ^np++++=Poland.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+pdem+++=this
last ^rb++++=last
step ^vb++++=step
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
excuse ^nn++++=excuse.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
can ^md+pos+++=can
justify ^vb++++=justify
a ^at++++=a
man ^nn++++=man
in ^in++++=in
taking ^xvbg+++xvbg+=taking
up ^rp++++=up
arms ^nns++++=arms
against ^in++++=against
his ^pp$+pp3+++=his
country ^nn++++=country,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
middle ^jjb+atrb+++=middle
Ages ^nns++++=Ages
the ^ati++++=the
tie ^nn++++=tie
of ^in++++=of
loyalty ^nn++++=loyalty
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
than ^in++++=than
to ^in++++=to
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
deemed ^xvbn+++xvbn+=deemed
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
honor ^nn++++=honor
would ^md+prd+++=would
be ^vb+be+vrb++=be
safe ^jj+pred+++=safe,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
his ^pp$+pp3+++=his
sovereign ^nn++++=sovereign,
, ^zz++++=EXTRAWORD
explaining ^vbg+vpub+tht0+xvbg+=explaining
his ^pp$+pp3+++=his
grievance ^nn+nom+++=grievance
and ^cc++++=and
giving ^vbg+++xvbg+=giving
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
allegiance ^nn+nom+++=allegiance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
letter ^nn++++=letter
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
full ^jj++++=full
of ^in++++=of
grave ^jj+atrb+++=grave
severity ^nn+nom+++=severity
and ^cc++++=and
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
suppressed ^jj+atrb++xvbn+=suppressed
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
temperate ^jj++++=temperate
in ^in++++=in
tone ^nn++++=tone;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
would ^md+prd+++=would
consent ^vb++++=consent
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
bearer ^nn++++=bearer
of ^in++++=of
such ^abl++++=such
a ^at++++=a
missive ^nn++++=missive,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
cruel ^jj+atrb+++=cruel
tyrant ^nn++++=tyrant's
's ^$++++=EXTRAWORD
first ^od++++=first
fury ^nn++++=fury
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
certain ^jj+pred+++=certain
to ^to+jcmp+++=to
fall ^vbi++++=fall
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him
who ^whp+who+++=who
presented ^vbd+++xvbn+=presented
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Believing ^vbg+vprv++xvbg+=Believing
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
honor ^nn++++=honor
at ^rb++++=at
stake ^nn++++=stake,
, ^zz++++=EXTRAWORD
Vasili ^np+++??+=Vasili
offered ^vbd+++xvbn+=offered
himself ^ppl+pp3+++=himself
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
bearer ^nn++++=bearer
of ^in++++=of
the ^ati++++=the
fatal ^jj+atrb+++=fatal
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Kourbsky ^np+++??+=Kourbsky
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
offer ^nn++++=offer,
, ^zz++++=EXTRAWORD
tendering ^vb+++xvbg+=tendering
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
a ^at++++=a
sum ^nn++++=sum
of ^in++++=of
