Peg ^nn++++=Peg
began ^vbd+++xvbn+=began
to ^to++++=to
entertain ^vbi++++=entertain
his ^pp$+pp3+++=his
fancy ^nn++++=fancy.
. ^zz++++=EXTRAWORD
Chapter ^nn++++=CHAPTER
Iii ^np+++??+=III
My ^pp$+pp1+++=My
Uncle ^nn++++=Uncle
Watson ^np++++=Watson
Visits ^nns++++=Visits
Wauling ^np+nom++??+=Wauling
So ^rb++++=So
the ^ati++++=the
poor ^jj+atrb+++=poor
lady ^nn++++=lady
was ^vbd+bedz+aux++=was
buried ^vpsv++agls+xvbnx+=buried
decently ^rb+cnj+++=decently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Captain ^nn++++=Captain
Walshawe ^np+++??+=Walshawe
reigned ^vbd+++xvbn+=reigned
alone ^rb++++=alone
for ^in++++=for
many ^ap++++=many
years ^nns++++=years
at ^in++++=at
Wauling ^np+nom++??+=Wauling.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
too ^ql++++=too
shrewd ^jj++++=shrewd
and ^cc++++=and
too ^ql++++=too
experienced ^vpsv++by+xvbn+=experienced
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
to ^to++++=to
run ^vbi++++=run
violently ^rb++++=violently
down ^in++++=down
the ^ati++++=the
steep ^jj+atrb+++=steep
hill ^nn++++=hill
that ^tht+rel+subj++=that
leads ^vbz++++=leads
to ^to++++=to
ruin ^vbi++++=ruin.
. ^zz++++=EXTRAWORD
So ^ql++++=So
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
method ^nn++++=method
in ^in++++=in
his ^pp$+pp3+++=his
madness ^nns+nom+++=madness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
a ^at++++=a
widowed ^jj+atrb++xvbn+=widowed
career ^nn++++=career
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
forty ^cd++++=forty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
died ^j+++xvbn+=died
at ^rb++++=at
last ^rb"++++=last
with ^in++++=with
some ^dti++++=some
guineas ^nns++++=guineas
in ^in++++=in
his ^pp$+pp3+++=his
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty
years ^nns++++=years
and ^cc++++=and
upwards ^rb++++=upwards
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
edax ^nn+++??+=edax
rerum ^nn+++??+=rerum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
chemical ^jj+atrb+++=chemical
power ^nn++++=power.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
acted ^vbd+++xvbn+=acted
forcibly ^rb++++=forcibly
upon ^in++++=upon
the ^ati++++=the
gay ^jj+atrb+++=gay
Captain ^npt++++=Captain
Walshawe ^np+++??+=Walshawe.
. ^zz++++=EXTRAWORD
Gout ^np+++??+=Gout
supervened ^vbd+++xvbn+=supervened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
conducive ^jj++++=conducive
to ^in++++=to
temper ^nn++++=temper
than ^in++++=than
to ^in++++=to
enjoyment ^nn+nom+++=enjoyment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
elegant ^jj+atrb+++=elegant
hands ^nns++++=hands
lumpy ^jj++++=lumpy
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
small ^jj+atrb+++=small
joints ^nns++++=joints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
them ^pp3o+pp3+++=them
slowly ^rb++++=slowly
into ^in++++=into
crippled ^xvbn+++xvbn+=crippled
claws ^nns++++=claws.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grew ^vbd+++xvbnx+=grew
stout ^jj++++=stout
when ^wrb+who+++=when
his ^pp$+pp3+++=his
exercise ^nn++++=exercise
was ^vbd+bedz+aux++=was
interfered ^vpsv++agls+xvbnx+=interfered
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ultimately ^rb++++=ultimately
almost ^rb+hdg+++=almost
corpulent ^jj++++=corpulent.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
suffered ^vbd+++xvbnx+=suffered
from ^in++++=from
what ^wdt+who+++=what
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Holloway ^np++++=Holloway
calls ^vbz++++=calls
" ^zz++++="bad
bad ^jj+atrb+++=EXTRAWORD
legs ^nns++++=legs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+aux++=was
wheeled ^vpsv++agls+xvbnx+=wheeled
about ^in++++=about
in ^in++++=in
a ^at++++=a
great ^jj++++=great
leathern ^jj+++xvbn+=leathern-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
infirmities ^nns+nom+++=infirmities
went ^vbd+++xvbn+=went
on ^in++++=on
accumulating ^nn++++=accumulating
with ^in++++=with
his ^pp$+pp3+++=his
years ^nns++++=years.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sorry ^jj++++=sorry
to ^to+jcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
heard ^vprf+++xvbn+=heard
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
repented ^vbd+++xvbnx+=repented,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
seriously ^rb++++=seriously
to ^in++++=to
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
talk ^nn++++=talk
grew ^vbd+++xvbn+=grew
fouler ^jjr++++=fouler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
fun ^nn++++=fun
ran ^vbd+++xvbn+=ran
upon ^in++++=upon
his ^pp$+pp3+++=his
favourite ^jjb+atrb+++=favourite
sins ^nns++++=sins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
temper ^nn++++=temper
waxed ^vbd+++xvbn+=waxed
more ^rbr++++=more
truculent ^jj++++=truculent.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
sink ^vb++++=sink
into ^in++++=into
dotage ^nn++++=dotage.
. ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
his ^pp$+pp3+++=his
bodily ^jj+atrb+++=bodily
infirmities ^nns+nom+++=infirmities,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
energies ^nns++++=energies
and ^cc++++=and
his ^pp$+pp3+++=his
malignities ^nns+nom+++=malignities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
many ^ap++++=many
and ^cc++++=and
active ^jj++++=active,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
marvellously ^rb++++=marvellously
little ^ap++++=little
abated ^vpsv++by+xvbn+=abated
by ^in++++=by
time ^nn++++=time.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
close ^nn++++=close.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
temper ^nn++++=temper
was ^vbd+bedz+aux++=was
stirred ^vpsv++agls+xvbnx+=stirred,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cursed ^vbd+++xvbnx+=cursed
and ^cc+phrs+++=and
swore ^vbd+vpub++xvbn+=swore
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
decent ^jj+atrb+++=decent
people ^nns++++=people
tremble ^vb++++=tremble.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
word ^nn++++=word
and ^cc++++=and
a ^at++++=a
blow ^nn++++=blow
with ^in++++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
luckily ^rb+cnj+++=luckily,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
very ^ql+amp+++=very
sure ^jj++++=sure
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
would ^md+prd+++=would
seize ^vb++++=seize
his ^pp$+pp3+++=his
crutch ^nn++++=crutch
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
swoop ^nn++++=swoop
or ^cc++++=or
a ^at++++=a
pound ^nn++++=pound
at ^rb++++=at
the ^ati++++=the
offender ^nn+nom+++=offender,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shy ^vb++++=shy
his ^pp$+pp3+++=his
medicine ^nn++++=medicine-bottle,
- ^zz++++=EXTRAWORD
bottle ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
his ^pp$+pp3+++=his
tumbler ^nn++++=tumbler,
, ^zz++++=EXTRAWORD
at ^in++++=at
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
peculiarity ^nn+nom+++=peculiarity
of ^in++++=of
Captain ^nn++++=Captain
Walshawe ^np+++??+=Walshawe,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
hated ^j+++xvbn+=hated
nearly ^rb+down+++=nearly
everybody ^pn++++=everybody.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Watson ^np++++=Watson,
, ^zz++++=EXTRAWORD
of ^in++++=of
Haddlestone ^np+++??+=Haddlestone,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
cousin ^nn++++=cousin
to ^in++++=to
the ^ati++++=the
Captain ^nn++++=Captain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
heir ^nn++++=heir-at-law.
- ^zz++++=EXTRAWORD
at ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
lent ^vprf+++xvbnx+=lent
him ^pp3o+pp3+++=him
money ^nn++++=money
on ^in++++=on
mortgage ^nn+nom+++=mortgage
of ^in++++=of
his ^pp$+pp3+++=his
estates ^nns+nom+++=estates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
treaty ^nn++++=treaty
to ^to++++=to
sell ^vbi++++=sell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terms ^nns++++=terms
and ^cc++++=and
a ^at++++=a
price ^nn++++=price
were ^vbd+bed+aux++=were
agreed ^vpsv++agls+xvbnx+=agreed
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
in ^in++++=in
" ^zz++++="articles"
articles ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
the ^ati++++=the
lawyers ^nns+nom+++=lawyers
said ^vbd+vpub++xvbn+=said
were ^vbd+bed+vrb++=were
still ^rb++++=still
in ^in++++=in
force ^nn++++=force.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
the ^ati++++=the
ill ^jj++++=ill-conditioned
- ^zz++++=EXTRAWORD
conditioned ^vbd+++xvbn+=EXTRAWORD
Captain ^npt++++=Captain
bore ^vbd+++xvbn+=bore
him ^pp3o+pp3+++=him
a ^at++++=a
grudge ^nn++++=grudge
for ^in++++=for
being ^xvbg+++xvbg+=being
richer ^jjr++++=richer
than ^in++++=than
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
have ^vb+hv+aux++=have
liked ^vprf+++xvbnx+=liked
to ^to+vcmp+++=to
do ^vbi++++=do
him ^pp3o+pp3+++=him
an ^at++++=an
ill ^jj+atrb+++=ill
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
lie ^vb++++=lie
in ^in++++=in
his ^pp$+pp3+++=his
way ^nn++++=way;
; ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle
Watson ^np++++=Watson
was ^vbd+bedz+vrb++=was
a ^at++++=a
Methodist ^jj++++=Methodist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
call ^vb++++=call
a ^at++++=a
" ^zz++++="classleader";
classleader ^jjr++++=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
whole ^nn++++=whole,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
near ^in+pl+++=near
fifty ^cd++++=fifty--grave,
-- ^--+clp+++=EXTRAWORD
grave ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
beseemed ^vbd+seem++xvbn+=beseemed
his ^pp$+pp3+++=his
profession ^nn++++=profession--somewhat
-- ^--+clp+++=EXTRAWORD
somewhat ^rb+down+++=EXTRAWORD
dry ^jj++++=dry--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
a ^at++++=a
just ^rb+emph+++=just
man ^nn++++=man.
. ^zz++++=EXTRAWORD
A ^at++++=A
letter ^nn++++=letter
from ^in++++=from
the ^ati++++=the
Penlynden ^np+++??+=Penlynden
doctor ^nn++++=doctor
reached ^vbd+++xvbn+=reached
him ^pp3o+pp3+++=him
at ^in++++=at
Haddlestone ^np+++??+=Haddlestone,
, ^zz++++=EXTRAWORD
announcing ^vbg+++xvbg+=announcing
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
wicked ^jj+atrb+++=wicked
old ^jj+atrb+++=old
Captain ^nn++++=Captain;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suggesting ^vbg+vpub++xvbg+=suggesting
his ^pp$+pp3+++=his
attendance ^nn+nom+++=attendance
at ^in++++=at
the ^ati++++=the
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
expediency ^nn++++=expediency
of ^in++++=of
his ^pp$+pp3+++=his
being ^vbg+beg++xvbg+=being
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
things ^nns++++=things
at ^in++++=at
Wauling ^np+nom++??+=Wauling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reasonableness ^nns+nom+++=reasonableness
of ^in++++=of
this ^dt+dem+++=this
striking ^jj+++xvbg+=striking
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
journey ^nn++++=journey
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
house ^nn++++=house
in ^in++++=in
Lancashire ^np++++=Lancashire
incontinently ^rb+cnj+++=incontinently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reached ^vbd+++xvbn+=reached
it ^pp3+it+++=it
in ^in++++=in
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
funeral ^nn++++=funeral.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
traditions ^nns+nom+++=traditions
of ^in++++=of
the ^ati++++=the
Captain ^nn++++=Captain
were ^vbd+bed+aux++=were
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
remembered ^vbd+vprv++xvbn+=remembered
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
slim ^jj+atrb+++=slim,
, ^zz++++=EXTRAWORD
handsome ^jj+atrb+++=handsome
youth ^nn++++=youth--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
shorts ^nns++++=shorts,
, ^zz++++=EXTRAWORD
cocked ^j+++xvbn+=cocked-hat
- ^zz++++=EXTRAWORD
hat ^nn++++=EXTRAWORD
and ^cc++++=and
lace ^nn++++=lace,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
amazed ^vpsv++agls+xvbnx+=amazed
at ^in++++=at
the ^ati++++=the
bulk ^nn++++=bulk
of ^in++++=of
the ^ati++++=the
coffin ^nn++++=coffin
which ^whp+rel+subj++=which
contained ^vbd+++xvbn+=contained
his ^pp$+pp3+++=his
mortal ^nn++++=mortal
remains ^nns++++=remains;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
lid ^nn++++=lid
being ^vwbg+beg++xvbg+=being
already ^rb++++=already
screwed ^jj+++xvbn+=screwed
down ^rp++++=down,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
bloated ^jj+atrb++xvbn+=bloated
old ^jj+atrb+++=old
sinner ^nn++++=sinner.
. ^zz++++=EXTRAWORD
Chapter ^nn++++=CHAPTER
Iv ^np+++??+=IV
In ^in++++=In
the ^ati++++=the
Parlour ^nn++++=Parlour
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
relate ^vb++++=relate,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
from ^in++++=from
the ^ati++++=the
lips ^nns++++=lips
of ^in++++=of
my ^pp$+pp1+++=my
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
truthful ^jj+atrb+++=truthful
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
prone ^jj++++=prone
to ^to+jcmp+++=to
fancies ^vb++++=fancies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
turning ^vwbg+++xvbg+=turning
out ^rp+pl+++=out
awfully ^ql++++=awfully
rainy ^jj++++=rainy
and ^cc+phrs+++=and
tempestuous ^jj++++=tempestuous,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
persuaded ^vbd+vsua++xvbnx+=persuaded
the ^ati++++=the
doctor ^nn++++=doctor
and ^cc++++=and
the ^ati++++=the
attorney ^nn++++=attorney
to ^to++++=to
remain ^vbi++++=remain
for ^in++++=for
the ^ati++++=the
night ^nn++++=night
at ^in++++=at
Wauling ^np+nom++??+=Wauling.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
no ^at++++=no
will ^md+prd+++=will--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
attorney ^nn++++=attorney
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
of ^in++++=of
that ^dt+pdem+++=that;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Captain ^np++++=Captain's
's ^$++++=EXTRAWORD
enmities ^nns+nom+++=enmities
were ^vbd+bed+aux++=were
perpetually ^rb++splt++=perpetually
shifting ^vbg+++xvbgx+=shifting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++splt++=never
quite ^rb++++=quite
make ^vb++++=make
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
how ^wrb+who+++=how
best ^jjt++++=best
to ^to+jcmp+++=to
give ^vbi++++=give
effect ^nn++++=effect
to ^in++++=to
a ^at++++=a
malignity ^nn+nom+++=malignity
whose ^whp+rel+obj++=whose
direction ^nn+nom+++=direction
was ^vbd+bedz+vrb++=was
constantly ^rb++++=constantly
being ^xvbg+++xvbg+=being
modified ^xvbn+++xvbn+=modified.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
instructions ^nns+nom+++=instructions
for ^in++++=for
drawing ^xvbg+++xvbg+=drawing
a ^at++++=a
will ^md+prd+++=will
a ^at++++=a
dozen ^cd++++=dozen
times ^nns++++=times
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
process ^nns+nom+++=process
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+aux+xvbnx+=been
arrested ^vpsv++by+xvbnx+=arrested
by ^in++++=by
the ^ati++++=the
intending ^jj+atrb++xvbg+=intending
testator ^nn++++=testator.
. ^zz++++=EXTRAWORD
Search ^nn++++=Search
being ^xvbg+++xvbg+=being
made ^vwbn+++xvbn+=made,
, ^zz++++=EXTRAWORD
no ^at++++=no
will ^md+prd+++=will
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
The ^ati++++=The
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
important ^jj+atrb+++=important
exception ^nn+nom+++=exception:
: ^zz++++=EXTRAWORD
the ^ati++++=the
leases ^nns++++=leases
were ^vbd+bed+vrb++=were
nowhere ^rb+pl+++=nowhere
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
special ^jj+atrb+++=special
circumstances ^nns+nom+++=circumstances
connected ^vbd+++xvbn+=connected
with ^in++++=with
several ^ap++++=several
of ^in++++=of
the ^ati++++=the
principal ^jjb+atrb+++=principal
tenancies ^nns++++=tenancies
on ^in++++=on
the ^ati++++=the
estate ^nn++++=estate--unnecessary
-- ^--+clp+++=EXTRAWORD
unnecessary ^jj++++=EXTRAWORD
here ^rn+pl+++=here
to ^in++++=to
detail ^nn++++=detail--which
-- ^--+clp+++=EXTRAWORD
which ^whp+who+++=EXTRAWORD
rendered ^vbd+++xvbn+=rendered
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
these ^dt+dem+++=these
documents ^nns+nom+++=documents
one ^pn++++=one
of ^in++++=of
very ^ql+amp+++=very
serious ^jj+atrb+++=serious
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
of ^in++++=of
very ^ql+amp+++=very
obvious ^jj+atrb+++=obvious
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
searched ^j+++xvbn+=searched
strenuously ^jj++++=strenuously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
attorney ^nn++++=attorney
was ^vbd+bedz+vrb++=was
at ^in++++=at
his ^pp$+pp3+++=his
elbow ^nn++++=elbow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctor ^nn++++=doctor
helped ^vbd+++xvbn+=helped
with ^in++++=with
a ^at++++=a
suggestion ^nn+nom+++=suggestion
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^nn++++=old
serving ^vwbg+++xvbg+=serving-man
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
an ^at++++=an
honest ^jj+atrb+++=honest
deaf ^jj+atrb+++=deaf
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
really ^rb+emph+++=really
knew ^vbd+vprv++xvbn+=knew
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle
Watson ^np++++=Watson
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
much ^ap++++=much
perturbed ^jj+++xvbn+=perturbed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fancied ^vbd+++xvbnx+=fancied--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
this ^dt+pdem+++=this
possibly ^rb++++=possibly
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
fancy ^nn++++=fancy--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
detected ^vprf+++xvbnx+=detected
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
a ^at++++=a
queer ^jj+atrb+++=queer
look ^nn++++=look
in ^in++++=in
the ^ati++++=the
attorney ^nn++++=attorney's
's ^$++++=EXTRAWORD
face ^nn++++=face;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
that ^dt+dem+++=that
instant ^nn+nom+++=instant
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
fixed ^vbd+++xvbn+=fixed
in ^in++++=in
his ^pp$+pp3+++=his
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
leases ^nns++++=leases.
. ^zz++++=EXTRAWORD
