Colonel ^npt++++=Colonel
Blackfish ^np+++??+=Blackfish,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
said ^vbd+vpub++xvbn+=said
sternly ^rb++++=sternly
to ^in++++=to
Kenton ^np+++??+=Kenton
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
stealing ^nvbg+++xvbg+=stealing
horses ^nns++++=horses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
Captain ^npt++++=Captain
Boone ^np++++=Boone
tell ^vb++++=tell
you ^pp2+pp2+++=you
to ^to++++=to
steal ^vbi++++=steal
our ^pp$+pp1+++=our
horses ^nns++++=horses?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
on ^in++++=on
my ^pp$+pp1+++=my
own ^ap++++=own
accord ^nn++++=accord."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blackfish ^np+++??+=Blackfish
then ^rn+tm+++=then
lashed ^vbd+++xvbn+=lashed
him ^pp3o+pp3+++=him
over ^in++++=over
the ^ati++++=the
naked ^jj++++=naked
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
hickory ^nn++++=hickory
switch ^nn++++=switch
till ^cs+sub+++=till
the ^ati++++=the
blood ^nn++++=blood
ran ^vbd+++xvbn+=ran,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
blows ^nns++++=blows
and ^cc++++=and
taunts ^nns++++=taunts
from ^in++++=from
all ^abn++++=all
sides ^nns++++=sides
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
marched ^vpsv++agls+xvbnx+=marched
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Indians ^nn++++=Indians
could ^md+pos+++=could
not ^xnot++not++=not
wait ^vb++++=wait
for ^in++++=for
his ^pp$+pp3+++=his
arrival ^nn++++=arrival.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
came ^vbd+++xvbnx+=came
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children,
, ^zz++++=EXTRAWORD
to ^to++++=to
meet ^vbi++++=meet
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
with ^in++++=with
whoops ^nns+++??+=whoops
and ^cc++++=and
yells ^nns+++??+=yells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
his ^pp$+pp3+++=his
captors ^nns++++=captors
fasten ^vb++++=fasten
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
stake ^nn++++=stake,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
fell ^vbd+++xvbnx+=fell
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tore ^vpsv++agls+xvbn+=tore
off ^rb+phrv+++=off
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
of ^in++++=of
his ^pp$+pp3+++=his
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
amused ^vbd+++xvbn+=amused
themselves ^ppls+pp3+++=themselves
till ^in++++=till
midnight ^nn++++=midnight
by ^in++++=by
dancing ^xvbg+++xvbg+=dancing
and ^cc++++=and
screaming ^xvbg+++xvbg+=screaming
round ^rp++++=round
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beating ^jj+++xvbg+=beating
him ^pp3o+pp3+++=him
with ^in++++=with
rods ^nns++++=rods
and ^cc++++=and
their ^pp$+pp3+++=their
open ^jj+atrb+++=open
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
ordered ^vpsv++agls+xvbnx+=ordered
to ^to+vcmp+++=to
run ^vbi++++=run
the ^ati++++=the
gantlet ^nn+nom+++=gantlet,
, ^zz++++=EXTRAWORD
through ^in++++=through
two ^cd++++=two
rows ^nns++++=rows
of ^in++++=of
Indians ^nn++++=Indians
of ^in++++=of
all ^abn++++=all
ages ^nns++++=ages
and ^cc++++=and
sexes ^nns++++=sexes,
, ^zz++++=EXTRAWORD
armed ^j+++xvbn+=armed
with ^in++++=with
knives ^nns++++=knives,
, ^zz++++=EXTRAWORD
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
switches ^nns+++??+=switches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hoe ^vb++++=hoe
handles ^nns++++=handles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ready ^jj++++=ready
to ^to+jcmp+++=to
cut ^vbi++++=cut,
, ^zz++++=EXTRAWORD
strike ^nn++++=strike,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stab ^nn++++=stab
at ^in++++=at
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
dashed ^vbd+++xvbnx+=dashed
by ^in++++=by
them ^pp3o+pp3+++=them
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
council ^nn++++=council
house ^nn++++=house,
, ^zz++++=EXTRAWORD
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
from ^in++++=from
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
starting ^xvbg+++xvbg+=starting.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Kenton ^np+++??+=Kenton
was ^vbd+bedz+vrb++=was
too ^ql++++=too
wary ^jj++++=wary
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
risks ^nns++++=risks
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
suddenly ^rb++++=suddenly
started ^vbd+++xvbn+=started
aside ^rp++++=aside
from ^in++++=from
the ^ati++++=the
lines ^nns++++=lines;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
doubled ^vbd+++xvbn+=doubled
in ^in++++=in
his ^pp$+pp3+++=his
course ^nn++++=course,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
reach ^vbi++++=reach
the ^ati++++=the
council ^nn++++=council
house ^npl++++=house
unhurt ^nn+++??+=unhurt
except ^in++++=except
for ^in"++++=for
the ^ati++++=the
blows ^nns++++=blows
of ^in++++=of
two ^cd++++=two
Indians ^nn++++=Indians
who ^whp+rel+subj++=who
threw ^vbd+++xvbn+=threw
themselves ^ppls+pp3+++=themselves
between ^in++++=between
him ^pp3o+pp3+++=him
and ^cc++++=and
its ^pp$+it+++=its
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
a ^at++++=a
council ^nn++++=council
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
sentenced ^vpsv++agls+xvbnx+=sentenced
to ^to++++=to
be ^vbi+vbi+aux++=be
burnt ^vpsv++agls+xvbnx+=burnt
at ^rb++++=at
the ^ati++++=the
stake ^nn++++=stake,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sentence ^nn+nom+++=sentence
was ^vbd+bedz+aux++=was
ordered ^vpsv++agls+xvbnx+=ordered
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Wapatimika ^np+++??+=Wapatimika
on ^in++++=on
Mad ^jj+atrb+++=Mad
River ^nn++++=River.
. ^zz++++=EXTRAWORD
A ^at++++=A
white ^jj+atrb+++=white
renegade ^nn+++??+=renegade
among ^in++++=among
the ^ati++++=the
Indians ^nn++++=Indians
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
of ^in++++=of
his ^pp$+pp3+++=his
fate ^nn++++=fate
with ^in++++=with
a ^at++++=a
curse ^nn++++=curse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Kenton ^np+++??+=Kenton
resolved ^vwbn+vsua++xvbn+=resolved
that ^tht+vcmp+++=that
rather ^rb++++=rather
than ^in++++=than
meet ^vb++++=meet
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
would ^md+prd+++=would
die ^vb++++=die
in ^in++++=in
the ^ati++++=the
attempt ^nn++++=attempt
to ^to+ncmp+++=to
escape ^vbi++++=escape.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
Wapatimika ^np+++??+=Wapatimika
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
his ^pp$+pp3+++=his
guard ^nn++++=guard
the ^ati++++=the
slip ^nn++++=slip
and ^cc++++=and
dashed ^vpsv++agls+xvbn+=dashed
into ^in++++=into
the ^ati++++=the
woods ^nns++++=woods;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
pursuers ^nns+nom+++=pursuers
far ^rb+pl+++=far
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
into ^in+ppvb+++=into
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
another ^dt++++=another
party ^nn++++=party
of ^in++++=of
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
seized ^vbd+++xvbn+=seized
him ^pp3o+pp3+++=him
and ^cc++++=and
drove ^vbd+++xvbn+=drove
him ^pp3o+pp3+++=him
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
council ^nn++++=council
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
held ^vpsv++agls+xvbnx+=held,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
Kenton ^np+++??+=Kenton
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
the ^ati++++=the
gantlet ^nn+nom+++=gantlet
a ^at++++=a
second ^od++++=second
time ^nn++++=time
and ^cc++++=and
been ^vprf+ben+vrb+xvbn+=been
severely ^rb++++=severely
hurt ^nn+++xvbn+=hurt,
, ^zz++++=EXTRAWORD
the ^ati++++=the
warriors ^nns++++=warriors
once ^rb+tm+++=once
more ^rbr++++=more
gathered ^vbd+++xvbn+=gathered
in ^in++++=in
the ^ati++++=the
council ^nn++++=council
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
in ^in++++=in
a ^at++++=a
circle ^nn++++=circle
voted ^vbd+++xvbn+=voted
his ^pp$+pp3+++=his
death ^nn++++=death
by ^in++++=by
striking ^xvbg+++xvbg+=striking
the ^ati++++=the
earth ^nn++++=earth
with ^in++++=with
a ^at++++=a
war ^nn++++=war
club ^nn++++=club,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
passing ^xvbg+++xvbg+=passing
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
next ^ap++++=next
if ^cs+cnd+++=if
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
mercy ^vb++++=mercy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
before ^in++++=before
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
supposed ^vbd+vprv++xvbnx+=supposed,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
told ^vpsv++agls+xvbnx+=told
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
to ^to++++=to
die ^vbi++++=die,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
blanket ^nn++++=blanket
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
sit ^vbi++++=sit
upon ^in++++=upon
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Simon ^np++++=Simon
Girty ^np+++??+=Girty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
renegade ^nn+++??+=renegade,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
cruder ^jjr+pred+++=cruder
to ^in++++=to
the ^ati++++=the
whites ^nns++++=whites
than ^in++++=than
the ^ati++++=the
Indians ^nn++++=Indians
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
harshly ^rb++++=harshly
to ^in++++=to
question ^nn+nom+++=question
him ^pp3o+pp3+++=him
about ^in++++=about
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
men ^nns++++=men
in ^in++++=in
Kentucky ^np+++??+=Kentucky.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
words ^nns++++=words
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Girty ^np+++??+=Girty
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
your ^pp$+pp2+++=your
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Simon
simon ^np++++=EXTRAWORD
Butler ^np++++=Butler,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kenton ^np+++??+=Kenton,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Girty ^np+++??+=Girty
jumped ^vbd+++xvbn+=jumped
from ^in++++=from
his ^pp$+pp3+++=his
seat ^nn++++=seat
and ^cc++++=and
threw ^vbd+++xvbn+=threw
his ^pp$+pp3+++=his
arms ^nns++++=arms
around ^in++++=around
Kenton ^np++++=Kenton's
's ^$++++=EXTRAWORD
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
scouts ^nns+++??+=scouts
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
English ^jj+atrb+++=English
service ^nn++++=service,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
Revolution ^nn+nom+++=Revolution
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
very ^ql+amp+++=very
warm ^vb++++=warm
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
Girty ^np+++??+=Girty
set ^vbd+++xvbn+=set
himself ^ppl+pp3+++=himself
to ^to++++=to
save ^vbi++++=save
Kenton ^np++++=Kenton's
's ^$++++=EXTRAWORD
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pleaded ^vbd+vpub++xvbnx+=pleaded
so ^ql++++=so
strongly ^rb+amp+++=strongly
in ^in++++=in
his ^pp$+pp3+++=his
favor ^nn++++=favor
that ^tht+rel+obj++=that
the ^ati++++=the
council ^nn++++=council
at ^rb++++=at
last ^rb"++++=last
voted ^vbd+++xvbn+=voted
to ^to++++=to
spare ^vbi++++=spare
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
being ^vwbg+beg++xvbg+=being.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
weeks ^nns++++=weeks
of ^in++++=of
happiness ^nns+nom+++=happiness
for ^in++++=for
Kenton ^np+++??+=Kenton
followed ^vbd+vprv++xvbn+=followed
in ^in++++=in
the ^ati++++=the
society ^nn++++=society
of ^in++++=of
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
clothed ^vbd+++xvbn+=clothed
him ^pp3o+pp3+++=him
at ^in++++=at
his ^pp$+pp3+++=his
own ^ap++++=own
cost ^nn++++=cost
from ^in++++=from
the ^ati++++=the
stores ^nns++++=stores
of ^in++++=of
an ^at++++=an
English ^jj+atrb+++=English
trader ^nn++++=trader
in ^in++++=in
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
to ^to++++=to
live ^vbi++++=live
with ^in+ppvb+++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
the ^ati++++=the
Indians ^nn++++=Indians
had ^vbd+hvd+aux++=had
continued ^vprf+++xvbnx+=continued
to ^to++++=to
treat ^vbi++++=treat
him ^pp3o+pp3+++=him
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
Kenton ^np+++??+=Kenton
might ^md+pos+++=might
perhaps ^rb++++=perhaps
have ^vb+hv+aux++=have
cast ^vprf+++xvbnx+=cast
his ^pp$+pp3+++=his
lot ^nn++++=lot
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
hope ^vb++++=hope
to ^to+vcmp+++=to
go ^vbi++++=go
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
people ^nns++++=people,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
crime ^nn++++=crime
of ^in++++=of
murder ^nn++++=murder,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
supposed ^vbd+vprv++xvbnx+=supposed,
, ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=hanging
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
close ^jj+atrb+++=close
ties ^nns++++=ties
binding ^jj++++=binding
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
whites ^nns++++=whites
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
these ^dt+dem+++=these
days ^nns++++=days
of ^in++++=of
respite ^nn++++=respite,
, ^zz++++=EXTRAWORD
a ^at++++=a
war ^nn++++=war
party ^nn++++=party
came ^vbd+++xvbn+=came
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
Virginian ^np+++??+=Virginian
border ^nn++++=border,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
defeated ^vpsv++agls+xvbnx+=defeated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
white ^jj+atrb+++=white
man ^nn++++=man
who ^whp+rel+subj++=who
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
their ^pp$+pp3+++=their
power ^nn++++=power
must ^md+nec+++=must
pay ^vb++++=pay,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
Indian ^jj+atrb+++=Indian
law ^nn++++=law,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
warrior ^nn++++=warrior
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leaders ^nns+nom+++=leaders
of ^in++++=of
this ^dt+dem+++=this
party ^nn++++=party
found ^vbd+vprv++xvbn+=found
Kenton ^np+++??+=Kenton
walking ^vwbg+++xvbg+=walking
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
with ^in++++=with
Girty ^np+++??+=Girty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him
with ^in++++=with
scowls ^nns++++=scowls
of ^in++++=of
hate ^nn++++=hate,
, ^zz++++=EXTRAWORD
refusing ^vbg+++xvbg+=refusing
his ^pp$+pp3+++=his
hand ^nn++++=hand
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
offered ^vbd+++xvbnx+=offered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rage ^nn++++=rage
of ^in++++=of
the ^ati++++=the
savages ^nns+nom+++=savages
against ^in++++=against
him ^pp3o+pp3+++=him
broke ^vbd+++xvbn+=broke
out ^rp+pl+++=out
afresh ^rb++++=afresh.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
caught ^vbd+++xvbn+=caught
an ^at++++=an
ax ^nn+++??+=ax
from ^in++++=from
his ^pp$+pp3+++=his
squaw ^nn+++??+=squaw
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
chopping ^vbg+++xvbgx+=chopping
wood ^npl++++=wood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
Kenton ^np+++??+=Kenton
passed ^vbd+++xvbn+=passed
him ^pp3o+pp3+++=him
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
into ^in++++=into
the ^ati++++=the
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
dealt ^j+++xvbn+=dealt
him ^pp3o+pp3+++=him
a ^at++++=a
blow ^nn++++=blow
that ^tht+rel+subj++=that
cut ^vb+++xvbn+=cut
deep ^jj++++=deep
into ^in++++=into
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
third ^nn++++=third
time ^nn++++=time
a ^at++++=a
council ^nn++++=council
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
third ^nn++++=third
time ^nn++++=time
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
doomed ^jj++agls+xvbnx+=doomed
to ^to+jcmp+++=to
die ^vbi++++=die
by ^in++++=by
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
that ^cs+sub+++=that
Girty ^np+++??+=Girty
could ^md+pos+++=could
say ^vb+vpub+++=say
availed ^jj+++xvbn+=availed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
to ^to++++=to
tell ^vbi++++=tell
his ^pp$+pp3+++=his
friend ^nn++++=friend
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Kenton ^np++++=Kenton's
's ^$++++=EXTRAWORD
sentence ^nn+nom+++=sentence
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
now ^rn+tm+splt++=now
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
at ^in++++=at
Sandusky ^np+++??+=Sandusky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
five ^cd++++=five
Indian ^jj+atrb+++=Indian
guards ^nns++++=guards
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
that ^dt+dem+++=that
point ^nn++++=point.
. ^zz++++=EXTRAWORD
On ^in++++=On
their ^pp$+pp3+++=their
way ^nn++++=way
they ^pp3a+pp3+++=they
stopped ^vbd+++xvbnx+=stopped
at ^rb++++=at
a ^at++++=a
town ^nn++++=town
on ^in++++=on
the ^ati++++=the
waters ^nns++++=waters
of ^in++++=of
the ^ati++++=the
Scioto ^np+++??+=Scioto,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
captive ^nn++++=captive
found ^vbd+vprv++xvbn+=found
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
chief ^nn++++=chief
of ^in++++=of
noble ^jj++++=noble
and ^cc++++=and
kindly ^rb++++=kindly
face ^nn++++=face,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^in++++=in
excellent ^jj+atrb+++=excellent
English ^nn++++=English,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
young ^jj+atrb+++=young
men ^nns++++=men
seem ^vb+seem+++=seem
very ^ql+amp+++=very
mad ^jj++++=mad
at ^in++++=at
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kenton ^np+++??+=Kenton
had ^vb+hv+vrb++=had
to ^in++++=to
own ^ap++++=own
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
Indian ^nn++++=Indian
