Her ^pp$+pp3+++=Her
helplessly ^rb++++=helplessly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Death ^nn++++=Death
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
to ^in++++=to
her ^pp$+pp3+++=her
through ^in++++=through
the ^ati++++=the
silent ^nn++++=silent
deserted ^vbd+++xvbn+=deserted
house ^npl++++=house;
; ^zz++++=EXTRAWORD
knew ^vb+++xvbn+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sensitive ^jj+atrb+++=sensitive
ear ^nn++++=ear
of ^in++++=of
her ^pp$+pp3+++=her
intelligence ^nn+nom+++=intelligence
that ^tht+rel+subj++=that
heard ^vprf+++xvbn+=heard
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
coarse ^jj++++=coarse-grained
- ^zz++++=EXTRAWORD
grained ^jj+atrb+++=EXTRAWORD
ear ^nn++++=ear
of ^in++++=of
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
toiled ^vbd+++xvbnx+=toiled
up ^rp++++=up
the ^ati++++=the
stair ^nn++++=stair
painfully ^rb+cnj+++=painfully,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
old ^jj+pred+++=old
and ^cc+phrs+++=and
tired ^jj+++xvbn+=tired
with ^in++++=with
much ^rb++++=much.
. ^zz++++=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
how ^wrb+who+whq++=how
could ^md+pos+++=could
he ^pp3a+pp3+++=he
afford ^vb++++=afford
to ^in+vcmp+++=to
loiter ^jjr++++=loiter,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
work ^nn++++=work
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do?
? ^zz++++=EXTRAWORD
Every ^at++++=Every
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
every ^at++++=every
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+vrb++=be
in ^in++++=in
demand ^nn++++=demand
to ^in++++=to
hook ^nn++++=hook
his ^pp$+pp3+++=his
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
hard ^jj+atrb+++=hard
finger ^nn++++=finger
about ^in++++=about
a ^at++++=a
soul ^nn++++=soul
struggling ^vb+nom++xvbg+=struggling
to ^to+vcmp+++=to
escape ^vbi++++=escape
from ^in++++=from
its ^pp$+it+++=its
putrefying ^jj+atrb++xvbg+=putrefying
tenement ^nn+nom+++=tenement.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
probably ^rb++++=probably
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
emissaries ^nns++++=emissaries,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
minions ^nns++++=minions:
: ^zz++++=EXTRAWORD
for ^in++++=for
only ^rb+down+++=only
those ^dt+dem+++=those
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
honor ^nn++++=honor
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
come ^vb++++=come
in ^in++++=in
person ^nn++++=person.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
first ^rb++++=first
landing ^nvbg+++xvbg+=landing
and ^cc++++=and
crept ^vpsv++agls+xvbn+=crept
like ^in++++=like
a ^at++++=a
cat ^nn++++=cat
down ^in++++=down
the ^ati++++=the
hall ^nn++++=hall
to ^in++++=to
the ^ati++++=the
next ^ap++++=next
stair ^nn++++=stair,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
crawled ^vprf+++xvbn+=crawled
slowly ^rb++++=slowly
up ^rp++++=up
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
Light ^jj++++=Light
as ^ql++++=as
the ^ati++++=the
footfalls ^nns++++=footfalls
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
squarely ^rb++splt++=squarely
planted ^vpsv++agls+xvbnx+=planted,
, ^zz++++=EXTRAWORD
unfaltering ^jj+++xvbg+=unfaltering;
; ^zz++++=EXTRAWORD
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
never ^rb++++=never
halted ^jj+++xvbn+=halted.
. ^zz++++=EXTRAWORD
Mechanically ^rb++++=Mechanically
she ^pp3a+pp3+++=she
pressed ^vbd+++xvbnx+=pressed
her ^pp3o+pp3+++=her
jerking ^jj+atrb++xvbg+=jerking
hand ^nn++++=hand
closer ^rbr++++=closer
against ^in++++=against
the ^ati++++=the
heart ^nn++++=heart;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
beats ^nns++++=beats
were ^vbd+bed+aux++=were
almost ^rb+hdg+splt++=almost
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
finish ^vb++++=finish,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
calculated ^vbd+vprv++xvbnx+=calculated,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
those ^dt+dem+++=those
footfalls ^nns++++=footfalls
paused ^vbd+++xvbn+=paused
beside ^in+pl+++=beside
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
an ^at++++=an
Intelligence ^nn+nom+++=Intelligence
and ^cc++++=and
an ^at++++=an
Ear ^nn++++=EAR.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
sound ^nn++++=sound
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
without ^in+strn+++=without,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
Elevated ^nn++++=Elevated
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
temporarily ^rb++++=temporarily
off ^in+pl+++=off
duty ^nn++++=duty;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
inside ^jjb++++=inside
the ^ati++++=the
big ^jj+atrb+++=big
quiet ^nn++++=quiet
house ^npl++++=house
that ^tht+rel+++=that
footfall ^nn++++=footfall
was ^vbd+bedz+aux++=was
waxing ^vbg+++xvbgx+=waxing
louder ^jjr++++=louder,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
iron ^nn++++=iron
feet ^nns++++=feet
crashed ^vbd+++xvbn+=crashed
on ^in++++=on
iron ^nn++++=iron
stairs ^nns++++=stairs
and ^cc++++=and
echo ^nn++++=echo
thundered ^vbd+++xvbn+=thundered.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
counted ^vprf+++xvbnx+=counted
the ^ati++++=the
steps ^nns++++=steps--one--two--three--irritated
-- ^--+clp+++=EXTRAWORD
one ^pn++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
two ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
three ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
irritate ^nn+nom+++=EXTRAWORD
beyond ^in++++=beyond
endurance ^nn+nom+++=endurance
at ^in++++=at
the ^ati++++=the
long ^jj+atrb+++=long
deliberate ^jj+atrb+++=deliberate
pauses ^nns+++??+=pauses
between ^in+strn+++=between.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
climbed ^vbd+++xvbnx+=climbed
and ^cc+phrs+++=and
clanged ^vbd+++xvbn+=clanged
with ^in++++=with
slow ^jj+atrb+++=slow
precision ^nn++++=precision
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued
to ^to++++=to
count ^vbi++++=count,
, ^zz++++=EXTRAWORD
audibly ^jj++++=audibly
and ^cc++++=and
with ^in++++=with
equal ^jj+atrb+++=equal
precision ^nn++++=precision,
, ^zz++++=EXTRAWORD
noting ^vbg+vprv+tht0+xvbg+=noting
their ^pp$+pp3+++=their
hollow ^jj+atrb+++=hollow
reverberation ^nn+nom+++=reverberation.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
steps ^nns++++=steps
had ^vb+hv+vrb++=had
the ^ati++++=the
stair ^nn++++=stair?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wished ^vbd+vprv+tht0+xvbnx+=wished
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
No ^at++++=No
need ^vb++++=need!
! ^zz++++=EXTRAWORD
The ^ati++++=The
colossal ^nn++++=colossal
trampling ^xvbg+++xvbg+=trampling
announced ^vbd+vpub++xvbn+=announced
the ^ati++++=the
lessening ^jj+atrb++xvbg+=lessening
distance ^nn+nom+++=distance
in ^in++++=in
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
volume ^nn++++=volume
of ^in++++=of
sound ^nn++++=sound
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
turned ^vbd+++xvbn+=turned
the ^ati++++=the
curve ^nn++++=curve;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
landing ^nvbg+++xvbg+=landing;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
advanced ^vbd+++xvbn+=advanced--slowly--down
-- ^--+clp+++=EXTRAWORD
slowly ^rb++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
down ^rp++++=EXTRAWORD
the ^ati++++=the
hall ^nn++++=hall;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
paused ^vbd+++xvbn+=paused
before ^in++++=before
her ^pp$+pp3+++=her
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
knuckles ^nns++++=knuckles
of ^in++++=of
iron ^nn++++=iron
shook ^vbd+++xvbn+=shook
the ^ati++++=the
frail ^jj+atrb+++=frail
panels ^nns++++=panels.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
nerveless ^jj+atrb+++=nerveless
tongue ^nn++++=tongue
gave ^vbd+++xvbn+=gave
no ^at++++=no
invitation ^nn+nom+++=invitation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
knocking ^nn++++=knocking
became ^vbd+++xvbn+=became
more ^rbr++++=more
imperious ^jj++++=imperious;
; ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
walls ^nns++++=walls
vibrated ^vbd+++xvbn+=vibrated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
handle ^nn++++=handle
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
swiftly ^rb++++=swiftly
and ^cc+phrs+++=and
firmly ^rb++++=firmly.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
wild ^jj+atrb+++=wild
instinctive ^jj+atrb+++=instinctive
movement ^nn+nom+++=movement
she ^pp3a+pp3+++=she
flung ^vbd+++xvbnx+=flung
herself ^ppl+pp3+++=herself
into ^in++++=into
the ^ati++++=the
arms ^nns++++=arms
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mary ^np++++=Mary
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
room ^nn++++=room
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
a ^at++++=a
dead ^jj+atrb+++=dead
woman ^nn++++=woman
lying ^vbg+++xvbg+=lying
across ^in+pl+++=across
a ^at++++=a
dead ^jj+atrb+++=dead
man ^nn++++=man.
. ^zz++++=EXTRAWORD
