( ^zz++++=(1855)In
; ^zz++++=EXTRAWORD
especially ^rb++++=especially
the ^ati++++=the
conspicuousfigures ^nns+++??+=conspicuousfigures
of ^in++++=of
four ^cd++++=four
elderly ^jj+atrb+++=elderly
grizzled ^jj+atrb+++=grizzled
negroes ^nns+++??+=negroes,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
heads ^nns++++=heads
like ^in++++=like
black,doddered ^vbd+++xvbn+=black,doddered
willow ^nn++++=willow
tops ^nns++++=tops,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
in ^in++++=in
venerable ^jj+atrb+++=venerable
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
tumult ^nn++++=tumult
belowthem ^nn+++??+=belowthem,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
couched ^vpsv++agls+xvbnx+=couched,
, ^zz++++=EXTRAWORD
sphynx ^nn+++??+=sphynx-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^pn++++=one
on ^in++++=on
the ^ati++++=the
starboard ^nn++++=starboard
cat ^nn++++=cat-head,
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anotheron ^nn+++??+=anotheron
the ^ati++++=the
larboard ^nn+++??+=larboard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
pair ^nn++++=pair
face ^nn++++=face
to ^to++++=to
face ^vbi++++=face
on ^in++++=on
the ^ati++++=the
oppositebulwarks ^nns+++??+=oppositebulwarks
above ^jjb++++=above
the ^ati++++=the
main ^jjb++++=main-chains.
- ^zz++++=EXTRAWORD
chains ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
each ^dt++++=each
had ^vb+hv+vrb++=had
bits ^nns++++=bits
of ^in++++=of
unstranded ^jj+atrb++xvbn+=unstranded
oldjunk ^nn+++??+=oldjunk
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
stoical ^jj+atrb+++=stoical
self ^nn++++=self-content,
- ^zz++++=EXTRAWORD
content ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
werepicking ^jj+++xvbg+=werepicking
the ^ati++++=the
junk ^nn++++=junk
into ^in++++=into
oakum ^nn+++??+=oakum,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
heap ^nn++++=heap
of ^in++++=of
which ^whp+rel+pied++=which
lay ^vpsv++by+xvbn+=lay
by ^in++++=by
their ^pp$+pp3+++=their
sides.they ^jj+++??+=sides.They
accompanied ^jj+++xvbn+=accompanied
the ^ati++++=the
task ^nn++++=task
with ^in++++=with
a ^at++++=a
continuous ^jj++++=continuous,
, ^zz++++=EXTRAWORD
low ^jj++++=low,
, ^zz++++=EXTRAWORD
monotonous ^jj++++=monotonous,
, ^zz++++=EXTRAWORD
chant;droning ^jj+++xvbg+=chant;droning
and ^cc+phrs+++=and
drilling ^jj+++xvbg+=drilling
away ^rp+pl+++=away
like ^in++++=like
so ^ql++++=so
many ^ap++++=many
gray ^np++++=gray-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
bag ^nn++++=bag-pipers
- ^zz++++=EXTRAWORD
pipers ^nns++++=EXTRAWORD
playing ^vwbg+++xvbg+=playing
afuneral ^jj+atrb+++=afuneral
march ^nr++++=march.
. ^zz++++=EXTRAWORD
The ^ati++++=The
quarter ^nn++++=quarter-deck
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
rose ^vbd+++xvbn+=rose
into ^in++++=into
an ^at++++=an
ample ^nn++++=ample
elevated ^vbd+++xvbn+=elevated
poop ^nn+++??+=poop,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
forwardverge ^nn+++??+=forwardverge
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
oakum ^nn+++??+=oakum-pickers,
- ^zz++++=EXTRAWORD
pickers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
some ^dti++++=some
eight ^cd++++=eight
feet ^nns++++=feet
abovethe ^nn+++??+=abovethe
general ^jj+atrb+++=general
throng ^nn++++=throng,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
along ^in++++=along
in ^in++++=in
a ^at++++=a
row ^nn++++=row,
, ^zz++++=EXTRAWORD
separated ^xvbn+++xvbn+=separated
by ^in++++=by
regular ^jj+atrb+++=regular
spaces ^nns++++=spaces,
, ^zz++++=EXTRAWORD
thecross ^nns+++??+=thecross-legged
- ^zz++++=EXTRAWORD
legged ^jj+atrb++xvbn+=EXTRAWORD
figures ^nns++++=figures
of ^in++++=of
six ^cd++++=six
other ^ap++++=other
blacks ^nns++++=blacks;
; ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
a ^at++++=a
rusty ^jj+atrb+++=rusty
hatchet ^nn++++=hatchet
inhis ^nns+++??+=inhis
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
brick ^nn++++=brick
and ^cc++++=and
a ^at++++=a
rag ^nn++++=rag,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
like ^in++++=like
ascullion ^nn+++??+=ascullion
in ^in++++=in
scouring ^xvbg+++xvbg+=scouring;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
between ^in++++=between
each ^dt++++=each
two ^cd++++=two
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
stack ^nn++++=stack
ofhatchets ^nns+++??+=ofhatchets,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
rusted ^jj+atrb++xvbn+=rusted
edges ^nns++++=edges
turned ^vbd+++xvbn+=turned
forward ^rb++++=forward
awaiting ^vbg+++xvbg+=awaiting
a ^at++++=a
like ^in++++=like
operation.though ^nn+++??+=operation.Though
occasionally ^rb++++=occasionally
the ^ati++++=the
four ^cd++++=four
oakum ^nn+++??+=oakum-pickers
- ^zz++++=EXTRAWORD
pickers ^nns+nom+++=EXTRAWORD
would ^md+prd+++=would
briefly ^rb++++=briefly
address ^nns+nom+++=address
someperson ^nn+++??+=someperson
or ^cc++++=or
persons ^nns++++=persons
in ^in++++=in
the ^ati++++=the
crowd ^nn++++=crowd
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
six ^cd++++=six
hatchet ^nn++++=hatchet-polishersneither
- ^zz++++=EXTRAWORD
polishersneither ^jjr++++=EXTRAWORD
spoke ^vbd+++xvbn+=spoke
to ^in++++=to
others ^aps++++=others,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
breathed ^vbd+++xvbn+=breathed
a ^at++++=a
whisper ^nn++++=whisper
among ^in++++=among
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
butsat ^nn+++??+=butsat
intent ^jj++++=intent
upon ^in++++=upon
their ^pp$+pp3+++=their
task ^nn++++=task,
, ^zz++++=EXTRAWORD
except ^in++++=except
at ^rb++++=at
intervals ^nns+nom+++=intervals,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
peculiarlove ^nn+++??+=peculiarlove
in ^in++++=in
negroes ^nns+++??+=negroes
of ^in++++=of
uniting ^xvbg+++xvbg+=uniting
industry ^nn++++=industry
with ^in++++=with
pastime ^nn++++=pastime,
, ^zz++++=EXTRAWORD
two ^cd++++=two
and ^cc++++=and
two ^cd++++=two
theysideways ^rb++++=theysideways
clashed ^vbd+++xvbn+=clashed
their ^pp$+pp3+++=their
hatchets ^nns+++??+=hatchets
together ^nn+nom+++=together,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
like ^in++++=like
cymbals ^nns+nom+++=cymbals,
, ^zz++++=EXTRAWORD
with ^in++++=with
abarbarous ^jj+atrb+++=abarbarous
din ^nn+++??+=din.
. ^zz++++=EXTRAWORD
All ^abn++++=All
six ^cd++++=six,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
the ^ati++++=the
generality ^nn+nom+++=generality,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
raw ^jj+atrb+++=raw
aspect ^nn++++=aspect
ofunsophisticated ^vbd+++xvbn+=ofunsophisticated
Africans ^nns+nom+++=Africans.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
first ^rb++++=first
comprehensive ^jj+atrb+++=comprehensive
glance ^nn++++=glance
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
in ^rb+phrv+++=in
those ^dt+dem+++=those
ten ^cd++++=ten
figures,with ^nn+++??+=figures,with
scores ^nns++++=scores
less ^rbr++++=less
conspicuous ^jj++++=conspicuous,
, ^zz++++=EXTRAWORD
rested ^j+++xvbn+=rested
but ^cc++++=but
an ^at++++=an
instant ^nn+nom+++=instant
upon ^in++++=upon
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as,impatient ^jj++++=as,impatient
of ^in++++=of
the ^ati++++=the
hubbub ^nn++++=hubbub
of ^in++++=of
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visitor ^nn++++=visitor
turned ^vbd+++xvbn+=turned
in ^rb+phrv+++=in
quest ^nn++++=quest
ofwhomsoever ^jjr++++=ofwhomsoever
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
that ^cs+sub+++=that
commanded ^vprf+++xvbn+=commanded
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^cs+sub+++=as
if ^cs+cnd+++=if
not ^xnot++not++=not
unwilling ^jj++++=unwilling
to ^to+jcmp+++=to
let ^vbi++++=let
nature ^nn++++=nature
make ^vb++++=make
known ^jj+++xvbn+=known
her ^pp3o+pp3+++=her
own ^ap++++=own
case ^nn++++=case
among ^in++++=among
hissuffering ^xvbg+++xvbg+=hissuffering
charge ^nn++++=charge,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
in ^in++++=in
despair ^nn++++=despair
of ^in++++=of
restraining ^jj++++=restraining
it ^pp3+it+++=it
for ^in++++=for
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
thespanish ^jj+atrb+++=theSpanish
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
a ^at++++=a
gentlemanly ^jj++++=gentlemanly,
, ^zz++++=EXTRAWORD
reserved ^j+++xvbn+=reserved-looking,
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rather ^rb++++=rather
young ^jj+atrb+++=young
manto ^nn+++??+=manto
a ^at++++=a
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+vrb++0=EXTRAWORD
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
with ^in++++=with
singular ^jj+atrb+++=singular
richness ^nns+nom+++=richness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
bearing ^vbg+++xvbg+=bearing
plaintraces ^nns+++??+=plaintraces
of ^in++++=of
recent ^jj++++=recent
sleepless ^jj++++=sleepless
cares ^vbz++++=cares
and ^cc++++=and
disquietudes ^nns+++??+=disquietudes,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
passively ^jj++++=passively
by,leaning ^jj+++xvbg+=by,leaning
against ^in++++=against
the ^ati++++=the
main ^jjb++++=main-mast,
- ^zz++++=EXTRAWORD
mast ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
one ^cd1++++=one
moment ^nn++++=moment
casting ^vwbg+++xvbg+=casting
a ^at++++=a
dreary,spiritless ^jj+atrb+++=dreary,spiritless
look ^nn++++=look
upon ^in++++=upon
his ^pp$+pp3+++=his
excited ^xvbn+++xvbn+=excited
people ^nns++++=people,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
next ^rb++++=next
an ^at++++=an
unhappy ^jj++++=unhappy
glancetoward ^rb++++=glancetoward
his ^pp$+pp3+++=his
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
By ^in++++=By
his ^pp$+pp3+++=his
side ^nn++++=side
stood ^vbd+++xvbn+=stood
a ^at++++=a
black ^nn++++=black
of ^in++++=of
small ^jj+atrb+++=small
stature ^nn++++=stature,
, ^zz++++=EXTRAWORD
in ^in++++=in
whoserude ^nn+++??+=whoserude
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^ql++++=as
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
shepherd ^nn++++=shepherd's
's ^$++++=EXTRAWORD
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
mutely ^jj+atrb+++=mutely
turned ^jj+atrb++xvbn+=turned
itup ^nn+++??+=itup
into ^in++++=into
the ^ati++++=the
Spaniard ^np+++??+=Spaniard's,
's, ^nn+++??+=EXTRAWORD
sorrow ^nn++++=sorrow
and ^cc++++=and
affection ^nn+nom+++=affection
were ^vbd+bed+aux++=were
equally ^rb++splt++=equally
blended ^vpsv++agls+xvbnx+=blended.
. ^zz++++=EXTRAWORD
Struggling ^vbg+nom++xvbg+=Struggling
through ^in++++=through
the ^ati++++=the
throng ^nn++++=throng,
, ^zz++++=EXTRAWORD
the ^ati++++=the
American ^nn++++=American
advanced ^vbd+vsua++xvbn+=advanced
to ^in++++=to
the ^ati++++=the
Spaniard,assuring ^np+++??+=Spaniard,assuring
him ^pp3o+pp3+++=him
of ^in++++=of
his ^pp$+pp3+++=his
sympathies ^nns++++=sympathies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offering ^nvbg+++xvbg+=offering
to ^to++++=to
render ^vbi++++=render
whateverassistance ^nn+nom+++=whateverassistance
might ^md+pos+++=might
be ^vb+be+vrb++=be
in ^in++++=in
his ^pp$+pp3+++=his
power ^nn++++=power.
. ^zz++++=EXTRAWORD
To ^to++++=To
which ^whp+who+++=which
the ^ati++++=the
Spaniard ^np+++??+=Spaniard
returned ^vbd+++xvbn+=returned
forthe ^nn+++??+=forthe
present ^vb++++=present
but ^cc++++=but
grave ^nn++++=grave
and ^cc++++=and
ceremonious ^jj+atrb+++=ceremonious
acknowledgments ^nns+nom+++=acknowledgments,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
nationalformality ^nn+nom+++=nationalformality
dusked ^vwbn+++xvbn+=dusked
by ^in++++=by
the ^ati++++=the
saturnine ^nn+++??+=saturnine
mood ^nn++++=mood
of ^in++++=of
ill ^jj++++=ill-health.
- ^zz++++=EXTRAWORD
health ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
losing ^jj+++xvbg+=losing
no ^at++++=no
time ^nn++++=time
in ^in++++=in
mere ^jjb+atrb+++=mere
compliments ^nns+nom+++=compliments,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np+++??+=Delano,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
to ^in++++=to
thegangway ^nn+++??+=thegangway,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
basket ^nn++++=basket
of ^in++++=of
fish ^nns++++=fish
brought ^vbd+++xvbn+=brought
up ^rb+phrv+++=up;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
wind ^nn++++=wind
stillcontinued ^vbd+++xvbn+=stillcontinued
light ^jj++++=light,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
some ^dti++++=some
hours ^nns++++=hours
at ^rb++++=at
least ^rb"++++=least
must ^md+nec+++=must
elapse ^vb++++=elapse
ere ^nn+++??+=ere
the ^ati++++=the
shipcould ^nn+++??+=shipcould
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
to ^rb+phrv+++=to
the ^ati++++=the
anchorage ^nn+nom+++=anchorage,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bade ^vbd+++xvbnx+=bade
his ^pp$+pp3+++=his
men ^nns++++=men
return ^nn++++=return
to ^in++++=to
the ^ati++++=the
sealer,and ^nn+++??+=sealer,and
fetch ^vb++++=fetch
back ^jjb++++=back
as ^in++++=as
much ^ap++++=much
water ^nn++++=water
as ^in++++=as
the ^ati++++=the
whale ^nn++++=whale-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
could ^md+pos+++=could
carry ^vb++++=carry,
, ^zz++++=EXTRAWORD
withwhatever ^jjr+atrb+++=withwhatever
soft ^jj+atrb+++=soft
bread ^nn++++=bread
the ^ati++++=the
steward ^nn++++=steward
might ^md+pos+++=might
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
pumpkinson ^nn+++??+=pumpkinson
board ^nn++++=board,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
box ^nn++++=box
of ^in++++=of
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
dozen ^cd++++=dozen
of ^in++++=of
his ^pp$+pp3+++=his
private ^jj+atrb+++=private
bottles ^nns++++=bottles
ofcider ^jjr++++=ofcider.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
many ^ap++++=many
minutes ^nns++++=minutes
after ^cs+sub+++=after
the ^ati++++=the
boat ^nn++++=boat's
's ^vbz+bez+aux++0=EXTRAWORD
pushing ^vbg+++xvbgx+=pushing
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
vexation ^nn+nom+++=vexation
of ^in++++=of
all,the ^nn+++??+=all,the
wind ^nn++++=wind
entirely ^rb+amp+++=entirely
died ^vbd+++xvbn+=died
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tide ^vb++++=tide
turning ^nvbg+++xvbg+=turning,
, ^zz++++=EXTRAWORD
began ^jj+atrb++xvbn+=began
drifting ^jj+atrb++xvbg+=drifting
backthe ^nn+++??+=backthe
ship ^nn++++=ship
helplessly ^rb++++=helplessly
seaward ^jjb++++=seaward.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
trusting ^vbg+++xvbg+=trusting
this ^dt+pdem+++=this
would ^md+prd+++=would
not ^xnot++not++=not
long ^rb++++=long
last,captain ^vb+++??+=last,Captain
Delano ^np+++??+=Delano
sought ^vbd+++xvbn+=sought,
, ^zz++++=EXTRAWORD
with ^in++++=with
good ^jj+atrb+++=good
hopes ^nns++++=hopes,
, ^zz++++=EXTRAWORD
to ^to++++=to
cheer ^vbi++++=cheer
up ^rp++++=up
the ^ati++++=the
strangers,feeling ^nn+nom+++=strangers,feeling
no ^at++++=no
small ^jj+atrb+++=small
satisfaction ^nn+nom+++=satisfaction
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
with ^in++++=with
persons ^nns++++=persons
in ^in++++=in
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
hecould ^nn+++??+=hecould--thanks
-- ^--+clp+++=EXTRAWORD
thanks ^rb+dspt+++=EXTRAWORD
to ^in"++++=to
his ^pp$+pp3+++=his
frequent ^jj+atrb+++=frequent
voyages ^nns+nom+++=voyages
along ^in++++=along
the ^ati++++=the
Spanish ^jj++++=Spanish
main ^jjb++++=main--conversewith
-- ^--+clp+++=EXTRAWORD
conversewith ^nn+++??+=EXTRAWORD
some ^dti++++=some
freedom ^nn+nom+++=freedom
in ^in++++=in
their ^pp$+pp3+++=their
native ^jj+atrb+++=native
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
left ^vprf+++xvbn+=left
alone ^rb++++=alone
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^rb++++=long
in ^in++++=in
observing ^xvbg+++xvbg+=observing
some ^dti++++=some
thingstending ^jj+++xvbg+=thingstending
to ^to++++=to
heighten ^vbi++++=heighten
his ^pp$+pp3+++=his
first ^od++++=first
impressions ^nns++++=impressions;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
surprise ^nn++++=surprise
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
inpity ^nn++++=inpity,
, ^zz++++=EXTRAWORD
both ^abx++++=both
for ^in++++=for
the ^ati++++=the
Spaniards ^nn++++=Spaniards
and ^cc++++=and
blacks ^nns++++=blacks,
, ^zz++++=EXTRAWORD
alike ^rb++++=alike
evidently ^rb++++=evidently
reduced ^jj+atrb++xvbn+=reduced
fromscarcity ^nn+nom+++=fromscarcity
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
provisions ^nns++++=provisions;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
long ^jj++++=long-continued
- ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=EXTRAWORD
suffering ^vbg+++xvbg+=suffering
seemedto ^nn+++??+=seemedto
have ^vb+hv+aux++=have
brought ^vprf+++xvbnx+=brought
out ^rb+phrv+++=out
the ^ati++++=the
less ^rbr++++=less
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
qualities ^nns+nom+++=qualities
of ^in++++=of
the ^ati++++=the
negroes,besides ^nns+++??+=negroes,besides,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
impairing ^vbg+++xvbg+=impairing
the ^ati++++=the
Spaniard ^np++++=Spaniard's
's ^$++++=EXTRAWORD
authority ^nn+nom+++=authority
over ^in++++=over
them.but ^nn+++??+=them.But,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
precisely ^rb++++=precisely
this ^dt+dem+++=this
condition ^nn+nom+++=condition
of ^in++++=of
things ^nns++++=things
was ^vbd+bedz+aux++=was
tohave ^nn+++??+=tohave
been ^vprf+ben+aux+xvbn+=been
anticipated ^vpsv++agls+xvbnx+=anticipated.
. ^zz++++=EXTRAWORD
In ^in++++=In
armies ^nns++++=armies,
, ^zz++++=EXTRAWORD
navies ^nns+++??+=navies,
, ^zz++++=EXTRAWORD
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
families ^nns++++=families,
, ^zz++++=EXTRAWORD
in ^in++++=in
natureherself ^nn+++??+=natureherself,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
more ^ql++++=more
relaxes ^vbz++++=relaxes
good ^jj++++=good
order ^to++++=order
than ^cs+sub+++=than
misery ^nn++++=misery.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
Captaindelano ^np+++??+=CaptainDelano
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
without ^in++++=without
the ^ati++++=the
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vb+hv+vrb++=had
Benito ^np+++??+=Benito
Cereno ^np+++??+=Cereno
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
man ^nn++++=man
ofgreater ^jjr+atrb+++=ofgreater
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
misrule ^nn+++??+=misrule
would ^md+prd+++=would
hardly ^rb+down+++=hardly
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
present ^jj+atrb+++=present
pass ^nn++++=pass.
. ^zz++++=EXTRAWORD
Butthe ^np+++??+=Butthe
debility ^nn+nom+++=debility,
, ^zz++++=EXTRAWORD
constitutional ^jj++++=constitutional
or ^cc+phrs+++=or
induced ^jj+++xvbn+=induced
by ^in++++=by
hardships ^nns+nom+++=hardships,
, ^zz++++=EXTRAWORD
bodily ^jj++++=bodily
and ^cc++++=and
mental,of ^nn+++??+=mental,of
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
too ^ql++++=too
obvious ^jj++++=obvious
to ^to++++=to
be ^vbi+vbi+aux++=be
overlooked ^vpsv++agls+xvbnx+=overlooked.
. ^zz++++=EXTRAWORD
A ^at++++=A
prey ^nn++++=prey
tosettled ^vbd+++xvbn+=tosettled
dejection ^nn+nom+++=dejection,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
long ^rb++++=long
mocked ^vbd+++xvbn+=mocked
with ^in++++=with
hope ^nn++++=hope
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
now ^rn+tm+++=now
indulgeit ^vb+++??+=indulgeit,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
be ^vbi+vbi+aux++=be
a ^at++++=a
mock ^vb++++=mock,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prospect ^nn++++=prospect
of ^in++++=of
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
orevening ^jj+++xvbg+=orevening
at ^in++++=at
furthest ^rbt++++=furthest,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
at ^rb++++=at
anchor ^nn++++=anchor,
, ^zz++++=EXTRAWORD
with ^in++++=with
plenty ^nn++++=plenty
of ^in++++=of
water ^nn++++=water
for ^in++++=for
hispeople ^nn+++??+=hispeople,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
brother ^nn++++=brother
captain ^npt++++=captain
to ^in++++=to
counsel ^nns++++=counsel
and ^cc++++=and
befriend ^vb++++=befriend,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
in ^in++++=in
noperceptible ^jj+atrb+++=noperceptible
degree ^nn++++=degree
to ^to++++=to
encourage ^nn+nom+++=encourage
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mind ^nn++++=mind
appeared ^vbd+seem++xvbn+=appeared
unstrung ^nn+++??+=unstrung,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
notstill ^nn+++??+=notstill
more ^rbr++++=more
seriously ^rb++++=seriously
affected ^vbd+++xvbn+=affected.
. ^zz++++=EXTRAWORD
Shut ^j+++xvbn+=Shut
up ^rp++++=up
in ^in++++=in
these ^dt+dem+++=these
oaken ^jj+atrb++xvbn+=oaken
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
chained ^jj+atrb++xvbn+=chained
toone ^nn+++??+=toone
dull ^jj+atrb+++=dull
round ^nn++++=round
of ^in++++=of
command ^nn++++=command,
