( ^zz++++=(January
the ^ati++++=the
question ^nn+nom+++=question
twenty ^cd++++=twenty
times ^nns++++=times.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
that ^cs+sub+++=that
everything ^pn++++=everything
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
hung ^vbd+++xvbn+=hung
on ^in++++=on
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
should ^md+nec+++=should
not ^xnot++not++=not
come ^vb++++=come
into ^in+ppvb+++=into
houses ^nns++++=houses
and ^cc++++=and
rooms ^nns++++=rooms
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
invited ^vpsv++agls+xvbnx+=invited.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
houses ^nns++++=houses
and ^cc++++=and
bedrooms ^nns++++=bedrooms,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='No,'
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
a ^at++++=a
solemn ^jj++++=solemn
little ^jj++++=little
six ^cd++++=six-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj++++=EXTRAWORD
repeated ^jj+++xvbn+=repeated,
, ^zz++++=EXTRAWORD
' ^zz++++='not
not ^xnot++not++=EXTRAWORD
houses ^nns++++=houses
nor ^cc++neg++=nor
bedrooms ^nns++++=bedrooms,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
dining ^nvbg+++xvbg+=dining-rooms,
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
churches ^nns++++=churches,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
all ^rb++++=all
those ^dt+dem+++=those
places ^nns++++=places.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Shouldn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
rude ^jj++++=rude.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
so ^ql++++=so,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
younger ^jjr+atrb+++=younger
girl ^nn++++=girl
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
proudly ^rb++++=proudly.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
them ^pp3o+pp3+++=them
only ^rb+down+++=only
pigs ^nns++++=pigs
would ^md+prd+++=would
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
line ^nn++++=line
nodded ^vbd+++xvbn+=nodded
and ^cc+phrs+++=and
dimpled ^vbd+++xvbn+=dimpled
one ^pn++++=one
to ^in++++=to
another ^dt++++=another
with ^in++++=with
little ^ap++++=little
explosive ^jj+atrb+++=explosive
giggles ^nns+++??+=giggles,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
children ^nns++++=children
use ^nn++++=use
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
tell ^vb++++=tell
deeds ^nns++++=deeds
of ^in++++=of
great ^jj++++=great
daring ^jj+++xvbg+=daring
against ^in++++=against
their ^pp$+pp3+++=their
elders ^nns++++=elders.
. ^zz++++=EXTRAWORD
' ^zz++++='If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
wrong ^jj+pred+++=wrong,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
makes ^vbz++++=makes
it ^pp3+it+++=it
much ^ap++++=much
worse ^jjr++++=worse,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='Oh
oh ^uh++++=EXTRAWORD
yes ^uh++++=yes;
; ^zz++++=EXTRAWORD
much ^ap++++=much
worse ^jjr++++=worse,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
assented ^vbd+++xvbnx+=assented
cheerfully ^rb+cnj+++=cheerfully,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
boy ^nn++++=boy
changed ^vbd+++xvbn+=changed
his ^pp$+pp3+++=his
smile ^nn++++=smile
to ^in++++=to
a ^at++++=a
baby ^nn++++=baby
wail ^nn++++=wail
of ^in++++=of
weariness ^nns+nom+++=weariness.
. ^zz++++=EXTRAWORD
' ^zz++++='When
when ^wrb+who+whq++=EXTRAWORD
will ^md+prd+++=will
they ^pp3a+pp3+++=they
come ^vb++++=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
girl ^nn++++=girl
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
row ^nn++++=row
hauled ^vbd+++xvbn+=hauled
him ^pp3o+pp3+++=him
bodily ^jj++++=bodily
into ^in++++=into
her ^pp3o+pp3+++=her
square ^npl++++=square
little ^ap++++=little
capable ^jj+atrb+++=capable
lap ^nn++++=lap.
. ^zz++++=EXTRAWORD
' ^zz++++='He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
tired ^vpsv++agls+xvbnx+=tired,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
four ^cd++++=four.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
only ^rb+down+++=only
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
first ^od++++=first
breeches ^nns++++=breeches
this ^dt+dem+++=this
spring ^nn++++=spring.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
came ^vbd+++xvbnx+=came
almost ^rb+hdg+++=almost
under ^in++++=under
his ^pp$+pp3+++=his
armpits ^nns+++??+=armpits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
held ^vpsv++agls+xvbnx+=held
up ^rp++++=up
by ^in++++=by
broad ^jj+atrb+++=broad
linen ^nn++++=linen
braces ^nns++++=braces,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sorrow ^nn++++=sorrow
diverted ^vwbn+++xvbn+=diverted
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
patted ^vbd+++xvbnx+=patted
proudly ^rb++++=proudly.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
both ^abx++++=both
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
home ^nr++++=home
to ^in++++=to
your ^pp$+pp2+++=your
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
faces ^nns++++=faces
grew ^vbd+++xvbn+=grew
grave ^nn++++=grave
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
' ^zz++++='H'sh!
h ^zz++++=EXTRAWORD
'sh! ^nn+++??+=EXTRAWORD
We ^pp1a+pp1+++=We
_ca ^vb+++??+=_can't_,'
n't_ ^vbd+++xvbn+0=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
eldest ^nn++++=eldest.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
anything ^pn++++=anything
left ^vbd+++xvbn+=left.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='All
all ^abn++++=EXTRAWORD
gone ^vprf+++xvbn+=gone,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy
echoed ^vwbn+++xvbn+=echoed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
puffed ^vbd+++xvbnx+=puffed
through ^in++++=through
pursed ^vbd+++xvbn+=pursed
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
' ^zz++++='Like
like ^in++++=EXTRAWORD
_that_ ^nn+++??+=_that_,
, ^zz++++=EXTRAWORD
uncle ^nn++++=uncle
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
cows ^nns++++=cows
too ^rb++++=too.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='And
and ^cc++++=EXTRAWORD
my ^pp$+pp1+++=my
own ^ap++++=own
three ^cd++++=three
ducks ^nns++++=ducks,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
on ^in++++=on
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
lap ^nn++++=lap
said ^vbd+vpub++xvbn+=said
sleepily ^rb++++=sleepily.
. ^zz++++=EXTRAWORD
' ^zz++++='So,
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
here ^rn+pl+++=here.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^jjr+atrb+++=elder
girl ^nn++++=girl
leaned ^vbd+++xvbn+=leaned
forward ^rb++++=forward
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
caressing ^vbg+++xvbg+=caressing
the ^ati++++=the
child ^nn++++=child
she ^pp3a+pp3+++=she
rocked ^vbd+++xvbnx+=rocked.
. ^zz++++=EXTRAWORD
' ^zz++++='I--I
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
' ^zz++++='Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
lost ^vbd+++xvbn+=lost,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
tell ^vb++++=tell
our ^pp$+pp1+++=our
police ^nns++++=police.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Oh
oh ^uh++++=EXTRAWORD
no ^at++++=no;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
only ^rb+down+splt++=only
waiting ^vbg+++xvbgx+=waiting.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
waiting ^vbg+++xvbg+=waiting
_for?_ ^nn+++??+=_for?_'
' ^zz++++=EXTRAWORD
' ^zz++++='We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
our ^pp$+pp1+++=our
people ^nns++++=people
to ^to++++=to
come ^vbi++++=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us
to ^to++++=to
come ^vbi++++=come
here ^rn+pl+++=here
and ^cc++++=and
wait ^nn++++=wait
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
waiting ^vbg+++xvbgx+=waiting
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
come ^vb++++=come,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
eldest ^jjt+atrb+++=eldest
girl ^nn++++=girl
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
waiting ^vbg+++xvbgx+=waiting
till ^cs+sub+++=till
our ^pp$+pp1+++=our
people ^nns++++=people
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
all ^abn++++=all
the ^ati++++=the
others ^aps++++=others
in ^in++++=in
chorus ^nn++++=chorus.
. ^zz++++=EXTRAWORD
' ^zz++++='But,'
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
very ^ql+amp+++=very
patiently-- ^vb+++??+=patiently--'but
'but ^nn+++??+=EXTRAWORD
now ^rn+tm+++=now
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least
angry ^jj++++=angry,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
come ^vb++++=come
from ^in+ppvb+++=from?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
come ^vb++++=come
from ^in+ppvb+++=from?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
five ^cd++++=five
gave ^vbd+++xvbn+=gave
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
two ^cd++++=two
villages ^nns+nom+++=villages
of ^in++++=of
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
' ^zz++++='That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
silly ^jj+pred+++=silly,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
people ^nns++++=people
fired ^vbd+++xvbn+=fired
on ^rp++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
punished ^vpsv++agls+xvbnx+=punished.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
places ^nns++++=places
are ^vb+ber+aux++=are
wiped ^vpsv++agls+xvbnx+=wiped
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
stamped ^xvbn+++xvbn+=stamped
flat ^nn++++=flat.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
wiped ^j+++xvbn+=wiped
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
stamped ^xvbn+++xvbn+=stamped
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
and ^cc++++=and--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
ribbon ^nn++++=ribbon
off ^in+pl+++=off
my ^pp$+pp1+++=my
pigtail ^nn+++??+=pigtail,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
younger ^jjr+atrb+++=younger
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
behind ^in+pl+++=behind
her ^pp$+pp3+++=her
over ^in++++=over
the ^ati++++=the
sofa ^nn++++=sofa-back.
- ^zz++++=EXTRAWORD
back ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
here ^rn+pl+++=here,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
elder ^nn++++=elder.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
go ^vb++++=go
and ^cc+phrs+++=and
tell ^vb++++=tell
our ^pp$+pp1+++=our
police ^nns++++=police.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=will
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
you ^pp2+pp2+++=you
and ^cc++++=and
give ^vb++++=give
you ^pp2+pp2+++=you
food ^nn++++=food,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='Anna
anna ^np++++=EXTRAWORD
will ^md+prd+++=will
show ^vb+vprv+++=show
you ^pp2+pp2+++=you
the ^ati++++=the
way ^nn++++=way
there ^rn+pl+++=there.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='No,'--this
no, ^nn+++??+=EXTRAWORD
'--this ^nns+++??+0=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
six ^cd++++=six-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
smile,-- ^nn+++??+=smile,--'we
'we ^nn+++??+=EXTRAWORD
must ^md+nec+++=must
wait ^vb++++=wait
here ^rn+pl+++=here
till ^in++++=till
our ^pp$+pp1+++=our
people ^nns++++=people
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Must ^md+nec+++=Mustn't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
sister ^nn++++=sister?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wait ^vb++++=wait
here ^rn+pl+++=here
till ^in++++=till
our ^pp$+pp1+++=our
people ^nns++++=people
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
world ^nn++++=world
knows ^vbz+vprv+tht0++=knows
that ^tht+vcmp+++=that,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
eldest ^jjt+atrb+++=eldest
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes.'
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap
had ^vbd+hvd+aux++=had
waked ^vprf+++xvbnx+=waked
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
' ^zz++++='Little
little ^ap++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
too ^ql++++=too--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
little ^ap++++=little
as ^ql++++=as
Henri ^np++++=Henri,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
_he_ ^nn+++??+=_he_
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
wear ^vb++++=wear
trousers ^nns+nom+++=trousers
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
As ^ql++++=As
little ^ap++++=little
as ^ql++++=as
all ^abn++++=all
that ^dt+pdem+++=that.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann,
, ^zz++++=EXTRAWORD
shivering ^vbg+++xvbg+=shivering.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
the ^ati++++=the
damp ^jj+atrb+++=damp
breath ^nn++++=breath
of ^in++++=of
the ^ati++++=the
steam ^nn++++=steam-inhaler,
- ^zz++++=EXTRAWORD
inhaler ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
aspirin ^nn++++=aspirin
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
doing ^vbg+++xvbg+=doing
its ^pp$+it+++=its
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
raised ^vbd+++xvbn+=raised
her ^pp3o+pp3+++=her
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
woman ^nn++++=woman
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
emphasising ^jj+++xvbg+=emphasising
her ^pp3o+pp3+++=her
statements ^nns+nom+++=statements
with ^in++++=with
her ^pp$+pp3+++=her
ringers ^nns+nom+++=ringers,
, ^zz++++=EXTRAWORD
' ^zz++++='_they_
_they_ ^vb+++??+=EXTRAWORD
told ^vbd+vpub++xvbn+=told
_us_ ^nn+++??+=_us_
to ^to++++=to
wait ^vbi++++=wait
_here_ ^nn+++??+=_here_
till ^cs+sub+++=till
_our_ ^nn+++??+=_our_
people ^nns++++=people
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wait ^vb++++=wait
till ^cs+sub+++=till
our ^pp$+pp1+++=our
people ^nns++++=people
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
silly ^jj+pred+++=silly
again ^rb+cnj+++=again,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
good ^nn++++=good
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
wait ^vbi++++=wait
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
this ^dt+dem+++=this
place ^nn++++=place
is ^vbz+bez+vrb++=is?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
school ^nn++++=school?
? ^zz++++=EXTRAWORD
