[ ^zz++++=[This
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
talk ^nn++++=talk
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
pared ^vwbn+++xvbn+=pared
very ^ql+amp+++=very
fast ^rb++++=fast.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
care ^nn++++=care,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
cut ^vb+++xvbn+=cut
your ^pp$+pp2+++=your
fingers ^nns+nom+++=fingers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
in ^in++++=in
too ^ql++++=too
much ^ap++++=much
of ^in++++=of
a ^at++++=a
hurry ^nn++++=hurry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
get ^vbi++++=get
out ^rb+phrv+++=out
and ^cc++++=and
gossip ^nn++++=gossip
with ^in++++=with
Sarah ^np++++=Sarah
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
waste ^vb++++=waste
any ^dti++++=any
more ^rbr++++=more
time ^nn++++=time
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
you ^pp2+pp2+++=you
would ^md+prd+++=would!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
her ^pp$+pp3+++=her
thumb ^nn++++=thumb
quite ^rb++++=quite
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
choked ^vbd+++xvbnx+=choked
a ^rb++++=a
little ^rb"++++=little
when ^wrb+who+++=when
her ^pp3o+pp3+++=her
mother ^npt++++=mother
tied ^vbd+++xvbn+=tied
it ^pp3+it+++=it
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vpsv++agls+xvbn+=put
on ^rb+phrv+++=on
some ^dti++++=some
balm ^nn+++??+=balm
of ^in++++=of
Gilead ^np+++??+=Gilead,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
smart ^jj++++=smart
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
cry ^vb++++=cry!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
bear ^vb+vprv+++=bear
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
cut ^nn+++xvbn+=cut
thumb ^nn++++=thumb
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
live ^vb++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Submit ^vb+vpub+++=Submit
did ^vbd+dod+aux++=did
not ^xnot++not++=not
let ^vb+++xvbn+=let
the ^ati++++=the
tears ^nns++++=tears
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
a ^at++++=a
brave ^jj+atrb+++=brave
race ^nn++++=race.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
great ^jj++++=great-grandfather
- ^zz++++=EXTRAWORD
grandfather ^nn+nom+++=EXTRAWORD
had ^vbd+hvd+aux++=had
fought ^vprf+++xvbnx+=fought
in ^in++++=in
the ^ati++++=the
Revolution ^nn+nom+++=Revolution;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sword ^nn++++=sword
and ^cc++++=and
regimentals ^nns+nom+++=regimentals
were ^vbd+bed+aux++=were
packed ^vpsv++agls+xvbnx+=packed
in ^in++++=in
the ^ati++++=the
fine ^nn++++=fine
carved ^vbd+++xvbn+=carved
chest ^nn++++=chest
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
kitchen ^nn++++=kitchen
shelf ^nn++++=shelf
hung ^vbd+++xvbn+=hung
an ^at++++=an
old ^jj+atrb+++=old
musket ^nn+++??+=musket
with ^in++++=with
which ^whp+rel+pied++=which
her ^pp$+pp3+++=her
great ^jj++++=great-grandmother,
- ^zz++++=EXTRAWORD
grandmother ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
guarding ^nvbg+++xvbg+=guarding
her ^pp3o+pp3+++=her
home ^nr++++=home
and ^cc++++=and
children ^nns++++=children,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
shot ^vprf+++xvbnx+=shot
an ^at++++=an
Indian ^nn++++=Indian.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^rb++++=a
little ^rb"++++=little
closet ^nn++++=closet
beside ^in+pl+++=beside
the ^ati++++=the
chimney ^nn++++=chimney
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
pewter ^jjr+atrb+++=pewter
dish ^nn++++=dish
full ^jj++++=full
of ^in++++=of
homemade ^jj+atrb+++=homemade
Revolutionary ^jj+atrb+++=Revolutionary
bullets ^nns+nom+++=bullets,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
Submit ^vb+vpub+++=Submit
and ^cc++++=and
her ^pp3o+pp3+++=her
brothers ^nns+nom+++=brothers
had ^vb+hv+vrb++=had
for ^in++++=for
playthings ^nns++++=playthings.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
girl ^nn++++=girl
who ^whp+rel+subj++=who
played ^vbd+++xvbn+=played
with ^in++++=with
Revolutionary ^jj+atrb+++=Revolutionary
bullets ^nns+nom+++=bullets
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
cry ^vbi++++=cry
over ^in++++=over
a ^at++++=a
cut ^nn+++xvbn+=cut
thumb ^nn++++=thumb.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
finished ^jj+++xvbn+=finished
paring ^jj+++xvbg+=paring
the ^ati++++=the
apples ^nns++++=apples
after ^cs+sub+++=after
her ^pp3o+pp3+++=her
thumb ^nn++++=thumb
was ^vbd+bedz+aux++=was
tied ^vpsv++agls+xvbnx+=tied
up ^rp++++=up,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
awkward ^jj+pred+++=awkward
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
pounded ^vbd+++xvbnx+=pounded
spices ^nns++++=spices
in ^in++++=in
the ^ati++++=the
mortar ^nn++++=mortar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
picked ^vpsv++agls+xvbn+=picked
over ^in++++=over
cranberries ^nns++++=cranberries.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
kept ^vbd+++xvbn+=kept
her ^pp$+pp3+++=her
busy ^jj++++=busy
every ^at++++=every
minute ^nn++++=minute
until ^in++++=until
dinnertime ^nn+++??+=dinnertime.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
father ^nn++++=father
and ^cc++++=and
her ^pp$+pp3+++=her
two ^cd++++=two
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
and ^cc++++=and
Jonas ^np+++??+=Jonas,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
nearest ^jjt++++=nearest
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
" ^zz++++="Father,"
father ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
our ^pp$+pp1+++=our
Thanksgiving ^np+++??+=Thanksgiving
turkey ^nn++++=turkey
will ^md+prd+++=will
weigh ^vb++++=weigh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
was ^vbd+bedz+vrb++=was
a ^at++++=a
deliberate ^jj+atrb+++=deliberate
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
a ^at++++=a
minute ^nn++++=minute
before ^in++++=before
replying ^nn++++=replying.
. ^zz++++=EXTRAWORD
" ^zz++++="Seventeen
seventeen ^cd++++=EXTRAWORD
or ^cc++++=or
eighteen ^cd++++=eighteen
pounds ^nns++++=pounds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Father ^nn++++=Father!
! ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
will ^md+prd+++=will
weigh ^vb++++=weigh
twenty ^cd++++=twenty?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
begin ^vb++++=begin
to ^to++++=to
weigh ^vbi++++=weigh
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
the ^ati++++=the
Adams ^np++++=Adams'
' ^zz++++=EXTRAWORD
turkey ^np++++=turkey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jonas ^np+++??+=Jonas.
. ^zz++++=EXTRAWORD
" ^zz++++="Their
their ^pp$+pp3+++=EXTRAWORD
turkey ^nn++++=turkey
weighs ^vbz++++=weighs
twenty ^cd++++=twenty
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas!
! ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
their ^pp$+pp3+++=their
turkey ^nn++++=turkey
weighs ^vbz++++=weighs
more ^rbr++++=more
than ^in++++=than
ours ^pp$$++++=ours?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
elder ^jjr+atrb+++=elder
brother ^nn++++=brother;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
sober ^jj+atrb+++=sober,
, ^zz++++=EXTRAWORD
judicial ^jj+atrb+++=judicial
air ^nn++++=air
like ^in++++=like
his ^pp$+pp3+++=his
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Their
their ^pp$+pp3+++=EXTRAWORD
turkey ^nn++++=turkey
weighs ^vbz++++=weighs
considerable ^jj++++=considerable
more ^rbr++++=more
than ^in++++=than
ours ^pp$$++++=ours,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
face ^nn++++=face
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
right ^jj+atrb+++=right
spirit ^nn++++=spirit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=should
you ^pp2+pp2+++=you
care ^nn++++=care
if ^cs+cnd+++=if
the ^ati++++=the
Adams ^np++++=Adams'
' ^zz++++=EXTRAWORD
turkey ^np++++=turkey
does ^vbz+doz+aux++=does
weigh ^vb++++=weigh
more ^ql++++=more?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
ashamed ^jj+pred+++=ashamed
of ^in++++=of
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
said ^vbd+vpub++xvbn+=said
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ate ^vbd+++xvbnx+=ate
her ^pp$+pp3+++=her
dinner ^nn++++=dinner
soberly ^rb++++=soberly.
. ^zz++++=EXTRAWORD
Afterward ^rb++++=Afterward
she ^pp3a+pp3+++=she
wiped ^vbd+++xvbnx+=wiped
dishes ^nns++++=dishes
while ^cs+sub+++=while
her ^pp3o+pp3+++=her
mother ^npt++++=mother
washed ^vwbn+++xvbn+=washed.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
listening ^vbg+++xvbgx+=listening.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
and ^cc++++=and
brothers ^nns+nom+++=brothers
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
presently ^rb+tm+++=presently
she ^pp3a+pp3+++=she
started ^vbd+++xvbnx+=started.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mother ^nn++++=Mother,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
killing ^nvbg+++xvbg+=killing
the ^ati++++=the
turkey ^nn++++=turkey!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
stop ^vb++++=stop
while ^cs+sub+++=while
the ^ati++++=the
dishes ^nns++++=dishes
are ^vb+ber+vrb++=are
hot ^jj+pred+++=hot,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
her ^pp$+pp3+++=her
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
wiped ^vbd+++xvbn+=wiped
obediently ^rb+cnj+++=obediently,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
dishes ^nns++++=dishes
were ^vbd+bed+aux++=were
set ^vpsv++agls+xvbnx+=set
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stole ^vbd+++xvbnx+=stole
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn
where ^wrb+who+++=where
her ^pp3o+pp3+++=her
father ^npt++++=father
and ^cc++++=and
brothers ^nns+nom+++=brothers
were ^vbd+bed+aux++=were
picking ^vbg+++xvbgx+=picking
the ^ati++++=the
turkey ^nn++++=turkey.
. ^zz++++=EXTRAWORD
" ^zz++++="Father,
father ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+whq++=when
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
weigh ^vb++++=weigh
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
timidly ^jj++++=timidly.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
till ^in++++=till
to ^to++++=to-night,"
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Submit!"
submit ^vb+vpub+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^jj+++xvbn+=called
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
went ^vbd+++xvbn+=went
in ^in++++=in
and ^cc++++=and
swept ^vbd+++xvbn+=swept
the ^ati++++=the
kitchen ^nn++++=kitchen
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
hour ^nn++++=hour
after ^in++++=after
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
her ^pp3o+pp3+++=her
mother ^npt++++=mother
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
south ^np+pl+++=south
room ^nn++++=room,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
it ^pp3+it+++=it
ready ^jj++++=ready
for ^in++++=for
her ^pp$+pp3+++=her
grandparents ^nns++++=grandparents,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
home ^nr++++=home
to ^in++++=to
Thanksgiving ^np+++??+=Thanksgiving
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
a ^at++++=a
visit ^nn++++=visit
to ^in++++=to
their ^pp$+pp3+++=their
youngest ^jjt+atrb+++=youngest
son ^nn++++=son
that ^tht+rel+subj++=that
Submit ^vb+vpub+++=Submit
crept ^vbd+++xvbn+=crept
slyly ^jj++++=slyly
into ^in++++=into
the ^ati++++=the
pantry ^nn++++=pantry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
turkey ^nn++++=turkey
lay ^vbd+++xvbn+=lay
there ^rn+pl+++=there
on ^rp++++=on
the ^ati++++=the
broad ^jj+atrb+++=broad
shelf ^nn++++=shelf
before ^in++++=before
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
all ^abn++++=all
feathers ^nns+nom+++=feathers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
ruefully ^rb++++=ruefully.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
looking ^vbg+++xvbg+=looking
disconsolately ^rb++++=disconsolately
at ^in++++=at
the ^ati++++=the
turkey ^nn++++=turkey.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
flashed ^vbd+++xvbn+=flashed
and ^cc++++=and
a ^at++++=a
red ^nn++++=red
flush ^rb++++=flush
came ^vbd+++xvbn+=came
over ^rp++++=over
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
Satan ^np++++=Satan,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
into ^in+ppvb+++=into
that ^dt+dem+++=that
godly ^jj+atrb+++=godly
new ^jj+atrb+++=new
England ^np++++=England
home ^nr++++=home
three ^cd++++=three
days ^nns++++=days
before ^in++++=before
Thanksgiving ^np+++??+=Thanksgiving,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
whispered ^vprf+++xvbnx+=whispered
in ^in++++=in
her ^pp$+pp3+++=her
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
Submit ^vb+vpub+++=Submit
stole ^vbd+++xvbn+=stole
softly ^rb++++=softly
back ^jjb++++=back
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
a ^at++++=a
chair ^nn++++=chair
before ^in++++=before
the ^ati++++=the
chimney ^nn++++=chimney
cupboard ^nn++++=cupboard,
, ^zz++++=EXTRAWORD
climbed ^j+++xvbn+=climbed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
the ^ati++++=the
pewter ^jjr+atrb+++=pewter
dish ^nn++++=dish
full ^jj++++=full
of ^in++++=of
Revolutionary ^jj+atrb+++=Revolutionary
bullets ^nns+nom+++=bullets.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
stole ^vbd+++xvbnx+=stole
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
pantry ^nn++++=pantry
and ^cc++++=and
emptied ^vbd+++xvbn+=emptied
the ^ati++++=the
bullets ^nns+nom+++=bullets
into ^in++++=into
the ^ati++++=the
turkey ^nn++++=turkey's
's ^$++++=EXTRAWORD
crop ^nn++++=crop.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
a ^at++++=a
needle ^nn++++=needle
and ^cc++++=and
thread ^nn++++=thread
from ^in++++=from
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
sewed ^j+++xvbn+=sewed
up ^rp++++=up
the ^ati++++=the
crop ^nn++++=crop
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vb+++xvbn+=set
the ^ati++++=the
empty ^jj+atrb+++=empty
dish ^nn++++=dish
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
cupboard ^nn++++=cupboard.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
stepped ^vprf+++xvbnx+=stepped
down ^rp++++=down
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
chair ^nn++++=chair
when ^wrb+who+++=when
her ^pp3o+pp3+++=her
brother ^npt++++=brother
Jonas ^np+++??+=Jonas
came ^vbd+++xvbn+=came
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="Submit,"
submit ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
one ^cd1++++=one
game ^nn++++=game
of ^in++++=of
odd ^jj++++=odd
or ^cc++++=or
even ^rb++++=even
with ^in++++=with
the ^ati++++=the
bullets ^nns+nom+++=bullets."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
too ^ql++++=too
busy ^jj++++=busy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
spin ^vb++++=spin
my ^pp$+pp1+++=my
stint ^nn++++=stint."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
one ^cd1++++=one
game ^nn++++=game.
. ^zz++++=EXTRAWORD
Mother ^nn++++=Mother
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ca ^np++++=can't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
