Love ^nn++++=LOVE
of ^in++++=of
future ^jjb+atrb+++=future
dumps ^nns++++=dumps.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
and ^cc++++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
during ^in++++=during
this ^dt+dem+++=this
critical ^jj+atrb+++=critical
period ^nn++++=period,
, ^zz++++=EXTRAWORD
often ^rb++++=often
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
" ^zz++++="Someone
someone ^pn++++=EXTRAWORD
should ^md+nec+++=should
arrange ^vb++++=arrange
a ^at++++=a
march ^nr++++=march"
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Those
those ^dt+dem+++=EXTRAWORD
f ^zz++++=f
ing ^vwbg+++xvbg+=ing
Republican ^nn+nom+++=Republican
senators ^nns++++=senators,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
soon ^rb+tm+++=soon
grew ^vbd+++xvbn+=grew
weary ^jj++++=weary
of ^in++++=of
hearing ^xvbg+++xvbg+=hearing
ourselves ^ppls+pp1+++=ourselves
saying ^vbg+++xvbg+=saying
these ^dt+dem+++=these
things ^nns++++=things
and ^cc++++=and,
, ^zz++++=EXTRAWORD
to ^to++++=to
avoid ^vbi++++=avoid
being ^vbg+beg++xvbg+=being
old ^jj+atrb+++=old
people ^nns++++=people
emptily ^jj++++=emptily
repeating ^jj+++xvbg+=repeating
ourselves ^ppls+pp1+++=ourselves,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
saying ^jj+++xvbg+=saying
those ^dt+dem+++=those
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
our ^pp$+pp1+++=our
puzzles ^nns++++=puzzles
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
election ^nn+nom+++=election.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
speaking ^vbg+++xvbgx+=speaking
here ^rn+pl+++=here
of ^in++++=of
the ^ati++++=the
third ^nn++++=third,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
fourth ^od++++=fourth
( ^zz++++=(of
of ^in++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
total ^nn++++=total
sham ^vb++++=sham,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
hurt ^vbd+++xvbn+=hurt
( ^zz++++=(surprise)
surprise ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Post ^nn++++=Post-election,
- ^zz++++=EXTRAWORD
election ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
new ^jj+atrb+++=new
puzzles ^nns++++=puzzles
( ^zz++++=(mine
mine ^nn++++=EXTRAWORD
a ^at++++=a
difficult ^jj+atrb+++=difficult
sort ^nn++++=sort
of ^in++++=of
Catskills ^np+++??+=Catskills
summer ^nn++++=summer
scene ^nn++++=scene),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
noting ^vbg+vprv++xvbg+=noting
those ^dt+dem+++=those
early ^jj+atrb+++=early
pardons ^nns+++??+=pardons
( ^zz++++=(which,
which ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
granted ^vpsv++agls+xvbnx+=granted,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
well ^jj+pred+++=well
prepared ^jj++agls+xvbn+=prepared
to ^to+jcmp+++=to
expect ^vbi+vprv+++=expect),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
that ^dt+dem+++=that
deluge ^nn++++=deluge
of ^in++++=of
pardons ^nns+++??+=pardons
( ^zz++++=(each
each ^dt++++=EXTRAWORD
making ^jj+atrb++xvbg+=making
way ^nn++++=way
for ^in++++=for
the ^ati++++=the
next ^ap++++=next),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
celebratory ^nn++++=celebratory
verbal ^jj+atrb+++=verbal
nonsense ^nn++++=nonsense
accompanying ^vwbg+++xvbg+=accompanying
the ^ati++++=the
pardons ^nns+++??+=pardons
( ^zz++++=(to
to ^to++++=EXTRAWORD
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
inured ^xvbn+++xvbn+=inured),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
targeting ^jj+++xvbg+=targeting
of ^in++++=of
judges ^nns++++=judges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
incidents ^nns++++=incidents
in ^in++++=in
Reno ^np+++??+=Reno
and ^cc++++=and
Lowell ^np+++??+=Lowell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
investigations ^nns+nom+++=investigations
into ^in++++=into
pundits ^nns++++=pundits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
casting ^jj+++xvbg+=casting
aside ^rp++++=aside
of ^in++++=of
even ^rb++++=even
the ^ati++++=the
expanded ^jj+atrb++xvbn+=expanded
term ^nn++++=term
limits ^nns++++=limits,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
still ^rb++++=still
did ^vbd+dod+aux++=did
not ^xnot++not++=not
really ^rb+emph+++=really
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
happening ^vbg+++xvbgx+=happening.
. ^zz++++=EXTRAWORD
Birds ^nns++++=Birds
still ^rb++++=still
burst ^vbd+++xvbn+=burst
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+tht0++=feel
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
disappointing ^jj+pred+++=disappointing
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
want ^vb++++=want
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
history ^nn++++=history,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
arrives ^vbz++++=arrives,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
not ^xnot++not++=not
look ^vb++++=look
as ^ql++++=as
you ^pp2+pp2+++=you
expect ^vb+vprv+++=expect,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
reading ^jj+++xvbg+=reading
of ^in++++=of
history ^nn++++=history
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
in ^in++++=in
there ^rn+pl+++=there
are ^vb+ber+vrb++=are
always ^rb++++=always
so ^ql++++=so
clear ^vb++++=clear.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
knows ^vbz+vprv+++=knows
exactly ^rb++++=exactly
what ^wdt+who+++=what
one ^cd1++++=one
would ^md+prd+++=would
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
and ^cc++++=and
I ^pp1a+pp1+++=I
( ^zz++++=(and
and ^cc++++=EXTRAWORD
many ^ap++++=many
others ^aps++++=others)
) ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
extreme ^jj+atrb+++=extreme
people ^nns++++=people
than ^in++++=than
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
during ^in++++=during
that ^dt+dem+++=that
critical ^jj+atrb+++=critical
period ^nn++++=period,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
done ^vprf+++xvbnx+=done
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
we ^pp1a+pp1+++=we
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
doing ^vbg+++xvbgx+=doing.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
lives ^nns++++=lives
had ^vb+hv+aux++=had
not ^xnot++not++=not
prepared ^vbd+++xvbn+=prepared
us ^pp1o+pp1+++=us
for ^in++++=for
extremity ^nn+nom+++=extremity,
, ^zz++++=EXTRAWORD
to ^to++++=to
mobilize ^vbi++++=mobilize
or ^cc++++=or
be ^vb+be+aux++=be
as ^cs+sub+++=as
focused ^vbd+++xvbn+=focused
and ^cc+phrs+++=and
energized ^vbd+++xvbn+=energized
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
in ^in++++=in
retrospect ^nn++++=retrospect,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
have ^vb+hv+aux++=have
needed ^vprf+++xvbnx+=needed
to ^to+vcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
not ^xnot++not++=not
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
drop ^vbi++++=drop
everything ^pn++++=everything
in ^in++++=in
defense ^nn+++??+=defense
of ^in++++=of
a ^at++++=a
system ^nn++++=system
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
like ^in++++=like
oxygen ^nn++++=oxygen:
: ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
constantly ^rb+cnj+++=constantly,
, ^zz++++=EXTRAWORD
never ^rb++++=never
noted ^vbd+vprv++xvbn+=noted.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
spoiled ^vpsv++agls+xvbnx+=spoiled,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
As ^ql++++=As
were ^vbd+bed+vrb++=were
those ^dt+dem+++=those
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side:
: ^zz++++=EXTRAWORD
willing ^jj++++=willing
to ^to+jcmp+++=to
tear ^vb++++=tear
it ^pp3+it+++=it
all ^abn++++=all
down ^rp++++=down
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
so ^ql++++=so
thoroughly ^rb+amp+++=thoroughly
nourished ^vprf+++xvbn+=nourished
by ^in++++=by
the ^ati++++=the
vacuous ^jj+atrb+++=vacuous
plenty ^nn++++=plenty
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
all ^abn++++=all
lived ^jj+++xvbn+=lived,
, ^zz++++=EXTRAWORD
a ^at++++=a
bountiful ^jj+atrb+++=bountiful
condition ^nn+nom+++=condition
that ^tht+rel+subj++=that
allowed ^vbd+++xvbn+=allowed
people ^nns++++=people
to ^in++++=to
thrive ^jj++++=thrive
and ^cc++++=and
opine ^nn+++??+=opine
and ^cc++++=and
swagger ^jjr++++=swagger
around ^in++++=around
like ^in++++=like
kings ^nns++++=kings
and ^cc++++=and
queens ^npt++++=queens
while ^cs+sub+++=while
remaining ^vbg+++xvbg+=remaining
ignorant ^jj++++=ignorant
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
history ^nn++++=history.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
had ^vb+hv+aux++=had
me ^pp1o+pp1+++=me
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
will ^md+prd+++=will
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
have ^vb+hv+aux++=have
fought ^vprf+++xvbnx+=fought.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
how ^wrb+who+++=how?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
would ^md+prd+++=would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
fought ^vprf+++xvbnx+=fought?
? ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
called ^vprf+++xvbnx+=called
your ^pp$+pp2+++=your
senator ^nn++++=senator?
? ^zz++++=EXTRAWORD
( ^zz++++=(In
in ^in++++=EXTRAWORD
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
record ^nn++++=record
your ^pp$+pp2+++=your
feeble ^jj+atrb+++=feeble
message ^nn+nom+++=message
on ^in++++=on
a ^at++++=a
senator ^nn++++=senator's
's ^vbz+bez+aux++0=EXTRAWORD
answering ^vbg+++xvbgx+=answering
machine ^nn++++=machine
without ^in++++=without
reprisal ^nn+nom+++=reprisal,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
might ^md+pos+++=might
as ^rb++++=as
well ^rb++++=well
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
singing ^vbg+++xvbgx+=singing
or ^cc++++=or
whistling ^jj+atrb+++=whistling
or ^cc+phrs+++=or
passing ^jj+atrb++xvbg+=passing
wind ^nn++++=wind
into ^in++++=into
it ^pp3+it+++=it
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
good ^jj++++=good
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
called ^vbd+++xvbn+=called,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wrote ^vbd+vprv++xvbn+=wrote
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
money ^nn++++=money
to ^in++++=to
certain ^jj+atrb+++=certain
people ^nns++++=people
running ^vwbg+++xvbg+=running
for ^in++++=for
office ^nn++++=office?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+vrb++=did
that ^cs+sub+++=that
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
marched ^vprf+++xvbnx+=marched?
? ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
suddenly ^rb++++=suddenly
no ^at++++=no
marches ^nn++++=marches.
. ^zz++++=EXTRAWORD
Organized ^j+++xvbn+=Organized
a ^at++++=a
march ^nn++++=march?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
and ^cc+phrs+++=and
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
and ^cc++++=and
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
arrange ^vbi++++=arrange
a ^at++++=a
march ^nn++++=march.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
working ^vbg+++xvbgx+=working
full ^jj++++=full-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
dental ^jj+atrb+++=dental
thing ^nn++++=thing
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
begun ^vprf+++xvbnx+=begun.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
rather ^rb++++=rather
occupies ^vbz++++=occupies
the ^ati++++=the
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
we ^pp1a+pp1+++=we
live ^vb++++=live.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
me ^pp1o+pp1+++=me
drive ^nn++++=drive
down ^rp++++=down
to ^in++++=to
Watsonville ^np+++??+=Watsonville
and ^cc++++=and
harangue ^nn+++??+=harangue
the ^ati++++=the
officials ^nns+nom+++=officials
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
all ^abn++++=all
in ^in++++=in
agreement ^nn+nom+++=agreement
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
armed ^vprf+++xvbnx+=armed
yourself ^ppl+pp2+++=yourself?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
and ^cc++++=and
will ^md+prd+++=will
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
would ^md+prd+++=would
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
By ^in++++=By
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
all ^abn++++=all
is ^vbz+bez+aux++=is
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
return ^vb++++=return
to ^in++++=to
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
blunt ^np++++=blunt:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
advise ^vb+vpub+++=advise
and ^cc+phrs+++=and
implore ^vb++++=implore
you ^pp2+pp2+++=you
to ^to++++=to
stay ^vbi++++=stay
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
business ^nns+nom+++=business
with ^in++++=with
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
involvement ^nn+nom+++=involvement
will ^md+prd+++=will
not ^xnot++not++=not
help ^vb++++=help
( ^zz++++=(especially
especially ^rb++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
taken ^vprf+++xvbnx+=taken
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
fed ^j+++xvbn+=fed
or ^cc++++=or
state ^nn++++=state)
) ^zz++++=EXTRAWORD
and ^cc++++=and
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
hurt ^j+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
offend ^vb++++=offend
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
here ^rn+pl+++=here
use ^vb++++=use
the ^ati++++=the
phrase ^nn++++=phrase
" ^zz++++="empty
empty ^jj+atrb+++=EXTRAWORD
gesture ^nn++++=gesture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
will ^md+prd+++=will
J. ^vb++++=J.'s
's ^$++++=EXTRAWORD
situation ^nn+nom+++=situation
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
so ^ql++++=so
might ^md+pos+++=might
those ^dt+dem+++=those
of ^in++++=of
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
Part ^nn++++=Part
of ^in++++=of
the ^ati++++=the
complication ^nn+nom+++=complication
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
alone ^rb++++=alone
in ^in++++=in
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
well ^rb++++=well.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
someday ^rb++++=someday
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
old ^jj+atrb+++=old
fart ^nn+++??+=fart
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
writing ^vbg+++xvbg+=writing
a ^at++++=a
( ^zz++++=(too)
too ^ql++++=EXTRAWORD
) ^zz++++=EXTRAWORD
long ^rb++++=long
letter ^nn++++=letter
to ^in++++=to
a ^at++++=a
( ^zz++++=(beloved)
beloved ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
grandson ^nn++++=grandson.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
world ^nn++++=world,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
speak ^vb++++=speak
much ^rb++++=much
of ^in++++=of
courage ^nn+nom+++=courage
and ^cc++++=and
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
enough ^qlp++++=enough
about ^rp++++=about
discretion ^nn+nom+++=discretion,
, ^zz++++=EXTRAWORD
about ^in++++=about
caution ^nn+nom+++=caution.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
that ^dt+pdem+++=that
will ^md+prd+++=will
sound ^vb++++=sound
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
it ^pp3+it+++=it
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
this ^dt+dem+++=this
long ^jj++++=long
and ^cc++++=and
have ^vb+hv+vrb++=have
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
occurs ^vbz++++=occurs
to ^in++++=to
me ^pp1o+pp1+++=me
only ^rb+down+++=only
now ^rn+tm+++=now
that ^cs+sub+++=that
you ^pp2+pp2+++=you
and ^cc++++=and
J ^zz++++=J.
. ^zz++++=EXTRAWORD
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
more ^ql++++=more
than ^cs+sub+++=than
just ^rb+emph+++=just
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
( ^zz++++=(must)
must ^md+nec+++=EXTRAWORD
) ^zz++++=EXTRAWORD
complicate ^nn+nom+++=complicate
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
last ^rb++++=last
night ^nn++++=night,
, ^zz++++=EXTRAWORD
a ^at++++=a
vivid ^jj+atrb+++=vivid
dream ^nn++++=dream
of ^in++++=of
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
of ^in++++=of
that ^dt+dem+++=that
critical ^jj++++=critical,
, ^zz++++=EXTRAWORD
pre ^nn+++??+=pre-election
- ^zz++++=EXTRAWORD
election ^nn+nom+++=EXTRAWORD
period ^nn++++=period.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
across ^in+pl+++=across
from ^in++++=from
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
at ^in++++=at
work ^nn++++=work
on ^in++++=on
her ^pp$+pp3+++=her
puzzle ^nn++++=puzzle
( ^zz++++=(puppies
puppies ^nns++++=EXTRAWORD
