Yes ^uh++++=Yes,
's ^vbz+bez+vrb++0=EXTRAWORD
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
son ^nn++++=son,
, ^zz++++=EXTRAWORD
a ^at++++=a
schoolboy ^nn++++=schoolboy
in ^in++++=in
the ^ati++++=the
preparatory ^jj+atrb+++=preparatory
class ^nn++++=class,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
luggage ^nn+nom+++=luggage,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
occupying ^vbg+++xvbgx+=occupying
four ^cd++++=four
seats ^nns++++=seats.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
this ^dt+dem+++=this
occasion ^nn++++=occasion
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing
the ^ati++++=the
uniform ^nn++++=uniform
of ^in++++=of
the ^ati++++=the
Department ^nn+nom+++=Department
of ^in++++=of
Popular ^jj+atrb+++=Popular
Education ^nn+nom+++=Education.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked:
: ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
there ^rn+pl+++=there
not ^xnot++not++=not
a ^at++++=a
free ^jj+atrb+++=free
seat ^nn++++=seat
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered
like ^in++++=like
a ^at++++=a
bulldog ^np++++=bulldog
with ^in++++=with
a ^at++++=a
bone ^nn++++=bone,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
looking ^vbg+++xvbg+=looking
at ^rb++++=at
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
seat ^nn++++=seat
is ^vbz+bez+aux++=is
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
another ^dt++++=another
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
his ^pp$+pp3+++=his
things ^nns++++=things.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
in ^in++++=in
a ^at++++=a
minute ^nn++++=minute."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
began ^vbd+++xvbn+=began
to ^to++++=to
move ^vbi++++=move.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
on ^in++++=on
about ^in++++=about
ten ^cd++++=ten
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
into ^in+ppvb+++=into
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
pedagogue ^nn+++??+=pedagogue,
, ^zz++++=EXTRAWORD
thinking ^vbg+vprv++xvbg+=thinking
that ^tht+vcmp+++=that
there ^ex+pex+++=there
might ^md+pos+++=might
yet ^rb++++=yet
be ^vb+be+vrb++=be
in ^in++++=in
him ^pp3o+pp3+++=him
some ^dti++++=some
gleam ^nn++++=gleam
of ^in++++=of
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^rb++++=no.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
another ^dt++++=another
fifteen ^cd++++=fifteen
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
down ^rp++++=down
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
provisions ^nns++++=provisions
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
eat ^vbi++++=eat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
kettle ^nn++++=kettle
for ^in++++=for
hot ^jj+atrb+++=hot
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
himself ^ppl+pp3+++=himself
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
domestic ^jj+atrb+++=domestic
scandal ^nn++++=scandal
arose ^vbd+++xvbn+=arose
over ^in++++=over
the ^ati++++=the
sugar ^nn++++=sugar
for ^in++++=for
the ^ati++++=the
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
" ^zz++++="Peter,
peter ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
taken ^vprf+++xvbnx+=taken
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
sugar ^nn++++=sugar
on ^in++++=on
the ^ati++++=the
sly ^jj++++=sly!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Word
word ^nn++++=EXTRAWORD
of ^in++++=of
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
by ^in++++=by
God ^np++++=God,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
Look ^vb++++=Look
in ^in++++=in
my ^pp$+pp1+++=my
pockets ^nns++++=pockets,
, ^zz++++=EXTRAWORD
by ^in++++=by
God ^np++++=God!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
swear ^vb+vpub++xvbn+=swear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
lie ^vb++++=lie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
counted ^vbd+++xvbnx+=counted
them ^pp3o+pp3+++=them
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
on ^in++++=on
purpose.. ^nn+++??+=purpose....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
eighteen ^cd++++=eighteen
and ^cc++++=and
now ^rn+tm+++=now
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
seventeen ^cd++++=seventeen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
God! ^np+++??+=God!!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
swear ^vb+vpub++xvbn+=swear.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
shameful ^jj+pred+++=shameful
to ^to++++=to
lie ^vbi++++=lie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
forgive ^vb++++=forgive
you ^pp2+pp2+++=you
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
tell ^vb++++=tell
me ^pp1o+pp1+++=me
straight ^rb++++=straight
out ^rp+pl+++=out
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
lie ^nn++++=lie
I ^pp1a+pp1+++=I
can ^md+pos+++=can
never ^rb++splt++=never
forgive ^vb++++=forgive.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
cowards ^nns++++=cowards
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
capable ^jj+pred+++=capable
of ^in++++=of
lying ^xvbg+++xvbg+=lying
is ^vbz+bez+vrb++=is
capable ^jj+pred+++=capable
of ^in++++=of
murdering ^xvbg+++xvbg+=murdering,
, ^zz++++=EXTRAWORD
of ^in++++=of
stealing ^xvbg+++xvbg+=stealing,
, ^zz++++=EXTRAWORD
of ^in++++=of
betraying ^xvbg+++xvbg+=betraying
his ^pp$+pp3+++=his
king ^nn++++=king
and ^cc++++=and
his ^pp$+pp3+++=his
country... ^nn+++??+=country...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
on ^in++++=on
and ^cc++++=and
ran ^vpsv++agls+xvbn+=ran
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
such ^abl++++=such
utterances ^nns+nom+++=utterances
from ^in++++=from
him ^pp3o+pp3+++=him
in ^in++++=in
my ^pp$+pp1+++=my
earliest ^jjt+atrb+++=earliest
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
governess ^nns+nom+++=governess,
, ^zz++++=EXTRAWORD
afterwards ^rb+tm+++=afterwards
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
class ^nn++++=class
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
in ^in++++=in
the ^ati++++=the
newspaper ^nn+nom+++=newspaper.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
interrupted ^vbd+++xvbnx+=interrupted.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
find ^vb+vprv+++=find
fault ^nn++++=fault
with ^in++++=with
your ^pp$+pp2+++=your
son ^nn++++=son
for ^in++++=for
lying ^xvbg+++xvbg+=lying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
you ^pp2+pp2+++=you
yourself ^ppl+pp2+++=yourself
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
a ^at++++=a
whopping ^nn++++=whopping
lie ^vb++++=lie.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub+tht0+xvbn+=said
this ^dt+dem+++=this
seat ^nn++++=seat
was ^vbd+bedz+aux++=was
occupied ^vpsv++by+xvbnx+=occupied
by ^in++++=by
a ^at++++=a
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
is ^vbz+bez+aux++=is
that ^dt+dem+++=that
gentleman ^nn+nom+++=gentleman?
? ^zz++++=EXTRAWORD
Show ^nn++++=Show
him ^pp3o+pp3+++=him
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
pedagogue ^nn+++??+=pedagogue
went ^vbd+++xvbn+=went
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
dilated ^vwbn+++xvbn+=dilated.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
interfere ^vb++++=interfere
with ^in++++=with
people ^nns++++=people
who ^whp+rel+subj++=who
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
interfere ^vb++++=interfere
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Mind ^nn++++=Mind
your ^pp$+pp2+++=your
own ^ap++++=own
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
scandalous ^jj++++=scandalous!
! ^zz++++=EXTRAWORD
Conductor ^nn++++=Conductor,
, ^zz++++=EXTRAWORD
please ^uh++++=please
warn ^vb+vpub+++=warn
this ^dt+dem+++=this
passenger ^nn+nom+++=passenger
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
interfere ^vb++++=interfere
with ^in++++=with
other ^ap++++=other
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
railway ^nn++++=railway
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
take ^vb++++=take
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
report ^vb++++=report
the ^ati++++=the
matter ^nn++++=matter
to ^in++++=to
the ^ati++++=the
gendarme ^nn++++=gendarme,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
write ^vb++++=write
in ^in++++=in
the ^ati++++=the
complaint ^nn++++=complaint
book ^nn++++=book."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
conductor ^nn++++=conductor
screwed ^vbd+++xvbn+=screwed
up ^rp++++=up
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
in ^in++++=in
a ^at++++=a
fatherly ^jj+atrb+++=fatherly
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
pedagogue ^nn+++??+=pedagogue
went ^vbd+++xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
unconsoled ^j+++xvbn+=unconsoled:
: ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
one ^cd1++++=one
speaks ^vbz++++=speaks
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
was ^vbd+bedz+aux++=was
interfering ^vbg+++xvbgx+=interfering
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
Lord ^npt++++=Lord!
! ^zz++++=EXTRAWORD
a ^at++++=a
decent ^jj++++=decent-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
man ^nn++++=man
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hat ^nn++++=hat
and ^cc++++=and
a ^at++++=a
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
clearly ^rb++++=clearly
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
intelligentia ^nn+++??+=intelligentia.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
peasant ^nn+nom+++=peasant
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
workman ^nn++++=workman
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
an ^at++++=an
intelligent ^jj++++=intelligent!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Intel ^np+++??+=Intel-li-gent!
- ^zz++++=EXTRAWORD
li ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
gent ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
The ^ati++++=The
executioner ^nn+nom+++=executioner
had ^vbd+hvd+aux++=had
named ^vprf+++xvbnx+=named
me ^pp1o+pp1+++=me
executioner ^nn+nom+++=executioner!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
ended.. ^nn+++??+=ended....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
pronounced ^vprf+++xvbnx+=pronounced
his ^pp$+pp3+++=his
own ^ap++++=own
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
pocket ^nn++++=pocket
of ^in++++=of
my ^pp$+pp1+++=my
overcoat ^nn++++=overcoat
a ^at++++=a
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
the ^ati++++=the
charge ^nn++++=charge,
, ^zz++++=EXTRAWORD
pointed ^j+++xvbn+=pointed
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
pedagogue ^nn+++??+=pedagogue
between ^in++++=between
the ^ati++++=the
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
calmly ^rb++++=calmly:
: ^zz++++=EXTRAWORD
" ^zz++++="Say
say ^vb+vpub+tht0++=EXTRAWORD
your ^pp$+pp2+++=your
prayers ^nns+nom+++=prayers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
pale ^nn++++=pale
and ^cc++++=and
shrieked ^vbd+++xvbn+=shrieked:
: ^zz++++=EXTRAWORD
" ^zz++++="Guard-d-d!..."
guard ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
d!.. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
word ^nn++++=word.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
the ^ati++++=the
trigger ^nn++++=trigger.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
finished ^vprf+++xvbnx+=finished,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeat ^nn++++=repeat:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
repent ^vb++++=repent.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
sorrow ^nn++++=sorrow
for ^in++++=for
him ^pp3o+pp3+++=him
in ^in++++=in
my ^pp$+pp1+++=my
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
desolating ^jj+atrb++xvbg+=desolating
doubt ^nn++++=doubt
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
haunt ^vb++++=haunt
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
my ^pp$+pp1+++=my
days ^nns++++=days,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
I ^pp1a+pp1+++=I
finish ^nn++++=finish
them ^pp3o+pp3+++=them
in ^in++++=in
prison ^nn++++=prison
or ^cc++++=or
in ^in++++=in
an ^at++++=an
asylum ^nn++++=asylum.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
son ^nn++++=son
left ^vbd+++xvbn+=left!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
If ^cs+cnd+++=if
He ^pp3a+pp3+++=he
Takes ^vbz++++=takes
On ^rb+phrv+++=on
His ^pp$+pp3+++=his
Father ^nn++++=father's
s ^$++++=EXTRAWORD
Nature ^nn++++=nature?
 ^zz++++=EXTRAWORD
