" ^zz++++="All
resumed ^vbd+++xvbnx+=resumed
his ^pp$+pp3+++=his
seat ^nn++++=seat
beside ^in+pl+++=beside
a ^rb++++=a
little ^rb"++++=little
table ^nn++++=table
heaped ^vbd+++xvbn+=heaped
with ^in++++=with
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
with ^in++++=with
bundles ^nns++++=bundles
of ^in++++=of
letters ^nns+nom+++=letters
neatly ^rb++++=neatly
tied ^jj+++xvbn+=tied
and ^cc+phrs+++=and
docketed ^jj+++xvbn+=docketed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
right ^jj+atrb+++=right
hand ^nn++++=hand
rested ^vbd+++xvbn+=rested
on ^in++++=on
these ^dt+dem+++=these
bundles ^nns++++=bundles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
tapped ^vwbn+++xvbn+=tapped
upon ^in++++=upon
them ^pp3o+pp3+++=them
idly ^rb++++=idly
for ^in++++=for
a ^at++++=a
minute ^nn++++=minute
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
Fritz ^np++++=Fritz's?
's? ^nn+++??+=EXTRAWORD
of ^in++++=of
my ^pp$+pp1+++=my
grandson ^nn++++=grandson?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
not ^xnot++not++=not
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
knowing ^xvbg+++xvbg+=knowing
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
niece ^nn++++=niece's
's ^$++++=EXTRAWORD
introduction ^nn+nom+++=introduction
leaves ^nns++++=leaves
me ^pp1o+pp1+++=me
to ^to++++=to
explain ^vbi+vpub+++=explain
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
just ^rb+emph+++=just
a ^at++++=a
wayfarer ^jjr++++=wayfarer
who ^whp+who+++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
misfortune ^nn++++=misfortune
to ^to++++=to
twist ^vbi++++=twist
an ^at++++=an
ankle ^nn++++=ankle,
, ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
on ^in++++=on
Skirrid ^np+++??+=Skirrid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crawled ^vprf+++xvbn+=crawled
here ^rn+pl+++=here
to ^to++++=to
ask ^vbi++++=ask
his ^pp$+pp3+++=his
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
hoping ^vbg+vprv++xvbgx+=hoping
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
brought ^vbd+++xvbn+=brought
news ^nn++++=news
of ^in++++=of
Fritz ^np++++=Fritz.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
welcome ^jj+pred+++=welcome,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
to ^in++++=to
rest ^nn++++=rest
your ^pp$+pp2+++=your
foot ^nn++++=foot
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
ask ^vb++++=ask
your ^pp$+pp2+++=your
pardon ^nn++++=pardon
for ^in++++=for
not ^xnot++not++=not
perceiving ^nn++++=perceiving
your ^pp$+pp2+++=your
misfortune ^nn++++=misfortune.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
blind ^jj+pred+++=blind.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Wilhelmina ^np+++??+=Wilhelmina--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
grandniece ^nn+++??+=grandniece
-- ^--+clp+++=--will
will ^md+prd+++=EXTRAWORD
attend ^vb++++=attend
to ^in++++=to
your ^pp$+pp2+++=your
wants ^nns++++=wants."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady
of ^in++++=of
very ^ql+amp+++=very
large ^jj+atrb+++=large
heart ^nn++++=heart,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
with ^in++++=with
me ^pp1o+pp1+++=me
daily ^jj++++=daily,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
her ^pp$+pp3+++=her
since ^cs+sub+++=since
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
always ^rb++++=always
picture ^nn++++=picture
her ^pp$+pp3+++=her
as ^in++++=as
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
To ^in++++=To
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
a ^at++++=a
woman ^nn++++=woman
grown ^vbd+++xvbn+=grown?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
feeling ^xvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
decidedly ^rb++++=decidedly
more ^rbr++++=more
woman ^nn++++=woman
than ^in++++=than
child ^nn++++=child;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
manner ^nn++++=manner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
please ^uh++++=please
me ^pp1o+pp1+++=me
by ^in++++=by
saying ^xvbg+++xvbg+=saying
so ^ql++++=so.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+aux++=is
to ^to++++=to
marry ^vbi++++=marry
Fritz ^np++++=Fritz,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
that ^tht+vcmp+++=that
to ^to++++=to
happen ^vbi+v+++=happen
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
die ^vb++++=die."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Receiving ^jj+++xvbg+=Receiving
no ^at++++=no
answer ^nn++++=answer
to ^in++++=to
this ^dt+pdem+++=this--for,
-- ^--+clp+++=EXTRAWORD
for ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
say ^vbi+vpub+++=say--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
startled ^vbd+++xvbnx+=startled
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
sudden ^jj+atrb+++=sudden
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
disapprove ^vb++++=disapprove
of ^in++++=of
cousins ^nns++++=cousins
marrying ^vwbg+++xvbg+=marrying?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
only ^rb+down+++=only
murmur ^nn++++=murmur
that ^tht+rel+obj++=that
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
depended ^vbd+++xvbn+=depended
on ^in++++=on
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
circumstances ^nns+nom+++=circumstances
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
second ^od++++=second
cousins ^nns++++=cousins
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
both ^abx++++=both
look ^vb++++=look
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
one ^pn++++=one
to ^in++++=to
force ^nn++++=force
their ^pp$+pp3+++=their
inclinations ^nns+nom+++=inclinations,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand--though,
-- ^--+clp+++=EXTRAWORD
though ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
to ^to++++=to
be ^vbi+vbi+aux++=be
my ^pp$+pp1+++=my
wish ^vb+vprv+++=wish--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
wish ^nn++++=wish
of ^in++++=of
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
for ^in++++=for
Melchior ^np+++??+=Melchior
is ^vbz+bez+vrb++=is
at ^rb++++=at
one ^pn++++=one
with ^in++++=with
me ^pp1o+pp1+++=me
in ^in++++=in
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Wilhelmina ^np+++??+=Wilhelmina
accepts ^vbz++++=accepts
her ^pp$+pp3+++=her
future ^nn++++=future--speaks
-- ^--+clp+++=EXTRAWORD
speaks ^vbz++++=EXTRAWORD
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
with ^in++++=with
gaiety ^nn++++=gaiety.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
for ^in"++++=for
Fritz ^np++++=Fritz--though
-- ^--+clp+++=EXTRAWORD
though ^cs+sub+++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
not ^xnot++not++=not
seen ^vbd+vprv++xvbn+=seen
each ^ppls++++=each
other ^ap++++=other
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
boy ^nn++++=boy
and ^cc++++=and
she ^pp3a+pp3+++=she
an ^at++++=an
infant ^nn++++=infant--as
-- ^--+clp+++=EXTRAWORD
as ^in++++=EXTRAWORD
for ^in"++++=for
Fritz ^np++++=Fritz,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
writes ^vbz+vprv+++=writes--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
judge ^vb++++=judge
from ^in++++=from
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
letter ^nn++++=letter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
among ^in++++=among
the ^ati++++=the
packets ^nns++++=packets
and ^cc++++=and
selected ^jj+atrb++xvbn+=selected
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
one ^pn++++=one
from ^in++++=from
t ^zz++++=t'other
'other ^jjr++++0=EXTRAWORD
by ^in++++=by
the ^ati++++=the
knots ^nns++++=knots,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
an ^at++++=an
old ^jj+atrb+++=old
seaman ^nn++++=seaman!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
last ^ap++++=last,
, ^zz++++=EXTRAWORD
written ^j+++xvbn+=written
from ^in++++=from
the ^ati++++=the
South ^nr+pl+++=South
Pacific ^jj+atrb+++=Pacific
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sends ^vbz++++=sends
his ^pp$+pp3+++=his
love ^vb++++=love
to ^to+vcmp+++=to
' ^zz++++='Mina,
mina ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jokes ^nns++++=jokes
about ^rb++++=about
her ^pp3o+pp3+++=her
being ^vbg+beg++xvbg+=being
husband ^nn++++=husband-high:
- ^zz++++=EXTRAWORD
high ^jj++++=EXTRAWORD
: ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
must ^md+nec+++=must
grow ^vb++++=grow,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
do ^vbi++++=do
credit ^nn++++=credit
to ^in++++=to
the ^ati++++=the
Van ^&fw++++=Van
der ^&fw++++=der
Knoopes ^np+++??+=Knoopes
at ^in++++=at
the ^ati++++=the
altar ^nn++++=altar.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seems ^vbz+seem+++=seems
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
something ^pn++++=something
below ^in+pl+++=below
the ^ati++++=the
traditional ^jj+atrb+++=traditional
height ^nn++++=height
of ^in++++=of
our ^pp$+pp1+++=our
family ^nn++++=family;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
thorough ^jj+atrb+++=thorough
seaman ^nn++++=seaman,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
his ^pp$+pp3+++=his
modesty ^nn++++=modesty.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir:
: ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
the ^ati++++=the
passage ^nn+nom+++=passage
on ^in++++=on
the ^ati++++=the
fourth ^od++++=fourth
page ^nn++++=page,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
top ^nn++++=top."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
the ^ati++++=the
letter ^nn++++=letter;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
read ^j+++xvbn+=read
the ^ati++++=the
words ^nns++++=words
the ^ati++++=the
old ^jj+atrb+++=old
Admiral ^npt++++=Admiral
had ^vbd+hvd+aux++=had
quoted ^vprf+++xvbnx+=quoted.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
Fritz ^np++++=Fritz
Van ^&fw++++=Van
der ^&fw++++=der
Knoope ^np+++??+=Knoope
used ^vwbn+++xvbn+=used
a ^at++++=a
very ^ql+amp+++=very
ladylike ^jj+atrb+++=ladylike
handwriting ^nn++++=handwriting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
a ^at++++=a
sort ^nn++++=sort
not ^xnot++not++=not
usually ^rb+down+++=usually
taught ^vprf+++xvbn+=taught
on ^in++++=on
H.m.s ^np++++=H.M.S.
. ^zz++++=EXTRAWORD
Britannia ^np++++=Britannia.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
two ^cd++++=two
years ^nns++++=years'
' ^zz++++=EXTRAWORD
time ^nn++++=time
the ^ati++++=the
lad ^nn++++=lad
will ^md+prd+++=will
be ^vb+be+vrb++=be
home ^nr++++=home,
, ^zz++++=EXTRAWORD
all ^abn++++=all
being ^jj+++xvbg+=being
well ^rb++++=well.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
what ^wdt+who+++=what
rank ^nn++++=rank
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
present ^vb++++=present
a ^at++++=a
second ^od++++=second
lieutenant ^nn+nom+++=lieutenant.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
age ^nn++++=age
is ^vbz+bez+vrb++=is
but ^cc++++=but
twenty ^cd++++=twenty-one.
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Van ^&fw++++=Van
der ^&fw++++=der
Knoopes ^np+++??+=Knoopes
have ^vb+hv+vrb++=have
all ^abn++++=all
followed ^jj+++xvbn+=followed
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
portraits ^nns++++=portraits
in ^in++++=in
this ^dt+dem+++=this
house ^nn++++=house
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Ay ^uh++++=Ay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
fought ^vprf+++xvbnx+=fought
against ^in++++=against
England ^np++++=England
in ^in++++=in
our ^pp$+pp1+++=our
time ^nn++++=time.
. ^zz++++=EXTRAWORD
As ^ql++++=As
late ^jj++++=late
as ^ql++++=as
1672 ^cd+date+++=1672,
, ^zz++++=EXTRAWORD
Adrian ^np++++=Adrian
Van ^&fw++++=Van
der ^&fw++++=der
Knoope ^np+++??+=Knoope
commanded ^vbd+vpub++xvbn+=commanded
a ^at++++=a
ship ^nn++++=ship
under ^in++++=under
De ^&fw++++=De
Ruyter ^np+++??+=Ruyter
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
outgeneralled ^vbd+++xvbnx+=outgeneralled
the ^ati++++=the
English ^nn++++=English
in ^in++++=in
Southwold ^np+++??+=Southwold
Bay ^nn++++=Bay.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
since ^cs+sub+++=since
1688 ^cd+date+++=1688
our ^pp$+pp1+++=our
swords ^nns++++=swords
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
our ^pp$+pp1+++=our
adopted ^vprf+++xvbn+=adopted
country ^nn++++=country;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
used ^vprf+++xvbnx+=used
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
listening ^nvbg+++xvbg+=listening.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
chair ^nn++++=chair
faced ^vwbn+++xvbn+=faced
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
the ^ati++++=the
letter ^nn++++=letter
in ^in++++=in
my ^pp$+pp1+++=my
hands ^nns++++=hands
enough ^qlp++++=enough
light ^jj++++=light
filtered ^jj+++xvbn+=filtered
through ^in++++=through
the ^ati++++=the
transparent ^jj++++=transparent
" ^zz++++="foreign"
foreign ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
paper ^nn++++=paper
to ^to++++=to
throw ^vbi++++=throw
up ^rp++++=up
the ^ati++++=the
watermark ^nn+++??+=watermark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
bore ^vbd+++xvbn+=bore
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
an ^at++++=an
English ^jj++++=English
firm ^jj++++=firm.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
small ^jj+atrb+++=small
discovery ^nn+nom+++=discovery,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
unwillingly ^rb++++=unwillingly
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
sudden ^jj+atrb+++=sudden
sense ^nn++++=sense
of ^in++++=of
shame ^nn++++=shame,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
playing ^vbg+++xvbgx+=playing
some ^dti++++=some
dishonourable ^jj+atrb+++=dishonourable
trick ^nn++++=trick.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
hastily ^rb++++=hastily
folding ^jj+pred+++=folding
up ^rp++++=up
the ^ati++++=the
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
to ^to++++=to
return ^vbi++++=return
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened
and ^cc++++=and
Wilhelmina ^np+++??+=Wilhelmina
came ^vbd+++xvbn+=came
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp3o+pp3+++=her
uncle ^npt++++=uncle
Melchior ^np+++??+=Melchior.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
divine ^vbi++++=divine
in ^in++++=in
an ^at++++=an
instant ^nn+nom+++=instant
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened;
; ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
a ^at++++=a
swift ^jj+atrb+++=swift
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
blind ^jj+atrb+++=blind
Admiral ^nn++++=Admiral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
as ^cs+sub+++=as
swiftly ^rb++++=swiftly
took ^vbd+++xvbn+=took
the ^ati++++=the
letter ^nn++++=letter
from ^in++++=from
my ^pp$+pp1+++=my
hand ^nn++++=hand
and ^cc++++=and
restored ^jj+++xvbn+=restored
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
packet ^nn++++=packet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
with ^in++++=with
perfect ^jj+atrb+++=perfect
coolness ^nns+nom+++=coolness
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
introducing ^vbg+++xvbgx+=introducing
me ^pp1o+pp1+++=me
to ^in++++=to
her ^pp3o+pp3+++=her
uncle ^npt++++=uncle
Melchior ^np+++??+=Melchior.
. ^zz++++=EXTRAWORD
Melchior ^np+++??+=Melchior
Van ^&fw++++=Van
der ^&fw++++=der
Knoope ^np+++??+=Knoope
was ^vbd+bedz+vrb++=was
perhaps ^rb++++=perhaps
ten ^cd++++=ten
years ^nns++++=years
younger ^jjr++++=younger
than ^in++++=than
his ^pp$+pp3+++=his
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
his ^pp$+pp3+++=his
tall ^jj+atrb+++=tall
figure ^nn++++=figure
buttoned ^vbd+++xvbn+=buttoned
up ^rp++++=up
tightly ^rb++++=tightly
in ^in++++=in
an ^at++++=an
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
frockcoat ^nn++++=frockcoat:
: ^zz++++=EXTRAWORD
a ^at++++=a
mummy ^nn++++=mummy
of ^in++++=of
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
air ^nn++++=air
of ^in++++=of
mild ^jj+atrb+++=mild
bewilderment ^nn+nom+++=bewilderment
and ^cc++++=and
a ^at++++=a
trick ^nn++++=trick
of ^in++++=of
running ^xvbg+++xvbg+=running
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand
through ^in++++=through
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
hair ^nn++++=hair--due,
-- ^--+clp+++=EXTRAWORD
due ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
to ^in++++=to
everlasting ^jj+atrb+++=everlasting
difficulty ^nn++++=difficulty
with ^in++++=with
the ^ati++++=the
family ^nn++++=family
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
hands ^nns++++=hands
as ^ql++++=as
