End ^nn++++=End
I ^pp1a+pp1+++=I
of ^in++++=of
your ^pp$+pp2+++=your
words ^nns++++=words?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
desire ^nn++++=desire
your ^pp$+pp2+++=your
groans ^nn++++=groans,
, ^zz++++=EXTRAWORD
perverse ^jj+atrb+++=perverse
divinity ^nn+nom+++=divinity.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
are ^vb+ber+vrb++=are
the ^ati++++=the
chains ^nns++++=chains.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
how ^wrb+who+whcl++=how
I ^pp1a+pp1+++=I
raise ^vb++++=raise
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
clank ^nn+++??+=clank
of ^in++++=of
the ^ati++++=the
iron ^nn++++=iron
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
unbound ^vbd+++xvbn+=unbound
you ^pp2+pp2+++=you
just ^rb+emph+++=just
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Hercules ^np+++??+=Hercules.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Hercules ^np+++??+=Hercules
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
will ^md+prd+++=will
repeat ^vb++++=repeat
his ^pp$+pp3+++=his
service ^nn++++=service
now ^rn+tm+++=now
that ^cs+sub+++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
bound ^vpsv++agls+xvbnx+=bound
anew ^nn+++??+=anew.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
raving ^jj+pred+++=raving.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
your ^pp$+pp2+++=your
first ^od++++=first
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
earth ^nn++++=earth
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
second ^od++++=second
and ^cc++++=and
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
even ^rb++++=even
Hercules ^vb+++??+=Hercules
will ^md+prd+++=will
ever ^rb++++=ever
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
break ^vb++++=break
these ^dt+dem+++=these
fetters ^nns+nom+++=fetters.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
how ^wrb+who+whcl++=how
I ^pp1a+pp1+++=I
brandish ^jj++++=brandish
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
like ^in++++=like
feathers ^nns+nom+++=feathers!
! ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
represent ^vb++++=represent
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
millennial ^jj+atrb+++=millennial
despairs ^nns+++??+=despairs.
. ^zz++++=EXTRAWORD
All ^abn++++=All
humanity ^nn+nom+++=humanity
is ^vbz+bez+aux++=is
concentrated ^vpsv++agls+xvbnx+=concentrated
within ^in++++=within
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
sink ^vb++++=sink
into ^in++++=into
the ^ati++++=the
abyss ^nn++++=abyss,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
write ^vb++++=write
upon ^in++++=upon
this ^dt+dem+++=this
stone ^nn++++=stone
the ^ati++++=the
epitaph ^nn++++=epitaph
of ^in++++=of
a ^at++++=a
world ^nn++++=world.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
summon ^vb++++=summon
the ^ati++++=the
eagle ^nn++++=eagle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
come ^vb++++=come;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
it ^pp3+it+++=it
that ^cs+sub+++=that
the ^ati++++=the
last ^jj+atrb+++=last
man ^nn++++=man,
, ^zz++++=EXTRAWORD
on ^in++++=on
departing ^nn++++=departing
from ^in++++=from
life ^nn++++=life,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
him ^pp3o+pp3+++=him
a ^at++++=a
god ^np++++=god
as ^ql++++=as
a ^at++++=a
gift ^nn++++=gift.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor,
, ^zz++++=EXTRAWORD
ignorant ^jj+atrb+++=ignorant
wretch ^nn++++=wretch,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
rejects ^vbz++++=rejects
a ^at++++=a
throne ^nn++++=throne!
! ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
reject ^vb++++=reject
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you
who ^whp+who+++=who
are ^vb+ber+vrb++=are
raving ^jj+pred+++=raving.
. ^zz++++=EXTRAWORD
Kneel ^vb++++=Kneel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
manacle ^nn++++=manacle
your ^pp$+pp2+++=your
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
well ^rb++++=well
you ^pp2+pp2+++=you
will ^md+prd+++=will
resist ^vb++++=resist
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Bend ^nn++++=Bend
this ^dt+dem+++=this
way ^nn++++=way;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
your ^pp$+pp2+++=your
legs ^nns++++=legs
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
passions ^nns++++=passions
of ^in++++=of
earth ^nn++++=earth
turning ^vwbg+++xvbg+=turning
upon ^in++++=upon
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
am ^vb+bem+vrb++=am
not ^xnot++not++=not
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
ingratitude ^nn++++=ingratitude.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
spared ^vpsv++agls+xvbnx+=spared
a ^at++++=a
jot ^nn++++=jot
of ^in++++=of
your ^pp$+pp2+++=your
destiny ^nn++++=destiny;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+aux++=be
fulfilled ^vpsv++agls+xvbnx+=fulfilled
to ^in++++=to
the ^ati++++=the
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
yourself ^ppl+pp2+++=yourself
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
new ^jj+atrb+++=new
Hercules ^np+++??+=Hercules.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
announced ^vbd+vpub++xvbn+=announced
the ^ati++++=the
glory ^nn++++=glory
of ^in++++=of
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
proclaim ^vb++++=proclaim
yours ^pp$$++++=yours;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
no ^at++++=no
less ^rbr++++=less
generous ^jj++++=generous
than ^cs+sub+++=than
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
mad ^jj++++=mad?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
unknown ^jj++++=unknown
to ^in++++=to
man ^nn++++=man
is ^vbz+bez+vrb++=is
the ^ati++++=the
madness ^nns+nom+++=madness
of ^in++++=of
him ^pp3o+pp3+++=him
who ^whp+who+++=who
proclaims ^vbz++++=proclaims
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Proceed ^vb++++=Proceed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Glory ^nn++++=Glory
pays ^vbz++++=pays
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dies ^vbz++++=dies.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
glory ^nn++++=glory
will ^md+prd+++=will
never ^rb++splt++=never
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
done ^vprf+++xvbnx+=done;
; ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done;
; ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
the ^ati++++=the
sharp ^jj+atrb+++=sharp
beak ^nn++++=beak
of ^in++++=of
the ^ati++++=the
eagle ^nn++++=eagle
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
devour ^vbi++++=devour
my ^pp$+pp1+++=my
entrails ^nns++++=entrails.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
hear ^vb+vprv+++=hear
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
understand ^vb+vprv+++=understand
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Speak ^vb++++=Speak;
; ^zz++++=EXTRAWORD
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ephemeral ^jj+atrb+++=ephemeral
world ^nn++++=world
cannot ^md+pos+not++=cannot
understand ^vb+vprv+++=understand
the ^ati++++=the
world ^nn++++=world
eternal ^jj++++=eternal;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
link ^nn++++=link
between ^in++++=between
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
speak ^vb++++=speak
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
fetter ^vb++++=fetter
these ^dt+dem+++=these
wrists ^nns++++=wrists
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
flee ^vb++++=flee,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
here ^rn+pl+++=here
on ^in++++=on
your ^pp$+pp2+++=your
return ^nn++++=return.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
you ^pp2+pp2+++=you
all ^rb++++=all?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
told ^vprf++tht0+xvbnx+=told
you ^pp2+pp2+++=you
that ^cs+sub+++=that
a ^at++++=a
new ^jj+atrb+++=new
race ^nn++++=race
shall ^md+prd+++=shall
people ^vb++++=people
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
formed ^j+++xvbn+=formed
of ^in++++=of
the ^ati++++=the
chosen ^jj+atrb++xvbn+=chosen
spirits ^nns++++=spirits
of ^in++++=of
the ^ati++++=the
extinct ^jj+atrb+++=extinct
humanity ^nn+nom+++=humanity;
; ^zz++++=EXTRAWORD
the ^ati++++=the
multitude ^nn++++=multitude
of ^in++++=of
others ^aps++++=others
will ^md+prd+++=will
perish ^vb++++=perish.
. ^zz++++=EXTRAWORD
A ^at++++=A
noble ^jj+atrb+++=noble
family ^nn++++=family,
, ^zz++++=EXTRAWORD
all ^abn++++=all-seeing
- ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=EXTRAWORD
and ^cc++++=and
powerful ^jj++++=powerful,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
perfect ^jj+atrb+++=perfect
synthesis ^nn++++=synthesis
of ^in++++=of
the ^ati++++=the
divine ^jj++++=divine
and ^cc++++=and
the ^ati++++=the
human ^nn++++=human.
. ^zz++++=EXTRAWORD
The ^ati++++=The
times ^nns++++=times
will ^md+prd+++=will
be ^vb+be+vrb++=be
others ^aps++++=others,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
between ^in++++=between
them ^pp3o+pp3+++=them
and ^cc++++=and
these ^dt+dem+++=these
a ^at++++=a
link ^nn++++=link
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
that ^dt+dem+++=that
link ^nn++++=link.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
yourself ^ppl+pp2+++=yourself;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chosen ^jj+atrb++xvbn+=chosen
one ^pn++++=one;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
the ^ati++++=the
King ^nn++++=King.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
King ^npt++++=King.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Wanderer ^np+nom++??+=Wanderer
will ^md+prd+++=will
find ^vb+vprv+++=find
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
despised ^nn++++=despised
of ^in++++=of
men ^nns++++=men
shall ^md+prd+++=shall
rule ^vb++++=rule
over ^in++++=over
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Wily ^np+++??+=Wily
Titan ^nn++++=Titan,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
deceiving ^vbg+++xvbgx+=deceiving
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
King ^npt++++=King,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
King ^npt++++=King.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
world ^nn++++=world
needs ^vb++++=needs
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
bound ^vpsv++by+xvbnx+=bound
by ^in++++=by
a ^at++++=a
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
can ^md+pos+++=can
speak ^vb++++=speak
of ^in++++=of
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
no ^at++++=no
gap ^nn++++=gap
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
humanities ^nns+nom+++=humanities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
perfect ^nn++++=perfect
will ^md+prd+++=will
proceed ^vb++++=proceed
from ^in++++=from
the ^ati++++=the
imperfect ^jj++++=imperfect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
lips ^nns++++=lips
will ^md+prd+++=will
tell ^vb++++=tell
the ^ati++++=the
new ^jj+atrb+++=new
world ^nn++++=world
its ^pp$+it+++=its
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
relate ^vb++++=relate
to ^in++++=to
the ^ati++++=the
new ^jj+atrb+++=new
humanity ^nn+nom+++=humanity
all ^rb++++=all
the ^ati++++=the
ancient ^jj++++=ancient
good ^jj++++=good
and ^cc++++=and
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thus ^rb+cnj+++=thus
will ^md+prd+++=will
you ^pp2+pp2+++=you
live ^vb++++=live
anew ^nn+++??+=anew
like ^in++++=like
the ^ati++++=the
tree ^nn++++=tree
whose ^whp+rel+obj++=whose
dead ^jj+atrb+++=dead
branches ^nns++++=branches
are ^vb+ber+aux++=are
lopped ^vpsv++agls+xvbnx+=lopped
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
flourishing ^jj+atrb+++=flourishing
ones ^cd1s++++=ones
being ^xvbg+++xvbg+=being
preserved ^vbd+++xvbn+=preserved,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
here ^rn+pl+++=here
growth ^nn++++=growth
will ^md+prd+++=will
be ^vb+be+vrb++=be
eternal ^jj+pred+++=eternal.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Resplendent ^jj+atrb+++=Resplendent
vision ^nn++++=vision!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
very ^ap+amp+++=very
self ^nn++++=self.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
eyes ^nns++++=eyes
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
these ^dt+dem+++=these
hands ^nns++++=hands
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
and ^cc+phrs+++=and
better ^jjr+atrb+++=better
life ^nn++++=life
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Glorious ^jj+atrb+++=Glorious
vision ^nn++++=vision!
! ^zz++++=EXTRAWORD
Titan ^nn++++=Titan,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
was ^vbd+bedz+vrb++=was
the ^ati++++=the
punishment ^nn+nom+++=punishment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
equally ^rb++++=equally
just ^rb+emph+++=just
is ^vbz+bez+vrb++=is
the ^ati++++=the
glorious ^jj+atrb+++=glorious
remission ^nn++++=remission
of ^in++++=of
my ^pp$+pp1+++=my
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
live ^vb++++=live?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself?
? ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj+atrb+++=new
and ^cc+phrs+++=and
better ^jjr+atrb+++=better
life ^nn++++=life?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
jesting ^vbg+++xvbgx+=jesting
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
leave ^nn++++=leave
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
return ^vb++++=return
some ^dti++++=some
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
this ^dt+dem+++=this
vast ^jj+atrb+++=vast
heaven ^nn++++=heaven
will ^md+prd+++=will
be ^vb+be+vrb++=be
open ^jj+pred+++=open
to ^to++++=to
let ^vbi++++=let
the ^ati++++=the
spirits ^nns++++=spirits
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
life ^nn++++=life
descend ^vb++++=descend.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
find ^vb+vprv+++=find
me ^pp1o+pp1+++=me
here ^rn+pl+++=here
at ^in++++=at
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
again ^rb+tm+++=again
greet ^vb++++=greet
the ^ati++++=the
sun ^nn++++=sun?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
selfsame ^jjb+atrb+++=selfsame
sun ^nn++++=sun
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
about ^md"++pmd"++=about
to ^md+prd+++=to
set ^vb+++xvbn+=set.
. ^zz++++=EXTRAWORD
Friend ^nn++++=Friend
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
eye ^nn++++=eye
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
nevermore ^nn+++??+=nevermore
shall ^md+prd+++=shall
your ^pp$+pp2+++=your
eyelids ^nns++++=eyelids
close ^nn++++=close.
. ^zz++++=EXTRAWORD
Gaze ^nn++++=Gaze
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
conditions ^nns+nom+++=conditions
of ^in++++=of
life ^nn++++=life
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
your ^pp$+pp2+++=your
retina ^nn++++=retina
will ^md+prd+++=will
gaze ^vb++++=gaze
upon ^in++++=upon
the ^ati++++=the
sun ^nn++++=sun
without ^in++++=without
peril ^nn++++=peril,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
the ^ati++++=the
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
future ^nn++++=future
will ^md+prd+++=will
be ^vb+be+aux++=be
concentrated ^vpsv++agls+xvbnx+=concentrated
all ^abn++++=all
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best
in ^in++++=in
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
energizing ^jj+++xvbg+=energizing
or ^cc+phrs+++=or
subtle ^jj++++=subtle,
, ^zz++++=EXTRAWORD
scintillating ^jj++++=scintillating
or ^cc+phrs+++=or
pure ^jj++++=pure.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Swear ^vb+++xvbn+=Swear
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
not ^xnot++not++=not
lying ^vbg+++xvbg+=lying.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
see ^vb+vprv+++=see
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
lie ^vb++++=lie.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Speak ^vb++++=Speak,
, ^zz++++=EXTRAWORD
speak ^vb++++=speak
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
