**a ^nn+++??+=**A
Letter ^nn++++=LETTER
composed ^vprf+++xvbnx+=composed
an ^at++++=an
inscription ^nn+nom+++=inscription.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
appeared ^vbd+seem++xvbn+=appeared
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
that ^dt+dem+++=that
illustrious ^jj+atrb+++=illustrious
race ^nn++++=race
of ^in++++=of
vegetables ^nns++++=vegetables
afterwards ^rb+tm+++=afterwards
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Head ^jjb+atrb+++=Head
cabbages ^nns+nom+++=cabbages.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
mark ^nn++++=mark
the ^ati++++=the
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
tide ^nn++++=tide
withdrew ^vbd+++xvbn+=withdrew
that ^cs+sub+++=that
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
Stuyvesant ^np+nom+++=Stuyvesant's
's ^$++++=EXTRAWORD
shoe ^nn++++=shoe
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
an ^at++++=an
oyster ^nn++++=oyster
of ^in++++=of
enormous ^jj+atrb+++=enormous
size ^nn++++=size,
, ^zz++++=EXTRAWORD
shaped ^j+++xvbn+=shaped
like ^in++++=like
a ^at++++=a
martial ^jj+atrb+++=martial
foot ^nn++++=foot
and ^cc++++=and
closed ^vpsv++agls+xvbn+=closed
with ^in++++=with
a ^at++++=a
resolution ^nn+nom+++=resolution
which ^whp+rel+subj++=which
defied ^vbd+++xvbn+=defied
crowbar ^nn++++=crowbar,
, ^zz++++=EXTRAWORD
knife ^nn++++=knife
and ^cc++++=and
municipal ^jj+atrb+++=municipal
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
Baltus ^np+++??+=Baltus
struck ^vbd+++xvbn+=struck
it ^pp3+it+++=it
three ^cd++++=three
times ^nns++++=times
with ^in++++=with
the ^ati++++=the
wooden ^jj+atrb+++=wooden
leg ^nn++++=leg
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
militia ^nn+++??+=militia
stool ^nn++++=stool,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
it ^pp3+it+++=it
opened ^vbd+++xvbn+=opened
and ^cc+phrs+++=and
revealed ^vbd+vprv++xvbn+=revealed
meat ^nn++++=meat
sufficient ^jj++++=sufficient
for ^in++++=for
a ^at++++=a
family ^nn++++=family
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Foot ^nn++++=Foot
oyster ^nn++++=oyster;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
certain ^jj+atrb+++=certain
natural ^jj+atrb+++=natural
philosophers ^nns+nom+++=philosophers
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
it ^pp3+it+++=it
by ^in++++=by
currents ^nns++++=currents,
, ^zz++++=EXTRAWORD
sediment ^nn+nom+++=sediment
and ^cc++++=and
saline ^nn++++=saline
fructification ^nn+nom+++=fructification,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
theories ^nns++++=theories
are ^vb+ber+aux++=are
refuted ^vpsv++by+xvbnx+=refuted
by ^in++++=by
the ^ati++++=the
circumstance ^nn+nom+++=circumstance
that ^tht+rel+obj++=that
none ^pn++++=none
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
present ^vb++++=present.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
miracles ^nns++++=miracles
were ^vbd+bed+vrb++=were
the ^ati++++=the
salvation ^nn+nom+++=salvation
of ^in++++=of
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
Seed ^nn++++=Seed
from ^in++++=from
the ^ati++++=the
great ^jj+atrb+++=great
cabbage ^nn+nom+++=cabbage
produced ^vbd+++xvbn+=produced
a ^at++++=a
crop ^nn++++=crop
of ^in++++=of
heads ^nns++++=heads
so ^ql+emph+++=so
ample ^jj++++=ample
that ^cs+sub+++=that
a ^at++++=a
single ^nn++++=single
cart ^vb++++=cart
carried ^vbd+++xvbn+=carried
but ^cc++++=but
two ^cd++++=two,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
third ^nn++++=third
was ^vbd+bedz+aux++=was
sometimes ^rb++splt++=sometimes
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
the ^ati++++=the
driver ^nn++++=driver's
's ^$++++=EXTRAWORD
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oysters ^nns+nom+++=oysters
multiplied ^vwbn+++xvbn+=multiplied
with ^in++++=with
corresponding ^xvbg+++xvbg+=corresponding
patriotism ^nn+nom+++=patriotism.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
in ^in++++=in
the ^ati++++=the
shallows ^nns++++=shallows
like ^in++++=like
paving ^xvbg+++xvbg+=paving-stones,
- ^zz++++=EXTRAWORD
stones ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
stranger ^jjr++++=stranger
once ^rb+tm+++=once
mistook ^vbd+++xvbn+=mistook
an ^at++++=an
entire ^jjb+atrb+++=entire
bed ^nn++++=bed
for ^in++++=for
the ^ati++++=the
foundations ^nns+nom+++=foundations
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
fort ^nn++++=fort.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inhabitants ^nns+nom+++=inhabitants
now ^rn+tm+++=now
possessed ^jj+atrb++xvbn+=possessed
abundance ^nn+nom+++=abundance,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
abundance ^nn+nom+++=abundance
itself ^ppl++++=itself
occasioned ^vbd+++xvbn+=occasioned
a ^at++++=a
constitutional ^jj+atrb+++=constitutional
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
could ^md+pos+++=could
not ^xnot++not++=not
consume ^vb++++=consume
all ^abn++++=all
that ^dt+dem+++=that
Providence ^np+nom++??+=Providence
supplied ^vbd+++xvbn+=supplied.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabbages ^nns+nom+++=cabbages
crowded ^vbd+++xvbn+=crowded
the ^ati++++=the
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
rolled ^j+++xvbn+=rolled
into ^in++++=into
the ^ati++++=the
lanes ^nns++++=lanes,
, ^zz++++=EXTRAWORD
blocked ^jj+atrb++xvbn+=blocked
cellar ^nn++++=cellar
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
windy ^jj+atrb+++=windy
nights ^nns++++=nights
were ^vbd+bed+aux++=were
heard ^vpsv++agls+xvbnx+=heard
knocking ^vbg+++xvbg+=knocking
against ^in++++=against
houses ^nns++++=houses
like ^in++++=like
green ^nn++++=green,
, ^zz++++=EXTRAWORD
homeless ^jj+atrb+++=homeless
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oysters ^nns+nom+++=oysters
accumulated ^vbd+++xvbn+=accumulated
until ^cs+sub+++=until
navigation ^nn+nom+++=navigation
was ^vbd+bedz+aux++=was
threatened ^vpsv++agls+xvbnx+=threatened.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
became ^vbd+++xvbn+=became
necessary ^jj++++=necessary
either ^dtx++++=either
to ^in++++=to
trade ^nn++++=trade
with ^in++++=with
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
or ^cc++++=or
permit ^vb++++=permit
Communipaw ^np+++??+=Communipaw
to ^to++++=to
be ^vbi+vbi+aux++=be
buried ^vpsv++agls+xvbnx+=buried
beneath ^rb++++=beneath
its ^pp$+it+++=its
blessings ^nns++++=blessings.
. ^zz++++=EXTRAWORD
After ^in++++=After
six ^cd++++=six
months ^nns++++=months
of ^in++++=of
deliberation ^nn+nom+++=deliberation,
, ^zz++++=EXTRAWORD
trade ^nn++++=trade
was ^vbd+bedz+aux++=was
authorised ^vpsv++agls+xvbnx+=authorised
under ^in++++=under
severe ^jj+atrb+++=severe
restrictions ^nns+nom+++=restrictions.
. ^zz++++=EXTRAWORD
Selected ^xvbn+++xvbn+=Selected
burghers ^nns+nom+++=burghers
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
bay ^npl++++=bay
at ^rb++++=at
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
their ^pp$+pp3+++=their
produce ^nn++++=produce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
before ^in++++=before
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
they ^pp3a+pp3+++=they
should ^md+nec+++=should
become ^vb++++=become
corrupted ^vpsv++by+xvbn+=corrupted
by ^in++++=by
street ^nn++++=street
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
theatres ^nns++++=theatres,
, ^zz++++=EXTRAWORD
English ^jj+atrb+++=English
grammar ^nn++++=grammar,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
inventions ^nns+nom+++=inventions
of ^in++++=of
metropolitan ^jj+atrb+++=metropolitan
depravity ^nn+nom+++=depravity.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
forbidden ^vpsv++agls+xvbnx+=forbidden
to ^to+vcmp+++=to
bring ^vbi++++=bring
home ^nr++++=home
any ^dti++++=any
thing ^nn++++=thing
lighter ^jjr++++=lighter
than ^in++++=than
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
newer ^jjr++++=newer
than ^in++++=than
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
ornamental ^jj++++=ornamental
without ^in++++=without
a ^at++++=a
practical ^jj+atrb+++=practical
excuse ^nn++++=excuse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Heads ^nns++++=Heads
and ^cc++++=and
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Feet ^nns++++=Feet
soon ^rb+tm+++=soon
acquired ^jj+atrb++xvbn+=acquired
celebrity ^nn+nom+++=celebrity.
. ^zz++++=EXTRAWORD
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
ate ^vbd+++xvbn+=ate
them ^pp3o+pp3+++=them
greedily ^rb+cnj+++=greedily,
, ^zz++++=EXTRAWORD
without ^in++++=without
suspecting ^vb+vprv++xvbg+=suspecting
that ^tht+vcmp+++=that
every ^at++++=every
dinner ^nn++++=dinner
increased ^vbd+++xvbn+=increased
the ^ati++++=the
wealth ^nn++++=wealth
of ^in++++=of
its ^pp$+it+++=its
ancient ^jj+atrb+++=ancient
parent ^nn++++=parent.
. ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw
recovered ^vbd+++xvbn+=recovered.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
roofs ^nns++++=roofs
were ^vbd+bed+aux++=were
mended ^vpsv++agls+xvbnx+=mended,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
kettles ^vbz+++??+=kettles
renewed ^vbd+++xvbn+=renewed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
pipes ^nns++++=pipes
lengthened ^vbd+++xvbn+=lengthened
to ^in++++=to
a ^at++++=a
safe ^jj+atrb+++=safe
and ^cc+phrs+++=and
dignified ^jj+atrb+++=dignified
proportion ^nn+nom+++=proportion.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
elders ^nns++++=elders
watched ^vbd+++xvbn+=watched
the ^ati++++=the
young ^nn++++=young
with ^in++++=with
unabated ^jj+atrb++xvbn+=unabated
vigilance ^nn+nom+++=vigilance.
. ^zz++++=EXTRAWORD
No ^at++++=No
unmarried ^jj+atrb+++=unmarried
daughter ^nn+nom+++=daughter
might ^md+pos+++=might
cross ^vb++++=cross
the ^ati++++=the
bay ^nn++++=bay
unless ^cs+cnd+++=unless
attended ^vpsv++by+xvbn+=attended
by ^in++++=by
two ^cd++++=two
aunts ^nns++++=aunts
and ^cc++++=and
a ^at++++=a
married ^jj+atrb++xvbn+=married
cabbage ^nn+nom+++=cabbage
dealer ^nn++++=dealer;
; ^zz++++=EXTRAWORD
no ^at++++=no
youth ^nn++++=youth
might ^md+pos+++=might
remain ^vb++++=remain
in ^in++++=in
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
after ^in++++=after
dark ^jj++++=dark;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
any ^dti++++=any
one ^cd1++++=one
returning ^jj+++xvbg+=returning
in ^in++++=in
a ^at++++=a
fashionable ^jj+atrb+++=fashionable
coat ^nn++++=coat
was ^vbd+bedz+aux++=was
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
hang ^vbi++++=hang
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
smoke ^nn++++=smoke-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
until ^cs+sub+++=until
its ^pp$+it+++=its
insolence ^nn+nom+++=insolence
abated ^vbd+++xvbn+=abated.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
matters ^nns+nom+++=matters
continued ^vprf+++xvbn+=continued
through ^in++++=through
several ^ap++++=several
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
English ^nn++++=English,
, ^zz++++=EXTRAWORD
after ^in++++=after
long ^rb++++=long
contemplation ^nn+nom+++=contemplation,
, ^zz++++=EXTRAWORD
ceased ^j+++xvbn+=ceased
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
principal ^jjb+atrb+++=principal
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
language ^nn+nom+++=language
had ^vbd+hvd+aux++=had
infiltrated ^vprf+++xvbnx+=infiltrated
even ^rb++++=even
the ^ati++++=the
Van ^&fw++++=Van
Horne ^np+++??+=Horne
nursery ^nn+nom+++=nursery,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
in ^in++++=in
a ^at++++=a
softened ^jj+atrb++xvbn+=softened
form ^nn++++=form;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
descendants ^nns+nom+++=descendants
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
almost ^rb+hdg+++=almost
tolerable ^jj++++=tolerable
by ^in++++=by
sitting ^xvbg+++xvbg+=sitting
still ^rb++++=still
long ^rb++++=long
enough ^qlp++++=enough
to ^in++++=to
own ^ap++++=own
property ^nn++++=property.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
place ^nn++++=place
was ^vbd+bedz+aux++=was
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
a ^at++++=a
more ^rbr++++=more
restless ^jj+atrb+++=restless
race ^nn++++=race
the ^ati++++=the
Yankees ^nns+nom+++=Yankees
who ^whp+rel+subj++=who
arrived ^vbd+++xvbn+=arrived
from ^in++++=from
the ^ati++++=the
east ^np+pl+++=east
with ^in++++=with
measuring ^xvbg+++xvbg+=measuring
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
pocket ^nn++++=pocket
maps ^nns++++=maps,
, ^zz++++=EXTRAWORD
improved ^jj+atrb++xvbn+=improved
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
sharp ^jj+atrb+++=sharp
noses ^nns++++=noses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plans ^nns++++=plans
for ^in++++=for
making ^xvbg+++xvbg+=making
every ^at++++=every
spot ^nn++++=spot
unlike ^in++++=unlike
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
men ^nns++++=men
transformed ^vwbn+++xvbn+=transformed
old ^jj++++=old
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
with ^in++++=with
alarming ^xvbg+++xvbg+=alarming
rapidity ^nn+nom+++=rapidity.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
widened ^vbd+++xvbnx+=widened
streets ^nns++++=streets
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
narrow ^jj++++=narrow
from ^in++++=from
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
demolished ^xvbn+++xvbn+=demolished
houses ^nns++++=houses
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
offended ^vprf+++xvbnx+=offended
no ^at++++=no
one ^cd1++++=one
but ^cc++++=but
architects ^nns++++=architects,
, ^zz++++=EXTRAWORD
erected ^xvbn+++xvbn+=erected
banks ^nns++++=banks
where ^wrb+who+++=where
gardens ^nns++++=gardens
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
named ^xvbn+++xvbn+=named
new ^np++++=new
districts ^nns++++=districts
after ^cs+sub+++=after
trees ^nns++++=trees
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
summer ^nn++++=summer
morning ^nn++++=morning
a ^at++++=a
schooner ^nn+nom+++=schooner
landed ^vbd+++xvbn+=landed
six ^cd++++=six
speculators ^nns++++=speculators
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
black ^nn++++=black,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot
and ^cc++++=and
their ^pp$+pp3+++=their
intentions ^nns+nom+++=intentions
hotter ^jjr++++=hotter.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Zephaniah ^np++++=Zephaniah
Quickset ^np+++??+=Quickset,
, ^zz++++=EXTRAWORD
announced ^nn+++xvbn+=announced
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
represented ^vbd+++xvbnx+=represented
the ^ati++++=the
Communipaw ^np+++??+=Communipaw
Advancement ^nn+nom+++=Advancement,
, ^zz++++=EXTRAWORD
Improvement ^nn+nom+++=Improvement,
, ^zz++++=EXTRAWORD
Rectification ^nn+nom+++=Rectification
and ^cc++++=and
Profit ^nn++++=Profit
Company ^nn++++=Company.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
praised ^vbd+++xvbnx+=praised
the ^ati++++=the
natural ^jj+atrb+++=natural
beauties ^nns++++=beauties
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
with ^in++++=with
such ^abl++++=such
ardour ^nn++++=ardour
that ^tht+rel+obj++=that
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
immediately ^rb+tm+++=immediately
suspected ^vbd+vprv+tht0+xvbn+=suspected
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
destroy ^vbi++++=destroy
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Quickset ^np+++??+=Quickset
unfolded ^vbd+++xvbn+=unfolded
a ^at++++=a
coloured ^nn++++=coloured
plan ^vb++++=plan
upon ^in++++=upon
a ^at++++=a
barrel ^nn++++=barrel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabbage ^nn+nom+++=cabbage
gardens ^nns++++=gardens
were ^vbd+bed+aux++=were
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
building ^xvbg+++xvbg+=building
lots ^nns++++=lots;
; ^zz++++=EXTRAWORD
the ^ati++++=the
orchards ^nns++++=orchards
were ^vbd+bed+aux++=were
crossed ^vpsv++by+xvbnx+=crossed
by ^in++++=by
avenues ^nns++++=avenues
bearing ^vwbg+++xvbg+=bearing
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
directors ^nns++++=directors;
; ^zz++++=EXTRAWORD
the ^ati++++=the
oyster ^nn++++=oyster
beds ^nns++++=beds
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
docks ^nns++++=docks;
; ^zz++++=EXTRAWORD
the ^ati++++=the
burial ^nn++++=burial-ground
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
marked ^vpsv++agls+xvbnx+=marked
" ^zz++++="Future
future ^jjb+atrb+++=EXTRAWORD
Public ^jj+atrb+++=Public
Amusement ^nn+nom+++=Amusement";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys,
, ^zz++++=EXTRAWORD
stripped ^j+++xvbn+=stripped
of ^in++++=of
three ^cd++++=three
chimneys ^nns++++=chimneys
and ^cc++++=and
furnished ^vpsv++agls+xvbn+=furnished
with ^in++++=with
a ^at++++=a
portico ^nn+++??+=portico,
, ^zz++++=EXTRAWORD
appeared ^j+++xvbn+=appeared
as ^ql++++=as
the ^ati++++=the
First ^rb++++=First
Progressive ^jj+atrb+++=Progressive
Bank ^nn++++=Bank
of ^in++++=of
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
offered ^vbd+++xvbnx+=offered
money ^nn++++=money
ready ^jj+atrb+++=ready
money ^nn++++=money,
, ^zz++++=EXTRAWORD
prospective ^jj+atrb+++=prospective
money ^nn++++=money,
, ^zz++++=EXTRAWORD
paper ^nn++++=paper
money ^nn++++=money
and ^cc++++=and
money ^nn++++=money
which ^whp+rel+subj++=which
would ^md+prd+++=would
become ^vb++++=become
money ^nn++++=money
upon ^in++++=upon
the ^ati++++=the
completion ^nn+nom+++=completion
of ^in++++=of
certain ^jj+atrb+++=certain
contingencies ^nns++++=contingencies.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
circulation ^nn+nom+++=circulation,
, ^zz++++=EXTRAWORD
elevation ^nn+nom+++=elevation,
, ^zz++++=EXTRAWORD
excavation ^nn+nom+++=excavation
and ^cc++++=and
universal ^jj+atrb+++=universal
accommodation ^nn+nom+++=accommodation.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
the ^ati++++=the
villagers ^nns+nom+++=villagers
saw ^vbd+vprv++xvbn+=saw
apple ^nn++++=apple-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
rental ^jj+atrb+++=rental
income ^nn++++=income;
; ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
graves ^np++++=graves,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
excellent ^jj+atrb+++=excellent
drainage ^nn+nom+++=drainage;
; ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
shares ^nns++++=shares.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Van ^&fw++++=Van
Hornes ^np+++??+=Hornes
listened ^vbd+++xvbn+=listened
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Hendrick ^np+++??+=Hendrick
Van ^&fw++++=Van
Horne ^np+++??+=Horne
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
the ^ati++++=the
stoop ^nn+++??+=stoop
with ^in++++=with
a ^at++++=a
pipe ^nn++++=pipe
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
nephews ^nns++++=nephews
and ^cc++++=and
cousins ^nns++++=cousins
assembled ^vbd+++xvbn+=assembled
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Quickset ^np+++??+=Quickset
had ^vbd+hvd+aux++=had
exhausted ^vprf+++xvbnx+=exhausted
improvement ^nn+nom+++=improvement,
, ^zz++++=EXTRAWORD
Hendrick ^np+++??+=Hendrick
removed ^vwbn+++xvbn+=removed
the ^ati++++=the
pipe ^nn++++=pipe
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
one ^cd1++++=one
question ^nn+nom+++=question:
: ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
sit ^vb++++=sit?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
speculator ^nn++++=speculator,
, ^zz++++=EXTRAWORD
unprepared ^jj++++=unprepared
for ^in++++=for
so ^rb+emph+++=so
fundamental ^jj++++=fundamental
an ^at++++=an
objection ^nn+nom+++=objection,
, ^zz++++=EXTRAWORD
replied ^vb+++xvbn+=replied
that ^tht+vcmp+++=that
the ^ati++++=the
company ^nn++++=company
would ^md+prd+++=would
construct ^vb++++=construct
a ^at++++=a
public ^jj+atrb+++=public
promenade ^nn++++=promenade.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
smoke ^nn++++=smoke?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Quickset ^np+++??+=Quickset
proposed ^vbd+vsua++xvbn+=proposed
a ^at++++=a
pavilion ^nn++++=pavilion,
, ^zz++++=EXTRAWORD
subject ^nn++++=subject
to ^in++++=to
regulations ^nns+nom+++=regulations.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
our ^pp$+pp1+++=our
fathers ^nns+nom+++=fathers
lie ^vb++++=lie?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Quickset ^np+++??+=Quickset
pointed ^vbd+++xvbn+=pointed
toward ^in++++=toward
a ^at++++=a
