# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Maymeys ^np+++??+=MAYMEYS
barrels ^nns++++=barrels,
, ^zz++++=EXTRAWORD
pyramids ^nns+++??+=pyramids,
, ^zz++++=EXTRAWORD
jars ^nns++++=jars,
, ^zz++++=EXTRAWORD
tins ^nns++++=tins,
, ^zz++++=EXTRAWORD
baskets ^nns++++=baskets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
refrigerated ^vbd+++xvbn+=refrigerated
palaces ^npl++++=palaces.
. ^zz++++=EXTRAWORD
Coffee ^nn++++=Coffee
was ^vbd+bedz+vrb++=was
ground ^nn++++=ground
with ^in++++=with
a ^at++++=a
rich ^jj+atrb+++=rich,
, ^zz++++=EXTRAWORD
bitter ^jj+atrb+++=bitter
roar ^nn++++=roar.
. ^zz++++=EXTRAWORD
Tea ^nn++++=Tea
rested ^vbd+++xvbn+=rested
in ^in++++=in
lacquered ^xvbn+++xvbn+=lacquered
boxes ^nns++++=boxes.
. ^zz++++=EXTRAWORD
Sugar ^nn++++=Sugar
stood ^vbd+++xvbn+=stood
in ^in++++=in
snowy ^jj+atrb+++=snowy
sacks ^nns++++=sacks.
. ^zz++++=EXTRAWORD
Olives ^nns++++=Olives
floated ^vbd+++xvbn+=floated
green ^jj++++=green
and ^cc+phrs+++=and
black ^jj++++=black
behind ^in+pl+++=behind
curved ^jj+atrb+++=curved
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Pickles ^np+++??+=Pickles
glimmered ^vbd+++xvbn+=glimmered
in ^in++++=in
vinegar ^nn++++=vinegar.
. ^zz++++=EXTRAWORD
Honey ^nn++++=Honey
shone ^vbd+++xvbn+=shone
like ^in++++=like
captured ^vbd+++xvbn+=captured
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
cheeses ^nns+nom++??+=cheeses
white ^jj++++=white,
, ^zz++++=EXTRAWORD
cream ^nn++++=cream,
, ^zz++++=EXTRAWORD
orange ^np++++=orange,
, ^zz++++=EXTRAWORD
blue ^jj++++=blue-veined,
- ^zz++++=EXTRAWORD
veined ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
red ^jj++++=red-rinded,
- ^zz++++=EXTRAWORD
rinded ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
round ^in++++=round
as ^ql++++=as
millstones ^vbz+++??+=millstones,
, ^zz++++=EXTRAWORD
small ^jj++++=small
as ^ql++++=as
medals ^nns++++=medals,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft
as ^in++++=as
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
hard ^jj++++=hard
as ^ql++++=as
theology ^nn++++=theology,
, ^zz++++=EXTRAWORD
fragrant ^jj++++=fragrant
as ^ql++++=as
meadows ^nns++++=meadows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
odorous ^jj++++=odorous
as ^in++++=as
old ^jj+atrb+++=old
socks ^nns++++=socks.
. ^zz++++=EXTRAWORD
Sausages ^nns+nom+++=Sausages
hung ^vbd+++xvbn+=hung
in ^in++++=in
rosy ^jj+atrb+++=rosy
chains ^nns++++=chains.
. ^zz++++=EXTRAWORD
Hams ^nns++++=Hams
lay ^vbd+++xvbn+=lay
broad ^jj++++=broad
and ^cc++++=and
pink ^nn++++=pink
under ^in++++=under
frills ^nns++++=frills
of ^in++++=of
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Turkeys ^np+++??+=Turkeys,
, ^zz++++=EXTRAWORD
geese ^nns++++=geese,
, ^zz++++=EXTRAWORD
ducks ^nns++++=ducks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chickens ^nns++++=chickens
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
such ^abl++++=such
numbers ^nns+nom+++=numbers
that ^tht+rel+++=that
one ^cd1++++=one
wondered ^vbd+vprv++xvbn+=wondered
whether ^cs+who+++=whether
Noah ^np++++=Noah
had ^vbd+hvd+aux++=had
misunderstood ^vprf+++xvbn+=misunderstood
his ^pp$+pp3+++=his
instructions ^nns+nom+++=instructions
and ^cc++++=and
taken ^vwbn+++xvbn+=taken
them ^pp3o+pp3+++=them
aboard ^in+pl+++=aboard
by ^in++++=by
the ^ati++++=the
thousand ^cd++++=thousand.
. ^zz++++=EXTRAWORD
Fish ^nns++++=Fish
stared ^vbd+++xvbn+=stared
upward ^jjb++++=upward
from ^in++++=from
beds ^nns++++=beds
of ^in++++=of
ice ^nn++++=ice
silver ^nn++++=silver
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
flat ^nn++++=flat
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
fish ^nns++++=fish
with ^in++++=with
long ^jj+atrb+++=long
noses ^nns++++=noses
and ^cc++++=and
fish ^nn++++=fish
whose ^whp+rel+obj++=whose
faces ^nns++++=faces
suggested ^vbd+vpub+tht0+xvbn+=suggested
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
bad ^jj+atrb+++=bad
news ^nn++++=news.
. ^zz++++=EXTRAWORD
Lobsters ^nns+nom+++=Lobsters
extended ^vbd+++xvbn+=extended
helpless ^jj+atrb+++=helpless
claws ^nns++++=claws.
. ^zz++++=EXTRAWORD
Oysters ^nns+nom+++=Oysters
dreamed ^vbd+vprv++xvbn+=dreamed
in ^in++++=in
barrels ^nns++++=barrels.
. ^zz++++=EXTRAWORD
Caviar ^np+++??+=Caviar,
, ^zz++++=EXTRAWORD
black ^jj++++=black
and ^cc+phrs+++=and
solemn ^jj++++=solemn,
, ^zz++++=EXTRAWORD
occupied ^jj+atrb++xvbn+=occupied
tiny ^jj+atrb+++=tiny
jars ^nns++++=jars
at ^in++++=at
prices ^nns++++=prices
befitting ^vwbg+++xvbg+=befitting
jewels ^nns++++=jewels.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
bread ^nn++++=bread!
! ^zz++++=EXTRAWORD
White ^jj+atrb+++=White
loaves ^nns++++=loaves,
, ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
loaves ^nns++++=loaves,
, ^zz++++=EXTRAWORD
rye ^nn++++=rye
loaves ^nns++++=loaves,
, ^zz++++=EXTRAWORD
French ^jj+atrb+++=French
sticks ^nns++++=sticks,
, ^zz++++=EXTRAWORD
crescent ^npl++++=crescent
rolls ^nns++++=rolls,
, ^zz++++=EXTRAWORD
Parker ^np++++=Parker
House ^npl++++=House
rolls ^nns++++=rolls,
, ^zz++++=EXTRAWORD
poppy ^nn++++=poppy-seed
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
twists ^nns++++=twists,
, ^zz++++=EXTRAWORD
coffee ^nn++++=coffee
rings ^nns++++=rings,
, ^zz++++=EXTRAWORD
buns ^nns++++=buns
glazed ^vbd+++xvbn+=glazed
with ^in++++=with
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
cakes ^nns++++=cakes
tiered ^vbd+++xvbn+=tiered
and ^cc++++=and
frosted ^jj++++=frosted,
, ^zz++++=EXTRAWORD
pies ^nns++++=pies
latticed ^vbd+++xvbn+=latticed
and ^cc++++=and
golden ^jj++++=golden,
, ^zz++++=EXTRAWORD
doughnuts ^nns+++??+=doughnuts
powdered ^vbd+++xvbn+=powdered
like ^in++++=like
comic ^jj+atrb+++=comic
burglars ^nns+++??+=burglars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
puddings ^nns++++=puddings
dark ^nn++++=dark
with ^in++++=with
raisins ^nns++++=raisins
and ^cc++++=and
social ^jj+atrb+++=social
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
knees ^nns++++=knees
weakened ^vbd+++xvbn+=weakened.
. ^zz++++=EXTRAWORD
A ^at++++=A
demonstrator ^nn++++=demonstrator
stood ^vbd+++xvbn+=stood
behind ^in+pl+++=behind
a ^rb++++=a
little ^rb"++++=little
table ^nn++++=table
cutting ^vwbg+++xvbg+=cutting
a ^at++++=a
pale ^jj+atrb+++=pale
cheese ^nn++++=cheese
into ^in++++=into
cubes ^nns++++=cubes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
brisk ^jj+atrb+++=brisk
woman ^nn++++=woman
with ^in++++=with
spectacles ^nns++++=spectacles
and ^cc++++=and
a ^at++++=a
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
toothpicks ^nns+++??+=toothpicks
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
samples ^nns++++=samples
like ^in++++=like
miniature ^nn++++=miniature
flagstaffs ^nns+++??+=flagstaffs.
. ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
our ^pp$+pp1+++=our
new ^jj+atrb+++=new
cream ^nn++++=cream
cheese ^nn++++=cheese,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="Mild,
mild ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nourishing ^jj+++xvbg+=nourishing,
, ^zz++++=EXTRAWORD
economical ^jj++++=economical!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Economical ^jj++++=Economical!
! ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
reached ^vbd+++xvbn+=reached
Jennie ^np+++??+=Jennie
like ^in++++=like
a ^at++++=a
personal ^jj+atrb+++=personal
invitation ^nn+nom+++=invitation.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
approached ^vbd+++xvbnx+=approached
with ^in++++=with
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
hoped ^vbd+vprv++xvbnx+=hoped
was ^vbd+bedz+vrb++=was
the ^ati++++=the
careless ^jj+atrb+++=careless
air ^nn++++=air
of ^in++++=of
a ^at++++=a
householder ^nn+nom+++=householder
possessing ^vwbg+++xvbg+=possessing
a ^at++++=a
pantry ^nn++++=pantry,
, ^zz++++=EXTRAWORD
a ^at++++=a
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
credit ^nn++++=credit.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
one ^cd1++++=one
cube ^nn+++??+=cube.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cheese ^nn++++=cheese
touched ^vbd+++xvbn+=touched
her ^pp$+pp3+++=her
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
second ^od++++=second
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
salt ^jj+pred+++=salt,
, ^zz++++=EXTRAWORD
softness ^nns+nom+++=softness,
, ^zz++++=EXTRAWORD
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
whole ^jj+atrb+++=whole
body ^nn++++=body
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
rush ^vbi++++=rush
after ^in++++=after
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
nice ^jj++++=nice,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
" ^zz++++="Thirty-eight
thirty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
cents ^nns++++=cents
the ^ati++++=the
pound ^nn++++=pound,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
demonstrator ^nn++++=demonstrator.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
wrap ^nn++++=wrap
some ^dti++++=some?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking
about ^in++++=about
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly."
certainly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
walked ^vbd+++xvbn+=walked
away ^rp+pl+++=away
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
every ^at++++=every
nerve ^nn++++=nerve
in ^in++++=in
her ^pp$+pp3+++=her
commanded ^vprf+++xvbn+=commanded
her ^pp$+pp3+++=her
to ^to++++=to
seize ^vbi++++=seize
the ^ati++++=the
plate ^nn++++=plate
and ^cc++++=and
run ^nn+++xvbn+=run.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
next ^ap++++=next
aisle ^nn++++=aisle
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
in ^in++++=in
a ^at++++=a
striped ^jj+atrb+++=striped
apron ^nn++++=apron
offered ^vbd+++xvbn+=offered
slivers ^nns+nom+++=slivers
of ^in++++=of
smoked ^vbd+++xvbn+=smoked
ham ^nn++++=ham.
. ^zz++++=EXTRAWORD
" ^zz++++="Sample,
sample ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lady ^npt++++=lady?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lady ^npt++++=Lady!
! ^zz++++=EXTRAWORD
Bless ^vb++++=Bless
commerce ^nn++++=commerce:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
distributes ^vbz+++??+=distributes
titles ^nns++++=titles
more ^rbr++++=more
freely ^rb++++=freely
than ^in++++=than
food ^nn++++=food.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
accepted ^vbd+++xvbn+=accepted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ham ^nn++++=ham
was ^vbd+bedz+vrb++=was
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
a ^at++++=a
postage ^nn+nom+++=postage
stamp ^nn++++=stamp,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
contained ^vbd+++xvbn+=contained
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
salt ^jj++++=salt,
, ^zz++++=EXTRAWORD
sweetness ^nns+nom+++=sweetness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
unbearable ^jj+atrb+++=unbearable
memory ^nn++++=memory
of ^in++++=of
breakfast ^nn++++=breakfast
tables ^nns++++=tables.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
swallowed ^vbd+++xvbnx+=swallowed
it ^pp3+it+++=it
too ^rb++++=too
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
role ^nn++++=role
required ^vbd+++xvbn+=required
dialogue ^nn++++=dialogue.
. ^zz++++=EXTRAWORD
" ^zz++++="Forty-two
forty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
a ^at++++=a
pound ^nn++++=pound.
. ^zz++++=EXTRAWORD
Special ^jj+atrb+++=Special
today ^nr+tm+++=today."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Surest
surest ^jjt+atrb+++=EXTRAWORD
thing ^nn++++=thing
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
another ^dt++++=another
counter ^nn++++=counter
she ^pp3a+pp3+++=she
sampled ^vbd+++xvbnx+=sampled
a ^at++++=a
cracker ^jjr+atrb+++=cracker
spread ^nn+++xvbn+=spread
with ^in++++=with
anchovy ^nn+++??+=anchovy
paste ^nn++++=paste.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
half ^rb++++=half
an ^at++++=an
olive ^nn++++=olive.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
morsel ^nn+++??+=morsel
of ^in++++=of
sausage ^nn+nom+++=sausage.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
spoon ^nn++++=spoon-tip
- ^zz++++=EXTRAWORD
tip ^nn++++=EXTRAWORD
of ^in++++=of
marmalade ^nn++++=marmalade
offered ^vwbn+++xvbn+=offered
by ^in++++=by
a ^at++++=a
girl ^nn++++=girl
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
apron ^nn++++=apron
who ^whp+rel+subj++=who
repeated ^vprf+++xvbn+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="Made
made ^vprf+++xvbn+=EXTRAWORD
from ^in++++=from
the ^ati++++=the
finest ^jjt++++=finest
Seville ^np++++=Seville
oranges ^nns++++=oranges,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
mechanically ^rb++++=mechanically
as ^in++++=as
the ^ati++++=the
bear ^vb+vprv+++=bear
upstairs ^jjb++++=upstairs
beat ^vb+++xvbn+=beat
its ^pp$+it+++=its
drum ^nn++++=drum.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
suppose ^vb+vprv+tht0++=suppose
these ^dt+dem+++=these
samples ^nns++++=samples
relieved ^vbd+++xvbn+=relieved
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
hunger ^nn++++=hunger.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
a ^at++++=a
starving ^jj+atrb++xvbg+=starving
furnace ^nn++++=furnace
one ^cd1++++=one
shaving ^nvbg+++xvbg+=shaving
of ^in++++=of
coal ^nn++++=coal
and ^cc++++=and
observe ^vb+vprv+++=observe
whether ^cs+who+++=whether
it ^pp3+it+++=it
becomes ^vbz++++=becomes
grateful ^jj++++=grateful.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
taste ^nn++++=taste
opened ^vbd+++xvbn+=opened
another ^dt++++=another
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
protesting ^vbg+++xvbgx+=protesting
dully ^rb+cnj+++=dully,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
shouted ^vbd+vpub++xvbn+=shouted
specific ^jj+atrb+++=specific
demands ^nns++++=demands.
. ^zz++++=EXTRAWORD
Cheese ^nn++++=Cheese!
! ^zz++++=EXTRAWORD
Ham ^nn++++=Ham!
! ^zz++++=EXTRAWORD
Bread ^nn++++=Bread!
! ^zz++++=EXTRAWORD
Butter ^nn++++=Butter!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
called ^vbd+++xvbn+=called
the ^ati++++=the
roll ^nn++++=roll
of ^in++++=of
nourishment ^nn+nom+++=nourishment.
. ^zz++++=EXTRAWORD
Saliva ^nn++++=Saliva
flooded ^jj++++=flooded
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
fingers ^nns+nom+++=fingers
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
circled ^vbd+++xvbnx+=circled
back ^jjb++++=back
toward ^in++++=toward
the ^ati++++=the
cream ^nn++++=cream
cheese ^nn++++=cheese.
. ^zz++++=EXTRAWORD
The ^ati++++=The
demonstrator ^nn++++=demonstrator
recognised ^vwbn+vprv++xvbn+=recognised
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish
a ^at++++=a
pound ^nn++++=pound?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
wondering ^vbg+++xvbgx+=wondering
" ^zz++++="
" ^zz++++="Thirty-eight
thirty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
cents ^nns++++=cents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
perhaps ^rb++++=perhaps
another ^dt++++=another
taste ^nn++++=taste
" ^zz++++="
The ^ati++++=The
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
sample ^nn++++=sample
to ^in++++=to
a ^at++++=a
customer ^nn+nom+++=customer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
Constitution ^nn+nom+++=Constitution
of ^in++++=of
Retail ^nn++++=Retail.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
retreated ^vwbn+++xvbn+=retreated.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
schoolgirls ^nns++++=schoolgirls
in ^in++++=in
fur ^nn++++=fur-trimmed
- ^zz++++=EXTRAWORD
trimmed ^xvbn+++xvbn+=EXTRAWORD
coats ^np++++=coats
came ^vbd+++xvbn+=came
up ^rp++++=up,
, ^zz++++=EXTRAWORD
tasted ^vprf+++xvbn+=tasted
three ^cd++++=three
cubes ^nns++++=cubes
each ^dt++++=each,
, ^zz++++=EXTRAWORD
giggled ^j+++xvbn+=giggled,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
they ^pp3a+pp3+++=they
hated ^vbd+++xvbnx+=hated
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
away ^rp+pl+++=away
chewing ^vbg+++xvbg+=chewing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
found ^vbd+vprv+tht0+xvbnx+=found
herself ^ppl+pp3+++=herself
before ^cs+sub+++=before
a ^at++++=a
counter ^nn++++=counter
of ^in++++=of
prepared ^vbd+++xvbn+=prepared
foods ^nns++++=foods.
. ^zz++++=EXTRAWORD
Roast ^vb++++=Roast
beef ^nn++++=beef
glistened ^vbd+++xvbn+=glistened
under ^in++++=under
gravy ^nn++++=gravy.
. ^zz++++=EXTRAWORD
Chicken ^nn++++=Chicken
pies ^nns++++=pies
lifted ^vbd+++xvbn+=lifted
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
crisp ^jj+atrb+++=crisp
shoulders ^nns+nom+++=shoulders
from ^in++++=from
silver ^nn++++=silver
pans ^nns++++=pans.
. ^zz++++=EXTRAWORD
Beans ^nns++++=Beans
steamed ^vbd+++xvbn+=steamed
beside ^in+pl+++=beside
bacon ^nn++++=bacon.
. ^zz++++=EXTRAWORD
Macaroni ^nn++++=Macaroni
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
browned ^vbd+++xvbn+=browned
cheese ^nn++++=cheese.
. ^zz++++=EXTRAWORD
Great ^jj+atrb+++=Great
casseroles ^nns+++??+=casseroles
breathed ^vbd+++xvbn+=breathed
warmth ^nn++++=warmth.
. ^zz++++=EXTRAWORD
A ^at++++=A
cook ^nn++++=cook
in ^in++++=in
white ^nn++++=white
carved ^vbd+++xvbn+=carved
slices ^nns++++=slices
from ^in++++=from
a ^at++++=a
joint ^jjb++++=joint,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
knife ^nn++++=knife
moving ^vwbg+++xvbg+=moving
with ^in++++=with
priestly ^jj+atrb+++=priestly
calm ^nn++++=calm.
. ^zz++++=EXTRAWORD
" ^zz++++="What'll
what ^wdt+who+whq++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
the ^ati++++=the
roast ^nn++++=roast.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
block ^vb++++=block
the ^ati++++=the
counter ^nn++++=counter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
stage ^nn++++=stage
of ^in++++=of
hunger ^nn++++=hunger
in ^in++++=in
which ^whp+rel+pied++=which
pride ^nn++++=pride
becomes ^vbz++++=becomes
a ^at++++=a
luxury ^nn++++=luxury
article ^nn++++=article.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
considered ^vwbn+vprv++xvbn+=considered
begging ^vbg+++xvbg+=begging
outright ^rb++++=outright.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
selected ^vbd+++xvbnx+=selected
a ^at++++=a
grey ^jj++++=grey-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman
purchasing ^vwbg+++xvbg+=purchasing
six ^cd++++=six
jars ^nns++++=jars
of ^in++++=of
p ^zz++++=p
t ^zz++++=t
. ^zz++++=.
" ^zz++++="Excuse
excuse ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am
'am ^nn+++??+=EXTRAWORD
" ^zz++++="
The ^ati++++=The
woman ^nn++++=woman
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jennie ^np+++??+=Jennie
saw ^vbd+vprv++xvbn+=saw
not ^xnot++not++=not
cruelty ^nn++++=cruelty
but ^cc++++=but
alarm ^nn++++=alarm:
