**to ^nn+++??+=**TO
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
tells ^vbz++++=tells
how ^wrb+who+++=how
certain ^jj+atrb+++=certain
states ^nns++++=states
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
and ^cc++++=and
on ^in++++=on
what ^wdt+who+++=what
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
globe ^nn++++=globe
they ^pp3a+pp3+++=they
happen ^vb+++??+=happen
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
situated ^vpsv++agls+xvbnx+=situated;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
gives ^vbz++++=gives
the ^ati++++=the
imagination ^nn+nom+++=imagination
nothing ^pn++++=nothing
to ^to++++=to
grasp ^vbi+vprv+++=grasp.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
easily ^rb++splt++=easily
converted ^vpsv++agls+xvbnx+=converted
into ^in++++=into
an ^at++++=an
adjective ^nn++++=adjective
without ^in++++=without
ambiguity ^nn+nom+++=ambiguity;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
to ^in++++=to
a ^at++++=a
native ^jj+atrb+++=native
designation ^nn+nom+++=designation,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we?
? ^zz++++=EXTRAWORD
Americans ^nns+nom+++=Americans?
? ^zz++++=EXTRAWORD
So ^ql++++=So
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
geographically ^rb++++=geographically
speaking ^jj+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
from ^in++++=from
the ^ati++++=the
northern ^jj+atrb+++=northern
ice ^nn++++=ice
to ^in++++=to
Cape ^npl++++=Cape
Horn ^np++++=Horn.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
the ^ati++++=the
family ^nn++++=family
surname ^nn++++=surname
and ^cc++++=and
appropriated ^vbd+++xvbn+=appropriated
it ^pp3+it+++=it
to ^to++++=to
one ^cd1++++=one
branch ^nn++++=branch
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
extensive ^jj+atrb+++=extensive
household ^nn++++=household.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
a ^at++++=a
citizen ^nn++++=citizen
abroad ^rb+pl+++=abroad
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
citizen ^nn++++=citizen
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
marches ^nns++++=marches
respectably ^rb+cnj+++=respectably,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
marches ^nns++++=marches
like ^in++++=like
a ^at++++=a
procession ^nn++++=procession
of ^in++++=of
officials ^nns+nom+++=officials.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
him ^pp3o+pp3+++=him
to ^to++++=to
speak ^vbi++++=speak
poetically ^rb++++=poetically
of ^in++++=of
his ^pp$+pp3+++=his
country ^nn++++=country:
: ^zz++++=EXTRAWORD
what ^wdt+who+++=what
compact ^jj+atrb+++=compact,
, ^zz++++=EXTRAWORD
glowing ^jj+atrb++xvbg+=glowing
word ^nn++++=word
can ^md+pos+++=can
he ^pp3a+pp3+++=he
employ ^vb++++=employ?
? ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
him ^pp3o+pp3+++=him
to ^in++++=to
name ^nn++++=name
his ^pp$+pp3+++=his
countrymen ^nns++++=countrymen
without ^in++++=without
disputing ^xvbg+++xvbg+=disputing
possession ^nn++++=possession
with ^in++++=with
half ^nn++++=half
a ^at++++=a
hemisphere ^nn++++=hemisphere:
: ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
can ^md+pos+++=can
he ^pp3a+pp3+++=he
make ^vb++++=make
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
in ^in++++=in
poetry ^nn++++=poetry
or ^cc++++=or
prose ^nn++++=prose?
? ^zz++++=EXTRAWORD
France ^np++++=France
has ^vbz+hvz+vrb++=has
Frenchmen ^np+++??+=Frenchmen,
, ^zz++++=EXTRAWORD
England ^np++++=England
Englishmen ^nn++++=Englishmen,
, ^zz++++=EXTRAWORD
Italy ^np++++=Italy
Italians ^nn++++=Italians.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
a ^at++++=a
constitutional ^jj+atrb+++=constitutional
paragraph ^nn++++=paragraph.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
thought ^vprf+++xvbnx+=thought
that ^tht+vcmp+++=that
" ^zz++++="Alleghania"
alleghania ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
might ^md+pos+++=might
answer ^vb++++=answer
our ^pp$+pp1+++=our
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
rises ^nns++++=rises
from ^in++++=from
our ^pp$+pp1+++=our
own ^ap++++=own
continent ^nn++++=continent;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
connected ^vpsv++agls+xvbnx+=connected
with ^in++++=with
a ^at++++=a
mountain ^nn++++=mountain
chain ^nn++++=chain
which ^whp+rel+subj++=which
stretches ^vbz++++=stretches
like ^in++++=like
a ^at++++=a
mighty ^jj+atrb+++=mighty
spine ^nn++++=spine
through ^in++++=through
the ^ati++++=the
land ^nn++++=land;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
musical ^jj+pred+++=musical
without ^in++++=without
effeminacy ^nn+nom+++=effeminacy,
, ^zz++++=EXTRAWORD
grand ^jj++++=grand
without ^in++++=without
bombast ^nn++++=bombast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
capable ^jj++++=capable
of ^in++++=of
all ^rb++++=all
grammatical ^jj+atrb+++=grammatical
service ^nn++++=service.
. ^zz++++=EXTRAWORD
The ^ati++++=The
country ^nn++++=country
would ^md+prd+++=would
be ^vb+be+vrb++=be
Alleghania ^np+++??+=Alleghania;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
people ^nn++++=people
Alleghanians ^np+++??+=Alleghanians;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
affairs ^nns++++=affairs
Alleghanian ^np+++??+=Alleghanian.
. ^zz++++=EXTRAWORD
A ^at++++=A
poet ^nn++++=poet
might ^md+pos+++=might
invoke ^vb++++=invoke
it ^pp3+it+++=it
without ^in++++=without
being ^nn+nn+aux++=being
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
drag ^vb++++=drag
a ^at++++=a
federal ^jj+atrb+++=federal
inventory ^nn++++=inventory
into ^in++++=into
his ^pp$+pp3+++=his
verse ^nn++++=verse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
soldier ^nn++++=soldier
might ^md+pos+++=might
utter ^jjb++++=utter
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
enthusiasm ^nn++++=enthusiasm
without ^in++++=without
pausing ^nn++++=pausing
for ^in++++=for
breath ^nn++++=breath
midway ^rb++++=midway.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
understand ^vb+vprv+++=understand
me ^pp1o+pp1+++=me
as ^ql++++=as
supposing ^vb+++xvbg+=supposing
that ^tht+vcmp+++=that
a ^at++++=a
new ^jj+atrb+++=new
word ^nn++++=word
would ^md+prd+++=would
annihilate ^nn+nom+++=annihilate
factions ^nns+nom+++=factions,
, ^zz++++=EXTRAWORD
cure ^nn++++=cure
corruption ^nn+nom+++=corruption,
, ^zz++++=EXTRAWORD
reconcile ^vb++++=reconcile
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
render ^vb++++=render
every ^at++++=every
citizen ^nn++++=citizen
wise ^jj++++=wise
before ^in++++=before
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
so ^ql+emph+++=so
deep ^jj++++=deep
in ^in++++=in
nomenclatural ^jj+atrb+++=nomenclatural
enthusiasm ^nn++++=enthusiasm.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
symbols ^nns++++=symbols
have ^vb+hv+vrb++=have
power ^nn++++=power.
. ^zz++++=EXTRAWORD
A ^at++++=A
distinctive ^jj+atrb+++=distinctive
name ^nn++++=name
becomes ^vbz++++=becomes
a ^at++++=a
vessel ^nn++++=vessel
into ^in++++=into
which ^whp+rel+pied++=which
common ^jj+atrb+++=common
memories ^nns++++=memories,
, ^zz++++=EXTRAWORD
sacrifices ^nns++++=sacrifices,
, ^zz++++=EXTRAWORD
hopes ^nns++++=hopes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
honors ^nns++++=honors
are ^vb+ber+aux++=are
poured ^vpsv++agls+xvbnx+=poured.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+rel+obj++=who
quarrel ^nn++++=quarrel
as ^ql++++=as
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
separate ^jj+atrb+++=separate
provinces ^nns++++=provinces
may ^md+pos+++=may
feel ^vb+vprv+tht0++=feel
themselves ^ppls+pp3+++=themselves
reunited ^vbd+++xvbn+=reunited
when ^wrb+who+++=when
addressed ^vpsv++by+xvbn+=addressed
by ^in++++=by
one ^cd1++++=one
ancient ^jj++++=ancient-sounding
- ^zz++++=EXTRAWORD
sounding ^vbg+++xvbg+=EXTRAWORD
appellation ^nn+nom+++=appellation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ear ^nn++++=ear
teaches ^vbz+vsua+++=teaches
the ^ati++++=the
heart ^nn++++=heart
a ^at++++=a
lesson ^nn++++=lesson
which ^whp+rel+obj++=which
logic ^nn++++=logic
repeats ^vbz+vpub+++=repeats
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
political ^jj+atrb+++=political
union ^nn++++=union;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
cultivate ^nn+nom+++=cultivate
imaginative ^jj+atrb+++=imaginative
union ^nn++++=union.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
a ^at++++=a
flag ^nn++++=flag;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
have ^vb+hv+vrb++=have
a ^at++++=a
name ^nn++++=name
fit ^jj++++=fit
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
spoken ^vpsv++agls+xvbnx+=spoken
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
traditions ^nns+nom+++=traditions
peculiar ^jj++++=peculiar
to ^in++++=to
ourselves ^ppls+pp1+++=ourselves;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
our ^pp$+pp1+++=our
language ^nn+nom+++=language
cease ^vb++++=cease
dressing ^nvbg+++xvbg+=dressing
them ^pp3o+pp3+++=them
in ^in++++=in
cast ^nn+++xvbn+=cast
garments ^nns+nom+++=garments
from ^in++++=from
Europe ^np++++=Europe
or ^cc++++=or
daubing ^jj+++xvbg+=daubing
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
temporary ^jj+atrb+++=temporary
notoriety ^nn++++=notoriety
of ^in++++=of
village ^nn+nom+++=village
magnates ^nns+nom+++=magnates.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
rescue ^vb++++=rescue
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
harmonious ^jj+pred+++=harmonious,
, ^zz++++=EXTRAWORD
restore ^vb++++=restore
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
historical ^jj+pred+++=historical,
, ^zz++++=EXTRAWORD
reject ^vb++++=reject
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
vulgar ^jj+pred+++=vulgar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leave ^nn++++=leave
posterity ^nn+nom+++=posterity
a ^at++++=a
map ^nn++++=map
over ^in++++=over
which ^whp+rel+pied++=which
taste ^nn++++=taste
may ^md+pos+++=may
travel ^vb++++=travel
without ^in++++=without
continually ^rb++++=continually
stumbling ^jj++++=stumbling.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
these ^dt+dem+++=these
reflections ^nns+nom+++=reflections
before ^in++++=before
you ^pp2+pp2+++=you
with ^in++++=with
all ^rb++++=all
proper ^jj+atrb+++=proper
humility ^nn+nom+++=humility.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
your ^pp$+pp2+++=your
readers ^nns+nom+++=readers
will ^md+prd+++=will
laugh ^vb++++=laugh;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
some ^dti++++=some
committee ^nn+nom+++=committee
will ^md+prd+++=will
propose ^vb++++=propose
that ^tht+vcmp+++=that
Alleghania ^np+++??+=Alleghania
be ^vb+be+aux++=be
renamed ^vpsv++agls+xvbnx+=renamed
after ^in++++=after
its ^pp$+it+++=its
chairman ^nn+nom+++=chairman;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
Cow ^nn++++=Cow
Bay ^npl++++=Bay
will ^md+prd+++=will
defend ^vb++++=defend
its ^pp$+it+++=its
ancient ^jj+atrb+++=ancient
privileges ^nns++++=privileges
and ^cc++++=and
Mosquito ^np+++??+=Mosquito
Cove ^nn++++=Cove
send ^vb++++=send
a ^at++++=a
remonstrance ^nn+nom+++=remonstrance.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
it ^pp3+it+++=it
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Ridicule ^nn++++=Ridicule
is ^vbz+bez+vrb++=is
often ^rb++++=often
the ^ati++++=the
toll ^nn++++=toll
paid ^vwbn+++xvbn+=paid
by ^in++++=by
an ^at++++=an
idea ^nn++++=idea
upon ^in++++=upon
entering ^xvbg+++xvbg+=entering
the ^ati++++=the
public ^jj+atrb+++=public
road ^npl++++=road.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
persuaded ^vprf+++xvbnx+=persuaded
one ^cd1++++=one
village ^nn+nom+++=village
to ^to++++=to
examine ^vbi++++=examine
its ^pp$+it+++=its
forgotten ^jj+atrb++xvbn+=forgotten
name ^nn++++=name,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
one ^cd1++++=one
poet ^nn++++=poet
to ^in++++=to
rescue ^nn++++=rescue
a ^at++++=a
melodious ^jj+atrb+++=melodious
word ^nn++++=word
from ^in++++=from
oblivion ^nn++++=oblivion,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
epistle ^nn++++=epistle
will ^md+prd+++=will
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
written ^vpsv++agls+xvbnx+=written
wholly ^rb++++=wholly
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
with ^in++++=with
profound ^jj+atrb+++=profound
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
obedient ^jj+atrb+++=obedient
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
**geoffrey ^nn++++=**GEOFFREY
crayon.** ^np++++=CRAYON.**
