# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Mary ^np++++=Mary's
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
answered ^vpsv++agls+xvbnx+=answered
with ^in++++=with
promptitude ^nn+++??+=promptitude.
. ^zz++++=EXTRAWORD
A ^at++++=A
branch ^nn++++=branch
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
a ^at++++=a
root ^nn++++=root
offered ^vbd+++xvbn+=offered
support ^nn++++=support,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
drew ^vbd+++xvbnx+=drew
herself ^ppl+pp3+++=herself
astride ^vb+++??+=astride
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Behind ^rp+pl+++=Behind
her ^pp3o+pp3+++=her
the ^ati++++=the
cabin ^nn++++=cabin
gave ^vbd+++xvbn+=gave
a ^at++++=a
final ^jj++++=final,
, ^zz++++=EXTRAWORD
singular ^nn++++=singular
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
wall ^nn++++=wall
sank ^vbd+++xvbn+=sank,
, ^zz++++=EXTRAWORD
the ^ati++++=the
roof ^nn++++=roof
folded ^vbd+++xvbn+=folded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
structure ^nn++++=structure
knelt ^vbd+++xvbn+=knelt
like ^in++++=like
cattle ^nns++++=cattle
beneath ^in+pl+++=beneath
a ^at++++=a
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
the ^ati++++=the
lamp ^nn++++=lamp
still ^rb+atrb+++=still
burned ^jj+++xvbn+=burned
upon ^in++++=upon
the ^ati++++=the
shelf ^nn++++=shelf,
, ^zz++++=EXTRAWORD
enclosed ^xvbn+++xvbn+=enclosed
by ^in++++=by
the ^ati++++=the
falling ^jj+atrb++xvbg+=falling
timbers ^nns+nom+++=timbers;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
water ^nn++++=water
closed ^vbd+++xvbn+=closed
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
swung ^vbd+++xvbn+=swung
free ^jj++++=free.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
and ^cc++++=and
the ^ati++++=the
child ^nn++++=child
went ^vbd+++xvbn+=went
down ^in++++=down
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
The ^ati++++=The
darkness ^nns+nom+++=darkness
was ^vbd+bedz+vrb++=was
absolute ^jj+pred+++=absolute.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
no ^at++++=no
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
no ^at++++=no
stars ^nns++++=stars
only ^rb+down+++=only
the ^ati++++=the
rush ^nn++++=rush
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
the ^ati++++=the
uprooted ^jj+atrb++xvbn+=uprooted
tree ^nn++++=tree
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
rolled ^vbd+++xvbn+=rolled
enough ^qlp++++=enough
to ^in++++=to
force ^nn++++=force
her ^pp$+pp3+++=her
to ^to++++=to
cling ^vbi++++=cling
with ^in++++=with
both ^abx++++=both
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
its ^pp$+it+++=its
roots ^nns++++=roots
struck ^vbd+++xvbn+=struck
bottom ^jjb++++=bottom
and ^cc+phrs+++=and
halted ^jj+++xvbn+=halted;
; ^zz++++=EXTRAWORD
wreckage ^nn+nom+++=wreckage
crowded ^vbd+++xvbn+=crowded
against ^in++++=against
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
the ^ati++++=the
flood ^nn++++=flood
accumulated ^vbd+++xvbn+=accumulated,
, ^zz++++=EXTRAWORD
snarling ^vbg+nom++xvbg+=snarling
and ^cc+phrs+++=and
heaving ^vbg+++xvbg+=heaving;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
mass ^nn++++=mass
tore ^vbd+++xvbn+=tore
loose ^jj++++=loose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tree ^nn++++=tree
shot ^vbd+++xvbn+=shot
forward ^rb++++=forward
with ^in++++=with
a ^at++++=a
violence ^nn+nom+++=violence
that ^tht+rel+subj++=that
nearly ^rb+down+++=nearly
swept ^vbd+++xvbn+=swept
her ^pp$+pp3+++=her
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him
swimming ^nvbg+++xvbg+=swimming
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
snorting ^jj++++=snorting
as ^in++++=as
the ^ati++++=the
waves ^nns++++=waves
broke ^vbd+++xvbn+=broke
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
his ^pp$+pp3+++=his
paws ^vbz+++??+=paws
found ^vbd+vprv++xvbn+=found
a ^at++++=a
low ^jj+atrb+++=low
root ^nn++++=root,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
several ^ap++++=several
minutes ^nns++++=minutes
he ^pp3a+pp3+++=he
clung ^vbd+++xvbnx+=clung
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
called ^vbd+++xvbn+=called
his ^pp$+pp3+++=his
name ^nn++++=name
and ^cc++++=and
praised ^vbd+++xvbn+=praised
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered
with ^in++++=with
a ^at++++=a
whine ^nn++++=whine,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
praise ^vb++++=praise
was ^vbd+bedz+vrb++=was
unwelcome ^jj+pred+++=unwelcome,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
afforded ^vbd+++xvbn+=afforded
little ^ap++++=little
opportunity ^nn+nom+++=opportunity
for ^in++++=for
its ^pp$+it+++=its
enjoyment ^nn+nom+++=enjoyment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
cheek ^nn++++=cheek
to ^in++++=to
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
faint ^jj+atrb+++=faint
warmth ^nn++++=warmth
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
a ^at++++=a
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tucked ^vbd+++xvbnx+=tucked
the ^ati++++=the
shawl ^nn++++=shawl
around ^rp++++=around
him ^pp3o+pp3+++=him
and ^cc++++=and
bent ^vpsv++agls+xvbn+=bent
over ^in++++=over
until ^cs+sub+++=until
her ^pp3o+pp3+++=her
own ^ap++++=own
body ^nn++++=body
covered ^vbd+++xvbn+=covered
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
ran ^vbd+++xvbn+=ran
from ^in++++=from
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
cold ^jj+atrb+++=cold
water ^nn++++=water
washed ^vwbn+++xvbn+=washed
continually ^rb++++=continually
across ^rp+pl+++=across
her ^pp3o+pp3+++=her
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wind ^nn++++=wind
cut ^vbd+++xvbn+=cut
through ^in++++=through
the ^ati++++=the
torn ^xvbn+++xvbn+=torn
brown ^np++++=brown
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
maternal ^jj+atrb+++=maternal
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
indifferent ^jj+pred+++=indifferent
to ^in++++=to
personal ^jj+atrb+++=personal
discomfort ^nn++++=discomfort
when ^wrb+who+++=when
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
selected ^vprf+++xvbnx+=selected
another ^ppls++++=another
object ^nn++++=object,
, ^zz++++=EXTRAWORD
persuaded ^vpbn+vsua++xvbn+=persuaded
her ^pp$+pp3+++=her
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
warm ^vb++++=warm
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
At ^rb++++=At
some ^dti++++=some
point ^nn++++=point
the ^ati++++=the
river ^npl++++=river
divided ^vwbn+++xvbn+=divided.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
by ^in++++=by
the ^ati++++=the
twisting ^jj+++xvbg+=twisting
of ^in++++=of
the ^ati++++=the
trunk ^nn++++=trunk
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
conflicting ^jj+atrb+++=conflicting
pressure ^nn++++=pressure
of ^in++++=of
currents ^nns++++=currents.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
branch ^vb++++=branch
seized ^vbd+++xvbn+=seized
a ^at++++=a
standing ^jj+atrb++xvbg+=standing
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
another ^dt++++=another
current ^jj++++=current
pulled ^jj+++xvbn+=pulled
at ^rb++++=at
the ^ati++++=the
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
The ^ati++++=The
redwood ^nn+++??+=redwood
revolved ^vbd+++xvbn+=revolved
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
majestically ^rb+cnj+++=majestically,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
monstrous ^jj+atrb+++=monstrous
hand ^nn++++=hand
upon ^in++++=upon
the ^ati++++=the
dial ^nn++++=dial
of ^in++++=of
the ^ati++++=the
Flood ^nn++++=Flood.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
lost ^vbd+++xvbn+=lost
all ^abn++++=all
sense ^nn++++=sense
of ^in++++=of
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Sailor ^nn++++=Sailor
barked ^vbd+++xvbn+=barked.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
darkness ^nns+nom+++=darkness
came ^vbd+++xvbn+=came
another ^dt++++=another
bark ^nn++++=bark
or ^cc++++=or
perhaps ^rb++++=perhaps
an ^at++++=an
echo ^nn++++=echo.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
abandoned ^vbd+++xvbn+=abandoned
the ^ati++++=the
root ^nn++++=root
and ^cc++++=and
plunged ^vpsv++agls+xvbn+=plunged
after ^in++++=after
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Sailor!
sailor ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
called ^vbd+++xvbnx+=called
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
splashing ^vbg+++xvbg+=splashing
far ^rb+pl+++=far
behind ^in+strn+++=behind;
; ^zz++++=EXTRAWORD
once ^rb+tm+++=once
a ^at++++=a
sharp ^jj+atrb+++=sharp
yelp ^nn+++??+=yelp;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
losses ^nns++++=losses
which ^whp+rel+obj++=which
grief ^nn++++=grief
cannot ^md+pos+not++=cannot
immediately ^rb+tm+splt++=immediately
enter ^vb++++=enter
because ^cs+cos+++=because
terror ^nn++++=terror
has ^vbz+hvz+aux++=has
occupied ^vprf+++xvbnx+=occupied
the ^ati++++=the
whole ^jj+atrb+++=whole
house ^npl++++=house.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vbd+++xvbn+=listened;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
tree ^nn++++=tree
moved ^vbd+++xvbn+=moved
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sailor ^nn++++=Sailor
did ^vbd+dod+aux++=did
not ^xnot++not++=not
return ^vb++++=return.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
in ^in++++=in
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
mourn ^vb++++=mourn
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
current ^nn++++=current
presently ^rb+tm+++=presently
became ^vbd+++xvbn+=became
smoother ^jjr++++=smoother.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
no ^at++++=no
longer ^rbr++++=longer
struck ^vbd+++xvbn+=struck
the ^ati++++=the
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
water ^nn++++=water
acquired ^vbd+++xvbn+=acquired
a ^at++++=a
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
regular ^jj+atrb+++=regular
heave ^nn++++=heave.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
tasted ^vprf+++xvbn+=tasted
the ^ati++++=the
spray ^nn++++=spray
upon ^in++++=upon
her ^pp$+pp3+++=her
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
fresh ^jj+pred+++=fresh.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
reached ^vprf+++xvbn+=reached
the ^ati++++=the
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
carrying ^vbg+++xvbgx+=carrying
her ^pp$+pp3+++=her
between ^in++++=between
drowned ^jj+atrb++xvbn+=drowned
fields ^nns++++=fields
or ^cc++++=or
through ^in++++=through
some ^dti++++=some
widened ^jj+++xvbn+=widened
channel ^npl++++=channel.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
conclusion ^nn++++=conclusion
comforted ^vbd+++xvbn+=comforted
her ^pp$+pp3+++=her
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
a ^at++++=a
deep ^jj+atrb+++=deep
and ^cc+phrs+++=and
continuous ^jj+atrb+++=continuous
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surf ^nn++++=surf.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
it ^pp3+it+++=it
on ^in++++=on
winter ^nn++++=winter
nights ^nns++++=nights
when ^wrb+who+++=when
the ^ati++++=the
sea ^nn++++=sea
broke ^vbd+++xvbn+=broke
upon ^in++++=upon
the ^ati++++=the
outer ^jjb+atrb+++=outer
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
now ^rn+tm+++=now
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
door ^nn++++=door
standing ^vwbg+++xvbg+=standing
open ^jj++++=open
into ^in++++=into
immeasurable ^jj+atrb+++=immeasurable
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
tree ^nn++++=tree
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
bay ^nn++++=bay
and ^cc++++=and
passed ^vpsv++agls+xvbn+=passed
between ^in++++=between
the ^ati++++=the
dunes ^nns++++=dunes,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
no ^at++++=no
marsh ^npl++++=marsh,
, ^zz++++=EXTRAWORD
no ^at++++=no
morning ^nn++++=morning
rescue ^nn++++=rescue
only ^rb+down+++=only
the ^ati++++=the
Pacific ^jj++++=Pacific,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
larger ^jjr+atrb+++=larger
vessels ^nns++++=vessels
with ^in++++=with
less ^rbr++++=less
ceremony ^nn++++=ceremony.
. ^zz++++=EXTRAWORD
The ^ati++++=The
redwood ^nn+++??+=redwood
drifted ^vbd+++xvbn+=drifted
onward ^jjb++++=onward.
. ^zz++++=EXTRAWORD
A ^at++++=A
light ^nn++++=light
appeared ^vbd+seem++xvbn+=appeared
through ^in++++=through
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
vanished ^j+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
remote ^jj++++=remote,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
revolving ^jj+++xvbg+=revolving.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lighthouse ^nn++++=lighthouse.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
watched ^vbd+++xvbn+=watched
it ^pp3+it+++=it
with ^in++++=with
painful ^jj+atrb+++=painful
concentration ^nn+nom+++=concentration.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
remained ^vbd+++xvbn+=remained
on ^in++++=on
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
reasoned ^vbd+vprv++xvbnx+=reasoned,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
be ^vb+be+aux++=be
moving ^vbg+++xvbgx+=moving
toward ^in++++=toward
the ^ati++++=the
marsh ^nn++++=marsh;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
swung ^vbd+++xvbn+=swung
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
tree ^nn++++=tree
rotated ^vwbn+++xvbn+=rotated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fog ^nn++++=fog
thickened ^vprf+++xvbn+=thickened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
light ^jj++++=light
behaved ^jj+++xvbn+=behaved
with ^in++++=with
that ^dt+dem+++=that
bureaucratic ^jj+atrb+++=bureaucratic
ambiguity ^nn+nom+++=ambiguity
sometimes ^rb++++=sometimes
observable ^jj++++=observable
in ^in++++=in
official ^jj+atrb+++=official
beacons ^nns+++??+=beacons:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stated ^vbd+vpub++xvbn+=stated
that ^tht+vcmp+++=that
danger ^nn++++=danger
existed ^vbd+++xvbn+=existed
without ^in++++=without
offering ^xvbg+++xvbg+=offering
the ^ati++++=the
least ^rbt++++=least
practical ^jj+atrb+++=practical
suggestion ^nn+nom+++=suggestion
for ^in++++=for
avoiding ^xvbg+++xvbg+=avoiding
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dipped ^vbd+++xvbnx+=dipped
the ^ati++++=the
tin ^nn++++=tin
cup ^nn++++=cup
into ^in++++=into
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
tasted ^vprf+++xvbn+=tasted
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Still ^rb+atrb+++=Still
fresh ^jj++++=fresh.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
brackish ^jj+pred+++=brackish.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
still ^rb++++=still
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
salt ^jj+pred+++=salt.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
pray ^vbi+vsua+++=pray
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
prayed ^vbd+vsua++xvbnx+=prayed
for ^in++++=for
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
return ^vb++++=return
to ^in++++=to
a ^at++++=a
vanished ^jj+++xvbn+=vanished
house ^npl++++=house;
; ^zz++++=EXTRAWORD
for ^in++++=for
Sailor ^nn++++=Sailor,
, ^zz++++=EXTRAWORD
wherever ^nn+nom+++=wherever
the ^ati++++=the
black ^jj++++=black
current ^jj++++=current
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
lay ^jjb+++xvbn+=lay
so ^ql++++=so
still ^rb++++=still;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
for ^in++++=for
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
with ^in++++=with
an ^at++++=an
apologetic ^jj+atrb+++=apologetic
brevity ^nn+nom+++=brevity,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
Providence ^np+nom++??+=Providence
might ^md+pos+++=might
regard ^vb++++=regard
that ^tht+rel+++=that
petition ^nn+nom+++=petition
as ^in++++=as
excessive ^nn++++=excessive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
struck ^vbd+++xvbn+=struck
something ^pn++++=something,
, ^zz++++=EXTRAWORD
rolled ^j+++xvbn+=rolled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
thought ^vbd+++xvbn+=thought
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
grounded ^vprf+++xvbnx+=grounded,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
almost ^rb+hdg+++=almost
immediately ^rb+tm+++=immediately
it ^pp3+it+++=it
slid ^vbd+++xvbn+=slid
free ^jj++++=free.
. ^zz++++=EXTRAWORD
Reeds ^nns++++=Reeds
brushed ^vbd+++xvbn+=brushed
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
open ^jj+atrb+++=open
water ^nn++++=water
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
that ^dt+dem+++=that
a ^at++++=a
soft ^nn++++=soft
grinding ^vwbg+++xvbg+=grinding
beneath ^in+pl+++=beneath
the ^ati++++=the
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trunk ^nn++++=trunk
lifted ^vbd+++xvbn+=lifted,
, ^zz++++=EXTRAWORD
settled ^j+++xvbn+=settled,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
to ^in++++=to
rest ^nn++++=rest
at ^in++++=at
an ^at++++=an
angle ^nn++++=angle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
None ^pn++++=None
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tide ^vb++++=tide
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
the ^ati++++=the
redwood ^nn+++??+=redwood
into ^in++++=into
one ^pn++++=one
of ^in++++=of
Dedlow ^np++++=Dedlow's
's ^$++++=EXTRAWORD
blind ^jj+atrb+++=blind
channels ^nns++++=channels
and ^cc++++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
across ^in+pl+++=across
a ^at++++=a
submerged ^jj+atrb++xvbn+=submerged
tussock ^nn+++??+=tussock.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
it ^pp3+it+++=it
the ^ati++++=the
marsh ^nn++++=marsh
grass ^nn++++=grass
hissed ^vbd+++xvbn+=hissed
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Mud ^nn++++=Mud
sucked ^vbd+++xvbn+=sucked
at ^rb++++=at
the ^ati++++=the
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
Driftwood ^np+++??+=Driftwood
accumulated ^vbd+++xvbn+=accumulated
along ^in++++=along
the ^ati++++=the
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
by ^in++++=by
degrees ^nns+nom+++=degrees
a ^at++++=a
rude ^jj+atrb+++=rude
breakwater ^nn+nom+++=breakwater.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ark ^nn++++=Ark
for ^in++++=for
it ^pp3+it+++=it
had ^vb+hv+aux++=had
by ^in++++=by
then ^rn+tm+++=then
earned ^vbd+++xvbn+=earned
the ^ati++++=the
