# ^zz++++=#
Westward ^rb++++=WESTWARD
; ^zz++++=EXTRAWORD
prudent ^jj+atrb+++=prudent
men ^nns++++=men
condemned ^vbd+++xvbn+=condemned
him ^pp3o+pp3+++=him
at ^rb++++=at
length ^rb"++++=length;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
fame ^nn++++=fame,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
perfume ^nn++++=perfume
of ^in++++=of
certain ^jj+atrb+++=certain
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
strongest ^jjt++++=strongest
just ^rb+emph+++=just
before ^in++++=before
decay ^nn++++=decay.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
last ^jj+atrb+++=last
exhibition ^nn+nom+++=exhibition
was ^vbd+bedz+aux++=was
arranged ^vpsv++agls+xvbnx+=arranged
at ^rb++++=at
the ^ati++++=the
Genesee ^np+++??+=Genesee.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
below ^in+pl+++=below
waited ^nn++++=waited
without ^in++++=without
curiosity ^nn+nom+++=curiosity;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rocks ^nns++++=rocks
maintained ^vbd+vpub++xvbn+=maintained
their ^pp$+pp3+++=their
ancient ^jj+atrb+++=ancient
composure ^nn++++=composure;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
banks ^nns++++=banks
were ^vbd+bed+aux++=were
crowded ^vpsv++agls+xvbnx+=crowded
with ^in++++=with
spectators ^nns++++=spectators,
, ^zz++++=EXTRAWORD
for ^in++++=for
mankind ^nn++++=mankind
will ^md+prd+++=will
neglect ^vb++++=neglect
a ^at++++=a
sunrise ^nn++++=sunrise
that ^tht+rel+subj++=that
occurs ^vbz++++=occurs
every ^at++++=every
morning ^nn++++=morning
and ^cc++++=and
travel ^nn++++=travel
twenty ^cd++++=twenty
miles ^nns++++=miles
to ^to++++=to
see ^vbi+vprv+tht0++=see
a ^at++++=a
man ^nn++++=man
risk ^vb++++=risk
breaking ^vbg+++xvbg+=breaking
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
appeared ^vbd+seem++xvbn+=appeared
upon ^in++++=upon
his ^pp$+pp3+++=his
platform ^nn++++=platform,
, ^zz++++=EXTRAWORD
elevated ^j+++xvbn+=elevated
above ^jjb++++=above
the ^ati++++=the
cataract ^nn++++=cataract
and ^cc++++=and,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
above ^jjb+atrb+++=above
criticism ^nn+nom+++=criticism.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
calculated ^vprf+++xvbnx+=calculated
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
depth ^nn++++=depth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
posture ^nn++++=posture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whatever ^nn+nom+++=whatever
other ^ap++++=other
particulars ^nns++++=particulars
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
science ^nn+nom+++=science
of ^in++++=of
arriving ^xvbg+++xvbg+=arriving
alive ^jj++++=alive
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^rn+pl+++=there
remains ^nns++++=remains
in ^in++++=in
every ^at++++=every
calculation ^nn+nom+++=calculation
a ^at++++=a
small ^jj++++=small
blank ^jj++++=blank
reserved ^jj+++xvbn+=reserved
for ^in++++=for
Providence ^np+nom++??+=Providence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sprang ^vbd+++xvbnx+=sprang.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
brief ^jj+atrb+++=brief
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
mechanic ^nn++++=mechanic,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
an ^at++++=an
exhibitor ^nn++++=exhibitor,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
a ^at++++=a
poor ^jj+atrb+++=poor
adventurer ^nn+nom+++=adventurer
earning ^vwbg+++xvbg+=earning
money ^nn++++=money
from ^in++++=from
the ^ati++++=the
dangerous ^jj+atrb+++=dangerous
curiosity ^nn+nom+++=curiosity
of ^in++++=of
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-creatures.
- ^zz++++=EXTRAWORD
creatures ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Suspended ^xvbn+++xvbn+=Suspended
against ^in++++=against
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
an ^at++++=an
emblem ^nn++++=emblem
of ^in++++=of
human ^jj+atrb+++=human
ambition ^nn+nom+++=ambition
detached ^vbd+++xvbn+=detached
from ^in++++=from
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
applauded ^xvbn+++xvbn+=applauded
by ^in++++=by
folly ^nn++++=folly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
descending ^vbg+++xvbg+=descending
rapidly ^rb++++=rapidly
toward ^in++++=toward
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
river ^npl++++=river
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
rise ^vb++++=rise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
assembled ^vprf+++xvbnx+=assembled
to ^to++++=to
be ^vbi+vbi+aux++=be
astonished ^vpsv++agls+xvbnx+=astonished,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
gratified ^vpsv++agls+xvbnx+=gratified
beyond ^in++++=beyond
its ^pp$+it+++=its
wishes ^nns++++=wishes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leap ^nn++++=leap
became ^vbd+++xvbn+=became
memorable ^jj++++=memorable
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
final ^jj+pred+++=final;
; ^zz++++=EXTRAWORD
failure ^nn++++=failure
accomplished ^vwbn+++xvbn+=accomplished
what ^wdt+who+++=what
success ^nns+nom+++=success
could ^md+pos+++=could
never ^rb++++=never
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
repeatedly ^rb++splt++=repeatedly
descended ^vprf+++xvbnx+=descended
into ^in++++=into
water ^nn++++=water
at ^rb++++=at
once ^rb"+tm+++=once
alighted ^vbd+++xvbn+=alighted
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
world ^nn++++=world
and ^cc++++=and
entered ^vbd+++xvbn+=entered
posthumous ^jj+atrb+++=posthumous
renown ^nn++++=renown.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
he ^pp3a+pp3+++=he
survived ^vbd+++xvbnx+=survived,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
jumped ^vprf+++xvbnx+=jumped
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
grown ^j+++xvbn+=grown
old ^jj++++=old,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
his ^pp$+pp3+++=his
agility ^nn+nom+++=agility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
been ^vprf+ben+aux+xvbn+=been
forgotten ^vpsv++agls+xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
considerate ^jj++++=considerate
of ^in++++=of
his ^pp$+pp3+++=his
reputation ^nn+nom+++=reputation
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
fixed ^j+++xvbn+=fixed
him ^pp3o+pp3+++=him
forever ^rb++++=forever
in ^in++++=in
the ^ati++++=the
act ^nn++++=act.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
standing ^vbg+++xvbg+=standing
securely ^rb++++=securely
behind ^in+pl+++=behind
a ^at++++=a
railing ^nn+nom+++=railing,
, ^zz++++=EXTRAWORD
to ^to++++=to
condemn ^vbi++++=condemn
Sam ^np++++=Sam
Patch ^nn++++=Patch.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
condemned ^vbd+++xvbnx+=condemned
him ^pp3o+pp3+++=him
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
with ^in++++=with
much ^ap++++=much
eloquence ^nn+nom+++=eloquence
and ^cc++++=and
complete ^jj+atrb+++=complete
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
madness ^nns+nom+++=madness,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reflected ^vbd+vprv++xvbnx+=reflected,
, ^zz++++=EXTRAWORD
to ^in++++=to
purchase ^nn++++=purchase
a ^rb++++=a
little ^rb"++++=little
noise ^nn++++=noise
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers
by ^in++++=by
an ^at++++=an
appointment ^nn+nom+++=appointment
with ^in++++=with
eternity ^nn+nom+++=eternity!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
miserable ^jj+atrb+++=miserable
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
name ^nn++++=name
depend ^vb++++=depend
upon ^in++++=upon
the ^ati++++=the
exact ^jj+atrb+++=exact
angle ^nn++++=angle
at ^in++++=at
which ^whp+rel+pied++=which
one ^cd1++++=one
meets ^vbz++++=meets
a ^at++++=a
river ^nn++++=river!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
blindness ^nns+nom+++=blindness,
, ^zz++++=EXTRAWORD
to ^in++++=to
mistake ^nn++++=mistake
a ^at++++=a
crowd ^nn++++=crowd's
's ^vbz+bez+vrb++0=EXTRAWORD
open ^jj+atrb+++=open
mouths ^nns++++=mouths
for ^in++++=for
the ^ati++++=the
trumpet ^nn++++=trumpet
of ^in++++=of
Fame ^nn++++=Fame!
! ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
after ^in++++=after
arranging ^xvbg+++xvbg+=arranging
these ^dt+dem+++=these
observations ^nns+nom+++=observations
to ^in++++=to
my ^pp$+pp1+++=my
satisfaction ^nn+nom+++=satisfaction,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
suspect ^vbi+vprv+++=suspect
that ^tht+vcmp+++=that
Sam ^np++++=Sam's
's ^$++++=EXTRAWORD
folly ^nn++++=folly
differed ^vbd+++xvbn+=differed
in ^in++++=in
degree ^nn++++=degree
rather ^rb++++=rather
than ^in++++=than
in ^in++++=in
kind ^nn++++=kind
from ^in++++=from
that ^dt+dem+++=that
of ^in++++=of
wiser ^jjr+atrb+++=wiser
persons ^nns++++=persons.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
leaps ^nns++++=leaps
from ^in++++=from
a ^at++++=a
platform ^nn++++=platform
because ^cs+cos+++=because
five ^cd++++=five
thousand ^cd++++=thousand
spectators ^nns++++=spectators
are ^vb+ber+aux++=are
watching ^vbg+++xvbgx+=watching;
; ^zz++++=EXTRAWORD
another ^dt++++=another
hazards ^nns++++=hazards
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
digestion ^nn+nom+++=digestion
because ^cs+cos+++=because
five ^cd++++=five
hundred ^cd++++=hundred
guests ^nns++++=guests
may ^md+pos+++=may
admire ^vb++++=admire
his ^pp$+pp3+++=his
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
statesman ^nn+nom+++=statesman
jumps ^nns++++=jumps
into ^in++++=into
an ^at++++=an
opinion ^nn++++=opinion
from ^in++++=from
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
swim ^vb++++=swim;
; ^zz++++=EXTRAWORD
the ^ati++++=the
merchant ^nn+nom+++=merchant
springs ^vbz++++=springs
after ^cs+sub+++=after
a ^at++++=a
speculation ^nn+nom+++=speculation
and ^cc++++=and
is ^vbz+bez+aux++=is
drowned ^vpsv++agls+xvbnx+=drowned
in ^in++++=in
figures ^nns++++=figures;
; ^zz++++=EXTRAWORD
the ^ati++++=the
author ^nn++++=author
casts ^vbz+++??+=casts
himself ^ppl+pp3+++=himself
from ^in++++=from
a ^at++++=a
lofty ^np++++=lofty
preface ^nn++++=preface
into ^in++++=into
a ^at++++=a
shallow ^jj+atrb+++=shallow
book ^nn++++=book.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^rb++++=all
have ^vb+hv+vrb++=have
our ^pp$+pp1+++=our
precipices ^nns+++??+=precipices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ap+emph+++=most
of ^in++++=of
us ^pp1o+pp1+++=us
perform ^vb++++=perform
before ^in++++=before
a ^at++++=a
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
crowd ^nn++++=crowd
may ^md+pos+++=may
consist ^nn+nom+++=consist
only ^rb+down+++=only
of ^in++++=of
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^dt+dem+++=that
most ^ql+emph+++=most
troublesome ^jj+atrb+++=troublesome
spectator ^nn++++=spectator
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
wise ^jj+pred+++=wise
in ^in++++=in
theory ^nn++++=theory.
. ^zz++++=EXTRAWORD
Practically ^rb+cnj+++=Practically,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
more ^ql++++=more
than ^cs+sub+++=than
once ^cs+tm+++=once
taken ^vprf+++xvbn+=taken
a ^at++++=a
leap ^vb++++=leap
because ^cs+cos+++=because
somebody ^pn++++=somebody
might ^md+pos+++=might
observe ^vb+vprv+++=observe
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
the ^ati++++=the
fall ^nn++++=fall
was ^vbd+bedz+vrb++=was
less ^ql++++=less
than ^cs+sub+++=than
Sam ^nn++++=Sam's,
's, ^nn+++??+=EXTRAWORD
the ^ati++++=the
motive ^nn++++=motive
would ^md+prd+++=would
scarcely ^rb+down+++=scarcely
have ^vb+hv+aux++=have
supported ^vprf+++xvbnx+=supported
a ^at++++=a
better ^jjr+atrb+++=better
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
civilization ^nn+nom+++=civilization
consists ^nns+nom+++=consists
not ^xnot++not++=not
in ^in++++=in
abolishing ^xvbg+++xvbg+=abolishing
such ^abl++++=such
jumps ^nns++++=jumps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
placing ^xvbg+++xvbg+=placing
them ^pp3o+pp3+++=them
nearer ^rbr++++=nearer
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
musing ^vbg+++xvbg+=musing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
from ^in++++=from
the ^ati++++=the
cataract ^nn++++=cataract.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
gorge ^nn+++??+=gorge,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
thin ^jj+atrb+++=thin
mist ^nn++++=mist
moved ^vbd+++xvbn+=moved
like ^in++++=like
the ^ati++++=the
departing ^jj+atrb++xvbg+=departing
ghost ^nn++++=ghost
of ^in++++=of
the ^ati++++=the
river ^nn++++=river's
's ^vbz+bez+vrb++0=EXTRAWORD
ancient ^jj+atrb+++=ancient
grandeur ^nn++++=grandeur,
, ^zz++++=EXTRAWORD
Rochester ^np+nom++??+=Rochester
spread ^vbd+++xvbn+=spread
itself ^ppl++++=itself
before ^in++++=before
me ^pp1o+pp1+++=me
a ^at++++=a
city ^npl++++=city
so ^ql++++=so
new ^np++++=new,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
active ^jj++++=active,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+emph+++=so
confident ^jj++++=confident,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
sprung ^vbd+++xvbn+=sprung
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
night ^nn++++=night
and ^cc++++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
already ^rb++splt++=already
complaining ^vbg+vpub++xvbgx+=complaining
that ^tht+vcmp+++=that
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
country ^nn++++=country
did ^vbd+dod+aux++=did
not ^xnot++not++=not
keep ^vb++++=keep
pace ^nn++++=pace
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
Iii ^np+++??+=III.
. ^zz++++=EXTRAWORD
Rochester ^np+nom++??+=Rochester
has ^vbz+hvz+vrb++=has
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
place ^nn++++=place
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
young ^jj++++=young.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
possesses ^nns+nom+++=possesses
novelty ^nn++++=novelty
without ^in++++=without
infancy ^nn++++=infancy;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
boots ^nns++++=boots
and ^cc++++=and
a ^at++++=a
broadcloth ^nn+++??+=broadcloth
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
deed ^nn++++=deed
in ^in++++=in
one ^cd1++++=one
pocket ^nn++++=pocket
and ^cc++++=and
a ^at++++=a
price ^nn++++=price-current
- ^zz++++=EXTRAWORD
current ^jj++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forest ^nn++++=forest
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
withdrawn ^vprf+++xvbnx+=withdrawn
before ^cs+sub+++=before
streets ^nns++++=streets
took ^vbd+++xvbn+=took
possession ^nn++++=possession;
; ^zz++++=EXTRAWORD
mills ^np++++=mills
shouted ^vbd+vpub++xvbn+=shouted
from ^in++++=from
the ^ati++++=the
river ^nn++++=river;
; ^zz++++=EXTRAWORD
bridges ^nns++++=bridges
stitched ^vbd+++xvbn+=stitched
the ^ati++++=the
banks ^nns++++=banks
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
hotels ^nns++++=hotels
raised ^vbd+++xvbn+=raised
their ^pp$+pp3+++=their
many ^ap++++=many
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
church ^nn++++=church-spires
- ^zz++++=EXTRAWORD
spires ^nns++++=EXTRAWORD
pointed ^vbd+++xvbn+=pointed
toward ^in++++=toward
heaven ^nn++++=heaven;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lottery ^nn+nom+++=lottery
offices ^nns++++=offices,
, ^zz++++=EXTRAWORD
with ^in++++=with
equal ^jj+atrb+++=equal
confidence ^nn+nom+++=confidence,
, ^zz++++=EXTRAWORD
proposed ^jj+atrb++xvbn+=proposed
shorter ^jjr+atrb+++=shorter
roads ^nns++++=roads
to ^in++++=to
felicity ^nn+nom+++=felicity.
. ^zz++++=EXTRAWORD
From ^in++++=From
an ^at++++=an
eminence ^nn+nom+++=eminence
the ^ati++++=the
city ^npl++++=city
presented ^vwbn+++xvbn+=presented
a ^at++++=a
spectacle ^nn++++=spectacle
of ^in++++=of
extraordinary ^jj+atrb+++=extraordinary
animation ^nn+nom+++=animation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
light ^nn++++=light,
, ^zz++++=EXTRAWORD
subdued ^jj++++=subdued
by ^in++++=by
a ^at++++=a
pale ^jj+atrb+++=pale
haze ^nn++++=haze,
, ^zz++++=EXTRAWORD
gave ^jj+atrb++xvbn+=gave
softness ^nns+nom+++=softness
to ^in++++=to
objects ^nns++++=objects
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
at ^in++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
appeared ^vprf+++xvbnx+=appeared
raw ^jj++++=raw
and ^cc+phrs+++=and
angular ^jj++++=angular.
. ^zz++++=EXTRAWORD
Roof ^nn++++=Roof
after ^cs+sub+++=after
roof ^nn++++=roof
stretched ^vwbn+++xvbn+=stretched
along ^in++++=along
the ^ati++++=the
river ^nn++++=river;
; ^zz++++=EXTRAWORD
smoke ^nn++++=smoke
rose ^vbd+++xvbn+=rose
in ^in++++=in
separate ^jj+atrb+++=separate
columns ^nns++++=columns
and ^cc++++=and
then ^rn+tm+++=then
united ^np++++=united
above ^jjb++++=above
the ^ati++++=the
town ^nn++++=town
in ^in++++=in
a ^at++++=a
commercial ^jj+atrb+++=commercial
cloud ^nn++++=cloud;
; ^zz++++=EXTRAWORD
mill ^nn++++=mill-windows
- ^zz++++=EXTRAWORD
windows ^nns++++=EXTRAWORD
glimmered ^vbd+++xvbn+=glimmered;
; ^zz++++=EXTRAWORD
newly ^rb++++=newly
painted ^xvbn+++xvbn+=painted
houses ^nns++++=houses
shone ^vbd+++xvbn+=shone
with ^in++++=with
an ^at++++=an
almost ^rb+hdg+++=almost
embarrassing ^jj+atrb++xvbg+=embarrassing
whiteness ^nns+nom+++=whiteness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
twilight ^nn++++=twilight
deepened ^vbd+++xvbn+=deepened,
, ^zz++++=EXTRAWORD
lamps ^nns++++=lamps
began ^vbd+++xvbn+=began
to ^to++++=to
twinkle ^vbi++++=twinkle
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
whole ^jj+atrb+++=whole
settlement ^nn+nom+++=settlement
resembled ^vbd+++xvbn+=resembled
a ^at++++=a
constellation ^nn+nom+++=constellation
lately ^rb+tm+++=lately
discovered ^vbd+vprv++xvbn+=discovered
and ^cc++++=and
already ^rb++++=already
divided ^vbd+++xvbn+=divided
into ^in++++=into
building ^xvbg+++xvbg+=building
lots ^nns++++=lots.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
repose ^nn++++=repose
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Burlington ^np+++??+=Burlington
had ^vbd+hvd+aux++=had
bustled ^vprf+++xvbnx+=bustled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Burlington ^np+++??+=Burlington
sometimes ^rb++++=sometimes
paused ^vbd+++xvbn+=paused
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
Rochester ^np+nom++??+=Rochester
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
regard ^vbi++++=regard
a ^at++++=a
pause ^nn++++=pause
as ^ql++++=as
a ^at++++=a
species ^nn++++=species
of ^in++++=of
insolvency ^nn+++??+=insolvency.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
hurried ^vbd+++xvbn+=hurried
along ^in++++=along
as ^cs+sub+++=as
if ^cs+cnd+++=if
pursued ^vpsv++by+xvbn+=pursued
by ^in++++=by
appointments ^nns+nom+++=appointments;
; ^zz++++=EXTRAWORD
horses ^nns++++=horses
trotted ^vbd+++xvbn+=trotted
as ^cs+sub+++=as
if ^cs+cnd+++=if
conscious ^jj++++=conscious
of ^in++++=of
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
time ^nn++++=time;
; ^zz++++=EXTRAWORD
wagons ^nns++++=wagons
rattled ^vwbn+++xvbn+=rattled,
, ^zz++++=EXTRAWORD
coaches ^nns++++=coaches
rolled ^vbd+++xvbn+=rolled,
, ^zz++++=EXTRAWORD
ox ^nn++++=ox-teams
- ^zz++++=EXTRAWORD
teams ^nns++++=EXTRAWORD
groaned ^vbd+++xvbn+=groaned,
, ^zz++++=EXTRAWORD
wheelbarrows ^vbz+++??+=wheelbarrows
squeaked ^vbd+++xvbn+=squeaked,
, ^zz++++=EXTRAWORD
saws ^nns++++=saws
rasped ^vbd+++xvbn+=rasped,
, ^zz++++=EXTRAWORD
hammers ^nns+nom+++=hammers
rang ^vbd+++xvbn+=rang,
, ^zz++++=EXTRAWORD
bells ^nns++++=bells
summoned ^vbd+++xvbn+=summoned,
, ^zz++++=EXTRAWORD
doors ^nns++++=doors
slammed ^vbd+++xvbn+=slammed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
voices ^nns++++=voices
rose ^vbd+++xvbn+=rose
through ^in++++=through
all ^abn++++=all
the ^ati++++=the
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering,
, ^zz++++=EXTRAWORD
demanding ^vbg+vsua++xvbg+=demanding,
, ^zz++++=EXTRAWORD
promising ^jj++++=promising,
, ^zz++++=EXTRAWORD
disputing ^vbg+++xvbg+=disputing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
calculating ^nvbg+++xvbg+=calculating.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
dust ^vb++++=dust
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
haste ^nn++++=haste.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
street ^nn++++=street
a ^at++++=a
line ^nn++++=line
of ^in++++=of
wagons ^nns++++=wagons
stood ^vbd+++xvbn+=stood
