Purple ^jj++++=Purple,
rainbow ^nn++++=rainbow
travelling ^vwbg+++xvbg+=travelling
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Rich ^jj+atrb+++=Rich
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
avert ^vb++++=avert
your ^pp$+pp2+++=your
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
comprehend ^vb+++??+=comprehend
the ^ati++++=the
happiness ^nns+nom+++=happiness
of ^in++++=of
wearing ^xvbg+++xvbg+=wearing
at ^rb++++=at
last ^rb"++++=last
the ^ati++++=the
one ^cd1++++=one
beautiful ^jj+atrb+++=beautiful
thing ^nn++++=thing
for ^in++++=for
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
paid ^vprf+++xvbnx+=paid
in ^in++++=in
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
self ^nn++++=self-command.
- ^zz++++=EXTRAWORD
command ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
jewels ^nns++++=jewels
may ^md+pos+++=may
be ^vb+be+vrb++=be
finer ^jjr+pred+++=finer;
; ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
joy ^nn++++=joy
is ^vbz+bez+vrb++=is
ready ^jj+pred+++=ready-made.
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
Eighth ^od++++=Eighth
Street ^nn++++=Street
a ^at++++=a
tall ^jj+atrb+++=tall
figure ^nn++++=figure
emerged ^vbd+++xvbn+=emerged
from ^in++++=from
the ^ati++++=the
rain ^nn++++=rain
without ^in++++=without
an ^at++++=an
umbrella ^nn++++=umbrella.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ramsay ^np++++=Ramsay.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Flynn ^np++++=Flynn!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
first ^od++++=first
at ^rb++++=at
her ^pp3o+pp3+++=her
wet ^jj+atrb+++=wet
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
the ^ati++++=the
purple ^nn++++=purple
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
open ^jj+atrb+++=open
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
again ^rb+tm+++=again
at ^rb++++=at
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Approval ^nn+nom+++=Approval
softened ^vbd+++xvbn+=softened
his ^pp$+pp3+++=his
grave ^jj+atrb+++=grave
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
upon ^in++++=upon
my ^pp$+pp1+++=my
word ^nn++++=word,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
wonderful ^jj++++=wonderful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Maida ^np+++??+=Maida.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
out ^rp+pl+++=out
in ^in++++=in
weather ^nn++++=weather
like ^in++++=like
this ^dt+pdem+++=this!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
one ^cd1++++=one
young ^jj+atrb+++=young
woman ^nn++++=woman
with ^in++++=with
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
is ^vbz+bez+aux++=is
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
tonic ^nn++++=tonic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pores ^nns++++=pores
respond ^vb++++=respond
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
people ^nns++++=people
wrap ^nn++++=wrap
themselves ^ppls+pp3+++=themselves
in ^in++++=in
rubber ^nn++++=rubber
and ^cc++++=and
practically ^rb+down+++=practically
pickle ^vb+++??+=pickle
their ^pp$+pp3+++=their
constitutions ^nns+nom+++=constitutions."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Maida ^np+++??+=Maida,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
water ^nn++++=water
was ^vbd+bedz+aux++=was
travelling ^nvbg+++xvbg+=travelling
down ^rp++++=down
her ^pp3o+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
often ^rb++splt++=often
noticed ^vprf++tht0+xvbnx+=noticed
your ^pp$+pp2+++=your
intelligence ^nn+nom+++=intelligence
at ^in++++=at
the ^ati++++=the
store ^nn++++=store,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
strictly ^rb++++=strictly
true ^jj++++=true,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
romance ^nn+nom+++=romance
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
applied ^vprf+++xvbnx+=applied
for ^in++++=for
a ^at++++=a
position ^nn+nom+++=position
in ^in++++=in
the ^ati++++=the
auditing ^jj+atrb++xvbg+=auditing
department ^nn+nom+++=department.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
others ^aps++++=others
laugh ^nn++++=laugh
at ^rb++++=at
my ^pp$+pp1+++=my
health ^nn++++=health
principles ^nns++++=principles.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
understand ^vb+vprv+++=understand
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
thought ^vbd+++xvbn+=thought
of ^in++++=of
Grace ^nn++++=Grace
in ^in++++=in
red ^nn++++=red
beneath ^in+pl+++=beneath
the ^ati++++=the
paper ^nn++++=paper
garlands ^nns++++=garlands;
; ^zz++++=EXTRAWORD
of ^in++++=of
four ^cd++++=four
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
of ^in++++=of
Schlegel ^np++++=Schlegel's
's ^$++++=EXTRAWORD
angry ^jj+atrb+++=angry
pencil ^nn++++=pencil;
; ^zz++++=EXTRAWORD
of ^in++++=of
purple ^nn++++=purple
moving ^vwbg+++xvbg+=moving
bravely ^rb++++=bravely
through ^in++++=through
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ramsay ^np++++=Ramsay
offered ^vbd+++xvbn+=offered
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="May
may ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
walk ^nn++++=walk
with ^in++++=with
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
shone ^vbd+++xvbn+=shone;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
rain ^nn++++=rain
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
took ^vbd+++xvbn+=took
the ^ati++++=the
rival ^jjb+atrb+++=rival
color ^nn++++=color
from ^in++++=from
Grace ^np++++=Grace's
's ^$++++=EXTRAWORD
victorious ^jj+atrb+++=victorious
gown ^nn++++=gown.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
then ^rn+tm+++=Then
maida ^np++++=Maida
blushed ^vbd+++xvbn+=blushed
and ^cc+phrs+++=and
sneezed ^vpsv++agls+xvbn+=sneezed.
. ^zz++++=EXTRAWORD
