Superstitious ^jj+atrb+++=Superstitious
Burtenshaw ^np++++=Burtenshaw
said ^vbd+vpub++xvbn+=said
chains ^nns++++=chains
cost ^nn++++=cost
money ^nn++++=money
and ^cc++++=and
made ^vprf+++xvbn+=made
too ^ql++++=too
much ^ap++++=much
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
a ^at++++=a
white ^jj+atrb+++=white
sheet ^nn++++=sheet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
Bill ^nn++++=Bill
knew ^vbd+vprv+tht0+xvbn+=knew
their ^pp$+pp3+++=their
sheets ^nns++++=sheets
had ^vb+hv+aux++=had
all ^abn++++=all
been ^jj+jj+aux+xvbn+=been
pawned ^vpsv++agls+xvbnx+=pawned.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Silas ^np+++??+=Silas
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
scene ^nn++++=scene-painter
- ^zz++++=EXTRAWORD
painter ^nn++++=EXTRAWORD
at ^in++++=at
a ^rb++++=a
little ^rb"++++=little
theatre ^nn++++=theatre
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
some ^dti++++=some
luminous ^jj++++=luminous
paint ^vb++++=paint
left ^vbd+++xvbn+=left
over ^in++++=over
from ^in++++=from
a ^at++++=a
demon ^nn++++=demon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
put ^vb+++xvbn+=put
it ^pp3+it+++=it
on ^in++++=on
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
wet ^jj++++=wet
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wear ^vb++++=wear
an ^at++++=an
old ^jj+atrb+++=old
sea ^nn++++=sea-cloak.
- ^zz++++=EXTRAWORD
cloak ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'You'll
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
to ^to++++=to
groan ^vbi++++=groan,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
groan ^vb++++=groan,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
a ^at++++=a
long ^jj+atrb+++=long
breath ^nn++++=breath
and ^cc++++=and
giving ^jj+atrb++xvbg+=giving
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
jumped ^vbd+++xvbn+=jumped.
. ^zz++++=EXTRAWORD
" ^zz++++="'Not
' ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='That
that ^dt+pdem+++=EXTRAWORD
sounds ^vbz++++=sounds
as ^cs+sub+++=as
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
eaten ^vprf+++xvbnx+=eaten
something ^pn++++=something.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
it ^pp3+it+++=it
more ^rbr++++=more
lonely ^jj++++=lonely.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
tried ^vbd+++xvbnx+=tried
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="'Too
' ^zz++++=EXTRAWORD
too ^ql++++=EXTRAWORD
cheerful ^jj++++=cheerful,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
tried ^vbd+++xvbnx+=tried
a ^at++++=a
third ^nn++++=third
time ^nn++++=time,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
low ^jj++++=low
and ^cc+phrs+++=and
ending ^jj+++xvbg+=ending
with ^in++++=with
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
wobble ^nn+++??+=wobble.
. ^zz++++=EXTRAWORD
" ^zz++++="'That's
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
quite ^rb++++=quite
a ^at++++=a
turn ^nn++++=turn
near ^in+pl+++=near
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
that ^dt+dem+++=that
one ^cd1++++=one
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
pulls ^vbz++++=pulls
the ^ati++++=the
bedclothes ^nns++++=bedclothes
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
settled ^vbd+++xvbnx+=settled
it ^pp3+it+++=it
for ^in++++=for
the ^ati++++=the
following ^jj+atrb++xvbg+=following
Saturday ^nr++++=Saturday.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
was ^vbd+bedz+aux++=was
to ^to++++=to
spread ^vb+++xvbn+=spread
a ^at++++=a
report ^vb++++=report
that ^tht+vcmp+++=that
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
washed ^vpsv++agls+xvbnx+=washed
overboard ^rb+pl+++=overboard
from ^in++++=from
a ^at++++=a
barge ^nn++++=barge
in ^in++++=in
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
was ^vbd+bedz+aux++=was
to ^to++++=to
tell ^vbi++++=tell
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Bill ^nn++++=Bill
came ^vbd+++xvbn+=came
' ^zz++++='ome
ome ^vb+++??+=EXTRAWORD
drunk ^vbd+++xvbn+=drunk
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
to ^to++++=to
leave ^vbi++++=leave
the ^ati++++=the
kitchen ^nn++++=kitchen
window ^nn++++=window
open ^nn++++=open
and ^cc++++=and
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
unbolted ^vbd+++xvbn+=unbolted.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
was ^vbd+bedz+aux++=was
to ^to++++=to
come ^vbi++++=come
upstairs ^jjb++++=upstairs
at ^in++++=at
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
wake ^vb++++=wake
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
reform ^nn++++=reform
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go.
. ^zz++++=EXTRAWORD
" ^zz++++="'Nothing
' ^zz++++=EXTRAWORD
nothing ^pn++++=EXTRAWORD
about ^in++++=about
money ^nn++++=money,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
" ^zz++++="'Certainly
' ^zz++++=EXTRAWORD
certainly ^rb++++=EXTRAWORD
not ^xnot++not++=not,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
looking ^xvbg+++xvbg+=looking
shocked ^vprf+++xvbn+=shocked.
. ^zz++++=EXTRAWORD
' ^zz++++='This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
friendship ^nn+nom+++=friendship.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Saturday
saturday ^nr++++=EXTRAWORD
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
story ^nn++++=story
about ^in++++=about
Silas ^np+++??+=Silas
being ^xvbg+++xvbg+=being
drowned ^vwbn+++xvbn+=drowned
reached ^vprf+++xvbn+=reached
Bill ^nn++++=Bill
by ^in++++=by
seven ^cd++++=seven
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It
reached ^vbd+++xvbn+=reached
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Jolly ^jj+atrb+++=Jolly
Mariner ^np+++??+=Mariner,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
four ^cd++++=four
men ^nns++++=men
told ^vbd+vpub++xvbn+=told
it ^pp3+it+++=it
four ^cd++++=four
different ^jj+atrb+++=different
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
said ^vbd+vpub+tht0+xvbn+=said
Silas ^np+++??+=Silas
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
overboard ^rb+pl+++=overboard;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
jumped ^vprf+++xvbnx+=jumped;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
said ^vbd+vpub+tht0+xvbn+=said
a ^at++++=a
rope ^nn++++=rope
had ^vbd+hvd+aux++=had
knocked ^vprf+++xvbnx+=knocked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fourth ^od++++=fourth
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
barrel ^nn++++=barrel
of ^in++++=of
cement ^nn++++=cement.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
believed ^vbd+vprv++xvbn+=believed
all ^abn++++=all
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
drank ^vbd+++xvbnx+=drank
two ^cd++++=two
glasses ^nns++++=glasses
to ^in++++=to
Silas ^np++++=Silas's
's ^$++++=EXTRAWORD
memory ^nn++++=memory
and ^cc++++=and
another ^dt++++=another
because ^cs+cos+++=because
Silas ^np+++??+=Silas
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
wanted ^vprf+++xvbnx+=wanted
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^in++++=to
grieve ^np++++=grieve.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
agreement ^nn+nom+++=agreement
and ^cc++++=and
turned ^vbd+++xvbn+=turned
pale ^nn++++=pale
under ^in++++=under
the ^ati++++=the
red ^nn++++=red.
. ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
yet ^rb+cnj+++=yet,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
just ^rb+emph+++=just
drowned ^jj+++xvbn+=drowned.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Depends
' ^zz++++=EXTRAWORD
depends ^vbz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
tide ^nn++++=tide,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
looked ^vbd+++xvbn+=looked
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
swallowed ^j+++xvbn+=swallowed
his ^pp$+pp3+++=his
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ordered ^vbd+vsua++xvbn+=ordered
another ^ppls++++=another
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
cold ^nn++++=cold
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
By ^in++++=By
closing ^xvbg+++xvbg+=closing-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
the ^ati++++=the
cold ^nn++++=cold
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
everything ^pn++++=everything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
men ^nns++++=men
took ^vbd+++xvbn+=took
' ^zz++++='im
im ^&fw++++=EXTRAWORD
home ^nr++++=home
and ^cc++++=and
leaned ^vbd+++xvbn+=leaned
' ^zz++++='im
im ^&fw++++=EXTRAWORD
against ^in++++=against
his ^pp$+pp3+++=his
own ^ap++++=own
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
got ^vbd+++xvbn+=got
' ^zz++++='im
im ^&fw++++=EXTRAWORD
upstairs ^jjb++++=upstairs
by ^in++++=by
pushing ^xvbg+++xvbg+=pushing
from ^in++++=from
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
off ^in+pl+++=off
one ^cd1++++=one
boot ^nn++++=boot,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
up ^rp++++=up
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^in++++=to
bed ^nn++++=bed
crossways ^rb++++=crossways.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
afore ^in++++=afore
midnight ^nn++++=midnight
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
soft ^jj+atrb+++=soft
tap ^nn++++=tap
at ^in++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
went ^vbd+++xvbn+=went
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Silas ^np+++??+=Silas
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
shone ^vbd+++xvbn+=shone
pale ^nn++++=pale
green ^nn++++=green,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
shone ^vbd+++xvbn+=shone
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
wet ^jj+atrb+++=wet
hair ^nn++++=hair
hung ^vbd+++xvbn+=hung
over ^in++++=over
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
seaweed ^nn++++=seaweed
on ^in++++=on
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
string ^nn++++=string
round ^in++++=round
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wot's
' ^zz++++=EXTRAWORD
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
string ^nn++++=string
for ^in+strn+++=for?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispers ^nns+nom+++=whispers.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^to++++=to
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
an ^at++++=an
anchor ^nn++++=anchor
on ^in++++=on
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispers ^nns+nom+++=whispers
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
too ^ql++++=too
heavy ^jj++++=heavy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Take
' ^zz++++=EXTRAWORD
take ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
boots ^nns++++=boots
off ^in+strn+++=off,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='Ghosts
ghosts ^nns++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
squeak ^vb++++=squeak.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
them ^pp3o+pp3+++0='em
off ^in+pl+++=off
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed
her ^pp$+pp3+++=her
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
bedroom ^nn++++=bedroom
door ^nn++++=door
she ^pp3a+pp3+++=she
reminded ^vbd+vsua++xvbnx+=reminded
' ^zz++++='im
im ^&fw++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
groan ^nn++++=groan.
. ^zz++++=EXTRAWORD
" ^zz++++="'The
' ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
lonely ^jj+atrb+++=lonely
one ^pn++++=one?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispers ^nns+nom+++=whispers.
. ^zz++++=EXTRAWORD
" ^zz++++="'Yes.
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
overdo ^vb++++=overdo
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
little ^jj+atrb+++=little
back ^jjb+atrb+++=back
room ^nn++++=room
and ^cc++++=and
left ^vbd+++xvbn+=left
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^vbz+++??+=EXTRAWORD
entered ^vprf+++xvbn+=entered
the ^ati++++=the
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
candle ^nn++++=candle
burning ^vwbg+++xvbg+=burning
on ^in++++=on
the ^ati++++=the
washstand ^nn+++??+=washstand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
snoring ^jj+++xvbg+=snoring
hard ^jj++++=hard
enough ^qlp++++=enough
to ^to++++=to
shake ^vbi++++=shake
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
the ^ati++++=the
jug ^nn++++=jug.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
stood ^vbd+++xvbn+=stood
beside ^in+pl+++=beside
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
groaned ^vbd+++xvbn+=groaned.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in++++=on
snoring ^nn++++=snoring.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
groaned ^vbd+++xvbn+=groaned
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
gave ^vbd+++xvbn+=gave
a ^at++++=a
snort ^nn++++=snort,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
started ^vbd+++xvbn+=started
again ^rb+tm+++=again
with ^in++++=with
renewed ^jj+atrb++xvbn+=renewed
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Bill!'
' ^zz++++=EXTRAWORD
bill ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
deep ^jj+atrb+++=deep
sepulchral ^jj+atrb+++=sepulchral
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
wider ^jjr++++=wider,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nothing ^pn++++=nothing
else ^rb+cnj+++=else
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
poked ^vbd+++xvbn+=poked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
with ^in++++=with
one ^cd1++++=one
luminous ^jj+atrb+++=luminous
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
brushed ^vbd+++xvbn+=brushed
it ^pp3+it+++=it
away ^rp+pl+++=away
and ^cc++++=and
muttered ^vbd+++xvbn+=muttered
something ^pn++++=something
about ^in++++=about
five ^cd++++=five
minutes ^nns++++=minutes
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
poked ^vbd+++xvbn+=poked
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="'Bill
' ^zz++++=EXTRAWORD
bill ^nn++++=EXTRAWORD
Burtenshaw ^np+++??+=Burtenshaw!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='Awake
awake ^jj++++=EXTRAWORD
and ^cc++++=and
behold ^vb++++=behold!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
opened ^vbd+++xvbn+=opened
one ^cd1++++=one
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
the ^ati++++=the
shining ^jj+atrb++xvbg+=shining
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shut ^vb+++xvbn+=shut
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="'Go
' ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
prepared ^vbd+++xvbn+=prepared
for ^in++++=for
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
" ^zz++++="'Bill!'
' ^zz++++=EXTRAWORD
bill ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
me ^pp1o+pp1+++=me
Silas ^np+++??+=Silas
Winch ^nn++++=Winch
returned ^vbd+++xvbn+=returned
from ^in++++=from
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
pulled ^vbd+++xvbn+=pulled
the ^ati++++=the
bedclothes ^nns++++=bedclothes
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="'Good-by,
' ^zz++++=EXTRAWORD
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
