Bullies ^nns++++=BULLIES,
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
foolish ^jj+pred+++=foolish
enough ^qlp++++=enough
sober ^jj++++=sober."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
better ^jjr+atrb+++=better
feelings ^nns+nom+++=feelings
nearly ^rb+down+++=nearly
got ^vbd+++xvbn+=got
the ^ati++++=the
upper ^jjb+atrb+++=upper
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
murder ^nn++++=murder
was ^vbd+bedz+aux++=was
hanging ^vbg+++xvbgx+=hanging
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
if ^cs+cnd+++=if
Bob ^np++++=Bob
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
his ^pp$+pp3+++=his
temper ^nn++++=temper
there ^ex+pex+++=there
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
serious ^jj+atrb+++=serious
accident ^nn++++=accident.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
temper ^nn++++=temper!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
see ^vb+vprv+++=see
fair ^jj+atrb+++=fair
play ^nn++++=play,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^to++++=to
' ^zz++++='elp,"
elp ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='elp
elp ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
them ^pp3o+pp3+++0='em
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
the ^ati++++=the
carpenter ^nn+nom+++=carpenter's
's ^$++++=EXTRAWORD
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blacking ^nn++++=blacking
went ^vbd+++xvbn+=went
on ^in++++=on
beautiful ^nn++++=beautiful.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
covered ^vbd+++xvbn+=covered
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
red ^jj+atrb+++=red
hair ^nn++++=hair
until ^cs+sub+++=until
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
like ^in++++=like
polished ^jj+atrb+++=polished
ebony ^nn++++=ebony,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
finished ^vprf+++xvbnx+=finished
with ^in++++=with
his ^pp$+pp3+++=his
face ^nn++++=face
his ^pp$+pp3+++=his
own ^ap++++=own
mother ^nn++++=mother
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
without ^in++++=without
being ^nn+nn+aux++=being
told ^vbd+vpub++xvbn+=told.
. ^zz++++=EXTRAWORD
Bob ^np++++=Bob
looked ^vbd+++xvbn+=looked
even ^rb++++=even
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
except ^in++++=except
where ^wrb+who+++=where
the ^ati++++=the
blacking ^jj+++xvbg+=blacking
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
one ^cd1++++=one
eye ^nn++++=eye
and ^cc++++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop
stop ^vb++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
spoil ^vb++++=spoil
the ^ati++++=the
surface ^nn++++=surface."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
spoil ^vbi++++=spoil
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
burns ^vbz++++=burns."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
shows ^vbz+vprv+tht0++=shows
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
taking ^vbg+++xvbgx+=taking
hold ^nn++++=hold,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter,
, ^zz++++=EXTRAWORD
pleased ^j+++xvbn+=pleased.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
looked ^vbd+++xvbn+=looked
at ^rb++++=at
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
cracked ^jj+atrb++xvbn+=cracked
mirror ^nn++++=mirror
and ^cc++++=and
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
head ^nn++++=head
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
much ^ap++++=much
like ^in++++=like
a ^at++++=a
Hindoo ^np+++??+=Hindoo,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
much ^ap++++=much
like ^in++++=like
Bill ^nn++++=Bill
Cousins ^nns++++=Cousins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
chief ^jjb+atrb+++=chief
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
like ^in++++=like
two ^cd++++=two
wax ^nn++++=wax
figgers ^nns+nom+++=figgers
after ^in++++=after
a ^at++++=a
fire ^nn++++=fire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ginger ^nn++++=Ginger
Dick ^np++++=Dick.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
picked ^vbd+++xvbn+=picked
up ^rp++++=up
a ^at++++=a
marline ^nn+++??+=marline-spike,
- ^zz++++=EXTRAWORD
spike ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ginger ^nn++++=Ginger
said ^vbd+vpub++xvbn+=said
at ^rb++++=at
once ^rb"+tm+++=once
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
closer ^rbr++++=closer,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
a ^at++++=a
finer ^jjr+atrb+++=finer
pair ^nn++++=pair.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
ashore ^rb+pl+++=ashore
by ^in++++=by
the ^ati++++=the
accommodation ^nn+nom+++=accommodation
ladder ^nn++++=ladder,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
their ^pp$+pp3+++=their
heads ^nns++++=heads
down ^rp++++=down.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
native ^nn++++=native
boatmen ^vbd+++xvbn+=boatmen
called ^vwbn+++xvbn+=called
something ^pn++++=something
after ^in++++=after
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bob ^np++++=Bob
called ^vbd+++xvbn+=called
something ^pn++++=something
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
wot ^wpr++++=wot
either ^dtx++++=either
of ^in++++=of
them ^pp3o+pp3+++0='em
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Bob ^np++++=Bob
claimed ^vbd+vpub++xvbn+=claimed
afterwards ^rb+tm+++=afterwards
that ^cs+sub+++=that
it ^pp3+it+++=it
helped ^vbd+++xvbn+=helped
the ^ati++++=the
disguise ^nn++++=disguise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
plan ^nn++++=plan
was ^vbd+bedz+vrb++=was
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
wait ^vbi++++=wait
near ^in+pl+++=near
a ^at++++=a
narrow ^jj+atrb+++=narrow
lane ^nn++++=lane
the ^ati++++=the
mate ^nn++++=mate
generally ^rb+down+++=generally
used ^vbd+++xvbn+=used
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
was ^vbd+bedz+aux++=was
to ^to++++=to
jostle ^vbi++++=jostle
him ^pp3o+pp3+++=him
accidental ^jj++++=accidental,
, ^zz++++=EXTRAWORD
Bob ^np++++=Bob
was ^vbd+bedz+aux++=was
to ^to++++=to
jostle ^vbi++++=jostle
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
them ^pp3o+pp3+++0='em
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
to ^to++++=to
give ^vbi++++=give
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
lesson ^nn++++=lesson
in ^in++++=in
politeness ^nns+nom+++=politeness.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stayed ^vbd+++xvbn+=stayed
aboard ^in+strn+++=aboard,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
said ^vbd+vpub++xvbn+=said
there ^ex+pex+++=there
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
no ^at++++=no
danger ^nn++++=danger
provided ^vbd+vsua+tht0+xvbn+=provided
they ^pp3a+pp3+++=they
kept ^vbd+++xvbnx+=kept
cool ^vb++++=cool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
carpenter ^nn+nom+++=carpenter
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
either ^dtx++++=either
of ^in++++=of
them ^pp3o+pp3+++0='em
perspired ^vbd+++xvbn+=perspired
too ^ql++++=too
much ^ap++++=much
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
careful ^jj+pred+++=careful
not ^xnot++not++=not
to ^to++++=to
wipe ^vbi++++=wipe
their ^pp$+pp3+++=their
faces ^nns++++=faces
on ^in++++=on
the ^ati++++=the
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
his ^pp$+pp3+++=his
blacking ^vbg+++xvbg+=blacking
was ^vbd+bedz+vrb++=was
expensive ^jj+pred+++=expensive.
. ^zz++++=EXTRAWORD
About ^in++++=About
two ^cd++++=two
hours ^nns++++=hours
later ^rbr+tm+++=later
we ^pp1a+pp1+++=we
heard ^vbd+vprv+tht0+xvbn+=heard
somebody ^pn++++=somebody
coming ^vbg+++xvbg+=coming
along ^in++++=along
the ^ati++++=the
wharf ^nn++++=wharf,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
and ^cc+phrs+++=and
stopping ^vbg+++xvbg+=stopping
every ^at++++=every
few ^ap++++=few
yards ^nns++++=yards
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
up ^rp++++=up
the ^ati++++=the
side ^nn++++=side
very ^ql+amp+++=very
slow ^vb++++=slow.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
sleeve ^nn++++=sleeve
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
collar ^nn++++=collar
had ^vbd+hvd+aux++=had
broke ^vprf+++xvbnx+=broke
loose ^jj++++=loose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
necktie ^nn+++??+=necktie
was ^vbd+bedz+aux++=was
hanging ^vbg+++xvbgx+=hanging
over ^in++++=over
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
ear ^nn++++=ear
like ^in++++=like
a ^at++++=a
pennant ^nn+nom+++=pennant.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
right ^jj+atrb+++=right
eye ^nn++++=eye
was ^vbd+bedz+aux++=was
closing ^vbg+++xvbgx+=closing
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj+atrb+++=large
swelling ^nn+nom+++=swelling
over ^in++++=over
his ^pp$+pp3+++=his
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^abn++++=all
looked ^jj+++xvbn+=looked
busy ^jj++++=busy.
. ^zz++++=EXTRAWORD
Ginger ^nn++++=Ginger
Dick ^np++++=Dick
began ^vbd+++xvbn+=began
coiling ^nn+nom+++=coiling
a ^at++++=a
rope ^nn++++=rope
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
coiled ^vpsv++agls+xvbnx+=coiled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Joe ^np++++=Joe
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
sock ^nn++++=sock.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
ladder ^nn++++=ladder
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
of ^in++++0=o'
you ^pp2+pp2+++=you
men ^nns++++=men
been ^vprf+ben+vrb+xvbn+=been
ashore ^rb+pl+++=ashore?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Cousins ^nns++++=Cousins
and ^cc++++=and
Pullin ^np+++??+=Pullin?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Below,
below ^rb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
breathed ^vbd+++xvbn+=breathed
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
just ^rb+emph+++=just
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
difficulty ^nn++++=difficulty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
asked ^vpsv++agls+xvbnx+=asked,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sailors ^nns++++=sailors
has ^md"++pmd"++=has
to ^md+nec+++=to
be ^vbi++vrb++=be
careful ^jj++++=careful
not ^xnot++not++=not
to ^in++++=to
pry ^nn++++=pry
into ^in++++=into
their ^pp$+pp3+++=their
officers ^nns+nom+++=officers'
' ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
" ^zz++++="Five
five ^cd++++=EXTRAWORD
of ^in++++=of
' ^zz++++='em,"
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
" ^zz++++="German
german ^jj+atrb+++=EXTRAWORD
sailors ^nns++++=sailors."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Five,
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
opening ^nvbg+++xvbg+=opening
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Five,"
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="Big
big ^jj+atrb+++=EXTRAWORD
fellows ^nns++++=fellows.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
thought ^vbd+++xvbnx+=thought
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
found ^vprf+++xvbnx+=found
an ^at++++=an
easy ^jj+atrb+++=easy
mark ^nn++++=mark."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ned ^np+++??+=Ned
Baker ^np++++=Baker.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
know ^vb+vprv+++=know
better ^jjr++++=better
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
suppose ^vb+vprv+++=suppose
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++0='em
will ^md+prd+++=will
leave ^vb++++=leave
their ^pp$+pp3+++=their
beds ^nns++++=beds
for ^in++++=for
a ^at++++=a
month ^nn++++=month.
. ^zz++++=EXTRAWORD
The ^ati++++=The
others ^aps++++=others
ran ^vbd+++xvbn+=ran."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="German
german ^jj+atrb+++=EXTRAWORD
sailors ^nns++++=sailors
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
troublesome ^jj++++=troublesome,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
chose ^vbd+++xvbnx+=chose
the ^ati++++=the
wrong ^jj+atrb+++=wrong
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++0='em
hit ^vbd+++xvbn+=hit
me ^pp1o+pp1+++=me
from ^in++++=from
behind ^in+pl+++=behind
with ^in++++=with
a ^at++++=a
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
touched ^vbd+++xvbnx+=touched
his ^pp$+pp3+++=his
eye ^nn++++=eye
very ^ql+amp+++=very
gentle ^jj++++=gentle.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
sleeve ^nn++++=sleeve,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ginger ^nn++++=Ginger.
. ^zz++++=EXTRAWORD
" ^zz++++="Torn
torn ^xvbn+++xvbn+=EXTRAWORD
off ^rb+phrv+++=off
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
holding ^vbg+vprv++xvbgx+=holding
two ^cd++++=two
of ^in++++=of
' ^zz++++='em,"
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
under ^in++++=under
each ^dt++++=each
arm ^vb++++=arm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pity
pity ^nn++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
six ^cd++++=six,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
admiring ^vbg+++xvbg+=admiring.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
had ^vb+hv+vrb++=had
three ^cd++++=three
under ^in++++=under
each ^dt++++=each."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Joe ^np++++=Joe's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+vrb++=was
as ^ql++++=as
innocent ^jj++++=innocent
as ^in++++=as
a ^at++++=a
baby ^nn++++=baby's.
's. ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
told ^vbd+vpub++xvbn+=told
us ^pp1o+pp1+++=us
to ^in++++=to
mind ^nn++++=mind
our ^pp$+pp1+++=our
own ^ap++++=own
business ^nns+nom+++=business
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
waited ^vbd+++xvbn+=waited
another ^dt++++=another
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
two ^cd++++=two
figures ^nns++++=figures
came ^vbd+++xvbn+=came
crawling ^jj+++xvbg+=crawling
along ^in++++=along
the ^ati++++=the
wharf ^nn++++=wharf.
. ^zz++++=EXTRAWORD
At ^rb++++=At
fust ^nn+++??+=fust
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
