Moonlight ^nn++++=Moonlight
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
flinches ^vb+++??+=flinches.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
" ^zz++++="
" ^zz++++="Ah."
ah ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
too ^ql++++=too
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
as ^ql++++=as
they ^pp3a+pp3+++=they
told ^vbd+vpub+tht0+xvbnx+=told
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
tell ^vb++++=tell
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
presses ^nns+nom++??+=presses
both ^abx++++=both
hands ^nns++++=hands
against ^in++++=against
his ^pp$+pp3+++=his
temples ^nns++++=temples.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fingers ^nns+nom+++=fingers
tremble ^vb++++=tremble.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
that ^tht+rel+++=that
night ^nn++++=night
he ^pp3a+pp3+++=he
seems ^vbz+seem+tht0++=seems
his ^pp$+pp3+++=his
age ^nn++++=age:
: ^zz++++=EXTRAWORD
young ^jj++++=young,
, ^zz++++=EXTRAWORD
vain ^jj++++=vain,
, ^zz++++=EXTRAWORD
frightened ^j+++xvbn+=frightened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
visited ^vpsv++by+xvbn+=visited
by ^in++++=by
the ^ati++++=the
bill ^nn++++=bill
for ^in++++=for
all ^abn++++=all
his ^pp$+pp3+++=his
charms ^nns++++=charms.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
thy ^pp$+pp2+++=thy
distinctions ^nns+nom+++=distinctions
to ^in++++=to
a ^at++++=a
lawyer ^nn++++=lawyer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
moves ^nns++++=moves
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
begins ^vbz++++=begins
dragging ^vbg+++xvbg+=dragging
away ^rp+pl+++=away
the ^ati++++=the
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
kill ^vb++++=kill
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps."
perhaps ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
believe ^vb+vprv+++=believe
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
their ^pp$+pp3+++=their
faces ^nns++++=faces."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
not ^xnot++not++=not
mine ^nn++++=mine?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yours
yours ^pp$$++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
rehearsed ^jj++++=rehearsed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
strikes ^vbz++++=strikes.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
sits ^vbz++++=sits
heavily ^rb++++=heavily
upon ^in++++=upon
the ^ati++++=the
settle ^nn++++=settle.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
breaths ^nns++++=breaths
he ^pp3a+pp3+++=he
says ^vbz+vpub+tht0++=says
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
London ^np++++=London
settles ^vbz++++=settles
into ^in++++=into
the ^ati++++=the
sour ^jj+atrb+++=sour
hour ^nn++++=hour
before ^in++++=before
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
drunkards ^nns+++??+=drunkards
grow ^vb++++=grow
philosophical ^jj+atrb+++=philosophical
and ^cc+phrs+++=and
honest ^jj+atrb+++=honest
citizens ^nns++++=citizens
suspect ^vb+vprv+++=suspect
the ^ati++++=the
universe ^nn++++=universe
of ^in++++=of
bad ^jj+atrb+++=bad
management ^nn+nom+++=management.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Will ^md+prd+++=Will
asks ^vbz++++=asks,
, ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
paper ^nn++++=paper?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
stares ^nns+++??+=stares.
. ^zz++++=EXTRAWORD
" ^zz++++="Paper."
paper ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
a ^at++++=a
confession ^nn++++=confession?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
an ^at++++=an
answer ^nn++++=answer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Speak
speak ^vb++++=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
speak ^vb++++=speak
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
none ^rb++++=none."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
looks ^vbz++++=looks
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
ink ^nn++++=ink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
requests ^nns++++=requests
so ^rb+emph+++=so
monstrous ^jj++++=monstrous
that ^cs+sub+++=that
refusal ^nn++++=refusal
becomes ^vbz++++=becomes
difficult ^jj++++=difficult.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
denied ^vprf+++xvbnx+=denied
friends ^nns++++=friends
money ^nn++++=money,
, ^zz++++=EXTRAWORD
shelter ^nn++++=shelter,
, ^zz++++=EXTRAWORD
praise ^vb++++=praise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^at++++=a
clean ^jj+atrb+++=clean
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
never ^rb++splt++=never
deny ^vb+vpub+++=deny
writing ^nvbg+++xvbg+=writing
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
paper ^nn++++=paper
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table
cheap ^jj+atrb+++=cheap
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
from ^in++++=from
caution ^nn+nom+++=caution
then ^rn+tm+++=then
an ^at++++=an
ink ^nn++++=ink-horn
- ^zz++++=EXTRAWORD
horn ^np++++=EXTRAWORD
and ^cc++++=and
three ^cd++++=three
pens ^nns++++=pens.
. ^zz++++=EXTRAWORD
" ^zz++++="Write
write ^vb++++=EXTRAWORD
the ^ati++++=the
truth ^nn++++=truth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
takes ^vbz++++=takes
a ^at++++=a
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
truth ^nn++++=truth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
disgust ^nn++++=disgust
becomes ^vbz++++=becomes
almost ^rb+hdg+++=almost
admiration ^nn+nom+++=admiration,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
cannot ^md+pos+not++=cannot
quite ^rb++splt++=quite
make ^vb++++=make
the ^ati++++=the
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
woman ^nn++++=woman's."
's." ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
goes ^vbz++++=goes
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pen ^nn++++=pen
begins ^vbz++++=begins.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
scratches ^nns++++=scratches,
, ^zz++++=EXTRAWORD
stops ^vbz++++=stops,
, ^zz++++=EXTRAWORD
scratches ^nns++++=scratches
furiously ^rb++++=furiously.
. ^zz++++=EXTRAWORD
A ^at++++=A
chair ^nn++++=chair
overturns ^nns+++??+=overturns.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
curses ^vb++++=curses
a ^at++++=a
rhyme ^nn++++=rhyme,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
none ^pn++++=none
has ^vbz+hvz+aux++=has
yet ^rb++splt++=yet
been ^vprf+ben+aux+xvbnx+=been
invited ^vpsv++agls+xvbnx+=invited.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
collapses ^nns+++??+=collapses
into ^in++++=into
red ^jj+atrb+++=red
provinces ^nns++++=provinces.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
Wessel ^np+++??+=Wessel
hears ^vbz+vprv+++=hears
weeping ^nn++++=weeping;
; ^zz++++=EXTRAWORD
once ^rb+tm+++=once
laughter ^nn+nom+++=laughter;
; ^zz++++=EXTRAWORD
once ^rb+tm+++=once
a ^at++++=a
speech ^nn++++=speech
delivered ^vwbn+++xvbn+=delivered
in ^in++++=in
a ^at++++=a
king ^nn++++=king's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
to ^in++++=to
an ^at++++=an
audience ^nn+nom+++=audience
of ^in++++=of
mice ^nns++++=mice.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
pen ^nn++++=pen
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Words ^nns++++=Words
gather ^vb+vprv+++=gather
where ^wrb+who+whcl++=where
action ^nn++++=action
has ^vbz+hvz+aux++=has
spent ^vprf+++xvbnx+=spent
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
A ^at++++=A
Roman ^jj+atrb+++=Roman
camp ^nn++++=camp
rises ^vbz++++=rises
upon ^in++++=upon
Carter ^np++++=Carter
Lane ^nn++++=Lane.
. ^zz++++=EXTRAWORD
Tarquin ^np+++??+=Tarquin
mounts ^nns++++=mounts.
. ^zz++++=EXTRAWORD
Desire ^nn++++=Desire
acquires ^vbz++++=acquires
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
heraldry ^nn++++=heraldry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
historical ^jj+atrb+++=historical
costume ^nn++++=costume
broad ^jj++++=broad
enough ^qlp++++=enough
to ^to++++=to
conceal ^vbi++++=conceal
a ^at++++=a
London ^np++++=London
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
A ^at++++=A
husband ^nn++++=husband
boasts ^vbz+vpub+++=boasts;
; ^zz++++=EXTRAWORD
a ^at++++=a
listener ^nn+nom+++=listener
burns ^nns++++=burns;
; ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
sleeps ^vbz++++=sleeps
beneath ^in+pl+++=beneath
the ^ati++++=the
advancing ^jj+atrb++xvbg+=advancing
machinery ^nn+nom+++=machinery
of ^in++++=of
metaphor ^nn++++=metaphor.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
stroke ^nn++++=stroke
of ^in++++=of
the ^ati++++=the
pen ^nn++++=pen
carries ^vbz++++=carries
Will ^md+prd+++=Will
farther ^rbr++++=farther
from ^in++++=from
the ^ati++++=the
chamber ^nn++++=chamber
and ^cc++++=and
nearer ^in+cmpx+++=nearer
to ^in"++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
changes ^nns++++=changes
names ^nns++++=names
as ^ql++++=as
thieves ^nns++++=thieves
change ^nn++++=change
cloaks ^nns+++??+=cloaks.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gives ^vbz++++=gives
the ^ati++++=the
woman ^nn++++=woman
eloquence ^nn+nom+++=eloquence
afterward ^rb++++=afterward
oceans ^nns++++=oceans
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
arguments ^nns+nom+++=arguments
enough ^qlp++++=enough
to ^to++++=to
prosecute ^vbi++++=prosecute
gods ^nns++++=gods.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
pity ^nn++++=pity,
, ^zz++++=EXTRAWORD
theft ^nn++++=theft,
, ^zz++++=EXTRAWORD
confession ^nn++++=confession,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
most ^ql+emph+++=most
splendid ^jj+atrb+++=splendid
cowardice ^nn++++=cowardice
in ^in++++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
no ^at++++=no
angel ^nn++++=angel
enters ^vbz++++=enters
the ^ati++++=the
record ^nn++++=record
to ^to++++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lies ^vbz++++=lies
above ^jjb++++=above
with ^in++++=with
*the ^nn+++??+=*The
Faerie ^np+++??+=Faerie
Queene* ^np+++??+=Queene*
unopened ^vbd+++xvbn+=unopened
on ^in++++=on
his ^pp$+pp3+++=his
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
while ^cs+sub+++=while
a ^at++++=a
deed ^nn++++=deed
becomes ^vbz++++=becomes
a ^at++++=a
poem ^nn++++=poem.
. ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
returns ^nns++++=returns
by ^in++++=by
noises ^nns++++=noises:
: ^zz++++=EXTRAWORD
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
a ^at++++=a
milkmaid ^nn+++??+=milkmaid's
's ^$++++=EXTRAWORD
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
printer ^nn++++=printer's
's ^$++++=EXTRAWORD
apprentice ^nn++++=apprentice
abusing ^vwbg+++xvbg+=abusing
the ^ati++++=the
first ^rb++++=first
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
light ^nn++++=light
comes ^vbz++++=comes
through ^in++++=through
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
shutter ^nn++++=shutter
and ^cc++++=and
discovers ^nns+nom+++=discovers
Will ^md+prd+++=Will
at ^in++++=at
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
ink ^nn++++=ink
to ^in++++=to
the ^ati++++=the
elbows ^nns++++=elbows.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
stands ^vbz++++=stands
up ^rp++++=up
like ^in++++=like
black ^jj+atrb+++=black
flame ^nn++++=flame.
. ^zz++++=EXTRAWORD
About ^rb++++=About
him ^pp3o+pp3+++=him
lie ^vb++++=lie
discarded ^xvbn+++xvbn+=discarded
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
blotted ^xvbn+++xvbn+=blotted
battles ^nns++++=battles,
, ^zz++++=EXTRAWORD
violated ^jj+atrb++xvbn+=violated
margins ^nns++++=margins.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agility ^nn+nom+++=agility
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
has ^vbz+hvz+aux++=has
poured ^vprf+++xvbnx+=poured
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
body ^nn++++=body;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Wessel ^np+++??+=Wessel
enters ^vbz++++=enters,
, ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
spills ^vbz++++=spills
onto ^in++++=onto
the ^ati++++=the
settle ^nn++++=settle
like ^in++++=like
the ^ati++++=the
contents ^nns++++=contents
of ^in++++=of
an ^at++++=an
inverted ^jj+atrb++xvbn+=inverted
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
" ^zz++++="There,"
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispers ^nns+nom+++=whispers.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
the ^ati++++=the
table ^nn++++=table
rests ^vbz++++=rests
a ^at++++=a
manuscript ^nn++++=manuscript
of ^in++++=of
alarming ^xvbg+++xvbg+=alarming
size ^nn++++=size.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
touches ^nns++++=touches
it ^pp3+it+++=it
but ^cc++++=but
does ^vbz+doz+aux++=does
not ^xnot++not++=not
immediately ^rb+tm+++=immediately
read ^vb+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
true ^jj++++=true?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
closes ^vbz++++=closes
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
she ^pp3a+pp3+++=she
forgive ^vb++++=forgive
you ^pp2+pp2+++=you
in ^in++++=in
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
turns ^vbz++++=turns
the ^ati++++=the
first ^od++++=first
page ^nn++++=page.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
head ^nn++++=head,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hand ^nn++++=hand
made ^vbd+++xvbn+=made
grand ^np++++=grand
by ^in++++=by
exhaustion ^nn+nom+++=exhaustion,
, ^zz++++=EXTRAWORD
stands ^vbz++++=stands
a ^at++++=a
title ^nn++++=title:
: ^zz++++=EXTRAWORD
**the ^nn+++??+=**THE
Rape ^nn++++=RAPE
Of ^in++++=OF
Lucrece** ^np+++??+=LUCRECE**
Below ^in+pl+++=Below
it ^pp3+it+++=it
the ^ati++++=the
poem ^nn++++=poem
begins ^vbz++++=begins:
: ^zz++++=EXTRAWORD
*from ^nn+++??+=*From
the ^ati++++=the
besieged ^jj+++xvbn+=besieged
Ardea ^np+++??+=Ardea
all ^rb++++=all
in ^in++++=in
post,* ^nn+++??+=post,*
*borne ^nn+++??+=*Borne
by ^in++++=by
the ^ati++++=the
trustless ^jj+atrb+++=trustless
wings ^nns++++=wings
of ^in++++=of
false ^jj+atrb+++=false
desire,* ^nn+++??+=desire,*
*lust ^nn+++??+=*Lust-breathed
- ^zz++++=EXTRAWORD
breathed ^vbd+++xvbn+=EXTRAWORD
Tarquin ^np+++??+=Tarquin
leaves ^vbz++++=leaves
the ^ati++++=the
Roman ^jj+atrb+++=Roman
host,* ^nn+++??+=host,*
*and ^nn+++??+=*And
to ^in++++=to
Collatium ^np+++??+=Collatium
bears ^nns++++=bears
the ^ati++++=the
lightless ^jj+atrb+++=lightless
fire.* ^nn+++??+=fire.*
Wessel ^np+++??+=Wessel
reads ^vbz++++=reads
the ^ati++++=the
lines ^nns++++=lines
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
beyond ^in++++=beyond
the ^ati++++=the
bells ^nns++++=bells
and ^cc++++=and
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
two ^cd++++=two
brothers ^nns+nom+++=brothers
are ^vb+ber+aux++=are
still ^rb++splt++=still
searching ^vbg+++xvbgx+=searching.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
a ^at++++=a
woman ^nn++++=woman
has ^vbz+hvz+aux++=has
awakened ^vprf+++xvbnx+=awakened
into ^in++++=into
a ^at++++=a
morning ^nn++++=morning
no ^at++++=no
poem ^nn++++=poem
can ^md+pos+++=can
repair ^vb++++=repair.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
William ^np++++=William
Shakespeare ^np++++=Shakespeare
sleeps ^vbz++++=sleeps
with ^in++++=with
his ^pp$+pp3+++=his
cheek ^nn++++=cheek
upon ^in++++=upon
a ^at++++=a
ruined ^jj+atrb++xvbn+=ruined
sheet ^nn++++=sheet,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
light ^nn++++=light
moves ^vbz++++=moves
over ^rp++++=over
him ^pp3o+pp3+++=him
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
impartial ^jj++++=impartial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pitiless ^jj++++=pitiless
as ^cs+sub+++=as
if ^cs+cnd+++=if
london ^np++++=London
itself ^ppl++++=itself
were ^vbd+bed+aux++=were
reading ^vbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
