# ^zz++++=#
Blas ^np+++??+=Blas
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
solvent ^nn++++=solvent
for ^in++++=for
nearly ^rb+down+++=nearly
thirty ^cd++++=thirty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
monotony ^nn++++=monotony
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
oppressive ^jj++++=oppressive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She'll
she ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
bore ^vb+++xvbn+=bore
you ^pp2+pp2+++=you
in ^in++++=in
six ^cd++++=six
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
six ^cd++++=six
months ^nns++++=months
which ^whp+rel+subj++=which
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
bore ^nn+++xvbn+=bore
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
only ^rb+down+++=only
thinks ^vbz+vprv+++=thinks
about ^in++++=about
clothes ^nns++++=clothes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
sound ^jj+atrb+++=sound
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
Clothes ^nns++++=Clothes
exist ^vb++++=exist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
will ^md+prd+++=will
you ^pp2+pp2+++=you
live ^vb++++=live
on ^in+strn+++=on?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
income ^nn++++=income."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj++++=dear
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
nobody ^pn++++=nobody
lives ^nns++++=lives
on ^in++++=on
his ^pp$+pp3+++=his
income ^nn++++=income."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
die ^vb++++=die
young ^jj++++=young
and ^cc++++=and
escape ^vb++++=escape
your ^pp$+pp2+++=your
conversation ^nn+nom+++=conversation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
married ^vbd+++xvbnx+=married
in ^in++++=in
November ^nr+nom+++=November.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
matrimony ^nn++++=matrimony
to ^to++++=to
expose ^vbi++++=expose
their ^pp$+pp3+++=their
mistake ^nn++++=mistake;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
exposed ^vbd+++xvbn+=exposed
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
change ^nn++++=change
in ^in++++=in
Billy ^np++++=Billy
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
violent ^jj++++=violent
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
vulgar ^jj+pred+++=vulgar,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
unmistakable ^jj+pred+++=unmistakable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ceased ^vbd+++xvbnx+=ceased
to ^to++++=to
cultivate ^nn+nom+++=cultivate
weariness ^nns+nom+++=weariness
as ^in++++=as
an ^at++++=an
accomplishment ^nn+nom+++=accomplishment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sold ^vbd+++xvbnx+=sold
two ^cd++++=two
hunters ^nns+nom+++=hunters,
, ^zz++++=EXTRAWORD
resigned ^j+++xvbn+=resigned
from ^in++++=from
a ^at++++=a
club ^nn++++=club
which ^whp+rel+obj++=which
charged ^jj+++xvbn+=charged
him ^pp3o+pp3+++=him
for ^in++++=for
being ^nn+nn+aux++=being
bored ^vbd+++xvbn+=bored,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
a ^at++++=a
small ^jj+atrb+++=small
house ^nn++++=house
in ^in++++=in
Green ^nn++++=Green
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
dressed ^vbd+++xvbn+=dressed
perfectly ^rb+cnj+++=perfectly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
longer ^rbr++++=longer
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
his ^pp$+pp3+++=his
tailor ^nn++++=tailor
with ^in++++=with
the ^ati++++=the
emotion ^nn+nom+++=emotion
other ^ap++++=other
men ^nns++++=men
reserve ^nn++++=reserve
for ^in++++=for
their ^pp$+pp3+++=their
mothers ^nns+nom+++=mothers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
arrive ^vbi++++=arrive
punctually ^rb++++=punctually.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
him ^pp3o+pp3+++=him
admit ^vb+vpub+++=admit
that ^tht+vcmp+++=that
a ^at++++=a
dinner ^nn++++=dinner
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
pleasant ^jj++++=pleasant,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
corrected ^vbd+++xvbnx+=corrected
himself ^ppl+pp3+++=himself
immediately ^rb+tm+++=immediately
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
soup ^nn++++=soup
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
tolerable ^jj++++=tolerable.
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
changed ^vbd+++xvbn+=changed
too ^ql++++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
prettily ^rb++++=prettily.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
marriage ^nn+nom+++=marriage
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
laughed ^vprf+++xvbnx+=laughed
whenever ^nn+nom+++=whenever
laughter ^nn+nom+++=laughter
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected,
, ^zz++++=EXTRAWORD
smiled ^j+++xvbn+=smiled
whenever ^nn+nom+++=whenever
a ^at++++=a
photographer ^nn+nom+++=photographer
might ^md+pos+++=might
have ^vb+hv+aux++=have
wished ^vprf+++xvbnx+=wished
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expressed ^jj+atrb++xvbn+=expressed
affection ^nn+nom+++=affection
with ^in++++=with
the ^ati++++=the
careful ^jj+atrb+++=careful
moderation ^nn+nom+++=moderation
of ^in++++=of
a ^at++++=a
hostess ^nns+nom+++=hostess
distributing ^vwbg+++xvbg+=distributing
ices ^nns+++??+=ices.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
from ^in++++=from
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
smiled ^j+++xvbn+=smiled
from ^in++++=from
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
touched ^xvbn+++xvbn+=touched
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
reassured ^vpsv++by+xvbn+=reassured
by ^in++++=by
the ^ati++++=the
mere ^jjb+atrb+++=mere
fact ^nn++++=fact
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
still ^rb++++=still
went ^vbd+++xvbn+=went
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
loved ^vbd+++xvbn+=loved
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
jewels ^nns++++=jewels,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
small ^jj+atrb+++=small
triumphs ^nns++++=triumphs
of ^in++++=of
social ^jj+atrb+++=social
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
loved ^vbd+++xvbn+=loved
seeing ^vbg+vprv+tht0+xvbg+=seeing
her ^pp$+pp3+++=her
enjoy ^vb++++=enjoy
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
return ^vb++++=return
from ^in++++=from
a ^at++++=a
visit ^nn++++=visit
to ^in++++=to
her ^pp$+pp3+++=her
dressmaker ^jjr++++=dressmaker
with ^in++++=with
the ^ati++++=the
gravity ^nn+nom+++=gravity
of ^in++++=of
a ^at++++=a
diplomat ^nn++++=diplomat
reporting ^vwbg+++xvbg+=reporting
a ^at++++=a
treaty ^nn++++=treaty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Billy ^np++++=Billy
would ^md+prd+++=would
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
fate ^nn++++=fate
of ^in++++=of
a ^at++++=a
bodice ^nn++++=bodice
or ^cc++++=or
the ^ati++++=the
disputed ^jj+atrb++xvbn+=disputed
frontier ^nn+nom+++=frontier
of ^in++++=of
a ^at++++=a
skirt ^nn++++=skirt
as ^cs+sub+++=as
though ^cs+sub+++=though
Europe ^np++++=Europe
depended ^vbd+++xvbn+=depended
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
encourage ^nn+nom+++=encourage
her ^pp$+pp3+++=her
extravagance ^nn+nom+++=extravagance,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj++++=dear
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
economy ^nn++++=economy
is ^vbz+bez+vrb++=is
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
spending ^xvbg+++xvbg+=spending
money ^nn++++=money
on ^in++++=on
what ^wdt+who+++=what
bores ^nns++++=bores
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
spends ^vbz++++=spends
it ^pp3+it+++=it
on ^in++++=on
what ^wdt+who+++=what
delights ^nns++++=delights
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
gives ^vbz++++=gives
her ^pp$+pp3+++=her
taste ^nn++++=taste
an ^at++++=an
ideal ^jj+atrb+++=ideal
purity ^nn++++=purity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
foolish ^jj++++=foolish.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
entertainments ^nns+nom+++=entertainments
were ^vbd+bed+vrb++=were
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
carriage ^nn+nom+++=carriage
hired ^vbd+++xvbn+=hired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
cook ^nn++++=cook
a ^at++++=a
woman ^nn++++=woman
whose ^whp+rel+obj++=whose
chief ^jjb+atrb+++=chief
culinary ^jj+atrb+++=culinary
distinction ^nn+nom+++=distinction
was ^vbd+bedz+vrb++=was
loyalty ^nn++++=loyalty.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Gerty ^np+++??+=Gerty
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
two ^cd++++=two
old ^jj+atrb+++=old
ones ^cd1s++++=ones
had ^vb+hv+aux++=had
generally ^rb+down+splt++=generally
vanished ^vprf+++xvbnx+=vanished
by ^in++++=by
some ^dti++++=some
private ^jj+atrb+++=private
operation ^nn+nom+++=operation
understood ^vwbn+vprv++xvbn+=understood
only ^rb+down+++=only
by ^in++++=by
herself ^ppl+pp3+++=herself
and ^cc++++=and
Madame ^npt++++=Madame
Vernier ^np+++??+=Vernier.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
remained ^vbd+++xvbnx+=remained
the ^ati++++=the
best ^jjt++++=best-dressed
- ^zz++++=EXTRAWORD
dressed ^vbd+++xvbn+=EXTRAWORD
woman ^nn++++=woman
in ^in++++=in
London ^np++++=London
on ^in++++=on
an ^at++++=an
income ^nn++++=income
which ^whp+rel+subj++=which
would ^md+prd+++=would
hardly ^rb+down+++=hardly
have ^vb+hv+aux++=have
dressed ^vprf+++xvbnx+=dressed
a ^at++++=a
dowager ^npt++++=dowager's
's ^$++++=EXTRAWORD
Pekinese ^np+nom++??+=Pekinese.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
much ^rb++++=much
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
house ^nn++++=house
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
call ^vb++++=call
without ^in++++=without
being ^nn+nn+aux++=being
fed ^vbd+++xvbn+=fed,
, ^zz++++=EXTRAWORD
instructed ^xvbn+++xvbn+=instructed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
introduced ^vpsv++agls+xvbn+=introduced
to ^in++++=to
a ^at++++=a
prodigy ^nn+++??+=prodigy.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
cynicism ^nn+nom+++=cynicism
softened ^vbd+++xvbn+=softened
into ^in++++=into
humour ^nn++++=humour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gerty ^np++++=Gerty's
's ^$++++=EXTRAWORD
borrowed ^xvbn+++xvbn+=borrowed
opinions ^nns++++=opinions
gradually ^rb++++=gradually
gave ^vbd+++xvbn+=gave
place ^nn++++=place
to ^in++++=to
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
always ^rb++++=always
profound ^jj++++=profound,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
hers ^pp$$++++=hers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
originality ^nn+nom+++=originality
became ^vbd+++xvbn+=became
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
after ^in++++=after
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
them ^pp3o+pp3+++=them
disputing ^vbg+++xvbg+=disputing
over ^in++++=over
a ^at++++=a
landscape ^nn++++=landscape
Billy ^np++++=Billy
had ^vbd+hvd+aux++=had
purchased ^vprf+++xvbnx+=purchased.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
atrocious ^jj+pred+++=atrocious,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gerty ^np+++??+=Gerty.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
dealer ^nn++++=dealer
assured ^vwbn+vpub++xvbn+=assured
me ^pp1o+pp1+++=me
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
important ^jj+pred+++=important."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
dealers ^nns+nom+++=dealers
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
a ^at++++=a
picture ^nn++++=picture
is ^vbz+bez+vrb++=is
too ^ql++++=too
ugly ^jj++++=ugly
to ^to++++=to
be ^vbi+vbi+aux++=be
called ^vpsv++agls+xvbnx+=called
pretty ^rb++++=pretty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
admire ^vb++++=admire
everything ^pn++++=everything
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
important ^jj+pred+++=important."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
admire ^vb++++=admire
whatever ^nn+nom+++=whatever
people ^nns++++=people
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
to ^to++++=to
admire ^vbi++++=admire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
intellectual ^jj+atrb+++=intellectual
progress ^nns+nom+++=progress
of ^in++++=of
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
sort ^nn++++=sort."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
and ^cc++++=and
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
like ^in++++=like
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Exactly.
exactly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
destroyed ^vprf+++xvbnx+=destroyed
my ^pp$+pp1+++=my
reputation ^nn+nom+++=reputation
for ^in++++=for
judgment ^nn+nom+++=judgment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
two ^cd++++=two
years ^nns++++=years
after ^cs+sub+++=after
their ^pp$+pp3+++=their
marriage ^nn+nom+++=marriage
that ^tht+rel+obj++=that
Billy ^np++++=Billy
fell ^vbd+++xvbn+=fell
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
season ^nn++++=season
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
with ^in++++=with
unusual ^jj+atrb+++=unusual
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
three ^cd++++=three
royal ^jj+atrb+++=royal
functions ^nns+nom+++=functions,
, ^zz++++=EXTRAWORD
two ^cd++++=two
political ^jj+atrb+++=political
crises ^nns++++=crises,
, ^zz++++=EXTRAWORD
a ^at++++=a
succession ^nn++++=succession
of ^in++++=of
American ^jj+atrb+++=American
heiresses ^nns+nom++??+=heiresses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
new ^jj+atrb+++=new
dance ^nn++++=dance
which ^whp+rel+subj++=which
enabled ^vbd+++xvbn+=enabled
respectable ^jj+atrb+++=respectable
people ^nns++++=people
to ^to++++=to
appear ^vbi+seem+++=appear
compromised ^vbd+++xvbn+=compromised
without ^in++++=without
undergoing ^xvbg+++xvbg+=undergoing
the ^ati++++=the
inconvenience ^nn+nom+++=inconvenience
of ^in++++=of
guilt ^nn++++=guilt.
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
was ^vbd+bedz+vrb++=was
in ^in++++=in
great ^jj+atrb+++=great
request ^nn++++=request.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
gowns ^nns++++=gowns
were ^vbd+bed+aux++=were
copied ^vpsv++agls+xvbnx+=copied,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
phrases ^nns++++=phrases
repeated ^vbd+++xvbn+=repeated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
at ^in++++=at
a ^at++++=a
dinner ^nn++++=dinner
raised ^vbd+++xvbn+=raised
the ^ati++++=the
hostess ^nns+nom+++=hostess's
's ^$++++=EXTRAWORD
spirits ^nns++++=spirits
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
women ^nns++++=women's
's ^$++++=EXTRAWORD
suspicions ^nns++++=suspicions.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
out ^rp+pl+++=out
of ^in++++=of
sorts ^nns++++=sorts
for ^in++++=for
some ^dti++++=some
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nobody ^pn++++=nobody
regarded ^vbd+++xvbn+=regarded
this ^dt+dem+++=this
seriously ^rb++++=seriously
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
ill ^jj+atrb+++=ill
health ^nn++++=health
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
conversational ^jj+atrb+++=conversational
ornaments ^nns+nom+++=ornaments.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
supper ^nn++++=supper
after ^in++++=after
the ^ati++++=the
opera ^nn++++=opera,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
fainted ^vbd+++xvbnx+=fainted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctors ^nns++++=doctors
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
pneumonia ^nn++++=pneumonia,
, ^zz++++=EXTRAWORD
spoke ^j+++xvbn+=spoke
of ^in++++=of
complications ^nns+nom+++=complications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adopted ^vprf+++xvbn+=adopted
that ^dt+dem+++=that
professional ^jj+atrb+++=professional
cheerfulness ^nns+nom+++=cheerfulness
which ^whp+rel+subj++=which
terrifies ^vbz++++=terrifies
a ^at++++=a
household ^nn++++=household
more ^rbr++++=more
efficiently ^rb++++=efficiently
than ^in++++=than
mourning ^xvbg+++xvbg+=mourning.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
to ^in++++=to
bed ^nn++++=bed
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
room ^nn++++=room
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
A ^at++++=A
trained ^nn++++=trained
nurse ^vb++++=nurse
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
charts ^nns++++=charts,
, ^zz++++=EXTRAWORD
thermometers ^nns+nom+++=thermometers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subdued ^jj+atrb+++=subdued
tyranny ^nn++++=tyranny
with ^in++++=with
which ^whp+rel+pied++=which
science ^nn+nom+++=science
takes ^vbz++++=takes
possession ^nn++++=possession
of ^in++++=of
a ^at++++=a
private ^jj+atrb+++=private
house ^nn++++=house.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
fortnight ^nn++++=fortnight
Gerty ^np+++??+=Gerty
scarcely ^rb+down+++=scarcely
left ^vbd+++xvbn+=left
his ^pp$+pp3+++=his
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
abandoned ^vbd+++xvbnx+=abandoned
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
concerts ^nns++++=concerts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Duchess ^nns+nom+++=Duchess
of ^in++++=of
Harborough ^np++++=Harborough's
's ^$++++=EXTRAWORD
f ^zz++++=f
