Evening ^nn++++=Evening
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
the ^ati++++=the
drowned ^jj+atrb++xvbn+=drowned
maidens ^nns++++=maidens
tickle ^nn+++??+=tickle
them ^pp3o+pp3+++=them
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
die ^vb++++=die."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
shuddered ^vbd+++xvbn+=shuddered
and ^cc+phrs+++=and
pulled ^vbd+++xvbn+=pulled
her ^pp3o+pp3+++=her
hand ^nn++++=hand
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
dreadful ^jj+pred+++=dreadful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
tale ^nn++++=tale."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
is ^vbz+bez+vrb++=is
the ^ati++++=the
house ^npl++++=house
empty ^jj++++=empty?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
the ^ati++++=the
roof ^nn++++=roof
leaks ^nns++++=leaks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
does ^vbz+doz+vrb++=does
no ^at++++=no
one ^cd1++++=one
fish ^nns++++=fish
in ^in++++=in
the ^ati++++=the
pool ^nn++++=pool
after ^in++++=after
sunset ^nn++++=sunset?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
fools ^nns++++=fools
prefer ^vb+vprv+++=prefer
dry ^jj+atrb+++=dry
clothes ^nns++++=clothes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
cross ^vb++++=cross
yourself ^ppl+pp2+++=yourself?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko
paused ^vbd+++xvbn+=paused,
, ^zz++++=EXTRAWORD
caught ^j+++xvbn+=caught
like ^in++++=like
a ^at++++=a
boy ^nn++++=boy
beside ^in+pl+++=beside
a ^at++++=a
stolen ^jj+atrb++xvbn+=stolen
honey ^nn++++=honey-pot.
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
may ^md+pos+++=may
despise ^vb++++=despise
nonsense ^nn++++=nonsense
and ^cc++++=and
still ^rb++++=still
show ^vb+vprv+++=show
proper ^jj+atrb+++=proper
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
Lord ^npt++++=Lord."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
the ^ati++++=the
moon ^np++++=moon
rose ^vbd+++xvbn+=rose
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
pine ^nn++++=pine
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
and ^cc+phrs+++=and
fiery ^jj++++=fiery,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
out ^rp+pl+++=out
of ^in++++=of
some ^dti++++=some
subterranean ^jj+atrb+++=subterranean
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
meadows ^npl++++=meadows
changed ^vbd+++xvbn+=changed
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
blade ^np++++=blade
of ^in++++=of
grass ^nn++++=grass
received ^vbd+++xvbn+=received
a ^at++++=a
pale ^nn++++=pale
edge ^nn++++=edge;
; ^zz++++=EXTRAWORD
the ^ati++++=the
willows ^nns++++=willows
stretched ^vwbn+++xvbn+=stretched
long ^rb++++=long
crooked ^jj+atrb+++=crooked
arms ^nns++++=arms
across ^in+pl+++=across
the ^ati++++=the
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ruined ^jj+++xvbn+=ruined
house ^npl++++=house
appeared ^vbd+seem++xvbn+=appeared
not ^xnot++not++=not
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
distinct ^jj++++=distinct,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
worse ^jjr+pred+++=worse.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
walls ^nns++++=walls
gleamed ^vbd+++xvbn+=gleamed
deathly ^jj+atrb+++=deathly
white ^nn++++=white
between ^in++++=between
patches ^nns++++=patches
of ^in++++=of
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
its ^pp$+it+++=its
shuttered ^jj+atrb+++=shuttered
windows ^nns++++=windows
remained ^vbd+++xvbn+=remained
black ^jj++++=black.
. ^zz++++=EXTRAWORD
A ^at++++=A
ripple ^nn++++=ripple
passed ^vbd+++xvbn+=passed
over ^rb+phrv+++=over
the ^ati++++=the
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="Leoko
leoko ^nn+++??+=EXTRAWORD
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Beside
beside ^in+pl+++=EXTRAWORD
the ^ati++++=the
steps ^nns++++=steps."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked.
. ^zz++++=EXTRAWORD
A ^at++++=A
thin ^jj+atrb+++=thin
shape ^nn++++=shape
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
stand ^vbi++++=stand
where ^wrb+who+++=where
the ^ati++++=the
reeds ^nns++++=reeds
met ^vbd+++xvbn+=met
the ^ati++++=the
water ^nn++++=water;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
willow ^nn++++=willow
leaves ^vbz++++=leaves
moved ^vbd+++xvbn+=moved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
but ^cc++++=but
moonlight ^nn++++=moonlight
upon ^in++++=upon
a ^at++++=a
pale ^nn++++=pale
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
frightened ^jj+++xvbn+=frightened
little ^ap++++=little
dove ^np++++=dove,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
listened ^vprf+++xvbnx+=listened
too ^ql++++=too
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Voices ^nns++++=Voices
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
the ^ati++++=the
village ^nn+nom+++=village
street ^nn++++=street,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
thump ^nn++++=thump
of ^in++++=of
a ^at++++=a
tambourine ^nn+++??+=tambourine
and ^cc++++=and
the ^ati++++=the
careless ^jj+atrb+++=careless
laughter ^nn+nom+++=laughter
of ^in++++=of
lads ^nns++++=lads
returning ^vwbg+++xvbg+=returning
from ^in++++=from
their ^pp$+pp3+++=their
merrymaking ^nn++++=merrymaking.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
whispered ^vbd+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
them ^pp3o+pp3+++=them
come ^vb++++=come."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father
will ^md+prd+++=will
know ^vb+vprv+++=know
before ^in++++=before
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+tht0++=knows
everything ^pn++++=everything
before ^in++++=before
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
headman ^nn++++=headman."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Go,
go ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko,
, ^zz++++=EXTRAWORD
please ^uh++++=please."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
her ^pp$+pp3+++=her
hand ^nn++++=hand
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Tomorrow?"
tomorrow ^nr+tm+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tomorrow."
tomorrow ^nr+tm+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
cherry ^np++++=cherry
tree ^nn++++=tree?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
Mother ^nn++++=Mother
sleeps ^vbz++++=sleeps."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
day ^nn++++=day
after ^in+strn+++=after."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
world ^nn++++=world
ends ^vbz++++=ends?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
beside ^in+pl+++=beside
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
star ^nn++++=star."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
leaped ^j+++xvbn+=leaped
over ^in++++=over
the ^ati++++=the
low ^jj+atrb+++=low
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vanished ^vpsv++agls+xvbn+=vanished
among ^in++++=among
the ^ati++++=the
shadows ^nps++++=shadows
just ^rb+emph+++=just
as ^ql++++=as
three ^cd++++=three
young ^jj+atrb+++=young
Cossacks ^np+++??+=Cossacks
came ^vbd+++xvbn+=came
singing ^vbg+++xvbg+=singing
around ^rp++++=around
the ^ati++++=the
bend ^nn++++=bend.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
presently ^rb+tm+++=presently
joined ^vbd+++xvbn+=joined
theirs ^pp$$++++=theirs,
, ^zz++++=EXTRAWORD
boldest ^jjt++++=boldest
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hanna ^np+++??+=Hanna
heard ^vbd+vprv+tht0+xvbn+=heard
the ^ati++++=the
song ^nn++++=song
travel ^vb++++=travel
away ^rp+pl+++=away
through ^in++++=through
the ^ati++++=the
village ^nn+nom+++=village
fainter ^jjr++++=fainter,
, ^zz++++=EXTRAWORD
fainter ^jjr++++=fainter,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
no ^at++++=no
louder ^nn++++=louder
than ^in++++=than
the ^ati++++=the
humming ^jj+++xvbg+=humming
of ^in++++=of
a ^at++++=a
bee ^nn++++=bee
imprisoned ^vwbn+++xvbn+=imprisoned
beneath ^in+pl+++=beneath
a ^at++++=a
flower ^nn++++=flower.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
should ^md+nec+++=should
have ^vb+hv+aux++=have
closed ^vprf+++xvbnx+=closed
the ^ati++++=the
shutter ^nn++++=shutter.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained
at ^rb++++=at
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Moonlight ^nn++++=Moonlight
poured ^vbd+++xvbn+=poured
over ^in++++=over
the ^ati++++=the
pool ^nn++++=pool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dark ^jj+atrb+++=dark
water ^nn++++=water
rocked ^vbd+++xvbn+=rocked
without ^in++++=without
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ruined ^jj+++xvbn+=ruined
house ^npl++++=house
stood ^vbd+++xvbn+=stood
silent ^jj++++=silent
beneath ^in+pl+++=beneath
the ^ati++++=the
willows ^nns++++=willows,
, ^zz++++=EXTRAWORD
every ^at++++=every
door ^nn++++=door
barred ^vbd+++xvbn+=barred,
, ^zz++++=EXTRAWORD
every ^at++++=every
shutter ^nn++++=shutter
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Hanna ^np+++??+=Hanna
fancied ^vbd+++xvbn+=fancied
that ^tht+vcmp+++=that
somewhere ^rb++++=somewhere
within ^in++++=within
it ^pp3+it+++=it
a ^at++++=a
woman ^nn++++=woman
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking,
, ^zz++++=EXTRAWORD
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
from ^in++++=from
chamber ^nn++++=chamber
to ^in++++=to
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
a ^at++++=a
child ^nn++++=child
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
betrayed ^vprf+++xvbnx+=betrayed
or ^cc++++=or
a ^at++++=a
child ^nn++++=child
seeking ^vwbg+++xvbg+=seeking
the ^ati++++=the
father ^nn++++=father
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
cast ^vprf+++xvbnx+=cast
her ^pp$+pp3+++=her
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
something ^pn++++=something
white ^jj++++=white
stirred ^jj+++xvbn+=stirred
near ^in+pl+++=near
the ^ati++++=the
reeds ^nns++++=reeds.
. ^zz++++=EXTRAWORD
Hanna ^np++++=Hanna's
's ^$++++=EXTRAWORD
breath ^nn++++=breath
failed ^vbd+++xvbn+=failed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
crossed ^vbd+++xvbnx+=crossed
herself ^ppl+pp3+++=herself
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
third ^nn++++=third
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
thing ^nn++++=thing
sank ^vbd+++xvbn+=sank;
; ^zz++++=EXTRAWORD
a ^at++++=a
circle ^nn++++=circle
widened ^vbd+++xvbn+=widened
across ^in+pl+++=across
the ^ati++++=the
pool ^nn++++=pool
and ^cc++++=and
broke ^vbd+++xvbn+=broke
the ^ati++++=the
moon ^nn++++=moon's
's ^$++++=EXTRAWORD
reflection ^nn+nom+++=reflection
into ^in++++=into
trembling ^xvbg+++xvbg+=trembling
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
away ^rp+pl+++=away
Leoko ^np++++=Leoko's
's ^$++++=EXTRAWORD
companions ^nns++++=companions
shouted ^vbd+vpub++xvbn+=shouted
with ^in++++=with
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
Nearer ^rbr++++=Nearer
at ^in++++=at
hand ^nn++++=hand
a ^at++++=a
night ^nn++++=night
bird ^nn++++=bird
cried ^vbd+++xvbn+=cried
from ^in++++=from
the ^ati++++=the
pine ^nn++++=pine
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
abandoned ^jj+++xvbn+=abandoned
house ^npl++++=house
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
listen ^vbi++++=listen.
. ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
drew ^vbd+++xvbn+=drew
back ^jjb++++=back
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shut ^vbd+++xvbnx+=shut
the ^ati++++=the
shutter ^nn++++=shutter,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
the ^ati++++=the
wooden ^jj+atrb+++=wooden
bolt ^nn++++=bolt
in ^in++++=in
its ^pp$+it+++=its
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vpsv++agls+xvbn+=stood
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
room ^nn++++=room
with ^in++++=with
her ^pp$+pp3+++=her
heart ^nn++++=heart
beating ^vwbg+++xvbg+=beating
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
table ^nn++++=table
the ^ati++++=the
holy ^jj+atrb+++=holy
lamp ^nn++++=lamp
burned ^vbd+++xvbn+=burned
before ^in++++=before
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
small ^jj++++=small,
, ^zz++++=EXTRAWORD
steadfast ^nn+++??+=steadfast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
golden ^jj++++=golden.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village
slept ^vbd+++xvbn+=slept.
. ^zz++++=EXTRAWORD
but ^cc+cls+++=But
the ^ati++++=the
pool ^nn++++=pool
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
