Disgrace ^np+++??+=Disgrace
have ^vbi+vbi+aux++=have
encouraged ^vprf+++xvbnx+=encouraged
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
week ^nn++++=week
Ted ^np++++=Ted
worked ^vbd+++xvbn+=worked
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
glass ^nn++++=glass-walled
- ^zz++++=EXTRAWORD
walled ^jj+atrb+++=EXTRAWORD
office ^nn++++=office
behind ^in+pl+++=behind
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
books ^nns++++=books
of ^in++++=of
the ^ati++++=the
Haley ^np+++??+=Haley
House ^nn++++=House
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
dishonest ^jj++++=dishonest,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
imaginative ^jj+pred+++=imaginative.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
charged ^vbd+vpub+tht0+xvbn+=charged
his ^pp$+pp3+++=his
cigars ^nns++++=cigars
to ^in++++=to
Maintenance ^nn+nom+++=Maintenance,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers
for ^in++++=for
the ^ati++++=the
lobby ^nn++++=lobby
to ^in++++=to
Advertising ^xvbg+++xvbg+=Advertising,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
new ^jj+atrb+++=new
dress ^nn++++=dress
for ^in++++=for
his ^pp$+pp3+++=his
widowed ^vwbn+++xvbn+=widowed
sister ^npt++++=sister
to ^in++++=to
Fire ^nn++++=Fire
Protection ^nn+nom+++=Protection.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
Wenzel ^np+++??+=Wenzel
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
everything ^pn++++=everything
in ^in++++=in
a ^at++++=a
sloping ^jj+atrb++xvbg+=sloping
ornamental ^jj+atrb+++=ornamental
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
with ^in++++=with
capitals ^nns+nom+++=capitals
shaped ^vbd+++xvbn+=shaped
like ^in++++=like
swans ^nn++++=swans
and ^cc++++=and
sevens ^cds++++=sevens
wearing ^vbg+++xvbg+=wearing
hats ^nns++++=hats.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
herself ^ppl+pp3+++=herself
remained ^vbd+++xvbn+=remained
three ^cd++++=three
days ^nns++++=days
to ^to++++=to
instruct ^vbi++++=instruct
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
young ^jj+atrb+++=young
woman ^nn++++=woman
whose ^whp+rel+obj++=whose
upper ^jjb+atrb+++=upper
lip ^nn++++=lip
seemed ^vbd+seem++xvbn+=seemed
perpetually ^rb++++=perpetually
offended ^vpsv++by+xvbn+=offended
by ^in++++=by
her ^pp$+pp3+++=her
lower ^jjr+atrb+++=lower
one ^pn++++=one.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
black ^jj+atrb+++=black
sateen ^jj+atrb++xvbn+=sateen
sleevelets ^nns+nom+++=sleevelets
at ^in++++=at
the ^ati++++=the
desk ^nn++++=desk
and ^cc++++=and
a ^at++++=a
yellow ^jj+atrb+++=yellow
plush ^jj+atrb+++=plush
hat ^nn++++=hat
at ^rb++++=at
luncheon ^nn++++=luncheon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hat ^nn++++=hat
was ^vbd+bedz+vrb++=was
famous ^jj+pred+++=famous
in ^in++++=in
Bellwether ^np+nom++??+=Bellwether.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
followed ^vbd+vprv++xvbn+=followed
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
expecting ^vbg+vprv++xvbg+=expecting
music ^nn++++=music.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
marriage ^nn+nom+++=marriage
to ^in++++=to
Elmer ^np+++??+=Elmer
Trapp ^np+++??+=Trapp,
, ^zz++++=EXTRAWORD
assistant ^nn+nom+++=assistant
manager ^nn++++=manager
of ^in++++=of
the ^ati++++=the
Elite ^nn++++=Elite
Furniture ^nn++++=Furniture
Emporium ^np+++??+=Emporium,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
occur ^vbi++++=occur
in ^in++++=in
April ^nr++++=April.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
it ^pp3+it+++=it
not ^xnot++not++=not
as ^in++++=as
a ^at++++=a
wedding ^nn++++=wedding
but ^cc++++=but
as ^in++++=as
a ^at++++=a
merger ^nn++++=merger
between ^in++++=between
two ^cd++++=two
important ^jj+atrb+++=important
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
trousseau ^nn++++=trousseau,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
Ted ^np++++=Ted,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+aux++=EXTRAWORD
entirely ^rb+amp+splt++=entirely
imported ^vpsv++agls+xvbnx+=imported
in ^in++++=in
effect ^nn++++=effect."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
effect ^nn++++=effect?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
actual ^jj+atrb+++=actual
importing ^nvbg+++xvbg+=importing
is ^vbz+bez+vrb++=is
immaterial ^jj+pred+++=immaterial.
. ^zz++++=EXTRAWORD
A ^at++++=A
thing ^nn++++=thing
may ^md+pos+++=may
be ^vb+be+vrb++=be
spiritually ^rb++++=spiritually
Parisian ^jj+pred+++=Parisian."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
showed ^vbd+vprv++xvbnx+=showed
Birdie ^np+++??+=Birdie
an ^at++++=an
embroidered ^jj+atrb++xvbn+=embroidered
luncheon ^nn++++=luncheon
cloth ^nn++++=cloth
with ^in++++=with
twelve ^cd++++=twelve
napkins ^nns++++=napkins,
, ^zz++++=EXTRAWORD
a ^at++++=a
silk ^nn++++=silk
kimono ^np++++=kimono
painted ^vbd+++xvbn+=painted
with ^in++++=with
storks ^nns++++=storks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
corset ^nn++++=corset
purchased ^vbd+++xvbn+=purchased
from ^in++++=from
a ^at++++=a
Chicago ^np++++=Chicago
catalogue ^nn++++=catalogue
at ^in++++=at
a ^at++++=a
price ^nn++++=price
which ^whp+rel+subj++=which
made ^xvbn+++xvbn+=made
Birdie ^np++++=Birdie's
's ^$++++=EXTRAWORD
own ^ap++++=own
pocketbook ^nn+++??+=pocketbook
yell ^vb++++=yell
" ^zz++++="Whoa!"
whoa ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
grand ^jj+pred+++=grand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
Elmer ^vb+++??+=Elmer
be ^vb+be+vrb++=be
wearin ^nn+++??+=wearin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
corset ^nn+++??+=corset,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
for ^in++++=for
company ^nn++++=company?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak
to ^in++++=to
her ^pp$+pp3+++=her
for ^in++++=for
two ^cd++++=two
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
kept ^vbd+++xvbn+=kept
his ^pp$+pp3+++=his
head ^jjb++++=head
down ^rp++++=down
and ^cc++++=and
learned ^vbd+vprv++xvbn+=learned
the ^ati++++=the
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
Guests ^nns++++=Guests
passed ^vbd+++xvbn+=passed
the ^ati++++=the
glass ^nn++++=glass
wall ^nn++++=wall
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
whispered ^jj+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
ceased ^jj+++xvbn+=ceased
whispering ^jj+++xvbg+=whispering
and ^cc+phrs+++=and
relied ^jj+++xvbn+=relied
on ^in++++=on
eyebrows ^nns++++=eyebrows.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
acquaintances ^nns+nom+++=acquaintances
entered ^vbd+++xvbn+=entered
the ^ati++++=the
lobby ^nn++++=lobby,
, ^zz++++=EXTRAWORD
recognized ^xvbn+++xvbn+=recognized
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
fascinated ^vpsv++by+xvbn+=fascinated
by ^in++++=by
the ^ati++++=the
chandelier ^nn+nom+++=chandelier.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
Philip ^np++++=Philip
Dorr ^np+++??+=Dorr,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
closest ^jjt+atrb+++=closest
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^in++++=to
the ^ati++++=the
desk ^nn++++=desk
for ^in++++=for
a ^at++++=a
cigar ^nn++++=cigar.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Phil ^np++++=Phil."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Phil ^np++++=Phil
selected ^vwbn+++xvbn+=selected
a ^at++++=a
cigar ^nn++++=cigar
with ^in++++=with
religious ^jj+atrb+++=religious
concentration ^nn+nom+++=concentration.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
hello ^rb+dspt+++=hello,
, ^zz++++=EXTRAWORD
Terrill ^np+++??+=Terrill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good.
good ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Good ^jj++++=Good.
. ^zz++++=EXTRAWORD
Busy ^jj++++=Busy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Real
real ^rb+emph+++=EXTRAWORD
busy ^jj++++=busy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Phil ^np++++=Phil
paid ^vbd+++xvbn+=paid
Jo ^np++++=Jo,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Ted ^np++++=Ted
stood ^vbd+++xvbn+=stood
nearer ^rbr++++=nearer
the ^ati++++=the
cash ^nn++++=cash
drawer ^nn++++=drawer.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
an ^at++++=an
appointment ^nn+nom+++=appointment
and ^cc++++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
without ^in++++=without
lighting ^nn++++=lighting
the ^ati++++=the
cigar ^nn++++=cigar.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
always ^rb++++=always
was ^vbd+bedz+vrb++=was
a ^at++++=a
coward ^nn++++=coward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
testified ^vbd+vpub++xvbnx+=testified
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
testified ^vbd+vpub++xvbnx+=testified
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
him ^pp3o+pp3+++=him
under ^in++++=under
oath ^nn++++=oath.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
advantage ^nn+nom+++=advantage
of ^in++++=of
swearing ^xvbg+++xvbg+=swearing
a ^at++++=a
man ^nn++++=man
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
sometimes ^rb++++=sometimes
scares ^vbz+++??+=scares
the ^ati++++=the
truth ^nn++++=truth
out ^rp+pl+++=out
of ^in++++=of
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
bent ^vbd+++xvbn+=bent
over ^in++++=over
the ^ati++++=the
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
ears ^nns++++=ears
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
Birdie ^np+++??+=Birdie
behaved ^vbd+++xvbn+=behaved
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
quite ^rb++++=quite
true ^jj++++=true,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
before ^cs+sub+++=before
the ^ati++++=the
trouble ^nn++++=trouble
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
" ^zz++++="Mister
mister ^nn++++=EXTRAWORD
Terrill ^np+++??+=Terrill"
" ^zz++++=EXTRAWORD
and ^cc++++=and
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
annoyed ^jj++++=annoyed,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
him ^pp3o+pp3+++=him
" ^zz++++="ye
ye ^pp2+pp2+++=EXTRAWORD
poor ^jj+atrb+++=poor
puddin ^jj+atrb++??+=puddin'-headed
'-headed ^jj+atrb++xvbn+0=EXTRAWORD
corpse ^nn++++=corpse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
hers ^pp$$++++=hers
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
alteration ^nn+nom+++=alteration
that ^tht+rel+subj++=that
did ^vbd+dod+vrb++=did
him ^pp3o+pp3+++=him
good ^jj++++=good.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
brought ^vbd+++xvbnx+=brought
coffee ^nn++++=coffee
to ^in++++=to
the ^ati++++=the
office ^nn++++=office
at ^in++++=at
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
made ^vbd+++xvbnx+=made
him ^pp3o+pp3+++=him
eat ^vb++++=eat.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bullied ^vbd+++xvbnx+=bullied
the ^ati++++=the
chambermaids ^nns+++??+=chambermaids
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
exchanged ^vbd+++xvbnx+=exchanged
opinions ^nns++++=opinions
outside ^jjb++++=outside
his ^pp$+pp3+++=his
door ^nn++++=door.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
drummer ^nn++++=drummer
from ^in++++=from
Peoria ^np+++??+=Peoria
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe
to ^to+jcmp+++=to
leave ^vbi++++=leave
his ^pp$+pp3+++=his
watch ^nn++++=watch
in ^in++++=in
the ^ati++++=the
hotel ^nn++++=hotel,
, ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Safe
safe ^jj++++=EXTRAWORD
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
here ^rn+pl+++=here
would ^md+prd+++=would
be ^vb+be+aux++=be
caught ^vpsv++agls+xvbnx+=caught
dead ^jj++++=dead
with ^in++++=with
that ^dt+dem+++=that
watch ^nn++++=watch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drummer ^nn++++=drummer
laughed ^vbd+++xvbn+=laughed
uncertainly ^rb++++=uncertainly
and ^cc++++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
back ^jjb++++=back
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night
Ted ^np++++=Ted
sometimes ^rb++++=sometimes
sat ^vbd+++xvbn+=sat
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
lobby ^nn++++=lobby
after ^cs+sub+++=after
the ^ati++++=the
lamps ^nns++++=lamps
were ^vbd+bed+aux++=were
turned ^vpsv++agls+xvbnx+=turned
low ^jj++++=low.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
breezy ^jj+atrb+++=breezy
talker ^nn++++=talker
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
silence ^nn+nom+++=silence
occupied ^vbd+++xvbn+=occupied
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
tenant ^nn++++=tenant
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
lease ^nn++++=lease.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
tables ^nns++++=tables
for ^in++++=for
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
glance ^vb++++=glance
through ^in++++=through
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
doors ^nns++++=doors
and ^cc++++=and
see ^vb+vprv+tht0++=see
him ^pp3o+pp3+++=him
staring ^vbg+++xvbg+=staring
at ^rb++++=at
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
out ^rb+phrv+++=out
with ^in+ppvb+++=with
a ^at++++=a
stack ^nn++++=stack
of ^in++++=of
napkins ^nns++++=napkins.
. ^zz++++=EXTRAWORD
" ^zz++++="Ye've
ye ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
crease ^nn++++=crease
out ^rp+pl+++=out
av ^nn++++=av
your ^pp$+pp2+++=your
trousers ^nns+nom+++=trousers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
looked ^vbd+++xvbn+=looked
down ^rp++++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
what ^wdt+who+++=what
happens ^vbz+vsua+++=happens
when ^wrb+who+whcl++=when
a ^at++++=a
man ^nn++++=man
sits ^vbz++++=sits
around ^in++++=around
mournin ^nn+++??+=mournin'
' ^zz++++=EXTRAWORD
over ^in++++=over
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
soul ^nn++++=soul
may ^md+pos+++=may
recover ^vb++++=recover,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
pants ^nns++++=pants
is ^vbz+bez+aux++=is
ruined ^vpsv++agls+xvbnx+=ruined."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
almost ^rb+hdg+++=almost
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
began ^vbd+++xvbn+=began
folding ^jj+atrb+++=folding
napkins ^nns++++=napkins.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
thick ^jj+atrb+++=thick
fingers ^nns+nom+++=fingers
made ^vbd+++xvbn+=made
white ^np++++=white
lilies ^nns++++=lilies
with ^in++++=with
astonishing ^jj+atrb+++=astonishing
delicacy ^nn+nom+++=delicacy.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
like ^vb++++=like
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
like ^vb++++=like
sassafras ^nns+++??+=sassafras
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
People ^nns++++=People
survive ^vb++++=survive
strange ^jj+atrb+++=strange
tastes ^nns++++=tastes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^jj++++=mean
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Before
before ^in++++=EXTRAWORD
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
ye ^pp2+pp2+++=ye
learned ^vbd+++xvbn+=learned
arithmetic ^nn++++=arithmetic
at ^rb++++=at
public ^jj+atrb+++=public
expense ^nn++++=expense?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
winced ^vbd+++xvbnx+=winced.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
slapped ^vbd+++xvbn+=slapped
a ^at++++=a
napkin ^nn++++=napkin
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
after ^in++++=after
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
a ^at++++=a
weapon ^nn++++=weapon
out ^rp+pl+++=out
av ^nn++++=av
every ^at++++=every
word ^nn++++=word.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
hurt ^vbi++++=hurt
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye'd
'd ^md+prd+aux++0=EXTRAWORD
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
wonder ^vb++++=wonder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
mother ^npt++++=mother
used ^md"++pmd"++=used
to ^to++++=to
tell ^vb++++=tell
me ^pp1o+pp1+++=me
things ^nns++++=things
would ^md+prd+++=would
come ^vprf+++xvbn+=come
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
mother ^nn++++=mother
had ^vb+hv+vrb++=had
faith ^nn++++=faith."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
too ^ql++++=too
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
such ^abl++++=such
ailment ^nn+nom+++=ailment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rubbed ^vbd+++xvbnx+=rubbed
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
" ^zz++++="Sometimes
sometimes ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
" ^zz++++="
" ^zz++++="Yes?"
yes ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
child ^nn++++=child
in ^in++++=in
his ^pp$+pp3+++=his
face ^nn++++=face
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
homesick ^jj+atrb+++=homesick
child ^nn++++=child
hidden ^vbd+++xvbn+=hidden
behind ^in+pl+++=behind
the ^ati++++=the
prison ^nn++++=prison
pallor ^nn++++=pallor
and ^cc++++=and
the ^ati++++=the
careful ^jj+atrb+++=careful,
, ^zz++++=EXTRAWORD
humbled ^jj+atrb++xvbn+=humbled
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
put ^vbi++++=put
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
yellow ^jj++++=yellow
