# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Bibine ^np++++=Bibine's
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
three ^cd++++=three
steps ^nns++++=steps
toward ^in++++=toward
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
screamed ^vbd+++xvbn+=screamed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
snatched ^j+++xvbn+=snatched
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pressed ^vbd+++xvbn+=pressed
his ^pp$+pp3+++=his
wet ^jj+atrb+++=wet
face ^nn++++=face
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ca ^np++++=can't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
leave ^vb++++=leave
you ^pp2+pp2+++=you
cryin ^nn+++??+=cryin'
' ^zz++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
ticked ^vbd+++xvbn+=ticked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fly ^nn++++=fly
still ^rb+atrb+++=still
worried ^jj+++xvbn+=worried
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woods ^nns++++=woods
breathed ^vbd+++xvbn+=breathed.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
looked ^vbd+++xvbn+=looked
from ^in++++=from
Bibine ^np+++??+=Bibine
to ^in++++=to
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
take ^vb++++=take
lit ^rb+++xvbn+=lit'
' ^zz++++=EXTRAWORD
walk ^nn++++=walk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wrapped ^vbd+++xvbnx+=wrapped
bread ^nn++++=bread
in ^in++++=in
a ^at++++=a
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
a ^at++++=a
bottle ^nn++++=bottle
with ^in++++=with
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
settled ^j+++xvbn+=settled
Bibine ^np+++??+=Bibine
on ^rp++++=on
her ^pp3o+pp3+++=her
hip ^nn++++=hip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
she ^pp3a+pp3+++=she
followed ^vbd+vprv++xvbnx+=followed
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
slipped ^vbd+++xvbnx+=slipped
through ^in++++=through
a ^at++++=a
gap ^nn++++=gap
in ^in++++=in
the ^ati++++=the
fence ^nn++++=fence
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
to ^in+ppvb+++=to
the ^ati++++=the
tall ^jj+atrb+++=tall
weeds ^nns++++=weeds
so ^ql++++=so
no ^at++++=no
neighbor ^nn++++=neighbor
might ^md+pos+++=might
notice ^vb+vprv+++=notice.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
bounced ^vbd+++xvbn+=bounced
against ^in++++=against
her ^pp$+pp3+++=her
side ^nn++++=side
and ^cc++++=and
crowed ^jj+++xvbn+=crowed
at ^rb++++=at
grasshoppers ^nns+nom+++=grasshoppers.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
wood ^nn++++=wood
the ^ati++++=the
earth ^nn++++=earth
changed ^vbd+++xvbn+=changed
under ^in++++=under
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Shade ^vb++++=Shade
cooled ^vbd+++xvbn+=cooled
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hard ^jj+atrb+++=hard
line ^nn++++=line
between ^in++++=between
her ^pp$+pp3+++=her
brows ^nns++++=brows
softened ^vbd+++xvbn+=softened.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
removed ^vbd+++xvbnx+=removed
her ^pp$+pp3+++=her
shoes ^nns++++=shoes
and ^cc++++=and
hung ^vwbn+++xvbn+=hung
them ^pp3o+pp3+++=them
by ^in++++=by
their ^pp$+pp3+++=their
laces ^nns++++=laces
around ^rp++++=around
her ^pp3o+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
The ^ati++++=The
soft ^jj+atrb+++=soft
ground ^nn++++=ground
knew ^vbd+vprv++xvbn+=knew
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Moss ^np++++=Moss
rose ^vbd+++xvbn+=rose
between ^in++++=between
her ^pp$+pp3+++=her
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
Ferns ^np+++??+=Ferns
brushed ^vbd+++xvbn+=brushed
her ^pp3o+pp3+++=her
calves ^nns++++=calves.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
broke ^vbd+++xvbnx+=broke
a ^at++++=a
sassafras ^nns+++??+=sassafras
twig ^nn++++=twig
and ^cc++++=and
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
to ^in++++=to
Bibine ^np+++??+=Bibine
to ^to++++=to
smell ^vbi++++=smell;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
eat ^vbi++++=eat
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
showed ^vbd+vprv++xvbnx+=showed
him ^pp3o+pp3+++=him
a ^at++++=a
green ^nn++++=green
lizard ^nn+++??+=lizard
resting ^vwbg+++xvbg+=resting
flat ^nn++++=flat
as ^ql++++=as
a ^at++++=a
leaf ^nn++++=leaf
upon ^in++++=upon
a ^at++++=a
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
whistled ^vbd+++xvbnx+=whistled
to ^in++++=to
a ^at++++=a
cardinal ^jjb+atrb+++=cardinal,
, ^zz++++=EXTRAWORD
found ^jj+atrb++xvbn+=found
blackberries ^nns++++=blackberries
along ^in++++=along
a ^at++++=a
sunny ^nn++++=sunny
cut ^vbd+++xvbn+=cut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crushed ^jj+atrb++xvbn+=crushed
one ^pn++++=one
between ^in++++=between
Bibine ^np++++=Bibine's
's ^$++++=EXTRAWORD
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
became ^vbd+++xvbn+=became
purple ^nn++++=purple
with ^in++++=with
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
deeper ^jjr++++=deeper.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
did ^vbd+dod+aux++=did
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
go ^vbi++++=go
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
turn ^nn++++=turn
disclosed ^vbd+vpub++xvbn+=disclosed
another ^dt++++=another
remembered ^jj+atrb++xvbn+=remembered
pleasure ^nn++++=pleasure:
: ^zz++++=EXTRAWORD
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
mint ^nn++++=mint,
, ^zz++++=EXTRAWORD
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
a ^at++++=a
pool ^nn++++=pool
where ^wrb+who+++=where
minnows ^nns++++=minnows
flashed ^vbd+++xvbn+=flashed,
, ^zz++++=EXTRAWORD
a ^at++++=a
curtain ^nn++++=curtain
of ^in++++=of
vine ^nn++++=vine
hiding ^vwbg+++xvbg+=hiding
a ^at++++=a
hollow ^nn++++=hollow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woods ^npl++++=woods
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
open ^vbi++++=open
room ^nn++++=room
after ^in++++=after
room ^nn++++=room
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
each ^dt++++=each
furnished ^jj+++xvbn+=furnished
with ^in++++=with
something ^pn++++=something
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
missed ^vprf+++xvbnx+=missed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
by ^in++++=by
the ^ati++++=the
creek ^nn++++=creek
and ^cc++++=and
dipped ^xvbn+++xvbn+=dipped
Bibine ^np++++=Bibine's
's ^$++++=EXTRAWORD
feet ^nns++++=feet
in ^in++++=in
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kicked ^vbd+++xvbnx+=kicked
until ^cs+sub+++=until
both ^abx++++=both
were ^vbd+bed+aux++=were
soaked ^vpsv++agls+xvbnx+=soaked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
frog ^nn+++??+=frog,
, ^zz++++=EXTRAWORD
at ^in++++=at
his ^pp$+pp3+++=his
own ^ap++++=own
toes ^nns++++=toes
under ^in++++=under
the ^ati++++=the
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
laughed ^vbd+++xvbn+=laughed
too ^rb++++=too
a ^at++++=a
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
sound ^jj++++=sound
that ^dt+dem+++=that
no ^at++++=no
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
Padue ^np+++??+=Padue
house ^npl++++=house
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
dry ^jj+atrb+++=dry
moss ^np++++=moss
beneath ^in+pl+++=beneath
an ^at++++=an
oak ^nn++++=oak.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
lay ^vbd+++xvbn+=lay
with ^in++++=with
his ^pp$+pp3+++=his
head ^nn++++=head
upon ^in++++=upon
her ^pp$+pp3+++=her
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
" ^zz++++="Pretty,
pretty ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
hein ^nn+++??+=hein?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
murmured ^vbd+++xvbnx+=murmured.
. ^zz++++=EXTRAWORD
" ^zz++++="Pitty,"
pitty ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
agreed ^vbd+vpub++xvbnx+=agreed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
Maman ^np+++??+=Maman
I ^pp1a+pp1+++=I
brung ^nn+++??+=brung
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maman."
maman ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tell ^vb++++=tell
her ^pp$+pp3+++=her
bird ^nn++++=bird.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
her ^pp$+pp3+++=her
water ^nn++++=water."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lo."
lo ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
her ^pp$+pp3+++=her
Lo ^np++++=Lo."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
watched ^vbd+++xvbn+=watched
the ^ati++++=the
leaves ^nns++++=leaves
sway ^vb++++=sway.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
the ^ati++++=the
two ^cd++++=two
halves ^nns++++=halves
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life
rested ^vbd+++xvbn+=rested
together ^nn+nom+++=together:
: ^zz++++=EXTRAWORD
the ^ati++++=the
wandering ^jj+atrb++xvbg+=wandering
child ^nn++++=child
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
and ^cc++++=and
the ^ati++++=the
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
trusting ^vbg+++xvbg+=trusting
weight ^nn++++=weight
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^md"++pmd"++=have
to ^md+nec+++=to
choose ^vb++++=choose.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Padue ^np+++??+=Padue
house ^nn++++=house,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
choices ^nns++++=choices
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
made ^vbd+++xvbn+=made
with ^in++++=with
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
returned ^vbd+++xvbn+=returned
shortly ^rb+tm+++=shortly
after ^cs+sub+++=after
noon ^nn++++=noon
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
door ^nn++++=door
open ^nn++++=open,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cradle ^nn++++=cradle
empty ^jj++++=empty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
bundle ^nn++++=bundle
gone ^vbd+++xvbn+=gone.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
called ^vbd+++xvbnx+=called
through ^in++++=through
every ^at++++=every
room ^nn++++=room.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ran ^vbd+++xvbnx+=ran
to ^in+ppvb+++=to
the ^ati++++=the
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shed ^jj+++xvbn+=shed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
ten ^cd++++=ten
minutes ^nns++++=minutes
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
accused ^vprf+++xvbnx+=accused
Loka ^np+++??+=Loka
of ^in++++=of
theft ^nn++++=theft,
, ^zz++++=EXTRAWORD
madness ^nns+nom+++=madness,
, ^zz++++=EXTRAWORD
ingratitude ^nn++++=ingratitude,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
murder ^nn++++=murder.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
half ^abn++++=half
the ^ati++++=the
neighbors ^nns++++=neighbors
were ^vbd+bed+aux++=were
searching ^vbg+++xvbgx+=searching.
. ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
field ^nn++++=field
white ^jj++++=white
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
sunburn ^jj+++xvbn+=sunburn.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
milk ^nn++++=milk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
that ^dt+dem+++=that
prove ^nn+vprv+++=prove?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
baby ^nn++++=baby!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
prove ^vb+vprv+tht0++=prove
she ^pp3a+pp3+++=she
think ^vb+vprv+++=think
to ^to++++=to
feed ^vbi++++=feed
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pas
pas ^&fw++++=EXTRAWORD
possible ^jj++++=possible!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
defend ^vb++++=defend
her ^pp$+pp3+++=her
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
defending ^jj+++xvbg+=defending.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
searched ^vbd+++xvbnx+=searched
the ^ati++++=the
road ^nn++++=road
toward ^in++++=toward
the ^ati++++=the
bayou ^nn+++??+=bayou.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
rode ^vbd+++xvbn+=rode
to ^in++++=to
the ^ati++++=the
ferry ^nn++++=ferry.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
inspected ^vwbn+++xvbn+=inspected
ditches ^nns++++=ditches
and ^cc++++=and
abandoned ^jj+atrb++xvbn+=abandoned
cabins ^nns++++=cabins.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
went ^vbd+++xvbn+=went
from ^in++++=from
fury ^nn++++=fury
to ^in++++=to
terror ^nn++++=terror
and ^cc++++=and
back ^jjb++++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
each ^dt++++=each
might ^md+pos+++=might
save ^vb++++=save
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
By ^in++++=By
late ^jj+atrb+++=late
afternoon ^nn++++=afternoon
thunderheads ^nns+++??+=thunderheads
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west.
. ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
toward ^in++++=toward
the ^ati++++=the
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
watching ^vbg+++xvbgx+=watching
that ^dt+dem+++=that
way ^nn++++=way,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
called ^vprf+++xvbnx+=called
to ^in++++=to
the ^ati++++=the
others ^aps++++=others
when ^wrb+who+++=when
a ^at++++=a
figure ^nn++++=figure
appeared ^vbd+seem++xvbn+=appeared
beyond ^in++++=beyond
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
came ^vbd+++xvbn+=came
slowly ^rb++++=slowly
through ^in++++=through
the ^ati++++=the
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
barefoot ^jj++++=barefoot,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
shoes ^nns++++=shoes
hanging ^vwbg+++xvbg+=hanging
from ^in++++=from
her ^pp$+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dress ^nn++++=dress
was ^vbd+bedz+aux++=was
stained ^vpsv++agls+xvbnx+=stained
green ^npl++++=green.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
rode ^vbd+++xvbn+=rode
upon ^in++++=upon
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
gripping ^jj+++xvbg+=gripping
her ^pp3o+pp3+++=her
hair ^nn++++=hair
and ^cc++++=and
singing ^nvbg+++xvbg+=singing
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
A ^at++++=A
wreath ^nn++++=wreath
of ^in++++=of
trumpet ^nn++++=trumpet-vine
- ^zz++++=EXTRAWORD
vine ^nn++++=EXTRAWORD
sat ^vbd+++xvbn+=sat
crookedly ^rb++++=crookedly
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
gave ^vbd+++xvbn+=gave
a ^at++++=a
cry ^nn++++=cry
and ^cc++++=and
ran ^vbd+++xvbn+=ran.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tore ^vbd+++xvbnx+=tore
Bibine ^np+++??+=Bibine
from ^in++++=from
Loka ^np+++??+=Loka,
, ^zz++++=EXTRAWORD
searched ^j+++xvbn+=searched
him ^pp3o+pp3+++=him
for ^in++++=for
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
kissed ^j+++xvbn+=kissed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kissed ^vbd+++xvbn+=kissed
him ^pp3o+pp3+++=him
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine,
, ^zz++++=EXTRAWORD
delighted ^xvbn+++xvbn+=delighted
by ^in++++=by
the ^ati++++=the
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
seized ^j+++xvbn+=seized
her ^pp$+pp3+++=her
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
wicked ^jj+atrb+++=wicked
girl ^nn++++=girl!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
devil ^nn++++=devil!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
steal ^vb++++=steal
my ^pp$+pp1+++=my
child ^nn++++=child
and ^cc++++=and
carry ^vb++++=carry
him ^pp3o+pp3+++=him
God ^np++++=God
knows ^vbz+vprv+++=knows
where ^wrb+who+whcl++=where!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
stood ^vbd+++xvbn+=stood
with ^in++++=with
her ^pp$+pp3+++=her
arms ^nns++++=arms
hanging ^vwbg+++xvbg+=hanging
empty ^jj++++=empty.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
steal ^vb++++=steal
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
gone ^vbd+++xvbn+=gone!
! ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
bundle ^nn++++=bundle
gone ^vbd+++xvbn+=gone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
expect ^vb+vprv+tht0++=expect
me ^pp1o+pp1+++=me
believe ^vb+vprv+tht0++=believe
that ^tht+vcmp+++=that?
? ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste,
, ^zz++++=EXTRAWORD
hitch ^nn++++=hitch
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
Tonight ^nr+tm+++=Tonight
this ^dt+dem+++=this
very ^ap+amp+++=very
night ^nn++++=night
I ^pp1a+pp1+++=I
bring ^vb++++=bring
her ^pp$+pp3+++=her
to ^in++++=to
Madame ^npt++++=Madame
Frobissaint ^np+++??+=Frobissaint.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
those ^dt+dem+++=those
ladies ^nns++++=ladies
save ^cs+sub+++=save
her ^pp3o+pp3+++=her
someplace ^rb++++=someplace
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
