**san ^jj+atrb+++=**SAN
Francisco ^np++++=FRANCISCO,
whole ^jj+atrb+++=whole
city ^nn++++=city
looked ^vbd+++xvbn+=looked
washed ^vbd+++xvbn+=washed
clean ^jj++++=clean
of ^in++++=of
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
gossip ^nn++++=gossip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relatives ^nns++++=relatives.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
loneliness ^nns+nom+++=loneliness;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
dramatically ^rb+cnj+++=dramatically,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^cs+sub+++=in
that ^cs"++++=that
restrained ^jj+atrb++xvbn+=restrained
voice ^nn++++=voice
which ^whp+rel+subj++=which
makes ^vbz++++=makes
every ^at++++=every
word ^nn++++=word
seem ^vb+seem+++=seem
carved ^vbd+++xvbn+=carved
upon ^in++++=upon
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
ribs ^nns++++=ribs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
something ^pn++++=something
noble ^jj++++=noble.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
San ^np++++=San
Francisco ^np++++=Francisco
agreeable ^jj++++=agreeable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Irene ^np++++=Irene,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
blubbered ^vbd+++xvbnx+=blubbered.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
openly ^rb++++=openly.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
tear ^nn++++=tear
escaped ^vbd+++xvbn+=escaped
and ^cc+phrs+++=and
ran ^vbd+++xvbn+=ran
down ^rb+phrv+++=down
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
my ^pp$+pp1+++=my
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pretended ^vbd+vprv+tht0+xvbnx+=pretended
the ^ati++++=the
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
my ^pp$+pp1+++=my
eye ^nn++++=eye
and ^cc++++=and
used ^vbd+++xvbn+=used
my ^pp$+pp1+++=my
handkerchief ^nn++++=handkerchief.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
wrong ^jj+atrb+++=wrong
handkerchief ^nn++++=handkerchief
one ^cd1++++=one
Jack ^np++++=Jack
had ^vbd+hvd+aux++=had
handed ^vprf+++xvbnx+=handed
me ^pp1o+pp1+++=me
after ^cs+sub+++=after
spilling ^xvbg+++xvbg+=spilling
claret ^nn+++??+=claret
and ^cc++++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
does ^vbz+doz+vrb++=does
Romance ^nn+nom+++=Romance
clothe ^nn+++??+=clothe
herself ^ppl+pp3+++=herself
in ^in++++=in
glory ^nn++++=glory.
. ^zz++++=EXTRAWORD
**m.** ^nn+++??+=**M.**
**april ^nn+++??+=**April
23.** ^cd++++=23.**
My ^pp$+pp1+++=My
Own ^ap++++=Own
Irene ^np++++=Irene:
: ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
advise ^vb+vpub+++=advise
confession ^nn++++=confession.
. ^zz++++=EXTRAWORD
Confession ^nn++++=Confession!
! ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
sit ^vb++++=sit
before ^cs+sub+++=before
this ^dt+dem+++=this
accomplished ^jj+++xvbn+=accomplished
being ^jj+++xvbg+=being
and ^cc++++=and
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="Doctor,
doctor ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
was ^vbd+bedz+aux++=was
once ^rb+tm+splt++=once
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
Gunny ^np+++??+=Gunny
Dement ^np+++??+=Dement
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
garments ^nns+nom+++=garments
manufactured ^vbd+++xvbn+=manufactured
from ^in++++=from
grain ^nn++++=grain-sacks,
- ^zz++++=EXTRAWORD
sacks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
the ^ati++++=the
finer ^jjr+atrb+++=finer
poetry ^nn++++=poetry
of ^in++++=of
childhood ^nn+nom+++=childhood
is ^vbz+bez+aux++=is
expressed ^vpsv++by+xvbnx+=expressed
by ^in++++=by
yelling ^xvbg+++xvbg+=yelling
the ^ati++++=the
first ^rb++++=first
cruel ^jj+atrb+++=cruel
thing ^nn++++=thing
that ^tht+rel+subj++=that
occurs ^vbz++++=occurs
to ^in++++=to
it ^pp3+it+++=it"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
There ^rn+pl+++=There.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
written ^vprf+++xvbnx+=written
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
**gunny.** ^nn+++??+=**Gunny.**
The ^ati++++=The
name ^nn++++=name
lies ^nns++++=lies
upon ^in++++=upon
the ^ati++++=the
page ^nn++++=page
like ^in++++=like
a ^at++++=a
toad ^nn+++??+=toad.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
he ^pp3a+pp3+++=he
despises ^vbz++++=despises
pretence ^nn+nom+++=pretence?
? ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
he ^pp3a+pp3+++=he
despises ^vbz++++=despises
poverty ^nn++++=poverty?
? ^zz++++=EXTRAWORD
Worse ^jjr++++=Worse
suppose ^vb+vprv+tht0++=suppose
he ^pp3a+pp3+++=he
pities ^nn++++=pities
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
endure ^vb++++=endure
scorn ^nn++++=scorn
better ^jjr++++=better
than ^cs+sub+++=than
that ^dt+dem+++=that
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
uplifted ^jj+atrb+++=uplifted
expression ^nn++++=expression
cultivated ^vbd+++xvbn+=cultivated
people ^nns++++=people
assume ^vb+vprv+++=assume
when ^wrb+who+whcl++=when
told ^vbd+vpub++xvbn+=told
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
mother ^nn++++=mother
washed ^vwbn+++xvbn+=washed
shirts ^nns++++=shirts.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
love ^nn++++=love
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
written ^vprf+++xvbnx+=written
that ^tht+vcmp+++=that
too ^ql++++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
looks ^vbz++++=looks
less ^rbr++++=less
like ^in++++=like
a ^at++++=a
toad ^nn+++??+=toad
than ^in++++=than
a ^at++++=a
thunderbolt ^nn++++=thunderbolt.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
his ^pp$+pp3+++=his
silences ^nns+nom+++=silences,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
grave ^jj+atrb+++=grave
courtesy ^nn++++=courtesy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
small ^jj+atrb+++=small
scar ^nn++++=scar
above ^rb++++=above
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
eyebrow ^nn++++=eyebrow,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
says ^vbz+vpub+tht0++=says
my ^pp$+pp1+++=my
Christian ^jj+atrb+++=Christian
name ^nn++++=name
when ^wrb+who+++=when
no ^at++++=no
one ^cd1++++=one
is ^vbz+bez+vrb++=is
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
looks ^nns++++=looks
like ^in++++=like
an ^at++++=an
exiled ^jj+++xvbn+=exiled
prince ^npt++++=prince
and ^cc+cls+++=and
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
himself ^ppl+pp3+++=himself
unobserved ^jj++++=unobserved,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shakes ^vbz++++=shakes
sand ^nn++++=sand
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
shoe ^nn++++=shoe.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
we ^pp1a+pp1+++=we
walked ^vbd+++xvbn+=walked
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
fancied ^vbd+++xvbnx+=fancied
the ^ati++++=the
wet ^jj+atrb+++=wet
sand ^nn++++=sand
grew ^vbd+++xvbn+=grew
brighter ^jjr++++=brighter
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
stepped ^vbd+++xvbnx+=stepped
upon ^in++++=upon
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
kelp ^nn+++??+=kelp
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
something ^pn++++=something
in ^in++++=in
Hindustani ^np+++??+=Hindustani
or ^cc++++=or
in ^in++++=in
plain ^nn++++=plain
American ^jj++++=American,
, ^zz++++=EXTRAWORD
rapidly ^rb++++=rapidly
suppressed ^jj+++xvbn+=suppressed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
asked ^vprf+++xvbnx+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
walk ^vbi++++=walk
there ^rn+pl+++=there
again ^rb+tm+++=again
tomorrow ^nr+tm+++=tomorrow
at ^in++++=at
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
predicts ^vbz+vpub+++=predicts
a ^at++++=a
declaration ^nn+nom+++=declaration.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
also ^rb++++=also
predicts ^vbz+vpub+++=predicts
earthquakes ^nns++++=earthquakes,
, ^zz++++=EXTRAWORD
marriages ^nns+nom+++=marriages,
, ^zz++++=EXTRAWORD
failures ^nns++++=failures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+dem+++=that
time ^nn++++=time
must ^md+nec+++=must
occasionally ^rb++splt++=occasionally
justify ^vb++++=justify
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Barritz ^np+++??+=Barritz
speaks ^vbz++++=speaks,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
tell ^vb++++=tell
him ^pp3o+pp3+++=him
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall.
. ^zz++++=EXTRAWORD
Irene ^np++++=Irene,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
occult ^jj+atrb++xvbn+=occult
training ^nn++++=training
enables ^vbz++++=enables
him ^pp3o+pp3+++=him
to ^to++++=to
know ^vbi+vprv+++=know
already ^rb++++=already?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
if ^cs+cnd+++=if
the ^ati++++=the
whole ^jj+atrb+++=whole
courtship ^nn+nom+++=courtship
is ^vbz+bez+vrb++=is
some ^dti++++=some
majestic ^jj+atrb+++=majestic
experiment ^nn+nom+++=experiment
in ^in++++=in
psychology ^nn++++=psychology?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
brings ^vbz++++=brings
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
pinnacle ^nn++++=pinnacle
of ^in++++=of
adoration ^nn+nom+++=adoration
and ^cc++++=and
then ^rn+tm+++=then
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Gunny,
gunny ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
all ^abn++++=all
along ^in++++=along"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
strike ^vb++++=strike
him ^pp3o+pp3+++=him
with ^in++++=with
my ^pp$+pp1+++=my
parasol ^nn++++=parasol.
. ^zz++++=EXTRAWORD
Afterward ^rb+cnj+++=Afterward,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
faint ^vb++++=faint.
. ^zz++++=EXTRAWORD
Pray ^vb+vsua+++=Pray
for ^in++++=for
me ^pp1o+pp1+++=me
though ^cs+sub+++=though
not ^xnot++not++=not
in ^cs+sub+++=in
that ^cs"++++=that
superior ^jj+atrb+++=superior
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
**mary ^nn++++=**MARY
Jane ^np++++=JANE
Dement** ^np+++??+=DEMENT**
**april ^nn+++??+=**April
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
midnight.** ^nn+++??+=midnight.**
Irene ^np++++=Irene!
! ^zz++++=EXTRAWORD
Irene ^np++++=Irene!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
living ^vbg+++xvbgx+=living
in ^in++++=in
a ^at++++=a
world ^nn++++=world
constructed ^vwbn+++xvbn+=constructed
by ^in++++=by
an ^at++++=an
idiot ^nn++++=idiot
angel ^nn++++=angel.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
walked ^vbd+++xvbn+=walked
beyond ^in++++=beyond
the ^ati++++=the
last ^jj+atrb+++=last
houses ^nns++++=houses
where ^wrb+who+++=where
the ^ati++++=the
beach ^npl++++=beach
lies ^vbz++++=lies
wide ^jj++++=wide
and ^cc+phrs+++=and
lonely ^jj++++=lonely
under ^in++++=under
the ^ati++++=the
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
setting ^vbg+++xvbgx+=setting
with ^in++++=with
unnecessary ^jj+atrb+++=unnecessary
magnificence ^nn+nom+++=magnificence
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
crimson ^nn+++??+=crimson,
, ^zz++++=EXTRAWORD
purple ^jj++++=purple,
, ^zz++++=EXTRAWORD
the ^ati++++=the
entire ^jjb+atrb+++=entire
celestial ^jj+atrb+++=celestial
paint ^nn++++=paint-box.
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz
said ^vbd+vpub++xvbn+=said
almost ^rb+hdg+++=almost
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
surf ^nn++++=surf,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
small ^jj+atrb+++=small
dog ^nn++++=dog
barking ^vwbg+++xvbg+=barking
half ^abn++++=half
a ^at++++=a
mile ^nn++++=mile
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
All ^abn++++=All
three ^cd++++=three
seemed ^vbd+seem++xvbn+=seemed
equally ^rb++++=equally
ominous ^jj++++=ominous.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Mary
mary ^np++++=EXTRAWORD
Jane ^np++++=Jane."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
but ^cc++++=but
Mother ^nn++++=Mother
ever ^rb++++=ever
made ^vwbn+++xvbn+=made
both ^abx++++=both
names ^nns++++=names
sound ^jj++++=sound
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
was ^vbd+bedz+vrb++=was
icy ^jj+pred+++=icy.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
contradicted ^jj+++xvbn+=contradicted
every ^at++++=every
novel ^nn++++=novel
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
time ^nn++++=time
to ^in++++=to
correct ^jj++++=correct
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
years ^nns++++=years
and ^cc++++=and
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
snatched ^vbd+++xvbnx+=snatched
my ^pp$+pp1+++=my
hand ^nn++++=hand
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
before ^cs+sub+++=before
you ^pp2+pp2+++=you
wore ^vbd+++xvbn+=wore
diamonds ^nns++++=diamonds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
cliffs ^nns++++=cliffs
revolved ^vbd+++xvbn+=revolved.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pacific ^jj+atrb+++=Pacific
Ocean ^nn++++=Ocean
rose ^vbd+++xvbn+=rose
upon ^in++++=upon
its ^pp$+it+++=its
hind ^jjb+atrb+++=hind
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
secret ^jj+atrb+++=secret
society ^nn++++=society,
, ^zz++++=EXTRAWORD
plum ^nn++++=plum-tree,
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
horned ^jj+atrb++xvbn+=horned
toad ^nn+++??+=toad,
, ^zz++++=EXTRAWORD
flour ^nn++++=flour-sack,
- ^zz++++=EXTRAWORD
sack ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
freckle ^nn+++??+=freckle
of ^in++++=of
Redhorse ^np+++??+=Redhorse
marched ^vbd+++xvbn+=marched
before ^in++++=before
me ^pp1o+pp1+++=me
in ^in++++=in
military ^jj+atrb+++=military
order ^nn++++=order.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="Dumps."
dumps ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
faint ^jj++++=faint.
. ^zz++++=EXTRAWORD
Heroines ^np+++??+=Heroines
are ^vb+ber+aux++=are
forever ^rb++splt++=forever
fainting ^vbg+++xvbgx+=fainting
when ^wrb+who+++=when
consciousness ^nns+nom+++=consciousness
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
only ^ap+down+++=only
source ^nn++++=source
of ^in++++=of
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
and ^cc+phrs+++=and
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+aux++=were
killed ^vpsv++by+xvbnx+=killed
by ^in++++=by
road ^nn++++=road
agents ^nns++++=agents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
robbed ^vbd+++xvbnx+=robbed
the ^ati++++=the
stage ^nn++++=stage.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hid ^vbd+++xvbnx+=hid
under ^in++++=under
the ^ati++++=the
bridge ^nn++++=bridge.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
with ^in++++=with
a ^at++++=a
freighter ^nn++++=freighter
to ^in++++=to
Nevada ^np+++??+=Nevada."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+vrb++=had
one ^cd1++++=one
suspender ^jjr++++=suspender."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
subsequently ^rb+tm+++=subsequently
acquired ^vbd+++xvbn+=acquired
another ^ppls++++=another."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
broke ^vbd+++xvbn+=broke
the ^ati++++=the
spell ^nn++++=spell.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
struck ^vbd+++xvbnx+=struck
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
breast ^nn++++=breast
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands
and ^cc++++=and
demanded ^vbd+vsua++xvbn+=demanded
proofs ^nns++++=proofs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scar ^nn++++=scar
above ^rb++++=above
his ^pp$+pp3+++=his
eyebrow ^nn++++=eyebrow
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
day ^nn++++=day
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
a ^at++++=a
tomato ^nn++++=tomato-can
- ^zz++++=EXTRAWORD
can ^md+pos+++=EXTRAWORD
at ^in++++=at
Jack ^np++++=Jack
and ^cc++++=and
hit ^nn+++xvbn+=hit
Dumps ^np+++??+=Dumps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
horned ^jj+atrb++xvbn+=horned
toad ^nn+++??+=toad's
's ^$++++=EXTRAWORD
funeral ^nn++++=funeral;
; ^zz++++=EXTRAWORD
the ^ati++++=the
spoon ^nn++++=spoon
with ^in++++=with
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
prospected ^vbd+++xvbn+=prospected;
; ^zz++++=EXTRAWORD
the ^ati++++=the
nugget ^nn++++=nugget
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
brass ^nn++++=brass;
; ^zz++++=EXTRAWORD
the ^ati++++=the
oath ^nn++++=oath
that ^tht+rel+++=that
whoever ^whp+who+++=whoever
first ^rb++++=first
became ^vbd+++xvbn+=became
rich ^jj++++=rich
should ^md+nec+++=should
share ^vb++++=share
with ^in++++=with
the ^ati++++=the
others ^aps++++=others;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
pushed ^vbd+++xvbnx+=pushed
him ^pp3o+pp3+++=him
into ^in++++=into
Mcginty ^np++++=McGinty's
's ^$++++=EXTRAWORD
trough ^nn++++=trough
