**a ^nn+++??+=**A
Confusion ^nn++++=CONFUSION
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
at ^rb++splt++=at
least ^rb"++++=least
prevent ^vb++++=prevent
your ^pp$+pp2+++=your
marriage ^nn+nom+++=marriage
to ^in++++=to
my ^pp$+pp1+++=my
brother ^nn++++=brother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
faint ^jj++++=faint
flush ^rb++++=flush
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
telling ^xvbg+++xvbg+=telling
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
necessary ^jj++++=necessary."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
would ^md+prd+++=would
destroy ^vb++++=destroy
his ^pp$+pp3+++=his
happiness ^nns+nom+++=happiness
upon ^in++++=upon
the ^ati++++=the
evidence ^nn+nom+++=evidence
of ^in++++=of
an ^at++++=an
overheard ^jj+atrb+++=overheard
conversation ^nn+nom+++=conversation?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Upon
upon ^in++++=EXTRAWORD
the ^ati++++=the
evidence ^nn+nom+++=evidence
of ^in++++=of
your ^pp$+pp2+++=your
fear ^nn++++=fear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Stevens ^np++++=Stevens;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
interpretation ^nn+nom+++=interpretation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
precision ^nn++++=precision
disconcerted ^vbd+++xvbn+=disconcerted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
past ^nn++++=past
me ^pp1o+pp1+++=me
toward ^in++++=toward
the ^ati++++=the
drawing ^jj+atrb++xvbg+=drawing
room ^nn++++=room,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
John ^np++++=John
was ^vbd+bedz+aux++=was
laughing ^vbg+++xvbgx+=laughing
with ^in++++=with
her ^pp3o+pp3+++=her
father ^npt++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not
tell ^vb++++=tell
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
possess ^nns+nom+++=possess
some ^dti++++=some
claim ^nn++++=claim
upon ^in++++=upon
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
lawful ^jj+atrb+++=lawful
claim ^nn++++=claim."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
threaten ^vb++++=threaten
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hesitated ^vbd+++xvbnx+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
too ^ql++++=too
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
almost ^rb+hdg+++=almost
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
understood ^vprf+++xvbnx+=understood
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
matter ^nn++++=matter
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
accept ^vb+vprv+tht0++=accept
your ^pp$+pp2+++=your
terms ^nns++++=terms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
offered ^vprf+++xvbnx+=offered
no ^at++++=no
terms ^nns++++=terms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
silence ^nn+nom+++=silence
has ^vbz+hvz+vrb++=has
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
approached ^vbd+++xvbn+=approached
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
could ^md+pos+++=could
reply ^vb++++=reply.
. ^zz++++=EXTRAWORD
Julia ^np++++=Julia
turned ^vbd+++xvbn+=turned
to ^in++++=to
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile
so ^ql+emph+++=so
tender ^jj++++=tender
that ^dt+dem+++=that
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
doubted ^vbd+vprv+tht0+xvbnx+=doubted
my ^pp$+pp1+++=my
own ^ap++++=own
senses ^nns++++=senses
and ^cc++++=and
almost ^rb+hdg+++=almost
my ^pp$+pp1+++=my
own ^ap++++=own
honesty ^nn++++=honesty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
placed ^vbd+++xvbnx+=placed
her ^pp$+pp3+++=her
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
arm ^nn++++=arm
and ^cc++++=and
led ^vbd+++xvbn+=led
her ^pp$+pp3+++=her
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
back ^jjb++++=back
once ^rb+tm+++=once
not ^xnot++not++=not
appealingly ^rb+cnj+++=appealingly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
grave ^jj+atrb+++=grave
finality ^nn+nom+++=finality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
upon ^in++++=upon
John ^np++++=John
and ^cc++++=and
urged ^vbd+vsua++xvbn+=urged
him ^pp3o+pp3+++=him
to ^to++++=to
postpone ^vbi++++=postpone
the ^ati++++=the
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
reveal ^vb+vprv+++=reveal
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
no ^at++++=no
knowledge ^nn++++=knowledge
of ^in++++=of
its ^pp$+it+++=its
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
honour ^nn++++=honour
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
is ^vbz+bez+vrb++=is
too ^ql++++=too
serious ^jj++++=serious
a ^at++++=a
thing ^nn++++=thing
to ^to++++=to
be ^vbi+vbi+aux++=be
handled ^vpsv++agls+xvbnx+=handled
with ^in++++=with
conjecture ^nn++++=conjecture.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
instead ^rb+cnj+++=instead
of ^in++++=of
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
incompatibility ^nn+nom+++=incompatibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
other ^ap++++=other
respectable ^jj+atrb+++=respectable
falsehood ^nn+nom+++=falsehood
available ^jj++++=available
to ^in++++=to
a ^at++++=a
brother ^nn++++=brother
in ^in++++=in
distress ^nns+nom+++=distress.
. ^zz++++=EXTRAWORD
John ^np++++=John
listened ^vbd+++xvbn+=listened
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
impatience ^nn+nom+++=impatience.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
dislike ^vb++++=dislike
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
fear ^vb++++=fear
for ^in++++=for
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
what ^wdt+who+++=what
ground ^nn++++=ground?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
answer ^vb++++=answer
without ^in++++=without
betraying ^xvbg+++xvbg+=betraying
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
none ^rb+cnj+++=none,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="Henry,
henry ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
affection ^nn+nom+++=affection
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
officious ^jj++++=officious."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
parted ^vbd+++xvbn+=parted
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
first ^od++++=first
quarrel ^vb++++=quarrel
and ^cc++++=and
our ^pp$+pp1+++=our
last ^ap++++=last.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
following ^jj+atrb++xvbg+=following
night ^nn++++=night,
, ^zz++++=EXTRAWORD
shortly ^rb+tm+++=shortly
after ^in++++=after
eleven ^cd++++=eleven,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
alone ^rb++++=alone
in ^in++++=in
my ^pp$+pp1+++=my
rooms ^nns++++=rooms
attempting ^vb+++xvbg+=attempting
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
struck ^vbd+++xvbn+=struck
intermittently ^rb++++=intermittently
at ^in++++=at
the ^ati++++=the
window ^nn++++=window;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
street ^nn++++=street
below ^rb++++=below,
, ^zz++++=EXTRAWORD
wheels ^nns++++=wheels
passed ^vbd+++xvbn+=passed
with ^in++++=with
a ^at++++=a
muffled ^jj+atrb+++=muffled
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
For ^in++++=For
perhaps ^rb++++=perhaps
an ^at++++=an
hour ^nn++++=hour
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
oppressed ^jj++++=oppressed
by ^in++++=by
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
impending ^jj+atrb+++=impending
calamity ^nn+nom+++=calamity
no ^at++++=no
definite ^jj+atrb+++=definite
apprehension ^nn++++=apprehension,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
pressure ^nn++++=pressure
upon ^in++++=upon
the ^ati++++=the
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
vast ^jj+atrb+++=vast
event ^nn++++=event
approached ^vbd+++xvbn+=approached
from ^in++++=from
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
John ^np++++=John
cry ^nn++++=cry
my ^pp$+pp1+++=my
name ^nn++++=name.
. ^zz++++=EXTRAWORD
" ^zz++++="Henry!"
henry ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
close ^jj+pred+++=close,
, ^zz++++=EXTRAWORD
distinct ^jj++++=distinct
and ^cc+phrs+++=and
charged ^jj+++xvbn+=charged
with ^in++++=with
mortal ^jj+atrb+++=mortal
agony ^nn++++=agony.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sprang ^vbd+++xvbnx+=sprang
up ^rp++++=up,
, ^zz++++=EXTRAWORD
overturning ^jj+++xvbg+=overturning
the ^ati++++=the
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
searched ^vbd+++xvbn+=searched
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
roused ^j+++xvbn+=roused
from ^in++++=from
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
room ^nn++++=room
ashamed ^jj++++=ashamed
of ^in++++=of
my ^pp$+pp1+++=my
agitation ^nn+nom+++=agitation;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
relighted ^vprf+++xvbnx+=relighted
the ^ati++++=the
lamp ^nn++++=lamp
the ^ati++++=the
cry ^nn++++=cry
came ^vbd+++xvbn+=came
again ^rb+tm+++=again:
: ^zz++++=EXTRAWORD
" ^zz++++="Henry
henry ^np++++=EXTRAWORD
help ^nn++++=help
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cut ^vbd+++xvbn+=cut
through ^in++++=through
thought ^nn+++xvbn+=thought
as ^ql++++=as
a ^at++++=a
taut ^jj+atrb+++=taut
cord ^nn++++=cord
is ^vbz+bez+aux++=is
parted ^vpsv++by+xvbnx+=parted
by ^in++++=by
steel ^nn++++=steel.
. ^zz++++=EXTRAWORD
With ^in++++=With
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
not ^xnot++not++=not
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
irresistible ^jj+atrb+++=irresistible
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seized ^vbd+++xvbnx+=seized
my ^pp$+pp1+++=my
coat ^nn++++=coat
and ^cc++++=and
ran ^vpsv++agls+xvbn+=ran
into ^in+ppvb+++=into
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
my ^pp$+pp1+++=my
course ^nn++++=course
through ^in++++=through
the ^ati++++=the
city ^nn++++=city
I ^pp1a+pp1+++=I
retain ^vb++++=retain
only ^rb+down+++=only
broken ^xvbn+++xvbn+=broken
impressions ^nns++++=impressions:
: ^zz++++=EXTRAWORD
wet ^jj+atrb+++=wet
pavements ^nns+nom+++=pavements
flashing ^vwbg+++xvbg+=flashing
beneath ^in+pl+++=beneath
lamps ^nns++++=lamps;
; ^zz++++=EXTRAWORD
the ^ati++++=the
startled ^jj+atrb++xvbn+=startled
face ^nn++++=face
of ^in++++=of
a ^at++++=a
cabman ^jj++++=cabman
whom ^whp+wpor+++=whom
I ^pp1a+pp1+++=I
thrust ^vbd+++xvbnx+=thrust
aside ^rp++++=aside;
; ^zz++++=EXTRAWORD
a ^at++++=a
steep ^jj+atrb+++=steep
street ^nn++++=street
rising ^vwbg+++xvbg+=rising
into ^in++++=into
fog ^nn++++=fog;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
own ^ap++++=own
breath ^nn++++=breath
loud ^jj++++=loud
in ^in++++=in
my ^pp$+pp1+++=my
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
consciously ^rb++++=consciously
choose ^vb++++=choose
the ^ati++++=the
Margovan ^np+nom++??+=Margovan
house ^nn++++=house,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived
there ^rn+pl+++=there
as ^cs+sub+++=as
a ^at++++=a
sleepwalker ^nn++++=sleepwalker
arrives ^vbz++++=arrives
at ^in++++=at
a ^at++++=a
precipice ^nn++++=precipice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
front ^jjb+atrb+++=front
door ^nn++++=door
stood ^vbd+++xvbn+=stood
open ^jj++++=open.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
hall ^nn++++=hall
a ^at++++=a
servant ^nn+nom+++=servant
crouched ^vbd+++xvbn+=crouched
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
incapable ^jj++++=incapable
of ^in++++=of
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Margovan ^np+nom+++=Margovan
was ^vbd+bedz+aux++=was
calling ^nvbg+++xvbg+=calling
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter's
's ^$++++=EXTRAWORD
name ^nn++++=name
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
already ^rb++++=already
bereaved ^jj++++=bereaved.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ascended ^vbd+++xvbnx+=ascended
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
Julia ^np++++=Julia
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
a ^at++++=a
couch ^nn++++=couch
in ^in++++=in
her ^pp$+pp3+++=her
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
white ^nn++++=white.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
bottle ^nn++++=bottle
stood ^vbd+++xvbn+=stood
uncorked ^vbd+++xvbn+=uncorked
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+aux++=was
composed ^vpsv++agls+xvbnx+=composed,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
disdainful ^jj++++=disdainful;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
contracted ^jj+atrb++xvbn+=contracted
fingers ^nns+nom+++=fingers
of ^in++++=of
one ^cd1++++=one
hand ^nn++++=hand
declared ^vbd+vpub++xvbn+=declared
the ^ati++++=the
violence ^nn+nom+++=violence
of ^in++++=of
her ^pp$+pp3+++=her
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Margovan ^np+nom+++=Margovan
knelt ^vbd+++xvbn+=knelt
near ^in+pl+++=near
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
with ^in++++=with
his ^pp$+pp3+++=his
fist ^nn++++=fist.
. ^zz++++=EXTRAWORD
John ^np++++=John
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
adjoining ^jj+atrb++xvbg+=adjoining
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
his ^pp$+pp3+++=his
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
A ^at++++=A
pistol ^nn++++=pistol
lay ^vbd+++xvbn+=lay
between ^in++++=between
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blood ^nn++++=blood
darkened ^vbd+++xvbn+=darkened
his ^pp$+pp3+++=his
shirt ^nn++++=shirt.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lifted ^vbd+++xvbnx+=lifted
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
terrible ^jj+atrb+++=terrible
moment ^nn++++=moment
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
sensation ^nn+nom+++=sensation
of ^in++++=of
seeing ^xvbg+++xvbg+=seeing
myself ^ppl+pp1+++=myself
murdered ^vbd+++xvbn+=murdered.
. ^zz++++=EXTRAWORD
" ^zz++++="Henry,"
henry ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knelt ^vbd+++xvbnx+=knelt
and ^cc+phrs+++=and
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
in ^in++++=in
my ^pp$+pp1+++=my
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
lips ^nns++++=lips
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bent ^vbd+++xvbnx+=bent
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
anything ^pn++++=anything
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
beneath ^in+pl+++=beneath
the ^ati++++=the
confused ^jj+atrb++xvbn+=confused
cries ^nns++++=cries
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
room ^nn++++=room.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
the ^ati++++=the
doorway ^nn++++=doorway
through ^in++++=through
which ^whp+rel+pied++=which
Julia ^np++++=Julia
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned
to ^in++++=to
mine ^pp$$++++=mine
with ^in++++=with
an ^at++++=an
expression ^nn++++=expression
neither ^rb++neg++=neither
of ^in++++=of
accusation ^nn+nom+++=accusation
nor ^cc++neg++=nor
forgiveness ^nns+nom+++=forgiveness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
immense ^jj+atrb+++=immense
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
so ^ql++++=so.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
followed ^vbd+vprv++xvbn+=followed
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
wholly ^rb++++=wholly
within ^in++++=within
my ^pp$+pp1+++=my
recollection ^nn+nom+++=recollection.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
uttered ^vbd+++xvbnx+=uttered
a ^at++++=a
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell
across ^in+pl+++=across
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
removed ^vpsv++agls+xvbnx+=removed
without ^in++++=without
force ^nn++++=force.
. ^zz++++=EXTRAWORD
Fever ^nn++++=Fever
succeeded ^vbd+++xvbn+=succeeded.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
weeks ^nns++++=weeks
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
between ^in++++=between
life ^nn++++=life
and ^cc++++=and
death ^nn++++=death,
, ^zz++++=EXTRAWORD
at ^rb++++=at
times ^nns++++=times
insisting ^vb+vpub++xvbg+=insisting
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
John ^np++++=John
and ^cc++++=and
demanding ^vbg+vsua++xvbg+=demanding
Julia ^np++++=Julia;
