# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Caught ^xvbn+++xvbn+=CAUGHT
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
grey ^np++++=grey
and ^cc++++=and
thin ^jj++++=thin.
. ^zz++++=EXTRAWORD
A ^at++++=A
short ^jj+atrb+++=short
black ^jj+atrb+++=black
beard ^nn++++=beard
covered ^vbd+++xvbn+=covered
the ^ati++++=the
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv+tht0+xvbnx+=held
his ^pp$+pp3+++=his
head ^jjb++++=head
strangely ^rb+cnj+++=strangely,
, ^zz++++=EXTRAWORD
always ^rb++++=always
presenting ^vbg+++xvbg+=presenting
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
cheek ^nn++++=cheek
while ^cs+sub+++=while
the ^ati++++=the
right ^nn++++=right
remained ^vbd+++xvbn+=remained
in ^in++++=in
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
come ^vb++++=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="from
from ^in++++=EXTRAWORD
a ^at++++=a
well ^rb++++=well-wisher."
- ^zz++++=EXTRAWORD
wisher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
well ^rb++++=well-wisher."
- ^zz++++=EXTRAWORD
wisher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mine?"
mine ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yours,
yours ^pp$$++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
James ^np++++=James
Blake ^np++++=Blake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
Hunger ^nn++++=Hunger,
, ^zz++++=EXTRAWORD
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappointment ^nn+nom+++=disappointment
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
irritable ^jj++++=irritable.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
well ^rb++++=well-wishers
- ^zz++++=EXTRAWORD
wishers ^nns+nom+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
commonly ^rb++++=commonly
send ^vb++++=send
messengers ^nns+nom+++=messengers.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
them ^pp3o+pp3+++=them
do ^vb+do+aux++=do
not ^xnot++not++=not
even ^rb++++=even
send ^vb++++=send
answers ^nns+nom+++=answers
to ^in++++=to
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
does ^vbz+doz+aux++=does
this ^dt+dem+++=this
anonymous ^jj+atrb+++=anonymous
friend ^nn++++=friend
wish ^nn++++=wish?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
relieve ^vbi++++=relieve
your ^pp$+pp2+++=your
present ^jj+atrb+++=present
embarrassment ^nn+nom+++=embarrassment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger
stooped ^vbd+++xvbn+=stooped
and ^cc+phrs+++=and
opened ^vbd+++xvbn+=opened
the ^ati++++=the
black ^jj+atrb+++=black
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
watched ^vbd+++xvbn+=watched.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
strange ^jj+atrb+++=strange
things ^nns++++=things
drawn ^vwbn+++xvbn+=drawn
from ^in++++=from
black ^jj+atrb+++=black
bags ^nns++++=bags
in ^in++++=in
police ^nns++++=police
courts ^nns++++=courts
counterfeit ^jj+atrb++??+=counterfeit
plates ^nns++++=plates,
, ^zz++++=EXTRAWORD
burglars ^nns+++??+=burglars'
' ^zz++++=EXTRAWORD
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
jewellery ^nn+nom+++=jewellery,
, ^zz++++=EXTRAWORD
revolvers ^nns+nom+++=revolvers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^at++++=a
human ^jj+atrb+++=human
ear ^nn++++=ear
preserved ^vwbn+++xvbn+=preserved
in ^in++++=in
a ^at++++=a
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
therefore ^rb+cnj+splt++=therefore
prepared ^vpsv++agls+xvbnx+=prepared
for ^in++++=for
almost ^rb+hdg+++=almost
anything ^pn++++=anything
except ^in++++=except
what ^wdt+who+++=what
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
lifted ^vbd+++xvbn+=lifted
out ^rp+pl+++=out
a ^at++++=a
packet ^nn++++=packet
of ^in++++=of
banknotes ^nns++++=banknotes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
another ^dt++++=another.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
another ^dt++++=another.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
new ^jj+atrb+++=new
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
crisp ^jj++++=crisp,
, ^zz++++=EXTRAWORD
square ^nn++++=square,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bound ^vpsv++agls+xvbn+=bound
in ^in++++=in
paper ^nn++++=paper
bands ^nns++++=bands.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
placed ^vbd+++xvbnx+=placed
them ^pp3o+pp3+++=them
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
a ^at++++=a
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
orderly ^jj+atrb+++=orderly
pile ^nn++++=pile
beside ^in+pl+++=beside
Blake ^np++++=Blake's
's ^$++++=EXTRAWORD
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reporter ^nn+nom+++=reporter
stared ^vbd+++xvbn+=stared
at ^rb++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ten
ten ^cd++++=EXTRAWORD
thousand ^cd++++=thousand
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
second ^od++++=second
the ^ati++++=the
room ^nn++++=room
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
expand ^vbi++++=expand
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars!
! ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
had ^vb+hv+vrb++=had
the ^ati++++=the
splendour ^nn++++=splendour
of ^in++++=of
music ^nn++++=music.
. ^zz++++=EXTRAWORD
Rent ^nn++++=Rent,
, ^zz++++=EXTRAWORD
food ^nn++++=food,
, ^zz++++=EXTRAWORD
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
voyages ^nns+nom+++=voyages,
, ^zz++++=EXTRAWORD
books ^nns++++=books,
, ^zz++++=EXTRAWORD
leisure ^nn++++=leisure
all ^abn++++=all
the ^ati++++=the
troubles ^nns++++=troubles
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
pressed ^vprf+++xvbnx+=pressed
upon ^in++++=upon
him ^pp3o+pp3+++=him
melted ^vbd+++xvbn+=melted
like ^in++++=like
bubbles ^nns++++=bubbles
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars
would ^md+prd+++=would
carry ^vb++++=carry
him ^pp3o+pp3+++=him
back ^jjb++++=back
to ^in++++=to
England ^np++++=England;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
provide ^vb+vsua+++=provide
a ^at++++=a
room ^nn++++=room
with ^in++++=with
two ^cd++++=two
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
purchase ^vb++++=purchase
dinners ^nns+nom+++=dinners
so ^rb+emph+++=so
plentiful ^jj++++=plentiful
that ^cs+sub+++=that
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
leave ^vb++++=leave
food ^nn++++=food
upon ^in++++=upon
his ^pp$+pp3+++=his
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
allow ^vb++++=allow
him ^pp3o+pp3+++=him
to ^to++++=to
write ^vbi++++=write
masterpieces ^nns++++=masterpieces
without ^in++++=without
waiting ^xvbg+++xvbg+=waiting
for ^in++++=for
editors ^nns++++=editors
to ^to++++=to
accept ^vbi+vprv+++=accept
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
habits ^nns++++=habits
of ^in++++=of
the ^ati++++=the
police ^nns++++=police
court ^nn++++=court
reasserted ^vbd+++xvbn+=reasserted
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
touched ^vbd+++xvbnx+=touched
no ^at++++=no
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
say ^vb+vpub+tht0++=say
this ^dt+dem+++=this
money ^nn++++=money
is ^vbz+bez+vrb++=is
for ^in++++=for
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
James ^np++++=James
Blake ^np++++=Blake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
whom ^whp+rel+pied++=whom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
well ^rb++++=well-wisher."
- ^zz++++=EXTRAWORD
wisher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf++tht0+xvbnx+=heard
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
his ^pp$+pp3+++=his
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
not ^xnot++not++=not
permitted ^vbd+++xvbn+=permitted
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
should ^md+nec+++=should
anybody ^pn++++=anybody
give ^vb++++=give
me ^pp1o+pp1+++=me
ten ^cd++++=ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger's
's ^$++++=EXTRAWORD
left ^vpsv++agls+xvbnx+=left
shoulder ^nn+nom+++=shoulder
moved ^vbd+++xvbn+=moved
slightly ^rb+down+++=slightly.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
concern ^nn++++=concern
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
concerns ^nns++++=concerns
me ^pp1o+pp1+++=me
very ^ql+amp+++=very
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
some ^dti++++=some
condition ^nn+nom+++=condition?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="None."
none ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
work ^nn++++=work
expected ^vwbn+vprv++xvbn+=expected?
? ^zz++++=EXTRAWORD
No ^at++++=No
papers ^nns++++=papers
to ^to++++=to
be ^vbi+vbi+aux++=be
signed ^vpsv++agls+xvbnx+=signed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
paper ^nn++++=paper
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
A ^at++++=A
receipt ^nn++++=receipt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!"
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
single ^jj+atrb+++=single
syllable ^nn++++=syllable
sounded ^vbd+++xvbn+=sounded
louder ^jjr++++=louder
than ^in++++=than
Blake ^np++++=Blake
intended ^vwbn+vsua++xvbn+=intended.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
instantly ^rb+tm+++=instantly
lowered ^jj+++xvbn+=lowered
them ^pp3o+pp3+++=them
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
kind ^rb++++=kind
of ^rb"++++=of
receipt ^nn++++=receipt?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
simple ^jj+atrb+++=simple
acknowledgement ^nn+nom+++=acknowledgement
that ^tht+vcmp+obj++=that
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
ten ^cd++++=ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
whom ^whp+rel+pied++=whom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
acting ^vbg+++xvbg+=acting
on ^in++++=on
behalf ^nn++++=behalf
of ^in++++=of
a ^at++++=a
well ^rb++++=well-wisher."
- ^zz++++=EXTRAWORD
wisher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake
pushed ^vwbn+++xvbn+=pushed
back ^jjb++++=back
his ^pp$+pp3+++=his
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
notes ^nns++++=notes
gave ^vbd+++xvbn+=gave
a ^at++++=a
faint ^jj+atrb+++=faint
crackle ^nn+++??+=crackle,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
whispering ^nvbg+++xvbg+=whispering
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
that ^dt+dem+++=that
reason ^nn++++=reason
more ^rbr++++=more
suspicious ^jj++++=suspicious.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
reported ^vprf+++xvbnx+=reported
too ^ql++++=too
many ^ap++++=many
cases ^nns++++=cases
involving ^vwbg+++xvbg+=involving
unexpected ^jj+atrb+++=unexpected
inheritances ^nns+nom++??+=inheritances,
, ^zz++++=EXTRAWORD
mysterious ^jj+atrb+++=mysterious
partners ^nns+nom+++=partners,
, ^zz++++=EXTRAWORD
green ^jj++++=green-goods
- ^zz++++=EXTRAWORD
goods ^nns++++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
charitable ^jj+atrb+++=charitable
gentlemen ^nns++++=gentlemen
who ^whp+rel+subj++=who
required ^vbd+++xvbn+=required
merely ^rb+down+++=merely
a ^at++++=a
signature ^nn++++=signature.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars
did ^vbd+dod+aux++=did
not ^xnot++not++=not
walk ^vb++++=walk
unattended ^jj++++=unattended
into ^in++++=into
third ^nn++++=third
floor ^nn++++=floor
back ^jjb+atrb+++=back
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
money ^nn++++=money
sought ^vbd+++xvbn+=sought
out ^rp+pl+++=out
poverty ^nn++++=poverty
after ^in++++=after
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
usually ^rb+down+++=usually
brought ^vbd+++xvbn+=brought
a ^at++++=a
policeman ^nn+nom+++=policeman
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
bills ^nns++++=bills
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
decline ^nn++++=decline
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
decline ^vb++++=decline
to ^to+vcmp+++=to
receive ^vbi++++=receive
them ^pp3o+pp3+++=them
in ^in++++=in
this ^dt+dem+++=this
fashion ^nn++++=fashion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
aware ^jj+pred+++=aware
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
owe ^vb++++=owe
rent ^nn++++=rent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake's
's ^$++++=EXTRAWORD
suspicion ^nn++++=suspicion
sharpened ^vbd+++xvbn+=sharpened.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
inquiries ^nns++++=inquiries."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
sent ^vwbn+++xvbn+=sent
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
well ^rb++++=well-wisher."
- ^zz++++=EXTRAWORD
wisher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
the ^ati++++=the
phrase ^nn++++=phrase!
! ^zz++++=EXTRAWORD
Softly ^rb++++=Softly
spoken ^jj+++xvbn+=spoken,
, ^zz++++=EXTRAWORD
perfectly ^rb+amp+++=perfectly
controlled ^jj+++xvbn+=controlled,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
sound ^vbi++++=sound
like ^in++++=like
a ^at++++=a
threat ^nn++++=threat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
visitor ^nn++++=visitor
drew ^vbd+++xvbn+=drew
a ^at++++=a
folded ^jj+atrb++xvbn+=folded
paper ^nn++++=paper
from ^in++++=from
his ^pp$+pp3+++=his
inner ^jjb+atrb+++=inner
pocket ^nn++++=pocket
and ^cc++++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
beside ^in+pl+++=beside
the ^ati++++=the
notes ^nns++++=notes.
. ^zz++++=EXTRAWORD
" ^zz++++="Read
read ^vb+vprv++xvbn+=EXTRAWORD
the ^ati++++=the
receipt ^nn++++=receipt.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
find ^vb+vprv+++=find
nothing ^pn++++=nothing
objectionable ^jj++++=objectionable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake
took ^vbd+++xvbn+=took
the ^ati++++=the
paper ^nn++++=paper
by ^in++++=by
one ^cd1++++=one
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
contained ^vbd+++xvbn+=contained
only ^rb+down+++=only
two ^cd++++=two
lines ^nns++++=lines:
: ^zz++++=EXTRAWORD
> ^zz++++=>
Received ^vwbn+++xvbn+=Received
from ^in++++=from
an ^at++++=an
anonymous ^jj+atrb+++=anonymous
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
through ^in++++=through
his ^pp$+pp3+++=his
representative ^nn++++=representative,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
ten ^cd++++=ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
A ^at++++=A
space ^nn++++=space
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
for ^in++++=for
his ^pp$+pp3+++=his
signature ^nn++++=signature.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
proves ^vbz+vprv+++=proves
nothing ^pn++++=nothing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
proves ^vbz+vprv+++=proves
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
received ^vbd+++xvbn+=received
the ^ati++++=the
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Precisely.
precisely ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
perhaps ^rb++++=perhaps
tomorrow ^nr+tm+++=to-morrow
the ^ati++++=the
money ^nn++++=money
will ^md+prd+++=will
be ^vb+be+aux++=be
declared ^vpsv++agls+xvbnx+=declared
stolen ^vbd+++xvbn+=stolen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
smiled ^vbd+++xvbn+=smiled
without ^in++++=without
showing ^xvbg+++xvbg+=showing
his ^pp$+pp3+++=his
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
cautious ^jj+pred+++=cautious."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
earn ^vb++++=earn
my ^pp$+pp1+++=my
living ^nvbg+++xvbg+=living
by ^in++++=by
observing ^xvbg+++xvbg+=observing
what ^wdt+who+++=what
happens ^vbz+vsua+++=happens
to ^to+vcmp+++=to
men ^vb++++=men
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
summon ^vb++++=summon
a ^at++++=a
witness ^nns+nom+++=witness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
suggestion ^nn+nom+++=suggestion
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
so ^pn++++=so
readily ^rb++++=readily
that ^cs+sub+++=that
Blake ^np++++=Blake
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
witness ^nns+nom+++=witness?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly.
certainly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
see ^vb+vprv+tht0++=see
the ^ati++++=the
money ^nn++++=money
paid ^vbd+++xvbn+=paid.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
receipt ^nn++++=receipt
and ^cc++++=and
watch ^vb++++=watch
you ^pp2+pp2+++=you
sign ^nn++++=sign.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
could ^md+pos+++=could
be ^vb+be+vrb++=be
safer ^jjr+pred+++=safer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
reason ^nn++++=reason
in ^in++++=in
this ^dt+dem+++=this
too ^ql++++=too
much ^ap++++=much
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
but ^cc++++=but
a ^at++++=a
witness ^nns+nom+++=witness
would ^md+prd+++=would
at ^rb++++=at
