Skeleton ^nn++++=Skeleton
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
heard ^vbd+vprv+tht0+xvbnx+=heard
it ^pp3+it+++=it
crawling ^jj+++xvbg+=crawling
over ^in++++=over
the ^ati++++=the
stones ^nns++++=stones."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
answered ^vbd+vpub+tht0+xvbn+=answered
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Hank ^np++++=Hank
replenished ^vbd+++xvbn+=replenished
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
remained ^vbd+++xvbn+=remained
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
To ^to++++=To
divert ^vbi++++=divert
Rushton ^np++++=Rushton,
, ^zz++++=EXTRAWORD
Morris ^np++++=Morris
told ^vbd+vpub++xvbn+=told
a ^at++++=a
prodigious ^jj++++=prodigious
and ^cc++++=and
wholly ^rb++++=wholly
irrelevant ^jj+atrb+++=irrelevant
tale ^nn++++=tale
concerning ^in++++=concerning
a ^at++++=a
moose ^nn+++??+=moose
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
chased ^vprf+++xvbnx+=chased
him ^pp3o+pp3+++=him
into ^in++++=into
a ^at++++=a
railway ^nn++++=railway
cutting ^vwbg+++xvbg+=cutting
in ^in++++=in
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz
followed ^vbd+vprv++xvbn+=followed
with ^in++++=with
reminiscences ^nns+nom+++=reminiscences
of ^in++++=of
a ^at++++=a
winter ^nn++++=winter
at ^in++++=at
Lac ^np+++??+=Lac
des ^&fw++++=des
Loups ^np+++??+=Loups,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Hank ^np++++=Hank
disputed ^vbd+++xvbn+=disputed
every ^at++++=every
important ^jj+atrb+++=important
detail ^nn++++=detail.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
intention ^nn+nom+++=intention
was ^vbd+bedz+vrb++=was
merciful ^jj+pred+++=merciful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
less ^ql++++=less
Rushton ^np++++=Rushton
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
likely ^jj++++=likely
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
say ^vbi+vpub+++=say
what ^wdt+who+++=what
could ^md+pos+++=could
never ^rb++++=never
be ^vb+be+aux++=be
withdrawn ^vpsv++agls+xvbnx+=withdrawn.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
silence ^nn+nom+++=silence
tortured ^vbd+++xvbn+=tortured
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
and ^cc+phrs+++=and
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
into ^in+ppvb+++=into
their ^pp$+pp3+++=their
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
cry ^nn++++=cry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
proves ^vbz+vprv+tht0++=proves
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
quick ^jj+pred+++=quick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Or ^cc++++=Or:
: ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
man ^nn++++=man
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
blamed ^vpsv++agls+xvbnx+=blamed
for ^in++++=for
holding ^xvbg+++xvbg+=holding
to ^in++++=to
safety ^nn++++=safety."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Or ^cc++++=Or,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
horribly ^rb++++=horribly:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
island ^nn++++=island,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
Professor ^npt++++=Professor
Willoughby ^np+++??+=Willoughby
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
heard ^vbd+vprv+tht0+xvbn+=heard
him ^pp3o+pp3+++=him
call ^vb++++=call
your ^pp$+pp2+++=your
name ^nn++++=name,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
observed ^vbd+vprv++xvbnx+=observed.
. ^zz++++=EXTRAWORD
Rushton ^np++++=Rushton
turned ^vbd+++xvbn+=turned
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
professor ^nn++++=professor's
's ^$++++=EXTRAWORD
tone ^nn++++=tone
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
absent ^jj++++=absent-minded;
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
effect ^nn++++=effect
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
rifle ^nn++++=rifle
had ^vbd+hvd+aux++=had
cracked ^vprf+++xvbnx+=cracked
in ^in++++=in
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
no ^at++++=no
such ^abl++++=such
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="While
while ^cs+sub+++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Willoughby ^np++++=Willoughby
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
the ^ati++++=the
broth ^nn++++=broth,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
calling ^nvbg+++xvbg+=calling
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
water. ^nn+++??+=water.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
meant ^vbd+vprv+tht0+xvbnx+=meant
I ^pp1a+pp1+++=I
dreamed ^vbd+vprv+tht0+xvbnx+=dreamed
it ^pp3+it+++=it
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
imagined ^vbd+++xvbnx+=imagined
him ^pp3o+pp3+++=him
calling ^nvbg+++xvbg+=calling.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
hears ^vbz+vprv+++=hears
many ^ap++++=many
things ^nns++++=things
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
exhausted ^vpsv++agls+xvbnx+=exhausted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly,"
certainly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
professor ^nn++++=professor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
the ^ati++++=the
pipe ^nn++++=pipe
back ^jjb++++=back
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
from ^in++++=from
that ^dt+dem+++=that
instant ^nn+nom+++=instant
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
pretence ^nn+nom+++=pretence
for ^in++++=for
pretence ^nn+nom+++=pretence
we ^pp1a+pp1+++=we
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it
to ^to++++=to
be ^vbi+vbi+aux++=be
had ^vb+hv+vrb++=had
a ^at++++=a
visible ^jj+atrb+++=visible
fracture ^nn++++=fracture
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
glance ^nn++++=glance
went ^vbd+++xvbn+=went
furtively ^rb++++=furtively
from ^in++++=from
the ^ati++++=the
professor ^nn++++=professor
to ^in++++=to
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
repeated ^vbd+++xvbnx+=repeated
twice ^rb++++=twice
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
no ^at++++=no
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
feverish ^jj+atrb+++=feverish
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
remarked ^nn+++xvbn+=remarked
that ^tht+ncmp+++=that
perhaps ^rb++++=perhaps
Jake ^np++++=Jake
had ^vbd+hvd+aux++=had
cried ^vprf+++xvbnx+=cried
after ^in++++=after
all ^abn++++=all;
; ^zz++++=EXTRAWORD
the ^ati++++=the
waves ^nns++++=waves
made ^vbd+++xvbn+=made
such ^abl++++=such
a ^at++++=a
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
memory ^nn++++=memory
was ^vbd+bedz+vrb++=was
treacherous ^jj+pred+++=treacherous.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
not ^xnot++not++=not
natural ^jj++++=natural
that ^tht+jcmp+++=that
memory ^nn++++=memory
should ^md+nec+++=should
fail ^vb++++=fail
after ^in++++=after
such ^abl++++=such
an ^at++++=an
experience ^nn+nom+++=experience?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
we ^pp1a+pp1+++=we
expect ^vb+vprv+++=expect
a ^at++++=a
drowning ^jj+atrb++xvbg+=drowning
man ^nn++++=man
to ^to++++=to
keep ^vbi++++=keep
notes ^nns++++=notes?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
broke ^vbd+++xvbn+=broke
up ^rp++++=up
the ^ati++++=the
circle ^nn++++=circle
soon ^rb+tm+++=soon
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Willoughby ^np++++=Willoughby
went ^vbd+++xvbn+=went
into ^in++++=into
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
professor ^npt++++=professor
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
Morris ^np++++=Morris
took ^vbd+++xvbn+=took
the ^ati++++=the
bunk ^nn++++=bunk
by ^in++++=by
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
Hank ^np++++=Hank
and ^cc++++=and
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz
stretched ^vwbn+++xvbn+=stretched
themselves ^ppls+pp3+++=themselves
near ^in+pl+++=near
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
in ^in++++=in
the ^ati++++=the
loft ^nn++++=loft
overhead ^jjb++++=overhead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
entirely ^rb+amp+++=entirely.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
rain ^nn++++=rain
tapped ^vwbn+++xvbn+=tapped
upon ^in++++=upon
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
a ^at++++=a
crack ^nn++++=crack
between ^in++++=between
the ^ati++++=the
logs ^nns++++=logs
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
one ^cd1++++=one
star ^nn++++=star
suspended ^vwbn+++xvbn+=suspended
above ^jjb++++=above
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
For ^in++++=For
perhaps ^rb++++=perhaps
two ^cd++++=two
hours ^nns++++=hours
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
sound ^nn++++=sound
except ^in++++=except
the ^ati++++=the
breathing ^jj+++xvbg+=breathing
of ^in++++=of
the ^ati++++=the
sleepers ^nns+nom+++=sleepers.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Rushton ^np++++=Rushton
began ^vbd+++xvbn+=began
to ^to++++=to
talk ^vbi++++=talk.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
the ^ati++++=the
words ^nns++++=words
were ^vbd+bed+vrb++=were
indistinguishable ^jj+pred+++=indistinguishable
a ^at++++=a
muttering ^jj+atrb++xvbg+=muttering
burden ^nn++++=burden
carried ^vbd+++xvbn+=carried
beneath ^in+pl+++=beneath
the ^ati++++=the
crackle ^nn+++??+=crackle
of ^in++++=of
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
his ^pp$+pp3+++=his
voice ^nn++++=voice
became ^vbd+++xvbn+=became
louder ^jjr++++=louder.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
go ^vb++++=go,
, ^zz++++=EXTRAWORD
damn ^vb++++=damn
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
roll ^vb++++=roll
us ^pp1o+pp1+++=us
both ^abx++++=both
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
cry ^nn++++=cry
so ^ql+emph+++=so
violent ^jj++++=violent
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
struck ^vbd+++xvbnx+=struck
my ^pp$+pp1+++=my
head ^nn++++=head
against ^in++++=against
the ^ati++++=the
rafters ^nns+nom+++=rafters
in ^in++++=in
rising ^xvbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
away ^rb+phrv+++=away
from ^in"++++=from
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
hit ^vbi++++=hit
you ^pp2+pp2+++=you
again ^rb+tm+++=again!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Below ^rb++++=Below,
, ^zz++++=EXTRAWORD
someone ^pn++++=someone
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
Hank ^np++++=Hank
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
" ^zz++++="Lie
lie ^vb++++=EXTRAWORD
still ^jj+pred+++=still."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rushton ^np++++=Rushton
groaned ^vbd+++xvbn+=groaned.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
feet ^nns++++=feet
beat ^vbd+++xvbn+=beat
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
pleading ^nvbg+++xvbg+=pleading
with ^in++++=with
someone ^pn++++=someone
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
that ^tht+rel+subj++=that
scarcely ^rb+down+++=scarcely
resembled ^vbd+++xvbn+=resembled
his ^pp$+pp3+++=his
waking ^nvbg+++xvbg+=waking
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
forced ^vbd+++xvbn+=forced
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
Jake ^np++++=Jake
Jake ^np++++=Jake,
, ^zz++++=EXTRAWORD
take ^vb++++=take
your ^pp$+pp2+++=your
hands ^nns++++=hands
off ^in+strn+++=off!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
up ^rp++++=up
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water'll
'll ^md+prd+++0=EXTRAWORD
hide ^vb++++=hide
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Deep ^jj+atrb+++=Deep
water ^nn++++=water
deep ^jj+atrb+++=deep
" ^zz++++="
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz
stirred ^vbd+++xvbn+=stirred
the ^ati++++=the
embers ^nns++++=embers
noisily ^rb+cnj+++=noisily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rushton ^np++++=Rushton
awoke ^vbd+++xvbn+=awoke.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
spoke ^vbd+++xvbn+=spoke?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="Nobody,"
nobody ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hank ^np++++=Hank
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
heard ^vbd+vprv+tht0+xvbnx+=heard
somebody ^pn++++=somebody."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jest
jest ^rb++++=EXTRAWORD
me ^pp1o+pp1+++=me
puttin ^nn+++??+=puttin'
' ^zz++++=EXTRAWORD
wood ^nn++++=wood
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rushton ^np++++=Rushton
sat ^vbd+++xvbn+=sat
up ^rp++++=up
and ^cc++++=and
peered ^vbd+++xvbn+=peered
around ^rp++++=around.
. ^zz++++=EXTRAWORD
The ^ati++++=The
renewed ^jj+atrb++xvbn+=renewed
fire ^nn++++=fire
painted ^vbd+++xvbn+=painted
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face
crimson ^nn+++??+=crimson
and ^cc++++=and
left ^vbd+++xvbn+=left
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
dream ^nn++++=dream,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I
talk ^nn++++=talk?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
folks ^nns++++=folks
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc+phrs+++0=an'
then ^rn+tm+++=then."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Somethin'
somethin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
yer ^pp2+pp2+++=yer
ma ^npt++++=ma,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz
answered ^vbd+vpub++xvbn+=answered
promptly ^rb++++=promptly.
. ^zz++++=EXTRAWORD
Rushton ^np++++=Rushton
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
a ^at++++=a
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
obedient ^jj++++=obedient
little ^ap++++=little
laugh ^nn++++=laugh
and ^cc++++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
us ^pp1o+pp1+++=us
slept ^vbd+++xvbn+=slept
thereafter ^nn+nom+++=thereafter,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
we ^pp1a+pp1+++=we
maintained ^vbd+vpub++xvbn+=maintained
the ^ati++++=the
fiction ^nn+nom+++=fiction
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
light ^jj+atrb+++=light
Hank ^np++++=Hank
and ^cc++++=and
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
the ^ati++++=the
canoe ^nn+++??+=canoe.
. ^zz++++=EXTRAWORD
Rushton ^np++++=Rushton
had ^vbd+hvd+aux++=had
described ^vprf+++xvbnx+=described
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
abandoned ^vbd+++xvbnx+=abandoned
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
a ^at++++=a
gravel ^nn++++=gravel
point ^nn++++=point
three ^cd++++=three
miles ^nns++++=miles
west ^np+pl+++=west
of ^in++++=of
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
marked ^xvbn+++xvbn+=marked
by ^in++++=by
a ^at++++=a
blasted ^jj+atrb++xvbn+=blasted
pine ^nn++++=pine.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
well ^jj+pred+++=well
above ^jjb++++=above
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
partially ^rb+down+++=partially
concealed ^jj+++xvbn+=concealed
under ^in++++=under
alders ^nn++++=alders.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
stout ^jj++++=stout,
, ^zz++++=EXTRAWORD
green ^jj++++=green-painted
- ^zz++++=EXTRAWORD
painted ^xvbn+++xvbn+=EXTRAWORD
craft ^nns++++=craft,
, ^zz++++=EXTRAWORD
scratched ^xvbn+++xvbn+=scratched
and ^cc+phrs+++=and
bruised ^xvbn+++xvbn+=bruised
but ^cc++++=but
by ^in++++=by
no ^at++++=no
means ^nn++++=means
wrecked ^vbd+++xvbn+=wrecked.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thwart ^vb++++=thwart
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
split ^vpsv++agls+xvbnx+=split,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
two ^cd++++=two
jagged ^jj+atrb+++=jagged
apertures ^nns++++=apertures
in ^in++++=in
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
Hank ^np++++=Hank
turned ^vbd+++xvbn+=turned
the ^ati++++=the
canoe ^nn+++??+=canoe
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
examined ^vbd+++xvbnx+=examined
the ^ati++++=the
holes ^nns++++=holes
without ^in++++=without
touching ^xvbg+++xvbg+=touching
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
knelt ^vbd+++xvbnx+=knelt
and ^cc+phrs+++=and
passed ^vbd+++xvbn+=passed
two ^cd++++=two
fingers ^nns+nom+++=fingers
through ^in++++=through
the ^ati++++=the
larger ^nn++++=larger.
. ^zz++++=EXTRAWORD
" ^zz++++="Queer,"
queer ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
perhaps ^rb++++=perhaps
three ^cd++++=three
inches ^nns++++=inches
across ^in+strn+++=across.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
