# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Who ^whp+rel+subj++=WHO
But ^cc+cls+++=But
think ^vb+vprv+++=think
of ^in++++=of
living ^xvbg+++xvbg+=living
as ^ql++++=as
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do!
! ^zz++++=EXTRAWORD
The ^ati++++=The
girls ^nns++++=girls
even ^rb++++=even
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Wightman
wightman ^jj++++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
honest ^jj+atrb+++=honest
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
failure ^nn++++=failure
paid ^vbd+++xvbn+=paid
his ^pp$+pp3+++=his
creditors ^nns++++=creditors
more ^ql++++=more
than ^cs+sub+++=than
most ^ql+emph+++=most
failures ^nns++++=failures
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offered ^vbd+++xvbnx+=offered
him ^pp3o+pp3+++=him
a ^at++++=a
place ^nn++++=place
in ^in++++=in
my ^pp$+pp1+++=my
counting ^nvbg+++xvbg+=counting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
already ^rb++splt++=already
engaged ^vprf+++xvbnx+=engaged
himself ^ppl+pp3+++=himself
elsewhere ^rb++++=elsewhere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
poor ^jj++++=poor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson,
, ^zz++++=EXTRAWORD
with ^in++++=with
ready ^jj+atrb+++=ready
commiseration ^nn+nom+++=commiseration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me
into ^in++++=into
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
poor ^jj++++=poor!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
them ^pp3o+pp3+++=them
before ^in++++=before;
; ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed
a ^at++++=a
less ^rbr++++=less
definite ^jj+atrb+++=definite
meaning ^nvbg+++xvbg+=meaning.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
evening ^nn++++=evening
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
the ^ati++++=the
northern ^jj+atrb+++=northern
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distance ^nn+nom+++=distance
was ^vbd+bedz+vrb++=was
greater ^jjr+pred+++=greater
than ^in++++=than
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fashionable ^jj+atrb+++=fashionable
squares ^nns++++=squares
gradually ^rb++++=gradually
gave ^vbd+++xvbn+=gave
place ^nn++++=place
to ^in++++=to
narrower ^jjr+atrb+++=narrower
streets ^nns++++=streets
and ^cc++++=and
humbler ^jjr+atrb+++=humbler
dwellings ^nns+nom+++=dwellings.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
house ^nn++++=house
I ^pp1a+pp1+++=I
sought ^vbd+++xvbnx+=sought
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
two ^cd++++=two-story
- ^zz++++=EXTRAWORD
story ^nn++++=EXTRAWORD
building ^vwbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
painted ^j+++xvbn+=painted
white ^np++++=white,
, ^zz++++=EXTRAWORD
with ^in++++=with
green ^jj+atrb+++=green
blinds ^nns++++=blinds.
. ^zz++++=EXTRAWORD
A ^at++++=A
narrow ^jj+atrb+++=narrow
garden ^nn++++=garden
lay ^vbd+++xvbn+=lay
before ^in++++=before
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
marble ^nn++++=marble
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
no ^at++++=no
gilded ^jj+atrb++xvbn+=gilded
ornaments ^nns+nom+++=ornaments,
, ^zz++++=EXTRAWORD
no ^at++++=no
costly ^jj+atrb+++=costly
curtains ^nns++++=curtains;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
path ^nn++++=path
was ^vbd+bedz+aux++=was
swept ^vpsv++agls+xvbnx+=swept,
, ^zz++++=EXTRAWORD
the ^ati++++=the
windows ^nns++++=windows
shone ^vbd+++xvbn+=shone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flowers ^nns+nom+++=flowers
bloomed ^vbd+++xvbn+=bloomed
in ^in++++=in
boxes ^nns++++=boxes
upon ^in++++=upon
the ^ati++++=the
sill ^nn++++=sill.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
woman ^nn++++=woman
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
recognize ^vb+vprv+++=recognize
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
child ^nn++++=child
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
came ^vbd+++xvbn+=came
smiling ^jj+++xvbg+=smiling
through ^in++++=through
the ^ati++++=the
maturer ^jjr+atrb+++=maturer
features ^nns++++=features.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
? ^zz++++=?"
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="Mother!
mother ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Father ^nn++++=Father!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
friend ^nn++++=friend."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another
moment ^nn++++=moment
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
the ^ati++++=the
whole ^jj+atrb+++=whole
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
welcome ^jj++++=welcome
had ^vb+hv+vrb++=had
in ^in++++=in
it ^pp3+it+++=it
no ^at++++=no
formality ^nn+nom+++=formality,
, ^zz++++=EXTRAWORD
no ^at++++=no
effort ^nn++++=effort.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Wightman ^np+nom+++=Wightman's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
scrupulously ^rb++++=scrupulously
neat ^jj++++=neat.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time
and ^cc++++=and
trial ^nn++++=trial
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
her ^pp$+pp3+++=her
countenance ^nn+nom+++=countenance;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
its ^pp$+it+++=its
expression ^nn++++=expression
was ^vbd+bedz+vrb++=was
peaceful ^jj+pred+++=peaceful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
voice ^nn++++=voice
retained ^vbd+++xvbn+=retained
the ^ati++++=the
gentle ^jj+atrb+++=gentle
music ^nn++++=music
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered.
. ^zz++++=EXTRAWORD
Wightman ^np+nom++??+=Wightman
looked ^vbd+++xvbn+=looked
older ^jjr++++=older
by ^in++++=by
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
eight ^cd++++=eight
years ^nns++++=years
of ^in++++=of
my ^pp$+pp1+++=my
absence ^nn+nom+++=absence.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
thin ^jj+pred+++=thin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
labor ^nn++++=labor
had ^vbd+hvd+aux++=had
bent ^vprf+++xvbnx+=bent
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
slightly ^rb+down+++=slightly;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eye ^nn++++=eye
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
hand ^nn++++=hand
met ^vbd+++xvbn+=met
mine ^pp$$++++=mine
with ^in++++=with
a ^at++++=a
cordial ^jj+atrb+++=cordial
pressure ^nn++++=pressure.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
sitting ^vbg+++xvbg+=sitting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carpet ^nn++++=carpet
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
carefully ^rb++++=carefully
mended ^jj+++xvbn+=mended;
; ^zz++++=EXTRAWORD
the ^ati++++=the
furniture ^nn++++=furniture
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
well ^rb++++=well
preserved ^vbd+++xvbn+=preserved;
; ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
books ^nns++++=books
occupied ^vbd+++xvbn+=occupied
shelves ^nns++++=shelves
made ^vwbn+++xvbn+=made
by ^in++++=by
no ^at++++=no
professional ^jj+atrb+++=professional
cabinet ^nn++++=cabinet-maker;
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
the ^ati++++=the
walls ^nns++++=walls
hung ^vbd+++xvbn+=hung
several ^ap++++=several
familiar ^jj+atrb+++=familiar
pictures ^nns++++=pictures
rescued ^vbd+++xvbn+=rescued,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
wreck ^nn++++=wreck
of ^in++++=of
former ^ap++++=former
fortunes ^nns++++=fortunes.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
the ^ati++++=the
window ^nn++++=window
sat ^vbd+++xvbn+=sat
the ^ati++++=the
younger ^jjr+atrb+++=younger
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
sewing ^nn++++=sewing
upon ^in++++=upon
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
find ^vb+vprv+tht0++=find
us ^pp1o+pp1+++=us
changed ^vbd+++xvbn+=changed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wightman ^np+nom++??+=Wightman.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
find ^vb+vprv+tht0++=find
you ^pp2+pp2+++=you
in ^in++++=in
a ^at++++=a
different ^jj+atrb+++=different
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
different ^jj+atrb+++=different
friends ^nns++++=friends,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
shame ^nn++++=shame
in ^in++++=in
her ^pp$+pp3+++=her
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
anxious ^jj+atrb+++=anxious
attempt ^nn++++=attempt
to ^to+ncmp+++=to
explain ^vbi+vpub+++=explain
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
of ^in++++=of
altered ^vbd+++xvbn+=altered
fortune ^nn++++=fortune
was ^vbd+bedz+aux++=was
accepted ^vpsv++agls+xvbnx+=accepted
as ^ql++++=as
simply ^rb++++=simply
as ^in++++=as
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
winter ^nn++++=winter
after ^in++++=after
summer ^nn++++=summer.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
remain ^vb++++=remain
to ^in++++=to
supper ^nn++++=supper,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Wightman ^np+nom+++=Wightman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hesitated ^vbd+++xvbnx+=hesitated,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv++xvbg+=fearing
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
presence ^nn+nom+++=presence
might ^md+pos+++=might
occasion ^vb++++=occasion
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+aux++=be
disappointed ^vpsv++agls+xvbnx+=disappointed
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
refuse ^vb++++=refuse,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
daughters ^nns+nom+++=daughters.
. ^zz++++=EXTRAWORD
" ^zz++++="Father
father ^nn++++=EXTRAWORD
has ^vbz+hvz+aux++=has
brought ^vprf+++xvbnx+=brought
home ^nr++++=home
a ^at++++=a
remarkable ^jj+atrb+++=remarkable
appetite ^nn++++=appetite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
need ^nn++++=need
assistance ^nn+nom+++=assistance
in ^in++++=in
keeping ^xvbg+++xvbg+=keeping
him ^pp3o+pp3+++=him
company ^nn++++=company."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
playful ^jj+atrb+++=playful
tone ^nn++++=tone
relieved ^vbd+++xvbn+=relieved
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
supper ^nn++++=supper
which ^whp+rel+subj++=which
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
composed ^vwbn+++xvbn+=composed
of ^in++++=of
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
preserves ^vbz++++=preserves,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
cold ^jj+atrb+++=cold
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
pleasantest ^jjt+atrb+++=pleasantest
meals ^nns++++=meals
at ^in++++=at
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
sat ^vprf+++xvbnx+=sat.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good
of ^in++++=of
its ^pp$+it+++=its
kind ^nn++++=kind;
; ^zz++++=EXTRAWORD
the ^ati++++=the
table ^nn++++=table
was ^vbd+bedz+aux++=was
spread ^vpsv++agls+xvbnx+=spread
with ^in++++=with
care ^nn++++=care;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cheerful ^jj+atrb+++=cheerful
affection ^nn+nom+++=affection
gave ^vbd+++xvbn+=gave
a ^at++++=a
flavor ^nn++++=flavor
which ^whp+rel+obj++=which
no ^at++++=no
cook ^nn++++=cook
can ^md+pos+++=can
procure ^vb++++=procure
and ^cc++++=and
no ^at++++=no
money ^nn++++=money
buy ^vb++++=buy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conversation ^nn+nom+++=conversation
turned ^vbd+++xvbn+=turned
naturally ^rb++++=naturally
upon ^in++++=upon
their ^pp$+pp3+++=their
changed ^jj+atrb++xvbn+=changed
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
some ^dti++++=some
up ^rp++++=up-hill
- ^zz++++=EXTRAWORD
hill ^nn++++=EXTRAWORD
work ^nn++++=work
at ^rb++++=at
first ^rb"++++=first,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wightman ^np+nom++??+=Wightman.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
prepared ^vbd+++xvbn+=prepared
for ^in++++=for
a ^at++++=a
clerk ^nn++++=clerk's
's ^$++++=EXTRAWORD
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
salary ^nn++++=salary
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small.
. ^zz++++=EXTRAWORD
Pride ^nn++++=Pride,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
the ^ati++++=the
burden ^nn++++=burden
heavier ^jjr++++=heavier
than ^in++++=than
it ^pp3+it+++=it
need ^vb++++=need
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
father ^nn++++=father
soon ^rb+tm+++=soon
became ^vbd+++xvbn+=became
the ^ati++++=the
most ^ql+emph+++=most
useful ^jj+atrb+++=useful
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
establishment ^nn+nom+++=establishment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
his ^pp$+pp3+++=his
elder ^jjr+atrb+++=elder
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
" ^zz++++="Children
children ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
partial ^jj+atrb+++=partial
witnesses ^nns+nom+++=witnesses,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="Still,
still ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
employer ^nn+nom+++=employer
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
my ^pp$+pp1+++=my
salary ^nn++++=salary
three ^cd++++=three
times ^nns++++=times
in ^in++++=in
five ^cd++++=five
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
hope ^nn++++=hope
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
earned ^vprf+++xvbnx+=earned
every ^at++++=every
increase ^nn++++=increase."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Wightman ^np+nom+++=Wightman.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
idle ^jj++++=idle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
the ^ati++++=the
daughter ^nn+nom+++=daughter
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
admitted ^vprf+++xvbnx+=admitted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Mary
mary ^np++++=EXTRAWORD
gives ^vbz++++=gives
music ^nn++++=music
lessons ^nns++++=lessons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
fine ^jj+atrb+++=fine
sewing ^nn++++=sewing.
. ^zz++++=EXTRAWORD
Mother ^nn++++=Mother
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
six ^cd++++=six
willing ^jj+atrb+++=willing
hands ^nns++++=hands
are ^vb+ber+vrb++=are
a ^at++++=a
small ^jj+atrb+++=small
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
safe ^jj+atrb+++=safe
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
sisters ^nns+nom+++=sisters
seem ^vb+seem+++=seem
happy ^jj++++=happy
in ^in++++=in
their ^pp$+pp3+++=their
employments ^nns+nom+++=employments,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remarked ^vbd+vpub++xvbnx+=remarked.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=should
we ^pp1a+pp1+++=we
not ^xnot++not++=not
be ^vb+be+vrb++=be?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
" ^zz++++="Work
work ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
disgrace ^nn+++??+=disgrace.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
disliked ^vbd+++xvbnx+=disliked
meeting ^nvbg+++xvbg+=meeting
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
us ^pp1o+pp1+++=us
in ^in++++=in
our ^pp$+pp1+++=our
former ^ap++++=former
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fancied ^vbd+++xvbnx+=fancied
every ^at++++=every
eye ^nn++++=eye
was ^vbd+bedz+aux++=was
fixed ^vpsv++agls+xvbnx+=fixed
upon ^in++++=upon
my ^pp$+pp1+++=my
plain ^nn++++=plain
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
one ^cd1++++=one
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying,
, ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
fallen ^vprf+++xvbn+=fallen!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
honest ^jj+atrb+++=honest
occupation ^nn+nom+++=occupation
gives ^vbz++++=gives
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
people ^nns++++=people
despise ^vb++++=despise
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
useful ^jj+pred+++=useful,
, ^zz++++=EXTRAWORD
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
their ^pp$+pp3+++=their
esteem ^nn++++=esteem
does ^vbz+doz+aux++=does
not ^xnot++not++=not
make ^vb++++=make
me ^pp1o+pp1+++=me
poorer ^jjr++++=poorer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
lesson ^nn++++=lesson
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
learned ^jj+++xvbn+=learned
in ^in++++=in
a ^at++++=a
day ^nn++++=day,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mother ^nn++++=mother
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
