# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Lost ^vbd+++xvbn+=Lost
Fare ^nn++++=Fare.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rehearsed ^jj++++=rehearsed
the ^ati++++=the
information ^nn+nom+++=information
I ^pp1a+pp1+++=I
should ^md+nec+++=should
give ^vb++++=give
the ^ati++++=the
police ^nns++++=police
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
survived ^vbd+++xvbn+=survived.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
describe ^vb++++=describe
the ^ati++++=the
driver ^nn++++=driver:
: ^zz++++=EXTRAWORD
large ^jj++++=large,
, ^zz++++=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
intoxicated ^jj+++xvbn+=intoxicated,
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly
ignorant ^jj++++=ignorant.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
describe ^vb++++=describe
the ^ati++++=the
horse ^nn++++=horse:
: ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
melancholy ^jj++++=melancholy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
innocent ^jj++++=innocent.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
cite ^vb++++=cite
respectable ^jj+atrb+++=respectable
persons ^nns++++=persons
who ^whp+rel+subj++=who
would ^md+prd+++=would
certify ^vb+vpub+tht0++=certify
our ^pp$+pp1+++=our
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
senator ^nn++++=senator
from ^in++++=from
Massachusetts ^np+++??+=Massachusetts,
, ^zz++++=EXTRAWORD
two ^cd++++=two
professors ^nns++++=professors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
elderly ^jj+atrb+++=elderly
cousin ^nn++++=cousin
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+aux+xvbnx+=been
presented ^vpsv++agls+xvbnx+=presented
at ^rb++++=at
Court ^nn++++=Court.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
last ^jj+atrb+++=last
connection ^nn+nom+++=connection
seemed ^vbd+seem++xvbn+=seemed
especially ^rb++++=especially
valuable ^jj++++=valuable.
. ^zz++++=EXTRAWORD
Lost ^jj+atrb++xvbn+=Lost
women ^nns++++=women
in ^in++++=in
a ^at++++=a
London ^np++++=London
fog ^nn++++=fog
might ^md+pos+++=might
be ^vb+be+vrb++=be
any ^dti++++=any
thing ^nn++++=thing;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
lost ^xvbn+++xvbn+=lost
women ^nns++++=women
whose ^whp+rel+obj++=whose
cousin ^nn++++=cousin
had ^vbd+hvd+aux++=had
bowed ^vprf+++xvbnx+=bowed
to ^in++++=to
a ^at++++=a
princess ^nns+nom+++=princess
acquired ^vbd+++xvbn+=acquired
at ^rb++++=at
once ^rb"+tm+++=once
a ^at++++=a
moral ^nn++++=moral
standing ^vwbg+++xvbg+=standing.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
salvation ^nn+nom+++=salvation
or ^cc++++=or,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
a ^at++++=a
brass ^nn++++=brass
knocker ^jjr++++=knocker.
. ^zz++++=EXTRAWORD
A ^at++++=A
gentleman ^nn+nom+++=gentleman
in ^in++++=in
evening ^nn++++=evening
dress ^nn++++=dress
was ^vbd+bedz+aux++=was
letting ^vbg+++xvbgx+=letting
himself ^ppl+pp3+++=himself
into ^in++++=into
a ^at++++=a
large ^jj+atrb+++=large,
, ^zz++++=EXTRAWORD
sober ^jj+atrb+++=sober
house ^nn++++=house.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
gray ^np++++=gray
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
substantial ^jj+atrb+++=substantial
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neatly ^rb++++=neatly
furled ^xvbn+++xvbn+=furled
umbrella ^vb++++=umbrella
proclaimed ^vbd+++xvbn+=proclaimed
him ^pp3o+pp3+++=him
respectable ^jj++++=respectable.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
England ^np++++=England
itself ^ppl++++=itself:
: ^zz++++=EXTRAWORD
roast ^vb++++=roast
beef ^nn++++=beef,
, ^zz++++=EXTRAWORD
Magna ^&fw++++=Magna
Charta ^np+++??+=Charta,
, ^zz++++=EXTRAWORD
domestic ^jj+atrb+++=domestic
virtue ^nn++++=virtue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
annual ^jj+atrb+++=annual
balance ^nn+nom+++=balance
at ^rb++++=at
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seized ^vbd+++xvbnx+=seized
the ^ati++++=the
opening ^jj+++xvbg+=opening
and ^cc+phrs+++=and
called ^jj+++xvbn+=called
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
" ^zz++++="Sir!
sir ^npt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
please ^uh++++=please!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hansom ^nn++++=hansom
stopped ^vbd+++xvbn+=stopped
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
accord ^nn++++=accord,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
because ^cs+cos+++=because
the ^ati++++=the
horse ^nn++++=horse
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
what ^wdt+who+++=what
would ^md+prd+++=would
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
doors ^nns++++=doors
and ^cc++++=and
descended ^vpsv++agls+xvbn+=descended
into ^in++++=into
mud ^nn++++=mud
nearly ^rb+down+++=nearly
to ^in++++=to
my ^pp$+pp1+++=my
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
Kate ^np++++=Kate
awoke ^vbd+++xvbn+=awoke
and ^cc+phrs+++=and
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
the ^ati++++=the
rug ^nn++++=rug
with ^in++++=with
her ^pp$+pp3+++=her
like ^in++++=like
a ^at++++=a
royal ^jj+atrb+++=royal
mantle ^nn++++=mantle
sadly ^rb++++=sadly
damaged ^jj+++xvbn+=damaged
in ^in++++=in
war ^nn++++=war.
. ^zz++++=EXTRAWORD
" ^zz++++="Sir,"
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
Americans ^nns+nom+++=Americans."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
precisely ^rb++++=precisely
relevant ^jj++++=relevant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
an ^at++++=an
excellent ^jj+atrb+++=excellent
foundation ^nn+nom+++=foundation.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
perceived ^vbd+vprv++xvbnx+=perceived,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
staying ^vbg+++xvbgx+=staying
in ^in++++=in
Colville ^np+++??+=Colville
Gardens ^nns++++=Gardens,
, ^zz++++=EXTRAWORD
Bayswater ^np+nom++??+=Bayswater.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
left ^vbd+++xvbn+=left
our ^pp$+pp1+++=our
friends ^nns++++=friends
at ^in++++=at
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
man ^nn++++=man
who ^whp+rel+subj++=who
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
very ^ql+amp+++=very
worthy ^jj+atrb+++=worthy
person ^nn++++=person
in ^in++++=in
Sussex ^np++++=Sussex
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+++=know
London ^np++++=London."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
London ^np++++=London,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
the ^ati++++=the
cabman ^nn++++=cabman,
, ^zz++++=EXTRAWORD
descending ^vbg+++xvbg+=descending.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
fog ^nn++++=fog."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
also ^rb++++=also
the ^ati++++=the
refreshment ^nn+nom+++=refreshment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suddenly ^rb++++=suddenly
saw ^vbd+vprv++xvbn+=saw
ourselves ^ppls+pp1+++=ourselves
as ^ql++++=as
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
us ^pp1o+pp1+++=us:
: ^zz++++=EXTRAWORD
two ^cd++++=two
muddy ^jj++++=muddy,
, ^zz++++=EXTRAWORD
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
disordered ^jj+atrb+++=disordered
women ^nns++++=women
emerging ^vwbg+++xvbg+=emerging
near ^in+pl+++=near
midnight ^nn++++=midnight
from ^in++++=from
a ^at++++=a
spectral ^jj+atrb+++=spectral
cab ^nn++++=cab,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
rug ^nn++++=rug
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
explaining ^jj+++xvbg+=explaining
her ^pp3o+pp3+++=her
nationality ^nn+nom+++=nationality.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
therefore ^rb+cnj+++=therefore
added ^jj+++xvbn+=added,
, ^zz++++=EXTRAWORD
with ^in++++=with
dignity ^nn+nom+++=dignity,
, ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
acquainted ^vpsv++agls+xvbnx+=acquainted
with ^in++++=with
several ^ap++++=several
persons ^nns++++=persons
of ^in++++=of
distinction ^nn+nom+++=distinction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
require ^vb+vsua+++=require
at ^rb++++=at
present ^vb++++=present
is ^vbz+bez+vrb++=is
a ^at++++=a
four ^cd++++=four-wheeler."
- ^zz++++=EXTRAWORD
wheeler ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sent ^vbd+++xvbnx+=sent
his ^pp$+pp3+++=his
servant ^nn+nom+++=servant
to ^to++++=to
summon ^vbi++++=summon
one ^pn++++=one
from ^in++++=from
a ^at++++=a
nearby ^jjb+atrb+++=nearby
rank ^nn++++=rank.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
first ^rb++++=first
cabman ^jj++++=cabman
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
obtained ^xvbn+++xvbn+=obtained
some ^dti++++=some
account ^nn++++=account
of ^in++++=of
our ^pp$+pp1+++=our
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
paid ^j+++xvbn+=paid
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dismissed ^vbd+++xvbn+=dismissed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fellow ^nn++++=fellow
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
offence ^nn+nom+++=offence,
, ^zz++++=EXTRAWORD
mum ^nn++++=mum.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
' ^zz++++='ave
ave ^vb+++??+=EXTRAWORD
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
doubt ^nn++++=doubt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
breakfast ^nn++++=breakfast."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
horse ^nn++++=horse
and ^cc++++=and
the ^ati++++=the
burly ^jj+atrb+++=burly,
, ^zz++++=EXTRAWORD
breezy ^jj+atrb+++=breezy
cherub ^nn+++??+=cherub
upon ^in++++=upon
its ^pp$+it+++=its
roof ^nn++++=roof
melted ^vbd+++xvbn+=melted
together ^nn+nom+++=together
into ^in++++=into
the ^ati++++=the
fog ^nn++++=fog.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
fantastic ^jj+atrb+++=fantastic
moment ^nn++++=moment
the ^ati++++=the
empty ^jj+atrb+++=empty
street ^nn++++=street
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
swallowed ^xvbn+++xvbn+=swallowed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
ever ^rb++splt++=ever
existed ^vprf+++xvbnx+=existed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
placed ^vwbn+++xvbn+=placed
us ^pp1o+pp1+++=us
in ^in++++=in
a ^at++++=a
four ^cd++++=four-wheeled
- ^zz++++=EXTRAWORD
wheeled ^vbd+++xvbn+=EXTRAWORD
cab ^nn++++=cab
driven ^vwbn+++xvbn+=driven
by ^in++++=by
a ^at++++=a
sober ^jj++++=sober-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
elderly ^jj+atrb+++=elderly
man ^nn++++=man
whose ^whp+rel+obj++=whose
hat ^nn++++=hat
alone ^rb++++=alone
inspired ^vwbn+++xvbn+=inspired
confidence ^nn+nom+++=confidence.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
Colville ^np+++??+=Colville
Gardens ^nns++++=Gardens?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Know
know ^vb+vprv+tht0++=EXTRAWORD
it ^pp3+it+++=it
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
these ^dt+dem+++=these
ladies ^nns++++=ladies
there ^rn+pl+++=there
directly ^rb++++=directly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman
closed ^vbd+++xvbn+=closed
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
wished ^vbd+vprv++xvbn+=wished
us ^pp1o+pp1+++=us
good ^jj+atrb+++=good
night ^nn++++=night.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thanked ^vbd+++xvbnx+=thanked
him ^pp3o+pp3+++=him
with ^in++++=with
warmth ^nn++++=warmth
enough ^dt++++=enough
to ^to++++=to
embarrass ^vbi++++=embarrass
three ^cd++++=three
nations ^nns+nom+++=nations.
. ^zz++++=EXTRAWORD
" ^zz++++="There,"
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kate ^np++++=Kate,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
safe ^jj+pred+++=safe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
pronounce ^vb++++=pronounce
that ^dt+dem+++=that
word ^nn++++=word
before ^in++++=before
reaching ^xvbg+++xvbg+=reaching
the ^ati++++=the
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
this ^dt+dem+++=this
man ^nn++++=man
knows ^vbz+vprv+++=knows
London ^np++++=London."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
did ^vbd+dod+vrb++=did
the ^ati++++=the
other ^ap++++=other
mostly ^rb++++=mostly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
four ^cd++++=four-wheeler
- ^zz++++=EXTRAWORD
wheeler ^np++++=EXTRAWORD
advanced ^vbd+++xvbn+=advanced
with ^in++++=with
less ^rbr++++=less
poetry ^nn++++=poetry
and ^cc++++=and
more ^rbr++++=more
noise ^nn++++=noise
than ^in++++=than
the ^ati++++=the
hansom ^nn+++??+=hansom.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
windows ^nns++++=windows
were ^vbd+bed+aux++=were
blurred ^vpsv++agls+xvbnx+=blurred,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
cushions ^nns++++=cushions
smelled ^vbd+++xvbn+=smelled
faintly ^rb++++=faintly
of ^in++++=of
damp ^jj+atrb+++=damp
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
turn ^nn++++=turn
caused ^vbd+++xvbn+=caused
the ^ati++++=the
vehicle ^nn++++=vehicle
to ^to++++=to
groan ^vbi++++=groan
as ^cs+sub+++=as
if ^cs+cnd+++=if
criticising ^vbg+++xvbg+=criticising
our ^pp$+pp1+++=our
weight ^nn++++=weight;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
solid ^jj++++=solid,
, ^zz++++=EXTRAWORD
enclosed ^j+++xvbn+=enclosed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respectable ^jj++++=respectable.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
hope ^vbi++++=hope.
. ^zz++++=EXTRAWORD
Kate ^np++++=Kate
arranged ^vwbn+vsua+tht0+xvbn+=arranged
her ^pp$+pp3+++=her
bonnet ^nn++++=bonnet
and ^cc++++=and
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
clean ^vbi++++=clean
the ^ati++++=the
mud ^nn++++=mud
from ^in++++=from
her ^pp$+pp3+++=her
face ^nn++++=face
with ^in++++=with
a ^at++++=a
handkerchief ^nn++++=handkerchief,
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
only ^rb+down+++=only
a ^at++++=a
larger ^jjr++++=larger
and ^cc++++=and
more ^rbr++++=more
expressive ^jj+atrb+++=expressive
stain ^nn++++=stain.
. ^zz++++=EXTRAWORD
For ^in++++=For
perhaps ^rb++++=perhaps
fifteen ^cd++++=fifteen
minutes ^nns++++=minutes
all ^rb++++=all
went ^vbd+++xvbn+=went
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
slowed ^vbd+++xvbn+=slowed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
turned ^vbd+++xvbn+=turned
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
three ^cd++++=three
times ^nns++++=times.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
passed ^vbd+++xvbn+=passed
a ^at++++=a
square ^nn++++=square
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
garden ^nn++++=garden
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
minutes ^nns++++=minutes
later ^rbr+tm+++=later
we ^pp1a+pp1+++=we
passed ^vbd+++xvbn+=passed
the ^ati++++=the
same ^ap++++=same
square ^nn++++=square
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Kate,"
kate ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="observe
observe ^vb+vprv+++=EXTRAWORD
that ^tht+vcmp+++=that
broken ^vprf+++xvbn+=broken
railing ^nn+nom+++=railing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
observed ^vbd+vprv+tht0+xvbnx+=observed
it ^pp3+it+++=it
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
passed ^vbd+++xvbn+=passed
it ^pp3+it+++=it
a ^at++++=a
third ^nn++++=third
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lowered ^vbd+++xvbnx+=lowered
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Driver,
driver ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
Colville ^np+++??+=Colville
Gardens ^nns++++=Gardens?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mum ^nn++++=mum.
. ^zz++++=EXTRAWORD
Colville ^np+++??+=Colville
Square ^nn++++=Square."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
Colville ^np+++??+=Colville
Gardens ^nns++++=Gardens."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thought
thought ^nn+++xvbn+=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
Square ^npl++++=Square."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
gentleman ^nn+nom+++=gentleman
said ^vbd+vpub++xvbn+=said
Gardens ^nns++++=Gardens."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
likely ^jj++++=likely,
, ^zz++++=EXTRAWORD
mum ^nn++++=mum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
Gardens ^nns++++=Gardens?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
pause ^nn++++=pause
followed ^vbd+vprv++xvbn+=followed
an ^at++++=an
eloquent ^jj+atrb+++=eloquent,
, ^zz++++=EXTRAWORD
cavernous ^jj+atrb+++=cavernous
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
them ^pp3o+pp3+++0='em
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
in ^in++++=in
my ^pp$+pp1+++=my
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
lost ^vpsv++agls+xvbnx+=lost
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
