# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
break ^vb++++=break
in ^rb+phrv+++=in
my ^pp$+pp1+++=my
store ^nn++++=store?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin's
's ^$++++=EXTRAWORD
store ^nn++++=store,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
corrected ^vbd+++xvbnx+=corrected.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
grip ^nn++++=grip
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
shame ^vb++++=shame
at ^rb++++=at
all ^abn++++=all?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
take ^vb++++=take
just ^rb+emph+++=just
w ^zz++++=w'at
'at ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
needed ^vbd+++xvbn+=needed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
appeared ^vbd+seem++xvbn+=appeared
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^jj+++??+=EXTRAWORD
looked ^jj+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
gathered ^jj+atrb++xvbn+=gathered
articles ^nns++++=articles
and ^cc++++=and
felt ^vbd+vprv++xvbn+=felt
suddenly ^rb++++=suddenly
ridiculous ^jj++++=ridiculous
standing ^jj+++xvbg+=standing
there ^rn+pl+++=there
barefoot ^jj++++=barefoot,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
unloaded ^jj+atrb++xvbn+=unloaded
revolver ^nn+nom+++=revolver
thrust ^vbd+++xvbn+=thrust
into ^in++++=into
his ^pp$+pp3+++=his
waistband ^nn++++=waistband,
, ^zz++++=EXTRAWORD
preaching ^vbg+++xvbg+=preaching
law ^nn++++=law
to ^in++++=to
a ^at++++=a
girl ^nn++++=girl
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
soap ^nn++++=soap
and ^cc++++=and
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
beneath ^in+pl+++=beneath
the ^ati++++=the
ridicule ^nn++++=ridicule
another ^dt++++=another
feeling ^jj+++xvbg+=feeling
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun,
, ^zz++++=EXTRAWORD
swift ^np++++=swift
and ^cc++++=and
hot ^jj++++=hot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+emph+++=so
unwelcome ^jj++++=unwelcome
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
mistook ^vbd+++xvbnx+=mistook
it ^pp3+it+++=it
at ^rb++++=at
first ^rb"++++=first
for ^in++++=for
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
wrist ^nn++++=wrist
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
frail ^jj++++=frail.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
feel ^vb+vprv+++=feel
the ^ati++++=the
steady ^jj+atrb+++=steady
beat ^nn+++xvbn+=beat
of ^in++++=of
blood ^nn++++=blood
beneath ^in+pl+++=beneath
the ^ati++++=the
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
A ^at++++=A
loose ^jj+atrb+++=loose
strand ^nn++++=strand
of ^in++++=of
hair ^nn++++=hair
lay ^vbd+++xvbn+=lay
against ^in++++=against
her ^pp$+pp3+++=her
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smelled ^vbd+++xvbnx+=smelled
of ^in++++=of
night ^nn++++=night
air ^nn++++=air,
, ^zz++++=EXTRAWORD
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
crushed ^jj+atrb++xvbn+=crushed
fennel ^nn+++??+=fennel
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
near ^in+pl+++=near
the ^ati++++=the
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
released ^vbd+++xvbnx+=released
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
whipped ^vbd+++xvbn+=whipped,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bent ^vbd+++xvbnx+=bent
to ^to++++=to
pick ^vbi++++=pick
up ^rp++++=up
the ^ati++++=the
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^vb++++=EXTRAWORD
that ^dt+pdem+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
straightened ^vbd+++xvbnx+=straightened
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
once ^rb+tm+++=once
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lamp ^nn++++=lamp
smoked ^vbd+++xvbn+=smoked
above ^rb++++=above
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
imagined ^vbd+vprv++xvbnx+=imagined
calling ^vbg+nom++xvbg+=calling
the ^ati++++=the
watchman ^nn+nom+++=watchman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
imagined ^vbd+vprv++xvbnx+=imagined
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
coming ^vwbg+++xvbg+=coming
in ^in++++=in
his ^pp$+pp3+++=his
nightshirt ^nn+++??+=nightshirt,
, ^zz++++=EXTRAWORD
genial ^jj++++=genial
even ^rb++++=even
before ^in++++=before
the ^ati++++=the
scattered ^jj+atrb++xvbn+=scattered
goods ^nns++++=goods
and ^cc++++=and
broken ^jj+atrb++xvbn+=broken
shutter ^nn++++=shutter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
imagined ^vbd+vprv+tht0+xvbnx+=imagined
Az ^np+++??+=Az
lie ^vb++++=lie
being ^xvbg+++xvbg+=being
taken ^vprf+++xvbn+=taken
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
image ^nn++++=image
offended ^vbd+++xvbn+=offended
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
to ^to++++=to
place ^vbi++++=place
the ^ati++++=the
articles ^nns++++=articles
in ^in++++=in
the ^ati++++=the
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
" ^zz++++="Wait.
wait ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
cartridges ^nns+++??+=cartridges."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
needs ^nns++++=needs
" ^zz++++="
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
him ^pp3o+pp3+++=him
cartridges ^nns+++??+=cartridges
to ^to++++=to-morrow.
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hear ^vb+vprv+++=hear?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don'
' ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
yere ^nn+++??+=yere
like ^in++++=like
this ^dt+dem+++=this
no ^at++++=no
mo ^np++++=mo'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
need ^vb++++=need
something ^pn++++=something,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ask ^vb++++=ask
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
give ^vb++++=give
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
paused ^vbd+++xvbnx+=paused
with ^in++++=with
the ^ati++++=the
sugar ^nn++++=sugar
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Anything?"
anything ^pn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Anything
anything ^pn++++=EXTRAWORD
you ^pp2+pp2+++=you
need ^vb++++=need."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
the ^ati++++=the
sugar ^nn++++=sugar
into ^in++++=into
the ^ati++++=the
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
promise ^nn++++=promise?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promise ^nn++++=promise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+vprv++xvbnx+=expected
some ^dti++++=some
gratitude ^nn++++=gratitude
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
some ^dti++++=some
change ^nn++++=change
in ^in++++=in
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
None ^pn++++=None
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tied ^vbd+++xvbnx+=tied
the ^ati++++=the
sack ^nn++++=sack
with ^in++++=with
a ^at++++=a
length ^nn++++=length
of ^in++++=of
twine ^nn+++??+=twine
and ^cc++++=and
lifted ^vbd+++xvbn+=lifted
it ^pp3+it+++=it
to ^in++++=to
her ^pp$+pp3+++=her
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
window ^nn++++=window
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
go ^vb++++=go
by ^in++++=by
the ^ati++++=the
door ^nn++++=door."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
unlocked ^vbd+++xvbnx+=unlocked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
keys ^nns++++=keys
trembled ^vbd+++xvbn+=trembled
and ^cc+phrs+++=and
clashed ^vbd+++xvbn+=clashed
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
passed ^vbd+++xvbn+=passed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended
the ^ati++++=the
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappeared ^vpsv++agls+xvbn+=disappeared
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
watched ^vbd+++xvbnx+=watched
until ^cs+sub+++=until
the ^ati++++=the
darkness ^nns+nom+++=darkness
absorbed ^vbd+++xvbn+=absorbed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
back ^rp++++=back
inside ^jjb++++=inside
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
among ^in++++=among
the ^ati++++=the
things ^nns++++=things
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
displaced ^vprf+++xvbnx+=displaced.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
floor ^nn++++=floor
lay ^vbd+++xvbn+=lay
the ^ati++++=the
little ^jj+atrb+++=little
iron ^nn++++=iron
blade ^nn++++=blade
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
used ^vprf+++xvbnx+=used
upon ^in++++=upon
the ^ati++++=the
shutter ^nn++++=shutter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
it ^pp3+it+++=it
up ^rp++++=up
and ^cc++++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning
' ^zz++++='Polyte
polyte ^jj+++??+=EXTRAWORD
charged ^jj+++xvbn+=charged
the ^ati++++=the
missing ^jj+atrb++xvbg+=missing
supplies ^nns++++=supplies
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie
did ^vbd+dod+aux++=did
not ^xnot++not++=not
often ^rb++++=often
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
ask ^vb++++=ask.
. ^zz++++=EXTRAWORD
A ^at++++=A
sack ^nn++++=sack
of ^in++++=of
meal ^nn++++=meal
went ^vbd+++xvbn+=went
to ^in++++=to
her ^pp$+pp3+++=her
family ^nn++++=family's
's ^$++++=EXTRAWORD
cabin ^nn++++=cabin
on ^in++++=on
Monday ^nr++++=Monday.
. ^zz++++=EXTRAWORD
On ^in++++=On
Wednesday ^nr++++=Wednesday
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fresh ^jj+atrb+++=fresh
bottle ^nn++++=bottle
of ^in++++=of
oil ^nn++++=oil.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
one ^pn++++=one
of ^in++++=of
her ^pp$+pp3+++=her
younger ^jjr++++=younger
brothers ^nns+nom+++=brothers
appeared ^vbd+seem++xvbn+=appeared
barefoot ^jj++++=barefoot
at ^in++++=at
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sent ^vbd+++xvbnx+=sent
tobacco ^nn++++=tobacco
to ^in++++=to
the ^ati++++=the
father ^nn++++=father
and ^cc++++=and
a ^at++++=a
bolt ^nn++++=bolt
of ^in++++=of
yellow ^jj+atrb+++=yellow
cloth ^nn++++=cloth
to ^in++++=to
the ^ati++++=the
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
noticed ^vbd+vprv++xvbn+=noticed
the ^ati++++=the
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
adopted ^vprf+++xvbnx+=adopted
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
want ^vb++++=want
them ^pp3o+pp3+++=them
robbin ^nn+++??+=robbin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
store ^nn++++=store."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
economy ^nn++++=economy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^jj+++??+=EXTRAWORD
flushed ^jj+++xvbn+=flushed
and ^cc+phrs+++=and
bent ^jj+++xvbn+=bent
over ^in++++=over
his ^pp$+pp3+++=his
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
discovered ^vbd+vprv++xvbnx+=discovered
errands ^nns+++??+=errands
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
toward ^in++++=toward
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
quarters ^nns+nom+++=quarters,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Az ^np+++??+=Az
lie ^nn++++=lie's
's ^$++++=EXTRAWORD
family ^nn++++=family
occupied ^vbd+++xvbn+=occupied
a ^at++++=a
cabin ^nn++++=cabin
beyond ^in++++=beyond
the ^ati++++=the
cane ^nn++++=cane
brake ^nn++++=brake.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
place ^nn++++=place
was ^vbd+bedz+vrb++=was
no ^at++++=no
worse ^nn++++=worse
than ^in++++=than
several ^ap++++=several
others ^aps++++=others,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
uniquely ^rb++++=uniquely
disordered ^jj++++=disordered.
. ^zz++++=EXTRAWORD
A ^at++++=A
broken ^jj+atrb++xvbn+=broken
chair ^nn++++=chair
leaned ^vbd+++xvbn+=leaned
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Gourds ^np+++??+=Gourds
hung ^vbd+++xvbn+=hung
from ^in++++=from
the ^ati++++=the
eaves ^nns++++=eaves.
. ^zz++++=EXTRAWORD
Chickens ^nns++++=Chickens
scratched ^vwbn+++xvbn+=scratched
beneath ^in+pl+++=beneath
a ^at++++=a
ramshackle ^jj+atrb+++=ramshackle
wagon ^nn++++=wagon
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
one ^cd1++++=one
wheel ^vb++++=wheel
propped ^vbd+++xvbn+=propped
upon ^in++++=upon
a ^at++++=a
block ^nn++++=block.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father,
, ^zz++++=EXTRAWORD
F ^zz++++=F
lix ^nn+++??+=lix,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
often ^rb++++=often
absent ^jj+pred+++=absent
when ^wrb+who+++=when
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
whether ^cs+who+++=whether
in ^in++++=in
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^in++++=at
a ^at++++=a
neighbor ^nn++++=neighbor's
's ^$++++=EXTRAWORD
card ^nn++++=card
table ^nn++++=table
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
learn ^vbi+vprv+++=learn.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie's
's ^$++++=EXTRAWORD
mother ^npt++++=mother
received ^vbd+++xvbn+=received
every ^at++++=every
gift ^nn++++=gift
without ^in++++=without
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
put ^vbd+++xvbn+=put
it ^pp3+it+++=it
yere ^nn+++??+=yere,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Az
az ^nn+++??+=EXTRAWORD
lie ^vb++++=lie,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
take ^vb++++=take
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie
would ^md+prd+++=would
come ^vb++++=come
from ^in+ppvb+++=from
behind ^in+pl+++=behind
the ^ati++++=the
cabin ^nn++++=cabin
or ^cc++++=or
from ^in++++=from
the ^ati++++=the
kettle ^nn++++=kettle
set ^vbd+++xvbn+=set
over ^in++++=over
the ^ati++++=the
outdoor ^jjb+atrb+++=outdoor
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
thanked ^vbd+++xvbnx+=thanked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
often ^rb++++=often
she ^pp3a+pp3+++=she
merely ^rb+down+++=merely
carried ^vbd+++xvbn+=carried
the ^ati++++=the
thing ^nn++++=thing
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
indifference ^nn+nom+++=indifference
sharpened ^vbd+++xvbn+=sharpened
his ^pp$+pp3+++=his
desire ^nn++++=desire
for ^in++++=for
her ^pp$+pp3+++=her
company ^nn++++=company.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
questioned ^vbd+vpub++xvbnx+=questioned
her ^pp$+pp3+++=her
about ^in++++=about
Little ^ap++++=Little
River ^nn++++=River.
. ^zz++++=EXTRAWORD
" ^zz++++="W'at's
w ^zz++++=EXTRAWORD
'at's ^nns+++??+0=EXTRAWORD
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
place ^nn++++=place
any ^dti++++=any
better ^jjr++++=better?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
ours ^pp$$++++=ours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pa ^npt++++=pa
got ^vbd+++xvbn+=got
land ^nn++++=land?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^rb++++=EXTRAWORD
little ^rb"++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Flood
flood ^nn++++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sometimes."
sometimes ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
go ^vb++++=go
back ^jjb++++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
answer ^nn++++=answer
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
evenings ^nns++++=evenings.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
pass ^vb++++=pass,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brought ^vbd+++xvbnx+=brought
ribbons ^nns++++=ribbons,
, ^zz++++=EXTRAWORD
a ^at++++=a
comb ^nn++++=comb,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
bottle ^nn++++=bottle
of ^in++++=of
violet ^jj+atrb+++=violet
scent ^nn++++=scent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^at++++=a
pair ^nn++++=pair
