**the ^nn+++??+=**THE
Last ^rb++++=LAST
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
tales ^nns++++=tales
of ^in++++=of
prosperity ^nn+nom+++=prosperity;
; ^zz++++=EXTRAWORD
the ^ati++++=the
miserable ^nn++++=miserable
for ^in++++=for
proof ^nn++++=proof
that ^tht+ncmp+++=that
others ^aps++++=others
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
No ^at++++=No
man ^nn++++=man
desired ^vbd+++xvbn+=desired
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Truth ^nn++++=Truth
is ^vbz+bez+vrb++=is
a ^at++++=a
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
seeking ^jj+atrb++xvbg+=seeking
portraits ^nns++++=portraits
painted ^vbd+++xvbn+=painted
in ^in++++=in
advance ^nn+nom+++=advance.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Yet ^rb++++=Yet
thou ^pp2+pp2+++=thou
lovedst ^nn+++??+=lovedst
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
hated ^vbd+++xvbnx+=hated
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
rememberest ^jjt++++=rememberest
them ^pp3o+pp3+++=them
too ^rb++++=too
tenderly ^rb++++=tenderly
for ^in++++=for
hatred ^nn++++=hatred.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Tenderly ^rb++++=Tenderly!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
their ^pp$+pp3+++=their
repetition ^nn+nom+++=repetition.
. ^zz++++=EXTRAWORD
A ^at++++=A
mother ^nn++++=mother
bending ^vwbg+++xvbg+=bending
over ^rp++++=over
her ^pp3o+pp3+++=her
fevered ^vbd+++xvbn+=fevered
son ^nn++++=son
in ^in++++=in
Thebes ^np+++??+=Thebes,
, ^zz++++=EXTRAWORD
another ^dt++++=another
in ^in++++=in
Florence ^np+nom+++=Florence,
, ^zz++++=EXTRAWORD
another ^dt++++=another
in ^in++++=in
a ^at++++=a
nameless ^jj+atrb+++=nameless
town ^nn++++=town
beneath ^in+pl+++=beneath
electric ^jj+atrb+++=electric
towers ^nns++++=towers
the ^ati++++=the
same ^ap++++=same
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
cooling ^jj+atrb++xvbg+=cooling
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
morning ^nn++++=morning
without ^in++++=without
an ^at++++=an
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
soldiers ^nns+nom+++=soldiers
leaving ^vwbg+++xvbg+=leaving
home ^nr++++=home
beneath ^in+pl+++=beneath
bronze ^jj+atrb+++=bronze
trumpets ^nns++++=trumpets,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver
trumpets ^nns++++=trumpets,
, ^zz++++=EXTRAWORD
wooden ^jj+atrb+++=wooden
drums ^nns++++=drums,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
voiceless ^jj+atrb+++=voiceless
signals ^nns+nom+++=signals
of ^in++++=of
machines ^nns++++=machines
the ^ati++++=the
same ^ap++++=same
boast ^vb+vpub+++=boast
at ^rb++++=at
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
astonishment ^nn+nom+++=astonishment
in ^in++++=in
death ^nn++++=death.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
hungry ^jj+atrb+++=hungry
men ^nns++++=men
outside ^jjb+atrb+++=outside
granaries ^nns++++=granaries
in ^in++++=in
Egypt ^np++++=Egypt,
, ^zz++++=EXTRAWORD
Gaul ^np++++=Gaul,
, ^zz++++=EXTRAWORD
India ^np++++=India,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
proud ^jj+atrb+++=proud
republics ^nns++++=republics
of ^in++++=of
the ^ati++++=the
final ^jj+atrb+++=final
age ^nn++++=age
the ^ati++++=the
same ^ap++++=same
locked ^jj+atrb++xvbn+=locked
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
polished ^jj+atrb+++=polished
speech ^nn++++=speech
explaining ^vwbg+vpub++xvbg+=explaining
why ^wrb+who+whcl++=why
bread ^nn++++=bread
must ^md+nec+++=must
wait ^vb++++=wait.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
speak ^vb++++=speak
passionately ^rb+cnj+++=passionately,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
because ^cs+cos+++=because
weariness ^nns+nom+++=weariness
itself ^ppl++++=itself
hath ^vbz+hvz+aux++=hath
grown ^vprf+++xvbnx+=grown
passionate ^jj++++=passionate
in ^in++++=in
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
And ^cc++++=And
now ^rn+tm+++=now
thou ^pp2+pp2+++=thou
wouldst ^nn+++??+=wouldst
die ^vb++++=die?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Now ^rn+tm+++=Now
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Mark ^vb++++=Mark
the ^ati++++=the
difference ^nn+nom+++=difference.
. ^zz++++=EXTRAWORD
Desire ^nn++++=Desire
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+aux+xvbnx+=been
mocked ^vpsv++agls+xvbnx+=mocked
too ^rb++++=too
often ^rb++++=often;
; ^zz++++=EXTRAWORD
certainty ^nn++++=certainty
alone ^rb++++=alone
consoles ^nns+++??+=consoles
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
But ^cc+cls+++=But
if ^cs+cnd+++=if
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
race ^nn++++=race
should ^md+nec+++=should
need ^vb++++=need
a ^at++++=a
witness ^nns+nom+++=witness?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Let ^vbd+++xvbn+=Let
it ^pp3+it+++=it
be ^vb+be+aux++=be
born ^vpsv++agls+xvbnx+=born
blind ^jj++++=blind.
. ^zz++++=EXTRAWORD
Sight ^nn++++=Sight
hath ^vbz+hvz+aux++=hath
profited ^vprf+++xvbnx+=profited
none ^pn++++=none.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
If ^cs+cnd+++=If
it ^pp3+it+++=it
should ^md+nec+++=should
need ^vb++++=need
one ^cd1++++=one
who ^whp+rel+subj++=who
can ^md+pos+++=can
tell ^vb++++=tell
how ^wrb+who+++=how
pride ^nn++++=pride
ruined ^vbd+++xvbn+=ruined
Babel ^nn++++=Babel,
, ^zz++++=EXTRAWORD
luxury ^nn++++=luxury
enfeebled ^vwbn+++xvbn+=enfeebled
Babylon ^np++++=Babylon,
, ^zz++++=EXTRAWORD
faction ^nn+nom+++=faction
consumed ^vwbn+++xvbn+=consumed
Athens ^np++++=Athens,
, ^zz++++=EXTRAWORD
power ^nn++++=power
corrupted ^vwbn+++xvbn+=corrupted
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
despair ^vb++++=despair
silenced ^vbd+++xvbn+=silenced
the ^ati++++=the
final ^jj+atrb+++=final
nations ^nns+nom+++=nations?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
It ^pp3+it+++=It
would ^md+prd+++=would
listen ^vb++++=listen,
, ^zz++++=EXTRAWORD
praise ^vb++++=praise
my ^pp$+pp1+++=my
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
repeat ^nn++++=repeat
them ^pp3o+pp3+++=them
all ^rb++++=all.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Not ^xnot++not++=Not
this ^dt+dem+++=this
race ^nn++++=race.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Who ^whp+rel+subj++=Who
shall ^md+prd+++=shall
create ^vb++++=create
thy ^pp$+pp2+++=thy
immaculate ^jj+atrb+++=immaculate
children ^nns++++=children?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
god ^np++++=god
hath ^vbz+hvz+aux++=hath
learned ^vprf+++xvbnx+=learned
from ^in++++=from
his ^pp$+pp3+++=his
failures ^nns++++=failures?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
create ^vb++++=create
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thou ^pp2+pp2+++=Thou?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
I ^pp1a+pp1+++=I
fashioned ^vbd+++xvbnx+=fashioned
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
What ^wdt+who+++=What
sayest ^jjt++++=sayest
thou ^pp2+pp2+++=thou?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
From ^in++++=From
clay ^nn++++=clay
I ^pp1a+pp1+++=I
formed ^vbd+++xvbnx+=formed
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
my ^pp$+pp1+++=my
creatures ^nns++++=creatures
shivered ^vbd+++xvbn+=shivered,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stole ^vbd+++xvbnx+=stole
fire ^nn++++=fire
from ^in++++=from
heaven ^nn++++=heaven
and ^cc++++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
With ^in++++=With
fire ^nn++++=fire
they ^pp3a+pp3+++=they
warmed ^vbd+++xvbnx+=warmed
their ^pp$+pp3+++=their
caves ^nns++++=caves,
, ^zz++++=EXTRAWORD
hardened ^j+++xvbn+=hardened
their ^pp$+pp3+++=their
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
lighted ^j+++xvbn+=lighted
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
the ^ati++++=the
ascent ^nn++++=ascent
toward ^in++++=toward
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thou ^pp2+pp2+++=Thou
didst ^nn+++??+=didst
create ^vb++++=create
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
gavest ^jjt++++=gavest
them ^pp3o+pp3+++=them
fire ^nn++++=fire?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Then ^rn+tm+++=Then
the ^ati++++=the
murderer ^nn+nom+++=murderer
is ^vbz+bez+aux++=is
found ^vpsv++agls+xvbnx+=found!
! ^zz++++=EXTRAWORD
*he ^nn+++??+=*He
seizes ^vbz++++=seizes
a ^at++++=a
length ^nn++++=length
of ^in++++=of
chain.* ^nn+++??+=chain.*
**prometheus.** ^nn+++??+=**PROMETHEUS.**
What ^wdt+who+++=What
dost ^nn+++??+=dost
thou ^pp2+pp2+++=thou?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Completing ^vwbg+++xvbg+=Completing
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
gods ^nns++++=gods
abandoned ^vbd+++xvbn+=abandoned.
. ^zz++++=EXTRAWORD
O ^zz++++=O
author ^nn++++=author
of ^in++++=of
the ^ati++++=the
interminable ^jj+atrb+++=interminable
crime ^nn++++=crime!
! ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
didst ^nn+++??+=didst
warm ^jj++++=warm
the ^ati++++=the
cave ^nn++++=cave
and ^cc++++=and
afterward ^rb++++=afterward
burnedst ^jj+atrb++??+=burnedst
Carthage ^np+nom++??+=Carthage.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
didst ^vb+++??+=didst
harden ^vbd+++xvbn+=harden
the ^ati++++=the
ploughshare ^nn+++??+=ploughshare
and ^cc++++=and
the ^ati++++=the
sword ^nn++++=sword
sprang ^vbd+++xvbn+=sprang
beside ^in+pl+++=beside
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
From ^in++++=From
thy ^pp$+pp2+++=thy
spark ^nn++++=spark
came ^vbd+++xvbn+=came
the ^ati++++=the
lamp ^nn++++=lamp
of ^in++++=of
the ^ati++++=the
scholar ^nn++++=scholar,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
torch ^nn++++=torch
of ^in++++=of
the ^ati++++=the
inquisitor ^nn++++=inquisitor;
; ^zz++++=EXTRAWORD
the ^ati++++=the
hearth ^nn++++=hearth
where ^wrb+who+++=where
children ^nns++++=children
gathered ^vbd+++xvbn+=gathered,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
furnace ^nn++++=furnace
into ^in++++=into
which ^whp+rel+pied++=which
children ^nns++++=children
vanished ^vbd+++xvbn+=vanished;
; ^zz++++=EXTRAWORD
the ^ati++++=the
beacon ^npl++++=beacon
guiding ^vwbg+++xvbg+=guiding
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
flame ^nn++++=flame
cast ^vbd+++xvbn+=cast
down ^rp++++=down
upon ^in++++=upon
sleeping ^xvbg+++xvbg+=sleeping
cities ^nns++++=cities!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Man ^nn++++=Man
chose ^vbd+++xvbn+=chose
his ^pp$+pp3+++=his
use ^nn++++=use.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
The ^ati++++=The
child ^nn++++=child
chose ^vbd+++xvbn+=chose,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thou ^pp2+pp2+++=thou
placedst ^jj+atrb++??+=placedst
lightning ^nn++++=lightning
in ^in++++=in
his ^pp$+pp3+++=his
cradle ^nn++++=cradle!
! ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
gavest ^jjt++++=gavest
him ^pp3o+pp3+++=him
mastery ^nn+nom+++=mastery
before ^in++++=before
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
desire ^nn++++=desire
before ^in++++=before
restraint ^nn++++=restraint,
, ^zz++++=EXTRAWORD
imagination ^nn+nom+++=imagination
before ^in++++=before
pity ^nn++++=pity.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
didst ^nn+++??+=didst
thou ^pp2+pp2+++=thou
not ^xnot++not++=not
fashion ^nn++++=fashion
his ^pp$+pp3+++=his
heart ^nn++++=heart
as ^in++++=as
carefully ^rb++++=carefully
as ^ql++++=as
his ^pp$+pp3+++=his
hands ^nns++++=hands?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Freedom ^nn+nom+++=Freedom
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
fashioned ^vpsv++agls+xvbnx+=fashioned
complete ^jj++++=complete.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
A ^at++++=A
phrase ^nn++++=phrase!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf++tht0+xvbnx+=heard
gods ^nns++++=gods
excuse ^vb++++=excuse
themselves ^ppls+pp3+++=themselves
with ^in++++=with
mystery ^nn+nom+++=mystery
and ^cc++++=and
rulers ^nns++++=rulers
with ^in++++=with
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
shalt ^md++++=shalt
not ^xnot++not++=not
escape ^vb++++=escape
by ^in++++=by
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
*ahasverus ^nns+++??+=*Ahasverus
draws ^vbz++++=draws
the ^ati++++=the
chain ^nn++++=chain
around ^in++++=around
Prometheus ^np++++=Prometheus's
's ^$++++=EXTRAWORD
body ^nn++++=body
and ^cc++++=and
tightens ^nns+++??+=tightens
it.* ^nn+++??+=it.*
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
iron ^nn++++=iron
embrace ^vb++++=embrace
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
eagles ^nns++++=eagles
descend ^vb++++=descend.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
I ^pp1a+pp1+++=I
known ^vbd+vprv+tht0+xvbnx+=known
thee ^pp2+pp2+++=thee
at ^in++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
have ^vb+hv+aux++=have
spared ^vprf+++xvbnx+=spared
the ^ati++++=the
earth ^nn++++=earth
its ^pp$+it+++=its
history ^nn++++=history.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
By ^in++++=By
killing ^xvbg+++xvbg+=killing
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thou ^pp2+pp2+++=Thou
canst ^nn+++??+=canst
not ^xnot++not++=not
die ^vb++++=die.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Then ^rn+tm+++=Then
thy ^pp$+pp2+++=thy
vengeance ^nn+nom+++=vengeance
resembles ^vbz++++=resembles
that ^cs+sub+++=that
of ^in++++=of
Jupiter ^np+++??+=Jupiter.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
studied ^vprf+++xvbnx+=studied
under ^in++++=under
excellent ^jj+atrb+++=excellent
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
And ^cc++++=And
wilt ^md+prd+++=wilt
thou ^pp2+pp2+++=thou
punish ^vb++++=punish
the ^ati++++=the
giver ^nn++++=giver
for ^in++++=for
the ^ati++++=the
receiver ^nn+nom+++=receiver's
's ^$++++=EXTRAWORD
sin ^nn++++=sin?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
punish ^vb++++=punish
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
first ^od++++=first
accomplice ^nn++++=accomplice
thou ^pp2+pp2+++=thou
art ^nn++++=art.
. ^zz++++=EXTRAWORD
Hope ^nn++++=Hope
bade ^vbd+++xvbn+=bade
the ^ati++++=the
slave ^nn++++=slave
endure ^vb++++=endure
one ^cd1++++=one
more ^rbr++++=more
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
soldier ^nn++++=soldier
fight ^nn++++=fight
one ^cd1++++=one
more ^rbr++++=more
war ^nn++++=war,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dying ^jj+++xvbg+=dying
king ^npt++++=king
poison ^nn++++=poison
one ^cd1++++=one
more ^rbr++++=more
heir ^nn++++=heir.
. ^zz++++=EXTRAWORD
Hope ^vb++++=Hope
rebuilt ^vbd+++xvbn+=rebuilt
every ^at++++=every
fallen ^vprf+++xvbn+=fallen
prison ^nn++++=prison.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
men ^nns++++=men
despaired ^vwbn+++xvbn+=despaired
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
have ^vb+hv+aux++=have
rested ^vprf+++xvbnx+=rested.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
blasphemest ^jjt++++=blasphemest
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
sustained ^xvbn+++xvbn+=sustained
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Nothing ^pn++++=Nothing
sustained ^vbd+++xvbn+=sustained
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
fall ^vb++++=fall.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
There ^rn+pl+++=There
thou ^pp2+pp2+++=thou
art ^nn++++=art
deceived ^vbd+++xvbn+=deceived
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Speak ^vb++++=Speak
plainly ^rb++++=plainly.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thy ^pp$+pp2+++=Thy
immortality ^nn+nom+++=immortality
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
bestowed ^vbd+++xvbn+=bestowed
merely ^rb+down+++=merely
as ^in++++=as
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Not ^xnot++not++=Not
merely ^rb+down+++=merely?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
The ^ati++++=The
Galilean ^np+nom++??+=Galilean
saw ^vbd+vprv++xvbn+=saw
farther ^rbr++++=farther
than ^in++++=than
revenge ^nn++++=revenge.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Take ^vb++++=Take
care ^nn++++=care,
, ^zz++++=EXTRAWORD
Titan ^nn++++=Titan.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Why ^wrb+who+++=Why
wert ^nn+++??+=wert
thou ^pp2+pp2+++=thou
commanded ^vbd+vpub++xvbn+=commanded
to ^to++++=to
wander ^vbi++++=wander
until ^in++++=until
his ^pp$+pp3+++=his
return ^nn++++=return?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not
for ^in++++=for
a ^at++++=a
thousand ^cd++++=thousand
years ^nns++++=years?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not
until ^cs+sub+++=until
Jerusalem ^np++++=Jerusalem
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
last ^jj+atrb+++=last
altar ^nn++++=altar
cracked ^vbd+++xvbn+=cracked?
? ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
thy ^pp$+pp2+++=thy
journey ^nn++++=journey
had ^vb+hv+vrb++=had
a ^at++++=a
purpose ^nn++++=purpose
beyond ^in++++=beyond
repentance ^nn+nom+++=repentance.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
wert ^vb+++??+=wert
reserved ^vbd+++xvbn+=reserved.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
For ^in++++=For
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
For ^in++++=For
the ^ati++++=the
new ^jj+atrb+++=new
world ^nn++++=world.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thou ^pp2+pp2+++=Thou
liest ^jjt++++=liest
to ^to++++=to
loosen ^vbi++++=loosen
thy ^pp$+pp2+++=thy
chains ^nns++++=chains.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Tighten ^vb++++=Tighten
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
waters ^nns++++=waters
return ^nn++++=return
and ^cc++++=and
the ^ati++++=the
earth ^nn++++=earth
is ^vbz+bez+aux++=is
clothed ^vpsv++agls+xvbnx+=clothed
anew ^nn+++??+=anew,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
children ^nns++++=children
shall ^md+prd+++=shall
awaken ^vb++++=awaken
without ^in++++=without
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
Perfection ^nn+nom+++=Perfection
itself ^ppl++++=itself
would ^md+prd+++=would
imperil ^vb+++??+=imperil
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
innocence ^nn+nom+++=innocence
knows ^vbz+vprv+++=knows
not ^xnot++not++=not
the ^ati++++=the
disguises ^nns++++=disguises
of ^in++++=of
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
shall ^md+prd+++=shall
require ^vb+vsua+++=require
one ^cd1++++=one
who ^whp+rel+subj++=who
hath ^vbz+hvz+aux++=hath
seen ^vprf++tht0+xvbnx+=seen
every ^at++++=every
temptation ^nn+nom+++=temptation
crowned ^vwbn+++xvbn+=crowned
and ^cc++++=and
every ^at++++=every
falsehood ^nn+nom+++=falsehood
unmasked ^vbd+++xvbn+=unmasked;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
whom ^whp+rel+obj++=whom
no ^at++++=no
splendor ^nn++++=splendor
can ^md+pos+++=can
dazzle ^vb++++=dazzle,
, ^zz++++=EXTRAWORD
no ^at++++=no
threat ^nn++++=threat
terrify ^vb++++=terrify,
, ^zz++++=EXTRAWORD
no ^at++++=no
length ^rb++++=length
of ^in++++=of
years ^nns++++=years
corrupt ^jj++++=corrupt.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc+cls+++=And
where ^wrb+who+++=where
is ^vbz+bez+vrb++=is
such ^abl++++=such
a ^at++++=a
one ^pn++++=one?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Before ^in++++=Before
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
