Dr ^npt++++=Dr.
a ^at++++=a
gray ^np++++=gray
dress ^nn++++=dress
without ^in++++=without
a ^at++++=a
belt ^nn++++=belt.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
braids ^nns+++??+=braids.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++=and
then ^rn+tm+++=then
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
putting ^vbg+++xvbgx+=putting
me ^pp1o+pp1+++=me
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
all ^rb++++=all
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
me ^pp1o+pp1+++=me
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
unfastening ^nvbg+++xvbg+=unfastening
the ^ati++++=the
buttons ^nns++++=buttons
at ^rb++++=at
her ^pp3o+pp3+++=her
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
fingers ^nns+nom+++=fingers
worked ^vbd+++xvbn+=worked
desperately ^rb++++=desperately
but ^cc++++=but
could ^md+pos+++=could
not ^xnot++not++=not
manage ^vb++++=manage
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="Clara,
clara ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
stop ^vb++++=stop."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
being ^xvbg+++xvbg+=being
afraid ^jj++++=afraid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
toward ^in++++=toward
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
surrendering ^vwbg+++xvbg+=surrendering
to ^in++++=to
passion ^nn++++=passion.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
someone ^pn++++=someone
preparing ^vb+++xvbg+=preparing
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
hurt ^vpsv++agls+xvbnx+=hurt.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
believed ^vbd+vprv+tht0+xvbnx+=believed
she ^pp3a+pp3+++=she
could ^md+pos+++=could
end ^vb++++=end
fear ^vb++++=fear
by ^in++++=by
commanding ^xvbg+++xvbg+=commanding
the ^ati++++=the
feared ^jj+atrb++xvbn+=feared
thing ^nn++++=thing
to ^to++++=to
happen ^vbi+v+++=happen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
her ^pp$+pp3+++=her
wrists ^nns++++=wrists.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't,"
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
Clara ^np++++=Clara
in ^in++++=in
the ^ati++++=the
hallway ^nn++++=hallway
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlady ^nn++++=landlady
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Clara ^np++++=Clara's
's ^$++++=EXTRAWORD
loosened ^vbd+++xvbn+=loosened
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
at ^in++++=at
Leroy ^np++++=LeRoy's
's ^$++++=EXTRAWORD
hands ^nns++++=hands
upon ^in++++=upon
her ^pp$+pp3+++=her
wrists ^nns++++=wrists.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
mouth ^nn++++=mouth
hardened ^vbd+++xvbn+=hardened.
. ^zz++++=EXTRAWORD
" ^zz++++="So,"
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
did ^vbd+dod+aux++=did
not ^xnot++not++=not
think ^vb+vprv+++=think.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
strike ^vbi++++=strike
down ^in++++=down
the ^ati++++=the
judgment ^nn+nom+++=judgment
in ^in++++=in
the ^ati++++=the
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
engaged ^vpsv++agls+xvbnx+=engaged,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Clara
clara ^np++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
married ^vpsv++agls+xvbnx+=married."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^in++++=EXTRAWORD
when ^wrb+who+++=when?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^in++++=EXTRAWORD
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
she ^pp3a+pp3+++=she
would ^md+prd+++=would
marry ^vb++++=marry
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Clara ^np++++=Clara
made ^vbd+++xvbn+=made
a ^at++++=a
small ^jj+atrb+++=small
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
need ^vb++++=needn't
n't ^xnot++not++0=EXTRAWORD
concern ^vb++++=concern
yourself ^ppl+pp2+++=yourself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
landlady ^nn++++=landlady
went ^vbd+++xvbn+=went
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
believed ^vbd+vprv++xvbnx+=believed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
The ^ati++++=The
announcement ^nn+nom+++=announcement
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
needed ^vbd+++xvbnx+=needed
a ^at++++=a
respectable ^jj+atrb+++=respectable
name ^nn++++=name
for ^in++++=for
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
sank ^vbd+++xvbn+=sank
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
knelt ^vbd+++xvbn+=knelt
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
field ^nn++++=field
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
dark ^jj+atrb+++=dark
figure ^nn++++=figure
bent ^vbd+++xvbn+=bent
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
lied ^vbd+++xvbn+=lied,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
marry ^vbi++++=marry
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
even ^rb++++=even
want ^vb++++=want
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
answer ^vb++++=answer
that ^tht+vcmp+++=that
simply ^rb++++=simply.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
desired ^vprf+++xvbnx+=desired
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
desire ^nn++++=desire
remained ^vbd+++xvbn+=remained
in ^in++++=in
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
confused ^j+++xvbn+=confused
now ^rn+tm+++=now
with ^in++++=with
pity ^nn++++=pity
and ^cc++++=and
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
a ^at++++=a
room ^nn++++=room
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
in ^in++++=in
another ^ppls++++=another
house ^npl++++=house.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
weeks ^nns++++=weeks
he ^pp3a+pp3+++=he
visited ^vbd+++xvbnx+=visited
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
walked ^vbd+++xvbnx+=walked
in ^in++++=in
the ^ati++++=the
park ^nn++++=park
or ^cc++++=or
sat ^vpsv++agls+xvbn+=sat
beside ^in+pl+++=beside
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
talked ^vbd+++xvbnx+=talked
rapidly ^rb++++=rapidly
of ^in++++=of
her ^pp$+pp3+++=her
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
too ^ql++++=too
near ^in+pl+++=near
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
missed ^vbd+++xvbnx+=missed
an ^at++++=an
evening ^nn++++=evening
she ^pp3a+pp3+++=she
sent ^vbd+++xvbnx+=sent
a ^at++++=a
note ^nn++++=note
asking ^vwbg+vsua++xvbg+=asking
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
tired ^jj+++xvbn+=tired
of ^in++++=of
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
explain ^vbi+vpub+tht0++=explain
her ^pp$+pp3+++=her
to ^in++++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
be ^vbi++vrb++=be
ashamed ^jj+pred+++=ashamed
of ^in++++=of
your ^pp$+pp2+++=your
body ^nn++++=body,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
trouble ^nn++++=trouble."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
all ^abn++++=all?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+++=think
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
slept ^vbd+++xvbnx+=slept
with ^in++++=with
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
would ^md+prd+++=would
be ^vb+be+aux++=be
cured ^vpsv++agls+xvbnx+=cured."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
pleasure ^nn++++=pleasure
in ^in++++=in
the ^ati++++=the
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
smart ^jj++++=smart,
, ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say
things ^nns++++=things
so ^ql++++=so
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
on ^in++++=on
a ^at++++=a
pier ^nn++++=pier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lake ^nn++++=lake
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lights ^nns++++=lights
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore
shook ^vbd+++xvbn+=shook
in ^in++++=in
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
someone ^pn++++=someone
to ^in++++=to
love ^nn++++=love
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
anything ^pn++++=anything,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Long
long ^rb++++=EXTRAWORD
enough ^qlp++++=enough
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
believe ^vbi+vprv+++=believe
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
released ^vbd+++xvbnx+=released
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
she ^pp3a+pp3+++=she
required ^vbd+++xvbnx+=required
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
dramatic ^jj+atrb+++=dramatic
rescue ^nn++++=rescue.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
seized ^vbd+++xvbn+=seized,
, ^zz++++=EXTRAWORD
awakened ^j+++xvbn+=awakened,
, ^zz++++=EXTRAWORD
conquered ^j+++xvbn+=conquered,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
instructed ^vbd+++xvbn+=instructed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
needed ^vbd+++xvbnx+=needed
love ^nn++++=love
repeated ^vbd+++xvbn+=repeated
patiently ^rb++++=patiently
through ^in++++=through
days ^nns++++=days
and ^cc++++=and
years ^nns++++=years,
, ^zz++++=EXTRAWORD
love ^nn++++=love
that ^tht+rel+subj++=that
could ^md+pos+++=could
endure ^vb++++=endure
her ^pp$+pp3+++=her
advance ^nn+nom+++=advance
and ^cc++++=and
her ^pp$+pp3+++=her
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hunger ^nn++++=hunger
and ^cc++++=and
her ^pp$+pp3+++=her
fear ^vb++++=fear.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
needed ^vbd+++xvbnx+=needed
someone ^pn++++=someone
who ^whp+who+++=who
would ^md+prd+++=would
not ^xnot++not++=not
punish ^vb++++=punish
her ^pp$+pp3+++=her
for ^in++++=for
being ^xvbg+++xvbg+=being
unable ^jj++++=unable
to ^to+jcmp+++=to
give ^vbi++++=give
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
withhold ^vbi++++=withhold.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
no ^at++++=no
man ^nn++++=man
could ^md+pos+++=could
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
part ^nn++++=part
hidden ^vbd+++xvbn+=hidden
from ^in++++=from
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
did ^vbd+dod+aux++=did
not ^xnot++not++=not
become ^vb++++=become
her ^pp$+pp3+++=her
lover ^nn++++=lover.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
poor ^jj+pred+++=poor,
, ^zz++++=EXTRAWORD
restless ^jj++++=restless,
, ^zz++++=EXTRAWORD
vain ^jj++++=vain
about ^in++++=about
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afraid ^jj++++=afraid
of ^in++++=of
promises ^nns++++=promises.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
false ^jj+atrb+++=false
engagement ^nn+nom+++=engagement
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
impulse ^nn++++=impulse,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
revelation ^nn+nom+++=revelation
of ^in++++=of
heroic ^jj+atrb+++=heroic
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
days ^nns++++=days
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
wished ^vbd+vprv+tht0+xvbnx+=wished
Clara ^np++++=Clara
would ^md+prd+++=would
surrender ^nn+nom+++=surrender
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
end ^nn++++=end
the ^ati++++=the
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
other ^ap++++=other
days ^nns++++=days
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
wished ^vbd+vprv+tht0+xvbnx+=wished
she ^pp3a+pp3+++=she
would ^md+prd+++=would
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
became ^vbd+++xvbn+=became
ill ^jj++++=ill,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
packed ^vbd+++xvbnx+=packed
her ^pp3o+pp3+++=her
music ^nn++++=music
books ^nns++++=books
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
Iowa ^np+++??+=Iowa.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
station ^nn+nom+++=station
she ^pp3a+pp3+++=she
kissed ^vbd+++xvbnx+=kissed
Leroy ^np+++??+=LeRoy
on ^in++++=on
the ^ati++++=the
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
the ^ati++++=the
kiss ^vb++++=kiss
was ^vbd+bedz+aux++=was
freely ^rb++splt++=freely
given ^vpsv++agls+xvbnx+=given,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
more ^rbr++++=more
intimate ^jj++++=intimate
than ^in++++=than
anything ^pn++++=anything
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
