Let ^vb+++xvbn+=Let
. ^zz++++=EXTRAWORD
A ^at++++=A
white ^jj+atrb+++=white
lamp ^nn++++=lamp
burned ^vbd+++xvbn+=burned
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night
behind ^in+pl+++=behind
thick ^jj+atrb+++=thick
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authorities ^nns+nom+++=authorities
explained ^vbd+vpub++xvbn+=explained,
, ^zz++++=EXTRAWORD
encourages ^nns+nom+++=encourages
unhealthy ^jj+atrb+++=unhealthy
fantasies ^nns++++=fantasies;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
Max ^np++++=Max
was ^vbd+bedz+aux++=was
to ^to++++=to
receive ^vbi++++=receive
light ^jj++++=light
without ^in++++=without
interruption ^nn+nom+++=interruption
until ^in++++=until
death ^nn++++=death.
. ^zz++++=EXTRAWORD
No ^at++++=No
window ^nn++++=window
opened ^vbd+++xvbn+=opened
outward ^jjb++++=outward.
. ^zz++++=EXTRAWORD
Food ^nn++++=Food
arrived ^vbd+++xvbn+=arrived
through ^in++++=through
a ^at++++=a
slot ^nn++++=slot.
. ^zz++++=EXTRAWORD
Waste ^vb++++=Waste
departed ^vwbn+++xvbn+=departed
through ^rp++++=through
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
smooth ^jj+pred+++=smooth,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
washable ^jj++++=washable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indifferent ^jj++++=indifferent.
. ^zz++++=EXTRAWORD
No ^at++++=No
voice ^nn++++=voice
addressed ^vbd+++xvbn+=addressed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
guard ^nn++++=guard's
's ^$++++=EXTRAWORD
steps ^nns++++=steps
were ^vbd+bed+aux++=were
softened ^vpsv++by+xvbnx+=softened
by ^in++++=by
a ^at++++=a
corridor ^nn++++=corridor
constructed ^vbd+++xvbn+=constructed
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
latest ^jjt+atrb+++=latest
humane ^jj+atrb+++=humane
principles ^nns++++=principles.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
Max ^np++++=Max
counted ^vbd+++xvbn+=counted
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
hours ^nns++++=hours
lost ^vbd+++xvbn+=lost
their ^pp$+pp3+++=their
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
counted ^vbd+++xvbnx+=counted
meals ^nns++++=meals.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
meals ^nns++++=meals
varied ^vbd+++xvbn+=varied,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
counted ^vbd+++xvbnx+=counted
breaths ^nns++++=breaths,
, ^zz++++=EXTRAWORD
heartbeats ^nns++++=heartbeats,
, ^zz++++=EXTRAWORD
cracks ^nns++++=cracks
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
cracks ^nns++++=cracks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
slight ^jj+atrb+++=slight
tremor ^nn++++=tremor
of ^in++++=of
light ^nn++++=light
upon ^in++++=upon
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
sleep ^vbi++++=sleep
with ^in++++=with
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
over ^in++++=over
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
light ^nn++++=light
entered ^vbd+++xvbn+=entered
through ^in++++=through
cloth ^nn++++=cloth
and ^cc++++=and
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
painting ^nvbg+++xvbg+=painting
the ^ati++++=the
lids ^nns++++=lids
a ^at++++=a
reddish ^jj+atrb+++=reddish
white ^nn++++=white.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dreamed ^vbd+vprv++xvbnx+=dreamed
of ^in++++=of
night ^nn++++=night
as ^in++++=as
thirsty ^jj+atrb+++=thirsty
men ^nns++++=men
dream ^nn++++=dream
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
body ^nn++++=body
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
Muscles ^nns++++=Muscles
weakened ^vbd+++xvbn+=weakened,
, ^zz++++=EXTRAWORD
joints ^nns++++=joints
stiffened ^vbd+++xvbn+=stiffened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
unable ^jj++++=unable
either ^dtx++++=either
to ^to++++=to
walk ^vbi++++=walk
or ^cc++++=or
lie ^nn++++=lie
comfortably ^rb+cnj+++=comfortably,
, ^zz++++=EXTRAWORD
swelled ^j+++xvbn+=swelled
like ^in++++=like
neglected ^xvbn+++xvbn+=neglected
objects ^nns++++=objects
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
someone ^pn++++=someone
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Physicians ^nns++++=Physicians
visited ^vbd+++xvbn+=visited
at ^rb++++=at
intervals ^nns+nom+++=intervals.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
measured ^vbd+++xvbnx+=measured
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
tapped ^xvbn+++xvbn+=tapped
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
questioned ^j+++xvbn+=questioned
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
adaptation ^nn+nom+++=adaptation
was ^vbd+bedz+vrb++=was
remarkable ^jj+pred+++=remarkable.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
physician ^nn++++=physician
recorded ^vbd+vpub++xvbn+=recorded
" ^zz++++="indifference,"
indifference ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
because ^cs+cos+++=because
science ^nn+nom+++=science
must ^md+nec+++=must
write ^vb++++=write
something ^pn++++=something
in ^in++++=in
every ^at++++=every
box ^nn++++=box.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
not ^xnot++not++=not
die ^vb++++=die?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+aux++=have
refused ^vprf+++xvbnx+=refused
food ^nn++++=food.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+aux++=have
broken ^vprf+++xvbnx+=broken
his ^pp$+pp3+++=his
head ^nn++++=head
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
wall ^nn++++=wall
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
padded ^vpsv++agls+xvbnx+=padded
precisely ^rb++++=precisely
against ^in++++=against
such ^abl++++=such
philosophical ^jj+atrb+++=philosophical
objections ^nns+nom+++=objections.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+aux++=have
surrendered ^vprf+++xvbnx+=surrendered
the ^ati++++=the
mind ^nn++++=mind
first ^rb++++=first
and ^cc++++=and
let ^vb+++xvbn+=let
the ^ati++++=the
body ^nn++++=body
follow ^vb+vprv+++=follow
like ^in++++=like
an ^at++++=an
obedient ^jj+atrb+++=obedient
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
for ^in++++=for
love ^nn++++=love,
, ^zz++++=EXTRAWORD
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
boredom ^nn+nom+++=boredom,
, ^zz++++=EXTRAWORD
embarrassment ^nn+nom+++=embarrassment,
, ^zz++++=EXTRAWORD
unpaid ^jj+atrb+++=unpaid
debts ^nns++++=debts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opinions ^nns++++=opinions
about ^in++++=about
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
love ^nn++++=love,
, ^zz++++=EXTRAWORD
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
freedom ^nn+nom+++=freedom,
, ^zz++++=EXTRAWORD
society ^nn++++=society,
, ^zz++++=EXTRAWORD
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
usefulness ^nns+nom+++=usefulness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
the ^ati++++=the
elementary ^jj+atrb+++=elementary
pleasure ^nn++++=pleasure
of ^in++++=of
turning ^xvbg+++xvbg+=turning
his ^pp$+pp3+++=his
face ^nn++++=face
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
the ^ati++++=the
account ^nn++++=account
was ^vbd+bedz+vrb++=was
complete ^jj+pred+++=complete.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bent ^vbd+++xvbnx+=bent
and ^cc+phrs+++=and
straightened ^vbd+++xvbn+=straightened
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
to ^to++++=to
preserve ^vbi++++=preserve
their ^pp$+pp3+++=their
motion ^nn++++=motion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
repeated ^vbd+++xvbnx+=repeated
words ^nns++++=words
so ^ql++++=so
that ^dt+dem+++=that
language ^nn+nom+++=language
would ^md+prd+++=would
not ^xnot++not++=not
dissolve ^vb++++=dissolve.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reconstructed ^vbd+++xvbnx+=reconstructed
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
beloved ^jj+atrb+++=beloved's
's ^vbz+bez+vrb++0=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
no ^at++++=no
longer ^rbr++++=longer
hated ^jj+++xvbn+=hated
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv+tht0+xvbnx+=remembered
his ^pp$+pp3+++=his
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
judges ^nns++++=judges,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
disciples ^nns++++=disciples,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crowds ^nns++++=crowds.
. ^zz++++=EXTRAWORD
Hatred ^nn++++=Hatred
required ^vbd+++xvbn+=required
too ^ql++++=too
much ^ap++++=much
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
inner ^jjb+atrb+++=inner
room ^nn++++=room
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
bare ^jj++++=bare.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
years ^nns++++=years
accumulated ^vbd+++xvbn+=accumulated.
. ^zz++++=EXTRAWORD
Governments ^nns+nom+++=Governments
changed ^vbd+++xvbn+=changed
names ^nns++++=names.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
learned ^vbd+vprv++xvbn+=learned
distorted ^xvbn+++xvbn+=distorted
lessons ^nns++++=lessons
about ^in++++=about
the ^ati++++=the
monster ^nn+nom+++=monster
Max ^np++++=Max
and ^cc++++=and
the ^ati++++=the
saint ^nn++++=saint
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
textbook ^nn++++=textbook.
. ^zz++++=EXTRAWORD
Monuments ^nns+nom+++=Monuments
were ^vbd+bed+aux++=were
proposed ^vpsv++agls+xvbnx+=proposed,
, ^zz++++=EXTRAWORD
postponed ^j+++xvbn+=postponed,
, ^zz++++=EXTRAWORD
erected ^xvbn+++xvbn+=erected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pulled ^vbd+++xvbn+=pulled
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
died ^vprf+++xvbn+=died;
; ^zz++++=EXTRAWORD
the ^ati++++=the
friend ^nn++++=friend
followed ^vbd+vprv++xvbn+=followed;
; ^zz++++=EXTRAWORD
generations ^nns+nom+++=generations
kissed ^vbd+++xvbn+=kissed,
, ^zz++++=EXTRAWORD
betrayed ^j+++xvbn+=betrayed,
, ^zz++++=EXTRAWORD
forgave ^nn+++??+=forgave,
, ^zz++++=EXTRAWORD
preached ^j+++xvbn+=preached,
, ^zz++++=EXTRAWORD
panicked ^j+++xvbn+=panicked,
, ^zz++++=EXTRAWORD
imprisoned ^xvbn+++xvbn+=imprisoned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vbd+++xvbn+=called
themselves ^ppls+pp3+++=themselves
unprecedented ^jj++++=unprecedented.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lamp ^nn++++=lamp
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
illuminated ^vbd+++xvbn+=illuminated
everything ^pn++++=everything
and ^cc++++=and
explained ^vbd+vpub++xvbn+=explained
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
its ^pp$+it+++=its
merciless ^jj+atrb+++=merciless
whiteness ^nns+nom+++=whiteness
Max ^np++++=Max
sat ^vbd+++xvbn+=sat
surrounded ^vpsv++by+xvbn+=surrounded
by ^in++++=by
an ^at++++=an
inward ^jjb+atrb+++=inward
darkness ^nns+nom+++=darkness
no ^at++++=no
instrument ^nn+nom+++=instrument
could ^md+pos+++=could
penetrate ^nn+nom+++=penetrate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
no ^at++++=no
longer ^rbr++++=longer
believed ^vbd+vprv++xvbn+=believed
in ^in++++=in
unique ^jj+atrb+++=unique
love ^nn++++=love.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
no ^at++++=no
longer ^rbr++++=longer
believed ^vbd+vprv++xvbn+=believed
in ^in++++=in
perfect ^jj+atrb+++=perfect
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
no ^at++++=no
longer ^rbr++++=longer
believed ^vprf+++xvbn+=believed
that ^tht+vcmp+++=that
wisdom ^nn++++=wisdom
could ^md+pos+++=could
command ^vb++++=command
mankind ^nn++++=mankind
into ^in++++=into
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
believe ^vb+vprv+++=believe
in ^in++++=in
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
great ^jj+atrb+++=great
possessions ^nns++++=possessions
of ^in++++=of
his ^pp$+pp3+++=his
spirit ^nn++++=spirit
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
confiscated ^vpsv++agls+xvbnx+=confiscated,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
returned ^vbd+++xvbn+=returned
stamped ^vbd+++xvbn+=stamped
" ^zz++++="undeliverable."
undeliverable ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
each ^dt++++=each
time ^nn++++=time
the ^ati++++=the
slot ^nn++++=slot
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
for ^in++++=for
the ^ati++++=the
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
time ^nn++++=time
sleep ^vb++++=sleep
released ^vbd+++xvbn+=released
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
time ^nn++++=time
his ^pp$+pp3+++=his
heart ^nn++++=heart
prepared ^vwbn+++xvbn+=prepared
another ^dt++++=another
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
monotonous ^jj+atrb+++=monotonous
stroke ^nn++++=stroke,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
permitted ^vbd+++xvbn+=permitted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=He
hoped ^vbd+vprv++xvbn+=hoped.
. ^zz++++=EXTRAWORD
