Cold ^jj++++=Cold?
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
navigational ^jj+atrb+++=navigational
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
bore ^vbd+++xvbnx+=bore
left ^vbd+++xvbn+=left.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
nearly ^rb+down+++=nearly
missed ^vbd+++xvbn+=missed
the ^ati++++=the
turn ^nn++++=turn
at ^rb++++=at
Split ^vbd+++xvbn+=Split
Spruce ^jj++++=Spruce.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
by ^in++++=by
ramming ^xvbg+++xvbg+=ramming
her ^pp3o+pp3+++=her
arm ^vb++++=arm
shoulder ^nn+nom+++=shoulder-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
into ^in++++=into
a ^at++++=a
drift ^nn++++=drift
and ^cc++++=and
feeling ^nvbg+++xvbg+=feeling
the ^ati++++=the
buried ^jj+atrb++xvbn+=buried
blaze ^nn++++=blaze
with ^in++++=with
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
led ^vbd+++xvbnx+=led
us ^pp1o+pp1+++=us
over ^in++++=over
the ^ati++++=the
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting
steps ^nns++++=steps
because ^cs+cos+++=because
the ^ati++++=the
landmarks ^nns++++=landmarks
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
retirement ^nn+nom+++=retirement.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
top ^jjb++++=top
the ^ati++++=the
wind ^nn++++=wind
picked ^vbd+++xvbn+=picked
French ^jj+atrb+++=French
Pete ^np++++=Pete
up ^rp++++=up,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
a ^at++++=a
compact ^jj+atrb+++=compact
Frenchman ^nn+nom+++=Frenchman
can ^md+pos+++=can
be ^vb+be+aux++=be
picked ^vpsv++agls+xvbnx+=picked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rolled ^jj+++xvbn+=rolled
him ^pp3o+pp3+++=him
twenty ^cd++++=twenty
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rope ^nn++++=rope
fetched ^vbd+++xvbn+=fetched
him ^pp3o+pp3+++=him
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
come ^vb++++=come
back ^jjb+atrb+++=back
using ^jj+atrb++xvbg+=using
language ^nn+nom+++=language
that ^tht+rel+subj++=that
would ^md+prd+++=would
blister ^nn+nom+++=blister
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
" ^zz++++="Save
save ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
breath ^nn++++=breath,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Annie ^np+++??+=Annie.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
use ^nn++++=use
heem ^pp3o+pp3+++=heem
to ^to++++=to
keep ^vbi++++=keep
warm ^jj++++=warm!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Below ^in+pl+++=Below
the ^ati++++=the
ridge ^nn++++=ridge
John ^np++++=John
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
pointed ^jj+++xvbn+=pointed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
heard ^vbd+vprv+tht0+xvbn+=heard
nothing ^pn++++=nothing
at ^rb++++=at
first ^rb"++++=first
but ^cc++++=but
the ^ati++++=the
blizzard ^nn++++=blizzard
blizzing ^vwbg+++xvbg+=blizzing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
between ^in++++=between
gusts ^nns++++=gusts,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
a ^at++++=a
doglike ^jj+atrb+++=doglike
howl ^nn++++=howl.
. ^zz++++=EXTRAWORD
" ^zz++++="Ole!"
ole ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
shouted ^vbd+vpub++xvbn+=shouted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
howl ^nn++++=howl
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++=them
behind ^in+pl+++=behind
the ^ati++++=the
wrecked ^nn++++=wrecked
sled ^vbd+++xvbn+=sled.
. ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
had ^vbd+hvd+aux++=had
dug ^vprf+++xvbnx+=dug
a ^at++++=a
pocket ^nn++++=pocket
in ^in++++=in
the ^ati++++=the
lee ^nn++++=lee
and ^cc++++=and
stuffed ^vbd+++xvbn+=stuffed
his ^pp$+pp3+++=his
brother ^nn++++=brother
into ^in++++=into
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
across ^in+pl+++=across
Lars ^np+++??+=Lars
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
wind ^nn++++=wind
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyebrows ^nns++++=eyebrows
and ^cc++++=and
beard ^nn++++=beard
was ^vbd+bedz+vrb++=was
solid ^jj+atrb+++=solid
ice ^nn++++=ice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
him ^pp3o+pp3+++=him
up ^rp++++=up
he ^pp3a+pp3+++=he
fought ^vbd+++xvbnx+=fought
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
who ^whp+wpr+whcl++=who
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="Easy,
easy ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lars,"
lars ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
saying ^vbg+++xvbg+=saying.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
Lars ^np+++??+=Lars
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
knelt ^vbd+++xvbn+=knelt
and ^cc+phrs+++=and
shoved ^vbd+++xvbn+=shoved
us ^pp1o+pp1+++=us
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
Lars ^np+++??+=Lars
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
much ^rb++++=much.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
leg ^nn++++=leg
lay ^vbd+++xvbn+=lay
wrong ^jj++++=wrong
below ^rb++++=below
the ^ati++++=the
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+vrb++=was
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
stopped ^vprf+++xvbnx+=stopped
shivering ^vbg+++xvbg+=shivering
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
bad ^jj+atrb+++=bad
sign ^nn++++=sign,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
looks ^vbz++++=looks
peaceful ^jj++++=peaceful.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
felt ^vbd+vprv++xvbn+=felt
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
own ^ap++++=own
bare ^jj+atrb+++=bare
hand ^nn++++=hand
against ^in++++=against
his ^pp$+pp3+++=his
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
" ^zz++++="Blankets!
blankets ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
there ^rn+pl+++=there
like ^in++++=like
a ^at++++=a
row ^nn++++=row
of ^in++++=of
condemned ^jj+atrb++xvbn+=condemned
fence ^nn++++=fence
posts ^nns++++=posts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wrapped ^vbd+++xvbn+=wrapped
Lars ^np+++??+=Lars
and ^cc++++=and
lashed ^vbd+++xvbn+=lashed
him ^pp3o+pp3+++=him
onto ^in++++=onto
the ^ati++++=the
sled ^nn++++=sled.
. ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
could ^md+pos+++=could
not ^xnot++not++=not
walk ^vb++++=walk,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
him ^pp3o+pp3+++=him
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
John ^np++++=John
went ^vbd+++xvbn+=went
on ^in++++=on
a ^at++++=a
travois ^nns+++??+=travois
improvised ^vbd+++xvbn+=improvised
from ^in++++=from
the ^ati++++=the
broken ^nn++++=broken
sled ^vbd+++xvbn+=sled
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distributed ^jj+++xvbn+=distributed
our ^pp$+pp1+++=our
transport ^nn++++=transport
facilities ^nns+nom+++=facilities
beyond ^in++++=beyond
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
financially ^rb++++=financially
advisable ^jj+pred+++=advisable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
journey ^nn++++=journey
back ^jjb++++=back
took ^vbd+++xvbn+=took
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Halfway ^rb++++=Halfway
up ^rp++++=up
Split ^vbd+++xvbn+=Split
Spruce ^jj+atrb+++=Spruce
ridge ^nn++++=ridge
the ^ati++++=the
dogs ^nns++++=dogs
quit ^vb++++=quit.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
a ^at++++=a
speech ^nn++++=speech;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
simply ^rb++++=simply
folded ^jj+++xvbn+=folded.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
pushed ^vbd+++xvbn+=pushed
the ^ati++++=the
sled ^jj+++xvbn+=sled
while ^cs+sub+++=while
Annie ^np+++??+=Annie
crawled ^vprf+++xvbn+=crawled
ahead ^rb+pl+++=ahead
breaking ^vbg+++xvbg+=breaking
the ^ati++++=the
crust ^nn++++=crust.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
Tallow ^np+++??+=Tallow-Face
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
disappeared ^vbd+seem++xvbn+=disappeared
waist ^nn++++=waist-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
into ^in++++=into
overflow ^nn++++=overflow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers
froze ^vbd+++xvbn+=froze
stiff ^jj++++=stiff
enough ^qlp++++=enough
to ^in++++=to
have ^vbi++vrb++=have
independent ^jj+atrb+++=independent
political ^jj+atrb+++=political
opinions ^nns++++=opinions.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
we ^pp1a+pp1+++=we
lost ^vbd+++xvbn+=lost
the ^ati++++=the
blazed ^jj+atrb++xvbn+=blazed
spruce ^nn++++=spruce
and ^cc++++=and
circled ^vbd+++xvbn+=circled
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
crossed ^vbd+++xvbn+=crossed
our ^pp$+pp1+++=our
own ^ap++++=own
rope ^nn++++=rope
track ^nn++++=track.
. ^zz++++=EXTRAWORD
John ^np++++=John
corrected ^vwbn+++xvbn+=corrected
us ^pp1o+pp1+++=us
from ^in++++=from
under ^in++++=under
three ^cd++++=three
blankets ^nns++++=blankets
without ^in++++=without
opening ^xvbg+++xvbg+=opening
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Lars ^np+++??+=Lars
quit ^vb++++=quit
breathing ^nvbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
heard ^vbd+vprv++xvbn+=heard
Ole ^np+++??+=Ole
cry ^nn++++=cry
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped
the ^ati++++=the
sled ^jj+++xvbn+=sled,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
over ^in++++=over
Lars ^np+++??+=Lars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worked ^vbd+++xvbn+=worked
on ^rp++++=on
him ^pp3o+pp3+++=him
pressing ^vbg+++xvbg+=pressing
his ^pp$+pp3+++=his
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
breathing ^nvbg+++xvbg+=breathing
into ^in++++=into
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
the ^ati++++=the
cold ^jj+atrb+++=cold
flesh ^nn++++=flesh
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
shirt ^nn++++=shirt.
. ^zz++++=EXTRAWORD
Wind ^nn++++=Wind
tore ^vbd+++xvbn+=tore
at ^rb++++=at
her ^pp3o+pp3+++=her
hood ^nn++++=hood.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
came ^vbd+++xvbn+=came
down ^rp++++=down
and ^cc++++=and
streamed ^vprf+++xvbn+=streamed
straight ^jj++++=straight
out ^rp+pl+++=out
like ^in++++=like
a ^at++++=a
black ^jj+atrb+++=black
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
thieving ^jj+atrb++xvbg+=thieving
devil ^nn++++=devil,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says
into ^in++++=into
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
escape ^nn++++=escape
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
Breathe ^vb++++=Breathe!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
struck ^vbd+++xvbnx+=struck
his ^pp$+pp3+++=his
chest ^nn++++=chest
and ^cc++++=and
breathed ^vpsv++agls+xvbn+=breathed
into ^in++++=into
him ^pp3o+pp3+++=him
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
claim ^nn++++=claim's
's ^$++++=EXTRAWORD
no ^at++++=no
good ^jj++++=good!
! ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
beat ^vb+++xvbn+=beat
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
court ^nn++++=court.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
jump ^vb++++=jump
your ^pp$+pp2+++=your
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Breathe ^vb++++=Breathe,
, ^zz++++=EXTRAWORD
damn ^vb++++=damn
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lars ^np+++??+=Lars
gave ^vbd+++xvbn+=gave
a ^at++++=a
queer ^jj+atrb+++=queer
little ^jj+atrb+++=little
cough ^nn++++=cough.
. ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
began ^vbd+++xvbn+=began
to ^to++++=to
sob ^vbi++++=sob.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
frozen ^vpsv++agls+xvbnx+=frozen,
, ^zz++++=EXTRAWORD
exhausted ^j+++xvbn+=exhausted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Swedish ^jj++++=Swedish,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
heavy ^jj+atrb+++=heavy
combination ^nn+nom+++=combination.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
snarled ^vbd+++xvbn+=snarled
at ^in++++=at
him ^pp3o+pp3+++=him
to ^to++++=to
save ^vbi++++=save
his ^pp$+pp3+++=his
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
moved ^vbd+++xvbn+=moved
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Black ^jj+atrb+++=Black
Spruce ^jj+atrb+++=Spruce
lantern ^nn++++=lantern
finally ^rb++++=finally
showed ^vbd+vprv++xvbn+=showed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
no ^at++++=no
farther ^rbr++++=farther
away ^rp+pl+++=away
than ^in++++=than
a ^at++++=a
star ^nn++++=star
and ^cc++++=and
twice ^rb++++=twice
as ^in++++=as
improbable ^nn++++=improbable.
. ^zz++++=EXTRAWORD
Sims ^np+++??+=Sims,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
stayed ^vprf+++xvbnx+=stayed
to ^in++++=to
mind ^nn++++=mind
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
hung ^vprf+++xvbnx+=hung
two ^cd++++=two
lamps ^nns++++=lamps
outside ^jjb++++=outside
and ^cc++++=and
kept ^vbd+++xvbn+=kept
firing ^nvbg+++xvbg+=firing
a ^at++++=a
rifle ^nn++++=rifle
every ^at++++=every
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
us ^pp1o+pp1+++=us
in ^in++++=in
one ^pn++++=one
at ^in++++=at
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting
like ^in++++=like
Noah ^np++++=Noah
with ^in++++=with
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
passenger ^nn+nom+++=passenger
list ^nn++++=list.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
took ^vbd+++xvbn+=took
possession ^nn++++=possession
after ^in++++=after
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thawed ^vbd+++xvbn+=thawed
the ^ati++++=the
Lunds ^np+++??+=Lunds
gradual ^jj++++=gradual,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
sudden ^jj+atrb+++=sudden
heat ^nn++++=heat
can ^md+pos+++=can
finish ^vb++++=finish
what ^wdt+who+++=what
frost ^nn++++=frost
begins ^vbz++++=begins.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
splinted ^vbd+++xvbn+=splinted
Lars ^np++++=Lars's
's ^$++++=EXTRAWORD
leg ^nn++++=leg
with ^in++++=with
kindling ^nn+nom+++=kindling
and ^cc++++=and
flour ^nn++++=flour
sacking ^nn++++=sacking.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dosed ^vbd+++xvbnx+=dosed
Ole ^np+++??+=Ole
with ^in++++=with
broth ^nn++++=broth,
, ^zz++++=EXTRAWORD
slapped ^j+++xvbn+=slapped
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
sleep ^vbi++++=sleep
too ^ql++++=too
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
hands ^nns++++=hands
until ^cs+sub+++=until
the ^ati++++=the
blood ^nn++++=blood
come ^vb++++=come
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
For ^in++++=For
thirty ^cd++++=thirty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
hours ^nns++++=hours
she ^pp3a+pp3+++=she
scarcely ^rb+down+++=scarcely
rested ^vbd+++xvbn+=rested.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
offered ^vbd+++xvbn+=offered
help ^vb++++=help,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
instructions ^nns+nom+++=instructions
so ^rb+emph+++=so
insulting ^jj++++=insulting
a ^at++++=a
man ^nn++++=man
obeyed ^vbd+++xvbn+=obeyed
merely ^rb+down+++=merely
to ^to++++=to
prove ^vbi+vprv+tht0++=prove
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood
English ^jj++++=English.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
second ^od++++=second
day ^nn++++=day
Ole ^np+++??+=Ole
opened ^vbd+++xvbn+=opened
both ^abx++++=both
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Vhere
vhere ^nn+++??+=EXTRAWORD
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
a ^at++++=a
place ^nn++++=place
you ^pp2+pp2+++=you
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
earned ^vprf+++xvbn+=earned,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Annie ^np+++??+=Annie.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="You?"
you ^pp2+pp2+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
excite ^vb++++=excite
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
gratitude ^nn++++=gratitude
might ^md+pos+++=might
fracture ^vb++++=fracture
something ^pn++++=something."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lars?"
lars ^np++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Alive."
alive ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
other ^ap++++=other
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
Annie ^np++++=Annie's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
jerked ^vbd+++xvbn+=jerked
away ^rp+pl+++=away
like ^in++++=like
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
put ^vprf+++xvbnx+=put
a ^at++++=a
live ^jj+atrb+++=live
coal ^nn++++=coal
in ^in++++=in
her ^pp$+pp3+++=her
palm ^np++++=palm.
. ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
that ^dt+pdem+++=that
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
reset ^vb+++??+=reset
your ^pp$+pp2+++=your
brother ^nn++++=brother's
's ^$++++=EXTRAWORD
leg ^nn++++=leg
diagonally ^rb++++=diagonally."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
back ^jjb++++=back
of ^in++++=of
the ^ati++++=the
woodpile ^nn+++??+=woodpile
and ^cc++++=and
stayed ^vbd+++xvbn+=stayed
there ^rn+pl+++=there
ten ^cd++++=ten
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
forty ^cd++++=forty
below ^in+pl+++=below
and ^cc++++=and
no ^at++++=no
respectable ^jj+atrb+++=respectable
purpose ^nn++++=purpose
awaited ^vbd+++xvbn+=awaited
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
blew ^vbd+++xvbn+=blew
itself ^ppl++++=itself
empty ^jj++++=empty
by ^in++++=by
the ^ati++++=the
third ^nn++++=third
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Sky ^nn++++=Sky
come ^vb++++=come
out ^rp+pl+++=out
hard ^jj++++=hard
blue ^jj++++=blue,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hills ^npl++++=hills
