# ^zz++++=##
# ^zz++++=EXTRAWORD
Jane ^np++++=Jane
figures ^nns++++=figures?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Property?"
property ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bank
bank ^nn++++=EXTRAWORD
interest ^nn++++=interest?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Jane ^np++++=Jane."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
what ^wdt+who+++=what
has ^vbz+hvz+aux++=has
filled ^vprf+++xvbnx+=filled
three ^cd++++=three
sheets ^nns++++=sheets?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
letter ^nn++++=letter
against ^in++++=against
her ^pp$+pp3+++=her
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
" ^zz++++="Things
things ^nns++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
understand ^vb+vprv+++=understand."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
gratitude ^nn++++=gratitude
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
On ^in++++=On
Thursday ^nr++++=Thursday
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
flutter ^nn++++=flutter,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
knew ^vbd+vprv++xvbn+=knew
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
changed ^vbd+++xvbn+=changed
her ^pp3o+pp3+++=her
dress ^nn++++=dress
three ^cd++++=three
times ^nns++++=times.
. ^zz++++=EXTRAWORD
First ^rb++++=First
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
the ^ati++++=the
green ^jj+atrb+++=green
muslin ^nn++++=muslin
bought ^vbd+++xvbn+=bought
at ^rb++++=at
Easter ^np++++=Easter,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
grey ^nn++++=grey
with ^in++++=with
the ^ati++++=the
pearl ^nn++++=pearl
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose?
? ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose
the ^ati++++=the
old ^jj+atrb+++=old
brown ^jj+atrb+++=brown
dress ^nn++++=dress
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
the ^ati++++=the
day ^nn++++=day
Jack ^np++++=Jack
left ^vbd+++xvbn+=left.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
faded ^vpsv++agls+xvbnx+=faded
at ^rb++++=at
the ^ati++++=the
shoulders ^nns+nom+++=shoulders,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
liked ^vbd+++xvbnx+=liked
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
liked ^vbd+++xvbnx+=liked
you ^pp2+pp2+++=you
in ^in++++=in
it ^pp3+it+++=it
when ^wrb+who+++=when
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
eighteen ^cd++++=eighteen
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
waist ^nn++++=waist
two ^cd++++=two
inches ^nns++++=inches
smaller ^jjr++++=smaller."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
attend ^vb++++=attend.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
no ^at++++=no
jewellery ^nn+nom+++=jewellery
except ^in++++=except
the ^ati++++=the
little ^jj+atrb+++=little
brass ^nn++++=brass
locket ^nn+++??+=locket
Jack ^np++++=Jack
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
china ^np++++=china
brooch ^nn++++=brooch
from ^in++++=from
Ned ^np+++??+=Ned
Swan ^nn++++=Swan
and ^cc++++=and
a ^at++++=a
fine ^jj+atrb+++=fine
jet ^nn++++=jet
pin ^nn++++=pin
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offered ^vbd+++xvbnx+=offered
to ^to++++=to
lend ^vbi++++=lend
her ^pp$+pp3+++=her
my ^pp$+pp1+++=my
garnet ^np++++=garnet
earrings ^nns++++=earrings,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
refused ^vbd+++xvbnx+=refused.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
look ^vbi++++=look
as ^ql++++=as
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
years ^nns++++=years
has ^vbz+hvz+aux++=has
passed ^vprf+++xvbnx+=passed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
changed ^vbd+++xvbn+=changed
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+aux++=are
remarks ^vbz+vpub+++=remarks
so ^ql+emph+++=so
foolish ^jj++++=foolish
that ^dt+dem+++=that
common ^jj+atrb+++=common
sense ^nn++++=sense
has ^vbz+hvz+vrb++=has
no ^at++++=no
tool ^nn++++=tool
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
hold ^vb+vprv+++=hold
on ^rp++++=on
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
At ^rb++++=At
half ^abn++++=half
past ^jjb++++=past
seven ^cd++++=seven
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
went ^vbd+++xvbn+=went
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
a ^at++++=a
sick ^jj+atrb+++=sick
calf ^nn++++=calf
in ^in++++=in
the ^ati++++=the
far ^rb+pl+++=far
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
prayer ^nn++++=prayer-book,
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slipped ^vpsv++agls+xvbn+=slipped
from ^in++++=from
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
follow ^vbi+vprv+++=follow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
batch ^nn++++=batch
of ^in++++=of
jam ^nn++++=jam
to ^to++++=to
cover ^vbi++++=cover,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pans ^nns++++=pans
to ^to++++=to
scour ^vbi++++=scour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
bonnet ^nn++++=bonnet
wanted ^vbd+++xvbn+=wanted
new ^jj+atrb+++=new
ribbon ^nn++++=ribbon.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^in++++=as
the ^ati++++=the
poet ^nn++++=poet
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
Satan ^np++++=Satan
finds ^vbz+vprv+++=finds
some ^dti++++=some
mischief ^nn++++=mischief
still ^rb++++=still
for ^in++++=for
idle ^jj+atrb+++=idle
hands ^nns++++=hands
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
idle ^jj++++=idle,
, ^zz++++=EXTRAWORD
so ^ql++++=so
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
reason ^nn++++=reason
Satan ^np++++=Satan
should ^md+nec+++=should
be ^vb+be+aux++=be
blamed ^vpsv++agls+xvbnx+=blamed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
because ^cs+cos+++=because
Mattie ^np+++??+=Mattie
was ^vbd+bedz+vrb++=was
innocent ^jj+pred+++=innocent
and ^cc+phrs+++=and
impractical ^jj++++=impractical,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
abroad ^rb+pl+++=abroad
among ^in++++=among
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somebody ^pn++++=somebody
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
all ^abn++++=all
was ^vbd+bedz+vrb++=was
proper ^jj+pred+++=proper.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
how ^wrb+who+whcl++=how
rich ^jj++++=rich
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
far ^rb+pl+++=far
enough ^qlp++++=enough
behind ^rp+pl+++=behind
that ^dt+dem+++=that
Mattie ^np+++??+=Mattie
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
down ^in++++=down
the ^ati++++=the
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
green ^nn++++=green,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
churchyard ^nn++++=churchyard
by ^in++++=by
the ^ati++++=the
little ^jj+atrb+++=little
side ^nn++++=side
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
behind ^in+pl+++=behind
the ^ati++++=the
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
pale ^jj+pred+++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
church ^nn++++=church
windows ^nns++++=windows
showed ^vbd+vprv++xvbn+=showed
black ^nn++++=black
under ^in++++=under
the ^ati++++=the
ivy ^nn++++=ivy.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
yet ^rb++++=yet
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
walked ^vbd+++xvbn+=walked
around ^rp++++=around
the ^ati++++=the
church ^nn++++=church
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
beneath ^in+pl+++=beneath
the ^ati++++=the
yew ^nn++++=yew,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
out ^rp+pl+++=out
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
tried ^vbd+++xvbn+=tried
the ^ati++++=the
church ^nn++++=church
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Page ^np++++=Page,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sexton ^np++++=sexton,
, ^zz++++=EXTRAWORD
often ^rb++++=often
left ^vbd+++xvbn+=left
it ^pp3+it+++=it
unlocked ^vbd+++xvbn+=unlocked
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sweeping ^vbg+++xvbgx+=sweeping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
evening ^nn++++=evening
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
went ^vbd+++xvbn+=went
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
No ^at++++=No
doubt ^nn++++=doubt
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
pray ^vbi+vsua+++=pray.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
perhaps ^rb++++=perhaps
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
look ^vbi++++=look
at ^in++++=at
herself ^ppl+pp3+++=herself
in ^in++++=in
the ^ati++++=the
brass ^nn++++=brass
tablet ^nn++++=tablet
near ^in+pl+++=near
the ^ati++++=the
vestry ^nn++++=vestry,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
gave ^vbd+++xvbn+=gave
a ^at++++=a
fair ^jj+atrb+++=fair
reflection ^nn+nom+++=reflection
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
stood ^vbd+++xvbn+=stood
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
judging ^nvbg+++xvbg+=judging.
. ^zz++++=EXTRAWORD
The ^ati++++=The
key ^jjb++++=key
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
outside ^nn++++=outside
of ^in++++=of
the ^ati++++=the
lock ^nn++++=lock.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
looking ^vbg+++xvbg+=looking
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
toward ^in++++=toward
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
without ^in++++=without
forming ^xvbg+++xvbg+=forming
any ^dti++++=any
serious ^jj+atrb+++=serious
plan ^nn++++=plan,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
key ^nn++++=key.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
jokes ^nns++++=jokes
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
salt ^jj++++=salt
in ^in++++=in
my ^pp$+pp1+++=my
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
accident ^nn++++=accident,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
time ^nn++++=time
she ^pp3a+pp3+++=she
hid ^vbd+++xvbnx+=hid
my ^pp$+pp1+++=my
thimble ^nn+++??+=thimble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
keep ^vbi++++=keep
her ^pp$+pp3+++=her
there ^rn+pl+++=there
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
might ^md+pos+++=might
speak ^vb++++=speak
privately ^rb++++=privately
to ^in++++=to
Jack ^np++++=Jack
and ^cc++++=and
discover ^nn+nom+++=discover
his ^pp$+pp3+++=his
intentions ^nns+nom+++=intentions.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
his ^pp$+pp3+++=his
intentions ^nns+nom+++=intentions
was ^vbd+bedz+vrb++=was
honourable ^jj+pred+++=honourable,
, ^zz++++=EXTRAWORD
no ^at++++=no
harm ^nn++++=harm
would ^md+prd+++=would
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
would ^md+prd+++=would
thank ^vb++++=thank
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
come ^vprf+++xvbn+=come
a ^rb++++=a
little ^rb"++++=little
knock ^vb++++=knock
from ^in++++=from
inside ^nn++++=inside.
. ^zz++++=EXTRAWORD
" ^zz++++="Jane?"
jane ^np++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mattie ^np+++??+=Mattie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
surprised ^vpsv++agls+xvbnx+=surprised
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Jane ^np++++=Jane?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
no ^at++++=no
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
use ^nn++++=use
beginning ^vwbg+++xvbg+=beginning
an ^at++++=an
explanation ^nn+nom+++=explanation
before ^cs+sub+++=before
a ^at++++=a
person ^nn++++=person
is ^vbz+bez+aux++=is
calm ^vb++++=calm
enough ^qlp++++=enough
to ^to++++=to
hear ^vbi+vprv+++=hear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Jack ^np++++=Jack
coming ^vwbg+++xvbg+=coming
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
ash ^nn++++=ash
copse ^nn+++??+=copse.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
broader ^jjr++++=broader
and ^cc+phrs+++=and
carried ^jj+++xvbn+=carried
himself ^ppl+pp3+++=himself
like ^in++++=like
a ^at++++=a
man ^nn++++=man
accustomed ^vbd+++xvbn+=accustomed
to ^to++++=to
giving ^vbi++++=giving
orders ^nns++++=orders.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
dark ^jj++++=dark
blue ^jj++++=blue
and ^cc+phrs+++=and
fitted ^jj+++xvbn+=fitted
him ^pp3o+pp3+++=him
across ^in+pl+++=across
the ^ati++++=the
shoulders ^nns+nom+++=shoulders;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
boots ^nns++++=boots
shone ^vbd+++xvbn+=shone;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
gold ^nn++++=gold
chain ^nn++++=chain
over ^in++++=over
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat,
, ^zz++++=EXTRAWORD
a ^at++++=a
diamond ^nn++++=diamond
ring ^nn++++=ring
on ^in++++=on
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
travelling ^jj+atrb++xvbg+=travelling
bag ^nn++++=bag
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
that ^tht+rel+subj++=that
looked ^vprf+++xvbn+=looked
real ^jj+atrb+++=real
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
pressed ^vbd+++xvbn+=pressed
pasteboard ^nn+++??+=pasteboard.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
these ^dt+dem+++=these
things ^nns++++=things
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
people ^nns++++=people
notice ^vb+vprv+++=notice
sunsets ^nns++++=sunsets.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
notice ^vb+vprv+++=notice
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
useful ^jj+pred+++=useful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
straight ^rb++++=straight
toward ^in++++=toward
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
" ^zz++++="Jane
jane ^np++++=EXTRAWORD
Bell ^nn++++=Bell?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jane
jane ^np++++=EXTRAWORD
Marsh ^nn++++=Marsh,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
near ^in+pl+++=near
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Mattie ^np+++??+=Mattie?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
remark ^nn++++=remark
on ^in++++=on
my ^pp$+pp1+++=my
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
on ^rb+phrv+++=on
a ^at++++=a
clean ^jj+atrb+++=clean
collar ^nn++++=collar
that ^tht+rel+++=that
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Travel ^vb++++=Travel
may ^md+pos+++=may
improve ^vb++++=improve
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
without ^in++++=without
improving ^xvbg+++xvbg+=improving
his ^pp$+pp3+++=his
manners ^nns+nom+++=manners.
. ^zz++++=EXTRAWORD
" ^zz++++="Mattie?"
mattie ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
received ^vbd+++xvbnx+=received
my ^pp$+pp1+++=my
letter ^nn++++=letter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
received ^vbd+++xvbnx+=received
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
is ^vbz+bez+vrb++=isn't
