**the ^nn+++??+=**The
Lighthouse ^nn++++=Lighthouse
running ^nvbg+++xvbg+=running
downhill ^rb+cnj+++=downhill,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Tomas ^np+++??+=Tomas
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
near ^in+pl+++=near
the ^ati++++=the
chapel ^nn++++=chapel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
struggled ^vbd+++xvbn+=struggled
briefly ^rb++++=briefly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Tomas ^np+++??+=Tomas
dragged ^vbd+++xvbn+=dragged
her ^pp$+pp3+++=her
back ^jjb++++=back
toward ^in++++=toward
higher ^jjr+atrb+++=higher
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
followed ^vbd+vprv++xvbn+=followed
Cora ^np+++??+=Cora
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
The ^ati++++=The
exposed ^nn++++=exposed
seabed ^vbd+++xvbn+=seabed
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
with ^in++++=with
the ^ati++++=the
lost ^jj+atrb++xvbn+=lost
property ^nn++++=property
of ^in++++=of
centuries ^nns++++=centuries.
. ^zz++++=EXTRAWORD
Anchors ^np+++??+=Anchors
lay ^vbd+++xvbn+=lay
among ^in++++=among
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
Cannonballs ^np+++??+=Cannonballs
gleamed ^vbd+++xvbn+=gleamed
under ^in++++=under
curtains ^nns++++=curtains
of ^in++++=of
weed ^nn++++=weed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
cups ^nns++++=cups,
, ^zz++++=EXTRAWORD
coins ^nns++++=coins,
, ^zz++++=EXTRAWORD
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
passed ^vbd+++xvbn+=passed
a ^at++++=a
bronze ^jj+atrb+++=bronze
bell ^nn++++=bell
green ^nn++++=green
with ^in++++=with
age ^nn++++=age
and ^cc++++=and
a ^at++++=a
wooden ^jj+atrb+++=wooden
figurehead ^nn++++=figurehead
whose ^whp+rel+subj++=whose
painted ^xvbn+++xvbn+=painted
eyes ^nns++++=eyes
remained ^vbd+++xvbn+=remained
bright ^jj++++=bright.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Saint ^nn++++=Saint
Orison ^np+++??+=Orison
grew ^vbd+++xvbn+=grew
larger ^jjr++++=larger.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
hull ^np++++=hull
had ^vbd+hvd+aux++=had
split ^vprf+++xvbnx+=split
near ^in+pl+++=near
the ^ati++++=the
center ^nn++++=center.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bow ^nn++++=bow
leaned ^vbd+++xvbn+=leaned
upward ^jjb++++=upward
while ^cs+sub+++=while
the ^ati++++=the
stern ^jj++++=stern
lay ^jjb+++xvbn+=lay
buried ^jj+++xvbn+=buried
in ^in++++=in
silt ^nn++++=silt.
. ^zz++++=EXTRAWORD
Rows ^nns++++=Rows
of ^in++++=of
dark ^jj+atrb+++=dark
portholes ^nns++++=portholes
watched ^vbd+++xvbn+=watched
them ^pp3o+pp3+++=them
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
A ^at++++=A
sound ^nn++++=sound
rolled ^vbd+++xvbn+=rolled
across ^in+pl+++=across
the ^ati++++=the
seabed ^nn++++=seabed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
returning ^jj+++xvbg+=returning
sea ^npl++++=sea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
ground ^nn++++=ground
vibrated ^vbd+++xvbn+=vibrated
beneath ^in+pl+++=beneath
Elias ^np++++=Elias's
's ^$++++=EXTRAWORD
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
hurry ^vb++++=hurry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
entered ^vbd+++xvbn+=entered
the ^ati++++=the
wreck ^nn++++=wreck
through ^in++++=through
a ^at++++=a
tear ^nn++++=tear
in ^in++++=in
the ^ati++++=the
hull ^nn++++=hull.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold
and ^cc+phrs+++=and
smelled ^jj+++xvbn+=smelled
of ^in++++=of
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
Pale ^nn++++=Pale
crabs ^nns+++??+=crabs
moved ^vbd+++xvbn+=moved
along ^in++++=along
the ^ati++++=the
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Shafts ^nns++++=Shafts
of ^in++++=of
daylight ^nn++++=daylight
entered ^vbd+++xvbn+=entered
through ^in++++=through
holes ^nns++++=holes
in ^in++++=in
the ^ati++++=the
deck ^nn++++=deck,
, ^zz++++=EXTRAWORD
revealing ^vbg+nom++xvbg+=revealing
staircases ^nns++++=staircases
twisted ^vbd+++xvbn+=twisted
sideways ^jjb++++=sideways
and ^cc++++=and
corridors ^nns++++=corridors
filled ^vbd+++xvbn+=filled
with ^in++++=with
black ^jj+atrb+++=black
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
" ^zz++++="Cora?"
cora ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat
flashed ^vbd+++xvbn+=flashed
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
slipped ^vbd+++xvbnx+=slipped
through ^in++++=through
a ^at++++=a
doorway ^nn++++=doorway
marked ^vbd+++xvbn+=marked
B ^zz++++=B
Deck ^nn++++=DECK.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
squeezed ^vwbn+++xvbn+=squeezed
after ^in++++=after
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
metal ^nn++++=metal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corridor ^nn++++=corridor
beyond ^in++++=beyond
was ^vbd+bedz+aux++=was
lined ^vpsv++agls+xvbnx+=lined
with ^in++++=with
cabin ^nn++++=cabin
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
stood ^vbd+++xvbn+=stood
open ^jj++++=open.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
one ^cd1++++=one
room ^nn++++=room,
, ^zz++++=EXTRAWORD
a ^at++++=a
suitcase ^nn++++=suitcase
had ^vbd+hvd+aux++=had
spilled ^vprf+++xvbnx+=spilled
clothing ^nn++++=clothing
that ^tht+rel+subj++=that
moved ^vprf+++xvbn+=moved
softly ^rb++++=softly
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another,
, ^zz++++=EXTRAWORD
a ^at++++=a
dinner ^nn++++=dinner
plate ^nn++++=plate
remained ^vbd+++xvbn+=remained
fixed ^vbd+++xvbn+=fixed
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor
by ^in++++=by
rust ^nn++++=rust.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
stopped ^vbd+++xvbn+=stopped
outside ^jjb+atrb+++=outside
cabin ^nn++++=cabin
seventeen ^cd++++=seventeen.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
would ^md+prd+++=would
not ^xnot++not++=not
open ^jj++++=open.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
pushed ^vwbn+++xvbn+=pushed
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
against ^in++++=against
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Metal ^nn++++=Metal
groaned ^vbd+++xvbn+=groaned.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
third ^od++++=third
attempt ^vb++++=attempt,
, ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
gave ^vbd+++xvbn+=gave
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabin ^nn++++=cabin
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small.
. ^zz++++=EXTRAWORD
A ^at++++=A
bed ^nn++++=bed
frame ^vb++++=frame
hung ^vbd+++xvbn+=hung
crookedly ^rb++++=crookedly
from ^in++++=from
one ^cd1++++=one
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
a ^at++++=a
human ^jj+atrb+++=human
skeleton ^nn++++=skeleton
in ^in++++=in
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
a ^at++++=a
blue ^jj+atrb+++=blue
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
knelt ^vbd+++xvbn+=knelt
beside ^in+pl+++=beside
the ^ati++++=the
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
" ^zz++++="Mother,"
mother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
wreck ^nn++++=wreck
creaked ^vbd+++xvbn+=creaked
around ^rp++++=around
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
breath ^nn++++=breath
of ^in++++=of
cold ^jj+atrb+++=cold
air ^nn++++=air
passed ^vbd+++xvbn+=passed
through ^in++++=through
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
the ^ati++++=the
faint ^jj+atrb+++=faint
scent ^nn++++=scent
of ^in++++=of
lavender ^nn+nom+++=lavender.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shadows ^nns++++=shadows
above ^jjb++++=above
the ^ati++++=the
bed ^nn++++=bed
gathered ^vbd+++xvbn+=gathered,
, ^zz++++=EXTRAWORD
thinning ^jj++++=thinning
into ^in++++=into
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
appeared ^vbd+seem++xvbnx+=appeared
as ^ql++++=as
lightly ^rb++++=lightly
as ^in++++=as
a ^at++++=a
reflection ^nn+nom+++=reflection
in ^in++++=in
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
pinned ^vpsv++agls+xvbnx+=pinned
beneath ^in+pl+++=beneath
a ^at++++=a
traveling ^nn+nom+++=traveling
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
blue ^jj+atrb+++=blue
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
dry ^jj+pred+++=dry
and ^cc++++=and
whole ^nn++++=whole.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hand ^nn++++=hand
rested ^vbd+++xvbn+=rested
against ^in++++=against
her ^pp$+pp3+++=her
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
found ^vbd+vprv+tht0+xvbnx+=found
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
daughter ^nn+nom+++=daughter
with ^in++++=with
such ^abl++++=such
tenderness ^nns+nom+++=tenderness
that ^tht+rel+obj++=that
Elias ^np+++??+=Elias
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
darling ^nn+nom+++=darling,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
rushed ^vbd+++xvbn+=rushed
into ^in++++=into
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
both ^abx++++=both
figures ^nns++++=figures
became ^vbd+++xvbn+=became
clearer ^jjr++++=clearer,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
solid ^jj++++=solid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
woman ^nn++++=woman's
's ^vbz+bez+vrb++0=EXTRAWORD
blue ^jj+atrb+++=blue
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
waited ^vbd+++xvbnx+=waited,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
water ^nn++++=water."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
following ^jj+++xvbg+=following
the ^ati++++=the
light ^nn++++=light."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
ship ^nn++++=ship
shuddered ^vbd+++xvbn+=shuddered.
. ^zz++++=EXTRAWORD
Dust ^nn++++=Dust
and ^cc++++=and
rust ^nn++++=rust
fell ^vbd+++xvbn+=fell
from ^in++++=from
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
roar ^nn++++=roar
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
deepened ^vprf+++xvbnx+=deepened.
. ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
Wren ^nn++++=Wren
looked ^vbd+++xvbn+=looked
over ^in++++=over
Cora ^np++++=Cora's
's ^$++++=EXTRAWORD
head ^jjb++++=head
at ^in++++=at
Elias ^np+++??+=Elias.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
breathe ^vb++++=breathe.
. ^zz++++=EXTRAWORD
" ^zz++++="You,"
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
anger ^nn++++=anger
in ^in++++=in
her ^pp$+pp3+++=her
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Anger ^nn++++=Anger
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
easier ^jjr++++=easier.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
whispered ^vbd+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
sounded ^vbd+++xvbn+=sounded
pitiful ^jj++++=pitiful
against ^in++++=against
forty ^cd++++=forty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
studied ^vbd+++xvbn+=studied
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
left ^vbd+++xvbnx+=left
the ^ati++++=the
lamp ^nn++++=lamp,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
was ^vbd+bedz+vrb++=was
ill ^jj+pred+++=ill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
nothing ^pn++++=nothing
would ^md+prd+++=would
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
back ^rp++++=back
" ^zz++++="
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
light ^jj+atrb+++=light
turn ^nn++++=turn,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
closed ^vbd+++xvbn+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
captain ^nn++++=captain
saw ^vbd+vprv+tht0+xvbn+=saw
it ^pp3+it+++=it
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
marked ^vbd+++xvbn+=marked
the ^ati++++=the
safe ^jj+atrb+++=safe
channel ^nn++++=channel.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
vanished ^vbd+++xvbn+=vanished."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
were ^vbd+bed+vrb++=were
children ^nns++++=children
in ^in++++=in
the ^ati++++=the
water ^nn++++=water."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
were ^vbd+bed+vrb++=were
people ^nns++++=people
calling ^vwbg+++xvbg+=calling
for ^in++++=for
help ^nn++++=help."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Each ^dt++++=Each
sentence ^nn+nom+++=sentence
struck ^vbd+++xvbn+=struck
with ^in++++=with
the ^ati++++=the
clean ^jj+atrb+++=clean
force ^nn++++=force
of ^in++++=of
a ^at++++=a
hammer ^nn++++=hammer.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
imagined ^vbd+vprv++xvbn+=imagined.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same
as ^ql++++=as
knowing ^nvbg+vprv++xvbg+=knowing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabin ^nn++++=cabin
was ^vbd+bedz+aux++=was
changing ^vbg+++xvbgx+=changing.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
shone ^vbd+++xvbn+=shone
across ^in+pl+++=across
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
sea ^nn++++=sea
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
room ^nn++++=room
as ^ql++++=as
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
during ^in++++=during
the ^ati++++=the
wreck ^nn++++=wreck:
: ^zz++++=EXTRAWORD
luggage ^nn+nom+++=luggage
thrown ^vwbn+++xvbn+=thrown
from ^in++++=from
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
glass ^nn++++=glass
breaking ^vwbg+++xvbg+=breaking,
, ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
holding ^vwbg+++xvbg+=holding
Cora ^np+++??+=Cora
as ^in++++=as
the ^ati++++=the
ship ^nn++++=ship
tilted ^vbd+++xvbn+=tilted.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
door ^nn++++=door
burst ^vbd+++xvbn+=burst
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
water ^nn++++=water
filled ^vbd+++xvbn+=filled
the ^ati++++=the
corridor ^nn++++=corridor.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
heard ^vbd+vprv++xvbn+=heard
screams ^nns++++=screams
from ^in++++=from
every ^at++++=every
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
faces ^nns++++=faces
in ^in++++=in
the ^ati++++=the
flood ^nn++++=flood
men ^nns++++=men,
, ^zz++++=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
children ^nns++++=children
each ^dt++++=each
frozen ^jj+++xvbn+=frozen
in ^in++++=in
the ^ati++++=the
final ^jj+atrb+++=final
astonishment ^nn+nom+++=astonishment
of ^in++++=of
death ^nn++++=death.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
to ^in++++=to
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
reached ^vbd+++xvbn+=reached
his ^pp$+pp3+++=his
chest ^nn++++=chest
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
drown ^vb++++=drown
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
memory ^nn++++=memory
had ^vb+hv+vrb++=had
other ^ap++++=other
ways ^nns++++=ways
of ^in++++=of
killing ^xvbg+++xvbg+=killing.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
All ^abn++++=All
his ^pp$+pp3+++=his
years ^nns++++=years
of ^in++++=of
service ^nn++++=service
seemed ^vbd+seem++xvbn+=seemed
suddenly ^rb++++=suddenly
small ^jj++++=small.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
polished ^jj+atrb+++=polished
pane ^nn+++??+=pane,
, ^zz++++=EXTRAWORD
every ^at++++=every
trimmed ^jj+++xvbn+=trimmed
wick ^np++++=wick,
, ^zz++++=EXTRAWORD
every ^at++++=every
storm ^nn++++=storm
endured ^vwbn+++xvbn+=endured
alone ^rb++++=alone
none ^pn++++=none
of ^in++++=of
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
a ^at++++=a
single ^jj+atrb+++=single
life ^nn++++=life.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
change ^vb++++=change
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
