**what ^nn+++??+=**What
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
always ^rb++splt++=always
known ^vprf+++xvbnx+=known
when ^wrb+who+whcl++=when
you ^pp2+pp2+++=you
lied ^vbd+++xvbn+=lied,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
eaten ^vprf+++xvbnx+=eaten
or ^cc++++=or
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
menstrual ^jj+atrb+++=menstrual
cramps ^nns+++??+=cramps
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
would ^md+prd+++=would
ask ^vb++++=ask
about ^in++++=about
classes ^nns++++=classes.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
brothers ^nns+nom+++=brothers
would ^md+prd+++=would
shout ^vb++++=shout
requests ^nns++++=requests
into ^in++++=into
the ^ati++++=the
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you
sent ^vbd+++xvbn+=sent
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
month ^nn++++=month.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
time ^nn++++=time
the ^ati++++=the
white ^jj+atrb+++=white
boy ^nn++++=boy
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
coffee ^nn++++=coffee
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
the ^ati++++=the
fish ^nn++++=fish
soup ^nn++++=soup
had ^vb+hv+vrb++=had
cream ^nn++++=cream.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
navy ^nn++++=navy
sweater ^nn++++=sweater
with ^in++++=with
a ^at++++=a
small ^jj+atrb+++=small
hole ^nn++++=hole
near ^in+pl+++=near
one ^cd1++++=one
cuff ^nn++++=cuff.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pale ^nn++++=pale
yellow ^jj++++=yellow
of ^in++++=of
dried ^jj+atrb++xvbn+=dried
maize ^nn++++=maize
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
book ^nn++++=book
open ^nn++++=open
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
poured ^vbd+++xvbn+=poured
his ^pp$+pp3+++=his
coffee ^nn++++=coffee
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
title ^nn++++=title.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
about ^in++++=about
the ^ati++++=the
Congo ^np++++=Congo.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
read ^vbd+vprv+tht0+xvbn+=read
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sorry.
sorry ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Stupid ^jj+atrb+++=Stupid
question ^nn+nom+++=question."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wondered ^vbd+vprv++xvbn+=wondered
why ^wrb+who+whcl++=why
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
stupid ^jj+pred+++=stupid.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
week ^nn++++=week,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
and ^cc+phrs+++=and
ordered ^vbd+vsua++xvbn+=ordered
the ^ati++++=the
soup ^nn++++=soup
without ^in++++=without
cream ^nn++++=cream.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
again ^rb+tm+++=again
three ^cd++++=three
days ^nns++++=days
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
your ^pp$+pp2+++=your
name ^nn++++=name.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
in ^in++++=in
America ^np++++=America
had ^vbd+hvd+aux++=had
needed ^vprf+++xvbnx+=needed
it ^pp3+it+++=it
except ^in++++=except
people ^nns++++=people
filling ^vwbg+++xvbg+=filling
out ^rp+pl+++=out
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
" ^zz++++="Akunna,"
akunna ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
repeated ^vbd+++xvbnx+=repeated
it ^pp3+it+++=it
wrongly ^rb++++=wrongly.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
corrected ^vbd+++xvbn+=corrected
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
slower ^jjr++++=slower,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
close ^nn++++=close.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Evan ^np+++??+=Evan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
studied ^vbd+++xvbnx+=studied
political ^jj+atrb+++=political
science ^nn+nom+++=science
at ^in++++=at
a ^at++++=a
university ^nn+nom+++=university
forty ^cd++++=forty
minutes ^nns++++=minutes
away ^rp+pl+++=away
and ^cc++++=and
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
a ^at++++=a
summer ^nn++++=summer
in ^in++++=in
Senegal ^np+++??+=Senegal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
also ^rb++splt++=also
visited ^vprf+++xvbnx+=visited
Morocco ^np++++=Morocco,
, ^zz++++=EXTRAWORD
Egypt ^np++++=Egypt,
, ^zz++++=EXTRAWORD
Tanzania ^np+++??+=Tanzania,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
South ^np+pl+++=South
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
listed ^vbd+++xvbnx+=listed
them ^pp3o+pp3+++=them
without ^in++++=without
boasting ^xvbg+++xvbg+=boasting,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
list ^nn++++=list
sound ^nn++++=sound
more ^rbr++++=more
like ^in++++=like
boasting ^nn++++=boasting.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
in ^in++++=in
Nigeria ^np++++=Nigeria
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
from ^in+strn+++=from?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Lagos."
lagos ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
originally ^rb+tm+++=originally?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reddened ^vbd+++xvbnx+=reddened.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^vb+vprv+tht0++=mean
your ^pp$+pp2+++=your
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub+tht0+xvbn+=said
your ^pp$+pp2+++=your
parents ^nns++++=parents
were ^vbd+bed+vrb++=were
from ^in++++=from
Enugu ^np+++??+=Enugu
State ^nn++++=State.
. ^zz++++=EXTRAWORD
" ^zz++++="Igbo,"
igbo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
pronouncing ^jj+++xvbg+=pronouncing
it ^pp3+it+++=it
well ^rb++++=well.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
disliked ^vbd+++xvbn+=disliked
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
liked ^vbd+++xvbn+=liked
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
you ^pp2+pp2+++=you
to ^to++++=to
have ^vbi++vrb++=have
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
laughed ^vbd+++xvbn+=laughed
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
having ^vbg+hvg++xvbg+=having
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
understood ^vbd+vprv++xvbn+=understood
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said
no ^at++++=no.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
the ^ati++++=the
following ^jj+atrb++xvbg+=following
week ^nn++++=week
with ^in++++=with
a ^at++++=a
book ^nn++++=book
by ^in++++=by
a ^at++++=a
Nigerian ^jj+atrb+++=Nigerian
writer ^nn++++=writer
and ^cc++++=and
left ^nn+++xvbn+=left
it ^pp3+it+++=it
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
tip ^nn++++=tip.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
his ^pp$+pp3+++=his
telephone ^nn++++=telephone
number ^nn++++=number.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
with ^in++++=with
no ^at++++=no
book ^nn++++=book
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mention ^nn+nom+++=mention
the ^ati++++=the
first ^rb++++=first
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
for ^in+ppvb+++=for
pie ^nn++++=pie.
. ^zz++++=EXTRAWORD
Maureen ^np++++=Maureen
warmed ^vwbn+++xvbn+=warmed
a ^at++++=a
slice ^nn++++=slice
in ^in++++=in
the ^ati++++=the
microwave ^nn++++=microwave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
eat ^vb++++=eat
the ^ati++++=the
soft ^jj+atrb+++=soft
apples ^nns++++=apples
and ^cc++++=and
leave ^vb++++=leave
the ^ati++++=the
crust ^nn++++=crust.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
full ^jj+pred+++=full."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
thought ^vbd+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
crust ^nn++++=crust
in ^in++++=in
the ^ati++++=the
rubbish ^nn++++=rubbish
bin ^&fw++++=bin.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
thought ^vbd+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
steak ^nn++++=steak,
, ^zz++++=EXTRAWORD
the ^ati++++=the
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ends ^nns++++=ends
of ^in++++=of
bread ^nn++++=bread
Maureen ^np++++=Maureen
allowed ^vwbn+++xvbn+=allowed
you ^pp2+pp2+++=you
to ^to++++=to
take ^vbi++++=take
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
value ^nn++++=value.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
pay ^nn++++=pay
phone ^nn++++=phone
outside ^jjb++++=outside
the ^ati++++=the
laundromat ^nn+++??+=laundromat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drove ^vbd+++xvbnx+=drove
a ^at++++=a
car ^nn++++=car
that ^tht+rel+subj++=that
looked ^vprf+++xvbn+=looked
old ^jj++++=old
but ^cc++++=but
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
old ^jj++++=old
enough ^qlp++++=enough
to ^to++++=to
shame ^vbi++++=shame
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
faded ^jj+++xvbn+=faded
university ^npl+nom+++=university
sticker ^nn++++=sticker
covered ^vbd+++xvbn+=covered
a ^at++++=a
dent ^np++++=dent
on ^in++++=on
the ^ati++++=the
bumper ^nn++++=bumper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
you ^pp2+pp2+++=you
to ^in++++=to
a ^at++++=a
Chinese ^jj+atrb+++=Chinese
restaurant ^nn+nom+++=restaurant
where ^wrb+who+++=where
red ^jj+atrb+++=red
paper ^nn++++=paper
lanterns ^nns++++=lanterns
hung ^vbd+++xvbn+=hung
from ^in++++=from
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ordered ^vpsv++by+xvbn+=ordered
by ^in++++=by
price ^nn++++=price.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua++xvbnx+=ordered
dumplings ^nns+nom+++=dumplings,
, ^zz++++=EXTRAWORD
noodles ^nns+++??+=noodles,
, ^zz++++=EXTRAWORD
beef ^nn++++=beef
with ^in++++=with
mushrooms ^nns++++=mushrooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tea ^nn++++=tea
that ^tht+rel+++=that
smelled ^jj+++xvbn+=smelled
of ^in++++=of
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waitress ^nns+nom+++=waitress
brought ^vbd+++xvbn+=brought
two ^cd++++=two
fortune ^nn++++=fortune
cookies ^nns+++??+=cookies.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
paper ^nn++++=paper
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
soon ^rb+tm+splt++=soon
begin ^vb++++=begin
an ^at++++=an
exciting ^jj+atrb+++=exciting
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
Yours ^pp$$++++=Yours
was ^vbd+bedz+vrb++=was
blank ^jj+pred+++=blank.
. ^zz++++=EXTRAWORD
" ^zz++++="Manufacturing
manufacturing ^nvbg+++xvbg+=EXTRAWORD
error ^nn++++=error,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
folded ^vbd+++xvbn+=folded
the ^ati++++=the
empty ^nn++++=empty
strip ^vb++++=strip
and ^cc+phrs+++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
your ^pp$+pp2+++=your
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^in++++=about
his ^pp$+pp3+++=his
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
a ^at++++=a
surgeon ^nn++++=surgeon.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
taught ^vwbn+vsua++xvbn+=taught
economics ^nn++++=economics.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
a ^at++++=a
house ^nn++++=house
in ^in++++=in
Vermont ^np+++??+=Vermont
and ^cc++++=and
another ^ppls++++=another
near ^rb++++=near
the ^ati++++=the
ocean ^nn++++=ocean.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
schools ^nns++++=schools
where ^wrb+who+++=where
students ^nns++++=students
learned ^vbd+++xvbn+=learned
Latin ^jj+atrb+++=Latin
and ^cc+phrs+++=and
sailed ^jj+atrb++xvbn+=sailed
boats ^nns++++=boats.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
these ^dt+dem+++=these
things ^nns++++=things
apologetically ^rb+cnj+++=apologetically,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
wealth ^nn++++=wealth
were ^vbd+bed+vrb++=were
an ^at++++=an
illness ^nns+nom+++=illness
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
survived ^vprf+++xvbnx+=survived.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
about ^in++++=about
your ^pp$+pp2+++=your
family ^nn++++=family,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
your ^pp$+pp2+++=your
father ^npt++++=father
worked ^vbd+++xvbn+=worked
for ^in++++=for
a ^at++++=a
government ^nn+nom+++=government
agency ^nn++++=agency
and ^cc++++=and
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
promoted ^vpsv++agls+xvbnx+=promoted
in ^in++++=in
twelve ^cd++++=twelve
years ^nns++++=years
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
bribe ^nn++++=bribe
anyone ^pn++++=anyone.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
knelt ^vprf+++xvbnx+=knelt
before ^cs+sub+++=before
a ^at++++=a
man ^nn++++=man
young ^jj++++=young
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
his ^pp$+pp3+++=his
son ^nn++++=son
to ^to++++=to
ask ^vbi++++=ask
for ^in+ppvb+++=for
his ^pp$+pp3+++=his
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
from ^in++++=from
the ^ati++++=the
car ^nn++++=car
while ^cs+sub+++=while
the ^ati++++=the
man ^nn++++=man
laughed ^vbd+++xvbn+=laughed
with ^in++++=with
his ^pp$+pp3+++=his
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father's
's ^$++++=EXTRAWORD
knees ^nns++++=knees
had ^vbd+hvd+aux++=had
sunk ^vprf+++xvbnx+=sunk
into ^in++++=into
roadside ^nn++++=roadside
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
car ^nn++++=car,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
pigs ^nns++++=pigs
had ^vbd+hvd+aux++=had
rolled ^vprf+++xvbnx+=rolled
against ^in++++=against
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tell ^vb++++=tell
Evan ^np+++??+=Evan
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call
it ^pp3+it+++=it
corruption ^nn+nom+++=corruption
and ^cc++++=and
look ^vb++++=look
solemn ^jj++++=solemn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
understand ^vb+vprv+++=understand
the ^ati++++=the
word ^nn++++=word
and ^cc++++=and
miss ^npt++++=miss
the ^ati++++=the
humiliation ^nn+nom+++=humiliation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
you ^pp2+pp2+++=you
home ^nr++++=home
after ^in++++=after
midnight ^nn++++=midnight.
. ^zz++++=EXTRAWORD
At ^in++++=At
your ^pp$+pp2+++=your
door ^nn++++=door,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
kiss ^vb++++=kiss
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Americans
americans ^nns+nom+++=EXTRAWORD
ask ^vb++++=ask
for ^in+ppvb+++=for
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^dt+dem+++=that
bad ^jj++++=bad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
kissed ^vbd+++xvbn+=kissed
him ^pp3o+pp3+++=him
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
ask ^vb++++=ask
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
green ^nn++++=green
with ^in++++=with
a ^at++++=a
ring ^nn++++=ring
of ^in++++=of
brown ^jj++++=brown
around ^rp++++=around
the ^ati++++=the
pupils ^nns++++=pupils,
, ^zz++++=EXTRAWORD
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
oil ^nn++++=oil
when ^wrb+who+++=when
sunlight ^nn++++=sunlight
entered ^vbd+++xvbn+=entered
the ^ati++++=the
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
Extra ^jj++++=Extra-virgin,
- ^zz++++=EXTRAWORD
virgin ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
label ^nn++++=label
said ^vbd+vpub++xvbn+=said
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
oil ^nn++++=oil
could ^md+pos+++=could
possess ^nns+nom+++=possess
virtue ^nn++++=virtue.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vb+hv+aux++=had
never ^rb++splt++=never
bought ^vprf+++xvbnx+=bought
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cost ^nn++++=cost
nearly ^rb+down+++=nearly
an ^at++++=an
hour ^nn++++=hour
of ^in++++=of
work ^nn++++=work.
. ^zz++++=EXTRAWORD
For ^in++++=For
your ^pp$+pp2+++=your
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
a ^at++++=a
glass ^nn++++=glass
pendant ^jj++++=pendant
made ^vpsv++by+xvbn+=made
by ^in++++=by
an ^at++++=an
artist ^nn++++=artist
in ^in++++=in
Vermont ^np+++??+=Vermont.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
blue ^jj+pred+++=blue
and ^cc+phrs+++=and
curved ^jj++++=curved
like ^in++++=like
a ^at++++=a
drop ^nn++++=drop
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
thanked ^vbd+++xvbn+=thanked
him ^pp3o+pp3+++=him
and ^cc++++=and
thought ^vpsv++agls+xvbn+=thought
of ^in++++=of
what ^wdt+who+++=what
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
cost ^nn++++=cost.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
same ^ap++++=same
money ^nn++++=money,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
mother ^nn++++=mother
could ^md+pos+++=could
buy ^vb++++=buy
