Dear ^jj+atrb+++=Dear
because ^cs+cos+++=because
my ^pp$+pp1+++=my
pension ^nn++++=pension
depended ^vbd+++xvbn+=depended
on ^in++++=on
it ^pp3+it+++=it
and ^cc+cls+++=and
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reasoned ^vbd+vprv++xvbnx+=reasoned,
, ^zz++++=EXTRAWORD
loyalty ^nn++++=loyalty
to ^in++++=to
one ^cd1++++=one's
's ^nns+bez+++0=EXTRAWORD
country ^nn++++=country
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
loyalty ^nn++++=loyalty
to ^to++++=to
one ^cd1++++=one
person ^nn++++=person.
. ^zz++++=EXTRAWORD
A ^at++++=A
clever ^jj+atrb+++=clever
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
form ^nn++++=form
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
for ^in+ppvb+++=for
my ^pp$+pp1+++=my
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
refused ^vbd+++xvbn+=refused
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
at ^in++++=at
this ^dt+dem+++=this
table ^nn++++=table
with ^in++++=with
the ^ati++++=the
pen ^nn++++=pen
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
lips ^nns++++=lips
pressed ^vbd+++xvbn+=pressed
tight ^jj++++=tight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
count ^npt++++=count
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
paperwork ^nn+++??+=paperwork."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
sentences ^nns+nom+++=sentences
a ^at++++=a
person ^nn++++=person
would ^md+prd+++=would
remove ^vb++++=remove
from ^in++++=from
his ^pp$+pp3+++=his
life ^nn++++=life
if ^cs+cnd+++=if
life ^nn++++=life
were ^vbd+bed+vrb++=were
a ^at++++=a
document ^nn+nom+++=document.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
end ^nn++++=end
she ^pp3a+pp3+++=she
signed ^vbd+++xvbnx+=signed
because ^cs+cos+++=because
my ^pp$+pp1+++=my
cardiac ^jj+atrb+++=cardiac
coverage ^nn+nom+++=coverage
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
attached ^vpsv++agls+xvbnx+=attached
to ^in++++=to
her ^pp$+pp3+++=her
account ^nn++++=account
after ^in++++=after
the ^ati++++=the
consolidation ^nn+nom+++=consolidation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
procedure ^nn++++=procedure
scheduled ^vbd+++xvbn+=scheduled.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
made ^vbd+++xvbn+=made
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
an ^at++++=an
intelligent ^jj+atrb+++=intelligent
accommodation ^nn+nom+++=accommodation.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
phrase ^nn++++=phrase
cowards ^nns++++=cowards
use ^nn++++=use
when ^wrb+who+++=when
" ^zz++++="surrender"
surrender ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
impolite ^nn++++=impolite.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
should ^md+nec+++=should
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done?
? ^zz++++=EXTRAWORD
Marched ^j+++xvbn+=Marched?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
attended ^vbd+++xvbn+=attended
two ^cd++++=two
marches ^nns++++=marches.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
families ^nns++++=families,
, ^zz++++=EXTRAWORD
union ^nn++++=union
people ^nns++++=people,
, ^zz++++=EXTRAWORD
veterans ^nns+nom+++=veterans,
, ^zz++++=EXTRAWORD
a ^at++++=a
brass ^nn++++=brass
band ^nn++++=band,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
prince ^nn++++=prince
of ^in++++=of
a ^at++++=a
guy ^np++++=guy
selling ^vwbg+++xvbg+=selling
lemonade ^nn++++=lemonade
for ^in++++=for
ten ^cd++++=ten
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
drones ^vbz+++??+=drones
photographed ^vbd+++xvbn+=photographed
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
months ^nns++++=months
later ^rbr+tm+++=later
our ^pp$+pp1+++=our
neighbor ^nn++++=neighbor's
's ^vbz+bez+aux++0=EXTRAWORD
teaching ^vbg+vsua+tht0+xvbgx+=teaching
license ^nn+++??+=license
was ^vbd+bedz+aux++=was
suspended ^vpsv++agls+xvbnx+=suspended
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
in ^in++++=in
a ^at++++=a
crowd ^nn++++=crowd
image ^nn++++=image
beside ^in+pl+++=beside
a ^at++++=a
sign ^nn++++=sign
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
carrying ^vbg+++xvbgx+=carrying.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
written ^vprf+++xvbnx+=written?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
Actual ^jj+atrb+++=Actual
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
with ^in++++=with
stamps ^nns++++=stamps.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
representative ^npt++++=representative
sent ^vbd+++xvbn+=sent
a ^at++++=a
form ^nn++++=form
reply ^nn++++=reply
thanking ^vwbg+++xvbg+=thanking
me ^pp1o+pp1+++=me
for ^in++++=for
my ^pp$+pp1+++=my
perspective ^nn++++=perspective;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
was ^vbd+bedz+aux++=was
arrested ^vpsv++agls+xvbnx+=arrested
before ^cs+sub+++=before
my ^pp$+pp1+++=my
letter ^nn++++=letter
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
refused ^vprf+++xvbnx+=refused
the ^ati++++=the
loyalty ^nn++++=loyalty
form ^nn++++=form
and ^cc++++=and
lost ^vbd+++xvbn+=lost
the ^ati++++=the
pension ^nn++++=pension?
? ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother's
's ^$++++=EXTRAWORD
surgery ^nn+nom+++=surgery
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
postponed ^vpsv++agls+xvbnx+=postponed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
thousands ^cds++++=thousands
suffered ^vbd+++xvbn+=suffered
because ^cs+cos+++=because
people ^nns++++=people
like ^in++++=like
me ^pp1o+pp1+++=me
placed ^vbd+++xvbn+=placed
our ^pp$+pp1+++=our
surgeries ^nns+nom+++=surgeries
above ^rb++++=above
their ^pp$+pp3+++=their
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
wrong ^jj+pred+++=wrong.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
never ^rb++++=never
have ^md"++pmd"++=have
to ^md+nec+++=to
look ^vb++++=look
at ^in++++=at
someone ^pn++++=someone
you ^pp2+pp2+++=you
love ^nn++++=love
and ^cc++++=and
decide ^vb+vprv+++=decide
that ^tht+vcmp+++=that
history ^nn++++=history
needs ^nns++++=needs
her ^pp3o+pp3+++=her
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
the ^ati++++=the
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
us ^pp1o+pp1+++=us
to ^to++++=to
choose ^vbi++++=choose
between ^in++++=between
courage ^nn+nom+++=courage
and ^cc++++=and
cowardice ^nn++++=cowardice
in ^in++++=in
bright ^jj+atrb+++=bright
clean ^jj+atrb+++=clean
terms ^nns++++=terms.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
asked ^vbd+vsua++xvbnx+=asked
us ^pp1o+pp1+++=us
to ^to++++=to
choose ^vbi++++=choose
between ^in++++=between
a ^at++++=a
principle ^nn++++=principle
and ^cc++++=and
a ^at++++=a
prescription ^nn+nom+++=prescription,
, ^zz++++=EXTRAWORD
a ^at++++=a
stranger ^nn+nom+++=stranger
and ^cc++++=and
a ^at++++=a
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
public ^jj++++=public
risk ^vb++++=risk
and ^cc++++=and
private ^jj+atrb+++=private
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
asked ^vbd+vsua++xvbnx+=asked
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
concession ^nn++++=concession
made ^vbd+++xvbn+=made
the ^ati++++=the
next ^ap++++=next
one ^cd1++++=one
more ^rbr++++=more
sensible ^jj++++=sensible.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
too ^ql++++=too
hard ^jj++++=hard
on ^in++++=on
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+tht0++=says
no ^at++++=no
single ^jj+atrb+++=single
person ^nn++++=person
could ^md+pos+++=could
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
True ^jj++++=True
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
No ^at++++=No
raindrop ^nn+++??+=raindrop
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible
for ^in++++=for
the ^ati++++=the
flood ^nn++++=flood,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
raindrop ^nn+++??+=raindrop's
's ^$++++=EXTRAWORD
attorney ^nn++++=attorney
will ^md+prd+++=will
be ^vb+be+aux++=be
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
establish ^vbi+vprv+++=establish.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
keep ^vb++++=keep
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
the ^ati++++=the
puzzles ^nns++++=puzzles.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
Venice ^np++++=Venice
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
a ^at++++=a
harbor ^nn++++=harbor
with ^in++++=with
seals ^nns++++=seals.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
cottage ^nn+nom+++=cottage
under ^in++++=under
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
God ^np++++=God
help ^nn++++=help
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
a ^at++++=a
fairy ^nn++++=fairy
castle ^nn++++=castle
with ^in++++=with
purple ^jj+atrb+++=purple
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
bought ^vbd+++xvbn+=bought
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
half ^abn++++=half
price ^nn++++=price.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
after ^cs+sub+++=after
night ^nn++++=night
we ^pp1a+pp1+++=we
searched ^vbd+++xvbn+=searched
for ^in++++=for
tiny ^jj+atrb+++=tiny
bits ^nns++++=bits
of ^in++++=of
an ^at++++=an
invented ^jj+++xvbn+=invented
kingdom ^npl+nom+++=kingdom
while ^cs+sub+++=while
the ^ati++++=the
real ^jj+atrb+++=real
one ^cd1++++=one
outside ^jjb++++=outside
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
taken ^vprf+++xvbn+=taken
apart ^rb+phrv+++=apart.
. ^zz++++=EXTRAWORD
A ^at++++=A
border ^nn++++=border
piece ^nn++++=piece
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
a ^at++++=a
window ^nn++++=window
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
patient ^nn++++=patient.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
week ^nn++++=week
I ^pp1a+pp1+++=I
dreamed ^vbd+vprv+tht0+xvbnx+=dreamed
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
back ^jjb+pred+++=back
at ^in++++=at
this ^dt+dem+++=this
table ^nn++++=table
ten ^cd++++=ten
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
exactly ^rb++++=exactly
right ^jj+pred+++=right:
: ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
curtains ^nns++++=curtains
with ^in++++=with
lemons ^nns++++=lemons
on ^in++++=on
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scratch ^nn++++=scratch
near ^in+pl+++=near
the ^ati++++=the
sugar ^nn++++=sugar
bowl ^nn++++=bowl,
, ^zz++++=EXTRAWORD
rain ^nn++++=rain
against ^in++++=against
the ^ati++++=the
west ^np+pl+++=west
window ^nn++++=window.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
television ^nn++++=television,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Leader ^nn++++=Leader
was ^vbd+bedz+aux++=was
telling ^nvbg+++xvbg+=telling
a ^at++++=a
crowd ^nn++++=crowd
that ^tht+rel+obj++=that
judges ^nns++++=judges
would ^md+prd+++=would
soon ^rb+tm+splt++=soon
remember ^nn+nom+++=remember
who ^whp+who+++=who
appointed ^jj+++xvbn+=appointed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
dream ^nn++++=dream
I ^pp1a+pp1+++=I
understood ^vbd+vprv++xvbnx+=understood.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
to ^in++++=to
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
moment ^nn++++=moment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
understood ^vbd+vprv++xvbnx+=understood
too ^ql++++=too.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
discuss ^vb++++=discuss
the ^ati++++=the
mortgage ^nn+nom+++=mortgage
or ^cc++++=or
the ^ati++++=the
operation ^nn+nom+++=operation
or ^cc+cls+++=or
whether ^cs+who+++=whether
anyone ^pn++++=anyone
else ^rb+cnj+++=else
would ^md+prd+++=would
join ^vb++++=join
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stood ^vbd+++xvbn+=stood
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
we ^pp1a+pp1+++=we
intended ^vbd+vsua++xvbn+=intended
to ^to+vcmp+++=to
do ^vbi++++=do
call ^vb++++=call
people ^nns++++=people,
, ^zz++++=EXTRAWORD
drive ^nn++++=drive
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
tear ^nn++++=tear
down ^rp++++=down
a ^at++++=a
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
Dreams ^nns++++=Dreams
are ^vb+ber+vrb++=are
generous ^jj+pred+++=generous
about ^in++++=about
logistics ^nns++++=logistics.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
young ^jj++++=young,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
knees ^nns++++=knees
or ^cc++++=or
teeth ^nns++++=teeth
but ^cc++++=but
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
an ^at++++=an
old ^jj+atrb+++=old
agnostic ^jj+atrb+++=agnostic
may ^md+pos+++=may
borrow ^vb++++=borrow
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
action ^nn++++=action
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
connected ^vpsv++agls+xvbnx+=connected
to ^in++++=to
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
four ^cd++++=four
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
under ^in++++=under
her ^pp$+pp3+++=her
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
The ^ati++++=The
security ^nn+nom+++=security
light ^jj++++=light
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
on ^in++++=on
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
seconds ^nns++++=seconds
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
men ^nns++++=men
were ^vbd+bed+aux++=were
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
raccoon ^nn+++??+=raccoon
at ^rb++++=at
the ^ati++++=the
feeder ^nn++++=feeder.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
raccoon ^nn+++??+=raccoon.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
see ^vb+vprv+++=see?
? ^zz++++=EXTRAWORD
Even ^rb++++=Even
now ^rn+tm+++=now
relief ^nn++++=relief
defeats ^nns++++=defeats
revelation ^nn+nom+++=revelation.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
return ^vb++++=return
to ^in++++=to
J ^zz++++=J.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
answer ^vb++++=answer
because ^cs+cos+++=because
answering ^vbg+++xvbg+=answering
would ^md+prd+++=would
harm ^vb++++=harm
G ^zz++++=G.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
M ^zz++++=M.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
a ^at++++=a
simple ^jj+atrb+++=simple
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
once ^rb+tm+++=once
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
chose ^vbd+++xvbnx+=chose
the ^ati++++=the
danger ^nn++++=danger
to ^in++++=to
herself ^ppl+pp3+++=herself
rather ^rb++++=rather
than ^in++++=than
transferring ^xvbg+++xvbg+=transferring
it ^pp3+it+++=it
to ^in++++=to
someone ^pn++++=someone
more ^rbr++++=more
vulnerable ^jj++++=vulnerable.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
spent ^vprf+++xvbnx+=spent
six ^cd++++=six
pages ^nns++++=pages
explaining ^vwbg+vpub++xvbg+=explaining
why ^wrb+who+whcl++=why
you ^pp2+pp2+++=you
should ^md+nec+++=should
not ^xnot++not++=not
imitate ^nn+nom+++=imitate
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
I ^pp1a+pp1+++=I
respect ^nn++++=respect
her ^pp$+pp3+++=her
more ^rbr++++=more
with ^in++++=with
every ^at++++=every
page ^nn++++=page.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
imagined ^vprf++tht0+xvbnx+=imagined
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
a ^at++++=a
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Merely"
merely ^rb+down+++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
wrong ^jj+atrb+++=wrong
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Friendship ^nn+nom+++=Friendship
has ^vbz+hvz+aux++=has
saved ^vprf+++xvbnx+=saved
more ^rbr++++=more
people ^nns++++=people
than ^in++++=than
romance ^nn+nom+++=romance
and ^cc++++=and
produced ^vbd+++xvbn+=produced
fewer ^ap++++=fewer
terrible ^jj+atrb+++=terrible
songs ^nns++++=songs.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
lake ^nn++++=lake
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
The ^ati++++=The
way ^nn++++=way
you ^pp2+pp2+++=you
watched ^vbd+++xvbn+=watched
her ^pp$+pp3+++=her
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
climbed ^vbd+++xvbnx+=climbed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
you ^pp2+pp2+++=you
handed ^vbd+++xvbn+=handed
her ^pp$+pp3+++=her
your ^pp$+pp2+++=your
coat ^nn++++=coat
and ^cc++++=and
then ^rn+tm+++=then
stood ^vbd+++xvbn+=stood
shivering ^vbg+++xvbg+=shivering
as ^cs+sub+++=as
if ^cs+cnd+++=if
weather ^nn++++=weather
were ^vbd+bed+vrb++=were
a ^at++++=a
rumor ^nn++++=rumor.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
noticed ^vbd+vprv++xvbn+=noticed
too ^ql++++=too.
. ^zz++++=EXTRAWORD
Grandmothers ^nns+nom+++=Grandmothers
notice ^vb+vprv+++=notice
love ^nn++++=love
before ^cs+sub+++=before
the ^ati++++=the
people ^nns++++=people
suffering ^vwbg+++xvbg+=suffering
from ^in++++=from
it ^pp3+it+++=it
do ^vb+do+aux++=do.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
she ^pp3a+pp3+++=she
your ^pp$+pp2+++=your
lover ^nn++++=lover?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
she ^pp3a+pp3+++=she
still ^rb++++=still?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
to ^in++++=to
answer ^nn++++=answer
in ^in++++=in
writing ^xvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
advice ^nn++++=advice
becomes ^vbz++++=becomes
both ^abx++++=both
more ^rbr++++=more
urgent ^jj++++=urgent
and ^cc++++=and
less ^rbr++++=less
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
makes ^vbz++++=makes
caution ^nn+nom+++=caution
sound ^nn++++=sound
obscene ^jj++++=obscene.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
also ^rb++++=also
makes ^vbz++++=makes
traps ^nns++++=traps
effective ^jj++++=effective.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
