**the ^nn+++??+=**THE
Price ^nn++++=PRICE
; ^zz++++=EXTRAWORD
obtains ^vbz++++=obtains
information ^nn+nom+++=information;
; ^zz++++=EXTRAWORD
brings ^vbz++++=brings
manufacturers ^nns+nom+++=manufacturers
and ^cc++++=and
officials ^nns+nom+++=officials
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
explains ^vbz+vpub+++=explains
new ^jj+atrb+++=new
enterprises ^nns++++=enterprises;
; ^zz++++=EXTRAWORD
removes ^vbz++++=removes
suspicions ^nns++++=suspicions;
; ^zz++++=EXTRAWORD
promotes ^vbz++++=promotes
concessions ^nns++++=concessions;
; ^zz++++=EXTRAWORD
protects ^vbz++++=protects
contracts ^nns++++=contracts;
; ^zz++++=EXTRAWORD
discovers ^nns+nom+++=discovers
opportunities ^nns+nom+++=opportunities;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prepares ^vbz++++=prepares
the ^ati++++=the
social ^jj+atrb+++=social
soil ^nn++++=soil
in ^in++++=in
which ^whp+rel+pied++=which
trade ^nn++++=trade
may ^md+pos+++=may
grow ^vb++++=grow.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
we ^pp1a+pp1+++=we
refuse ^nn++++=refuse
him ^pp3o+pp3+++=him
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
tools ^nns++++=tools
of ^in++++=of
salesmanship ^nn+nom+++=salesmanship.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
send ^vb++++=send
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
to ^to++++=to
capture ^vbi++++=capture
markets ^nns++++=markets
with ^in++++=with
a ^at++++=a
folded ^jj+atrb++xvbn+=folded
flag ^nn++++=flag
and ^cc++++=and
a ^at++++=a
ham ^nn++++=ham
sandwich ^nn++++=sandwich.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
wonder ^vb++++=wonder
why ^wrb+who+++=why
another ^dt++++=another
nation ^nn++++=nation
gets ^vbz++++=gets
the ^ati++++=the
contract ^nn++++=contract.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
an ^at++++=an
American ^jj+atrb+++=American
company ^nn++++=company
seeks ^vbz++++=seeks
a ^at++++=a
railway ^nn++++=railway
concession ^nn++++=concession
in ^in++++=in
some ^dti++++=some
European ^jj+atrb+++=European
or ^cc+phrs+++=or
Oriental ^jj+atrb+++=Oriental
state ^nn++++=state.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^jj++++=British,
, ^zz++++=EXTRAWORD
French ^jj++++=French,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
German ^jj+atrb+++=German
representatives ^nns++++=representatives
are ^vb+ber+vrb++=are
active ^jj+pred+++=active.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
know ^vb+vprv+++=know
the ^ati++++=the
ministers ^nns+nom+++=ministers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
financiers ^nns+nom+++=financiers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
engineers ^nns+nom+++=engineers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cousins ^nns++++=cousins
of ^in++++=of
the ^ati++++=the
ministers ^nns+nom+++=ministers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bankers ^nns+nom+++=bankers
of ^in++++=of
the ^ati++++=the
cousins ^nns++++=cousins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
elderly ^jj+atrb+++=elderly
countess ^nns+nom+++=countess
who ^whp+rel+subj++=who
settles ^vbz++++=settles
matters ^nns+nom+++=matters
after ^cs+sub+++=after
the ^ati++++=the
cabinet ^nn++++=cabinet
has ^vbz+hvz+aux++=has
talked ^vprf+++xvbnx+=talked
itself ^ppl++++=itself
tired ^vbd+++xvbn+=tired.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
can ^md+pos+++=can
bring ^vb++++=bring
these ^dt+dem+++=these
persons ^nns++++=persons
together ^nn+nom+++=together
under ^in++++=under
pleasant ^jj+atrb+++=pleasant
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
governments ^nns+nom+++=governments
provide ^vb+vsua+++=provide
the ^ati++++=the
means ^nn++++=means.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
representative ^nn++++=representative
also ^rb++++=also
knows ^vbz+vprv+++=knows
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
entertain ^vbi++++=entertain
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
considers ^nns+nom+++=considers
his ^pp$+pp3+++=his
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
rent ^nn++++=rent,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
daughters ^nns+nom+++=daughters'
' ^zz++++=EXTRAWORD
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
official ^jj+atrb+++=official
subscriptions ^nns+nom+++=subscriptions,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
ultimatum ^nn++++=ultimatum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
invites ^nn++++=invites
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
least ^rbt++++=least
important ^jj++++=important
to ^to+jcmp+++=to
tea ^vb++++=tea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concession ^nn++++=concession
goes ^vbz++++=goes
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
American ^jj+atrb+++=American
public ^jj+atrb+++=public
saves ^nns++++=saves
eleven ^cd++++=eleven
dollars ^nns++++=dollars
on ^in++++=on
diplomacy ^nn+nom+++=diplomacy.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
economy ^nn++++=economy
in ^in++++=in
ham ^nn++++=ham
and ^cc++++=and
lemonade ^nn++++=lemonade
when ^wrb+who+++=when
the ^ati++++=the
competitor ^nn++++=competitor
is ^vbz+bez+aux++=is
serving ^vbg+++xvbgx+=serving
commerce ^nn++++=commerce
with ^in++++=with
silver ^nn++++=silver
covers ^nns++++=covers
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
American ^jj+atrb+++=American
ambassador ^nn++++=ambassador's
's ^$++++=EXTRAWORD
residence ^nn+nom+++=residence
presents ^vbz++++=presents
another ^dt++++=another
triumph ^nn++++=triumph
of ^in++++=of
thrift ^nn++++=thrift.
. ^zz++++=EXTRAWORD
In ^in++++=In
several ^ap++++=several
capitals ^nns+nom+++=capitals
our ^pp$+pp1+++=our
government ^nn+nom+++=government
furnishes ^vbz++++=furnishes
no ^at++++=no
proper ^jj+atrb+++=proper
embassy ^nn++++=embassy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
representative ^nn++++=representative
must ^md+nec+++=must
rent ^vb++++=rent
one ^pn++++=one.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
house ^nn++++=house
is ^vbz+bez+vrb++=is
large ^jj+pred+++=large
enough ^dt++++=enough
for ^in++++=for
official ^jj+atrb+++=official
receptions ^nns+nom+++=receptions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rent ^nn++++=rent
bites ^nns++++=bites
a ^at++++=a
hole ^nn++++=hole
through ^in++++=through
his ^pp$+pp3+++=his
salary ^nn++++=salary
and ^cc++++=and
then ^rn+tm+++=then
asks ^vbz++++=asks
for ^in+ppvb+++=for
dessert ^nn++++=dessert.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
small ^jj+pred+++=small
enough ^dt++++=enough
for ^in++++=for
his ^pp$+pp3+++=his
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
receive ^vb++++=receive
the ^ati++++=the
diplomatic ^jj+atrb+++=diplomatic
corps ^nn++++=corps
in ^in++++=in
relays ^nns++++=relays.
. ^zz++++=EXTRAWORD
A ^at++++=A
rich ^jj+atrb+++=rich
ambassador ^nn++++=ambassador
can ^md+pos+++=can
correct ^vb++++=correct
the ^ati++++=the
government ^nn+nom+++=government's
's ^$++++=EXTRAWORD
omission ^nn++++=omission.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rents ^nns++++=rents
a ^at++++=a
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
employs ^vbz++++=employs
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
gives ^vbz++++=gives
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
supports ^vbz++++=supports
ceremonies ^nns++++=ceremonies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quietly ^rb++++=quietly
pays ^vbz++++=pays
thousands ^cds++++=thousands
of ^in++++=of
dollars ^nns++++=dollars
for ^in++++=for
the ^ati++++=the
privilege ^nn++++=privilege
of ^in++++=of
serving ^xvbg+++xvbg+=serving
his ^pp$+pp3+++=his
country ^nn++++=country.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
call ^vb++++=call
this ^dt+dem+++=this
patriotism ^nn+nom+++=patriotism.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
patriotism ^nn+nom+++=patriotism,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
an ^at++++=an
involuntary ^jj+atrb+++=involuntary
tax ^nn++++=tax
levied ^vbd+++xvbn+=levied
upon ^in++++=upon
one ^cd1++++=one
citizen ^nn++++=citizen
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
accepted ^vbd+vprv++xvbnx+=accepted
an ^at++++=an
office ^nn++++=office.
. ^zz++++=EXTRAWORD
A ^at++++=A
poor ^jj+atrb+++=poor
ambassador ^nn++++=ambassador
cannot ^md+pos+not++=cannot
correct ^jj++++=correct
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rents ^nns++++=rents
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
entrance ^nn+nom+++=entrance
is ^vbz+bez+vrb++=is
narrow ^jj+pred+++=narrow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
staircase ^nn++++=staircase
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
reception ^nn+nom+++=reception
room ^nn++++=room
heated ^vwbn+++xvbn+=heated
by ^in++++=by
a ^at++++=a
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hangs ^vbz++++=hangs
the ^ati++++=the
American ^jj+atrb+++=American
flag ^nn++++=flag
over ^in++++=over
the ^ati++++=the
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
stove ^nn++++=stove
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
imposing ^jj+atrb++xvbg+=imposing
object ^nn++++=object
in ^in++++=in
the ^ati++++=the
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
On ^in++++=On
state ^nn++++=state
occasions ^nns++++=occasions
the ^ati++++=the
eagle ^nn++++=eagle
smells ^nns++++=smells
faintly ^rb++++=faintly
of ^in++++=of
coal ^nn++++=coal.
. ^zz++++=EXTRAWORD
Guests ^nns++++=Guests
deposit ^vb++++=deposit
their ^pp$+pp3+++=their
cloaks ^nns+++??+=cloaks
in ^in++++=in
the ^ati++++=the
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ambassador ^nn++++=ambassador's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
hides ^vbz++++=hides
the ^ati++++=the
family ^nn++++=family
washing ^vwbg+++xvbg+=washing
behind ^in+pl+++=behind
a ^at++++=a
screen ^nn++++=screen
and ^cc++++=and
receives ^vbz++++=receives
a ^at++++=a
princess ^nns+nom+++=princess
with ^in++++=with
the ^ati++++=the
calmness ^nns+nom+++=calmness
of ^in++++=of
a ^at++++=a
martyr ^nn++++=martyr.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prince ^nn++++=prince
sits ^vbz++++=sits
on ^in++++=on
the ^ati++++=the
piano ^nn++++=piano
stool ^nn++++=stool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
military ^nn++++=military
attach ^vb++++=attach
supports ^vbz++++=supports
himself ^ppl+pp3+++=himself
against ^in++++=against
the ^ati++++=the
mantel ^nn+++??+=mantel,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
painted ^vpsv++agls+xvbnx+=painted
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Republic ^nn++++=Republic
is ^vbz+bez+aux++=is
present ^vb++++=present,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
crowded ^jj+++xvbn+=crowded.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
Republican ^nn+nom+++=Republican
Simplicity ^nn+nom+++=Simplicity.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
a ^at++++=a
representative ^nn++++=representative
represents ^vbz++++=represents.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
merely ^rb+down+++=merely
Mr ^vb++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
of ^in++++=of
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
two ^cd++++=two
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
a ^at++++=a
private ^jj+atrb+++=private
opinion ^nn++++=opinion
about ^in++++=about
oysters ^nns+nom+++=oysters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
weakness ^nns+nom+++=weakness
for ^in++++=for
whist ^nn++++=whist.
. ^zz++++=EXTRAWORD
Officially ^rb++++=Officially
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
the ^ati++++=the
United ^np++++=United
States ^nns++++=States.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
enters ^vbz++++=enters
a ^at++++=a
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flag ^nn++++=flag
enters ^vbz++++=enters.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
received ^vpsv++agls+xvbnx+=received
with ^in++++=with
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
is ^vbz+bez+aux++=is
honored ^vpsv++agls+xvbnx+=honored.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
appears ^vbz+seem+++=appears
shabby ^jj++++=shabby,
, ^zz++++=EXTRAWORD
embarrassed ^j+++xvbn+=embarrassed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
unable ^jj++++=unable
to ^to+jcmp+++=to
perform ^vbi++++=perform
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
courtesies ^nns++++=courtesies
of ^in++++=of
his ^pp$+pp3+++=his
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
foreigners ^nns+nom+++=foreigners
do ^vb+do+aux++=do
not ^xnot++not++=not
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
is ^vbz+bez+aux++=is
underpaid ^vpsv++agls+xvbnx+=underpaid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="America
america ^np++++=EXTRAWORD
does ^vbz+doz+vrb++=does
things ^nns++++=things
badly ^rb++++=badly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
judgment ^nn+nom+++=judgment
may ^md+pos+++=may
be ^vb+be+vrb++=be
unjust ^jj+pred+++=unjust,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
international ^jj+atrb+++=international
society ^nn++++=society,
, ^zz++++=EXTRAWORD
like ^in++++=like
every ^at++++=every
other ^ap++++=other
society ^nn++++=society,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
agreed ^vprf+++xvbnx+=agreed
to ^to++++=to
be ^vbi++vrb++=be
just ^rb+emph+++=just
before ^in++++=before
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cannot ^md+pos+not++=cannot
reform ^vb++++=reform
all ^rb++++=all
European ^jj+atrb+++=European
customs ^nns++++=customs
by ^in++++=by
attending ^xvbg+++xvbg+=attending
them ^pp3o+pp3+++=them
in ^in++++=in
inadequate ^jj+atrb+++=inadequate
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cannot ^md+pos+not++=cannot
abolish ^vb++++=abolish
ceremony ^nn++++=ceremony
by ^in++++=by
being ^xvbg+++xvbg+=being
the ^ati++++=the
least ^rbt++++=least
impressive ^jj+atrb+++=impressive
object ^nn++++=object
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cannot ^md+pos+not++=cannot
teach ^vb+vsua+++=teach
foreign ^jj+atrb+++=foreign
governments ^nns+nom+++=governments
simplicity ^nn+nom+++=simplicity
while ^cs+sub+++=while
our ^pp$+pp1+++=our
tourists ^nns+nom+++=tourists
are ^vb+ber+aux++=are
filling ^nvbg+++xvbg+=filling
the ^ati++++=the
best ^jjt+atrb+++=best
hotels ^nns++++=hotels,
, ^zz++++=EXTRAWORD
buying ^vbg+++xvbg+=buying
pictures ^nns++++=pictures
by ^in++++=by
the ^ati++++=the
acre ^nn++++=acre,
, ^zz++++=EXTRAWORD
hiring ^jj+atrb++xvbg+=hiring
private ^jj+atrb+++=private
railway ^nn++++=railway
cars ^nns++++=cars,
, ^zz++++=EXTRAWORD
scattering ^vbg+++xvbg+=scattering
tips ^nns++++=tips,
, ^zz++++=EXTRAWORD
renting ^jj+atrb+++=renting
castles ^nns++++=castles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asking ^jj+++xvbg+=asking
whether ^cs+who+++=whether
the ^ati++++=the
cathedral ^nn+nom+++=cathedral
can ^md+pos+++=can
be ^vb+be+aux++=be
illuminated ^vpsv++agls+xvbnx+=illuminated
after ^in++++=after
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
Europe ^np++++=Europe
knows ^vbz+vprv+tht0++=knows
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
rich ^jj+pred+++=rich.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
concealment ^nn+nom+++=concealment
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
The ^ati++++=The
noise ^nn++++=noise
of ^in++++=of
our ^pp$+pp1+++=our
money ^nn++++=money
can ^md+pos+++=can
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
through ^in++++=through
stone ^nn++++=stone
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
At ^rb++++=At
home ^nr++++=home
we ^pp1a+pp1+++=we
build ^nn++++=build
public ^jj+atrb+++=public
offices ^nns++++=offices
of ^in++++=of
marble ^nn++++=marble,
, ^zz++++=EXTRAWORD
railway ^nn++++=railway
stations ^nns+nom+++=stations
fit ^vb++++=fit
for ^in++++=for
emperors ^nns++++=emperors,
, ^zz++++=EXTRAWORD
hotels ^nns++++=hotels
with ^in++++=with
fountains ^nns++++=fountains
in ^in++++=in
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room,
, ^zz++++=EXTRAWORD
theaters ^nns+nom+++=theaters
covered ^vbd+++xvbn+=covered
with ^in++++=with
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
shops ^nns++++=shops
brighter ^jjr++++=brighter
than ^in++++=than
palaces ^nns++++=palaces,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
houses ^nns++++=houses
containing ^vwbg+++xvbg+=containing
ballrooms ^nns+++??+=ballrooms,
, ^zz++++=EXTRAWORD
conservatories ^nns++++=conservatories,
, ^zz++++=EXTRAWORD
organs ^nns++++=organs,
, ^zz++++=EXTRAWORD
galleries ^nns+nom+++=galleries,
, ^zz++++=EXTRAWORD
swimming ^nvbg+++xvbg+=swimming
tanks ^nns++++=tanks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
occasionally ^rb++++=occasionally
a ^at++++=a
family ^nn++++=family.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
send ^vb++++=send
a ^at++++=a
millionaire ^nn++++=millionaire's
's ^$++++=EXTRAWORD
dog ^nn++++=dog
across ^in+pl+++=across
the ^ati++++=the
continent ^nn++++=continent
in ^in++++=in
a ^at++++=a
private ^jj+atrb+++=private
compartment ^nn+nom+++=compartment
and ^cc++++=and
then ^rn+tm+++=then
congratulate ^nn+nom+++=congratulate
ourselves ^ppls+pp1+++=ourselves
because ^cs+cos+++=because
our ^pp$+pp1+++=our
ambassador ^npt++++=ambassador
travels ^vbz++++=travels
second ^od++++=second
class ^nn++++=class
when ^wrb+who+++=when
nobody ^pn++++=nobody
is ^vbz+bez+aux++=is
watching ^vbg+++xvbgx+=watching.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
simplicity ^nn+nom+++=simplicity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
extravagance ^nn+nom+++=extravagance
wearing ^vwbg+++xvbg+=wearing
a ^at++++=a
false ^jj+atrb+++=false
mustache ^nn+++??+=mustache.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Republic ^nn++++=Republic
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
barefoot ^jj+atrb+++=barefoot
boy ^nn++++=boy
carrying ^vwbg+++xvbg+=carrying
apples ^nns++++=apples
to ^in++++=to
market ^nn++++=market.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
grown ^vprf+++xvbnx+=grown.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
put ^vprf+++xvbnx+=put
up ^rb+phrv+++=up
its ^pp$+it+++=its
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
lengthened ^j+++xvbn+=lengthened
its ^pp$+it+++=its
skirts ^nns++++=skirts,
, ^zz++++=EXTRAWORD
learned ^jj+atrb++xvbn+=learned
foreign ^jj+atrb+++=foreign
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
acquired ^jj+atrb++xvbn+=acquired
territories ^nns++++=territories,
, ^zz++++=EXTRAWORD
entered ^jj+atrb++xvbn+=entered
international ^jj+atrb+++=international
society ^nn++++=society,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begun ^vwbn+++xvbn+=begun
receiving ^jj+atrb++xvbg+=receiving
invitations ^nns+nom+++=invitations
engraved ^vbd+++xvbn+=engraved
on ^in++++=on
stiff ^jj+atrb+++=stiff
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cannot ^md+pos+not++=cannot
now ^rn+tm+splt++=now
sit ^vb++++=sit
on ^in++++=on
the ^ati++++=the
kitchen ^nn++++=kitchen
step ^nn++++=step
and ^cc++++=and
plead ^vb+vsua+++=plead
youth ^nn++++=youth
whenever ^nn+nom+++=whenever
the ^ati++++=the
bill ^nn++++=bill
arrives ^vbz++++=arrives.
. ^zz++++=EXTRAWORD
A ^at++++=A
grown ^vprf+++xvbn+=grown
nation ^nn++++=nation
is ^vbz+bez+vrb++=is
a ^at++++=a
thundering ^jj+atrb+++=thundering
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
interests ^nns++++=interests
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
ships ^nns++++=ships
enter ^vb++++=enter
every ^at++++=every
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
machinery ^nn+nom+++=machinery
goes ^vbz++++=goes
into ^in++++=into
every ^at++++=every
factory ^nn++++=factory;
; ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
wheat ^nn++++=wheat
feeds ^nns++++=feeds
cities ^nns++++=cities
whose ^whp+rel+obj++=whose
names ^nns++++=names
our ^pp$+pp1+++=our
schoolbooks ^nns+++??+=schoolbooks
omit ^vb++++=omit;
; ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
bankers ^nns+nom+++=bankers
lend ^vb++++=lend
money ^nn++++=money
to ^in++++=to
governments ^nns+nom+++=governments;
; ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
missionaries ^nns++++=missionaries,
, ^zz++++=EXTRAWORD
engineers ^nns+nom+++=engineers,
, ^zz++++=EXTRAWORD
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
inventors ^nns++++=inventors,
, ^zz++++=EXTRAWORD
speculators ^nns++++=speculators,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
tourists ^nns+nom+++=tourists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
patent ^nn++++=patent-medicine
- ^zz++++=EXTRAWORD
medicine ^nn++++=EXTRAWORD
labels ^nns++++=labels
precede ^nn+++??+=precede
the ^ati++++=the
flag ^nn++++=flag
into ^in++++=into
the ^ati++++=the
most ^ql+emph+++=most
distant ^jj+atrb+++=distant
places ^nns++++=places.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
demand ^vb++++=demand
influence ^nn+nom+++=influence
proportioned ^vbd+++xvbn+=proportioned
to ^in++++=to
our ^pp$+pp1+++=our
power ^nn++++=power
and ^cc++++=and
respect ^nn++++=respect
proportioned ^vbd+++xvbn+=proportioned
to ^in++++=to
our ^pp$+pp1+++=our
influence ^nn+nom+++=influence.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
propose ^vb++++=propose
to ^to++++=to
get ^vbi++++=get
it ^pp3+it+++=it
at ^in++++=at
wholesale ^jjb+atrb+++=wholesale
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
discount ^nn++++=discount
for ^in++++=for
cash ^nn++++=cash.
