Until ^in++++=Until
sunsets ^nns++++=sunsets
and ^cc++++=and
a ^at++++=a
shelf ^nn++++=shelf
of ^in++++=of
invisible ^jj+atrb+++=invisible
dolls ^nns++++=dolls
whose ^whp+rel+obj++=whose
garments ^nns+nom+++=garments
floated ^vbd+++xvbn+=floated
with ^in++++=with
an ^at++++=an
effect ^nn++++=effect
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
rather ^rb++++=rather
indecent ^jj++++=indecent.
. ^zz++++=EXTRAWORD
A ^at++++=A
card ^nn++++=card
above ^jjb+atrb+++=above
one ^cd1++++=one
case ^nn++++=case
announced ^vbd+vpub++xvbn+=announced:
: ^zz++++=EXTRAWORD
Good ^jj+atrb+++=GOOD
Children ^np++++=CHILDREN'S
's ^$++++=EXTRAWORD
Department ^nn+nom+++=DEPARTMENT
No ^at++++=NO
Substitute ^nn++++=SUBSTITUTE
Materials ^nns+nom+++=MATERIALS
Bad ^jj+atrb+++=BAD
Children ^nns++++=CHILDREN
Not ^xnot++not++=NOT
Admitted ^vbd+vpub++xvbn+=ADMITTED
" ^zz++++="An
an ^at++++=EXTRAWORD
excellent ^jj+atrb+++=excellent
regulation ^nn+nom+++=regulation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Necessary,"
necessary ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
wrong ^jj+atrb+++=wrong
sort ^nn++++=sort
of ^in++++=of
child ^nn++++=child
damages ^nns+nom+++=damages
the ^ati++++=the
stock ^nn++++=stock."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
thumping ^nn++++=thumping
at ^in++++=at
a ^at++++=a
small ^jj+atrb+++=small
side ^nn++++=side
door ^nn++++=door.
. ^zz++++=EXTRAWORD
A ^at++++=A
face ^nn++++=face
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
its ^pp$+it+++=its
grated ^jj+atrb++xvbn+=grated
window ^nn++++=window
a ^at++++=a
red ^jj++++=red,
, ^zz++++=EXTRAWORD
swollen ^jj+atrb+++=swollen,
, ^zz++++=EXTRAWORD
disagreeable ^jj+atrb+++=disagreeable
face ^nn++++=face
beneath ^in+pl+++=beneath
a ^at++++=a
sailor ^nn++++=sailor
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
in ^in+strn+++=in!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
bawled ^vbd+++xvbn+=bawled.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
the ^ati++++=the
dragon ^nn++++=dragon!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
it ^pp3+it+++=it
now ^rn+tm+++=now!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
flicked ^vbd+++xvbn+=flicked
one ^cd1++++=one
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
The ^ati++++=The
face ^nn++++=face
became ^vbd+++xvbn+=became
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
a ^at++++=a
wooden ^jj+atrb+++=wooden
demon ^nn++++=demon,
, ^zz++++=EXTRAWORD
painted ^j+++xvbn+=painted
scarlet ^jj++++=scarlet,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
continued ^vbd+++xvbn+=continued
to ^to++++=to
open ^vbi++++=open
and ^cc+phrs+++=and
shut ^vb+++xvbn+=shut
its ^pp$+it+++=its
mouth ^nn++++=mouth
without ^in++++=without
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
" ^zz++++="Temporary
temporary ^jj+atrb+++=EXTRAWORD
treatment ^nn+nom+++=treatment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
improve ^vb++++=improve
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
exhausted ^vprf+++xvbnx+=exhausted
himself ^ppl+pp3+++=himself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
squeezed ^vwbn+++xvbn+=squeezed
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
from ^in++++=from
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
bad ^jj+atrb+++=bad
child ^nn++++=child,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Very,"
very ^ap+amp+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
sell ^vb++++=sell
magic ^nn++++=magic
to ^in++++=to
that ^dt+dem+++=that
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
already ^rb++++=already
have ^vb+hv+vrb++=have
too ^ql++++=too
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
destructive ^jj+atrb+++=destructive
kind ^nn++++=kind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
sense ^nn++++=sense
in ^in++++=in
the ^ati++++=the
observation ^nn+nom+++=observation,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
disliked ^vbd+++xvbnx+=disliked
the ^ati++++=the
illustration ^nn+nom+++=illustration.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
passed ^vbd+++xvbn+=passed
under ^in++++=under
an ^at++++=an
arch ^nn++++=arch
hung ^vbd+++xvbn+=hung
with ^in++++=with
silver ^nn++++=silver
bells ^nns++++=bells.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rang ^vbd+++xvbnx+=rang
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
touched ^vbd+++xvbn+=touched
them ^pp3o+pp3+++=them
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
ringing ^nn++++=ringing
after ^cs+sub+++=after
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
took ^vbd+++xvbn+=took
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
free ^jj+atrb+++=free
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Mind
mind ^nn++++=EXTRAWORD
the ^ati++++=the
step ^nn++++=step."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+aux++=is
no ^at++++=no
step ^vb++++=step,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Immediately ^rb+tm+++=Immediately
I ^pp1a+pp1+++=I
stumbled ^vbd+++xvbnx+=stumbled
over ^in++++=over
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
steadied ^vbd+++xvbn+=steadied
me ^pp1o+pp1+++=me
with ^in++++=with
great ^jj+atrb+++=great
politeness ^nns+nom+++=politeness.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
recovered ^vbd+++xvbnx+=recovered,
, ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
between ^in++++=between
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
shopman ^jj+atrb+++=shopman's
's ^vbz+bez+vrb++0=EXTRAWORD
finger ^nn++++=finger
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
mine ^pp$$++++=mine
on ^rp++++=on
the ^ati++++=the
other ^ap++++=other;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
proceeded ^vbd+++xvbn+=proceeded,
, ^zz++++=EXTRAWORD
a ^at++++=a
cabinet ^nn++++=cabinet
swung ^vbd+++xvbn+=swung
outward ^jjb++++=outward,
, ^zz++++=EXTRAWORD
obliging ^jj++++=obliging
me ^pp1o+pp1+++=me
to ^in++++=to
release ^nn++++=release
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
round ^rb++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
was ^vbd+bedz+vrb++=was
entirely ^rb+amp+++=entirely
on ^in++++=on
the ^ati++++=the
shopman ^jj+atrb+++=shopman's
's ^vbz+bez+vrb++0=EXTRAWORD
side ^nn++++=side.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
trifling ^jj+atrb+++=trifling
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
annoyed ^jj++++=annoyed
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
in ^cs+sub+++=in
that ^cs"++++=that
case ^nn++++=case?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
to ^in++++=to
reassert ^nn+++??+=reassert
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
" ^zz++++="Dreams,
dreams ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
like ^in++++=like
soap ^nn++++=soap
bubbles ^nns++++=bubbles
in ^in++++=in
compartments ^nns+nom+++=compartments
lined ^vbd+++xvbn+=lined
with ^in++++=with
black ^jj+atrb+++=black
velvet ^nn++++=velvet.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
one ^cd1++++=one
shone ^vbd+++xvbn+=shone
a ^at++++=a
tropical ^jj+atrb+++=tropical
island ^nn++++=island;
; ^zz++++=EXTRAWORD
within ^in++++=within
another ^dt++++=another
a ^at++++=a
bright ^jj+atrb+++=bright
nursery ^nn+nom+++=nursery
on ^in++++=on
Christmas ^np++++=Christmas
morning ^nn++++=morning;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
contained ^vbd+++xvbn+=contained
a ^at++++=a
flight ^nn++++=flight
above ^jjb+atrb+++=above
moonlit ^jj+atrb++??+=moonlit
roofs ^nns++++=roofs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
was ^vbd+bedz+aux++=was
clouded ^vpsv++agls+xvbnx+=clouded,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
I ^pp1a+pp1+++=I
bent ^vbd+++xvbnx+=bent
nearer ^rbr++++=nearer
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
myself ^ppl+pp1+++=myself
wandering ^vbg+++xvbg+=wandering
through ^in++++=through
empty ^jj+atrb+++=empty
streets ^nns++++=streets
and ^cc++++=and
calling ^nvbg+++xvbg+=calling
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
name ^nn++++=name.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
article ^nn++++=article."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
intended ^vbd+vsua++xvbn+=intended
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
covered ^vbd+++xvbnx+=covered
the ^ati++++=the
case ^nn++++=case.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
a ^at++++=a
box ^nn++++=box
of ^in++++=of
soldiers ^nns+nom+++=soldiers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
handsome ^jj+atrb+++=handsome
little ^jj+atrb+++=little
fellows ^nns++++=fellows
in ^in++++=in
white ^jj+atrb+++=white
uniforms ^nns++++=uniforms,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
a ^at++++=a
gold ^nn++++=gold
sun ^nn++++=sun
upon ^in++++=upon
his ^pp$+pp3+++=his
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
captain ^nn++++=captain
saluted ^vbd+++xvbn+=saluted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+aux++=was
moved ^vpsv++by+xvbnx+=moved
by ^in++++=by
a ^at++++=a
magnet ^nn++++=magnet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+++=knows
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain
saluted ^vbd+++xvbn+=saluted
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
clapped ^vbd+++xvbn+=clapped
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Instantly ^rb+tm+++=Instantly
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
leapt ^vbd+++xvbn+=leapt
from ^in++++=from
the ^ati++++=the
box ^nn++++=box,
, ^zz++++=EXTRAWORD
formed ^jj+atrb++xvbn+=formed
ranks ^nns++++=ranks
upon ^in++++=upon
the ^ati++++=the
counter ^nn++++=counter
and ^cc++++=and
marched ^vbd+++xvbn+=marched,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
stiffly ^rb++++=stiffly
after ^in++++=after
the ^ati++++=the
fashion ^nn++++=fashion
of ^in++++=of
clockwork ^nn++++=clockwork
toys ^nns++++=toys,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
minute ^nn++++=minute
and ^cc++++=and
alarming ^jj+atrb++xvbg+=alarming
suppleness ^nns+nom+++=suppleness.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
knees ^nns++++=knees
bent ^vbd+++xvbn+=bent;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
heads ^vbz++++=heads
turned ^vbd+++xvbn+=turned;
; ^zz++++=EXTRAWORD
the ^ati++++=the
drummer ^nn++++=drummer
wiped ^vbd+++xvbn+=wiped
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
word ^nn++++=word
of ^in++++=of
command ^nn++++=command
they ^pp3a+pp3+++=they
wheeled ^vbd+++xvbnx+=wheeled,
, ^zz++++=EXTRAWORD
presented ^xvbn+++xvbn+=presented
arms ^nns++++=arms
and ^cc++++=and
fired ^vbd+++xvbn+=fired
a ^at++++=a
volley ^nn++++=volley
of ^in++++=of
little ^ap++++=little
green ^nn++++=green
sparks ^np++++=sparks
into ^in++++=into
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="Careful!"
careful ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sparks ^nns++++=sparks
became ^vbd+++xvbn+=became
butterflies ^nns++++=butterflies
and ^cc++++=and
settled ^vpsv++agls+xvbn+=settled
upon ^in++++=upon
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
very ^ql+amp+++=very
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
delighted ^j+++xvbn+=delighted.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
obey ^vb++++=obey
only ^rb+down+++=only
their ^pp$+pp3+++=their
owner ^nn++++=owner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
word ^nn++++=word
to ^to++++=to
wake ^vbi++++=wake
them ^pp3o+pp3+++=them
and ^cc++++=and
another ^dt++++=another
to ^to++++=to
put ^vbi++++=put
them ^pp3o+pp3+++=them
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
never ^rb++splt++=never
use ^vb++++=use
the ^ati++++=the
waking ^jj+atrb++xvbg+=waking
word ^nn++++=word
after ^in++++=after
bedtime ^nn++++=bedtime,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
the ^ati++++=the
house ^nn++++=house
is ^vbz+bez+aux++=is
attacked ^vpsv++agls+xvbnx+=attacked."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
can ^md+pos+++=can
never ^rb++splt++=never
tell ^vb++++=tell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
word ^nn++++=word?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
stooped ^vbd+++xvbn+=stooped
and ^cc+phrs+++=and
whispered ^vbd+++xvbn+=whispered
into ^in++++=into
his ^pp$+pp3+++=his
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
only ^rb+down+++=only
a ^at++++=a
noise ^nn++++=noise
like ^in++++=like
the ^ati++++=the
striking ^jj+++xvbg+=striking
of ^in++++=of
a ^at++++=a
spoon ^nn++++=spoon
against ^in++++=against
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
nodded ^vbd+++xvbn+=nodded
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
solemnity ^nn+nom+++=solemnity
of ^in++++=of
a ^at++++=a
man ^nn++++=man
receiving ^vwbg+++xvbg+=receiving
military ^jj+atrb+++=military
intelligence ^nn+nom+++=intelligence.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
prefer ^vb+vprv+++=prefer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
to ^to++++=to
have ^vbi++vrb++=have
secrets ^nns++++=secrets
of ^in++++=of
that ^dt+dem+++=that
sort ^nn++++=sort
kept ^vbd+++xvbn+=kept
from ^in++++=from
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
not ^xnot++not++=not
kept ^vbd+++xvbn+=kept
from ^in++++=from
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
merely ^rb+down+++=merely
cannot ^md+pos+not++=cannot
hear ^vb+vprv+++=hear
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
much ^ap++++=much
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
to ^in++++=to
a ^at++++=a
grown ^vprf+++xvbn+=grown
person ^nn++++=person."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
swept ^vbd+++xvbnx+=swept
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
into ^in++++=into
their ^pp$+pp3+++=their
box ^nn++++=box,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
it ^pp3+it+++=it
with ^in++++=with
impossible ^jj+atrb+++=impossible
rapidity ^nn+nom+++=rapidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tied ^vbd+++xvbn+=tied
the ^ati++++=the
string ^nn++++=string
by ^in++++=by
snapping ^xvbg+++xvbg+=snapping
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parcel ^nn++++=parcel
joined ^vbd+++xvbn+=joined
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
seen ^vbd+vprv++xvbn+=seen
where ^wrb+who+whcl++=where
the ^ati++++=the
first ^rb++++=first
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
placed ^vpsv++agls+xvbnx+=placed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that
will ^md+prd+++=will
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
only ^ap+down+++=only
begun ^vprf+++xvbn+=begun."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
quite ^rb++++=quite
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
looked ^vbd+++xvbn+=looked
disappointed ^vbd+++xvbn+=disappointed
but ^cc+phrs+++=but
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
explained ^vprf+++xvbnx+=explained,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
effective ^jj+pred+++=effective
than ^in++++=than
protest ^nn++++=protest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
considered ^vwbn+vprv++xvbn+=considered
me ^pp1o+pp1+++=me
with ^in++++=with
his ^pp$+pp3+++=his
unequal ^jj+atrb+++=unequal
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
final ^jj+atrb+++=final
entertainment ^nn+nom+++=entertainment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Disappearing ^jj+atrb++xvbg+=Disappearing
Boy ^nn++++=Boy.
. ^zz++++=EXTRAWORD
Quite ^rb++++=Quite
harmless ^jj++++=harmless.
. ^zz++++=EXTRAWORD
Particularly ^rb++++=Particularly
admired ^vpsv++by+xvbn+=admired
by ^in++++=by
parents ^nns++++=parents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Please,
please ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dadda ^nn+++??+=dadda,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
" ^zz++++="please"
please ^uh++++=EXTRAWORD
" ^zz++++=EXTRAWORD
that ^cs+sub+++=that
weakened ^xvbn+++xvbn+=weakened
