# ^zz++++=##
# ^zz++++=EXTRAWORD
Lights ^nns++++=Lights
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
wholly ^rb++++=wholly
hardened ^jj+++xvbn+=hardened,
, ^zz++++=EXTRAWORD
warned ^j+++xvbn+=warned
her ^pp$+pp3+++=her
of ^in++++=of
the ^ati++++=the
approaching ^jj+atrb++xvbg+=approaching
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
" ^zz++++="Go,
go ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
killers ^nns+nom+++=killers
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
perish ^vb++++=perish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
my ^pp$+pp1+++=my
uncle ^nn++++=uncle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
looked ^vbd+++xvbn+=looked
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
spare ^vb++++=spare
no ^at++++=no
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
might ^md+pos+++=might
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
affection ^nn+nom+++=affection
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
beside ^in+pl+++=beside
the ^ati++++=the
sick ^jj+atrb+++=sick
man ^nn++++=man.
. ^zz++++=EXTRAWORD
By ^in++++=By
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
doors ^nns++++=doors
were ^vbd+bed+aux++=were
forced ^vpsv++agls+xvbnx+=forced.
. ^zz++++=EXTRAWORD
The ^ati++++=The
murderers ^nns+nom+++=murderers
entered ^vbd+++xvbn+=entered,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting,
, ^zz++++=EXTRAWORD
searching ^vbg+++xvbg+=searching
every ^at++++=every
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
from ^in++++=from
beds ^nns++++=beds
and ^cc++++=and
corners ^nns+nom+++=corners.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
invalid ^nn++++=invalid,
, ^zz++++=EXTRAWORD
too ^ql++++=too
weak ^jj++++=weak
even ^rb++++=even
to ^to++++=to
rise ^vbi++++=rise
before ^in++++=before
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
de ^&fw++++=de
Fausse ^np+++??+=Fausse
Lendry ^np+++??+=Lendry
threw ^vbd+++xvbn+=threw
herself ^ppl+pp3+++=herself
between ^in++++=between
him ^pp3o+pp3+++=him
and ^cc++++=and
the ^ati++++=the
weapons ^nns++++=weapons.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
dying ^vbg+++xvbgx+=dying
already ^rb++++=already!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
no ^at++++=no
pity ^nn++++=pity?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
none ^pn++++=none.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
entreaties ^vbz+++??+=entreaties
were ^vbd+bed+aux++=were
answered ^vpsv++agls+xvbnx+=answered
with ^in++++=with
threats ^nns++++=threats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sick ^jj+atrb+++=sick
man ^nn++++=man
was ^vbd+bedz+vrb++=was
slain ^nn+++??+=slain
before ^in++++=before
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
survived ^vbd+++xvbnx+=survived,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
survival ^nn+nom+++=survival
itself ^ppl++++=itself
may ^md+pos+++=may
become ^vprf+++xvbn+=become
a ^at++++=a
heavy ^jj+atrb+++=heavy
cross ^nn++++=cross
when ^wrb+who+++=when
it ^pp3+it+++=it
preserves ^vbz++++=preserves,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
hope ^vb++++=hope,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
remembrance ^nn+nom+++=remembrance
of ^in++++=of
a ^at++++=a
beloved ^nn++++=beloved
face ^vb++++=face
seen ^vbd+vprv++xvbn+=seen
for ^in++++=for
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
amid ^in++++=amid
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
celebrated ^jj+++xvbn+=celebrated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
surpassing ^jj+atrb+++=surpassing
horror ^nn++++=horror,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fate ^nn++++=fate
of ^in++++=of
the ^ati++++=the
Princess ^nns+nom+++=Princess
de ^&fw++++=de
Lamballe ^np+++??+=Lamballe.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
faithful ^jj+atrb+++=faithful
friend ^nn++++=friend
of ^in++++=of
Queen ^npt++++=Queen
Marie ^np++++=Marie
Antoinette ^np+nom+++=Antoinette.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
danger ^nn++++=danger
nor ^cc++neg++=nor
popular ^jj+atrb+++=popular
insult ^nn++++=insult
could ^md+pos+++=could
induce ^vb++++=induce
her ^pp$+pp3+++=her
to ^in++++=to
purchase ^nn++++=purchase
safety ^nn++++=safety
by ^in++++=by
denying ^vb+vpub++xvbg+=denying
that ^tht+vcmp+++=that
attachment ^nn+nom+++=attachment.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
confined ^vpsv++agls+xvbnx+=confined
at ^rb++++=at
La ^&fw++++=La
Force ^nn++++=Force,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
same ^ap++++=same
mockery ^nn+nom+++=mockery
of ^in++++=of
judgment ^nn+nom+++=judgment
awaited ^vbd+++xvbn+=awaited
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
brought ^vbd+++xvbn+=brought
before ^in++++=before
the ^ati++++=the
tribunal ^nn+nom+++=tribunal,
, ^zz++++=EXTRAWORD
exhausted ^xvbn+++xvbn+=exhausted
by ^in++++=by
confinement ^nn+nom+++=confinement
and ^cc++++=and
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
questioned ^vpsv++agls+xvbnx+=questioned
concerning ^in++++=concerning
her ^pp$+pp3+++=her
name ^nn++++=name
and ^cc++++=and
rank ^nn++++=rank.
. ^zz++++=EXTRAWORD
" ^zz++++="Swear,"
swear ^nn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
judges ^nns++++=judges,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^in++++=EXTRAWORD
love ^nn++++=love
liberty ^nn++++=liberty
and ^cc++++=and
equality ^nn+nom+++=equality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
hate ^vbi++++=hate
the ^ati++++=the
king ^nn++++=king
and ^cc++++=and
queen ^nn++++=queen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
answered ^vbd+vpub++xvbnx+=answered
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
swear ^vb+vpub++xvbn+=swear
to ^in++++=to
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
to ^in++++=to
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
" ^zz++++="Swear!
swear ^nn+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
dead ^jj+pred+++=dead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
To ^to++++=To
speak ^vbi++++=speak
the ^ati++++=the
demanded ^jj+atrb++xvbn+=demanded
words ^nns++++=words
might ^md+pos+++=might
perhaps ^rb++++=perhaps
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
her ^pp$+pp3+++=her
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
friendship ^nn+nom+++=friendship,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
cherished ^vwbn+++xvbn+=cherished
in ^in++++=in
prosperity ^nn+nom+++=prosperity,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
still ^rb++++=still
more ^rbr++++=more
sacred ^jj++++=sacred
in ^in++++=in
ruin ^nn++++=ruin.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
not ^xnot++not++=not
proclaim ^vb++++=proclaim
hatred ^nn++++=hatred
against ^in++++=against
those ^dt+pdem+++=those
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
judges ^nns++++=judges
made ^vbd+++xvbn+=made
the ^ati++++=the
fatal ^jj+atrb+++=fatal
sign ^nn++++=sign.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
led ^vpsv++agls+xvbnx+=led
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
accounts ^nns++++=accounts
relate ^vb++++=relate
that ^cs+sub+++=that
a ^at++++=a
compassionate ^jj+atrb+++=compassionate
person ^nn++++=person
whispered ^vbd+++xvbn+=whispered
to ^in++++=to
her ^pp$+pp3+++=her
to ^to++++=to
cry ^vbi++++=cry,
, ^zz++++=EXTRAWORD
" ^zz++++="Long
long ^rb++++=EXTRAWORD
live ^vb++++=live
the ^ati++++=the
nation ^nn++++=nation!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
perhaps ^rb++++=perhaps
gain ^vb++++=gain
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
mercy ^nn++++=mercy;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
bewildered ^vpsv++agls+xvbnx+=bewildered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mob ^nn++++=mob
outside ^jjb++++=outside
was ^vbd+bedz+vrb++=was
already ^rb++++=already
absolutely ^rb+amp+++=absolutely
frantic ^jj++++=frantic.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
threshold ^nn++++=threshold
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
struck ^vpsv++agls+xvbnx+=struck
down ^rp++++=down.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
not ^xnot++not++=not
dwell ^vb++++=dwell
upon ^in++++=upon
the ^ati++++=the
indignities ^nns+nom+++=indignities
that ^tht+rel+subj++=that
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
crimes ^nns++++=crimes
which ^whp+rel+subj++=which
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
recorded ^jj+++xvbn+=recorded,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
mankind ^nn++++=mankind
forget ^vb+vprv+++=forget
to ^to+vcmp+++=to
what ^wdt+who+++=what
depths ^nns++++=depths
unrestrained ^vbd+++xvbn+=unrestrained
passion ^nn++++=passion
can ^md+pos+++=can
descend ^vb++++=descend;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
imagination ^nn+nom+++=imagination
need ^nn++++=need
not ^xnot++not++=not
be ^vb+be+aux++=be
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
linger ^vbi++++=linger
over ^in++++=over
every ^at++++=every
circumstance ^nn+nom+++=circumstance.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
remember ^nn+nom+++=remember
rather ^rb++++=rather
the ^ati++++=the
princess ^nns+nom+++=princess's
's ^$++++=EXTRAWORD
constancy ^nn++++=constancy:
: ^zz++++=EXTRAWORD
the ^ati++++=the
fair ^jj++++=fair
head ^jjb++++=head
bowed ^jj+++xvbn+=bowed
beneath ^in+pl+++=beneath
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gentle ^jj+atrb+++=gentle
friend ^nn++++=friend
refusing ^vb+++xvbg+=refusing
to ^to+vcmp+++=to
make ^vbi++++=make
falsehood ^nn+nom+++=falsehood
the ^ati++++=the
ransom ^nn++++=ransom
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
soul ^nn++++=soul
passing ^vwbg+++xvbg+=passing
beyond ^in++++=beyond
the ^ati++++=the
reach ^nn++++=reach
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
could ^md+pos+++=could
insult ^vb++++=insult
the ^ati++++=the
body ^nn++++=body
but ^cc++++=but
could ^md+pos+++=could
not ^xnot++not++=not
conquer ^vb++++=conquer
fidelity ^nn+nom+++=fidelity.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
days ^nns++++=days
Paris ^np++++=Paris
remained ^vbd+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
the ^ati++++=the
assassins ^nns+++??+=assassins.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ordinary ^jj+atrb+++=ordinary
business ^nns+nom+++=business
of ^in++++=of
life ^nn++++=life
continued ^vbd+++xvbn+=continued
strangely ^rb++++=strangely
around ^in++++=around
the ^ati++++=the
massacres ^nns+++??+=massacres.
. ^zz++++=EXTRAWORD
Shops ^nns++++=Shops
opened ^vbd+++xvbn+=opened;
; ^zz++++=EXTRAWORD
citizens ^nns++++=citizens
crossed ^vbd+++xvbn+=crossed
bridges ^nns++++=bridges;
; ^zz++++=EXTRAWORD
bells ^nns++++=bells
sounded ^vbd+++xvbn+=sounded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
September ^nr+nom+++=September
sun ^nn++++=sun
shone ^vbd+++xvbn+=shone
upon ^in++++=upon
roofs ^nns++++=roofs
and ^cc++++=and
gardens ^nns++++=gardens;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
within ^in++++=within
prison ^nn++++=prison
walls ^nns++++=walls
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
waited ^vbd+++xvbn+=waited
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
whether ^cs+who+++=whether
the ^ati++++=the
next ^ap++++=next
cry ^nn++++=cry
would ^md+prd+++=would
be ^vb+be+vrb++=be
their ^pp$+pp3+++=their
own ^ap++++=own
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
contrasts ^nns++++=contrasts
are ^vb+ber+vrb++=are
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
fearful ^jj+atrb+++=fearful
features ^nns++++=features
of ^in++++=of
public ^jj+atrb+++=public
calamity ^nn+nom+++=calamity.
. ^zz++++=EXTRAWORD
A ^at++++=A
city ^npl++++=city
does ^vbz+doz+aux++=does
not ^xnot++not++=not
cease ^vb++++=cease
to ^to++++=to
breathe ^vbi++++=breathe
because ^cs+cos+++=because
hundreds ^cds++++=hundreds
are ^vb+ber+aux++=are
murdered ^vpsv++agls+xvbnx+=murdered.
. ^zz++++=EXTRAWORD
Bread ^nn++++=Bread
is ^vbz+bez+aux++=is
bought ^vpsv++agls+xvbnx+=bought,
, ^zz++++=EXTRAWORD
children ^nns++++=children
play ^nn++++=play,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bystanders ^nns+nom+++=bystanders
turn ^vb++++=turn
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
until ^in++++=until
wickedness ^nns+nom+++=wickedness,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
itself ^ppl++++=itself
unopposed ^jj++++=unopposed,
, ^zz++++=EXTRAWORD
grows ^vbz++++=grows
bolder ^jjr++++=bolder.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
bloody ^jj+atrb+++=bloody
work ^nn++++=work
ended ^vbd+++xvbn+=ended.
. ^zz++++=EXTRAWORD
The ^ati++++=The
courts ^nns++++=courts
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weapons ^nns++++=weapons
laid ^vbd+++xvbn+=laid
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
part ^nn++++=part
returned ^vbd+++xvbn+=returned
to ^in++++=to
their ^pp$+pp3+++=their
homes ^nrs++++=homes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
cleansing ^nn++++=cleansing
could ^md+pos+++=could
remove ^vb++++=remove
the ^ati++++=the
guilt ^nn++++=guilt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
silence ^nn++++=silence
restore ^vb++++=restore
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
France ^np++++=France
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
these ^dt+dem+++=these
murders ^nns+nom+++=murders
were ^vbd+bed+vrb++=were
necessary ^jj+pred+++=necessary
for ^in++++=for
liberty ^nn++++=liberty.
. ^zz++++=EXTRAWORD
In ^in++++=In
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
liberty ^nn++++=liberty
gains ^nns++++=gains
nothing ^pn++++=nothing
from ^in++++=from
injustice ^nn++++=injustice.
. ^zz++++=EXTRAWORD
A ^at++++=A
cause ^nn++++=cause
which ^whp+rel+subj++=which
must ^md+nec+++=must
be ^vb+be+aux++=be
defended ^vpsv++by+xvbnx+=defended
by ^in++++=by
slaughtering ^nn++++=slaughtering
helpless ^jj+atrb+++=helpless
prisoners ^nns+nom+++=prisoners
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
condemned ^vprf+++xvbnx+=condemned
itself ^ppl++++=itself
before ^in++++=before
God ^np++++=God
and ^cc++++=and
honour ^nn++++=honour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rescued ^jj+++xvbn+=rescued,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
little ^ap++++=little
assurance ^nn+nom+++=assurance
of ^in++++=of
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
Jacques ^np++++=Jacques
Cazotte ^np++++=Cazotte's
's ^$++++=EXTRAWORD
reprieve ^nn++++=reprieve
proved ^vbd+vprv++xvbn+=proved
only ^rb+down+++=only
a ^at++++=a
delay ^nn++++=delay.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
rearrested ^vpsv++agls+xvbnx+=rearrested
and ^cc+phrs+++=and
brought ^vpsv++agls+xvbn+=brought
before ^in++++=before
a ^at++++=a
more ^rbr++++=more
regular ^jj+atrb+++=regular
tribunal ^nn+nom+++=tribunal,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
forms ^nns++++=forms
of ^in++++=of
law ^nn++++=law
could ^md+pos+++=could
not ^xnot++not++=not
conceal ^vb++++=conceal
the ^ati++++=the
vengeance ^nn+nom+++=vengeance
beneath ^in+pl+++=beneath
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
snatch ^nn++++=snatch
him ^pp3o+pp3+++=him
from ^in++++=from
his ^pp$+pp3+++=his
judges ^nns++++=judges
by ^in++++=by
placing ^xvbg+++xvbg+=placing
her ^pp3o+pp3+++=her
young ^jj+atrb+++=young
body ^nn++++=body
before ^in++++=before
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
condemned ^vpsv++agls+xvbnx+=condemned
to ^in++++=to
the ^ati++++=the
guillotine ^nn++++=guillotine.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
hour ^nn++++=hour
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
met ^vbd+++xvbn+=met
death ^nn++++=death
with ^in++++=with
composure ^nn++++=composure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
the ^ati++++=the
tenderness ^nns+nom+++=tenderness
of ^in++++=of
a ^at++++=a
daughter ^nn+nom+++=daughter
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
die ^vbi++++=die
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
that ^dt+dem+++=that
blessing ^nn++++=blessing
to ^in++++=to
the ^ati++++=the
scaffold ^nn+++??+=scaffold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
professed ^vbd+++xvbnx+=professed
his ^pp$+pp3+++=his
fidelity ^nn+nom+++=fidelity
to ^in++++=to
God ^np++++=God
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
king ^nn++++=king,
, ^zz++++=EXTRAWORD
commended ^j+++xvbn+=commended
those ^dt+dem+++=those
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
to ^in+vcmp+++=to
divine ^jj+atrb+++=divine
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vpsv++agls+xvbn+=passed
from ^in++++=from
the ^ati++++=the
injustice ^nn++++=injustice
of ^in++++=of
men ^nns++++=men
to ^in++++=to
the ^ati++++=the
judgment ^nn+nom+++=judgment
where ^wrb+who+++=where
no ^at++++=no
clamour ^nn++++=clamour
can ^md+pos+++=can
turn ^vb++++=turn
innocence ^nn+nom+++=innocence
into ^in++++=into
guilt ^nn++++=guilt.
. ^zz++++=EXTRAWORD
Marie ^np++++=Marie
de ^&fw++++=de
Sombreuil ^np+++??+=Sombreuil
was ^vbd+bedz+aux++=was
reserved ^vpsv++agls+xvbnx+=reserved
for ^in++++=for
sorrows ^nns++++=sorrows
scarcely ^rb+down+++=scarcely
less ^rbr++++=less
severe ^jj++++=severe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
led ^vprf+++xvbnx+=led
from ^in++++=from
the ^ati++++=the
Abbaye ^np+++??+=Abbaye
was ^vbd+bedz+aux++=was
afterwards ^rb+tm+splt++=afterwards
accused ^vpsv++agls+xvbnx+=accused
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
brother ^npt++++=brother
shared ^vbd+++xvbn+=shared
his ^pp$+pp3+++=his
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
a ^at++++=a
tribunal ^nn+nom+++=tribunal
that ^tht+rel+subj++=that
possessed ^vprf+++xvbn+=possessed
the ^ati++++=the
appearance ^nn+nom+++=appearance
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
both ^abx++++=both
were ^vbd+bed+aux++=were
condemned ^vpsv++agls+xvbnx+=condemned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
were ^vbd+bed+aux++=were
executed ^vpsv++agls+xvbnx+=executed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
daughter ^nn+nom+++=daughter
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
conquered ^vprf+++xvbnx+=conquered
a ^at++++=a
mob ^nn++++=mob
could ^md+pos+++=could
not ^xnot++not++=not
conquer ^vb++++=conquer
the ^ati++++=the
deliberate ^jj+atrb+++=deliberate
machinery ^nn+nom+++=machinery
of ^in++++=of
the ^ati++++=the
Terror ^nn++++=Terror.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
her ^pp$+pp3+++=her
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
useless ^jj++++=useless?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
Elizabeth ^np++++=Elizabeth's
's ^$++++=EXTRAWORD
devotion ^nn+nom+++=devotion
wasted ^vwbn+++xvbn+=wasted
because ^cs+cos+++=because
Cazotte ^np+++??+=Cazotte
ultimately ^rb++++=ultimately
