# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
September ^nr+nom+++=September
of ^in++++=of
her ^pp$+pp3+++=her
footsteps ^nns++++=footsteps
until ^cs+sub+++=until
silence ^nn+nom+++=silence
closed ^vbd+++xvbn+=closed
over ^rp++++=over
them ^pp3o+pp3+++=them
like ^in++++=like
earth ^nn++++=earth
upon ^in++++=upon
a ^at++++=a
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
to ^in++++=to
Agrippa ^np+++??+=Agrippa.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
regarded ^vbd+++xvbnx+=regarded
me ^pp1o+pp1+++=me
narrowly ^rb++++=narrowly.
. ^zz++++=EXTRAWORD
" ^zz++++="Love
love ^nn++++=EXTRAWORD
has ^vbz+hvz+aux++=has
sent ^vprf+++xvbnx+=sent
you ^pp2+pp2+++=you
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hatred,"
hatred ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
neighbouring ^jj+atrb+++=neighbouring
kingdoms ^nns+nom+++=kingdoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
frontier ^nn+nom+++=frontier
is ^vbz+bez+vrb++=is
ill ^jj++++=ill
marked ^jj+++xvbn+=marked.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
keep ^vb++++=keep
vigil ^nn++++=vigil?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Until
until ^in++++=EXTRAWORD
doomsday ^nn++++=doomsday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Boast
boast ^vb+vpub+++=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+rel+obj++=who
promise ^nn++++=promise
doomsday ^nn++++=doomsday
commonly ^rb++++=commonly
sleep ^nn++++=sleep
before ^in++++=before
midnight ^nn++++=midnight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
led ^vbd+++xvbnx+=led
me ^pp1o+pp1+++=me
into ^in++++=into
the ^ati++++=the
innermost ^jj+atrb+++=innermost
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
furnace ^nn++++=furnace
glowed ^vbd+++xvbn+=glowed
beneath ^in+pl+++=beneath
a ^at++++=a
blackened ^jj+atrb+++=blackened
arch ^nn++++=arch.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
a ^at++++=a
tripod ^nn++++=tripod
stood ^vbd+++xvbn+=stood
a ^at++++=a
small ^jj+atrb+++=small
crystal ^nn++++=crystal
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
it ^pp3+it+++=it
trembled ^vbd+++xvbn+=trembled
a ^at++++=a
rose ^vbd+++xvbn+=rose-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
liquid ^jj++++=liquid,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
as ^ql++++=as
sunset ^nn++++=sunset
reflected ^vbd+vprv++xvbn+=reflected
in ^in++++=in
mountain ^nn++++=mountain
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Agrippa ^np++++=Agrippa's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+vrb++=was
gaunt ^np++++=gaunt
from ^in++++=from
labour ^nn++++=labour;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
shook ^vbd+++xvbn+=shook.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
watched ^vprf+++xvbnx+=watched
three ^cd++++=three
nights ^nns++++=nights,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
rest ^vb++++=rest.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
the ^ati++++=the
flame ^nn++++=flame
at ^rb++++=at
this ^dt+dem+++=this
height ^nn++++=height
neither ^dt++neg++=neither
more ^rbr++++=more
nor ^cc+phrs+neg++=nor
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
liquid ^jj+atrb+++=liquid
change ^nn++++=change
from ^in++++=from
rose ^nn+++xvbn+=rose
to ^in++++=to
white ^jj++++=white,
, ^zz++++=EXTRAWORD
awaken ^vb++++=awaken
me ^pp1o+pp1+++=me
instantly ^rb+tm+++=instantly.
. ^zz++++=EXTRAWORD
Touch ^nn++++=Touch
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Taste ^nn++++=Taste
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
you ^pp2+pp2+++=you
disobey ^vb++++=disobey,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
purchase ^vb++++=purchase
knowledge ^nn++++=knowledge
at ^in++++=at
a ^at++++=a
price ^nn++++=price
no ^at++++=no
repentance ^nn+nom+++=repentance
can ^md+pos+++=can
repay ^vb++++=repay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
adjoining ^jj+atrb++xvbg+=adjoining
cell ^nn++++=cell
and ^cc++++=and
threw ^vbd+++xvbn+=threw
himself ^ppl+pp3+++=himself
upon ^in++++=upon
a ^at++++=a
couch ^nn++++=couch.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
before ^in++++=before
the ^ati++++=the
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
hour ^nn++++=hour
my ^pp$+pp1+++=my
attention ^nn+nom+++=attention
remained ^vbd+++xvbn+=remained
fixed ^vbd+++xvbn+=fixed
upon ^in++++=upon
the ^ati++++=the
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
liquid ^nn++++=liquid
pulsed ^vbd+++xvbn+=pulsed
with ^in++++=with
faint ^jj+atrb+++=faint
radiance ^nn+nom+++=radiance,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
a ^at++++=a
tiny ^jj+atrb+++=tiny
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
within ^in++++=within
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
my ^pp$+pp1+++=my
thoughts ^nns++++=thoughts
wandered ^vbd+++xvbn+=wandered.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Bertha ^np+++??+=Bertha
under ^in++++=under
the ^ati++++=the
lindens ^nns+++??+=lindens;
; ^zz++++=EXTRAWORD
Albert ^np++++=Albert
bent ^vbd+++xvbn+=bent
toward ^in++++=toward
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
again ^rb+tm+++=again
the ^ati++++=the
word ^nn++++=word
false ^jj++++=false
in ^in++++=in
her ^pp$+pp3+++=her
wounded ^vbd+++xvbn+=wounded
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Anger ^nn++++=Anger
burned ^vbd+++xvbn+=burned,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
longing ^jj+++xvbg+=longing
so ^ql+emph+++=so
intense ^jj++++=intense
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
pressed ^vbd+++xvbnx+=pressed
both ^abx++++=both
hands ^nns++++=hands
against ^in++++=against
my ^pp$+pp1+++=my
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
might ^md+pos+++=might
tear ^vb++++=tear
out ^rp+pl+++=out
the ^ati++++=the
tormenting ^jj+atrb++xvbg+=tormenting
organ ^nn++++=organ.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
Agrippa ^np++++=Agrippa's
's ^$++++=EXTRAWORD
table ^nn++++=table
lay ^vbd+++xvbn+=lay
an ^at++++=an
open ^jj+atrb+++=open
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyes ^nns++++=eyes
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
a ^at++++=a
line ^nn++++=line
written ^vbd+++xvbn+=written
in ^in++++=in
red ^jj++++=red:
: ^zz++++=EXTRAWORD
**a ^nn+++??+=**A
draught ^nn++++=draught
to ^in++++=to
free ^jj++++=free
the ^ati++++=the
soul ^nn++++=soul
from ^in++++=from
love.** ^nn+++??+=love.**
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
this ^dt+dem+++=this
the ^ati++++=the
labour ^nn++++=labour
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
consumed ^vprf+++xvbnx+=consumed
my ^pp$+pp1+++=my
master ^nn++++=master?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
science ^nn+nom+++=science
indeed ^rb++++=indeed
extinguish ^vb++++=extinguish
that ^dt+dem+++=that
fever ^nn++++=fever
which ^whp+rel+obj++=which
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
absence ^nn+nom+++=absence
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
cure ^vbi++++=cure?
? ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
was ^vbd+bedz+vrb++=was
terrible ^jj+pred+++=terrible
and ^cc+phrs+++=and
delightful ^jj++++=delightful.
. ^zz++++=EXTRAWORD
To ^to++++=To
forget ^vbi+vprv+++=forget
Bertha ^np+++??+=Bertha!
! ^zz++++=EXTRAWORD
To ^to++++=To
behold ^vbi++++=behold
her ^pp$+pp3+++=her
beside ^in+pl+++=beside
Albert ^np++++=Albert
and ^cc++++=and
feel ^vb+vprv+++=feel
no ^at++++=no
wound ^vbd+++xvbn+=wound;
; ^zz++++=EXTRAWORD
to ^to++++=to
pass ^vbi++++=pass
the ^ati++++=the
castle ^nn++++=castle
without ^in++++=without
raising ^xvbg+++xvbg+=raising
my ^pp$+pp1+++=my
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
to ^to++++=to
sleep ^vbi++++=sleep
without ^in++++=without
dreaming ^nn++++=dreaming
of ^in++++=of
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
to ^in++++=to
awake ^jj++++=awake
without ^in++++=without
hunger ^nn++++=hunger
for ^in++++=for
her ^pp$+pp3+++=her
voice ^nn++++=voice!
! ^zz++++=EXTRAWORD
Liberty ^nn++++=Liberty
opened ^vbd+++xvbn+=opened
before ^in++++=before
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
imagined ^vbd+vprv+tht0+xvbnx+=imagined
my ^pp$+pp1+++=my
heart ^nn++++=heart
a ^at++++=a
quiet ^jj+atrb+++=quiet
chamber ^nn++++=chamber
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
tyrant ^nn++++=tyrant
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
expelled ^vpsv++agls+xvbnx+=expelled.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
the ^ati++++=the
potion ^nn++++=potion
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rosy ^jj+atrb+++=rosy
hue ^nn++++=hue
faded ^vbd+++xvbn+=faded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
fluid ^nn++++=fluid
became ^vbd+++xvbn+=became
white ^jj++++=white
whiter ^jjr++++=whiter
than ^in++++=than
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
whiter ^jjr++++=whiter
than ^in++++=than
the ^ati++++=the
shroud ^nn++++=shroud
of ^in++++=of
an ^at++++=an
innocent ^jj+atrb+++=innocent
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Golden ^jj+atrb+++=Golden
flashes ^nns++++=flashes
sprang ^vbd+++xvbn+=sprang
through ^in++++=through
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fragrance ^nn+nom+++=fragrance
filled ^vbd+++xvbn+=filled
the ^ati++++=the
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
No ^at++++=No
flower ^nn++++=flower
of ^in++++=of
earth ^nn++++=earth
ever ^rb++++=ever
breathed ^vbd+++xvbn+=breathed
such ^abl++++=such
perfume ^nn++++=perfume.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
compounded ^vbd+++xvbn+=compounded
of ^in++++=of
spring ^nn++++=spring
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
crushed ^xvbn+++xvbn+=crushed
violets ^nns+nom+++=violets,
, ^zz++++=EXTRAWORD
warm ^jj+atrb+++=warm
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
sea ^nn++++=sea-wind,
- ^zz++++=EXTRAWORD
wind ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
breath ^nn++++=breath
of ^in++++=of
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
veins ^nns++++=veins
thrilled ^jj++++=thrilled.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
sense ^nn++++=sense
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out
to ^to++++=to
partake ^vbi++++=partake.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
awakened ^vprf+++xvbnx+=awakened
Agrippa ^np+++??+=Agrippa.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
I ^pp1a+pp1+++=I
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
" ^zz++++="Freedom,"
freedom ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
freedom ^nn+nom+++=freedom
from ^in++++=from
love ^nn++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
quaffed ^vbd+++xvbnx+=quaffed.
. ^zz++++=EXTRAWORD
Fire ^nn++++=Fire
yet ^rb++++=yet
not ^xnot++not++=not
pain ^nn++++=pain
rushed ^vbd+++xvbn+=rushed
from ^in++++=from
my ^pp$+pp1+++=my
lips ^nns++++=lips
to ^in++++=to
my ^pp$+pp1+++=my
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
from ^in++++=from
my ^pp$+pp1+++=my
heart ^nn++++=heart
to ^in++++=to
the ^ati++++=the
extremities ^nns+nom+++=extremities
of ^in++++=of
my ^pp$+pp1+++=my
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chamber ^nn++++=chamber
expanded ^vbd+++xvbn+=expanded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
walls ^nns++++=walls
receded ^vbd+++xvbn+=receded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
dying ^jj+atrb++xvbg+=dying
lamp ^nn++++=lamp
blazed ^vbd+++xvbn+=blazed
like ^in++++=like
a ^at++++=a
captured ^jj+atrb++xvbn+=captured
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
minute ^nn++++=minute
crackling ^nn+nom+++=crackling
of ^in++++=of
charcoal ^nn+nom+++=charcoal,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stirring ^jj+++xvbg+=stirring
of ^in++++=of
a ^at++++=a
moth ^nn++++=moth's
's ^$++++=EXTRAWORD
wing ^nn++++=wing
near ^in+pl+++=near
the ^ati++++=the
ceiling ^nn+nom+++=ceiling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
deep ^jj++++=deep
breathing ^jj+++xvbg+=breathing
of ^in++++=of
Agrippa ^np+++??+=Agrippa
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Strength ^nn++++=Strength,
, ^zz++++=EXTRAWORD
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
boundless ^jj+atrb+++=boundless
confidence ^nn+nom+++=confidence
possessed ^vbd+++xvbn+=possessed
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Methought
thought ^vbd+++xvbn+=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
uprooted ^vprf+++xvbnx+=uprooted
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
commanded ^jj+atrb++xvbn+=commanded
kings ^nns++++=kings,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
laughed ^vbd+++xvbn+=laughed
Satan ^np++++=Satan
from ^in++++=from
his ^pp$+pp3+++=his
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
vessel ^nn++++=vessel
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
the ^ati++++=the
liquid ^nn++++=liquid
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Agrippa ^np+++??+=Agrippa
awoke ^vbd+++xvbn+=awoke.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cry ^nn++++=cry
shook ^vbd+++xvbn+=shook
the ^ati++++=the
vault ^nn++++=vault.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started;
; ^zz++++=EXTRAWORD
the ^ati++++=the
glass ^nn++++=glass
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
my ^pp$+pp1+++=my
hand ^nn++++=hand
and ^cc++++=and
shattered ^vpsv++agls+xvbn+=shattered
upon ^in++++=upon
the ^ati++++=the
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
White ^jj+atrb+++=White
flame ^nn++++=flame
ran ^vbd+++xvbn+=ran
along ^in++++=along
the ^ati++++=the
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
for ^in++++=for
one ^cd1++++=one
dazzling ^jj+atrb++xvbg+=dazzling
moment ^nn++++=moment
every ^at++++=every
object ^nn++++=object
stood ^vbd+++xvbn+=stood
revealed ^vbd+vprv++xvbn+=revealed
with ^in++++=with
unnatural ^jj+atrb+++=unnatural
sharpness ^nns+nom+++=sharpness
books ^nns++++=books,
, ^zz++++=EXTRAWORD
skulls ^nns++++=skulls,
, ^zz++++=EXTRAWORD
retorts ^nns+++??+=retorts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
alchymist ^nn+nom+++=alchymist's
's ^$++++=EXTRAWORD
horrified ^vpsv++agls+xvbnx+=horrified
countenance ^nn+nom+++=countenance
and ^cc++++=and
then ^rn+tm+++=then
the ^ati++++=the
fire ^nn++++=fire
vanished ^vbd+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
only ^rb+down+++=only
a ^at++++=a
dark ^jj+atrb+++=dark
stain ^nn++++=stain.
. ^zz++++=EXTRAWORD
" ^zz++++="Wretch!"
wretch ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
done ^vbd+++xvbn+=done?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sought ^vbd+++xvbnx+=sought
to ^to++++=to
cure ^vbi++++=cure
myself ^ppl+pp1+++=myself
of ^in++++=of
love ^nn++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Love?"
love ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
terror ^nn++++=terror
changed ^vbd+++xvbn+=changed
to ^in++++=to
amazement ^nn+nom+++=amazement,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
to ^in++++=to
laughter ^nn+nom+++=laughter;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
mastered ^vbd+++xvbnx+=mastered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Begone!
begone ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Leave ^nn++++=Leave
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
labour ^nn++++=labour
of ^in++++=of
years ^nns++++=years
lost ^vbd+++xvbn+=lost
through ^in++++=through
a ^at++++=a
jealous ^jj+atrb+++=jealous
boy ^nn++++=boy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seized ^vbd+++xvbnx+=seized
my ^pp$+pp1+++=my
arm ^nn++++=arm
and ^cc++++=and
thrust ^nn+++xvbn+=thrust
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
from ^in++++=from
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
shame ^nn++++=shame,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
exultation ^nn+nom+++=exultation.
. ^zz++++=EXTRAWORD
Dawn ^nn++++=Dawn
reddened ^vbd+++xvbn+=reddened
the ^ati++++=the
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
leaf ^nn++++=leaf
glittered ^vbd+++xvbn+=glittered,
, ^zz++++=EXTRAWORD
every ^at++++=every
bird ^nn++++=bird
sang ^vbd+++xvbn+=sang
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
every ^at++++=every
cloud ^nn++++=cloud
appeared ^vbd+seem++xvbn+=appeared
a ^at++++=a
triumphal ^jj+atrb+++=triumphal
banner ^nn++++=banner.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
leapt ^vbd+++xvbnx+=leapt
brooks ^nps++++=brooks,
, ^zz++++=EXTRAWORD
climbed ^jj+atrb++xvbn+=climbed
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sped ^vbd+++xvbn+=sped
uphill ^jjb++++=uphill
toward ^in++++=toward
the ^ati++++=the
castle ^nn++++=castle
with ^in++++=with
the ^ati++++=the
swiftness ^nns+nom+++=swiftness
of ^in++++=of
a ^at++++=a
deer ^nn++++=deer.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
I ^pp1a+pp1+++=I
ceased ^vbd+++xvbnx+=ceased
to ^in++++=to
love ^nn++++=love
Bertha ^np+++??+=Bertha?
? ^zz++++=EXTRAWORD
Folly ^nn++++=Folly!
! ^zz++++=EXTRAWORD
The ^ati++++=The
supposed ^jj+atrb++xvbn+=supposed
cure ^nn++++=cure
had ^vbd+hvd+aux++=had
armed ^vprf+++xvbnx+=armed
love ^nn++++=love
with ^in++++=with
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her
more ^rbr++++=more
vehemently ^rb++++=vehemently
than ^in++++=than
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^abn++++=all
fear ^vb++++=fear
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
Albert ^np++++=Albert's
's ^$++++=EXTRAWORD
wealth ^nn++++=wealth
seemed ^vbd+seem++xvbn+=seemed
ridiculous ^jj++++=ridiculous;
; ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np++++=Ursula's
's ^$++++=EXTRAWORD
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
a ^at++++=a
cobweb ^nn+++??+=cobweb;
; ^zz++++=EXTRAWORD
the ^ati++++=the
castle ^npl++++=castle
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
a ^at++++=a
cage ^nn++++=cage
whose ^whp+rel+obj++=whose
bars ^nns++++=bars
I ^pp1a+pp1+++=I
could ^md+pos+++=could
rend ^vb++++=rend
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
terrace ^nn++++=terrace
as ^ql++++=as
Bertha ^np+++??+=Bertha
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
chapel ^nn++++=chapel
with ^in++++=with
her ^pp$+pp3+++=her
guardian ^nn++++=guardian
and ^cc++++=and
Albert ^np++++=Albert.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
sudden ^jj+atrb+++=sudden
appearance ^nn+nom+++=appearance
shocked ^vbd+++xvbn+=shocked
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
disordered ^jj+pred+++=disordered,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
garments ^nns+nom+++=garments
stained ^vbd+++xvbn+=stained,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
clothed ^vbd+++xvbn+=clothed
in ^in++++=in
celestial ^jj+atrb+++=celestial
splendour ^nn++++=splendour.
. ^zz++++=EXTRAWORD
" ^zz++++="Bertha,"
bertha ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
