# ^zz++++=##
# ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=INDIAN
mysterious ^jj+atrb+++=mysterious
parcels ^nns++++=parcels
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
towels ^nns++++=towels.
. ^zz++++=EXTRAWORD
A ^at++++=A
junior ^nn++++=junior
dressed ^vbd+++xvbn+=dressed
as ^ql++++=as
a ^at++++=a
chestnut ^nn++++=chestnut
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
wedged ^vbd+++xvbn+=wedged
in ^in++++=in
a ^at++++=a
doorway ^nn++++=doorway
and ^cc++++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
removed ^vpsv++by+xvbn+=removed
by ^in++++=by
the ^ati++++=the
janitor ^nn++++=janitor.
. ^zz++++=EXTRAWORD
Mademoiselle ^np+++??+=Mademoiselle
Lafitte ^np+++??+=Lafitte,
, ^zz++++=EXTRAWORD
asked ^vb+++xvbn+=asked
to ^to+vcmp+++=to
supervise ^vbi++++=supervise
the ^ati++++=the
music ^nn++++=music,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
both ^abx++++=both
hands ^nns++++=hands
to ^in++++=to
her ^pp$+pp3+++=her
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
" ^zz++++="Mes
mes ^nns+++??+=EXTRAWORD
enfants ^nns+nom+++=enfants,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
ze ^ati++++=ze
costume ^nn++++=costume
must ^md+nec+++=must
be ^vb+be+vrb++=be
of ^in++++=of
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
how ^wrb+who+whq++=how
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
play ^nn++++=play
when ^wrb+who+++=when
zis ^dt++++=zis
little ^jj+atrb+++=little
Kansas ^np++++=Kansas
comes ^vbz++++=comes
as ^ql++++=as
one ^cd1++++=one
scarecrow ^nn+++??+=scarecrow
and ^cc++++=and
place ^nn++++=place
straw ^nn++++=straw
in ^in++++=in
my ^pp$+pp1+++=my
piano ^nn++++=piano?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
straw ^nn++++=straw
can ^md+pos+++=can
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
assured ^vwbn+vpub++xvbn+=assured
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Last
last ^rb++++=EXTRAWORD
year ^nn++++=year
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
ze ^ati++++=ze
confetti ^nn++++=confetti
can ^md+pos+++=can
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him
still ^rb++++=still
in ^in++++=in
ze ^ati++++=ze
instrument ^nn+nom+++=instrument
at ^in++++=at
Easter ^np++++=Easter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
promised ^nn+++xvbn+=promised
that ^tht+ncmp+++=that
no ^at++++=no
scarecrow ^nn+++??+=scarecrow
should ^md+nec+++=should
approach ^vb++++=approach
within ^in++++=within
ten ^cd++++=ten
feet ^nns++++=feet
of ^in++++=of
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurried ^vbd+++xvbn+=hurried
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
woods ^nns++++=woods
with ^in++++=with
Massachusetts ^np+++??+=Massachusetts
and ^cc++++=and
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hazel ^np++++=hazel
screen ^nn++++=screen
was ^vbd+bedz+vrb++=was
unchanged ^jj+pred+++=unchanged.
. ^zz++++=EXTRAWORD
The ^ati++++=The
low ^jj+atrb+++=low
sun ^nn++++=sun
lay ^vbd+++xvbn+=lay
warm ^jj++++=warm
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
path ^nn++++=path
was ^vbd+bedz+aux++=was
drifted ^vpsv++agls+xvbnx+=drifted
with ^in++++=with
clean ^jj+atrb+++=clean
brown ^jj+atrb+++=brown
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
Maine ^np++++=Maine
pushed ^vwbn+++xvbn+=pushed
through ^in++++=through
eagerly ^rb++++=eagerly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scarlet ^jj+atrb+++=scarlet
thicket ^nn++++=thicket
stood ^vbd+++xvbn+=stood
bare ^jj++++=bare.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
glowing ^jj+atrb++xvbg+=glowing
branch ^nn++++=branch
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
cut ^vpsv++agls+xvbnx+=cut
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
hacked ^vbd+++xvbn+=hacked
stems ^nns++++=stems
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
and ^cc++++=and
moist ^jj++++=moist
at ^in++++=at
the ^ati++++=the
ends ^nns++++=ends.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
charged ^vbd+vpub++xvbn+=charged
into ^in++++=into
the ^ati++++=the
clearing ^nvbg+++xvbg+=clearing.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gone."
gone ^vprf+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gone
gone ^vprf+++xvbn+=EXTRAWORD
where ^wrb+who+++=where?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
gone ^vpsv++agls+xvbnx+=gone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
bushes ^nns++++=bushes
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
were ^vbd+bed+vrb++=were
a ^at++++=a
detective ^nn++++=detective
from ^in++++=from
Scotland ^np++++=Scotland
Yard ^nn++++=Yard.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
robbery ^nn+nom+++=robbery.
. ^zz++++=EXTRAWORD
Premeditated ^np+++??+=Premeditated,
, ^zz++++=EXTRAWORD
malicious ^jj+atrb+++=malicious
robbery ^nn+nom+++=robbery.
. ^zz++++=EXTRAWORD
Observe ^vb+vprv+++=Observe
the ^ati++++=the
wounds ^nns++++=wounds!
! ^zz++++=EXTRAWORD
The ^ati++++=The
villain ^nn++++=villain
used ^vwbn+++xvbn+=used
a ^at++++=a
knife ^nn++++=knife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
scissors ^nns++++=scissors,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
knife ^nn++++=knife
sounds ^nns++++=sounds
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
knew ^vbd+vprv++xvbn+=knew
of ^in++++=of
the ^ati++++=the
leaves ^vbz++++=leaves?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
six ^cd++++=six
of ^in++++=of
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
answered ^vbd+vpub++xvbn+=answered
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Chicago ^np++++=Chicago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Massachusetts ^np+++??+=Massachusetts.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
path ^nn++++=path."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
proves ^vbz+vprv+++=proves
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
proves ^vbz+vprv+tht0++=proves
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
bent ^vbd+++xvbn+=bent
over ^in++++=over
the ^ati++++=the
ravaged ^jj+atrb++xvbn+=ravaged
stems ^nns++++=stems.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
disappointment ^nn+nom+++=disappointment
was ^vbd+bedz+vrb++=was
keen ^jj+pred+++=keen,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
costume ^nn++++=costume
complete ^jj++++=complete
in ^in++++=in
imagination ^nn+nom+++=imagination:
: ^zz++++=EXTRAWORD
the ^ati++++=the
yellow ^jj+atrb+++=yellow
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
mantle ^nn++++=mantle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crown ^nn++++=crown
of ^in++++=of
red ^jj+atrb+++=red
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
she ^pp3a+pp3+++=she
straightened ^vbd+++xvbnx+=straightened.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
use ^nn++++=use
being ^vwbg+beg++xvbg+=being
tragic ^jj++++=tragic.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
some ^dti++++=some
town ^nn++++=town
person ^nn++++=person
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
snorted ^vbd+++xvbn+=snorted.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
town ^nn++++=town
person ^nn++++=person
with ^in++++=with
the ^ati++++=the
soul ^nn++++=soul
of ^in++++=of
a ^at++++=a
Roman ^jj+atrb+++=Roman
conqueror ^nn++++=conqueror?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
three ^cd++++=three
hours ^nns++++=hours
before ^in++++=before
supper ^nn++++=supper,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
something ^pn++++=something
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
searched ^vbd+++xvbnx+=searched
the ^ati++++=the
hill ^nn++++=hill
and ^cc++++=and
meadow ^nn++++=meadow.
. ^zz++++=EXTRAWORD
Scarlet ^jj+atrb+++=Scarlet
leaves ^nns++++=leaves
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
in ^in++++=in
plenty ^nn++++=plenty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^rb++++=none
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
deep ^jj+atrb+++=deep
brilliance ^nn+nom+++=brilliance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
fell ^vbd+++xvbn+=fell
from ^in++++=from
their ^pp$+pp3+++=their
stems ^nns++++=stems
when ^wrb+who+++=when
touched ^vbd+++xvbn+=touched.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Tennessee ^np+nom+++=Tennessee
found ^vbd+vprv++xvbn+=found
a ^at++++=a
bank ^nn++++=bank
of ^in++++=of
goldenrod ^nn+++??+=goldenrod
still ^rb+atrb+++=still
bright ^jj++++=bright
in ^in++++=in
a ^at++++=a
sheltered ^jj+++xvbn+=sheltered
hollow ^jj++++=hollow.
. ^zz++++=EXTRAWORD
Brown ^jj+atrb+++=Brown
oak ^nn++++=oak
leaves ^nns++++=leaves
lay ^vbd+++xvbn+=lay
nearby ^jjb++++=nearby,
, ^zz++++=EXTRAWORD
glossy ^jj++++=glossy
and ^cc++++=and
firm ^nn++++=firm.
. ^zz++++=EXTRAWORD
" ^zz++++="Yellow
yellow ^jj++++=EXTRAWORD
and ^cc++++=and
brown ^np++++=brown
are ^vb+ber+vrb++=are
October ^nr++++=October
colors ^nns++++=colors,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
are ^vb+ber+vrb++=are
mud ^nn++++=mud
and ^cc++++=and
melancholy ^nn++++=melancholy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
Maine ^np++++=Maine
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
beautiful ^jj+pred+++=beautiful
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
paint ^vb++++=paint
every ^at++++=every
leaf ^nn++++=leaf
personally ^rb++++=personally."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
returned ^vbd+++xvbnx+=returned
laden ^vbd+++xvbn+=laden
with ^in++++=with
goldenrod ^nn+++??+=goldenrod,
, ^zz++++=EXTRAWORD
oak ^nn++++=oak
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
bittersweet ^nn+++??+=bittersweet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dried ^xvbn+++xvbn+=dried
grasses ^nns++++=grasses.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
senior ^nn++++=senior
sitting ^vwbg+++xvbg+=sitting
room ^nn++++=room
a ^at++++=a
dozen ^cd++++=dozen
hands ^nns++++=hands
went ^vbd+++xvbn+=went
to ^in++++=to
work ^nn++++=work.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yellow ^jj+atrb+++=yellow
gown ^nn++++=gown
was ^vbd+bedz+aux++=was
looped ^vpsv++agls+xvbnx+=looped
with ^in++++=with
brown ^np++++=brown;
; ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj+atrb+++=broad
sash ^nn++++=sash
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
golden ^jj+atrb+++=golden
flowers ^nns+nom+++=flowers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Maine ^np++++=Maine
made ^vbd+++xvbn+=made
a ^rb++++=a
little ^rb"++++=little
cap ^nn++++=cap
from ^in++++=from
oak ^nn++++=oak
leaves ^nns++++=leaves
and ^cc++++=and
clusters ^nns+nom+++=clusters
of ^in++++=of
bittersweet ^nn+++??+=bittersweet.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
prettier ^jjr+pred+++=prettier
than ^in++++=than
the ^ati++++=the
other ^ap++++=other
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Vermont ^np+++??+=Vermont
declared ^vbd+vpub++xvbn+=declared
loyally ^rb++++=loyally.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Massachusetts ^np+++??+=Massachusetts.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
artistic ^jj+pred+++=artistic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
people ^nns++++=people
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they
mean ^vb+vprv+tht0++=mean
something ^pn++++=something
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
prettier ^jjr++++=prettier."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Auden ^np++++=Auden,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door,
, ^zz++++=EXTRAWORD
paused ^j+++xvbn+=paused
to ^to++++=to
admire ^vbi++++=admire
the ^ati++++=the
costume ^nn++++=costume.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
charming ^jj+++xvbg+=charming!
! ^zz++++=EXTRAWORD
Goldenrod ^np+++??+=Goldenrod
and ^cc++++=and
oak ^nn++++=oak.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
suitable ^jj++++=suitable,
, ^zz++++=EXTRAWORD
Maine ^np++++=Maine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
bush ^nn++++=bush
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Auden ^np++++=Auden?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
one ^pn++++=one
beyond ^in++++=beyond
the ^ati++++=the
south ^nr+pl+++=south
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
the ^ati++++=the
hazel ^np++++=hazel?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
shrub ^nn++++=shrub
with ^in++++=with
crimson ^nn+++??+=crimson
autumn ^nn++++=autumn
foliage ^nn+nom+++=foliage?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
dogwood ^nn+++??+=dogwood."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dogwood!"
dogwood ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
dropped ^vbd+++xvbn+=dropped
a ^at++++=a
spool ^nn+++??+=spool.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
poison ^nn++++=poison
dogwood ^nn+++??+=dogwood?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Possibly.
possibly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
it ^pp3+it+++=it
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
form ^nn++++=form
of ^in++++=of
sumach ^nn+++??+=sumach
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
country ^nn++++=country
people ^nns++++=people
call ^vb++++=call
poison ^nn++++=poison
dogwood ^nn+++??+=dogwood.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
be ^vb+be+vrb++=be
careful ^jj+pred+++=careful
in ^in++++=in
handling ^xvbg+++xvbg+=handling
strange ^jj+atrb+++=strange
plants ^nns++++=plants."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Auden ^np++++=Auden
continued ^vbd+++xvbn+=continued
down ^rp++++=down
the ^ati++++=the
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
sudden ^jj++++=sudden
silence ^nn+nom+++=silence
behind ^in+pl+++=behind
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
stared ^vbd+++xvbn+=stared
at ^rb++++=at
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
wear ^vb++++=wear
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
handled ^vbd+++xvbnx+=handled
a ^at++++=a
spray ^nn++++=spray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
happened ^vbd+++xvbn+=happened."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
sometimes ^rb++++=sometimes
takes ^vbz++++=takes
hours ^nns++++=hours,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Massachusetts ^np+++??+=Massachusetts
with ^in++++=with
gloomy ^jj+atrb+++=gloomy
relish ^nn++++=relish.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
cousin ^nn++++=cousin
Horatio ^np+++??+=Horatio
once ^cs+tm+++=once
touched ^vprf+++xvbn+=touched
poison ^nn++++=poison
dogwood ^nn+++??+=dogwood.
. ^zz++++=EXTRAWORD
First ^rb++++=First
his ^pp$+pp3+++=his
hands ^nns++++=hands
turned ^vbd+++xvbn+=turned
crimson ^nn+++??+=crimson;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
his ^pp$+pp3+++=his
ears ^nns++++=ears
swelled ^vbd+++xvbn+=swelled
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
out ^rp+pl+++=out
like ^in++++=like
carriage ^nn+nom+++=carriage
lamps ^nns++++=lamps;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
closed ^vbd+++xvbn+=closed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
nose ^nn++++=nose
disappeared ^vbd+seem++xvbn+=disappeared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
breathe ^vb++++=breathe
through ^in++++=through
a ^at++++=a
quill ^nn++++=quill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Massachusetts!"
massachusetts ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
Vermont ^np+++??+=Vermont.
. ^zz++++=EXTRAWORD
" ^zz++++="True
true ^jj++++=EXTRAWORD
as ^ql++++=as
Plymouth ^np++++=Plymouth
Rock ^nn++++=Rock.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
weeks ^nns++++=weeks
no ^at++++=no
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him
except ^in++++=except
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
recognized ^vbd+++xvbnx+=recognized
him ^pp3o+pp3+++=him
only ^rb+down+++=only
by ^in++++=by
his ^pp$+pp3+++=his
socks ^nns++++=socks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
cousin ^nn++++=cousin
Horatio ^np+++??+=Horatio
had ^vb+hv+vrb++=had
poison ^nn++++=poison
ivy ^nn++++=ivy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
receptive ^jj+atrb+++=receptive
boy ^nn++++=boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
