Ivan ^np++++=Ivan
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
grief ^nn++++=grief
of ^in++++=of
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
returned ^vbd+++xvbn+=returned
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
wife ^nn++++=wife
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
morning ^nn++++=morning
of ^in++++=of
his ^pp$+pp3+++=his
departure ^nn++++=departure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
face ^nn++++=face
and ^cc++++=and
heard ^vbd+vprv++xvbn+=heard
her ^pp$+pp3+++=her
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
children ^nns++++=children,
, ^zz++++=EXTRAWORD
one ^pn++++=one
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
coat ^nn++++=coat
and ^cc++++=and
another ^dt++++=another
at ^rb++++=at
her ^pp3o+pp3+++=her
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
himself ^ppl+pp3+++=himself
young ^jj++++=young
and ^cc+phrs+++=and
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
tavern ^nn++++=tavern
porch ^nn++++=porch
with ^in++++=with
his ^pp$+pp3+++=his
guitar ^nn++++=guitar.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
flogging ^nn++++=flogging,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
the ^ati++++=the
long ^rb++++=long
road ^npl++++=road
to ^in++++=to
Siberia ^np++++=Siberia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
winter ^nn++++=winter
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prison ^nn++++=prison
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
Rage ^nn++++=Rage
rose ^vbd+++xvbn+=rose
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
done ^vpsv++by+xvbnx+=done
by ^in++++=by
that ^dt+dem+++=that
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
of ^in"++++=of
him ^pp3o+pp3+++=him
my ^pp$+pp1+++=my
life ^nn++++=life
was ^vbd+bedz+aux++=was
destroyed ^vpsv++agls+xvbnx+=destroyed.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
could ^md+pos+++=could
kill ^vb++++=kill
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
gladly ^rb++splt++=gladly
die ^vb++++=die
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
many ^ap++++=many
days ^nns++++=days
he ^pp3a+pp3+++=he
avoided ^vbd+++xvbnx+=avoided
Makar ^np+++??+=Makar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
prayed ^vbd+vsua++xvbnx+=prayed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
prayers ^nns+nom+++=prayers
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
no ^at++++=no
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
accuse ^vbi++++=accuse
Makar ^np+++??+=Makar
before ^in++++=before
the ^ati++++=the
governor ^nn++++=governor.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
seize ^vbi++++=seize
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
At ^rb++++=At
other ^ap++++=other
times ^nns++++=times
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
good ^jj++++=good
would ^md+prd+++=would
revenge ^vb++++=revenge
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
youth ^nn++++=youth
will ^md+prd+++=will
not ^xnot++not++=not
return ^vb++++=return.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wife ^nn++++=wife
may ^md+pos+++=may
be ^vb+be+vrb++=be
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
children ^nns++++=children
may ^md+pos+++=may
not ^xnot++not++=not
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
can ^md+pos+++=can
restore ^vb++++=restore
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
hatred ^nn++++=hatred
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
weeks ^nns++++=weeks
later ^rbr+tm+++=later
Aksionov ^np+++??+=Aksionov
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
through ^in++++=through
the ^ati++++=the
prison ^nn++++=prison
at ^in++++=at
night ^nn++++=night
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
loose ^jj+atrb+++=loose
earth ^nn++++=earth
falling ^vwbg+++xvbg+=falling
from ^in++++=from
beneath ^in+pl+++=beneath
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
platforms ^nns++++=platforms.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
Semyonich ^np+++??+=Semyonich
crawled ^vprf+++xvbn+=crawled
out ^rp+pl+++=out
from ^in++++=from
under ^in++++=under
the ^ati++++=the
platform ^nn++++=platform
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
neither ^rb++neg++=neither
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Makar ^np+++??+=Makar
seized ^vbd+++xvbn+=seized
Aksionov ^np++++=Aksionov's
's ^$++++=EXTRAWORD
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
" ^zz++++="Ivan
ivan ^np++++=EXTRAWORD
Dmitrich ^np+++??+=Dmitrich,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
nothing ^pn++++=nothing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
digging ^vbg+++xvbgx+=digging
a ^at++++=a
tunnel ^nn++++=tunnel.
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
day ^np++++=day
I ^pp1a+pp1+++=I
carry ^vb++++=carry
the ^ati++++=the
earth ^nn++++=earth
out ^rp+pl+++=out
in ^in++++=in
my ^pp$+pp1+++=my
boots ^nns++++=boots
and ^cc++++=and
scatter ^nn++++=scatter
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
quiet ^jj++++=quiet
and ^cc++++=and
you ^pp2+pp2+++=you
may ^md+pos+++=may
escape ^vb++++=escape
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
betray ^vb++++=betray
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=will
flog ^vb++++=flog
me ^pp1o+pp1+++=me
but ^cc++++=but
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
kill ^vb++++=kill
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
his ^pp$+pp3+++=his
anger ^nn++++=anger
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
no ^at++++=no
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
escape ^vbi++++=escape,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
killed ^vbd+++xvbn+=killed
me ^pp1o+pp1+++=me
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
betraying ^vbg+++xvbg+=betraying
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
do ^vb+do+vrb++=do
what ^wdt+who+++=what
God ^nn++++=God
tells ^vbz++++=tells
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
marched ^vbd+++xvbn+=marched
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
a ^at++++=a
soldier ^nn++++=soldier
noticed ^vbd+vprv++xvbn+=noticed
earth ^nn++++=earth
spilling ^vwbg+++xvbg+=spilling
from ^in++++=from
one ^cd1++++=one
man ^nn++++=man's
's ^$++++=EXTRAWORD
boot ^nn++++=boot.
. ^zz++++=EXTRAWORD
A ^at++++=A
search ^nn++++=search
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tunnel ^nn++++=tunnel
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
governor ^nn++++=governor
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
questioned ^vbd+vpub++xvbn+=questioned
the ^ati++++=the
prisoners ^nns+nom+++=prisoners.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
dug ^vbd+++xvbn+=dug
this ^dt+dem+++=this
tunnel ^nn++++=tunnel?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
Makar ^np+++??+=Makar
would ^md+prd+++=would
be ^vb+be+aux++=be
severely ^rb++splt++=severely
punished ^vpsv++agls+xvbnx+=punished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
disliked ^vbd+++xvbn+=disliked
him ^pp3o+pp3+++=him
would ^md+prd+++=would
not ^xnot++not++=not
betray ^vb++++=betray
another ^dt++++=another
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
governor ^nn++++=governor
questioned ^vbd+vpub++xvbn+=questioned
them ^pp3o+pp3+++=them
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^abn++++=all
denied ^jj+++xvbn+=denied
knowing ^jj+++xvbg+=knowing
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
Aksionov ^np+++??+=Aksionov.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
an ^at++++=an
honest ^jj+atrb+++=honest
old ^jj+atrb+++=old
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
speak ^vb++++=speak
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
before ^cs+sub+++=before
God ^np++++=God
who ^whp+who+++=who
dug ^vbd+++xvbn+=dug
the ^ati++++=the
tunnel ^nn++++=tunnel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
stood ^vbd+++xvbn+=stood
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
at ^rb++++=at
Aksionov ^np+++??+=Aksionov.
. ^zz++++=EXTRAWORD
Aksionov ^np++++=Aksionov's
's ^$++++=EXTRAWORD
whole ^jj+atrb+++=whole
body ^nn++++=body
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
God ^np++++=God
has ^vbz+hvz+aux++=has
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
into ^in++++=into
my ^pp$+pp1+++=my
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
only ^rb+down+++=only
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
be ^vb+be+aux++=be
flogged ^vpsv++agls+xvbnx+=flogged.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
will ^md+prd+++=will
die ^vb++++=die
under ^in++++=under
the ^ati++++=the
lash ^nn++++=lash.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
I ^pp1a+pp1+++=I
spare ^jj++++=spare
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
he ^pp3a+pp3+++=he
spare ^jj++++=spare
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
words ^nns++++=words
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
governor ^npt++++=governor
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
Dmitrich ^np+++??+=Dmitrich,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Makar ^np+++??+=Makar.
. ^zz++++=EXTRAWORD
For ^in++++=For
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
dreamed ^vprf+++xvbnx+=dreamed
that ^tht+vcmp+++=that
the ^ati++++=the
truth ^nn++++=truth
might ^md+pos+++=might
be ^vb+be+aux++=be
known ^vpsv++agls+xvbnx+=known.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
he ^pp3a+pp3+++=he
could ^md+pos+++=could
punish ^vb++++=punish
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
everything ^pn++++=everything
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
another ^dt++++=another
thought ^nn+++xvbn+=thought
came ^vbd+++xvbn+=came:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
betray ^vb++++=betray
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
my ^pp$+pp1+++=my
heart ^nn++++=heart
be ^vb+be+vrb++=be
clean ^jj+pred+++=clean?
? ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pain ^nn++++=pain
will ^md+prd+++=will
not ^xnot++not++=not
remove ^nn++++=remove
mine ^pp$$++++=mine.
. ^zz++++=EXTRAWORD
God ^np++++=God
sees ^vbz+vprv+++=sees
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lowered ^vbd+++xvbnx+=lowered
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
honour ^nn++++=honour,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
permit ^vb++++=permit
me ^pp1o+pp1+++=me
to ^to++++=to
tell ^vbi++++=tell.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
with ^in++++=with
me ^pp1o+pp1+++=me
as ^ql++++=as
you ^pp2+pp2+++=you
please ^uh++++=please.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
your ^pp$+pp2+++=your
hands ^nns++++=hands."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
governor ^npt++++=governor
repeated ^vbd+++xvbn+=repeated
the ^ati++++=the
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
threatened ^j+++xvbn+=threatened
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
urged ^vbd+vsua++xvbn+=urged
him ^pp3o+pp3+++=him
to ^to++++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
matter ^nn++++=matter
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
undecided ^jj++++=undecided.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
Aksionov ^np+++??+=Aksionov
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed
and ^cc++++=and
heard ^vbn+vprv++xvbn+=heard
someone ^pn++++=someone
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
call ^vb++++=call
the ^ati++++=the
guard ^nn++++=guard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
leaned ^vbd+++xvbn+=leaned
close ^nn++++=close.
. ^zz++++=EXTRAWORD
" ^zz++++="Ivan
ivan ^np++++=EXTRAWORD
Dmitrich ^np+++??+=Dmitrich,
, ^zz++++=EXTRAWORD
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
slipped ^vbd+++xvbnx+=slipped
from ^in++++=from
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++=and
knelt ^vpsv++agls+xvbn+=knelt
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
who ^whp+who+++=who
killed ^vbd+++xvbn+=killed
the ^ati++++=the
merchant ^nn+nom+++=merchant,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
put ^vbd+++xvbnx+=put
the ^ati++++=the
knife ^nn++++=knife
in ^in++++=in
your ^pp$+pp2+++=your
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
kill ^vbi++++=kill
you ^pp2+pp2+++=you
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
sound ^nn++++=sound
outside ^jjb++++=outside
and ^cc++++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
flee ^vb++++=flee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
could ^md+pos+++=could
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
waited ^vprf+++xvbnx+=waited
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
to ^to++++=to
hear ^vbi+vprv+++=hear
those ^dt+dem+++=those
words ^nns++++=words,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
now ^rn+tm+++=now
they ^pp3a+pp3+++=they
brought ^vbd+++xvbnx+=brought
him ^pp3o+pp3+++=him
no ^at++++=no
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
bowed ^vbd+++xvbn+=bowed
until ^cs+sub+++=until
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
touched ^vbd+++xvbn+=touched
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Forgive
forgive ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
Dmitrich ^np+++??+=Dmitrich.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
me ^pp1o+pp1+++=me
for ^in++++=for
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
confess ^nns+nom+++=confess.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=will
send ^vb++++=send
word ^nn++++=word
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
innocent ^jj+pred+++=innocent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
go ^vb++++=go
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
kneeling ^jj+atrb++xvbg+=kneeling
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
say ^vbi+vpub+tht0++=say
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
suffered ^vprf+++xvbnx+=suffered
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
