Among ^in++++=Among
to ^to++++=to
split ^vbi++++=split.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
and ^cc++++=and
baggage ^nn+nom+++=baggage
shifted ^vbd+++xvbn+=shifted
dangerously ^rb++++=dangerously.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
cushion ^nn++++=cushion
and ^cc++++=and
commended ^vbd+++xvbn+=commended
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
the ^ati++++=the
queen ^nn++++=queen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
country ^nn++++=country
to ^in++++=to
God ^np++++=God.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
boat ^nn++++=boat
touched ^vbd+++xvbn+=touched
the ^ati++++=the
farther ^rbr++++=farther
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
No ^at++++=No
pursuit ^nn++++=pursuit
appeared ^vbd+seem++xvbn+=appeared
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cushion ^nn++++=cushion
had ^vb+hv+aux++=had
not ^xnot++not++=not
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
the ^ati++++=the
Danube ^np++++=Danube;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
since ^cs+sub+++=since
leaving ^vbg+++xvbg+=leaving
Vissegrad ^np+++??+=Vissegrad
she ^pp3a+pp3+++=she
permitted ^vbd+++xvbnx+=permitted
herself ^ppl+pp3+++=herself
to ^to++++=to
believe ^vbi+vprv+tht0++=believe
the ^ati++++=the
theft ^nn++++=theft
might ^md+pos+++=might
succeed ^vb++++=succeed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
reached ^vbd+++xvbnx+=reached
Komorn ^np+++??+=Komorn
Kom ^np+++??+=Kom
rom ^np++++=rom,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Hungarians ^nn++++=Hungarians
called ^vbd+++xvbn+=called
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
very ^ql+amp+++=very
day ^np++++=day
when ^wrb+who+++=when
Queen ^npt++++=Queen
Elizabeth ^np++++=Elizabeth
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
to ^in+phrv+++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
Helen ^np++++=Helen
could ^md+pos+++=could
present ^vb++++=present
the ^ati++++=the
treasure ^nn++++=treasure,
, ^zz++++=EXTRAWORD
news ^nn++++=news
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
women ^nns++++=women's
's ^$++++=EXTRAWORD
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
was ^vbd+bedz+vrb++=was
a ^at++++=a
son ^nn++++=son.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
named ^vpsv++agls+xvbnx+=named
Ladislas ^np+++??+=Ladislas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
adherents ^nns++++=adherents
immediately ^rb+tm+++=immediately
styled ^jj+++xvbn+=styled
him ^pp3o+pp3+++=him
Ladislas ^np+++??+=Ladislas
the ^ati++++=the
Posthumous ^np+++??+=Posthumous,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
world ^nn++++=world
after ^in++++=after
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
death ^nn++++=death.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coincidence ^nn+nom+++=coincidence
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Elizabeth ^vbi++++=Elizabeth
a ^at++++=a
declaration ^nn+nom+++=declaration
of ^in++++=of
Providence ^np+nom++??+=Providence.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
her ^pp3o+pp3+++=her
son ^nn++++=son
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
born ^xvbn+++xvbn+=born,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crown ^nn++++=crown
necessary ^jj++++=necessary
to ^to+jcmp+++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
king ^npt++++=king
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
winter ^nn++++=winter
roads ^nns++++=roads
and ^cc++++=and
the ^ati++++=the
breaking ^jj+++xvbg+=breaking
river ^npl++++=river
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
opened ^vbd+++xvbn+=opened
the ^ati++++=the
velvet ^nn++++=velvet
cushion ^nn++++=cushion
in ^in++++=in
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
received ^vbd+++xvbn+=received
the ^ati++++=the
diadem ^nn+++??+=diadem
with ^in++++=with
emotion ^nn+nom+++=emotion,
, ^zz++++=EXTRAWORD
gratitude ^nn++++=gratitude,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
triumph ^nn++++=triumph.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
she ^pp3a+pp3+++=she
thanked ^vbd+++xvbnx+=thanked
her ^pp$+pp3+++=her
attendant ^nn+nom+++=attendant
as ^ql++++=as
warmly ^rb++++=warmly
for ^in++++=for
having ^xvbg+++xvbg+=having
imperilled ^jj+++xvbn+=imperilled
her ^pp3o+pp3+++=her
soul ^nn++++=soul
as ^in++++=as
for ^in"++++=for
having ^xvbg+++xvbg+=having
saved ^vprf+++xvbn+=saved
the ^ati++++=the
inheritance ^nn+nom+++=inheritance
cannot ^md+pos+not++=cannot
now ^rn+tm+++=now
be ^vb+be+aux++=be
determined ^vpsv++agls+xvbnx+=determined;
; ^zz++++=EXTRAWORD
sovereigns ^nns++++=sovereigns
are ^vb+ber+vrb++=are
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
successful ^jj+atrb+++=successful
issue ^nn++++=issue
of ^in++++=of
a ^at++++=a
command ^nn++++=command
more ^rbr++++=more
clearly ^rb++++=clearly
than ^in++++=than
the ^ati++++=the
anguish ^nn++++=anguish
of ^in++++=of
the ^ati++++=the
person ^nn++++=person
who ^whp+rel+subj++=who
obeyed ^vbd+++xvbn+=obeyed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Helen ^np++++=Helen's
's ^$++++=EXTRAWORD
fidelity ^nn+nom+++=fidelity
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
forgotten ^vpsv++by+xvbnx+=forgotten
by ^in++++=by
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
little ^ap++++=little
time ^nn++++=time
for ^in++++=for
rejoicing ^xvbg+++xvbg+=rejoicing.
. ^zz++++=EXTRAWORD
Wladislas ^np+++??+=Wladislas
of ^in++++=of
Poland ^np++++=Poland
advanced ^vbd+++xvbn+=advanced
toward ^in++++=toward
Hungary ^np+nom+++=Hungary,
, ^zz++++=EXTRAWORD
supported ^xvbn+++xvbn+=supported
by ^in++++=by
nobles ^nns++++=nobles
who ^whp+rel+subj++=who
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
the ^ati++++=the
kingdom ^npl+nom+++=kingdom
required ^vbd+++xvbn+=required
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
child ^nn++++=child
twelve ^cd++++=twelve
weeks ^nns++++=weeks
old ^jj++++=old
and ^cc++++=and
a ^at++++=a
woman ^nn++++=woman
acting ^vwbg+++xvbg+=acting
in ^in++++=in
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth's
's ^$++++=EXTRAWORD
party ^nn++++=party
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
hereditary ^jj+atrb+++=hereditary
right ^nn++++=right
and ^cc++++=and
lawful ^jj+atrb+++=lawful
coronation ^nn+nom+++=coronation
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
set ^vpsv++agls+xvbnx+=set
aside ^rb+phrv+++=aside
for ^in++++=for
convenience ^nn+nom+++=convenience.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
arguments ^nns+nom+++=arguments
had ^vb+hv+vrb++=had
force ^nn++++=force;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
frequently ^rb++++=frequently
happens ^vbz+vsua+++=happens
when ^wrb+who+whcl++=when
both ^abx++++=both
sides ^nns++++=sides
possess ^nns+nom+++=possess
some ^dti++++=some
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
swords ^nns++++=swords
were ^vbd+bed+aux++=were
prepared ^jj++agls+xvbnx+=prepared
to ^to+jcmp+++=to
supply ^vbi++++=supply
what ^wdt+who+++=what
reasoning ^nvbg+++xvbg+=reasoning
could ^md+pos+++=could
not ^xnot++not++=not
settle ^vb++++=settle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
queen ^npt++++=queen
resolved ^vwbn+vsua++xvbn+=resolved
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
infant ^nn++++=infant
must ^md+nec+++=must
be ^vb+be+aux++=be
crowned ^vpsv++agls+xvbnx+=crowned
before ^cs+sub+++=before
her ^pp$+pp3+++=her
adversaries ^nns++++=adversaries
could ^md+pos+++=could
gain ^vb++++=gain
possession ^nn++++=possession
of ^in++++=of
Weissenburg ^np+++??+=Weissenburg.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ceremony ^nn++++=ceremony
required ^vbd+++xvbn+=required
not ^xnot++not++=not
only ^rb+down+++=only
St ^vb++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen's
's ^$++++=EXTRAWORD
Crown ^nn++++=Crown
but ^cc++++=but
the ^ati++++=the
accustomed ^jj+atrb++xvbn+=accustomed
vestments ^nns+nom+++=vestments.
. ^zz++++=EXTRAWORD
No ^at++++=No
royal ^jj+atrb+++=royal
tailor ^nn++++=tailor
had ^vbd+hvd+aux++=had
prepared ^vprf+++xvbnx+=prepared
robes ^nns++++=robes
for ^in++++=for
a ^at++++=a
sovereign ^nn++++=sovereign
scarcely ^rb+down+++=scarcely
larger ^jjr++++=larger
than ^in++++=than
a ^at++++=a
bundle ^nn++++=bundle
of ^in++++=of
linen ^nn++++=linen.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
therefore ^rb+cnj+++=therefore
became ^vbd+++xvbn+=became
seamstress ^nns+nom+++=seamstress
to ^in++++=to
a ^at++++=a
king ^nn++++=king.
. ^zz++++=EXTRAWORD
From ^in++++=From
rich ^jj+atrb+++=rich
materials ^nns+nom+++=materials
she ^pp3a+pp3+++=she
fashioned ^vbd+++xvbnx+=fashioned
a ^at++++=a
tiny ^jj+atrb+++=tiny
tunic ^nn++++=tunic,
, ^zz++++=EXTRAWORD
mantle ^nn++++=mantle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
garments ^nns+nom+++=garments
suited ^vwbn+++xvbn+=suited
as ^ql++++=as
nearly ^rb+down+++=nearly
as ^in++++=as
possible ^jj++++=possible
to ^to+jcmp+++=to
the ^ati++++=the
coronation ^nn+nom+++=coronation
usage ^nn++++=usage,
, ^zz++++=EXTRAWORD
reducing ^vbg+++xvbg+=reducing
the ^ati++++=the
magnificence ^nn+nom+++=magnificence
of ^in++++=of
centuries ^nns++++=centuries
to ^in++++=to
the ^ati++++=the
dimensions ^nns++++=dimensions
of ^in++++=of
a ^at++++=a
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crown ^nn++++=crown
itself ^ppl++++=itself
presented ^vbd+++xvbn+=presented
another ^dt++++=another
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+aux++=be
carried ^vpsv++agls+xvbnx+=carried
through ^in++++=through
uncertain ^jj+atrb+++=uncertain
country ^nn++++=country
where ^wrb+who+++=where
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
baggage ^nn+nom+++=baggage
might ^md+pos+++=might
be ^vb+be+aux++=be
stopped ^vpsv++agls+xvbnx+=stopped
and ^cc+phrs+++=and
searched ^vbd+++xvbn+=searched.
. ^zz++++=EXTRAWORD
A ^at++++=A
velvet ^nn++++=velvet
cushion ^nn++++=cushion
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
suspicion ^nn++++=suspicion
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
abroad ^rb+pl+++=abroad.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
concealed ^vbd+++xvbn+=concealed
the ^ati++++=the
diadem ^nn+++??+=diadem
beneath ^in+pl+++=beneath
the ^ati++++=the
mattress ^nns+nom+++=mattress
of ^in++++=of
Ladislas ^np++++=Ladislas's
's ^$++++=EXTRAWORD
cradle ^nn++++=cradle.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
little ^ap++++=little
king ^npt++++=king
lay ^vbd+++xvbn+=lay
above ^jjb++++=above
the ^ati++++=the
evidence ^nn+nom+++=evidence
of ^in++++=of
his ^pp$+pp3+++=his
kingship ^nn+nom+++=kingship,
, ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=crying
when ^wrb+who+++=when
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
tired ^j+++xvbn+=tired,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
offended ^vpsv++by+xvbn+=offended
by ^in++++=by
the ^ati++++=the
roughness ^nns+nom+++=roughness
of ^in++++=of
fifteenth ^od++++=fifteenth-century
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
travel ^nn++++=travel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
company ^nn++++=company
moved ^vbd+++xvbn+=moved
toward ^in++++=toward
Weissenburg ^np+++??+=Weissenburg
through ^in++++=through
bitter ^jj+atrb+++=bitter
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Scouts ^np+++??+=Scouts
reported ^vbd+vpub++xvbn+=reported
enemies ^nns++++=enemies;
; ^zz++++=EXTRAWORD
strange ^jj+atrb+++=strange
riders ^nns++++=riders
were ^vbd+bed+aux++=were
watched ^vpsv++agls+xvbnx+=watched;
; ^zz++++=EXTRAWORD
every ^at++++=every
bridge ^nn++++=bridge
and ^cc++++=and
narrow ^jj+atrb+++=narrow
road ^npl++++=road
appeared ^vbd+seem++xvbn+=appeared
suitable ^jj++++=suitable
for ^in++++=for
an ^at++++=an
ambush ^nn+++??+=ambush.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
remained ^vbd+++xvbn+=remained
near ^in+pl+++=near
the ^ati++++=the
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
a ^at++++=a
soldier ^nn++++=soldier
who ^whp+rel+subj++=who
thrust ^vbd+++xvbn+=thrust
his ^pp$+pp3+++=his
spear ^nn++++=spear
into ^in++++=into
the ^ati++++=the
bedding ^nn++++=bedding
might ^md+pos+++=might
at ^rb++splt++=at
once ^rb"+tm+++=once
injure ^vb++++=injure
the ^ati++++=the
child ^nn++++=child
and ^cc++++=and
strike ^nn++++=strike
the ^ati++++=the
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
Storms ^nns++++=Storms
delayed ^vwbn+++xvbn+=delayed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Wheels ^nns++++=Wheels
sank ^vbd+++xvbn+=sank
in ^in++++=in
mud ^nn++++=mud
where ^wrb+who+++=where
the ^ati++++=the
frost ^np++++=frost
had ^vbd+hvd+aux++=had
yielded ^vprf+++xvbnx+=yielded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hardened ^vbd+++xvbn+=hardened
roads ^npl++++=roads
jarred ^vbd+++xvbn+=jarred
the ^ati++++=the
cradle ^nn++++=cradle
so ^rb++++=so
violently ^rb++++=violently
that ^cs+sub+++=that
Ladislas ^np+++??+=Ladislas
protested ^vbd+vpub++xvbn+=protested
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
his ^pp$+pp3+++=his
lungs ^nns++++=lungs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crown ^nn++++=crown
pressed ^vbd+++xvbn+=pressed
from ^in++++=from
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
blankets ^nns++++=blankets
were ^vbd+bed+aux++=were
arranged ^vpsv++agls+xvbnx+=arranged
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anxious ^jj+atrb+++=anxious
attendants ^nns+nom+++=attendants
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
soothe ^vbi++++=soothe
him ^pp3o+pp3+++=him
without ^in++++=without
disturbing ^xvbg+++xvbg+=disturbing
the ^ati++++=the
hiding ^jj+++xvbg+=hiding-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
can ^md+pos+++=can
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
few ^ap++++=few
monarchs ^nns++++=monarchs
who ^whp+rel+subj++=who
travelled ^vbd+++xvbn+=travelled
to ^in++++=to
their ^pp$+pp3+++=their
coronation ^nn+nom+++=coronation
in ^in++++=in
so ^rb+emph+++=so
uncomfortable ^jj++++=uncomfortable
a ^at++++=a
relation ^nn+nom+++=relation
to ^in++++=to
their ^pp$+pp3+++=their
regalia ^nns++++=regalia.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
alarm ^vb++++=alarm
spread ^vprf+++xvbn+=spread
that ^dt+dem+++=that
an ^at++++=an
armed ^jj+atrb++xvbn+=armed
party ^nn++++=party
was ^vbd+bedz+vrb++=was
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baggage ^nn+nom+++=baggage
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
men ^nns++++=men
reached ^vbd+++xvbn+=reached
for ^in++++=for
weapons ^nns++++=weapons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
queen ^npt++++=queen
prepared ^vwbn+++xvbn+=prepared
for ^in++++=for
capture ^nn++++=capture
or ^cc++++=or
flight ^nn++++=flight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
riders ^nns++++=riders
proved ^vbd+vprv++xvbn+=proved
harmless ^jj++++=harmless.
. ^zz++++=EXTRAWORD
On ^in++++=On
another ^dt++++=another
occasion ^nn++++=occasion
an ^at++++=an
officer ^npt++++=officer
questioned ^vbd+vpub++xvbn+=questioned
the ^ati++++=the
escort ^nn++++=escort
and ^cc++++=and
looked ^vbd+++xvbn+=looked
closely ^rb++++=closely
at ^in++++=at
the ^ati++++=the
wagons ^nns++++=wagons.
. ^zz++++=EXTRAWORD
The ^ati++++=The
infant ^nn++++=infant
began ^vbd+++xvbn+=began
to ^to++++=to
scream ^vbi++++=scream
at ^rb++++=at
the ^ati++++=the
most ^ql+emph+++=most
inconvenient ^jj+atrb+++=inconvenient
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
noise ^nn++++=noise
persuaded ^vwbn+vsua++xvbn+=persuaded
the ^ati++++=the
officer ^nn++++=officer
that ^tht+rel+obj++=that
no ^at++++=no
political ^jj+atrb+++=political
mystery ^nn+nom+++=mystery
could ^md+pos+++=could
be ^vb+be+aux++=be
concealed ^vpsv++agls+xvbnx+=concealed
in ^in++++=in
a ^at++++=a
cradle ^nn++++=cradle
so ^rb++++=so
plainly ^rb++++=plainly
occupied ^vpsv++by+xvbn+=occupied
by ^in++++=by
a ^at++++=a
cross ^jj+atrb+++=cross
baby ^nn++++=baby;
; ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
allowed ^vbd+++xvbnx+=allowed
them ^pp3o+pp3+++=them
to ^to++++=to
proceed ^vbi++++=proceed.
. ^zz++++=EXTRAWORD
Weissenburg ^np+++??+=Weissenburg
remained ^vbd+++xvbn+=remained
loyal ^jj++++=loyal
and ^cc+phrs+++=and
received ^jj+++xvbn+=received
the ^ati++++=the
queen ^nn++++=queen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city,
, ^zz++++=EXTRAWORD
ancient ^jj+atrb+++=ancient
burial ^nn++++=burial
and ^cc++++=and
coronation ^nn+nom+++=coronation
place ^nn++++=place
of ^in++++=of
Hungarian ^nn++++=Hungarian
kings ^nns++++=kings,
, ^zz++++=EXTRAWORD
possessed ^j+++xvbn+=possessed
that ^dt+dem+++=that
solemn ^jj+atrb+++=solemn
authority ^nn+nom+++=authority
which ^whp+rel+obj++=which
old ^jj+atrb+++=old
capitals ^nns+nom+++=capitals
retain ^vb++++=retain
even ^rb++++=even
after ^cs+sub+++=after
much ^ap++++=much
of ^in++++=of
their ^pp$+pp3+++=their
ordinary ^jj+atrb+++=ordinary
power ^nn++++=power
has ^vbz+hvz+aux++=has
passed ^vprf+++xvbnx+=passed
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clergy ^nn++++=clergy
prepared ^vwbn+++xvbn+=prepared
the ^ati++++=the
church ^nn++++=church;
; ^zz++++=EXTRAWORD
magnates ^nns+nom+++=magnates
favourable ^jj++++=favourable
to ^in++++=to
Elizabeth ^np++++=Elizabeth
assembled ^vbd+++xvbn+=assembled;
; ^zz++++=EXTRAWORD
the ^ati++++=the
regalia ^nns++++=regalia
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
forth ^np++++=forth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
appointed ^jj+++xvbn+=appointed
day ^np++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
May ^md+pos+++=May
1440 ^cd++++=1440,
, ^zz++++=EXTRAWORD
Ladislas ^np+++??+=Ladislas,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
about ^in++++=about
twelve ^cd++++=twelve
weeks ^nns++++=weeks
old ^jj++++=old,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
to ^in++++=to
his ^pp$+pp3+++=his
coronation ^nn+nom+++=coronation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rites ^nns++++=rites
devised ^vbd+++xvbn+=devised
for ^in++++=for
grown ^xvbn+++xvbn+=grown
warriors ^nns++++=warriors
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fit ^vb++++=fit
the ^ati++++=the
little ^jj+atrb+++=little
creature ^nn++++=creature
with ^in++++=with
convenience ^nn+nom+++=convenience.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
anointed ^vpsv++agls+xvbnx+=anointed
according ^in+cmpx+++=according
to ^in++++=to
custom ^nn++++=custom
and ^cc++++=and
invested ^vpsv++agls+xvbn+=invested
with ^in++++=with
garments ^nns+nom+++=garments
which ^whp+rel+obj++=which
Helen ^np++++=Helen
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made.
. ^zz++++=EXTRAWORD
A ^at++++=A
sword ^nn++++=sword
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
hands ^nns++++=hands
unable ^jj++++=unable
to ^to+jcmp+++=to
grasp ^vbi+vprv+++=grasp
it ^pp3+it+++=it
with ^in++++=with
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
a ^at++++=a
Hungarian ^nn++++=Hungarian
king ^npt++++=king
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
knight ^nn++++=knight,
, ^zz++++=EXTRAWORD
a ^at++++=a
noble ^nn++++=noble
performed ^vwbn+++xvbn+=performed
the ^ati++++=the
ceremonial ^jj+atrb+++=ceremonial
stroke ^nn++++=stroke
with ^in++++=with
such ^abl++++=such
vigour ^nn++++=vigour
that ^tht+rel+obj++=that
Helen ^np++++=Helen
feared ^vbd+vprv+tht0+xvbn+=feared
he ^pp3a+pp3+++=he
might ^md+pos+++=might
injure ^vb++++=injure
the ^ati++++=the
sovereign ^jj++++=sovereign
whom ^whp+wpor+++=whom
the ^ati++++=the
rite ^nn++++=rite
was ^vbd+bedz+aux++=was
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
honour ^vb++++=honour.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
held ^vbd+vprv++xvbnx+=held
Ladislas ^np+++??+=Ladislas
during ^in++++=during
much ^rb++++=much
of ^in++++=of
the ^ati++++=the
service ^nn++++=service.
. ^zz++++=EXTRAWORD
Bishops ^npt++++=Bishops
chanted ^vbd+++xvbn+=chanted,
, ^zz++++=EXTRAWORD
incense ^nn++++=incense
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
nobles ^nns++++=nobles
stood ^vbd+++xvbn+=stood
in ^in++++=in
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
immense ^jj++++=immense
meaning ^jj+++xvbg+=meaning
of ^in++++=of
the ^ati++++=the
crown ^nn++++=crown
was ^vbd+bedz+aux++=was
proclaimed ^vpsv++agls+xvbnx+=proclaimed
in ^in++++=in
prayer ^nn++++=prayer
and ^cc++++=and
acclamation ^nn+nom+++=acclamation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child,
, ^zz++++=EXTRAWORD
unimpressed ^jj++++=unimpressed
by ^in++++=by
antiquity ^nn+nom+++=antiquity,
, ^zz++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
politics ^nn++++=politics,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
maternal ^jj+atrb+++=maternal
ambition ^nn+nom+++=ambition,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
steadily ^rb++++=steadily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
little ^ap++++=little
pleasure ^nn++++=pleasure
in ^in++++=in
his ^pp$+pp3+++=his
coronation ^nn+nom+++=coronation.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
Crown ^nn++++=Crown
of ^in++++=of
